"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"25","18","    Net purchases of used autos and used light trucks","W242RX1",-33.7,-37.4,-42.3,-42.7,-44.6,-44.5,-52.8,-57.2,-67.4,-74.5,-75.1,-71.7,-74.2,-72.1,-75.2,-73.8,-75.2
"26","19","      Used autos","B140RX1",-24.3,-27.2,-28.9,-29.5,-32.5,-32.1,-35.1,-36.9,-40.1,-40.4,-39.9,-36.2,-36.4,-35.4,-37,-36.8,-36.4
"27","20","      Used light trucks (including utility vehicles)","W243RX1",-9.4,-10.2,-13.4,-13.2,-12.1,-12.4,-17.7,-20.3,-27.3,-34,-35.2,-35.5,-37.8,-36.7,-38.3,-37,-38.8
"28","21","  Gross government investment","AB64RX1",12.6,11.3,11.8,10.7,9.9,10.1,10,10.6,11.4,12,12.4,12.4,12.6,13.7,13.8,14.8,15.1
"29","22","    Autos","B144RX1",3.9,3.2,3.8,3.6,3.6,3.9,3.6,3.3,3.4,3.5,3.4,3.5,3.3,3.3,3.2,3.5,3.7
"30","23","    Trucks","B708RX1",8.8,8,8,7.1,6.3,6.3,6.4,7.4,8,8.5,9,8.8,9.3,10.5,10.6,11.3,11.4
"31","24","  Net exports","AB63RX1",-51.9,-45.6,-44.4,-49,-53.8,-54.4,-55.5,-62.1,-69.1,-91.3,-101.7,-99.9,-103.4,-100.2,-103.4,-98.4,-106.5
"32","25","    Exports","AB69RX1",16.7,19.1,21.5,22,24.7,25.5,26.6,28.1,26.7,25.7,26.1,25.2,28.3,31.2,34.6,41,45.5
"33","26","      Autos","B142RX1",10.8,12.6,12.7,12.1,12.9,12.7,13.1,12.8,12.3,12,12.2,13.1,14.7,15.4,15.8,19.5,22.7
"34","27","      Trucks","B706RX1",5.8,6.5,8.8,9.8,11.7,12.8,13.6,15.3,14.4,13.8,13.9,12.1,13.6,15.8,18.7,21.5,22.8
"35","28","    Imports","AB70RX1",68.5,64.8,65.9,71,78.5,79.9,82.1,90.2,95.8,117,127.8,125.1,131.7,131.4,138,139.4,152
"36","29","      Autos","B143RX1",46.1,41.8,40.7,45.4,46.7,50.1,46.5,51.6,53.7,63.7,69.4,67.7,71.9,69.4,69.6,67.1,74.3
"37","30","      Trucks","B707RX1",22.3,22.8,25.1,25.4,31.7,29.7,35.6,38.5,42.1,53.4,58.4,57.4,59.8,62,68.4,72.2,77.6
"38","31","Change in private inventories","AB65RX1",-5.9,-3.2,0.6,2.4,6.5,7.2,-2.5,4.5,0.5,11.8,10.5,-12.9,12.2,9.1,4.5,-3.1,-3
"39","32","  Autos","A145RX1",-4.2,-0.8,-0.5,1.9,1.6,3.6,-3.3,1.7,3.3,2.4,4.1,-3.4,6.9,0.1,-1.3,-1.7,1.7
"40","33","    New","B146RX1",-3.8,-1.3,0,1,1,2.5,-5.4,0.5,2.5,1.2,1.2,-6.6,7.9,0,-1.8,-0.5,4.1
"41","34","      Domestic","AB71RX1",-4.3,-1.4,0.6,0.8,2.4,3.2,-3.8,0.3,1.5,-0.1,0.7,-7.3,6.7,0.3,-0.8,-0.6,2.4
"42","35","      Foreign","AB72RX1",0.5,0.1,-0.6,0.1,-1.6,-0.7,-1.7,0.2,1,1.2,0.5,0.6,1.2,-0.3,-1,0.1,1.7
"43","36","    Used","B147RX1",-0.3,0.7,-0.5,1,0.6,1,2.1,1.2,0.8,1.3,2.9,3.1,-0.9,0.1,0.6,-1.3,-2.8
"44","37","  Trucks","B709RX1",-1.4,-2.6,1.2,0.3,5.3,3.7,1.1,2.8,-2.9,9.4,6.4,-9.4,5.3,8.4,5.3,-1.4,-4.3
"45","38","    New","W244RX1",-1.9,-2.6,1,-0.7,4.3,3.7,-0.8,3.6,-2.6,8.6,4.5,-10.8,5.3,7.7,4.5,0,-2.3
"46","39","      Domestic","AB73RX1",-1.3,-2.2,1,0,3.9,4.1,-0.9,3,-2.5,8.2,3.6,-10.3,3.9,7.6,4.6,-0.6,-3.1
"47","40","      Foreign","AB74RX1",-0.6,-0.4,0,-0.7,0.4,-0.3,0.1,0.5,-0.1,0.4,0.9,-0.5,1.4,0.1,-0.1,0.6,0.7
"48","41","    Used \1\","W245RX1",0.3,-0.2,0.3,0.8,1.1,0.2,1.6,-0.6,-0.3,0.8,1.9,1.7,-0.2,0.2,0.5,-1.6,-2.2
"49","42","Residual","A974RX1",1.1,0.6,-0.7,0,-0.4,-0.8,0.3,-0.5,0.1,-0.2,-0.1,-0.7,1.5,1.1,1.1,0.8,0.8
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","  Final sales of motor vehicles to domestic purchasers","AB75RX1",291.2,258.5,278.5,302.5,334.8,334.4,349.8,374.2,409.2,451.2,456.1,461.2,477.5,483.3,507,526.7,530
"52","44","  Private fixed investment in new autos and new light trucks","AB76RX1",75.6,78.9,81.9,90.9,110.3,112.4,129.3,142.3,149.5,164.9,162.5,150.7,146.8,141.6,154.8,169.3,183
"53","45","  Domestic output of new autos \2\","B148RX1",103.2,96,100.6,104.8,119.1,112.6,109.6,108.8,107.4,109.9,110.5,101.1,104.8,93.9,91.5,101.9,104.5
"54","46","  Sales of imported new autos \3\","B149RX1",62.2,53.3,55.3,57.5,58.1,56,54.5,59.3,67,78.3,83.9,82.8,89.2,87.7,91.1,93.7,101.9
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","3. Consists of personal consumption expenditures, private fixed investment,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Note. Chained (2000) dollar series are calculated as the product of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","chain-type quantity index and the 2000 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","series, divided by 100. Because the formula for the chain-type quantity indexes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","are usually not additive. The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","line and the sum of the most detailed lines, excluding the lines in the addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
