"","Table 5#8#6B# Real Gross Government Fixed Investment by Type, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"70","62","    State and local","A886RX1",46.7,46.2,50.4,52.8,57.5,62.6,68.1,64.3,61.8,62.8
"71","63","      Structures","B887RX1",41.5,39.7,42.9,45.5,49.7,52.9,57.1,53.7,52.4,53
"72","64","      Equipment and software","B888RX1",5.3,6.5,7.5,7.3,7.8,9.8,11.1,10.7,9.4,9.9
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Note. Chained (2000) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","index and the 2000 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","difference between the first line and the sum of the most detailed lines, excluding the lines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","in the addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
