"","Table 5#4#1B# Percent Change From Preceding Period in Real Priva","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"26","19","    Communication","C314RL1",0.5,49.5,0.1,1.2,-7.6,-36,1.4,15.2,5.1
"27","20","  Mining exploration, shafts, and wells","E318RL1",-7.8,-8.8,27.8,17.8,-23.3,18.1,14.8,5.6,13.5
"28","21","    Petroleum and natural gas","C319RL1",-6.6,-8.6,27.7,19.1,-25.6,20.3,13.7,5,13.2
"29","22","    Mining","C320RL1",-26.2,-12.5,28.4,-8.8,50.5,-21.9,44.6,18.3,19.7
"30","23","  Other structures","W004RL1",5.4,0.8,2.9,-4.7,-16,-4.5,2.2,-4.9,5.1
"31","24","    Religious","C309RL1",10.2,7.1,4.3,0.1,-2.5,-0.3,-10.2,-12.2,-7.1
"32","25","    Educational and vocational","W044RL1",7.3,-4.6,15,5.4,-0.4,-1.5,-10.3,-5.4,-2.9
"33","26","    Lodging","W045RL1",10.9,3.3,-2.2,-14.7,-29.2,-7.9,13.6,-1.9,30.1
"34","27","    Amusement and recreation","W046RL1",-2.4,6.7,-12.1,-14.5,-6.2,1,2.1,-17.4,12.2
"35","28","    Transportation","W047RL1",14.4,-13.2,1.5,-0.5,-7.6,-8.1,5.7,1.7,8
"36","29","      Air","W048RL1",11.5,10.8,38.7,5.6,-34.6,-25.9,-11.3,-18.9,-9
"37","30","      Land \3\","W049RL1",14.9,-17.9,-8.6,-3.1,4.6,-3.1,9.4,5.5,10.6
"38","31","    Farm","C316RL1",8.4,13.3,13.3,-17.9,7.3,-11.7,1.5,-1.4,-15.7
"39","32","    Other \4\","W050RL1",0.4,-9.6,23.7,-24.6,-29.7,-8.2,23,5.5,-25.9
"40","33","    Brokers' commissions on sale of structures","C321RL1",7.3,2,5.3,-5.9,-14.1,-0.2,3.6,7.3,15.5
"41","34","    Net purchases of used structures","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","A012RL1",7.7,6,0.7,0.4,4.8,8.4,10,6.6,-4.7
"43","36","  Permanent site","A943RL1",9.5,7.4,0.8,0.6,4,9.8,11.6,7.8,-6.7
"44","37","    Single-family structures","A944RL1",10.9,7.4,1.1,0.1,3.9,10.7,12,7.5,-7.8
"45","38","    Multifamily structures","C292RL1",-1.1,7.9,-1.7,4.3,5.3,2.6,7.8,10,3.4
"46","39","  Other structures","A863RL1",5.2,3.9,0.5,0,6,6.4,7.4,4.7,-1.3
"47","40","    Manufactured homes","A945RL1",8.8,-5.2,-24.4,-20.1,-9.9,-18.3,-2.9,11.1,-20.9
"48","41","    Dormitories","C295RL1",17.9,27.6,1.7,9.2,-4.4,9.2,-12.5,-14.1,30.4
"49","42","    Improvements","A946RL1",0.6,3.6,2.7,1.4,5.6,5,2.7,3,5.9
"50","43","    Brokers' commissions on sale of structures","A758RL1",15.2,7.2,-0.7,1.5,11.2,11.7,14.9,7,-10.5
"51","44","    Net purchases of used structures","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RL1",6.2,3,3.1,-1.3,-4.9,3.2,6,4.4,0.5
"54","46","    Nonresidential structures","A771RL1",5.5,-0.4,6.8,-3.2,-16.1,-4,1,0.3,8.5
"55","47","    Residential structures","A756RL1",6.8,5.8,0.3,0.2,4.1,7.9,8.9,6.5,-3.7
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
