"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"34","15","        Software","Y060RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","16.0","24.0","28.0","32.0","36.0","36.0","36.0","40.0","44.0","48.0","48.0","48.0","48.0","48.0","156.0","52.0","84.0","84.0","92.0","100.0","72.0","120.0","128.0","132.0","140.0","156.0","188.0","204.0","212.0","212.0","224.0","232.0","240.0","260.0","288.0","308.0","340.0","376.0"
"35","16","        Research and development","Y061RC1","1,304.0","1,312.0","1,348.0","1,396.0","1,460.0","1,536.0","1,572.0","1,608.0","1,628.0","1,648.0","1,680.0","1,712.0","1,756.0","1,796.0","1,836.0","1,892.0","1,936.0","1,996.0","2,064.0","2,132.0","2,196.0","2,260.0","2,336.0","2,404.0","2,480.0","2,552.0","2,636.0","2,724.0","2,820.0","2,900.0","2,980.0","3,068.0","3,156.0","3,332.0","3,556.0","3,860.0","4,220.0","4,572.0","4,912.0","5,192.0","5,440.0","5,676.0","5,856.0","6,004.0","6,112.0","6,200.0","6,328.0","6,468.0","6,628.0","6,768.0","6,916.0","7,044.0","7,252.0","7,532.0","7,736.0","7,920.0","8,164.0","8,452.0","8,700.0","8,892.0","9,080.0","9,352.0","9,712.0","10,152.0","10,680.0","11,160.0","11,588.0","11,920.0","12,200.0","12,436.0","12,608.0","12,752.0","12,888.0","13,116.0","13,428.0","13,828.0","14,316.0","14,692.0","14,976.0","15,160.0","15,248.0","15,364.0","15,492.0","15,696.0","15,904.0","16,112.0","16,308.0","16,492.0","16,652.0","16,724.0"
"36","17","  National defense","A824RC1","22,488.0","21,184.0","20,272.0","20,728.0","20,880.0","20,652.0","20,760.0","21,600.0","22,524.0","22,820.0","22,632.0","21,660.0","20,948.0","21,004.0","22,744.0","26,124.0","33,596.0","40,320.0","48,132.0","52,928.0","53,528.0","57,020.0","58,704.0","60,540.0","61,340.0","62,004.0","60,980.0","60,300.0","57,360.0","55,248.0","53,236.0","52,044.0","52,372.0","51,900.0","53,104.0","52,164.0","52,784.0","54,968.0","55,116.0","57,060.0","58,856.0","59,664.0","60,688.0","60,648.0","60,840.0","61,976.0","62,644.0","63,448.0","61,136.0","60,284.0","61,392.0","60,948.0","60,032.0","59,508.0","61,960.0","62,096.0","63,404.0","63,356.0","64,956.0","66,448.0","69,184.0","68,912.0","70,444.0","70,276.0","69,368.0","68,872.0","70,828.0","70,884.0","70,380.0","69,372.0","70,156.0","68,988.0","68,016.0","68,164.0","71,156.0","74,964.0","77,476.0","79,136.0","85,624.0","87,660.0","92,212.0","93,492.0","96,656.0","97,748.0","100,452.0","101,512.0","101,484.0","101,976.0","101,276.0","100,852.0"
"37","18","    Consumption expenditures","A997RC1","20,644.0","19,420.0","17,864.0","18,136.0","17,856.0","17,412.0","17,540.0","18,056.0","18,460.0","18,404.0","18,160.0","17,556.0","17,652.0","17,716.0","18,988.0","21,820.0","27,148.0","31,208.0","36,120.0","37,944.0","38,880.0","42,088.0","43,168.0","44,648.0","44,404.0","44,244.0","43,696.0","44,556.0","41,460.0","40,032.0","39,484.0","38,436.0","39,312.0","38,612.0","40,240.0","39,488.0","39,652.0","41,440.0","40,760.0","41,908.0","43,508.0","44,740.0","45,048.0","45,096.0","45,360.0","46,048.0","46,320.0","46,232.0","42,348.0","41,400.0","42,064.0","42,232.0","41,604.0","41,852.0","43,320.0","43,732.0","43,328.0","43,488.0","44,356.0","45,536.0","47,836.0","48,048.0","49,020.0","49,332.0","49,800.0","49,536.0","50,600.0","52,072.0","51,528.0","50,964.0","52,012.0","51,052.0","50,968.0","51,784.0","54,360.0","58,520.0","59,520.0","61,816.0","66,280.0","67,428.0","70,972.0","72,964.0","74,548.0","76,420.0","80,108.0","81,428.0","81,564.0","82,648.0","80,092.0","81,968.0"
"38","19","    Gross investment","A788RC1","1,844.0","1,764.0","2,408.0","2,592.0","3,024.0","3,240.0","3,220.0","3,544.0","4,064.0","4,416.0","4,472.0","4,104.0","3,296.0","3,288.0","3,756.0","4,304.0","6,448.0","9,112.0","12,012.0","14,984.0","14,648.0","14,932.0","15,536.0","15,892.0","16,936.0","17,760.0","17,284.0","15,744.0","15,900.0","15,216.0","13,752.0","13,608.0","13,060.0","13,288.0","12,864.0","12,676.0","13,132.0","13,528.0","14,356.0","15,152.0","15,348.0","14,924.0","15,640.0","15,552.0","15,480.0","15,928.0","16,324.0","17,216.0","18,788.0","18,884.0","19,328.0","18,716.0","18,428.0","17,656.0","18,640.0","18,364.0","20,076.0","19,868.0","20,600.0","20,912.0","21,348.0","20,864.0","21,424.0","20,944.0","19,568.0","19,336.0","20,228.0","18,812.0","18,852.0","18,408.0","18,144.0","17,936.0","17,048.0","16,380.0","16,796.0","16,444.0","17,956.0","17,320.0","19,344.0","20,232.0","21,240.0","20,528.0","22,108.0","21,328.0","20,344.0","20,084.0","19,920.0","19,328.0","21,184.0","18,884.0"
"39","20","      Structures","A808RC1","36.0","84.0","224.0","344.0","368.0","372.0","400.0","332.0","400.0","336.0","336.0","396.0","340.0","336.0","420.0","712.0","1,260.0","1,880.0","2,304.0","2,632.0","2,856.0","3,212.0","3,520.0","3,548.0","3,660.0","3,444.0","3,192.0","3,008.0","3,100.0","2,720.0","2,548.0","2,548.0","2,300.0","2,212.0","2,052.0","1,920.0","1,880.0","2,056.0","2,268.0","2,316.0","2,304.0","2,244.0","2,340.0","2,260.0","2,404.0","2,428.0","2,660.0","2,968.0","2,836.0","2,724.0","2,480.0","2,104.0","2,068.0","2,088.0","2,348.0","2,432.0","2,608.0","2,436.0","2,124.0","2,264.0","2,148.0","2,156.0","1,820.0","1,836.0","1,692.0","1,740.0","2,156.0","972.0","1,324.0","1,208.0","1,288.0","1,284.0","1,056.0","1,132.0","1,192.0","1,172.0","1,248.0","1,248.0","1,332.0","1,212.0","1,248.0","1,080.0","1,240.0","1,212.0","1,200.0","1,092.0","1,276.0","1,404.0","1,420.0","1,556.0"
"40","21","      Equipment","Y050RC1","636.0","508.0","992.0","1,032.0","1,408.0","1,568.0","1,500.0","1,876.0","2,320.0","2,732.0","2,800.0","2,392.0","1,664.0","1,668.0","2,040.0","2,252.0","3,796.0","5,772.0","8,168.0","10,732.0","10,096.0","9,944.0","10,148.0","10,392.0","11,196.0","12,140.0","11,812.0","10,360.0","10,328.0","9,940.0","8,572.0","8,356.0","7,988.0","8,168.0","7,712.0","7,388.0","7,560.0","7,484.0","7,824.0","8,320.0","8,328.0","7,824.0","8,348.0","8,284.0","8,056.0","8,436.0","8,484.0","8,896.0","10,412.0","10,468.0","11,072.0","10,812.0","10,524.0","9,700.0","10,324.0","9,844.0","11,184.0","10,928.0","11,848.0","11,984.0","12,540.0","12,032.0","12,892.0","12,352.0","11,048.0","10,692.0","11,048.0","10,856.0","10,520.0","10,216.0","9,952.0","9,848.0","9,300.0","8,592.0","8,960.0","8,600.0","9,960.0","9,184.0","10,924.0","11,652.0","12,312.0","11,548.0","12,892.0","12,148.0","11,292.0","11,180.0","10,788.0","9,956.0","11,600.0","9,060.0"
"41","22","      Intellectual property products","Y052RC1","1,172.0","1,172.0","1,192.0","1,216.0","1,248.0","1,300.0","1,320.0","1,336.0","1,344.0","1,348.0","1,336.0","1,316.0","1,292.0","1,284.0","1,296.0","1,340.0","1,392.0","1,460.0","1,540.0","1,620.0","1,696.0","1,776.0","1,868.0","1,952.0","2,080.0","2,176.0","2,280.0","2,376.0","2,472.0","2,556.0","2,632.0","2,704.0","2,772.0","2,908.0","3,100.0","3,368.0","3,692.0","3,988.0","4,264.0","4,516.0","4,716.0","4,856.0","4,952.0","5,008.0","5,020.0","5,064.0","5,180.0","5,352.0","5,540.0","5,692.0","5,776.0","5,800.0","5,836.0","5,868.0","5,968.0","6,088.0","6,284.0","6,504.0","6,628.0","6,664.0","6,660.0","6,676.0","6,712.0","6,756.0","6,828.0","6,904.0","7,024.0","6,984.0","7,008.0","6,984.0","6,904.0","6,804.0","6,692.0","6,656.0","6,644.0","6,672.0","6,748.0","6,888.0","7,088.0","7,368.0","7,680.0","7,900.0","7,976.0","7,968.0","7,852.0","7,812.0","7,856.0","7,968.0","8,164.0","8,268.0"
"42","23","        Software","Y053RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12.0","16.0","20.0","20.0","12.0","12.0","12.0","12.0","16.0","20.0","20.0","16.0","16.0","16.0","68.0","20.0","36.0","36.0","32.0","40.0","24.0","48.0","52.0","52.0","60.0","68.0","76.0","88.0","84.0","84.0","88.0","92.0","96.0","100.0","112.0","116.0","124.0","132.0"
"43","24","        Research and development","Y076RC1","1,172.0","1,172.0","1,192.0","1,216.0","1,248.0","1,300.0","1,320.0","1,336.0","1,344.0","1,348.0","1,336.0","1,316.0","1,292.0","1,284.0","1,296.0","1,340.0","1,392.0","1,460.0","1,540.0","1,620.0","1,696.0","1,776.0","1,868.0","1,952.0","2,080.0","2,176.0","2,280.0","2,376.0","2,472.0","2,556.0","2,632.0","2,704.0","2,772.0","2,908.0","3,100.0","3,368.0","3,692.0","3,988.0","4,264.0","4,516.0","4,716.0","4,856.0","4,952.0","5,008.0","5,020.0","5,064.0","5,180.0","5,352.0","5,540.0","5,692.0","5,776.0","5,800.0","5,824.0","5,852.0","5,948.0","6,068.0","6,272.0","6,492.0","6,616.0","6,652.0","6,644.0","6,656.0","6,692.0","6,740.0","6,812.0","6,888.0","6,956.0","6,964.0","6,972.0","6,948.0","6,872.0","6,764.0","6,668.0","6,608.0","6,592.0","6,620.0","6,688.0","6,820.0","7,012.0","7,280.0","7,596.0","7,816.0","7,888.0","7,876.0","7,756.0","7,712.0","7,744.0","7,852.0","8,040.0","8,136.0"
"44","25","  Nondefense","A825RC1","4,148.0","5,292.0","5,044.0","4,096.0","4,636.0","6,004.0","6,744.0","7,132.0","7,696.0","8,468.0","7,904.0","8,180.0","7,660.0","7,948.0","5,700.0","5,692.0","6,000.0","6,304.0","6,208.0","6,420.0","7,392.0","7,072.0","7,464.0","7,568.0","8,312.0","9,928.0","8,984.0","9,216.0","9,404.0","8,460.0","8,100.0","9,172.0","8,340.0","8,960.0","8,824.0","8,376.0","8,200.0","8,540.0","7,680.0","8,100.0","9,028.0","7,852.0","7,668.0","9,388.0","7,868.0","9,536.0","9,216.0","10,448.0","11,212.0","13,272.0","13,100.0","12,848.0","10,916.0","11,500.0","12,172.0","13,180.0","11,860.0","12,800.0","13,136.0","13,456.0","14,132.0","15,176.0","16,556.0","17,288.0","16,800.0","16,848.0","18,988.0","18,748.0","19,668.0","20,728.0","20,672.0","20,928.0","21,424.0","21,900.0","23,284.0","23,688.0","23,700.0","24,832.0","24,272.0","23,472.0","25,680.0","24,388.0","24,260.0","25,400.0","25,896.0","25,592.0","27,032.0","27,724.0","28,300.0","28,868.0"
"45","26","    Consumption expenditures","A542RC1","3,728.0","4,668.0","4,312.0","3,308.0","3,572.0","4,928.0","5,492.0","5,876.0","6,316.0","6,964.0","6,156.0","6,220.0","5,884.0","5,884.0","3,752.0","4,016.0","4,144.0","4,348.0","4,364.0","4,500.0","5,308.0","5,092.0","5,528.0","5,692.0","6,512.0","8,252.0","7,264.0","7,500.0","7,832.0","6,940.0","6,624.0","7,828.0","7,088.0","7,608.0","7,688.0","7,160.0","6,804.0","6,880.0","5,780.0","6,216.0","7,068.0","5,656.0","5,332.0","7,044.0","5,248.0","6,792.0","6,524.0","7,704.0","8,436.0","10,424.0","10,304.0","9,904.0","7,780.0","7,912.0","8,420.0","9,176.0","7,672.0","8,660.0","8,888.0","8,900.0","9,360.0","10,036.0","11,092.0","11,236.0","10,336.0","9,892.0","11,524.0","10,896.0","11,368.0","12,052.0","11,804.0","11,652.0","11,984.0","12,056.0","13,120.0","13,012.0","12,440.0","13,292.0","12,820.0","12,224.0","14,864.0","14,048.0","13,704.0","14,560.0","14,896.0","14,396.0","15,836.0","16,368.0","17,004.0","17,500.0"
"46","27","    Gross investment","A798RC1","420.0","624.0","732.0","788.0","1,064.0","1,076.0","1,252.0","1,256.0","1,380.0","1,504.0","1,748.0","1,960.0","1,776.0","2,064.0","1,948.0","1,676.0","1,856.0","1,956.0","1,844.0","1,920.0","2,084.0","1,980.0","1,936.0","1,876.0","1,800.0","1,676.0","1,720.0","1,716.0","1,572.0","1,520.0","1,476.0","1,344.0","1,252.0","1,352.0","1,136.0","1,216.0","1,396.0","1,660.0","1,900.0","1,884.0","1,960.0","2,196.0","2,336.0","2,344.0","2,620.0","2,744.0","2,692.0","2,744.0","2,776.0","2,848.0","2,796.0","2,944.0","3,136.0","3,588.0","3,752.0","4,004.0","4,188.0","4,140.0","4,248.0","4,556.0","4,772.0","5,140.0","5,464.0","6,052.0","6,464.0","6,956.0","7,464.0","7,852.0","8,300.0","8,676.0","8,868.0","9,276.0","9,440.0","9,844.0","10,164.0","10,676.0","11,260.0","11,540.0","11,452.0","11,248.0","10,816.0","10,340.0","10,556.0","10,840.0","11,000.0","11,196.0","11,196.0","11,356.0","11,296.0","11,368.0"
"47","28","      Structures","A830RC1","76.0","272.0","432.0","520.0","580.0","652.0","744.0","740.0","808.0","980.0","1,200.0","1,364.0","1,128.0","1,272.0","1,140.0","924.0","1,020.0","1,108.0","1,088.0","1,136.0","1,204.0","1,076.0","1,048.0","1,044.0","1,080.0","1,064.0","1,040.0","1,032.0","944.0","952.0","932.0","784.0","672.0","616.0","580.0","592.0","660.0","840.0","1,052.0","1,036.0","1,052.0","1,108.0","1,192.0","1,156.0","1,364.0","1,388.0","1,408.0","1,456.0","1,472.0","1,552.0","1,468.0","1,432.0","1,500.0","1,664.0","1,684.0","1,808.0","1,920.0","1,748.0","1,852.0","1,964.0","1,940.0","2,100.0","2,124.0","2,320.0","2,200.0","2,312.0","2,352.0","2,412.0","2,480.0","2,548.0","2,520.0","2,644.0","2,636.0","2,740.0","2,756.0","2,888.0","3,008.0","2,912.0","2,736.0","2,672.0","2,336.0","2,096.0","2,220.0","2,216.0","2,192.0","2,148.0","1,988.0","2,012.0","1,920.0","1,916.0"
"48","29","      Equipment","Y066RC1","212.0","212.0","144.0","88.0","272.0","188.0","256.0","244.0","288.0","224.0","204.0","200.0","184.0","280.0","268.0","200.0","292.0","312.0","232.0","272.0","380.0","420.0","420.0","380.0","320.0","236.0","324.0","336.0","280.0","224.0","196.0","196.0","196.0","312.0","100.0","132.0","208.0","236.0","200.0","172.0","184.0","268.0","240.0","192.0","164.0","220.0","136.0","172.0","216.0","220.0","188.0","268.0","204.0","236.0","272.0","332.0","352.0","408.0","288.0","324.0","368.0","316.0","292.0","288.0","364.0","340.0","392.0","452.0","544.0","592.0","552.0","584.0","536.0","524.0","496.0","500.0","544.0","668.0","640.0","580.0","700.0","568.0","596.0","664.0","516.0","488.0","468.0","512.0","548.0","620.0"
"49","30","      Intellectual property products","Y067RC1","132.0","140.0","156.0","180.0","212.0","236.0","252.0","272.0","284.0","300.0","344.0","396.0","464.0","512.0","540.0","552.0","544.0","536.0","524.0","512.0","500.0","484.0","468.0","452.0","400.0","376.0","356.0","348.0","348.0","344.0","348.0","364.0","384.0","424.0","456.0","492.0","528.0","584.0","648.0","676.0","724.0","820.0","904.0","996.0","1,092.0","1,136.0","1,148.0","1,116.0","1,088.0","1,076.0","1,140.0","1,244.0","1,432.0","1,688.0","1,796.0","1,864.0","1,916.0","1,984.0","2,108.0","2,268.0","2,464.0","2,724.0","3,048.0","3,444.0","3,900.0","4,304.0","4,720.0","4,988.0","5,276.0","5,536.0","5,796.0","6,048.0","6,268.0","6,580.0","6,912.0","7,288.0","7,708.0","7,960.0","8,076.0","7,996.0","7,780.0","7,676.0","7,740.0","7,960.0","8,292.0","8,560.0","8,740.0","8,832.0","8,828.0","8,832.0"
"50","31","        Software","Y068RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4.0","8.0","8.0","12.0","24.0","24.0","24.0","28.0","28.0","28.0","28.0","32.0","32.0","32.0","88.0","32.0","48.0","48.0","60.0","60.0","48.0","72.0","76.0","80.0","80.0","88.0","112.0","116.0","128.0","128.0","136.0","140.0","144.0","160.0","176.0","192.0","216.0","244.0"
"51","32","        Research and development","Y069RC1","132.0","140.0","156.0","180.0","212.0","236.0","252.0","272.0","284.0","300.0","344.0","396.0","464.0","512.0","540.0","552.0","544.0","536.0","524.0","512.0","500.0","484.0","468.0","452.0","400.0","376.0","356.0","348.0","348.0","344.0","348.0","364.0","384.0","424.0","456.0","492.0","528.0","584.0","648.0","676.0","724.0","820.0","904.0","996.0","1,092.0","1,136.0","1,148.0","1,116.0","1,088.0","1,076.0","1,140.0","1,244.0","1,428.0","1,680.0","1,788.0","1,852.0","1,892.0","1,960.0","2,084.0","2,240.0","2,436.0","2,696.0","3,020.0","3,412.0","3,868.0","4,272.0","4,632.0","4,956.0","5,228.0","5,488.0","5,736.0","5,988.0","6,220.0","6,508.0","6,836.0","7,208.0","7,628.0","7,872.0","7,964.0","7,880.0","7,652.0","7,548.0","7,604.0","7,820.0","8,148.0","8,400.0","8,564.0","8,640.0","8,612.0","8,588.0"
"52","33","State and local","A829RC1","13,425.0","13,835.0","14,453.0","15,150.0","15,664.0","16,431.0","17,327.0","18,031.0","18,569.0","19,299.0","20,055.0","20,293.0","20,586.0","20,899.0","21,510.0","22,130.0","22,660.0","23,419.0","23,958.0","24,227.0","24,330.0","25,144.0","24,989.0","25,552.0","26,365.0","26,237.0","26,902.0","27,484.0","28,357.0","29,115.0","30,090.0","30,414.0","31,453.0","31,988.0","32,478.0","33,073.0","34,180.0","35,062.0","35,833.0","36,549.0","37,814.0","38,695.0","39,436.0","40,409.0","41,504.0","42,493.0","43,631.0","44,520.0","45,278.0","45,408.0","45,414.0","45,233.0","46,482.0","47,845.0","48,808.0","49,596.0","51,530.0","51,694.0","52,474.0","54,264.0","54,451.0","54,972.0","55,698.0","56,635.0","58,224.0","59,083.0","60,781.0","62,093.0","63,244.0","64,980.0","65,986.0","67,004.0","68,380.0","70,560.0","73,185.0","74,817.0","76,753.0","78,598.0","80,528.0","83,518.0","85,710.0","86,968.0","88,530.0","91,219.0","94,536.0","97,717.0","100,133.0","102,977.0","105,472.0","108,507.0"
"53","34","  Consumption expenditures","A991RC1","10,735.0","11,106.0","11,513.0","11,951.0","12,203.0","12,495.0","13,014.0","13,464.0","13,771.0","13,931.0","14,354.0","14,571.0","14,979.0","15,162.0","15,491.0","15,793.0","16,085.0","16,294.0","16,687.0","17,043.0","16,980.0","17,793.0","17,623.0","18,026.0","18,564.0","18,525.0","18,890.0","19,028.0","19,414.0","19,905.0","20,598.0","20,881.0","21,628.0","21,878.0","22,217.0","22,691.0","23,130.0","23,677.0","24,342.0","24,939.0","25,357.0","26,080.0","26,819.0","27,474.0","28,334.0","29,181.0","29,734.0","30,164.0","30,622.0","30,994.0","31,418.0","31,954.0","32,948.0","33,893.0","34,370.0","35,094.0","36,175.0","37,193.0","37,470.0","38,116.0","38,618.0","39,114.0","39,479.0","40,157.0","41,001.0","41,819.0","42,664.0","43,620.0","44,627.0","45,559.0","46,434.0","47,496.0","48,659.0","49,885.0","51,276.0","52,463.0","54,047.0","55,522.0","57,143.0","58,769.0","59,872.0","61,279.0","63,280.0","65,108.0","67,526.0","69,480.0","71,719.0","74,125.0","76,435.0","79,045.0"
"54","35","  Gross investment","A799RC1","2,690.0","2,730.0","2,941.0","3,199.0","3,461.0","3,936.0","4,313.0","4,567.0","4,798.0","5,368.0","5,701.0","5,722.0","5,607.0","5,737.0","6,019.0","6,337.0","6,575.0","7,125.0","7,270.0","7,184.0","7,350.0","7,351.0","7,366.0","7,526.0","7,801.0","7,712.0","8,012.0","8,457.0","8,943.0","9,210.0","9,492.0","9,532.0","9,825.0","10,110.0","10,261.0","10,382.0","11,050.0","11,385.0","11,492.0","11,610.0","12,456.0","12,615.0","12,617.0","12,934.0","13,171.0","13,311.0","13,897.0","14,356.0","14,656.0","14,414.0","13,996.0","13,278.0","13,534.0","13,952.0","14,438.0","14,502.0","15,355.0","14,501.0","15,004.0","16,148.0","15,833.0","15,857.0","16,219.0","16,478.0","17,223.0","17,264.0","18,117.0","18,473.0","18,617.0","19,421.0","19,551.0","19,507.0","19,721.0","20,676.0","21,909.0","22,353.0","22,706.0","23,075.0","23,385.0","24,749.0","25,837.0","25,688.0","25,250.0","26,112.0","27,010.0","28,237.0","28,414.0","28,852.0","29,037.0","29,462.0"
"55","36","    Structures","A842RC1","2,350.0","2,374.0","2,570.0","2,814.0","2,970.0","3,462.0","3,838.0","4,086.0","4,342.0","4,874.0","5,170.0","5,162.0","5,072.0","5,200.0","5,476.0","5,792.0","5,958.0","6,506.0","6,650.0","6,562.0","6,687.0","6,683.0","6,691.0","6,847.0","7,089.0","6,997.0","7,293.0","7,733.0","8,156.0","8,408.0","8,668.0","8,684.0","8,987.0","9,239.0","9,371.0","9,499.0","10,063.0","10,383.0","10,463.0","10,559.0","11,300.0","11,428.0","11,404.0","11,700.0","12,004.0","12,128.0","12,692.0","13,104.0","13,442.0","13,177.0","12,739.0","11,998.0","12,170.0","12,556.0","13,022.0","13,060.0","13,921.0","13,038.0","13,526.0","14,659.0","14,288.0","14,294.0","14,639.0","14,875.0","15,498.0","15,490.0","16,292.0","16,596.0","16,657.0","17,405.0","17,486.0","17,380.0","17,598.0","18,491.0","19,670.0","20,053.0","20,350.0","20,628.0","20,859.0","22,135.0","23,223.0","23,018.0","22,555.0","23,372.0","24,209.0","25,386.0","25,473.0","25,812.0","25,927.0","26,267.0"
"56","37","    Equipment","Y070RC1","291.0","307.0","322.0","336.0","442.0","424.0","424.0","429.0","403.0","439.0","475.0","502.0","475.0","475.0","479.0","479.0","548.0","548.0","548.0","548.0","588.0","592.0","598.0","600.0","631.0","631.0","632.0","633.0","692.0","703.0","722.0","744.0","732.0","763.0","779.0","769.0","870.0","882.0","905.0","924.0","1,026.0","1,053.0","1,075.0","1,093.0","1,022.0","1,035.0","1,053.0","1,096.0","1,054.0","1,073.0","1,089.0","1,108.0","1,184.0","1,206.0","1,219.0","1,238.0","1,226.0","1,249.0","1,258.0","1,261.0","1,311.0","1,323.0","1,331.0","1,343.0","1,453.0","1,489.0","1,526.0","1,567.0","1,640.0","1,688.0","1,731.0","1,786.0","1,770.0","1,818.0","1,856.0","1,900.0","1,939.0","2,011.0","2,071.0","2,138.0","2,123.0","2,166.0","2,181.0","2,212.0","2,260.0","2,293.0","2,368.0","2,448.0","2,495.0","2,555.0"
"57","38","    Intellectual property products","Y071RC1","49.0","49.0","49.0","49.0","49.0","50.0","51.0","52.0","53.0","55.0","56.0","58.0","60.0","62.0","64.0","66.0","69.0","71.0","72.0","74.0","75.0","76.0","77.0","79.0","81.0","84.0","87.0","91.0","95.0","99.0","102.0","104.0","106.0","108.0","111.0","114.0","117.0","120.0","124.0","127.0","130.0","134.0","138.0","141.0","145.0","148.0","152.0","156.0","160.0","164.0","168.0","173.0","180.0","190.0","197.0","204.0","208.0","214.0","220.0","228.0","234.0","240.0","249.0","260.0","272.0","285.0","299.0","310.0","320.0","328.0","334.0","341.0","353.0","367.0","383.0","400.0","417.0","436.0","455.0","476.0","491.0","505.0","514.0","528.0","541.0","557.0","574.0","592.0","615.0","640.0"
"58","39","      Software","Y072RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1.0","1.0","1.0","1.0","4.0","10.0","12.0","14.0","13.0","13.0","14.0","16.0","16.0","16.0","18.0","22.0","27.0","33.0","40.0","44.0","46.0","47.0","46.0","45.0","49.0","54.0","61.0","68.0","74.0","82.0","88.0","96.0","98.0","98.0","95.0","97.0","99.0","104.0","108.0","113.0","122.0","132.0"
"59","40","      Research and development","Y073RC1","49.0","49.0","49.0","49.0","49.0","50.0","51.0","52.0","53.0","55.0","56.0","58.0","60.0","62.0","64.0","66.0","69.0","71.0","72.0","74.0","75.0","76.0","77.0","79.0","81.0","84.0","87.0","91.0","95.0","99.0","102.0","104.0","106.0","108.0","111.0","114.0","117.0","120.0","124.0","127.0","130.0","134.0","138.0","141.0","145.0","148.0","152.0","156.0","159.0","163.0","167.0","172.0","176.0","180.0","185.0","190.0","195.0","201.0","206.0","212.0","218.0","224.0","231.0","238.0","245.0","252.0","259.0","266.0","274.0","281.0","288.0","296.0","304.0","313.0","322.0","332.0","343.0","354.0","367.0","380.0","393.0","407.0","419.0","431.0","442.0","453.0","466.0","479.0","493.0","508.0"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
