"","Table 3#5# Taxes on Production and Imports                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","    Taxes on production and imports","W056RC1","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,602.0","808,004.0","863,941.0","934,530.0","991,945.0","1,034,562.0","1,041,917.0","1,026,146.0","1,057,110.0","1,102,626.0","1,132,014.0","1,162,446.0"
"20","2","Federal","W007RC1","17,812.0","18,081.0","18,992.0","18,481.0","19,799.0","20,064.0","22,077.0","21,374.0","22,723.0","25,278.0","25,684.0","33,663.0","49,929.0","40,956.0","44,383.0","47,300.0","46,052.0","43,698.0","45,940.0","49,827.0","49,741.0","50,912.0","61,765.0","63,295.0","66,358.0","78,986.0","75,553.0","72,854.0","77,837.0","80,698.0","83,432.0","87,251.0","85,283.0","86,805.0","90,181.0","95,246.0","99,393.0","99,228.0","94,605.0","93,968.0","91,365.0","96,757.0","108,602.0","115,049.0","120,884.0"
"21","3","  Excise taxes","B234RC1","15,442.0","15,597.0","15,880.0","15,484.0","16,528.0","16,406.0","16,213.0","16,814.0","17,320.0","18,178.0","18,230.0","26,503.0","41,340.0","32,347.0","35,292.0","35,397.0","33,894.0","30,001.0","30,407.0","33,415.0","32,260.0","33,422.0","44,929.0","44,968.0","46,548.0","57,544.0","55,734.0","53,633.0","58,220.0","61,112.0","64,250.0","66,128.0","64,647.0","66,886.0","68,749.0","71,981.0","74,076.0","72,561.0","65,832.0","64,745.0","68,303.0","68,177.0","76,732.0","81,568.0","85,459.0"
"22","4","    Gasoline","B2000C1","3,344.0","3,543.0","3,675.0","3,890.0","4,124.0","3,953.0","4,070.0","4,264.0","4,387.0","4,520.0","4,391.0","4,097.0","4,052.0","4,054.0","7,948.0","8,870.0","8,912.0","9,194.0","8,997.0","9,797.0","9,470.0","10,048.0","15,238.0","15,543.0","15,998.0","21,299.0","21,186.0","22,300.0","22,143.0","23,428.0","23,437.0","23,432.0","23,301.0","23,280.0","24,031.0","24,193.0","25,821.0","25,843.0","22,485.0","19,647.0","20,375.0","19,475.0","18,347.0","24,888.0","24,418.0"
"23","5","    Alcoholic beverages","B2001C1","4,473.0","4,565.0","4,748.0","4,868.0","4,984.0","5,132.0","5,189.0","5,074.0","5,141.0","5,282.0","5,274.0","5,164.0","5,206.0","4,989.0","5,130.0","4,748.0","4,761.0","5,257.0","5,351.0","5,218.0","5,158.0","5,228.0","7,040.0","7,159.0","7,201.0","6,608.0","6,989.0","7,084.0","6,953.0","7,022.0","7,250.0","7,281.0","7,306.0","7,578.0","7,869.0","8,110.0","8,111.0","8,482.0","8,571.0","8,668.0","8,645.0","8,848.0","9,010.0","9,423.0","9,025.0"
"24","6","    Tobacco","B2002C1","2,092.0","2,178.0","2,156.0","2,233.0","2,400.0","2,348.0","2,377.0","2,492.0","2,379.0","2,467.0","2,469.0","2,486.0","2,557.0","2,496.0","4,998.0","4,645.0","4,467.0","4,595.0","4,601.0","4,442.0","4,284.0","4,217.0","5,000.0","5,359.0","5,713.0","5,828.0","5,919.0","5,821.0","5,863.0","5,556.0","5,603.0","6,741.0","7,130.0","7,441.0","7,958.0","8,017.0","8,905.0","8,755.0","8,377.0","7,999.0","16,309.0","17,487.0","16,959.0","16,524.0","15,781.0"
"25","7","    Diesel fuel","B2003C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","418.0","460.0","517.0","499.0","529.0","572.0","599.0","1,233.0","1,916.0","2,592.0","2,639.0","2,725.0","4,126.0","3,154.0","3,268.0","4,278.0","4,237.0","4,128.0","7,070.0","6,552.0","7,760.0","7,370.0","7,722.0","8,264.0","8,573.0","8,615.0","8,907.0","8,977.0","9,170.0","9,784.0","9,175.0","9,262.0","7,917.0","7,633.0","7,438.0","8,432.0","8,879.0","9,294.0"
"26","8","    Air transport","B2004C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","906.0","1,027.0","1,178.0","1,426.0","1,507.0","1,143.0","1,389.0","2,073.0","2,337.0","2,448.0","2,595.0","2,647.0","3,056.0","3,181.0","3,544.0","4,740.0","4,770.0","5,039.0","5,519.0","5,666.0","2,480.0","6,479.0","8,326.0","8,781.0","9,870.0","9,108.0","10,382.0","10,526.0","12,102.0","12,554.0","12,222.0","13,685.0","13,453.0","13,628.0","12,518.0","13,653.0","13,883.0","15,080.0"
"27","9","    Health insurance","Y700RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","178.0","367.0"
"28","10","    Medical devices","Y701RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,854.0"
"29","11","    Pharmaceutical","Y702RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,500.0","2,800.0","2,800.0"
"30","12","    Crude oil windfall profits tax","B2005C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,347.0","24,334.0","15,715.0","9,875.0","8,335.0","5,235.0","400.0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"31","13","    Other \1\","B2006C1","5,533.0","5,311.0","5,301.0","4,493.0","5,020.0","4,973.0","4,577.0","3,660.0","3,926.0","4,214.0","4,171.0","3,373.0","3,476.0","3,105.0","4,035.0","4,546.0","5,479.0","5,321.0","6,086.0","6,776.0","7,013.0","7,117.0","8,633.0","7,900.0","8,469.0","11,220.0","9,422.0","8,188.0","9,412.0","9,058.0","10,915.0","10,231.0","9,187.0","9,298.0","9,389.0","10,389.0","8,901.0","8,084.0","3,452.0","7,061.0","1,713.0","2,411.0","7,831.0","4,993.0","6,840.0"
"32","14","  Customs duties","B235RC1","2,370.0","2,484.0","3,112.0","2,997.0","3,271.0","3,658.0","5,864.0","4,560.0","5,403.0","7,100.0","7,454.0","7,160.0","8,589.0","8,609.0","9,091.0","11,903.0","12,158.0","13,697.0","15,533.0","16,412.0","17,481.0","17,490.0","16,836.0","18,327.0","19,810.0","21,442.0","19,819.0","19,221.0","19,617.0","19,586.0","19,182.0","21,123.0","20,636.0","19,919.0","21,432.0","23,265.0","25,317.0","26,667.0","28,773.0","29,223.0","23,062.0","28,580.0","31,870.0","33,481.0","35,425.0"
"33","15","  Other \2\","B036RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"34","16","State and local","W072RC1","66,044.0","73,332.0","81,501.0","89,447.0","97,421.0","104,838.0","113,215.0","125,014.0","136,941.0","145,620.0","154,417.0","166,667.0","185,715.0","199,977.0","218,898.0","242,473.0","262,081.0","279,675.0","301,605.0","324,637.0","349,126.0","374,078.0","395,326.0","420,081.0","436,767.0","466,262.0","482,350.0","507,900.0","533,778.0","558,775.0","590,153.0","621,305.0","642,407.0","675,797.0","717,823.0","768,695.0","835,137.0","892,717.0","939,957.0","947,949.0","934,781.0","960,353.0","994,024.0","1,016,965.0","1,041,562.0"
"35","17","  Sales taxes","B248RC1","28,562.0","31,645.0","35,364.0","39,801.0","44,080.0","48,160.0","51,703.0","57,760.0","64,018.0","71,000.0","77,281.0","82,858.0","90,747.0","96,199.0","107,650.0","121,000.0","131,124.0","139,850.0","150,326.0","162,392.0","172,319.0","184,291.0","190,661.0","204,306.0","216,393.0","231,421.0","242,735.0","256,186.0","268,650.0","283,870.0","301,568.0","316,814.0","321,803.0","331,105.0","348,853.0","371,051.0","402,469.0","431,811.0","448,916.0","444,780.0","423,902.0","445,953.0","466,704.0","482,017.0","501,078.0"
"36","18","    State","A1666C1","25,693.0","28,193.0","31,393.0","35,224.0","38,840.0","42,012.0","44,749.0","49,868.0","55,025.0","60,833.0","65,735.0","70,035.0","76,451.0","80,331.0","89,960.0","100,881.0","109,003.0","115,768.0","124,613.0","135,149.0","142,255.0","152,526.0","157,501.0","169,680.0","179,389.0","191,679.0","200,495.0","211,834.0","221,296.0","233,259.0","245,947.0","255,486.0","259,945.0","267,956.0","282,034.0","300,519.0","325,649.0","346,623.0","358,960.0","354,336.0","335,574.0","354,706.0","370,671.0","382,708.0","398,723.0"
"37","19","      General \3\","L305131","13,304.0","14,777.0","16,625.0","18,879.0","21,093.0","23,899.0","25,755.0","29,280.0","33,072.0","37,497.0","41,775.0","44,815.0","48,962.0","51,174.0","58,156.0","66,543.0","72,334.0","76,771.0","82,984.0","91,172.0","96,318.0","103,398.0","105,028.0","112,130.0","118,187.0","127,911.0","135,132.0","143,817.0","151,433.0","159,496.0","169,080.0","177,757.0","179,539.0","181,896.0","190,000.0","204,582.0","221,461.0","235,115.0","241,144.0","236,873.0","219,273.0","229,778.0","239,800.0","248,627.0","259,426.0"
"38","20","      Gasoline","L305141","5,977.0","6,407.0","6,866.0","7,625.0","8,275.0","8,132.0","8,385.0","8,961.0","9,315.0","9,744.0","9,740.0","9,570.0","10,093.0","10,466.0","11,609.0","12,907.0","13,955.0","14,949.0","16,517.0","17,554.0","18,617.0","20,121.0","21,399.0","22,866.0","24,017.0","25,174.0","25,688.0","26,606.0","27,709.0","28,625.0","29,615.0","30,368.0","31,622.0","32,396.0","32,708.0","33,944.0","35,139.0","36,293.0","37,358.0","36,916.0","36,433.0","38,269.0","39,857.0","40,119.0","40,315.0"
"39","21","      Alcoholic beverages \3\","L305151","1,310.0","1,493.0","1,620.0","1,749.0","1,861.0","1,989.0","2,044.0","2,120.0","2,193.0","2,330.0","2,406.0","2,527.0","2,703.0","2,712.0","2,818.0","2,979.0","3,078.0","3,064.0","3,175.0","3,114.0","3,138.0","3,296.0","3,496.0","3,558.0","3,641.0","3,594.0","3,609.0","3,722.0","3,696.0","3,803.0","4,022.0","4,149.0","4,211.0","4,254.0","4,508.0","4,620.0","4,833.0","5,059.0","5,232.0","5,334.0","5,397.0","5,668.0","5,742.0","5,930.0","6,062.0"
"40","22","      Tobacco \3\","L305161","2,111.0","2,426.0","2,601.0","2,965.0","3,161.0","3,251.0","3,349.0","3,484.0","3,564.0","3,654.0","3,667.0","3,824.0","3,921.0","4,059.0","4,037.0","4,204.0","4,400.0","4,570.0","4,676.0","4,814.0","5,384.0","5,819.0","6,116.0","6,074.0","6,497.0","7,041.0","7,302.0","7,476.0","7,520.0","8,102.0","8,189.0","8,536.0","8,622.0","10,391.0","11,812.0","12,698.0","13,710.0","14,738.0","15,914.0","16,504.0","16,509.0","17,227.0","17,232.0","17,105.0","17,056.0"
"41","23","      Public utilities \4\","L305171","831.0","944.0","1,151.0","1,316.0","1,387.0","1,546.0","1,862.0","2,111.0","2,395.0","2,693.0","2,932.0","3,706.0","4,621.0","5,350.0","5,868.0","5,935.0","6,185.0","6,028.0","6,071.0","6,121.0","6,243.0","6,665.0","6,977.0","7,930.0","7,977.0","8,525.0","7,932.0","8,872.0","8,890.0","8,840.0","9,361.0","8,803.0","9,833.0","10,342.0","10,547.0","10,636.0","11,668.0","14,104.0","14,713.0","14,827.0","14,784.0","14,714.0","14,685.0","14,517.0","14,375.0"
"42","24","      Insurance receipts \4\","L305181","1,223.0","1,116.0","1,371.0","1,431.0","1,603.0","1,683.0","1,740.0","1,988.0","2,376.0","2,685.0","2,912.0","3,241.0","3,425.0","3,547.0","4,017.0","4,200.0","4,769.0","5,946.0","6,651.0","7,273.0","7,314.0","7,535.0","7,883.0","7,888.0","8,148.0","8,460.0","8,960.0","8,859.0","9,180.0","9,604.0","9,696.0","9,835.0","10,370.0","11,593.0","13,113.0","14,513.0","15,099.0","15,156.0","15,472.0","15,710.0","15,544.0","15,619.0","16,436.0","16,924.0","17,565.0"
"43","25","      Other \4\","L305191","937.0","1,030.0","1,159.0","1,259.0","1,460.0","1,512.0","1,614.0","1,924.0","2,110.0","2,230.0","2,303.0","2,352.0","2,726.0","3,023.0","3,455.0","4,113.0","4,282.0","4,440.0","4,539.0","5,101.0","5,241.0","5,692.0","6,602.0","9,234.0","10,922.0","10,974.0","11,872.0","12,482.0","12,868.0","14,789.0","15,984.0","16,038.0","15,748.0","17,084.0","19,346.0","19,526.0","23,739.0","26,158.0","29,127.0","28,172.0","27,634.0","33,431.0","36,919.0","39,486.0","43,924.0"
"44","26","    Local","A1667C1","2,869.0","3,452.0","3,971.0","4,577.0","5,240.0","6,148.0","6,954.0","7,892.0","8,993.0","10,167.0","11,546.0","12,823.0","14,296.0","15,868.0","17,690.0","20,119.0","22,121.0","24,082.0","25,713.0","27,243.0","30,064.0","31,765.0","33,160.0","34,626.0","37,004.0","39,742.0","42,240.0","44,352.0","47,354.0","50,611.0","55,621.0","61,328.0","61,858.0","63,149.0","66,819.0","70,532.0","76,820.0","85,188.0","89,956.0","90,444.0","88,328.0","91,247.0","96,033.0","99,309.0","102,355.0"
"45","27","      General","L305211","1,809.0","2,183.0","2,476.0","2,955.0","3,447.0","4,074.0","4,556.0","5,167.0","5,905.0","6,709.0","7,717.0","8,801.0","9,822.0","10,836.0","12,212.0","14,027.0","15,516.0","16,917.0","17,936.0","18,805.0","21,039.0","22,177.0","23,008.0","23,902.0","25,527.0","27,465.0","29,316.0","30,589.0","32,789.0","35,439.0","39,501.0","43,601.0","43,570.0","44,136.0","46,744.0","49,235.0","53,838.0","60,723.0","64,380.0","64,081.0","62,304.0","64,667.0","68,457.0","71,072.0","73,518.0"
"46","28","      Public utilities","L305221","612.0","731.0","876.0","996.0","1,117.0","1,309.0","1,544.0","1,771.0","2,038.0","2,299.0","2,517.0","2,600.0","2,793.0","3,211.0","3,480.0","3,766.0","3,973.0","4,111.0","4,270.0","4,491.0","4,816.0","5,149.0","5,589.0","6,019.0","6,464.0","6,841.0","7,217.0","7,520.0","7,904.0","8,220.0","8,485.0","9,186.0","9,874.0","10,376.0","10,637.0","11,274.0","12,014.0","12,650.0","13,150.0","13,701.0","13,717.0","13,953.0","13,976.0","14,044.0","14,203.0"
"47","29","      Other","L305231","448.0","538.0","619.0","626.0","676.0","765.0","854.0","954.0","1,050.0","1,159.0","1,312.0","1,422.0","1,681.0","1,821.0","1,998.0","2,326.0","2,632.0","3,054.0","3,507.0","3,947.0","4,209.0","4,439.0","4,563.0","4,705.0","5,013.0","5,436.0","5,707.0","6,243.0","6,661.0","6,952.0","7,635.0","8,541.0","8,414.0","8,637.0","9,438.0","10,023.0","10,968.0","11,815.0","12,426.0","12,662.0","12,307.0","12,627.0","13,600.0","14,193.0","14,634.0"
"48","30","  Property taxes","B249RC1","32,763.0","36,674.0","40,445.0","43,227.0","46,355.0","48,980.0","53,384.0","58,247.0","63,200.0","63,748.0","64,403.0","68,826.0","77,080.0","85,300.0","91,877.0","99,700.0","107,491.0","116,158.0","126,422.0","136,496.0","149,864.0","161,533.0","176,071.0","184,678.0","187,258.0","199,369.0","202,579.0","212,352.0","223,530.0","231,008.0","242,802.0","254,669.0","268,018.0","289,268.0","306,982.0","326,181.0","351,318.0","375,020.0","403,828.0","413,772.0","435,104.0","435,042.0","439,178.0","443,739.0","446,358.0"
"49","31","  Motor vehicle licenses","S230201","1,068.0","1,136.0","1,184.0","1,261.0","1,359.0","1,450.0","1,444.0","1,610.0","1,636.0","1,741.0","1,840.0","1,951.0","2,074.0","2,145.0","2,108.0","2,317.0","2,552.0","2,733.0","2,954.0","3,191.0","3,404.0","3,564.0","3,667.0","3,978.0","4,480.0","4,937.0","5,467.0","5,424.0","5,776.0","6,065.0","6,279.0","6,689.0","6,604.0","6,902.0","7,168.0","7,670.0","7,945.0","8,313.0","8,478.0","8,423.0","8,666.0","9,118.0","9,541.0","9,920.0","10,090.0"
"50","32","  Severance taxes \5\","S230431","652.0","701.0","746.0","803.0","887.0","1,596.0","1,810.0","2,101.0","2,335.0","2,574.0","3,464.0","4,950.0","7,538.0","7,759.0","7,074.0","7,289.0","7,005.0","4,959.0","4,310.0","4,148.0","4,409.0","5,224.0","5,089.0","4,776.0","4,392.0","4,390.0","4,041.0","4,517.0","4,721.0","3,577.0","3,530.0","5,285.0","5,756.0","4,281.0","5,869.0","7,080.0","9,154.0","10,669.0","12,898.0","21,275.0","8,675.0","11,824.0","16,581.0","16,559.0","16,895.0"
"51","33","  Special assessments","S230551","533.0","586.0","662.0","751.0","800.0","825.0","852.0","875.0","933.0","1,066.0","1,212.0","1,321.0","1,476.0","1,612.0","1,813.0","2,046.0","2,141.0","2,336.0","2,514.0","2,379.0","2,374.0","2,368.0","2,473.0","2,768.0","2,887.0","3,070.0","3,137.0","3,391.0","3,700.0","3,678.0","3,760.0","3,904.0","4,501.0","5,583.0","6,224.0","6,325.0","6,847.0","7,815.0","7,757.0","7,502.0","7,458.0","7,418.0","7,558.0","7,908.0","8,273.0"
"52","34","  Other taxes \6\","S230401","2,466.0","2,590.0","3,100.0","3,604.0","3,940.0","3,827.0","4,022.0","4,421.0","4,819.0","5,491.0","6,217.0","6,761.0","6,800.0","6,962.0","8,376.0","10,121.0","11,768.0","13,639.0","15,079.0","16,031.0","16,756.0","17,098.0","17,365.0","19,575.0","21,357.0","23,075.0","24,391.0","26,030.0","27,401.0","30,577.0","32,214.0","33,944.0","35,725.0","38,658.0","42,727.0","50,388.0","57,404.0","59,089.0","58,080.0","52,197.0","50,976.0","50,998.0","54,462.0","56,822.0","58,868.0"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Consists largely of taxes on telephone services, tires, coal, nuclear fuel,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","trucks, indoor tanning services, and of refunds other than those for alcoholic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","beverages and tobacco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Consists of the capital stock tax in 1933-45.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. For 1929-30, included in line 34.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","4. Prior to 1958, included in line 34.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","5. Prior to 1959, included in line 34.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","6. Consists largely of business licenses and of documentary and stamp taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","See also footnotes 3, 4, and 5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
