"","Table 7#24# Transactions of State and Local Government Defined B","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"29","11","    Interest","Y313RC1","4,097.0","4,905.0","5,769.0","7,201.0","7,567.0","8,707.0","10,848.0","11,674.0","12,713.0","14,145.0","16,370.0","19,346.0","21,866.0","27,872.0","32,095.0","32,755.0","35,345.0","38,624.0","39,561.0","40,046.0","47,513.0","44,494.0","48,657.0","49,166.0","49,546.0","54,898.0","65,379.0","57,622.0","62,322.0","51,827.0","47,485.0","33,007.0","31,348.0","49,852.0","85,099.0","80,235.0","75,605.0","78,390.0","73,196.0","61,094.0","109,253.0","111,172.0","107,099.0","120,792.0","114,752.0"
"30","12","      Monetary interest","Y314RC1","1,919.0","2,525.0","2,904.0","3,611.0","3,858.0","4,115.0","5,185.0","6,633.0","7,180.0","8,036.0","10,129.0","13,098.0","15,420.0","20,817.0","24,892.0","26,564.0","30,079.0","34,655.0","37,854.0","39,235.0","42,622.0","42,883.0","44,577.0","40,354.0","41,817.0","48,638.0","56,443.0","55,889.0","65,562.0","66,527.0","68,688.0","63,573.0","51,380.0","53,530.0","61,440.0","61,683.0","58,440.0","60,457.0","61,647.0","49,908.0","38,841.0","39,744.0","38,756.0","38,420.0","40,746.0"
"31","13","      Imputed interest on plans' claims on employers \4\","Y315RC1","2,178.0","2,380.0","2,865.0","3,590.0","3,709.0","4,592.0","5,663.0","5,041.0","5,533.0","6,109.0","6,241.0","6,248.0","6,446.0","7,055.0","7,203.0","6,191.0","5,266.0","3,969.0","1,707.0","811.0","4,891.0","1,611.0","4,080.0","8,812.0","7,729.0","6,260.0","8,936.0","1,733.0","-3,240.0","-14,700.0","-21,203.0","-30,566.0","-20,032.0","-3,678.0","23,659.0","18,552.0","17,165.0","17,933.0","11,549.0","11,186.0","70,412.0","71,428.0","68,343.0","82,372.0","74,006.0"
"32","14","    Dividends","Y316RC1","151.0","235.0","279.0","328.0","458.0","821.0","842.0","842.0","1,256.0","1,671.0","1,913.0","1,782.0","2,159.0","2,795.0","3,194.0","3,699.0","4,346.0","4,959.0","5,704.0","7,121.0","8,815.0","10,383.0","11,519.0","12,808.0","13,355.0","13,956.0","15,111.0","17,978.0","20,621.0","21,483.0","22,244.0","21,503.0","19,575.0","16,627.0","16,500.0","20,910.0","25,146.0","28,143.0","30,328.0","27,736.0","23,470.0","23,656.0","26,130.0","27,153.0","28,284.0"
"33","15","Current expenditures, accrual basis","Y317RC1","17,948.0","20,751.0","24,528.0","29,568.0","30,508.0","35,042.0","41,451.0","42,706.0","47,280.0","52,933.0","60,005.0","66,972.0","74,888.0","90,311.0","101,861.0","106,408.0","115,628.0","126,555.0","132,709.0","139,785.0","168,154.0","170,655.0","186,190.0","203,868.0","209,956.0","226,800.0","255,811.0","251,269.0","272,219.0","260,065.0","260,283.0","239,022.0","241,048.0","279,119.0","359,810.0","379,648.0","383,456.0","404,634.0","408,468.0","385,863.0","478,804.0","501,156.0","499,071.0","529,317.0","520,766.0"
"34","16","  Administrative expenses","Y327RC1","116.0","131.0","146.0","158.0","170.0","180.0","192.0","213.0","217.0","231.0","249.0","268.0","356.0","446.0","413.0","401.0","653.0","806.0","897.0","1,032.0","1,257.0","1,417.0","1,615.0","1,776.0","2,020.0","2,212.0","2,526.0","3,394.0","3,882.0","4,170.0","4,605.0","5,956.0","7,485.0","7,735.0","7,791.0","9,040.0","10,114.0","12,571.0","14,033.0","10,896.0","8,729.0","9,771.0","10,389.0","10,872.0","11,324.0"
"35","17","  Imputed income payments on assets to persons","Y319RC1","4,248.0","5,140.0","6,048.0","7,529.0","8,025.0","9,528.0","11,690.0","12,516.0","13,969.0","15,816.0","18,283.0","21,128.0","24,025.0","30,667.0","35,289.0","36,454.0","39,691.0","43,583.0","45,265.0","47,167.0","56,328.0","54,877.0","60,176.0","61,974.0","62,901.0","68,854.0","80,490.0","75,600.0","82,943.0","73,310.0","69,729.0","54,510.0","50,923.0","66,479.0","101,599.0","101,145.0","100,751.0","106,533.0","103,524.0","88,830.0","132,723.0","134,828.0","133,229.0","147,944.0","143,036.0"
"36","18","    Interest","Y320RC1","4,097.0","4,905.0","5,769.0","7,201.0","7,567.0","8,707.0","10,848.0","11,674.0","12,713.0","14,145.0","16,370.0","19,346.0","21,866.0","27,872.0","32,095.0","32,755.0","35,345.0","38,624.0","39,561.0","40,046.0","47,513.0","44,494.0","48,657.0","49,166.0","49,546.0","54,898.0","65,379.0","57,622.0","62,322.0","51,827.0","47,485.0","33,007.0","31,348.0","49,852.0","85,099.0","80,235.0","75,605.0","78,390.0","73,196.0","61,094.0","109,253.0","111,172.0","107,099.0","120,791.0","114,752.0"
"37","19","    Dividends","B1452C1","151.0","235.0","279.0","328.0","458.0","821.0","842.0","842.0","1,256.0","1,671.0","1,913.0","1,782.0","2,159.0","2,795.0","3,194.0","3,699.0","4,346.0","4,959.0","5,704.0","7,121.0","8,815.0","10,383.0","11,519.0","12,808.0","13,355.0","13,956.0","15,111.0","17,978.0","20,621.0","21,483.0","22,244.0","21,503.0","19,575.0","16,627.0","16,500.0","20,910.0","25,146.0","28,143.0","30,328.0","27,736.0","23,470.0","23,656.0","26,130.0","27,153.0","28,284.0"
"38","20","  Benefit payments and withdrawals","S121001","3,516.0","4,037.0","4,662.0","5,511.0","6,294.0","7,080.0","8,182.0","9,581.0","10,544.0","11,960.0","13,304.0","15,052.0","17,151.0","19,338.0","20,519.0","23,509.0","25,498.0","28,443.0","31,161.0","34,113.0","36,968.0","40,572.0","44,213.0","48,391.0","54,007.0","59,246.0","65,476.0","70,631.0","77,537.0","83,412.0","91,087.0","100,343.0","110,010.0","121,273.0","132,576.0","141,667.0","150,988.0","161,410.0","173,536.0","185,469.0","197,818.0","213,115.0","227,356.0","243,789.0","257,712.0"
"39","21","  Net change in benefit entitlements \5\","Y309RC1","10,068.0","11,443.0","13,672.0","16,370.0","16,019.0","18,254.0","21,387.0","20,396.0","22,550.0","24,926.0","28,169.0","30,524.0","33,356.0","39,860.0","45,640.0","46,044.0","49,786.0","53,723.0","55,386.0","57,473.0","73,601.0","73,789.0","80,186.0","91,727.0","91,028.0","96,488.0","107,319.0","101,644.0","107,857.0","99,173.0","94,862.0","78,213.0","72,630.0","83,632.0","117,844.0","127,796.0","121,603.0","124,120.0","117,375.0","100,668.0","139,534.0","143,442.0","128,097.0","126,712.0","108,694.0"
"40","22","Cash flow","Y323RC1","5,682.0","6,764.0","7,418.0","8,452.0","9,353.0","10,624.0","12,660.0","15,050.0","17,008.0","18,813.0","22,049.0","25,769.0","28,724.0","35,664.0","40,730.0","41,923.0","46,273.0","51,768.0","53,556.0","54,923.0","58,643.0","58,923.0","58,628.0","52,807.0","52,142.0","58,152.0","64,501.0","63,242.0","70,032.0","65,210.0","60,751.0","44,176.0","19,733.0","11,743.0","24,111.0","18,586.0","16,193.0","17,629.0","17,682.0","2,086.0","-20,043.0","-29,869.0","-33,987.0","-48,069.0","-53,894.0"
"41","23","  Actual employer and household contributions (5+7)","Y324RC1","7,244.0","8,172.0","9,043.0","10,182.0","11,501.0","12,948.0","15,007.0","17,369.0","19,333.0","21,297.0","23,560.0","26,209.0","28,652.0","31,836.0","33,576.0","35,570.0","37,999.0","41,403.0","42,056.0","43,712.0","45,431.0","47,646.0","48,360.0","49,812.0","52,997.0","57,016.0","60,949.0","63,400.0","65,268.0","64,782.0","65,511.0","65,399.0","66,273.0","70,594.0","86,538.0","86,700.0","93,709.0","103,010.0","113,276.0","120,807.0","124,193.0","129,617.0","138,872.0","141,019.0","146,112.0"
"42","24","  Monetary income receipts on assets (12+14)","Y325RC1","2,070.0","2,760.0","3,183.0","3,939.0","4,316.0","4,936.0","6,027.0","7,475.0","8,436.0","9,707.0","12,042.0","14,880.0","17,579.0","23,612.0","28,086.0","30,263.0","34,425.0","39,614.0","43,558.0","46,356.0","51,437.0","53,266.0","56,096.0","53,162.0","55,172.0","62,594.0","71,554.0","73,867.0","86,183.0","88,010.0","90,932.0","85,076.0","70,955.0","70,157.0","77,940.0","82,593.0","83,586.0","88,600.0","91,975.0","77,644.0","62,311.0","63,400.0","64,886.0","65,573.0","69,030.0"
"43","25","  Less: Benefit payments and withdrawals","S121001","3,516.0","4,037.0","4,662.0","5,511.0","6,294.0","7,080.0","8,182.0","9,581.0","10,544.0","11,960.0","13,304.0","15,052.0","17,151.0","19,338.0","20,519.0","23,509.0","25,498.0","28,443.0","31,161.0","34,113.0","36,968.0","40,572.0","44,213.0","48,391.0","54,007.0","59,246.0","65,476.0","70,631.0","77,537.0","83,412.0","91,087.0","100,343.0","110,010.0","121,273.0","132,576.0","141,667.0","150,988.0","161,410.0","173,536.0","185,469.0","197,818.0","213,115.0","227,356.0","243,789.0","257,712.0"
"44","26","  Less: Administrative expenses","Y327RC1","116.0","131.0","146.0","158.0","170.0","180.0","192.0","213.0","217.0","231.0","249.0","268.0","356.0","446.0","413.0","401.0","653.0","806.0","897.0","1,032.0","1,257.0","1,417.0","1,615.0","1,776.0","2,020.0","2,212.0","2,526.0","3,394.0","3,882.0","4,170.0","4,605.0","5,956.0","7,485.0","7,735.0","7,791.0","9,040.0","10,114.0","12,571.0","14,033.0","10,896.0","8,729.0","9,771.0","10,389.0","10,872.0","11,324.0"
"45",NA,"Effect of participation in defined benefit plans on personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","27","Effect on personal income (1-7-9 or 15-7-9)","Y328RC1","10,982.0","12,547.0","15,045.0","18,227.0","18,330.0","21,071.0","24,951.0","24,909.0","27,507.0","30,863.0","35,031.0","38,767.0","43,019.0","51,085.0","57,816.0","60,730.0","65,974.0","71,924.0","75,825.0","80,109.0","98,377.0","101,168.0","110,615.0","125,884.0","130,166.0","139,897.0","156,119.0","155,383.0","167,797.0","164,057.0","166,272.0","158,796.0","163,073.0","184,124.0","228,135.0","247,626.0","250,876.0","264,660.0","269,348.0","259,103.0","307,094.0","326,625.0","324,013.0","338,010.0","332,669.0"
"47","28","Less: Effect on personal consumption expenditures (2)","Y327RC1","116.0","131.0","146.0","158.0","170.0","180.0","192.0","213.0","217.0","231.0","249.0","268.0","356.0","446.0","413.0","401.0","653.0","806.0","897.0","1,032.0","1,257.0","1,417.0","1,615.0","1,776.0","2,020.0","2,212.0","2,526.0","3,394.0","3,882.0","4,170.0","4,605.0","5,956.0","7,485.0","7,735.0","7,791.0","9,040.0","10,114.0","12,571.0","14,033.0","10,896.0","8,729.0","9,771.0","10,389.0","10,872.0","11,324.0"
"48","29","Equals: Effect on personal saving","Y330RC1","10,866.0","12,416.0","14,899.0","18,069.0","18,160.0","20,891.0","24,759.0","24,696.0","27,290.0","30,632.0","34,782.0","38,499.0","42,663.0","50,639.0","57,403.0","60,329.0","65,321.0","71,118.0","74,928.0","79,077.0","97,120.0","99,751.0","109,000.0","124,108.0","128,146.0","137,685.0","153,593.0","151,989.0","163,915.0","159,887.0","161,667.0","152,840.0","155,588.0","176,389.0","220,344.0","238,586.0","240,762.0","252,089.0","255,315.0","248,207.0","298,365.0","316,854.0","313,624.0","327,138.0","321,345.0"
"49","30","Plus: Implied funding of benefits from holding gains on assets","Y331RC1","476.0","339.0","340.0","94.0","1,177.0","845.0","-16.0","628.0","838.0","472.0","-239.0","-1,038.0","-1,469.0","-5,441.0","-6,911.0","-5,727.0","-6,109.0","-6,807.0","-4,710.0","-2,981.0","-8,622.0","-3,198.0","-3,487.0","-224.0","3,075.0","2,160.0","-3,755.0","8,143.0","6,852.0","22,277.0","33,583.0","57,237.0","70,101.0","65,365.0","40,951.0","49,906.0","61,520.0","66,695.0","84,206.0","108,857.0","76,406.0","77,229.0","87,078.0","81,734.0","94,234.0"
"50","31","  Interest accrued on benefit entitlements","Y332RC1","4,724.0","5,479.0","6,388.0","7,623.0","9,202.0","10,373.0","11,674.0","13,144.0","14,807.0","16,288.0","18,044.0","20,090.0","22,556.0","25,226.0","28,378.0","30,727.0","33,582.0","36,776.0","40,555.0","44,186.0","47,706.0","51,679.0","56,689.0","61,750.0","65,976.0","71,014.0","76,735.0","83,743.0","89,795.0","95,587.0","103,312.0","111,747.0","121,024.0","131,844.0","142,550.0","151,051.0","162,271.0","173,228.0","187,730.0","197,687.0","209,129.0","212,057.0","220,307.0","229,679.0","237,270.0"
"51","32","  Less: Interest and dividend income received by plans (10)","Y312RC1","4,248.0","5,140.0","6,048.0","7,529.0","8,025.0","9,528.0","11,690.0","12,516.0","13,969.0","15,816.0","18,283.0","21,128.0","24,025.0","30,667.0","35,289.0","36,454.0","39,691.0","43,583.0","45,265.0","47,167.0","56,328.0","54,877.0","60,176.0","61,974.0","62,901.0","68,854.0","80,490.0","75,600.0","82,943.0","73,310.0","69,729.0","54,510.0","50,923.0","66,479.0","101,599.0","101,145.0","100,751.0","106,533.0","103,524.0","88,830.0","132,723.0","134,828.0","133,229.0","147,945.0","143,036.0"
"52","33","Equals: Change in personal wealth \6\","Y334RC1","11,342.0","12,755.0","15,239.0","18,163.0","19,337.0","21,736.0","24,743.0","25,324.0","28,128.0","31,104.0","34,543.0","37,461.0","41,194.0","45,198.0","50,492.0","54,602.0","59,212.0","64,311.0","70,218.0","76,096.0","88,498.0","96,553.0","105,513.0","123,884.0","131,221.0","139,845.0","149,838.0","160,132.0","170,767.0","182,164.0","195,250.0","210,077.0","225,689.0","241,754.0","261,295.0","288,492.0","302,282.0","318,784.0","339,521.0","357,064.0","374,771.0","394,083.0","400,702.0","408,872.0","415,579.0"
"53","34","Less: Benefit payments and withdrawals (20)","S121001","3,516.0","4,037.0","4,662.0","5,511.0","6,294.0","7,080.0","8,182.0","9,581.0","10,544.0","11,960.0","13,304.0","15,052.0","17,151.0","19,338.0","20,519.0","23,509.0","25,498.0","28,443.0","31,161.0","34,113.0","36,968.0","40,572.0","44,213.0","48,391.0","54,007.0","59,246.0","65,476.0","70,631.0","77,537.0","83,412.0","91,087.0","100,343.0","110,010.0","121,273.0","132,576.0","141,667.0","150,988.0","161,410.0","173,536.0","185,469.0","197,818.0","213,115.0","227,356.0","243,789.0","257,712.0"
"54","35","Plus: Household actual contributions (7)","S251201","2,718.0","3,064.0","3,435.0","3,812.0","4,153.0","4,443.0","4,810.0","5,281.0","5,804.0","6,254.0","6,691.0","7,077.0","7,844.0","8,559.0","8,756.0","9,224.0","9,963.0","11,048.0","11,619.0","12,509.0","13,449.0","14,610.0","15,399.0","16,010.0","16,889.0","18,049.0","19,202.0","20,286.0","21,479.0","22,698.0","24,282.0","25,716.0","27,052.0","28,516.0","30,076.0","30,877.0","31,829.0","33,441.0","35,596.0","37,930.0","38,987.0","39,703.0","41,829.0","43,363.0","45,061.0"
"55","36","Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets \5\","Y337RC1","10,544.0","11,782.0","14,012.0","16,464.0","17,196.0","19,099.0","21,371.0","21,024.0","23,388.0","25,398.0","27,930.0","29,486.0","31,887.0","34,419.0","38,729.0","40,317.0","43,677.0","46,916.0","50,676.0","54,492.0","64,979.0","70,591.0","76,699.0","91,503.0","94,103.0","98,648.0","103,564.0","109,787.0","114,709.0","121,450.0","128,445.0","135,450.0","142,731.0","148,997.0","158,795.0","177,702.0","183,123.0","190,815.0","201,581.0","209,525.0","215,940.0","220,671.0","215,175.0","208,446.0","202,928.0"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
