"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"19","1","      National income","A032RC1","245,140.0","240,049.0","266,959.0","308,008.0","326,526.0","344,391.0","344,381.0","377,628.0","400,869.0","419,384.0","421,634.0","459,627.0","479,859.0","497,193.0","535,189.0","566,574.0","608,340.0","660,255.0","719,692.0","760,197.0","832,068.0","899,520.0"
"20","2","Domestic business","A368RC1","211,918.0","203,719.0","227,360.0","258,573.0","270,747.0","285,511.0","282,824.0","311,793.0","330,302.0","343,465.0","340,261.0","373,566.0","386,580.0","397,182.0","427,366.0","451,476.0","484,595.0","527,174.0","572,800.0","599,376.0","654,386.0","705,003.0"
"21","3","  Corporate business","A441RC1","134,618.0","130,656.0","148,873.0","170,707.0","178,969.0","191,960.0","188,605.0","213,582.0","228,064.0","237,198.0","230,533.0","259,910.0","271,476.0","279,298.0","305,213.0","325,038.0","351,673.0","386,748.0","424,340.0","446,192.0","492,234.0","535,081.0"
"22","4","    Compensation of employees","A442RC1","91,111.0","88,798.0","98,654.0","114,553.0","123,015.0","133,985.0","132,212.0","144,625.0","158,175.0","166,500.0","163,977.0","180,289.0","190,689.0","195,554.0","210,997.0","222,667.0","239,180.0","259,864.0","288,528.0","308,418.0","340,182.0","377,454.0"
"23","5","      Wages and salaries","A443RC1","86,899.0","84,390.0","92,989.0","107,533.0","115,490.0","125,801.0","123,600.0","134,819.0","147,005.0","154,027.0","151,393.0","165,640.0","174,456.0","178,685.0","191,821.0","201,917.0","216,750.0","235,153.0","259,249.0","277,066.0","305,414.0","338,028.0"
"24","6","      Supplements to wages and salaries","A444RC1","4,212.0","4,408.0","5,665.0","7,020.0","7,525.0","8,184.0","8,612.0","9,806.0","11,170.0","12,473.0","12,584.0","14,649.0","16,233.0","16,869.0","19,176.0","20,750.0","22,430.0","24,711.0","29,279.0","31,352.0","34,768.0","39,426.0"
"25","7","    Corporate profits with IVA and CCAdj","A445RC1","30,132.0","27,933.0","34,790.0","39,454.0","37,777.0","38,496.0","37,498.0","47,813.0","46,825.0","46,048.0","41,333.0","52,796.0","51,542.0","52,629.0","60,272.0","66,427.0","73,238.0","84,583.0","91,594.0","89,091.0","96,112.0","91,821.0"
"26","8","    Net interest and miscellaneous payments","A453RC1","50.0","-1.0","-86.0","-170.0","-192.0","30.0","240.0","231.0","118.0","265.0","655.0","-109.0","-101.0","525.0","857.0","488.0","920.0","1,347.0","2,430.0","4,157.0","4,380.0","8,622.0"
"27","9","    Taxes on production and imports less subsidies plus business current transfer payments","W460RC1","13,325.0","13,926.0","15,515.0","16,870.0","18,369.0","19,449.0","18,655.0","20,913.0","22,946.0","24,385.0","24,568.0","26,934.0","29,346.0","30,590.0","33,087.0","35,456.0","38,335.0","40,954.0","41,788.0","44,526.0","51,560.0","57,184.0"
"28","10","  Noncorporate business","W461RC1","77,300.0","73,059.0","78,486.0","87,865.0","91,775.0","93,549.0","94,217.0","98,211.0","102,236.0","106,266.0","109,726.0","113,659.0","115,102.0","117,881.0","122,146.0","126,437.0","132,917.0","140,422.0","148,456.0","153,176.0","162,151.0","169,920.0"
"29","11","    Compensation of employees","W462RC1","27,362.0","27,240.0","29,159.0","32,545.0","34,791.0","36,469.0","36,324.0","37,682.0","39,757.0","41,249.0","41,702.0","43,947.0","44,368.0","44,342.0","45,680.0","47,169.0","49,847.0","51,699.0","55,140.0","56,644.0","59,962.0","63,012.0"
"30","12","      Wages and salaries","W463RC1","26,252.0","26,078.0","27,782.0","30,943.0","33,053.0","34,640.0","34,388.0","35,605.0","37,505.0","38,681.0","39,064.0","40,930.0","41,090.0","40,930.0","42,018.0","43,205.0","45,726.0","47,407.0","50,289.0","51,680.0","54,525.0","57,133.0"
"31","13","      Supplements to wages and salaries","W464RC1","1,110.0","1,162.0","1,377.0","1,602.0","1,738.0","1,829.0","1,936.0","2,077.0","2,252.0","2,568.0","2,638.0","3,017.0","3,278.0","3,412.0","3,662.0","3,964.0","4,121.0","4,292.0","4,851.0","4,964.0","5,437.0","5,879.0"
"32","14","    Proprietors' income with IVA and CCAdj","A041RC1","39,279.0","34,690.0","37,514.0","42,594.0","43,040.0","42,017.0","42,255.0","44,272.0","45,819.0","47,785.0","50,158.0","50,346.0","50,587.0","53,199.0","55,234.0","56,398.0","59,132.0","63,662.0","67,933.0","69,475.0","73,832.0","77,005.0"
"33","15","    Rental income of persons with CCAdj","W155RC1","4,488.0","4,400.0","4,773.0","5,085.0","5,209.0","5,310.0","5,420.0","5,378.0","5,450.0","5,415.0","5,642.0","5,482.0","5,470.0","5,536.0","5,584.0","5,816.0","5,774.0","5,949.0","5,991.0","5,908.0","6,010.0","5,961.0"
"34","16","    Net interest","W468RC1","1,140.0","1,316.0","1,515.0","1,771.0","1,938.0","2,086.0","2,289.0","2,536.0","2,789.0","3,153.0","3,491.0","3,717.0","3,977.0","4,340.0","4,807.0","5,367.0","6,181.0","6,942.0","7,793.0","8,362.0","9,148.0","10,381.0"
"35","17","    Taxes on production and imports less subsidies plus business current transfer payments \1\","W469RC1","5,031.0","5,413.0","5,525.0","5,870.0","6,797.0","7,667.0","7,929.0","8,343.0","8,421.0","8,664.0","8,733.0","9,623.0","10,237.0","10,129.0","10,462.0","10,888.0","11,220.0","11,490.0","11,327.0","12,632.0","12,895.0","13,556.0"
"36","18","    Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","544.0","463.0","335.0","379.0","799.0","763.0","680.0","272.0","155.0","304.0","5.0"
"37","19","    Sole proprietorships and partnerships","A1641C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","96,580.0","97,157.0","99,109.0","102,332.0","104,858.0","110,278.0","116,500.0","123,536.0","127,073.0","133,796.0","139,933.0"
"38","20","      Compensation of employees","A1642C1","24,027.0","23,618.0","25,258.0","28,195.0","29,854.0","31,422.0","31,157.0","32,225.0","34,066.0","35,238.0","35,208.0","37,079.0","36,956.0","36,466.0","37,231.0","38,087.0","40,135.0","41,284.0","43,858.0","44,466.0","46,399.0","48,051.0"
"39","21","        Wages and salaries","B1643C1","23,252.0","22,807.0","24,274.0","27,044.0","28,636.0","30,125.0","29,775.0","30,728.0","32,444.0","33,428.0","33,393.0","34,931.0","34,646.0","34,099.0","34,670.0","35,321.0","37,294.0","38,380.0","40,505.0","41,060.0","42,696.0","44,184.0"
"40","22","        Supplements to wages and salaries","B1644C1","775.0","811.0","984.0","1,151.0","1,218.0","1,297.0","1,382.0","1,497.0","1,622.0","1,810.0","1,815.0","2,148.0","2,310.0","2,367.0","2,561.0","2,766.0","2,841.0","2,904.0","3,353.0","3,406.0","3,703.0","3,867.0"
"41","23","      Proprietors' income with IVA and CCAdj","A1645C1","39,304.0","34,718.0","37,539.0","42,630.0","43,077.0","42,053.0","42,289.0","44,300.0","45,861.0","47,838.0","50,214.0","50,024.0","50,241.0","52,813.0","54,810.0","55,951.0","58,677.0","63,204.0","67,459.0","68,995.0","73,368.0","76,557.0"
"42","24","        Farm","B042RC1","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0"
"43","25","        Nonfarm","A1646C1","22,600.0","22,729.0","24,667.0","27,327.0","28,764.0","29,884.0","30,540.0","33,584.0","35,273.0","37,288.0","37,792.0","39,980.0","39,593.0","41,564.0","43,593.0","44,941.0","48,896.0","51,175.0","54,441.0","57,353.0","61,708.0","63,724.0"
"44","26","      Net interest","B1649C1","454.0","515.0","584.0","714.0","753.0","762.0","811.0","901.0","1,012.0","1,133.0","1,266.0","1,318.0","1,373.0","1,495.0","1,748.0","2,015.0","2,485.0","2,918.0","3,450.0","3,783.0","4,210.0","5,058.0"
"45","27","      Taxes on production and imports less subsidies plus business current transfer payments","W471RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,159.0","8,587.0","8,335.0","8,543.0","8,805.0","8,981.0","9,094.0","8,769.0","9,829.0","9,819.0","10,267.0"
"46","28","    Other private business","A1650C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,095.0","11,561.0","12,221.0","12,810.0","13,646.0","14,203.0","14,960.0","15,655.0","16,376.0","17,257.0","18,044.0"
"47","29","      Compensation of employees","A1651C1","786.0","821.0","951.0","1,056.0","1,087.0","1,155.0","1,186.0","1,251.0","1,313.0","1,345.0","1,368.0","1,429.0","1,492.0","1,660.0","1,823.0","1,949.0","2,037.0","2,133.0","2,290.0","2,606.0","2,769.0","3,022.0"
"48","30","        Wages and salaries","B1652C1","755.0","788.0","909.0","1,000.0","1,030.0","1,098.0","1,122.0","1,182.0","1,238.0","1,261.0","1,284.0","1,338.0","1,389.0","1,546.0","1,692.0","1,805.0","1,884.0","1,971.0","2,098.0","2,394.0","2,545.0","2,778.0"
"49","31","        Supplements to wages and salaries","B1653C1","31.0","33.0","42.0","56.0","57.0","57.0","64.0","69.0","75.0","84.0","84.0","91.0","103.0","114.0","131.0","144.0","153.0","162.0","192.0","212.0","224.0","244.0"
"50","32","      Proprietors' income with IVA and CCAdj","A1654C1","-25.0","-28.0","-25.0","-36.0","-37.0","-36.0","-34.0","-28.0","-42.0","-53.0","-56.0","322.0","346.0","386.0","424.0","447.0","455.0","458.0","474.0","480.0","464.0","448.0"
"51","33","      Rental income of persons with CCAdj","W155RC1","4,488.0","4,400.0","4,773.0","5,085.0","5,209.0","5,310.0","5,420.0","5,378.0","5,450.0","5,415.0","5,642.0","5,482.0","5,470.0","5,536.0","5,584.0","5,816.0","5,774.0","5,949.0","5,991.0","5,908.0","6,010.0","5,961.0"
"52","34","      Net interest","B1657C1","686.0","801.0","931.0","1,057.0","1,185.0","1,324.0","1,478.0","1,635.0","1,777.0","2,020.0","2,225.0","2,399.0","2,604.0","2,845.0","3,059.0","3,352.0","3,696.0","4,024.0","4,343.0","4,579.0","4,938.0","5,323.0"
"53","35","      Taxes on production and imports less subsidies plus business current transfer payments","W473RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,463.0","1,649.0","1,794.0","1,920.0","2,082.0","2,241.0","2,396.0","2,557.0","2,803.0","3,076.0","3,290.0"
"54","36","    Government enterprises","W474RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,982.0","6,383.0","6,550.0","7,006.0","7,932.0","8,439.0","8,962.0","9,265.0","9,726.0","11,100.0","11,944.0"
"55","37","      Compensation of employees","A1658C1","2,548.0","2,802.0","2,949.0","3,295.0","3,850.0","3,891.0","3,981.0","4,206.0","4,379.0","4,665.0","5,127.0","5,438.0","5,920.0","6,215.0","6,627.0","7,133.0","7,676.0","8,282.0","8,993.0","9,571.0","10,796.0","11,939.0"
"56","38","        Wages and salaries","B1659C1","2,245.0","2,483.0","2,599.0","2,899.0","3,387.0","3,417.0","3,491.0","3,695.0","3,823.0","3,992.0","4,387.0","4,661.0","5,055.0","5,285.0","5,656.0","6,079.0","6,548.0","7,056.0","7,686.0","8,226.0","9,284.0","10,171.0"
"57","39","        Supplements to wages and salaries","B1660C1","303.0","319.0","350.0","396.0","463.0","474.0","490.0","511.0","556.0","673.0","740.0","777.0","865.0","930.0","971.0","1,054.0","1,128.0","1,226.0","1,307.0","1,345.0","1,512.0","1,768.0"
"58","40","      Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","544.0","463.0","335.0","379.0","799.0","763.0","680.0","272.0","155.0","304.0","5.0"
"59","41","Households and institutions","W503RC1","11,459.0","12,567.0","14,039.0","15,651.0","17,506.0","19,708.0","21,614.0","23,840.0","25,843.0","28,133.0","30,768.0","33,550.0","37,111.0","39,619.0","43,025.0","45,872.0","48,845.0","52,339.0","56,489.0","60,961.0","65,738.0","72,351.0"
"60","42","  Households","W504RC1","8,047.0","8,803.0","9,956.0","11,176.0","12,646.0","14,354.0","15,811.0","17,501.0","18,950.0","20,552.0","22,387.0","24,350.0","26,625.0","28,453.0","30,723.0","32,508.0","34,275.0","36,286.0","38,437.0","40,806.0","42,928.0","46,041.0"
"61","43","    Compensation of employees","W151RC1","2,364.0","2,357.0","2,573.0","2,662.0","2,615.0","2,691.0","2,571.0","3,053.0","3,268.0","3,323.0","3,503.0","3,553.0","3,797.0","3,734.0","3,807.0","3,831.0","3,916.0","3,968.0","4,022.0","4,182.0","4,377.0","4,439.0"
"62","44","      Wages and salaries","B1661C1","2,361.0","2,353.0","2,569.0","2,648.0","2,601.0","2,677.0","2,551.0","3,028.0","3,242.0","3,297.0","3,477.0","3,525.0","3,762.0","3,698.0","3,768.0","3,786.0","3,869.0","3,921.0","3,964.0","4,122.0","4,318.0","4,376.0"
"63","45","      Supplements to wages and salaries","B1662C1","3.0","4.0","4.0","14.0","14.0","14.0","20.0","25.0","26.0","26.0","26.0","28.0","35.0","36.0","39.0","45.0","47.0","47.0","58.0","60.0","59.0","63.0"
"64","46","    Rental income of persons with CCAdj","B1156C1","2,996.0","3,398.0","4,005.0","4,634.0","5,607.0","6,718.0","7,641.0","8,044.0","8,218.0","8,638.0","9,155.0","10,075.0","10,993.0","11,664.0","12,461.0","12,911.0","13,057.0","13,388.0","13,920.0","14,438.0","14,101.0","14,414.0"
"65","47","    Net interest","A2015C1","1,262.0","1,419.0","1,620.0","1,909.0","2,206.0","2,491.0","2,886.0","3,293.0","3,904.0","4,573.0","5,238.0","5,887.0","6,568.0","7,246.0","8,141.0","8,830.0","9,752.0","10,664.0","11,468.0","12,154.0","13,122.0","14,516.0"
"66","48","    Taxes on production and imports less subsidies plus business current transfer payments","W478RC1","1,426.0","1,633.0","1,758.0","1,972.0","2,221.0","2,456.0","2,714.0","3,112.0","3,563.0","4,020.0","4,494.0","4,832.0","5,269.0","5,811.0","6,316.0","6,939.0","7,554.0","8,268.0","9,028.0","10,034.0","11,330.0","12,675.0"
"67","49","  Nonprofit institutions serving households","W505RC1","3,412.0","3,764.0","4,083.0","4,475.0","4,860.0","5,354.0","5,803.0","6,339.0","6,893.0","7,581.0","8,381.0","9,200.0","10,486.0","11,166.0","12,302.0","13,364.0","14,570.0","16,053.0","18,052.0","20,155.0","22,810.0","26,310.0"
"68","50","    Compensation of employees","W152RC1","3,240.0","3,576.0","3,881.0","4,261.0","4,630.0","5,111.0","5,545.0","6,063.0","6,594.0","7,255.0","8,032.0","8,851.0","10,097.0","10,729.0","11,818.0","12,826.0","13,952.0","15,348.0","17,239.0","19,202.0","21,709.0","25,038.0"
"69","51","      Wages and salaries","W481RC1","3,177.0","3,510.0","3,801.0","4,139.0","4,499.0","4,957.0","5,367.0","5,868.0","6,377.0","7,003.0","7,720.0","8,435.0","9,575.0","10,164.0","11,155.0","12,059.0","13,120.0","14,417.0","16,092.0","17,854.0","20,298.0","23,345.0"
"70","52","      Supplements to wages and salaries","W482RC1","63.0","66.0","80.0","122.0","131.0","154.0","178.0","195.0","217.0","252.0","312.0","416.0","522.0","565.0","663.0","767.0","832.0","931.0","1,147.0","1,348.0","1,411.0","1,693.0"
"71","53","    Rental income of persons","W159RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"72","54","    Net interest","B1131C1","57.0","62.0","65.0","65.0","69.0","71.0","74.0","76.0","77.0","80.0","81.0","86.0","98.0","112.0","123.0","140.0","184.0","230.0","302.0","390.0","470.0","567.0"
"73","55","    Taxes on production and imports","B1320C1","115.0","126.0","137.0","149.0","161.0","173.0","184.0","200.0","222.0","245.0","268.0","263.0","291.0","325.0","361.0","398.0","435.0","475.0","511.0","562.0","631.0","705.0"
"74","56","General government","A194RC1","20,307.0","22,483.0","24,120.0","31,892.0","36,288.0","37,273.0","37,848.0","39,546.0","41,928.0","44,731.0","47,977.0","49,750.0","53,055.0","56,873.0","60,705.0","64,749.0","69,980.0","75,463.0","85,333.0","94,467.0","105,859.0","116,051.0"
"75","57","  Compensation of employees","A194RC1","20,307.0","22,483.0","24,120.0","31,892.0","36,288.0","37,273.0","37,848.0","39,546.0","41,928.0","44,731.0","47,977.0","49,750.0","53,055.0","56,873.0","60,705.0","64,749.0","69,980.0","75,463.0","85,333.0","94,467.0","105,859.0","116,051.0"
"76","58","    Wages and salaries","B1663C1","16,775.0","18,344.0","20,034.0","26,330.0","29,991.0","30,921.0","31,414.0","32,901.0","34,979.0","37,021.0","39,735.0","41,393.0","44,127.0","47,186.0","50,691.0","53,947.0","58,377.0","62,854.0","70,703.0","78,257.0","87,405.0","95,429.0"
"77","59","    Supplements to wages and salaries","B1664C1","3,532.0","4,139.0","4,086.0","5,562.0","6,297.0","6,352.0","6,434.0","6,645.0","6,949.0","7,710.0","8,242.0","8,357.0","8,928.0","9,687.0","10,014.0","10,802.0","11,603.0","12,609.0","14,630.0","16,210.0","18,454.0","20,622.0"
"78","60","Rest of the world","A192RC1","1,456.0","1,280.0","1,440.0","1,892.0","1,985.0","1,899.0","2,095.0","2,449.0","2,796.0","3,055.0","2,628.0","2,761.0","3,113.0","3,519.0","4,093.0","4,477.0","4,920.0","5,279.0","5,070.0","5,393.0","6,085.0","6,115.0"
"79","61","  Compensation of employees","A4187C1","86.0","58.0","78.0","14.0","2.0","-7.0","-57.0","-70.0","-82.0","-78.0","-72.0","-81.0","-155.0","-144.0","-95.0","-63.0","-54.0","5.0","24.0","30.0","12.0","22.0"
"80","62","  Corporate profits","B394RC1","1,261.0","1,125.0","1,269.0","1,744.0","1,888.0","1,798.0","1,962.0","2,354.0","2,821.0","3,092.0","2,523.0","2,718.0","3,137.0","3,316.0","3,772.0","4,081.0","4,469.0","4,706.0","4,528.0","4,775.0","5,636.0","6,595.0"
"81","63","  Net interest","A1627C1","109.0","97.0","93.0","134.0","95.0","108.0","190.0","165.0","57.0","41.0","177.0","124.0","130.0","347.0","420.0","458.0","505.0","569.0","519.0","589.0","437.0","-502.0"
"82",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","64","    Corporate profits with IVA and CCAdj","A445RC1","30,132.0","27,933.0","34,790.0","39,454.0","37,777.0","38,496.0","37,498.0","47,813.0","46,825.0","46,048.0","41,333.0","52,796.0","51,542.0","52,629.0","60,272.0","66,427.0","73,238.0","84,583.0","91,594.0","89,091.0","96,112.0","91,821.0"
"85","65","      Profits before tax (without IVA and CCAdj)","E561RC1","35,243.0","28,916.0","42,512.0","43,636.0","39,395.0","41,353.0","38,831.0","49,086.0","49,805.0","48,103.0","42,506.0","53,235.0","50,716.0","50,587.0","55,433.0","60,335.0","66,974.0","78,403.0","85,856.0","82,829.0","92,270.0","90,057.0"
"86","66","      Inventory valuation adjustment","B058RC1","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0"
"87","67","      Capital consumption adjustment","A059RC1","-2,957.0","-2,840.0","-2,757.0","-2,983.0","-2,598.0","-1,858.0","-1,015.0","463.0","-286.0","-515.0","-918.0","-163.0","1,000.0","1,770.0","4,813.0","6,038.0","6,756.0","7,424.0","7,845.0","7,816.0","7,492.0","7,634.0"
"88",NA,"  Sole proprietors and partnerships:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","68","    Proprietors' income with IVA and CCAdj","A1645C1","39,304.0","34,718.0","37,539.0","42,630.0","43,077.0","42,053.0","42,289.0","44,300.0","45,861.0","47,838.0","50,214.0","50,024.0","50,241.0","52,813.0","54,810.0","55,951.0","58,677.0","63,204.0","67,459.0","68,995.0","73,368.0","76,557.0"
"90","69","      Farm proprietors' income with IVA and CCAdj","B042RC1","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0"
"91","70","        Proprietors' income with IVA","A043RC1","17,108.0","12,421.0","13,292.0","15,828.0","14,878.0","12,701.0","12,237.0","11,157.0","11,111.0","11,140.0","13,028.0","10,653.0","11,204.0","11,776.0","11,734.0","11,509.0","10,276.0","12,547.0","13,573.0","12,257.0","12,344.0","13,629.0"
"92","71","        Capital consumption adjustment","B044RC1","-404.0","-432.0","-420.0","-525.0","-565.0","-532.0","-488.0","-441.0","-523.0","-590.0","-606.0","-609.0","-556.0","-527.0","-517.0","-499.0","-495.0","-518.0","-555.0","-615.0","-684.0","-796.0"
"93","72","      Nonfarm proprietors' income with IVA and CCAdj","A1646C1","22,600.0","22,729.0","24,667.0","27,327.0","28,764.0","29,884.0","30,540.0","33,584.0","35,273.0","37,288.0","37,792.0","39,980.0","39,593.0","41,564.0","43,593.0","44,941.0","48,896.0","51,175.0","54,441.0","57,353.0","61,708.0","63,724.0"
"94","73","        Proprietor's income (without IVA and CCAdj)","A1647C1","23,322.0","22,340.0","25,810.0","27,828.0","28,630.0","30,029.0","30,523.0","33,799.0","35,633.0","37,498.0","37,935.0","40,131.0","39,690.0","41,777.0","43,701.0","44,996.0","48,909.0","51,581.0","55,081.0","58,027.0","62,496.0","64,483.0"
"95","74","        Inventory valuation adjustment","B179RC1","-410.0","463.0","-1,094.0","-327.0","201.0","-168.0","-49.0","-198.0","-502.0","-300.0","-56.0","-32.0","25.0","3.0","-4.0","-44.0","-56.0","-166.0","-224.0","-204.0","-413.0","-464.0"
"96","75","        Capital consumption adjustment","A2205C1","-312.0","-74.0","-49.0","-174.0","-67.0","23.0","66.0","-17.0","142.0","90.0","-87.0","-119.0","-122.0","-216.0","-104.0","-11.0","43.0","-240.0","-416.0","-470.0","-375.0","-295.0"
"97",NA,"  Other private business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","76","    Proprietors' income with IVA and CCAdj","A1654C1","-25.0","-28.0","-25.0","-36.0","-37.0","-36.0","-34.0","-28.0","-42.0","-53.0","-56.0","322.0","346.0","386.0","424.0","447.0","455.0","458.0","474.0","480.0","464.0","448.0"
"99","77","      Proprietors' income with IVA","B1207C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","378.0","395.0","429.0","462.0","482.0","490.0","493.0","509.0","524.0","520.0","512.0"
"100","78","      Capital consumption adjustment","B1411C1","-25.0","-28.0","-25.0","-36.0","-37.0","-36.0","-34.0","-28.0","-42.0","-53.0","-56.0","-56.0","-49.0","-43.0","-38.0","-35.0","-35.0","-35.0","-35.0","-44.0","-56.0","-64.0"
"101","79","    Rental income of persons with CCAdj","W155RC1","4,488.0","4,400.0","4,773.0","5,085.0","5,209.0","5,310.0","5,420.0","5,378.0","5,450.0","5,415.0","5,642.0","5,482.0","5,470.0","5,536.0","5,584.0","5,816.0","5,774.0","5,949.0","5,991.0","5,908.0","6,010.0","5,961.0"
"102","80","      Rental income of persons (without CCAdj)","W488RC1","5,044.0","4,948.0","5,327.0","5,697.0","5,831.0","5,923.0","6,020.0","5,986.0","6,075.0","6,033.0","6,246.0","6,081.0","6,042.0","6,075.0","6,096.0","6,310.0","6,274.0","6,495.0","6,602.0","6,590.0","6,816.0","6,941.0"
"103","81","      Capital consumption adjustment","B050RC1","-556.0","-548.0","-554.0","-612.0","-622.0","-613.0","-600.0","-608.0","-625.0","-618.0","-604.0","-599.0","-572.0","-539.0","-512.0","-494.0","-500.0","-546.0","-611.0","-682.0","-806.0","-980.0"
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
