"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"39","20","  Other business services \3\","Y802RC1","656.0","704.0","780.0","812.0","804.0","796.0","796.0","808.0","844.0","896.0"
"40","21","  Government goods and services n.e.c.","Y803RC1","3,459.0","3,229.0","2,674.0","3,255.0","3,442.0","3,750.0","3,930.0","4,213.0","3,541.0","4,102.0"
"41","22","  Other","B980RC1","807.0","824.0","847.0","872.0","899.0","932.0","964.0","997.0","1,034.0","1,071.0"
"42","23","    Imports of goods and services","B021RC1","39,432.0","39,020.0","39,543.0","41,653.0","44,399.0","45,416.0","48,241.0","48,171.0","43,803.0","52,671.0"
"43","24","Imports of goods \1\","A255RC1","27,704.0","26,796.0","27,012.0","29,532.0","32,116.0","33,152.0","35,408.0","35,108.0","30,772.0","39,116.0"
"44","25","  Foods, feeds, and beverages","B647RC1","4,700.0","4,312.0","4,584.0","4,748.0","4,852.0","5,068.0","5,992.0","5,172.0","4,060.0","5,568.0"
"45","26","  Industrial supplies and materials, except petroleum and products","A649RC1","10,124.0","9,624.0","9,332.0","10,716.0","12,164.0","12,164.0","11,872.0","11,908.0","9,892.0","12,872.0"
"46","27","    Durable goods","A820RC1","6,000.0","5,804.0","5,600.0","6,612.0","7,900.0","7,796.0","7,488.0","7,392.0","6,024.0","8,052.0"
"47","28","    Nondurable goods","B696RC1","4,124.0","3,820.0","3,732.0","4,104.0","4,264.0","4,368.0","4,384.0","4,516.0","3,868.0","4,820.0"
"48","29","  Petroleum and products","B648RC1","2,132.0","2,204.0","1,864.0","2,164.0","2,248.0","2,272.0","2,500.0","2,516.0","2,476.0","2,704.0"
"49","30","  Capital goods, except automotive","A650RC1","2,476.0","2,396.0","2,472.0","2,472.0","2,668.0","2,700.0","2,924.0","3,068.0","2,800.0","3,624.0"
"50","31","    Civilian aircraft, engines, and parts","B932RC1","144.0","108.0","128.0","140.0","180.0","188.0","156.0","228.0","184.0","168.0"
"51","32","    Computers, peripherals, and parts","B852RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"52","33","    Other","B853RC1","2,256.0","2,216.0","2,268.0","2,256.0","2,408.0","2,428.0","2,672.0","2,740.0","2,520.0","3,320.0"
"53","34","  Automotive vehicles, engines, and parts","B651RC1","2,216.0","2,228.0","2,580.0","2,744.0","3,424.0","3,684.0","4,128.0","4,588.0","4,040.0","5,168.0"
"54","35","  Consumer goods, except food and automotive","A652RC1","4,172.0","4,032.0","4,160.0","4,488.0","4,868.0","5,184.0","5,644.0","5,804.0","5,496.0","6,796.0"
"55","36","    Durable goods","B697RC1","2,652.0","2,524.0","2,612.0","2,744.0","2,996.0","3,200.0","3,556.0","3,604.0","3,396.0","4,132.0"
"56","37","    Nondurable goods","B698RC1","1,520.0","1,508.0","1,548.0","1,744.0","1,872.0","1,984.0","2,088.0","2,200.0","2,100.0","2,664.0"
"57","38","  Other","A653RC1","1,884.0","2,000.0","2,020.0","2,200.0","1,892.0","2,080.0","2,348.0","2,052.0","2,008.0","2,384.0"
"58","39","Imports of services \1\","B656RC1","11,728.0","12,224.0","12,531.0","12,121.0","12,283.0","12,264.0","12,833.0","13,063.0","13,031.0","13,555.0"
"59","40","  Transport","Y804RC1","3,072.0","3,007.0","2,833.0","3,035.0","3,178.0","3,171.0","3,350.0","3,311.0","3,093.0","3,580.0"
"60","41","  Travel (for all purposes including education)","Y805RC1","2,828.0","3,372.0","3,656.0","2,972.0","3,040.0","2,952.0","3,152.0","2,976.0","3,284.0","3,336.0"
"61","42","  Charges for the use of intellectual property n.e.c.","B908RC1","164.0","164.0","164.0","176.0","196.0","180.0","180.0","188.0","220.0","212.0"
"62","43","  Other business services \3\","Y806RC1","368.0","396.0","440.0","436.0","432.0","484.0","500.0","532.0","552.0","572.0"
"63","44","  Government goods and services n.e.c.","Y807RC1","4,876.0","4,849.0","4,990.0","5,042.0","4,965.0","4,993.0","5,155.0","5,548.0","5,362.0","5,327.0"
"64","45","  Other","B910RC1","420.0","436.0","448.0","460.0","472.0","484.0","496.0","508.0","520.0","528.0"
"65",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","46","  Exports of durable goods","A332RC1","18,754.0","18,781.0","18,237.0","18,729.0","19,559.0","21,237.0","21,999.0","22,091.0","20,669.0","24,247.0"
"67","47","  Exports of nondurable goods","A339RC1","14,135.0","13,866.0","13,717.0","13,968.0","14,407.0","14,121.0","15,107.0","14,364.0","11,394.0","16,199.0"
"68","48","  Exports of agricultural goods \4\","B181RC1","6,632.0","6,540.0","6,240.0","6,400.0","6,772.0","6,096.0","6,280.0","6,040.0","4,096.0","7,072.0"
"69","49","  Exports of nonagricultural goods","A182RC1","26,257.0","26,107.0","25,714.0","26,297.0","27,194.0","29,262.0","30,826.0","30,415.0","27,967.0","33,374.0"
"70","50","  Imports of durable goods","A333RC1","14,286.0","13,952.0","14,274.0","15,672.0","17,936.0","18,420.0","19,270.0","19,678.0","17,264.0","22,168.0"
"71","51","  Imports of nondurable goods","A340RC1","13,418.0","12,844.0","12,738.0","13,860.0","14,180.0","14,732.0","16,138.0","15,430.0","13,508.0","16,948.0"
"72","52","  Imports of nonpetroleum goods","A187RC1","25,572.0","24,592.0","25,148.0","27,368.0","29,868.0","30,880.0","32,908.0","32,592.0","28,296.0","36,412.0"
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","3. Includes maintenance and repair services, insurance services, financial services, telecommunication, computer and information ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","services and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","other other business services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
