"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"31","12","Rental income of persons with CCAdj","A048RC1","20,247.0","20,314.0","20,474.0","20,465.0","20,487.0","20,274.0","20,915.0","21,220.0","21,191.0","21,776.0","22,151.0","22,600.0","23,207.0","20,259.0","23,981.0","23,856.0","23,633.0","23,485.0","22,482.0","23,433.0","23,676.0","23,079.0","23,432.0","23,170.0","22,898.0","22,642.0","22,484.0","22,092.0","21,949.0","20,767.0","20,336.0","19,434.0","17,133.0","16,625.0","15,760.0","15,264.0","16,494.0","16,188.0","17,398.0","17,558.0","17,767.0","15,588.0","15,350.0","17,572.0","19,963.0","14,130.0","17,014.0","27,830.0","26,167.0","24,423.0","24,108.0","26,959.0","27,578.0","24,048.0","25,948.0","26,983.0","27,437.0","27,433.0","27,416.0","27,668.0","26,887.0","25,162.0","27,624.0","31,867.0","30,170.0","29,176.0","30,252.0","28,425.0","24,779.0","24,247.0","20,495.0","18,096.0","18,819.0","17,365.0","20,972.0","23,673.0","22,984.0","22,630.0","23,929.0","30,918.0","26,818.0","24,713.0","22,724.0","23,399.0","25,898.0","30,152.0","34,830.0","34,550.0","36,152.0","38,583.0","43,040.0","50,244.0","53,948.0","61,050.0","68,031.0","74,278.0","83,217.0","91,889.0","96,265.0","103,181.0","112,742.0","117,371.0","120,745.0","119,027.0","122,205.0","126,095.0","130,154.0","138,290.0","143,930.0","146,040.0","147,975.0","149,860.0","148,962.0","149,865.0","152,564.0","156,795.0","161,504.0","167,196.0","172,609.0","178,146.0","180,789.0","184,119.0","183,944.0","183,565.0","184,223.0","184,349.0","186,936.0","195,379.0","201,730.0","207,523.0","210,105.0","210,814.0","215,191.0","217,416.0","216,829.0","219,771.0","226,843.0","233,983.0","239,922.0","251,339.0","254,579.0","258,696.0","254,552.0","253,839.0","246,135.0","242,931.0","231,585.0","233,109.0","223,240.0","211,898.0","204,270.0","190,677.0","177,916.0","189,605.0","192,871.0","197,247.0","225,321.0","249,954.0","273,390.0","299,757.0","310,792.0","325,036.0","344,381.0","354,589.0","380,460.0","397,251.0","408,312.0","424,995.0","460,080.0","477,973.0","491,552.0","511,576.0","516,596.0","526,549.0","537,076.0","551,663.0","575,004.0","590,803.0","604,225.0","613,273.0","622,926.0","635,372.0","646,683.0","655,960.0","662,801.0"
"32","13","Corporate profits with IVA and CCAdj","A051RC1","103,476.0","100,332.0","97,418.0","92,440.0","84,663.0","88,470.0","88,383.0","83,458.0","96,622.0","98,738.0","101,436.0","105,790.0","111,518.0","113,410.0","118,171.0","125,749.0","133,496.0","131,250.0","133,028.0","135,784.0","130,296.0","128,925.0","124,284.0","119,314.0","117,750.0","128,940.0","149,762.0","158,982.0","175,111.0","173,151.0","174,747.0","174,343.0","184,122.0","204,910.0","219,642.0","214,458.0","209,938.0","239,724.0","246,224.0","258,389.0","249,692.0","252,142.0","250,072.0","244,013.0","237,466.0","207,046.0","214,614.0","235,113.0","244,352.0","240,843.0","257,842.0","246,938.0","221,847.0","236,213.0","233,675.0","227,695.0","244,581.0","274,689.0","291,244.0","308,555.0","336,608.0","338,227.0","333,584.0","343,107.0","347,882.0","351,531.0","368,854.0","349,685.0","340,696.0","326,569.0","315,553.0","314,677.0","325,851.0","362,888.0","386,385.0","388,804.0","394,495.0","409,066.0","415,729.0","440,227.0","423,892.0","415,852.0","416,482.0","400,739.0","413,498.0","433,404.0","407,100.0","414,607.0","453,969.0","451,488.0","449,372.0","450,488.0","476,546.0","477,827.0","463,208.0","483,503.0","481,265.0","509,386.0","523,613.0","573,729.0","581,572.0","604,480.0","638,544.0","663,060.0","664,687.0","689,236.0","723,155.0","734,986.0","768,943.0","781,398.0","786,566.0","807,306.0","835,260.0","857,730.0","892,617.0","877,468.0","808,482.0","805,150.0","813,248.0","789,562.0","842,186.0","835,620.0","819,168.0","823,944.0","803,288.0","792,760.0","775,771.0","752,991.0","743,624.0","774,045.0","742,296.0","756,190.0","850,714.0","881,025.0","910,082.0","986,845.0","988,174.0","1,028,859.0","1,076,363.0","1,132,103.0","1,238,712.0","1,266,792.0","1,325,678.0","1,302,198.0","1,427,763.0","1,445,994.0","1,474,257.0","1,562,902.0","1,627,434.0","1,649,195.0","1,693,540.0","1,615,854.0","1,530,945.0","1,596,852.0","1,518,143.0","1,470,026.0","1,383,409.0","1,367,634.0","1,371,310.0","1,017,895.0","1,258,954.0","1,301,012.0","1,463,252.0","1,564,670.0","1,658,485.0","1,666,427.0","1,814,036.0","1,846,731.0","1,677,381.0","1,790,002.0","1,826,643.0","1,972,487.0","1,977,914.0","2,024,754.0","2,040,999.0","2,047,550.0","2,039,420.0","2,103,560.0","2,140,651.0","2,143,803.0","1,942,146.0","2,106,165.0","2,170,745.0","2,140,276.0","2,014,843.0"
"33","14","  Taxes on corporate income","A054RC1","41,460.0","40,428.0","39,140.0","38,880.0","34,468.0","34,652.0","35,724.0","34,184.0","37,824.0","38,568.0","37,916.0","38,352.0","40,368.0","40,660.0","41,952.0","46,384.0","49,736.0","50,208.0","48,592.0","51,356.0","49,744.0","52,156.0","57,324.0","51,916.0","43,792.0","46,788.0","57,208.0","58,796.0","66,620.0","65,180.0","64,892.0","64,460.0","68,804.0","74,384.0","76,748.0","77,828.0","72,496.0","86,616.0","87,428.0","92,892.0","90,108.0","90,932.0","90,584.0","88,440.0","97,016.0","77,224.0","83,160.0","91,360.0","91,116.0","82,648.0","86,152.0","77,440.0","65,736.0","68,444.0","68,604.0","63,212.0","64,168.0","79,236.0","88,268.0","90,920.0","103,884.0","102,888.0","91,072.0","92,280.0","98,688.0","96,972.0","102,264.0","99,700.0","106,580.0","106,336.0","107,304.0","118,480.0","118,705.0","132,794.0","137,908.0","132,356.0","129,331.0","136,631.0","146,652.0","153,906.0","158,354.0","145,029.0","140,422.0","140,467.0","139,325.0","144,875.0","149,827.0","147,669.0","141,637.0","136,779.0","137,436.0","138,511.0","148,203.0","149,751.0","144,029.0","152,769.0","158,139.0","170,091.0","162,123.0","193,783.0","174,536.0","183,616.0","201,134.0","213,278.0","217,571.0","214,784.0","221,665.0","217,331.0","221,588.0","233,383.0","233,779.0","237,124.0","238,216.0","242,942.0","255,071.0","245,455.0","248,512.0","245,489.0","252,217.0","247,246.0","256,227.0","254,080.0","259,164.0","265,667.0","274,301.0","273,119.0","254,697.0","258,251.0","224,489.0","216,639.0","195,037.0","177,017.0","179,259.0","185,957.0","193,723.0","210,405.0","231,540.0","226,974.0","247,224.0","269,329.0","277,630.0","298,197.0","320,427.0","328,122.0","405,092.0","395,642.0","403,058.0","445,747.0","460,725.0","475,172.0","496,703.0","460,837.0","474,187.0","468,062.0","431,090.0","408,781.0","355,279.0","344,133.0","312,594.0","224,394.0","214,997.0","240,432.0","284,998.0","337,351.0","344,824.0","351,677.0","387,470.0","398,311.0","397,495.0","383,380.0","351,001.0","384,501.0","451,290.0","473,505.0","440,557.0","453,775.0","474,911.0","459,154.0","467,525.0","495,449.0","562,309.0","607,956.0","602,493.0","597,739.0","606,969.0"
"34","15","  Profits after tax with IVA and CCAdj","A551RC1","62,016.0","59,904.0","58,278.0","53,560.0","50,195.0","53,818.0","52,659.0","49,274.0","58,798.0","60,170.0","63,520.0","67,438.0","71,150.0","72,750.0","76,219.0","79,365.0","83,760.0","81,042.0","84,436.0","84,428.0","80,552.0","76,769.0","66,960.0","67,398.0","73,958.0","82,152.0","92,554.0","100,186.0","108,491.0","107,971.0","109,855.0","109,883.0","115,318.0","130,526.0","142,894.0","136,630.0","137,442.0","153,108.0","158,796.0","165,497.0","159,584.0","161,210.0","159,488.0","155,573.0","140,450.0","129,822.0","131,454.0","143,753.0","153,236.0","158,195.0","171,690.0","169,498.0","156,111.0","167,769.0","165,071.0","164,483.0","180,413.0","195,453.0","202,976.0","217,635.0","232,724.0","235,339.0","242,512.0","250,827.0","249,194.0","254,559.0","266,590.0","249,985.0","234,116.0","220,233.0","208,249.0","196,197.0","207,146.0","230,094.0","248,477.0","256,448.0","265,164.0","272,435.0","269,077.0","286,321.0","265,538.0","270,823.0","276,060.0","260,272.0","274,173.0","288,529.0","257,273.0","266,938.0","312,332.0","314,709.0","311,936.0","311,977.0","328,343.0","328,076.0","319,179.0","330,734.0","323,126.0","339,295.0","361,490.0","379,946.0","407,036.0","420,864.0","437,410.0","449,782.0","447,116.0","474,452.0","501,490.0","517,655.0","547,355.0","548,015.0","552,787.0","570,182.0","597,044.0","614,788.0","637,546.0","632,013.0","559,970.0","559,661.0","561,031.0","542,316.0","585,959.0","581,540.0","560,004.0","558,277.0","528,987.0","519,641.0","521,074.0","494,740.0","519,135.0","557,406.0","547,259.0","579,173.0","671,455.0","695,068.0","716,359.0","776,440.0","756,634.0","801,885.0","829,139.0","862,774.0","961,082.0","968,595.0","1,005,251.0","974,076.0","1,022,671.0","1,050,352.0","1,071,199.0","1,117,155.0","1,166,709.0","1,174,023.0","1,196,837.0","1,155,017.0","1,056,758.0","1,128,790.0","1,087,053.0","1,061,245.0","1,028,130.0","1,023,501.0","1,058,716.0","793,501.0","1,043,957.0","1,060,580.0","1,178,254.0","1,227,319.0","1,313,661.0","1,314,750.0","1,426,566.0","1,448,420.0","1,279,886.0","1,406,622.0","1,475,642.0","1,587,986.0","1,526,624.0","1,551,249.0","1,600,442.0","1,593,775.0","1,564,509.0","1,644,406.0","1,673,126.0","1,648,354.0","1,379,837.0","1,498,209.0","1,568,252.0","1,542,537.0","1,407,874.0"
"35","16","    Net dividends","B056RC1","23,964.0","24,124.0","24,268.0","24,600.0","24,508.0","24,260.0","24,240.0","24,220.0","25,048.0","24,956.0","25,168.0","24,936.0","26,104.0","26,428.0","27,104.0","27,708.0","28,396.0","29,308.0","30,404.0","31,520.0","32,544.0","33,308.0","33,568.0","33,456.0","32,932.0","32,680.0","32,852.0","33,376.0","36,160.0","38,112.0","39,924.0","41,860.0","42,676.0","43,940.0","45,632.0","46,828.0","48,268.0","49,456.0","51,776.0","53,672.0","55,428.0","56,944.0","58,040.0","59,668.0","61,780.0","64,280.0","64,664.0","65,556.0","68,688.0","72,688.0","75,900.0","77,748.0","77,689.0","76,522.0","77,139.0","79,514.0","81,049.0","82,100.0","84,344.0","86,364.0","88,597.0","90,853.0","91,052.0","92,726.0","95,415.0","96,997.0","98,309.0","99,463.0","103,242.0","106,368.0","107,489.0","107,621.0","108,848.0","109,847.0","113,316.0","117,237.0","121,724.0","126,424.0","132,800.0","138,729.0","148,014.0","155,695.0","161,056.0","167,131.0","170,157.0","169,931.0","169,998.0","166,162.0","175,206.0","180,156.0","183,128.0","183,562.0","185,158.0","188,167.0","191,018.0","193,722.0","196,560.0","201,107.0","207,605.0","216,008.0","225,616.0","233,781.0","240,002.0","244,492.0","247,787.0","253,245.0","261,756.0","273,013.0","286,263.0","298,750.0","309,819.0","319,280.0","327,654.0","335,746.0","343,527.0","350,881.0","357,141.0","359,878.0","358,457.0","352,811.0","344,529.0","341,808.0","346,553.0","358,695.0","375,749.0","386,867.0","390,151.0","385,968.0","374,245.0","368,303.0","367,072.0","372,687.0","386,821.0","398,820.0","403,685.0","411,392.0","411,469.0","412,757.0","436,353.0","475,311.0","515,468.0","543,143.0","549,026.0","648,718.0","556,630.0","571,420.0","576,793.0","617,266.0","687,428.0","718,312.0","734,899.0","763,384.0","781,942.0","822,554.0","833,588.0","837,552.0","867,830.0","829,815.0","800,154.0","736,655.0","681,251.0","585,181.0","526,657.0","505,431.0","521,815.0","542,776.0","576,043.0","615,168.0","657,963.0","681,810.0","719,051.0","755,874.0","774,861.0","803,706.0","817,310.0","1,032,668.0","835,543.0","1,098,735.0","911,662.0","992,332.0","902,771.0","902,294.0","898,441.0","917,041.0","922,114.0"
"36","17","    Undistributed profits with IVA and CCAdj","A127RC1","38,052.0","35,780.0","34,010.0","28,960.0","25,687.0","29,558.0","28,419.0","25,054.0","33,750.0","35,214.0","38,352.0","42,502.0","45,046.0","46,322.0","49,115.0","51,657.0","55,364.0","51,734.0","54,032.0","52,908.0","48,008.0","43,461.0","33,392.0","33,942.0","41,026.0","49,472.0","59,702.0","66,810.0","72,331.0","69,859.0","69,931.0","68,023.0","72,642.0","86,586.0","97,262.0","89,802.0","89,174.0","103,652.0","107,020.0","111,825.0","104,156.0","104,266.0","101,448.0","95,905.0","78,670.0","65,542.0","66,790.0","78,197.0","84,548.0","85,507.0","95,790.0","91,750.0","78,422.0","91,247.0","87,932.0","84,969.0","99,364.0","113,353.0","118,632.0","131,271.0","144,127.0","144,486.0","151,460.0","158,101.0","153,779.0","157,562.0","168,281.0","150,522.0","130,874.0","113,865.0","100,760.0","88,576.0","98,298.0","120,247.0","135,161.0","139,211.0","143,440.0","146,011.0","136,277.0","147,592.0","117,524.0","115,128.0","115,004.0","93,141.0","104,016.0","118,598.0","87,275.0","100,776.0","137,126.0","134,553.0","128,808.0","128,415.0","143,185.0","139,909.0","128,161.0","137,012.0","126,566.0","138,188.0","153,885.0","163,938.0","181,420.0","187,083.0","197,408.0","205,290.0","199,329.0","221,207.0","239,734.0","244,642.0","261,092.0","249,265.0","242,968.0","250,902.0","269,390.0","279,042.0","294,019.0","281,132.0","202,829.0","199,783.0","202,574.0","189,505.0","241,430.0","239,732.0","213,451.0","199,582.0","153,238.0","132,774.0","130,923.0","108,772.0","144,890.0","189,103.0","180,187.0","206,486.0","284,634.0","296,248.0","312,674.0","365,048.0","345,165.0","389,128.0","392,786.0","387,463.0","445,614.0","425,452.0","456,225.0","325,358.0","466,041.0","478,932.0","494,406.0","499,889.0","479,281.0","455,711.0","461,938.0","391,633.0","274,816.0","306,236.0","253,465.0","223,693.0","160,300.0","193,686.0","258,562.0","56,846.0","362,706.0","475,399.0","651,597.0","721,888.0","791,846.0","771,974.0","850,523.0","833,252.0","621,923.0","724,812.0","756,591.0","832,112.0","751,763.0","747,543.0","783,132.0","561,107.0","728,966.0","545,671.0","761,464.0","656,022.0","477,066.0","595,915.0","669,811.0","625,496.0","485,760.0"
"37","18","Net interest and miscellaneous payments","W255RC1","31,168.0","32,871.0","34,600.0","35,694.0","37,370.0","39,484.0","41,771.0","43,237.0","44,318.0","45,292.0","45,527.0","45,769.0","46,644.0","47,887.0","50,183.0","52,441.0","53,019.0","54,794.0","58,863.0","62,317.0","66,762.0","71,596.0","75,229.0","80,423.0","84,428.0","85,087.0","86,691.0","87,300.0","86,849.0","89,307.0","90,902.0","92,560.0","95,238.0","103,630.0","110,142.0","114,544.0","115,652.0","117,823.0","118,892.0","122,710.0","128,696.0","134,901.0","143,153.0","157,338.0","172,994.0","180,130.0","186,598.0","205,016.0","208,572.0","228,368.0","255,621.0","260,887.0","272,667.0","283,231.0","277,973.0","276,068.0","281,139.0","282,913.0","295,788.0","307,193.0","313,846.0","332,572.0","348,301.0","349,719.0","349,314.0","346,852.0","344,479.0","351,525.0","366,350.0","367,167.0","366,440.0","360,847.0","359,876.0","366,111.0","373,116.0","378,920.0","386,321.0","383,635.0","396,874.0","412,119.0","432,855.0","442,511.0","449,238.0","446,037.0","451,016.0","449,336.0","446,964.0","452,927.0","424,187.0","410,283.0","407,276.0","392,277.0","387,767.0","385,595.0","379,087.0","382,439.0","382,510.0","375,071.0","367,505.0","360,365.0","358,476.0","361,804.0","364,929.0","378,585.0","383,136.0","376,596.0","373,143.0","373,098.0","370,251.0","378,505.0","384,668.0","393,966.0","403,778.0","409,877.0","415,972.0","429,123.0","460,739.0","479,552.0","489,026.0","482,085.0","473,184.0","478,725.0","490,329.0","509,597.0","547,128.0","565,329.0","573,339.0","574,138.0","577,426.0","575,540.0","564,782.0","548,029.0","521,344.0","490,507.0","475,465.0","474,827.0","487,988.0","477,920.0","458,863.0","439,937.0","409,588.0","398,518.0","394,372.0","411,487.0","460,418.0","481,251.0","516,471.0","528,907.0","553,133.0","571,070.0","583,516.0","616,059.0","634,180.0","639,890.0","682,085.0","697,627.0","691,708.0","689,150.0","676,808.0","715,932.0","671,070.0","561,984.0","514,392.0","506,120.0","503,331.0","482,712.0","483,575.0","487,975.0","493,548.0","465,639.0","493,433.0","499,625.0","503,624.0","473,409.0","509,454.0","480,290.0","517,397.0","477,090.0","493,334.0","511,214.0","506,538.0","461,029.0","479,286.0","498,433.0","529,644.0"
"38","19","Taxes on production and imports","W056RC1","80,589.0","82,901.0","85,217.0","86,717.0","88,466.0","90,535.0","92,512.0","94,139.0","97,652.0","98,947.0","101,674.0","103,699.0","104,560.0","106,786.0","108,862.0","111,504.0","114,600.0","116,185.0","118,397.0","119,698.0","120,806.0","124,068.0","127,054.0","127,680.0","128,821.0","133,011.0","138,199.0","141,137.0","141,674.0","144,856.0","147,693.0","151,329.0","154,836.0","158,028.0","161,532.0","164,260.0","166,912.0","173,059.0","169,711.0","173,910.0","176,441.0","178,493.0","180,902.0","184,568.0","189,513.0","196,896.0","204,294.0","210,617.0","230,842.0","235,496.0","237,466.0","238,772.0","237,401.0","238,262.0","241,777.0","246,292.0","250,664.0","261,239.0","267,494.0","273,727.0","281,644.0","287,748.0","292,172.0","297,528.0","301,047.0","305,701.0","311,851.0","313,933.0","317,495.0","319,475.0","326,155.0","330,367.0","336,035.0","344,369.0","352,378.0","357,398.0","365,088.0","372,587.0","377,635.0","382,546.0","391,097.0","397,372.0","403,844.0","403,155.0","419,362.0","419,501.0","426,879.0","434,218.0","444,271.0","451,603.0","461,167.0","471,323.0","476,247.0","481,066.0","485,909.0","490,282.0","489,804.0","497,944.0","504,986.0","519,766.0","531,900.0","544,174.0","550,169.0","554,749.0","554,882.0","553,675.0","559,166.0","563,889.0","570,757.0","577,713.0","581,629.0","592,917.0","595,645.0","610,260.0","616,560.0","623,995.0","629,125.0","635,524.0","642,991.0","650,252.0","657,491.0","667,058.0","679,019.0","690,772.0","698,563.0","707,303.0","711,308.0","717,050.0","724,086.0","724,086.0","725,411.0","737,177.0","744,960.0","756,600.0","771,832.0","777,016.0","788,570.0","800,694.0","814,788.0","827,966.0","843,352.0","855,479.0","868,563.0","888,367.0","908,411.0","929,462.0","944,650.0","955,598.0","975,670.0","988,267.0","996,868.0","1,006,975.0","1,022,002.0","1,031,974.0","1,038,755.0","1,045,518.0","1,038,108.0","1,047,941.0","1,049,247.0","1,032,371.0","1,014,113.0","1,019,364.0","1,030,133.0","1,040,975.0","1,042,207.0","1,054,206.0","1,063,073.0","1,068,954.0","1,087,640.0","1,104,201.0","1,104,021.0","1,114,641.0","1,129,509.0","1,132,023.0","1,127,659.0","1,138,862.0","1,154,800.0","1,152,233.0","1,167,077.0","1,175,674.0","1,184,478.0","1,197,937.0","1,212,392.0","1,217,865.0","1,214,569.0"
"39","20","Less: Subsidies \2\","A107RC1","4,340.0","4,464.0","4,668.0","4,664.0","4,736.0","4,820.0","4,740.0","4,812.0","4,764.0","4,812.0","4,512.0","4,612.0","6,103.0","6,203.0","7,175.0","7,063.0","5,944.0","5,704.0","4,717.0","4,555.0","3,556.0","2,892.0","3,172.0","3,608.0","4,220.0","4,264.0","4,564.0","4,928.0","5,136.0","4,836.0","5,068.0","5,460.0","5,820.0","5,856.0","6,416.0","10,308.0","8,680.0","8,368.0","8,288.0","10,408.0","8,352.0","8,776.0","8,132.0","8,864.0","9,200.0","9,624.0","10,072.0","10,304.0","10,556.0","10,704.0","11,120.0","13,512.0","13,996.0","13,604.0","13,040.0","19,428.0","19,900.0","21,584.0","22,196.0","21,536.0","21,224.0","20,996.0","20,880.0","21,160.0","21,119.0","20,994.0","21,333.0","21,994.0","23,105.0","24,187.0","25,451.0","26,837.0","28,281.0","30,443.0","31,306.0","31,098.0","30,364.0","29,842.0","29,237.0","28,565.0","27,954.0","27,389.0","27,095.0","27,274.0","27,124.0","26,949.0","26,931.0","26,968.0","27,137.0","27,213.0","27,504.0","28,098.0","28,575.0","29,224.0","30,392.0","32,161.0","35,468.0","37,558.0","37,688.0","36,010.0","33,567.0","32,376.0","31,945.0","32,204.0","33,964.0","34,614.0","35,147.0","35,523.0","35,502.0","35,434.0","35,193.0","34,807.0","34,375.0","33,647.0","33,432.0","33,786.0","33,810.0","35,006.0","36,784.0","39,872.0","42,447.0","45,027.0","46,449.0","46,913.0","45,067.0","45,472.0","45,819.0","47,002.0","55,246.0","62,026.0","71,173.0","46,443.0","42,631.0","39,835.0","41,357.0","41,737.0","44,971.0","57,080.0","46,951.0","47,230.0","44,722.0","43,655.0","45,120.0","52,049.0","56,543.0","60,700.0","62,108.0","64,288.0","55,720.0","51,544.0","49,929.0","48,675.0","49,528.0","58,180.0","55,938.0","54,692.0","51,865.0","51,646.0","52,056.0","54,663.0","55,247.0","55,417.0","67,054.0","55,674.0","54,866.0","55,485.0","56,196.0","56,897.0","58,552.0","59,919.0","60,995.0","60,794.0","57,897.0","58,002.0","56,807.0","59,422.0","60,031.0","61,147.0","60,581.0","58,891.0","57,662.0","57,454.0","57,405.0","56,955.0","57,229.0"
"40","21","Business current transfer payments (net)","B029RC1","4,716.0","4,827.0","4,837.0","4,812.0","4,617.0","4,463.0","4,225.0","4,123.0","4,131.0","4,104.0","4,153.0","4,240.0","4,540.0","4,695.0","4,874.0","5,007.0","5,576.0","5,889.0","5,647.0","5,848.0","6,298.0","6,570.0","6,972.0","7,312.0","8,356.0","9,097.0","9,276.0","9,415.0","9,549.0","9,394.0","9,050.0","8,551.0","8,160.0","7,823.0","8,029.0","8,312.0","9,352.0","10,034.0","10,731.0","11,379.0","12,282.0","12,699.0","12,958.0","13,069.0","13,159.0","13,392.0","13,709.0","15,728.0","16,441.0","16,559.0","17,105.0","17,547.0","18,640.0","19,151.0","19,520.0","19,953.0","20,300.0","20,905.0","21,883.0","23,636.0","26,684.0","28,647.0","30,140.0","31,161.0","32,203.0","38,146.0","32,787.0","33,104.0","42,051.0","34,517.0","33,249.0","34,028.0","34,013.0","34,352.0","32,482.0","32,328.0","31,116.0","31,674.0","33,165.0","35,064.0","37,232.0","37,664.0","39,129.0","39,038.0","39,374.0","38,969.0","38,872.0","39,501.0","39,752.0","38,654.0","38,482.0","38,666.0","38,624.0","38,362.0","38,879.0","43,011.0","40,205.0","39,303.0","38,701.0","39,347.0","40,709.0","39,701.0","41,264.0","41,180.0","43,616.0","44,899.0","45,834.0","45,510.0","46,812.0","48,199.0","48,927.0","66,659.0","46,901.0","47,356.0","53,498.0","52,490.0","58,940.0","60,415.0","62,614.0","74,347.0","65,241.0","66,388.0","67,863.0","71,765.0","79,077.0","83,277.0","87,208.0","91,698.0","98,485.0","100,489.0","100,127.0","97,483.0","87,767.0","81,411.0","77,489.0","75,983.0","77,740.0","76,370.0","75,946.0","74,979.0","77,841.0","79,467.0","78,523.0","89,568.0","94,525.0","97,437.0","92,968.0","90,703.0","80,803.0","79,107.0","84,029.0","86,425.0","101,484.0","98,804.0","99,635.0","94,317.0","112,304.0","109,801.0","108,121.0","127,254.0","125,024.0","135,235.0","117,735.0","121,513.0","129,320.0","126,495.0","131,081.0","126,962.0","142,637.0","127,912.0","130,967.0","124,584.0","119,206.0","110,825.0","102,029.0","94,600.0","115,093.0","122,251.0","118,407.0","126,575.0","119,219.0","123,040.0","182,438.0","137,764.0","137,569.0"
"41","22","  To persons (net)","B931RC1","3,260.0","3,356.0","3,368.0","3,340.0","3,124.0","2,968.0","2,848.0","2,764.0","2,676.0","2,656.0","2,696.0","2,756.0","2,916.0","3,036.0","3,188.0","3,308.0","3,628.0","3,864.0","4,064.0","4,204.0","4,332.0","4,512.0","4,880.0","5,228.0","6,148.0","6,900.0","7,096.0","7,232.0","7,048.0","6,980.0","6,656.0","6,092.0","5,468.0","5,004.0","4,860.0","5,028.0","5,644.0","6,176.0","6,748.0","7,284.0","7,852.0","8,192.0","8,396.0","8,460.0","8,176.0","8,328.0","8,712.0","9,304.0","10,356.0","10,972.0","11,484.0","11,888.0","12,032.0","12,296.0","12,480.0","12,736.0","12,780.0","13,172.0","13,980.0","15,252.0","17,608.0","19,248.0","20,568.0","21,484.0","21,948.0","22,148.0","22,332.0","22,612.0","23,340.0","23,457.0","23,008.0","21,988.0","21,274.0","20,560.0","19,729.0","19,348.0","19,600.0","20,110.0","20,762.0","21,911.0","23,271.0","23,131.0","23,193.0","23,088.0","23,280.0","22,943.0","21,872.0","20,677.0","19,154.0","17,932.0","17,026.0","16,430.0","16,501.0","16,460.0","16,271.0","15,916.0","15,120.0","14,361.0","13,671.0","13,064.0","12,808.0","12,788.0","13,249.0","14,173.0","16,013.0","17,841.0","19,644.0","21,413.0","22,798.0","23,526.0","23,242.0","21,947.0","19,720.0","18,727.0","18,953.0","20,385.0","22,844.0","25,087.0","27,114.0","28,935.0","31,182.0","32,830.0","34,807.0","37,071.0","39,821.0","41,462.0","43,301.0","45,150.0","47,874.0","48,306.0","46,984.0","43,911.0","39,084.0","35,197.0","32,253.0","30,246.0","29,607.0","28,012.0","25,463.0","21,959.0","17,500.0","15,425.0","15,734.0","18,426.0","23,503.0","26,417.0","27,170.0","25,760.0","22,189.0","20,475.0","20,619.0","22,620.0","26,479.0","29,674.0","32,204.0","34,069.0","35,269.0","36,291.0","37,134.0","37,799.0","37,892.0","38,320.0","38,909.0","39,657.0","40,565.0","41,868.0","43,256.0","46,115.0","49,407.0","51,068.0","51,084.0","49,407.0","45,791.0","43,340.0","41,882.0","41,417.0","41,937.0","42,309.0","42,531.0","42,603.0","43,065.0","43,788.0","44,542.0","45,328.0","45,881.0"
