"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"32","13","  Interest receipts \1\","B112RC1","3,217.0","3,458.0","3,691.0","3,914.0","4,123.0","4,292.0","4,417.0","4,496.0","4,542.0","4,575.0","4,606.0","4,637.0","4,665.0","4,781.0","4,999.0","5,319.0","5,770.0","6,282.0","6,853.0","7,491.0","8,146.0","8,734.0","9,200.0","9,532.0","9,862.0","9,918.0","9,845.0","9,643.0","9,126.0","8,961.0","8,957.0","9,132.0","9,621.0","10,061.0","10,592.0","11,202.0","11,847.0","12,693.0","13,692.0","14,852.0","16,203.0","17,515.0","18,768.0","19,966.0","21,147.0","22,359.0","23,665.0","25,073.0","26,485.0","27,899.0","29,210.0","30,414.0","31,589.0","32,629.0","33,607.0","34,487.0","35,402.0","36,353.0","37,476.0","38,797.0","40,019.0","41,650.0","43,399.0","45,273.0","48,125.0","49,619.0","50,890.0","51,761.0","52,345.0","52,587.0","52,616.0","52,736.0","52,447.0","52,730.0","53,164.0","53,810.0","54,666.0","55,770.0","57,301.0","58,611.0","60,629.0","61,954.0","62,894.0","63,622.0","63,989.0","64,189.0","64,185.0","63,957.0","63,416.0","62,760.0","62,119.0","61,173.0","60,261.0","59,310.0","58,305.0","57,424.0","56,453.0","55,878.0","55,734.0","55,900.0","56,593.0","57,572.0","58,624.0","60,071.0","61,723.0","63,100.0","64,305.0","65,376.0","66,271.0","67,148.0","68,203.0","69,233.0","70,294.0","71,393.0","72,225.0","73,228.0","74,085.0","74,771.0","75,366.0","75,706.0","76,310.0","77,286.0","79,139.0","81,654.0","84,749.0","86,661.0","87,235.0","86,623.0","84,817.0","82,701.0","80,254.0","77,324.0","74,003.0","71,362.0","69,085.0","67,371.0","65,765.0","64,573.0","63,890.0","63,677.0","64,232.0","65,283.0","66,967.0","69,073.0","71,480.0","74,552.0","78,424.0","82,921.0","88,260.0","92,903.0","97,007.0","100,731.0","104,212.0","105,308.0","105,168.0","102,251.0","97,765.0","93,420.0","88,714.0","84,136.0","79,182.0","75,468.0","72,465.0","70,602.0","69,933.0","69,484.0","68,813.0","68,184.0","66,458.0","65,046.0","64,223.0","63,598.0","63,220.0","62,936.0","62,846.0","62,908.0","62,965.0","63,151.0","63,335.0","63,528.0","63,497.0","63,607.0","63,698.0","63,757.0","63,674.0"
"33","14","  Dividends","B081RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","24.0","28.0","28.0","28.0","28.0","32.0","32.0","36.0","36.0","36.0","40.0","40.0","40.0","44.0","44.0","44.0","44.0","44.0","48.0","48.0","52.0","64.0","68.0","76.0","80.0","84.0","84.0","84.0","88.0","92.0","100.0","108.0","116.0","124.0","128.0","136.0","144.0","152.0","156.0","164.0","172.0","176.0","180.0","176.0","172.0","164.0","160.0","160.0","160.0","156.0","156.0","152.0","152.0","148.0","148.0","152.0","156.0","160.0","164.0","168.0","172.0","176.0","176.0","180.0","176.0","176.0","176.0","180.0","181.0","206.0","254.0","311.0","303.0","327.0","349.0","393.0","403.0","448.0","484.0","525.0","533.0","571.0","597.0","643.0","681.0","743.0","755.0","845.0","843.0","839.0","1,026.0","1,144.0","1,172.0","1,326.0","1,495.0","1,419.0","1,410.0","1,504.0","1,579.0","1,607.0","1,570.0","1,649.0","1,674.0","1,627.0","1,552.0","1,491.0","1,475.0","1,470.0","1,472.0","1,337.0","1,228.0","1,383.0","1,416.0","1,351.0","1,470.0","1,451.0","1,463.0","1,489.0","1,642.0","1,610.0","1,826.0","1,650.0","1,710.0","1,694.0","1,659.0","1,749.0","1,866.0","2,551.0","1,904.0","1,988.0","1,985.0","2,003.0","2,019.0","2,109.0","2,093.0","2,092.0","2,168.0","2,075.0","2,201.0","2,250.0","2,554.0","2,485.0","2,554.0","2,794.0","2,298.0","1,871.0","2,096.0","2,312.0","2,308.0","2,365.0","2,239.0","2,294.0","2,336.0","2,591.0","2,685.0","2,978.0","3,074.0","3,473.0","3,452.0","3,496.0","3,604.0","3,633.0","3,821.0","3,813.0","3,913.0","4,080.0","3,923.0","3,997.0","4,171.0"
"34","15","  Rents and royalties","S230541","767.0","767.0","767.0","767.0","821.0","821.0","821.0","821.0","905.0","905.0","905.0","905.0","987.0","987.0","987.0","987.0","1,134.0","1,134.0","1,134.0","1,134.0","1,255.0","1,255.0","1,255.0","1,255.0","1,330.0","1,330.0","1,330.0","1,330.0","1,345.0","1,346.0","1,346.0","1,347.0","1,250.0","1,250.0","1,250.0","1,250.0","1,323.0","1,322.0","1,322.0","1,321.0","1,932.0","1,932.0","1,932.0","1,932.0","3,112.0","3,112.0","3,112.0","3,112.0","3,336.0","3,335.0","3,335.0","3,334.0","3,489.0","3,489.0","3,489.0","3,489.0","3,958.0","4,164.0","4,365.0","4,553.0","4,728.0","4,873.0","4,997.0","5,102.0","5,083.0","5,231.0","5,434.0","5,680.0","6,187.0","6,295.0","6,292.0","6,178.0","5,952.0","5,615.0","5,166.0","4,607.0","4,686.0","4,488.0","4,333.0","4,221.0","4,223.0","4,149.0","4,069.0","3,987.0","3,797.0","3,793.0","5,004.0","4,006.0","4,340.0","4,505.0","4,619.0","4,676.0","5,334.0","4,582.0","4,566.0","4,550.0","4,554.0","4,545.0","4,534.0","4,519.0","4,541.0","4,532.0","4,527.0","4,524.0","4,509.0","4,516.0","4,529.0","4,546.0","4,569.0","4,607.0","4,651.0","4,697.0","4,795.0","4,808.0","4,788.0","4,741.0","4,648.0","4,608.0","4,624.0","4,688.0","4,804.0","4,992.0","5,240.0","5,548.0","5,924.0","6,208.0","6,396.0","6,488.0","6,488.0","6,480.0","6,460.0","6,432.0","6,392.0","6,456.0","6,612.0","6,872.0","7,220.0","7,528.0","7,776.0","7,972.0","8,092.0","8,292.0","8,572.0","8,932.0","9,372.0","9,710.0","9,946.0","10,081.0","10,114.0","10,230.0","10,430.0","10,714.0","11,081.0","11,409.0","11,697.0","11,947.0","12,157.0","12,220.0","12,134.0","11,901.0","11,521.0","11,252.0","11,096.0","11,053.0","11,117.0","11,174.0","11,224.0","11,264.0","11,474.0","11,663.0","11,832.0","11,980.0","12,108.0","12,230.0","12,347.0","12,458.0","12,564.0","12,678.0","12,802.0","12,935.0","13,076.0","13,227.0","13,386.0","13,553.0","13,729.0"
"35","16","Current transfer receipts","W075RC1","13,795.0","14,677.0","15,781.0","16,775.0","18,283.0","19,594.0","20,944.0","21,559.0","22,422.0","24,006.0","24,364.0","25,728.0","26,705.0","35,028.0","27,977.0","41,674.0","36,879.0","35,965.0","35,203.0","36,257.0","36,214.0","37,097.0","38,484.0","39,985.0","42,672.0","47,865.0","48,604.0","49,679.0","51,117.0","52,001.0","53,016.0","57,122.0","55,459.0","58,560.0","62,221.0","62,320.0","66,893.0","69,572.0","69,003.0","70,616.0","68,229.0","68,886.0","71,612.0","72,441.0","73,581.0","75,246.0","78,008.0","80,633.0","79,690.0","79,833.0","77,498.0","74,861.0","75,184.0","76,854.0","75,279.0","76,186.0","77,675.0","79,773.0","79,280.0","78,211.0","83,067.0","85,263.0","83,204.0","87,122.0","87,874.0","88,751.0","90,241.0","92,325.0","102,486.0","99,034.0","102,258.0","95,367.0","92,676.0","96,111.0","94,352.0","94,606.0","100,790.0","101,209.0","104,647.0","105,892.0","107,758.0","108,702.0","115,031.0","115,075.0","121,164.0","124,594.0","127,711.0","132,076.0","140,604.0","146,392.0","154,122.0","161,519.0","166,057.0","169,565.0","176,457.0","179,161.0","181,905.0","185,062.0","191,542.0","200,557.0","198,488.0","201,765.0","204,859.0","211,098.0","214,475.0","214,391.0","216,155.0","212,760.0","218,912.0","228,000.0","226,191.0","224,443.0","230,395.0","231,009.0","238,685.0","244,341.0","246,639.0","245,298.0","251,972.0","270,073.0","270,771.0","269,318.0","282,088.0","287,414.0","289,133.0","293,414.0","306,770.0","309,452.0","323,936.0","333,339.0","330,934.0","344,344.0","349,499.0","362,937.0","368,962.0","380,038.0","378,885.0","407,101.0","413,042.0","421,048.0","415,426.0","423,496.0","419,109.0","431,735.0","433,671.0","436,051.0","435,848.0","440,064.0","434,717.0","439,717.0","446,251.0","434,831.0","457,397.0","460,129.0","462,143.0","464,038.0","469,848.0","475,318.0","476,596.0","489,543.0","524,101.0","584,133.0","569,857.0","586,306.0","597,800.0","598,873.0","624,237.0","626,910.0","603,192.0","610,259.0","562,305.0","552,765.0","547,552.0","553,745.0","558,457.0","565,228.0","554,665.0","570,422.0","583,167.0","574,918.0","593,112.0","629,056.0","648,330.0","636,798.0","655,701.0"
"36","17","  Federal grants-in-aid","B089RC1","12,228.0","13,092.0","14,176.0","15,144.0","16,584.0","17,860.0","19,172.0","19,752.0","20,512.0","22,052.0","22,352.0","23,652.0","24,440.0","32,708.0","25,616.0","39,288.0","34,348.0","33,408.0","32,604.0","33,596.0","33,312.0","34,108.0","35,404.0","36,808.0","39,256.0","44,344.0","44,972.0","45,932.0","47,048.0","47,816.0","48,724.0","52,720.0","50,724.0","53,724.0","57,292.0","57,300.0","61,508.0","64,092.0","63,416.0","64,912.0","62,112.0","62,640.0","65,236.0","65,932.0","66,692.0","68,184.0","70,744.0","73,140.0","71,465.0","71,370.0","68,818.0","65,985.0","65,837.0","67,331.0","65,576.0","66,299.0","67,223.0","69,160.0","68,404.0","66,972.0","71,308.0","73,097.0","70,670.0","74,281.0","74,804.0","75,337.0","76,431.0","78,103.0","79,739.0","83,790.0","86,670.0","79,502.0","76,895.0","80,180.0","78,228.0","78,226.0","84,105.0","84,114.0","87,037.0","87,690.0","88,736.0","89,128.0","94,962.0","94,536.0","99,915.0","103,196.0","105,489.0","108,829.0","115,627.0","120,538.0","127,031.0","132,893.0","136,179.0","139,022.0","145,046.0","146,477.0","148,778.0","151,381.0","157,214.0","165,477.0","162,397.0","164,912.0","167,274.0","172,811.0","175,585.0","174,798.0","175,831.0","171,691.0","177,147.0","185,470.0","182,879.0","180,330.0","184,594.0","184,233.0","187,473.0","196,266.0","197,347.0","197,010.0","201,788.0","207,049.0","214,719.0","211,806.0","223,124.0","226,970.0","224,473.0","227,390.0","239,502.0","241,060.0","253,980.0","262,211.0","258,466.0","270,372.0","273,615.0","285,449.0","289,986.0","299,666.0","298,245.0","324,865.0","328,942.0","334,792.0","327,171.0","333,546.0","328,021.0","340,063.0","341,852.0","343,726.0","342,540.0","345,295.0","338,657.0","342,067.0","347,360.0","335,046.0","356,790.0","358,768.0","359,810.0","360,514.0","364,007.0","368,521.0","369,297.0","382,195.0","415,957.0","476,090.0","461,868.0","478,326.0","492,162.0","492,250.0","517,234.0","519,520.0","494,724.0","500,789.0","452,083.0","442,204.0","436,925.0","442,643.0","446,337.0","451,543.0","437,207.0","451,193.0","462,508.0","448,936.0","470,092.0","505,087.0","518,273.0","510,334.0","526,758.0"
"37","18","  From business (net)","W076RC1","532.0","531.0","529.0","528.0","565.0","563.0","561.0","551.0","611.0","600.0","593.0","588.0","680.0","679.0","682.0","687.0","856.0","869.0","887.0","908.0","1,070.0","1,086.0","1,092.0","1,088.0","1,232.0","1,217.0","1,204.0","1,191.0","1,377.0","1,370.0","1,358.0","1,355.0","1,584.0","1,583.0","1,581.0","1,580.0","1,860.0","1,862.0","1,867.0","1,875.0","2,158.0","2,167.0","2,174.0","2,177.0","2,459.0","2,460.0","2,457.0","2,452.0","2,865.0","2,863.0","2,869.0","2,879.0","3,232.0","3,247.0","3,256.0","3,261.0","3,628.0","3,581.0","3,623.0","3,748.0","4,004.0","4,155.0","4,268.0","4,313.0","4,323.0","4,362.0","4,427.0","4,484.0","12,559.0","4,724.0","4,781.0","4,816.0","4,811.0","4,848.0","4,905.0","4,992.0","5,072.0","5,240.0","5,471.0","5,741.0","6,057.0","6,313.0","6,520.0","6,686.0","7,238.0","6,882.0","7,032.0","7,208.0","7,762.0","7,634.0","7,896.0","8,504.0","8,883.0","8,862.0","9,172.0","10,031.0","10,117.0","10,358.0","10,646.0","10,987.0","11,381.0","11,765.0","12,147.0","12,527.0","12,895.0","13,286.0","13,690.0","14,109.0","14,534.0","14,957.0","15,381.0","15,800.0","16,261.0","16,621.0","20,625.0","17,241.0","18,572.0","17,536.0","19,084.0","31,236.0","23,280.0","23,740.0","24,240.0","24,780.0","28,088.0","28,512.0","28,776.0","28,872.0","29,384.0","29,540.0","29,920.0","30,520.0","31,588.0","32,300.0","32,912.0","33,416.0","32,788.0","33,364.0","34,128.0","35,076.0","35,895.0","36,564.0","36,831.0","36,698.0","36,283.0","36,175.0","36,493.0","37,238.0","37,761.0","38,653.0","39,266.0","39,600.0","39,933.0","40,182.0","40,635.0","41,291.0","43,059.0","43,605.0","43,837.0","43,754.0","44,114.0","43,918.0","43,924.0","44,130.0","42,393.0","43,584.0","43,870.0","43,862.0","44,213.0","44,448.0","44,391.0","43,881.0","43,057.0","42,748.0","43,090.0","44,085.0","47,395.0","48,646.0","49,499.0","54,188.0","50,535.0","50,732.0","56,006.0","51,538.0","53,081.0"
"38","19","  From persons","B246RC1","1,035.0","1,054.0","1,076.0","1,103.0","1,134.0","1,171.0","1,211.0","1,256.0","1,299.0","1,354.0","1,419.0","1,488.0","1,585.0","1,641.0","1,679.0","1,699.0","1,675.0","1,688.0","1,712.0","1,753.0","1,832.0","1,903.0","1,988.0","2,089.0","2,184.0","2,304.0","2,428.0","2,556.0","2,692.0","2,815.0","2,934.0","3,047.0","3,151.0","3,253.0","3,348.0","3,440.0","3,525.0","3,618.0","3,720.0","3,829.0","3,959.0","4,079.0","4,202.0","4,332.0","4,430.0","4,602.0","4,807.0","5,041.0","5,360.0","5,600.0","5,811.0","5,997.0","6,115.0","6,276.0","6,447.0","6,626.0","6,824.0","7,032.0","7,253.0","7,491.0","7,755.0","8,011.0","8,266.0","8,528.0","8,747.0","9,052.0","9,383.0","9,738.0","10,188.0","10,520.0","10,807.0","11,049.0","10,970.0","11,083.0","11,219.0","11,388.0","11,613.0","11,855.0","12,139.0","12,461.0","12,965.0","13,261.0","13,549.0","13,853.0","14,011.0","14,516.0","15,190.0","16,039.0","17,215.0","18,220.0","19,195.0","20,122.0","20,995.0","21,681.0","22,239.0","22,653.0","23,010.0","23,323.0","23,682.0","24,093.0","24,710.0","25,088.0","25,438.0","25,760.0","25,995.0","26,307.0","26,634.0","26,960.0","27,231.0","27,573.0","27,931.0","28,313.0","29,540.0","30,155.0","30,587.0","30,834.0","30,720.0","30,752.0","31,100.0","31,788.0","32,772.0","33,772.0","34,724.0","35,664.0","36,572.0","37,512.0","38,492.0","39,520.0","40,572.0","41,588.0","42,548.0","43,452.0","44,296.0","45,188.0","46,064.0","46,956.0","47,852.0","48,872.0","49,972.0","51,180.0","52,360.0","53,386.0","54,257.0","54,974.0","55,536.0","56,150.0","56,815.0","57,531.0","58,299.0","58,997.0","59,625.0","60,185.0","60,674.0","61,179.0","61,698.0","62,233.0","62,782.0","63,192.0","63,462.0","63,594.0","64,030.0","64,125.0","64,065.0","63,850.0","63,245.0","63,039.0","63,133.0","63,528.0","64,255.0","65,022.0","65,831.0","66,680.0","67,570.0","68,354.0","69,030.0","69,600.0","70,063.0","70,583.0","71,160.0","71,794.0","72,485.0","73,237.0","74,051.0","74,926.0","75,862.0"
"39","20","Current surplus of government enterprises","B115RC1","1,268.0","1,262.0","1,265.0","1,275.0","1,301.0","1,291.0","1,262.0","1,202.0","1,124.0","1,070.0","1,061.0","1,078.0","1,145.0","1,210.0","1,257.0","1,273.0","1,259.0","1,223.0","1,163.0","1,078.0","919.0","697.0","416.0","235.0","91.0","45.0","45.0","78.0","170.0","197.0","228.0","204.0","139.0","102.0","48.0","91.0","162.0","109.0","16.0","-96.0","-256.0","-447.0","-650.0","-825.0","-965.0","-1,186.0","-1,546.0","-1,943.0","-2,392.0","-2,639.0","-2,710.0","-2,492.0","-2,052.0","-1,784.0","-1,553.0","-1,229.0","-856.0","-468.0","-144.0","-6.0","487.0","954.0","1,478.0","2,323.0","2,689.0","2,977.0","3,126.0","2,927.0","2,807.0","2,620.0","2,491.0","2,282.0","2,274.0","2,394.0","2,637.0","3,359.0","3,749.0","4,193.0","4,592.0","4,999.0","5,404.0","5,591.0","5,665.0","5,763.0","5,671.0","5,549.0","5,462.0","5,579.0","5,749.0","5,737.0","5,667.0","5,695.0","5,473.0","5,574.0","5,878.0","6,309.0","6,848.0","7,194.0","7,586.0","7,633.0","7,290.0","7,476.0","7,883.0","8,508.0","9,487.0","10,245.0","10,960.0","11,584.0","12,236.0","12,582.0","12,588.0","12,314.0","11,879.0","11,196.0","10,561.0","9,884.0","8,275.0","8,595.0","8,863.0","9,111.0","9,339.0","9,301.0","8,993.0","8,241.0","7,204.0","6,017.0","4,842.0","3,576.0","2,243.0","1,318.0","6,121.0","-228.0","41.0","329.0","381.0","-192.0","-1,360.0","-2,246.0","-3,207.0","-4,350.0","-5,396.0","-6,462.0","-7,263.0","-7,607.0","-6,937.0","-6,995.0","-7,470.0","-7,961.0","-8,644.0","-10,187.0","-11,697.0","-13,897.0","-16,133.0","-17,937.0","-19,387.0","-20,489.0","-21,404.0","-21,921.0","-22,339.0","-22,530.0","-21,933.0","-21,169.0","-21,038.0","-21,378.0","-20,731.0","-20,195.0","-19,558.0","-18,721.0","-17,987.0","-17,457.0","-17,129.0","-16,878.0","-16,675.0","-16,435.0","-16,046.0","-15,445.0","-14,791.0","-14,416.0","-14,124.0","-14,050.0","-14,133.0","-14,290.0","-14,665.0","-14,833.0","-14,746.0"
"40","21","    Current expenditures","W024RC1","95,326.0","98,345.0","101,860.0","105,436.0","109,687.0","113,689.0","118,046.0","122,293.0","127,222.0","131,246.0","135,111.0","138,365.0","143,239.0","146,648.0","150,786.0","153,242.0","157,046.0","161,075.0","164,822.0","169,624.0","173,391.0","180,336.0","187,550.0","195,082.0","204,114.0","211,703.0","216,555.0","220,835.0","223,997.0","226,608.0","230,773.0","234,859.0","240,654.0","247,112.0","252,288.0","257,823.0","263,695.0","269,217.0","274,546.0","280,018.0","287,612.0","292,454.0","300,944.0","309,281.0","318,220.0","324,676.0","334,407.0","342,474.0","352,099.0","360,301.0","366,540.0","372,542.0","381,214.0","390,157.0","397,141.0","404,466.0","414,869.0","420,741.0","426,609.0","432,068.0","441,901.0","449,889.0","458,777.0","468,218.0","479,945.0","490,320.0","502,739.0","513,605.0","522,774.0","530,676.0","539,870.0","552,129.0","560,159.0","569,038.0","576,232.0","586,075.0","596,056.0","606,505.0","617,177.0","631,723.0","649,916.0","666,435.0","680,753.0","696,329.0","711,664.0","724,981.0","743,182.0","764,293.0","775,820.0","794,410.0","810,919.0","837,287.0","846,826.0","868,094.0","886,035.0","891,310.0","900,969.0","906,012.0","921,858.0","928,296.0","942,120.0","952,474.0","963,689.0","985,909.0","1,002,099.0","1,012,750.0","1,018,653.0","1,012,055.0","1,027,304.0","1,049,191.0","1,048,266.0","1,055,309.0","1,069,465.0","1,074,375.0","1,088,257.0","1,104,488.0","1,111,624.0","1,125,797.0","1,137,438.0","1,158,492.0","1,181,087.0","1,198,445.0","1,225,135.0","1,245,584.0","1,258,220.0","1,280,596.0","1,304,880.0","1,329,045.0","1,374,143.0","1,420,120.0","1,417,916.0","1,459,508.0","1,473,742.0","1,492,928.0","1,521,509.0","1,549,229.0","1,577,048.0","1,584,870.0","1,607,593.0","1,614,535.0","1,649,408.0","1,676,533.0","1,690,757.0","1,717,078.0","1,738,286.0","1,764,448.0","1,788,170.0","1,810,658.0","1,807,609.0","1,835,738.0","1,872,437.0","1,885,420.0","1,949,833.0","1,958,508.0","1,977,361.0","2,007,560.0","2,027,192.0","2,060,668.0","2,102,420.0","2,106,292.0","2,140,038.0","2,184,377.0","2,216,137.0","2,224,061.0","2,223,987.0","2,228,354.0","2,242,101.0","2,248,863.0","2,249,443.0","2,252,515.0","2,242,193.0","2,241,517.0","2,267,232.0","2,288,616.0","2,298,226.0","2,321,137.0","2,329,112.0","2,342,333.0","2,364,078.0","2,367,472.0","2,397,862.0","2,420,880.0","2,450,682.0","2,453,344.0","2,458,890.0"
"41","22","Consumption expenditures","A991RC1","76,435.0","79,045.0","81,770.0","84,502.0","87,769.0","90,533.0","93,622.0","96,519.0","100,076.0","102,971.0","105,824.0","107,973.0","111,429.0","114,010.0","116,911.0","119,178.0","122,008.0","125,085.0","128,287.0","131,865.0","136,591.0","141,640.0","147,068.0","152,643.0","158,774.0","164,451.0","168,387.0","170,846.0","173,169.0","175,631.0","178,248.0","181,672.0","186,285.0","190,449.0","195,343.0","199,943.0","204,039.0","207,348.0","211,811.0","216,225.0","222,300.0","225,415.0","232,274.0","237,804.0","244,134.0","250,182.0","255,751.0","261,068.0","268,422.0","273,817.0","278,632.0","283,484.0","289,547.0","295,209.0","299,726.0","305,173.0","310,912.0","314,917.0","318,822.0","322,252.0","329,728.0","336,168.0","343,492.0","350,454.0","359,208.0","367,043.0","376,503.0","384,473.0","390,439.0","395,236.0","401,943.0","411,941.0","418,286.0","425,302.0","430,773.0","439,030.0","446,906.0","454,760.0","461,982.0","472,102.0","484,917.0","496,411.0","506,070.0","517,903.0","530,697.0","539,139.0","551,002.0","563,879.0","569,276.0","575,224.0","583,374.0","592,646.0","603,497.0","615,395.0","625,533.0","631,744.0","638,421.0","643,442.0","649,060.0","654,980.0","667,411.0","677,249.0","687,838.0","696,449.0","705,595.0","714,630.0","720,367.0","726,700.0","734,694.0","744,197.0","751,542.0","761,889.0","771,236.0","778,864.0","789,741.0","803,881.0","814,644.0","828,200.0","842,934.0","856,942.0","873,285.0","892,704.0","912,194.0","929,823.0","945,646.0","959,951.0","975,716.0","995,153.0","1,016,500.0","1,034,044.0","1,049,614.0","1,058,802.0","1,071,404.0","1,086,613.0","1,098,154.0","1,107,979.0","1,122,191.0","1,120,709.0","1,127,640.0","1,138,014.0","1,158,934.0","1,178,240.0","1,195,749.0","1,217,353.0","1,229,501.0","1,243,340.0","1,265,956.0","1,287,631.0","1,295,870.0","1,316,666.0","1,336,433.0","1,354,656.0","1,384,800.0","1,402,663.0","1,417,923.0","1,440,098.0","1,462,370.0","1,484,952.0","1,512,165.0","1,495,484.0","1,487,857.0","1,503,403.0","1,515,191.0","1,526,988.0","1,521,197.0","1,521,049.0","1,515,406.0","1,515,566.0","1,515,612.0","1,529,592.0","1,530,360.0","1,523,637.0","1,539,688.0","1,536,960.0","1,545,439.0","1,562,397.0","1,573,311.0","1,579,749.0","1,590,240.0","1,594,877.0","1,607,378.0","1,616,576.0","1,628,544.0","1,629,057.0","1,620,249.0"
"42","23","Government social benefit payments to persons","B109RC1","12,616.0","12,832.0","13,404.0","14,016.0","14,704.0","15,636.0","16,552.0","17,512.0","18,324.0","19,060.0","19,644.0","20,300.0","21,208.0","21,620.0","22,516.0","22,468.0","23,248.0","23,960.0","24,172.0","24,956.0","23,428.0","24,720.0","25,852.0","27,104.0","29,216.0","30,476.0","30,952.0","32,564.0","33,384.0","33,416.0","34,724.0","35,028.0","35,692.0","37,492.0","37,264.0","37,708.0","39,168.0","40,972.0","41,268.0","41,660.0","42,384.0","43,504.0","44,520.0","46,856.0","49,092.0","48,960.0","52,424.0","54,328.0","55,600.0","57,372.0","57,704.0","57,684.0","59,036.0","61,016.0","62,144.0","62,592.0","65,772.0","66,332.0","67,196.0","68,324.0","69,912.0","70,636.0","71,300.0","72,828.0","74,888.0","76,320.0","78,068.0","79,764.0","81,568.0","83,624.0","85,272.0","86,912.0","88,308.0","89,948.0","91,556.0","93,092.0","95,288.0","97,324.0","99,508.0","101,884.0","104,248.0","107,328.0","110,996.0","114,820.0","118,760.0","124,164.0","130,260.0","137,436.0","141,472.0","152,180.0","158,628.0","173,788.0","170,544.0","178,632.0","185,824.0","184,984.0","188,860.0","189,680.0","200,592.0","201,708.0","203,584.0","203,916.0","203,656.0","215,672.0","220,360.0","220,696.0","220,712.0","208,776.0","218,248.0","232,192.0","224,832.0","221,748.0","226,044.0","223,720.0","228,036.0","232,432.0","232,144.0","235,316.0","233,928.0","241,728.0","247,840.0","246,376.0","255,028.0","260,152.0","260,084.0","269,400.0","277,172.0","279,080.0","290,440.0","308,048.0","295,784.0","326,008.0","325,959.0","326,034.0","334,752.0","345,396.0","346,958.0","348,372.0","361,917.0","357,018.0","376,086.0","387,154.0","385,821.0","391,016.0","399,082.0","410,040.0","409,360.0","407,996.0","394,110.0","399,269.0","414,410.0","407,902.0","439,926.0","422,395.0","429,355.0","441,410.0","445,741.0","454,549.0","459,582.0","461,725.0","479,068.0","491,339.0","502,309.0","497,800.0","508,049.0","512,545.0","533,327.0","541,383.0","544,792.0","533,865.0","520,474.0","522,340.0","524,070.0","544,104.0","543,676.0","550,512.0","552,091.0","561,853.0","574,517.0","573,285.0","592,467.0","607,764.0","627,716.0","632,272.0","649,240.0"
