"","Table 3#18A# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"44","23","    Contributions accrued (employer)","L318241",".....",".....","-1,291.0","-1,288.0","-1,299.0","-1,280.0","-1,366.0","-1,303.0","-1,314.0","-1,333.0","-1,338.0","-1,355.0","-1,372.0","-1,437.0","-1,413.0","-1,414.0","-1,415.0","-1,450.0","-1,458.0","-1,463.0","-1,486.0","-1,472.0","-1,561.0","-1,515.0","-1,546.0","-1,571.0","-1,683.0","-1,656.0","-1,726.0","-1,788.0","-1,910.0","-1,885.0","-1,892.0","-1,957.0","-2,011.0","-2,141.0"
"45","24","    Benefits paid","L318251",".....",".....","393.0","408.0","409.0","422.0","434.0","448.0","451.0","462.0","482.0","499.0","503.0","515.0","538.0","549.0","555.0","597.0","609.0","643.0","657.0","674.0","695.0","711.0","724.0","746.0","770.0","811.0","868.0","892.0","924.0","945.0","985.0","1,011.0","1,033.0","1,062.0"
"46","25","    Administrative expenses","L318261",".....",".....","1.0","1.0","1.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"47","26","  District of Columbia","L318271",".....",".....","62.0","62.0","64.0","67.0","65.0","75.0","72.0","74.0","76.0","75.0","84.0","82.0","70.0","89.0","69.0","86.0","75.0","88.0","79.0","93.0","85.0","96.0","85.0","97.0","92.0","99.0","102.0","112.0","94.0","112.0","108.0","127.0","109.0","126.0"
"48","27","  Federal Home Loan banks and Federal land banks","L318281",".....",".....","532.0","314.0","-561.0","145.0","-115.0","104.0","-662.0","417.0","422.0","430.0","-442.0","651.0","460.0","306.0","-1,080.0","841.0","1,059.0","640.0","-463.0","542.0","337.0","299.0","-349.0","952.0","487.0","175.0","-12.0","1,174.0","824.0","-600.0","-2,041.0","-1,151.0","579.0","310.0"
"49","28","  Net investment \7\","L318291",".....",".....","2,014.0","1,714.0","1,653.0","1,581.0","1,807.0","1,713.0","2,110.0","2,063.0","2,193.0","2,270.0","2,307.0","2,287.0","2,453.0","2,307.0","1,963.0","2,044.0","2,380.0","1,967.0","2,013.0","2,003.0","2,013.0","1,912.0","1,664.0","1,602.0","1,775.0","1,687.0","2,116.0","1,971.0","2,488.0","2,495.0","2,515.0","2,189.0","2,541.0","2,276.0"
"50","29","  Capital transfers paid \8\","L318301",".....",".....","995.0","908.0","476.0","566.0","796.0","778.0","539.0","598.0","850.0","867.0","556.0","686.0","867.0","958.0","600.0","723.0","1,095.0","1,168.0","679.0","824.0","1,305.0","1,256.0","778.0","842.0","1,173.0","1,243.0","840.0","909.0","1,319.0","1,319.0","832.0","711.0","1,295.0","1,422.0"
"51","30","  Financial transactions","L318311",".....",".....","147.0","729.0","984.0","606.0","864.0","575.0","835.0","910.0","2,091.0","920.0","1,258.0","540.0","658.0","755.0","977.0","384.0","248.0","1,506.0","1,241.0","727.0","296.0","1,057.0","614.0","1,906.0","-416.0","2,010.0","2,193.0","195.0","1,434.0","1,741.0","-392.0","-727.0","2,109.0","1,347.0"
"52","31","    Loan disbursements less loan repayments and sales \9\","L318321",".....",".....","-105.0","524.0","705.0","265.0","623.0","251.0","472.0","536.0","1,895.0","668.0","971.0","179.0","380.0","583.0","679.0","-42.0","4.0","1,208.0","1,263.0","361.0","129.0","811.0","449.0","1,617.0","-273.0","1,707.0","1,985.0","56.0","1,603.0","1,651.0","-436.0","-751.0","1,698.0","1,226.0"
"53","32","    Net purchases of foreign currency","L318331",".....",".....","252.0","205.0","279.0","341.0","241.0","324.0","363.0","374.0","196.0","252.0","287.0","361.0","278.0","172.0","298.0","426.0","244.0","298.0","-22.0","366.0","167.0","246.0","165.0","289.0","-143.0","303.0","208.0","139.0","-169.0","90.0","44.0","24.0","411.0","121.0"
"54","33","  Other \10\","L318341",".....",".....","-495.0","-395.0","-78.0","-94.0","-245.0","-344.0","-227.0","-186.0","-217.0","-415.0","-381.0","-677.0","-308.0","-570.0","-181.0","-243.0","-518.0","-395.0","-418.0","-445.0","-484.0","-348.0","-536.0","220.0","-265.0","-635.0","-701.0","-419.0","-456.0","-498.0","-550.0","-67.0","-675.0","-67.0"
"55","34","Less: Netting and grossing differences","L318351",".....",".....","167.0","231.0","-48.0","42.0","-69.0","-108.0","-92.0","22.0","-67.0","-173.0","-119.0","-79.0","-47.0","72.0","-44.0","19.0","-58.0","-24.0","-28.0","-198.0","-159.0","-103.0","-267.0","-252.0","-122.0","-86.0","-13.0","75.0","92.0","-109.0","-277.0","-169.0","-341.0","-412.0"
"56","35","  Current surplus of government enterprises \4\","W702LC1",".....",".....","189.0","67.0","198.0","114.0","240.0","144.0","238.0","242.0","274.0","139.0","207.0","230.0","269.0","195.0","180.0","201.0","221.0","112.0","159.0","187.0","254.0","162.0","167.0","239.0","276.0","193.0","290.0","256.0","408.0","241.0","311.0","322.0","379.0","269.0"
"57","36","  Interest receipts \5\","W703LC1",".....",".....","0.0","0.0","-282.0","-311.0","-347.0","-393.0","-304.0","-346.0","-341.0","-428.0","-342.0","-427.0","-380.0","-457.0","-378.0","-430.0","-410.0","-483.0","-406.0","-448.0","-451.0","-442.0","-442.0","-490.0","-440.0","-461.0","-416.0","-499.0","-458.0","-578.0","-468.0","-565.0","-550.0","-671.0"
"58","37","  Other \6\","L318371",".....",".....","-22.0","164.0","36.0","239.0","38.0","141.0","-26.0","126.0","0.0","116.0","16.0","118.0","64.0","334.0","154.0","248.0","131.0","347.0","219.0","63.0","38.0","177.0","8.0","-1.0","42.0","182.0","113.0","318.0","142.0","228.0","-120.0","74.0","-170.0","-10.0"
"59","38","Plus: Timing differences","L318381",".....",".....","-310.0","504.0","559.0","-121.0","-21.0","198.0","815.0","-398.0","468.0","231.0","1,032.0","431.0","-45.0","-270.0","862.0","17.0","-226.0","240.0","403.0","629.0","-152.0","16.0","176.0","789.0","-647.0","284.0","34.0","103.0","-562.0","-188.0","62.0","110.0","-528.0","417.0"
"60","39","  Purchases (increase in payables net of advances) \11\","L318391",".....",".....","0.0","343.0","-75.0","23.0","167.0","129.0","147.0","-108.0","184.0","228.0","36.0","-77.0","14.0","173.0","-188.0","-498.0","113.0","185.0","-212.0","-1,323.0","880.0","398.0","-179.0","-179.0","-66.0","274.0","-391.0","-127.0","-278.0","155.0","-939.0","298.0","-1,561.0","450.0"
"61","40","  Interest payments","L318401",".....",".....","406.0","219.0","67.0","-205.0","-68.0","244.0","-198.0","257.0","-298.0","666.0","457.0","-149.0","392.0","143.0","254.0","109.0","250.0","308.0","320.0","71.0","294.0","137.0","298.0","112.0","114.0","392.0","203.0","72.0","521.0","308.0","221.0","-345.0","656.0","260.0"
"62","41","  Current transfer payments","L318411",".....",".....","57.0","12.0","34.0","-11.0","34.0","7.0","-22.0","-230.0","156.0","53.0","33.0","40.0","15.0","14.0","47.0","11.0","-10.0","30.0","-14.0","13.0","-3.0","7.0","30.0","9.0","26.0","-3.0","7.0","-2.0","16.0","-11.0","97.0","124.0","102.0","123.0"
"63","42","  Subsidies","L318421",".....",".....","-72.0","50.0","1.0","64.0","-147.0","56.0","39.0","8.0","33.0","24.0","-57.0","285.0","20.0","-80.0","-22.0","224.0","215.0","-316.0","50.0","456.0","-140.0","-110.0","74.0","111.0","73.0","49.0","-79.0","137.0","311.0","-309.0","-151.0","47.0","280.0","36.0"
"64","43","  Checks outstanding and certain other accounts","L318431",".....",".....","-701.0","-120.0","532.0","8.0","-7.0","-238.0","849.0","-325.0","393.0","-740.0","563.0","332.0","-486.0","-520.0","771.0","171.0","-794.0","33.0","259.0","1,412.0","-1,183.0","-416.0","-47.0","736.0","-794.0","-428.0","294.0","23.0","-1,132.0","-331.0","834.0","-14.0","-5.0","-452.0"
"65","44","Equals: Federal government current expenditures, NIPAs","L318441",".....",".....","22,833.0","23,117.0","22,303.0","23,348.0","23,428.0","24,290.0","24,013.0","25,584.0","24,279.0","25,908.0","26,199.0","27,408.0","26,891.0","28,031.0","27,701.0","27,979.0","29,147.0","28,629.0","28,737.0","29,917.0","30,231.0","29,295.0","29,320.0","30,998.0","32,761.0","32,817.0","33,142.0","35,490.0","38,252.0","37,459.0","39,807.0","41,041.0","42,417.0","42,479.0"
"66",NA,"      Net federal government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","45","Consolidated cash budget surplus or deficit (-) (1-19)","L318451",".....",".....","-3,011.0","-4,498.0","3,819.0","4,439.0","-804.0","-3,898.0","1,356.0","1,046.0","-3,334.0","-5,884.0","291.0","3,130.0","-2,473.0","-6,617.0","1,658.0","3,420.0","-3,648.0","-6,078.0","1,615.0","3,309.0","-3,878.0","-6,286.0","2,399.0","5,069.0","-3,910.0","-8,101.0","-1,288.0","9,962.0","-6,668.0","-7,737.0","1,389.0","11,470.0","-9,184.0","-10,946.0"
"68","46","Plus: Net investment (28)","L318461",".....",".....","2,014.0","1,714.0","1,653.0","1,581.0","1,807.0","1,713.0","2,110.0","2,063.0","2,193.0","2,270.0","2,307.0","2,287.0","2,453.0","2,307.0","1,963.0","2,044.0","2,380.0","1,967.0","2,013.0","2,003.0","2,013.0","1,912.0","1,664.0","1,602.0","1,775.0","1,687.0","2,116.0","1,971.0","2,488.0","2,495.0","2,515.0","2,189.0","2,541.0","2,276.0"
"69","47","Less: Net capital transfers received (4-29)","L318471",".....",".....","-664.0","-589.0","-67.0","-21.0","-428.0","-341.0","-23.0","-27.0","-402.0","-452.0","-82.0","-9.0","-407.0","-515.0","-53.0","-8.0","-557.0","-727.0","-125.0","34.0","-708.0","-698.0","-83.0","21.0","-544.0","-615.0","-76.0","133.0","-675.0","-723.0","-80.0","270.0","-592.0","-793.0"
"70","48","Less: Federal employee retirement plans (3-21)","L318481",".....",".....","2,381.0","2,442.0","2,477.0","2,483.0","2,615.0","2,552.0","2,575.0","2,654.0","2,660.0","2,691.0","2,724.0","2,834.0","2,814.0","2,850.0","2,857.0","2,920.0","2,940.0","2,968.0","2,984.0","3,031.0","3,124.0","3,114.0","3,129.0","3,223.0","3,312.0","3,354.0","3,327.0","3,486.0","3,619.0","3,613.0","3,572.0","3,766.0","3,818.0","3,956.0"
"71","49","Less: Other coverage differences (5+6+7-26-27-30-33)","L318491",".....",".....","-29.0","-426.0","-267.0","-264.0","-413.0","-191.0","258.0","-491.0","-2,126.0","-873.0","-360.0","-394.0","-317.0","-303.0","260.0","-867.0","-582.0","-1,670.0","-258.0","-727.0","-83.0","-701.0","383.0","-3,003.0","336.0","-1,509.0","-1,349.0","-700.0","-1,659.0","-276.0","3,119.0","2,643.0","-1,843.0","-1,636.0"
"72","50","Less: Timing differences (38-12)","L318501",".....",".....","-1,110.0","-1,314.0","1,971.0","557.0","90.0","-629.0","2,568.0","-251.0","-263.0","-1,973.0","1,475.0","556.0","-89.0","-1,750.0","1,373.0","-249.0","-918.0","-1,862.0","2,230.0","837.0","-765.0","-1,726.0","798.0","1,978.0","-1,159.0","-1,967.0","-95.0","4,582.0","-302.0","-2,610.0","933.0","7,420.0","-1,463.0","-1,349.0"
"73","51","Equals: Net federal government saving, national income and product accounts (18-44)","L318511",".....",".....","-1,575.0","-2,897.0","1,358.0","3,265.0","-861.0","-3,576.0","-1,912.0","1,224.0","-1,010.0","-3,007.0","-1,159.0","2,430.0","-2,021.0","-4,592.0","-816.0","3,668.0","-2,151.0","-2,820.0","-1,203.0","2,137.0","-3,433.0","-4,363.0","-164.0","4,452.0","-4,080.0","-5,677.0","-979.0","4,432.0","-5,163.0","-5,246.0","-3,640.0","-440.0","-6,563.0","-8,848.0"
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","1. In the NIPAs, pension plans are treated as ""pass-through"" institutions that hold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","financial assets on behalf of households, which are the effective owners. Pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","plans are classified as financial corporations that receive contributions and property",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","income on behalf of plan participants but do not have saving or net worth of their own.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
