"","Table 5#8#5B# Private Inventories and Domestic Final Sales by In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"39","19","  Nonfarm industries","A373RC1",".....",".....",".....","1,148,115.0","1,155,482.0","1,167,025.0","1,176,730.0","1,191,013.0","1,203,948.0","1,208,622.0","1,212,752.0","1,221,805.0","1,236,998.0","1,251,534.0","1,276,096.0","1,309,133.0","1,330,776.0","1,355,386.0","1,374,937.0","1,392,688.0","1,386,893.0","1,375,571.0","1,355,074.0","1,321,482.0","1,320,595.0","1,330,857.0","1,346,352.0","1,359,316.0","1,382,142.0","1,375,832.0","1,380,165.0","1,405,598.0","1,437,754.0","1,472,748.0","1,508,334.0","1,540,768.0","1,584,918.0","1,594,004.0","1,631,347.0","1,677,081.0","1,699,259.0","1,743,015.0","1,768,865.0","1,788,162.0","1,816,715.0","1,847,723.0","1,867,660.0","1,930,484.0","1,995,391.0","2,070,850.0","2,044,586.0","1,864,539.0","1,792,969.0","1,757,430.0","1,727,791.0","1,753,765.0","1,792,646.0","1,798,612.0","1,851,644.0","1,920,495.0","1,999,225.0","2,040,641.0","2,041,656.0","2,055,484.0","2,096,294.0","2,085,509.0","2,136,290.0","2,147,045.0","2,163,412.0","2,161,572.0","2,184,940.0","2,211,251.0"
"40","20","  Wholesale trade","N379RC1",".....",".....",".....","285,111.0","289,445.0","294,712.0","297,442.0","302,950.0","306,918.0","306,834.0","309,233.0","312,170.0","316,181.0","318,798.0","326,225.0","334,847.0","342,203.0","348,252.0","351,243.0","357,698.0","353,881.0","350,980.0","343,449.0","335,714.0","334,816.0","337,757.0","344,234.0","343,398.0","345,671.0","342,333.0","345,060.0","355,012.0","364,637.0","372,489.0","383,702.0","393,448.0","409,266.0","414,647.0","425,977.0","437,952.0","447,275.0","463,431.0","471,729.0","480,782.0","492,090.0","498,478.0","509,256.0","532,719.0","555,491.0","582,044.0","580,423.0","534,863.0","509,462.0","494,720.0","480,938.0","491,763.0","498,391.0","501,862.0","525,962.0","554,659.0","576,434.0","596,161.0","596,846.0","606,748.0","617,623.0","613,725.0","634,707.0","635,932.0","638,131.0","635,260.0","639,917.0","653,046.0"
"41","21","    Merchant wholesale trade","N802RC1",".....",".....",".....","242,395.0","246,541.0","251,990.0","254,611.0","259,338.0","263,579.0","264,077.0","266,746.0","269,436.0","273,107.0","274,335.0","280,262.0","287,571.0","293,244.0","297,924.0","299,548.0","305,173.0","302,978.0","301,353.0","296,541.0","291,053.0","290,632.0","292,705.0","298,444.0","297,523.0","299,086.0","297,219.0","299,610.0","308,053.0","316,537.0","322,813.0","331,692.0","340,624.0","351,775.0","355,780.0","363,562.0","372,518.0","379,278.0","392,929.0","400,678.0","407,793.0","416,060.0","420,478.0","428,459.0","445,792.0","458,445.0","475,714.0","476,152.0","443,534.0","424,924.0","412,166.0","399,827.0","409,203.0","413,155.0","416,664.0","437,607.0","460,439.0","475,167.0","489,651.0","488,206.0","495,169.0","504,479.0","503,786.0","519,466.0","522,853.0","526,413.0","523,291.0","527,089.0","540,185.0"
"42","22","      Durable goods industries","N803RC1",".....",".....",".....","152,925.0","155,642.0","160,508.0","161,341.0","163,670.0","167,317.0","167,651.0","170,577.0","171,856.0","174,479.0","176,184.0","178,520.0","183,575.0","185,742.0","190,154.0","190,721.0","192,178.0","189,754.0","184,742.0","180,017.0","175,210.0","173,291.0","173,596.0","175,222.0","173,463.0","175,027.0","174,864.0","174,448.0","178,208.0","185,111.0","191,649.0","200,398.0","206,295.0","212,764.0","215,965.0","218,656.0","225,883.0","231,129.0","241,257.0","247,217.0","250,409.0","255,137.0","255,261.0","255,231.0","259,574.0","267,437.0","275,696.0","280,461.0","267,379.0","250,000.0","236,838.0","229,076.0","226,233.0","230,566.0","232,087.0","238,515.0","246,847.0","253,974.0","263,550.0","269,353.0","273,050.0","279,454.0","283,301.0","288,028.0","293,183.0","297,017.0","295,906.0","301,648.0","306,407.0"
"43","23","      Nondurable goods industries","N804RC1",".....",".....",".....","89,470.0","90,899.0","91,482.0","93,270.0","95,668.0","96,262.0","96,426.0","96,169.0","97,580.0","98,628.0","98,151.0","101,742.0","103,996.0","107,502.0","107,770.0","108,827.0","112,995.0","113,224.0","116,611.0","116,524.0","115,843.0","117,341.0","119,109.0","123,222.0","124,060.0","124,059.0","122,355.0","125,162.0","129,845.0","131,426.0","131,164.0","131,294.0","134,329.0","139,011.0","139,815.0","144,906.0","146,635.0","148,149.0","151,672.0","153,461.0","157,384.0","160,923.0","165,217.0","173,228.0","186,218.0","191,008.0","200,018.0","195,691.0","176,155.0","174,924.0","175,328.0","170,751.0","182,970.0","182,589.0","184,577.0","199,092.0","213,592.0","221,193.0","226,101.0","218,853.0","222,119.0","225,025.0","220,485.0","231,438.0","229,670.0","229,396.0","227,385.0","225,441.0","233,778.0"
"44","24","    Nonmerchant wholesale trade","N805RC1",".....",".....",".....","42,716.0","42,904.0","42,722.0","42,831.0","43,612.0","43,339.0","42,757.0","42,487.0","42,734.0","43,074.0","44,463.0","45,963.0","47,276.0","48,959.0","50,328.0","51,695.0","52,525.0","50,903.0","49,627.0","46,908.0","44,661.0","44,184.0","45,052.0","45,790.0","45,875.0","46,585.0","45,114.0","45,450.0","46,959.0","48,100.0","49,676.0","52,010.0","52,824.0","57,491.0","58,867.0","62,415.0","65,434.0","67,997.0","70,502.0","71,051.0","72,989.0","76,030.0","78,000.0","80,797.0","86,927.0","97,046.0","106,330.0","104,271.0","91,329.0","84,538.0","82,554.0","81,111.0","82,560.0","85,236.0","85,198.0","88,355.0","94,220.0","101,267.0","106,510.0","108,640.0","111,579.0","113,144.0","109,939.0","115,241.0","113,079.0","111,718.0","111,969.0","112,828.0","112,861.0"
"45","25","    Final sales of domestic business \2\","A809RC1",".....",".....",".....","483,597.0","489,939.0","495,951.0","507,241.0","511,297.0","516,008.0","526,422.0","534,320.0","545,400.0","551,027.0","560,369.0","569,188.0","578,461.0","589,590.0","599,266.0","605,338.0","610,760.0","615,749.0","620,375.0","618,277.0","623,839.0","623,153.0","625,912.0","630,107.0","630,897.0","636,548.0","646,355.0","664,774.0","673,233.0","681,639.0","690,305.0","701,229.0","713,579.0","726,059.0","741,264.0","755,427.0","760,685.0","777,617.0","785,851.0","790,872.0","803,493.0","814,353.0","823,987.0","831,466.0","838,268.0","833,296.0","840,339.0","834,870.0","812,426.0","805,607.0","800,430.0","802,362.0","801,176.0","804,249.0","814,830.0","821,112.0","841,121.0","844,919.0","857,279.0","872,055.0","881,751.0","895,049.0","906,776.0","917,684.0","929,941.0","934,843.0","943,696.0","957,284.0","971,541.0"
"46","26","    Final sales of goods and structures of domestic business \2\","A810RC1",".....",".....",".....","291,369.0","295,547.0","298,492.0","306,400.0","307,594.0","309,261.0","315,794.0","321,913.0","330,339.0","333,247.0","339,935.0","344,106.0","348,797.0","354,650.0","360,038.0","362,802.0","364,078.0","365,494.0","369,629.0","367,665.0","371,971.0","368,323.0","366,897.0","368,574.0","366,378.0","369,650.0","375,086.0","389,610.0","394,742.0","396,848.0","402,089.0","408,780.0","415,349.0","422,688.0","432,619.0","441,348.0","440,378.0","453,811.0","456,294.0","457,003.0","463,091.0","466,496.0","471,962.0","473,712.0","475,069.0","467,786.0","470,086.0","465,411.0","446,247.0","443,082.0","439,876.0","440,519.0","435,705.0","434,222.0","439,603.0","441,281.0","455,001.0","454,433.0","461,550.0","471,866.0","478,279.0","485,649.0","492,696.0","501,464.0","509,548.0","510,191.0","515,573.0","526,458.0","535,148.0"
"47",NA,"  Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","27","    Private inventories to final sales","A811RC2",".....",".....",".....","2.66","2.64","2.63","2.59","2.60","2.59","2.54","2.50","2.46","2.47","2.45","2.46","2.48","2.47","2.47","2.47","2.50","2.47","2.43","2.40","2.32","2.32","2.33","2.34","2.37","2.39","2.34","2.30","2.31","2.34","2.37","2.37","2.38","2.40","2.36","2.37","2.42","2.39","2.42","2.45","2.43","2.45","2.46","2.47","2.53","2.63","2.72","2.70","2.52","2.45","2.42","2.37","2.41","2.46","2.43","2.49","2.53","2.64","2.65","2.61","2.60","2.61","2.57","2.59","2.57","2.57","2.55","2.54","2.53"
"49","28","    Nonfarm inventories to final sales","A812RC2",".....",".....",".....","2.37","2.36","2.35","2.32","2.33","2.33","2.30","2.27","2.24","2.24","2.23","2.24","2.26","2.26","2.26","2.27","2.28","2.25","2.22","2.19","2.12","2.12","2.13","2.14","2.15","2.17","2.13","2.08","2.09","2.11","2.13","2.15","2.16","2.18","2.15","2.16","2.20","2.19","2.22","2.24","2.23","2.23","2.24","2.25","2.30","2.39","2.46","2.45","2.30","2.23","2.20","2.15","2.19","2.23","2.21","2.26","2.28","2.37","2.38","2.34","2.33","2.34","2.30","2.33","2.31","2.31","2.29","2.28","2.28"
"50","29","    Nonfarm inventories to final sales of goods and structures","A813RC2",".....",".....",".....","3.94","3.91","3.91","3.84","3.87","3.89","3.83","3.77","3.70","3.71","3.68","3.71","3.75","3.75","3.76","3.79","3.83","3.79","3.72","3.69","3.55","3.59","3.63","3.65","3.71","3.74","3.67","3.54","3.56","3.62","3.66","3.69","3.71","3.75","3.68","3.70","3.81","3.74","3.82","3.87","3.86","3.89","3.91","3.94","4.06","4.27","4.41","4.39","4.18","4.05","4.00","3.92","4.03","4.13","4.09","4.20","4.22","4.40","4.42","4.33","4.30","4.32","4.23","4.26","4.21","4.24","4.19","4.15","4.13"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1. Inventories are as of the end of the quarter.  The quarter-to-quarter change in inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","calculated from current-dollar inventories in this table is not the current-dollar change in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","private inventories component of GDP.  The former is the difference between two inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","stocks, each valued at its respective end-of-quarter prices.  The latter is the change in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","physical volume of inventories valued at average prices of the quarter.  In addition, changes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","calculated from this table are at quarterly rates, whereas, the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","domestic product less gross output of general government, gross value added of nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","institutions, compensation paid to domestic workers, and imputed rental of owner-occupied nonfarm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","housing. It includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
