"","Table 1#1#6D# Real Gross Domestic Product, Chained (1992) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"34","16","  Exports","A020DX1","302,600.0","294,797.0","318,855.0","329,517.0","354,854.0","393,523.0","457,315.0","510,217.0","555,231.0","592,014.0","633,025.0","653,726.0","711,469.0","784,557.0","848,753.0","949,892.0","972,097.0","1,016,864.0","1,101,991.0","1,039,711.0","1,020,337.0"
"35","17","    Goods","A253DX1","213,031.0","206,903.0","223,260.0","231,493.0","243,384.0","270,365.0","321,310.0","359,598.0","389,858.0","416,762.0","447,950.0","462,546.0","507,541.0","566,933.0","616,935.0","705,632.0","721,374.0","763,931.0","841,348.0","789,557.0","762,117.0"
"36","18","    Services","A646DX1","89,509.0","88,021.0","95,872.0","98,139.0","112,365.0","124,103.0","136,127.0","150,579.0","165,488.0","175,305.0","185,075.0","191,176.0","204,025.0","217,898.0","232,245.0","245,988.0","252,408.0","255,940.0","265,874.0","254,427.0","260,336.0"
"37","19","  Imports","A021DX1","324,360.0","365,281.0","454,199.0","483,675.0","525,007.0","556,073.0","577,925.0","603,376.0","624,966.0","624,038.0","667,791.0","725,535.0","812,087.0","877,062.0","953,342.0","1,081,742.0","1,208,174.0","1,345,395.0","1,517,128.0","1,473,552.0","1,523,954.0"
"38","20","    Goods","A255DX1","256,690.0","291,556.0","362,093.0","384,746.0","424,183.0","443,848.0","461,824.0","481,712.0","495,738.0","497,982.0","544,927.0","599,459.0","679,509.0","740,721.0","810,153.0","926,909.0","1,036,729.0","1,168,490.0","1,321,435.0","1,278,647.0","1,326,401.0"
"39","21","    Services","B656DX1","68,259.0","73,771.0","92,268.0","99,287.0","100,406.0","112,239.0","116,053.0","121,678.0","129,630.0","126,264.0","122,864.0","126,145.0","132,867.0","136,872.0","144,030.0","156,550.0","173,573.0","181,708.0","201,746.0","200,009.0","203,592.0"
"40","22","Government consumption expenditures and gross investment","A822DX1","986,112.0","1,023,909.0","1,060,583.0","1,132,411.0","1,194,055.0","1,229,300.0","1,245,855.0","1,281,718.0","1,322,880.0","1,338,704.0","1,345,371.0","1,334,203.0","1,335,531.0","1,342,641.0","1,355,524.0","1,381,018.0","1,409,846.0","1,458,140.0","1,485,798.0","1,541,828.0","1,609,246.0"
"41","23","  Federal","A823DX1","445,188.0","474,187.0","489,956.0","528,803.0","559,930.0","581,014.0","573,406.0","582,895.0","595,341.0","595,235.0","586,605.0","566,141.0","546,097.0","531,738.0","525,472.0","521,257.0","516,802.0","527,055.0","528,589.0","549,352.0","588,784.0"
"42","24","    National defense","A824DX1","310,753.0","333,311.0","350,795.0","381,635.0","408,098.0","428,793.0","427,723.0","426,679.0","427,775.0","423,567.0","404,718.0","384,276.0","365,616.0","351,052.0","345,604.0","336,214.0","329,174.0","334,264.0","331,228.0","342,700.0","366,825.0"
"43","25","    Nondefense","A825DX1","134,939.0","141,344.0","139,423.0","147,363.0","151,969.0","152,312.0","145,753.0","156,291.0","167,649.0","171,736.0","181,887.0","181,802.0","180,307.0","180,378.0","179,524.0","184,488.0","186,934.0","192,033.0","196,462.0","205,665.0","220,886.0"
"44","26","  State and local","A829DX1","542,623.0","549,700.0","570,774.0","603,026.0","633,253.0","647,058.0","671,967.0","698,585.0","727,402.0","743,404.0","758,766.0","768,032.0","789,324.0","810,765.0","829,886.0","859,468.0","892,498.0","930,319.0","956,080.0","991,350.0","1,020,179.0"
"45","27","Residual","A960DX1","-16,000.0","-24,400.0","-7,100.0","-9,900.0","-11,000.0","-12,400.0","-3,800.0","1,600.0","800.0","200.0","-100.0","700.0","-1,600.0","-2,000.0","-3,800.0","-14,400.0","-15,000.0","-24,100.0","-29,000.0","-2,700.0","5,300.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note. Chained (1992) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","index rebased with the reference year 1992 equal to 100 and of the 1992 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
