"","Table 7#7# Business Current Transfer Payments by Type           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","4","    Automobile insurance","B1871C1","1,504.0","1,695.0","1,805.0","1,944.0","2,058.0","2,110.0","2,483.0","2,797.0","3,119.0","3,508.0","3,989.0","4,403.0","5,098.0","5,624.0","5,861.0","7,211.0","8,291.0","9,903.0","10,217.0","10,345.0","11,011.0","11,104.0","10,392.0","10,125.0","9,737.0","10,119.0","11,146.0","11,585.0","12,247.0","12,752.0","12,825.0","13,778.0","15,281.0","14,609.0","14,030.0","14,075.0","14,184.0","14,000.0","13,683.0","13,448.0","12,471.0","11,546.0","12,519.0","13,574.0"
"23","5","    Medical liability insurance","B1872C1","50.0","100.0","150.0","200.0","300.0","400.0","508.0","845.0","564.0","671.0","740.0","923.0","1,141.0","1,398.0","1,486.0","1,914.0","2,779.0","3,116.0","3,094.0","2,881.0","1,807.0","2,081.0","2,106.0","3,017.0","2,524.0","2,302.0","2,266.0","2,609.0","2,618.0","2,972.0","3,569.0","4,084.0","5,608.0","5,890.0","6,641.0","5,182.0","4,857.0","4,228.0","3,534.0","3,016.0","3,149.0","2,747.0","2,966.0","3,202.0"
"24","6","    Net insurance settlements","W238RC1","548.0","141.0","-326.0","-261.0","169.0","757.0","2,348.0","1,226.0","-766.0","-362.0","370.0","-192.0","933.0","562.0","963.0","4,593.0","4,427.0","2,287.0","-587.0","-206.0","2,035.0","887.0","-3,212.0","-6,240.0","-8,087.0","-10,492.0","-7,086.0","-3,504.0","-8,417.0","-2,784.0","2,652.0","9,397.0","9,619.0","-1,526.0","-10,497.0","-20,049.0","-16,548.0","-18,467.0","-8,039.0","178.0","2,194.0","3,606.0","7,479.0","481.0"
"25","7","  Donations by corporate business to nonprofit institutions serving households","B1873C1","1,055.0","797.0","865.0","1,009.0","1,174.0","1,200.0","1,202.0","1,477.0","1,790.0","2,084.0","2,288.0","2,359.0","2,514.0","2,906.0","3,627.0","4,059.0","4,472.0","5,179.0","4,980.0","4,893.0","4,893.0","4,752.0","4,763.0","5,521.0","6,305.0","7,103.0","7,426.0","7,822.0","8,375.0","8,669.0","10,730.0","10,663.0","11,417.0","10,332.0","10,821.0","11,597.0","16,594.0","14,786.0","14,248.0","12,448.0","13,067.0","16,324.0","14,632.0","15,210.0"
"26","8","  Defined benefit pension plans (net)","Y660RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"27","9","    Benefit payments and withdrawals","Y620RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","107,889.0","121,543.0","139,200.0","142,857.0","143,256.0","154,953.0","161,325.0","173,750.0","186,113.0","195,715.0","206,864.0","218,757.0","238,056.0","248,835.0","270,897.0","288,248.0","308,303.0","323,730.0","343,725.0","356,082.0","374,605.0","384,646.0","414,988.0","441,046.0","465,757.0","487,688.0","506,396.0","527,029.0","553,424.0"
"28","10","    Net change in benefit entitlements \1\","Y632RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","134,440.0","131,241.0","130,308.0","139,821.0","152,668.0","170,142.0","181,595.0","181,951.0","199,444.0","190,959.0","194,736.0","197,739.0","181,373.0","184,378.0","165,645.0","154,483.0","139,517.0","153,318.0","169,457.0","191,201.0","201,166.0","200,533.0","186,805.0","187,098.0","211,914.0","231,420.0","233,035.0","207,594.0","198,219.0"
"29","11","    Less: Total contributions and contribution supplements \2\","Y602RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","242,329.0","252,784.0","269,508.0","282,678.0","295,924.0","325,095.0","342,920.0","355,701.0","385,557.0","386,674.0","401,600.0","416,496.0","419,429.0","433,213.0","436,542.0","442,731.0","447,820.0","477,048.0","513,182.0","547,283.0","575,771.0","585,179.0","601,793.0","628,144.0","677,671.0","719,108.0","739,431.0","734,623.0","751,643.0"
"30","12","  Other \3\","B1874C1","174.0","193.0","202.0","220.0","239.0","271.0","303.0","349.0","383.0","562.0","838.0","1,137.0","1,489.0","1,896.0","1,859.0","1,950.0","2,291.0","2,463.0","2,524.0","2,683.0","3,425.0","3,369.0","3,587.0","3,864.0","3,575.0","4,223.0","4,976.0","4,366.0","4,623.0","4,386.0","4,196.0","4,512.0","4,843.0","4,890.0","5,265.0","5,967.0","6,625.0","6,928.0","7,181.0","7,533.0","7,813.0","8,727.0","9,060.0","8,960.0"
"31","13","Payments to government (net) \4\","W061RC1","1,467.0","1,431.0","1,461.0","1,667.0","1,800.0","2,050.0","2,192.0","2,442.0","2,991.0","3,911.0","4,527.0","5,367.0","5,738.0","6,930.0","7,885.0","9,431.0","11,800.0","13,013.0","13,066.0","12,159.0","15,095.0","16,986.0","21,253.0","23,553.0","25,639.0","27,903.0","24,857.0","30,726.0","29,831.0","34,300.0","36,451.0","41,919.0","43,882.0","46,228.0","48,306.0","52,369.0","53,397.0","58,289.0","61,982.0","72,634.0","90,740.0","87,193.0","90,113.0","70,583.0"
"32","14","Payments to the rest of the world (net) \5\","W237RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-121.0","-304.0","-444.0","1,380.0","-955.0","784.0","3,784.0","-2,610.0","962.0","8,495.0","240.0","1,693.0","12,210.0","14,799.0","2,826.0","5,972.0","7,178.0","-2,273.0","-1,679.0","-7,181.0","-5,071.0"
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Equals total household contributions and contribution supplements less benefit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","payments and withdrawals; that is, net business current transfer payments for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","defined benefit pension plans always equal zero.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Equals actual employer contributions plus imputed employer contributions plus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","household actual contributions less pension service charges plus household pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","contribution supplements; see table 7.20.  All contributions to defined benefit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","plans are considered to be from households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3. Consists largely of losses by business due to fraud and unrecovered thefts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","corporate cash prizes, and payments from personal injury trust funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4. For detail, see table 3.7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","5. Consists of net insurance settlements paid to the rest of the world less net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","insurance settlements received from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
