"","Table 7#23# Transactions of State and Local Government Defined B","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"36","18","    Interest","Y320RC1",93,105,112,118,121,117,119,129,147,163,177,193,209,224,"243.0","255.0","272.0","292.0","337.0","394.0","459.0","523.0","592.0","650.0","706.0","776.0","857.0","958.0","1,087.0","1,227.0","1,453.0","1,610.0","1,825.0","1,975.0","2,159.0","2,409.0","2,602.0","2,990.0","3,364.0","3,727.0","4,097.0"
"37","19","    Dividends","B1452C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","97.0","151.0"
"38","20","  Benefit payments and withdrawals","S121001",72,78,86,95,110,119,127,137,144,151,157,163,175,194,"210.0","218.0","235.0","255.0","275.0","300.0","325.0","385.0","475.0","545.0","620.0","690.0","760.0","872.0","995.0","1,105.0","1,219.0","1,372.0","1,510.0","1,631.0","1,779.0","2,000.0","2,137.0","2,497.0","2,877.0","3,031.0","3,516.0"
"39","21","  Net change in benefit entitlements \4\","Y309RC1",257,282,292,278,249,240,285,328,382,454,476,510,538,564,"611.0","668.0","744.0","879.0","1,097.0","1,338.0","1,552.0","1,700.0","1,877.0","2,105.0","2,274.0","2,490.0","2,695.0","2,963.0","3,272.0","3,653.0","3,814.0","4,237.0","4,758.0","4,702.0","5,115.0","5,601.0","6,188.0","6,865.0","7,399.0","8,890.0","10,068.0"
"40","22","Cash flow","Y323RC1",62,69,73,81,86,93,103,107,124,137,150,160,168,177,"191.0","208.0","224.0","265.0","330.0","432.0","535.0","649.0","795.0","915.0","991.0","1,175.0","1,253.0","1,388.0","1,553.0","1,715.0","2,000.0","2,271.0","2,444.0","2,575.0","2,791.0","3,154.0","3,352.0","3,868.0","4,675.0","5,120.0","5,682.0"
"41","23","  Actual employer and household contributions (5+7)","Y324RC1",119,129,139,153,170,183,197,207,227,243,257,267,280,305,"330.0","351.0","380.0","440.0","520.0","640.0","750.0","905.0","1,115.0","1,275.0","1,415.0","1,630.0","1,740.0","1,945.0","2,185.0","2,395.0","2,677.0","2,981.0","3,190.0","3,317.0","3,596.0","4,015.0","4,262.0","4,891.0","5,788.0","6,283.0","7,244.0"
"42","24","  Monetary income receipts on assets (12+14)","Y325RC1",16,19,21,24,28,31,35,39,43,48,53,59,66,69,"74.0","78.0","82.0","83.0","88.0","97.0","117.0","137.0","163.0","192.0","204.0","243.0","280.0","323.0","374.0","450.0","575.0","682.0","796.0","904.0","1,014.0","1,182.0","1,276.0","1,530.0","1,828.0","1,969.0","2,070.0"
"43","25","  Less: Benefit payments and withdrawals","S121001",72,78,86,95,110,119,127,137,144,151,157,163,175,194,"210.0","218.0","235.0","255.0","275.0","300.0","325.0","385.0","475.0","545.0","620.0","690.0","760.0","872.0","995.0","1,105.0","1,219.0","1,372.0","1,510.0","1,631.0","1,779.0","2,000.0","2,137.0","2,497.0","2,877.0","3,031.0","3,516.0"
"44","26","  Less: Administrative expenses","Y327RC1",1,1,1,1,2,2,2,2,2,3,3,3,3,3,"3.0","3.0","3.0","3.0","3.0","5.0","7.0","8.0","8.0","7.0","8.0","8.0","7.0","8.0","11.0","25.0","33.0","20.0","32.0","15.0","40.0","43.0","49.0","56.0","64.0","101.0","116.0"
"45",NA,"Effect of participation in defined benefit plans on personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","27","Effect on personal income (1-7-9 or 15-7-9)","Y328RC1",283,310,324,317,298,296,344,391,442,512,531,564,601,641,"696.0","750.0","827.0","947.0","1,145.0","1,363.0","1,554.0","1,698.0","1,870.0","2,097.0","2,277.0","2,498.0","2,707.0","3,008.0","3,363.0","3,758.0","3,952.0","4,428.0","5,020.0","5,007.0","5,533.0","6,053.0","6,645.0","7,516.0","8,136.0","9,589.0","10,982.0"
"47","28","Less: Effect on personal consumption expenditures (2)","Y327RC1",1,1,1,1,2,2,2,2,2,3,3,3,3,3,"3.0","3.0","3.0","3.0","3.0","5.0","7.0","8.0","8.0","7.0","8.0","8.0","7.0","8.0","11.0","25.0","33.0","20.0","32.0","15.0","40.0","43.0","49.0","56.0","64.0","101.0","116.0"
"48","29","Equals: Effect on personal saving","Y330RC1",282,309,323,316,296,294,342,389,440,509,528,561,598,638,"693.0","747.0","824.0","944.0","1,142.0","1,358.0","1,547.0","1,690.0","1,862.0","2,090.0","2,269.0","2,490.0","2,700.0","3,000.0","3,352.0","3,733.0","3,919.0","4,408.0","4,988.0","4,992.0","5,493.0","6,010.0","6,596.0","7,460.0","8,072.0","9,488.0","10,866.0"
"49","30","Plus: Implied funding of benefits from holding gains on assets","Y331RC1",8,8,8,9,8,12,3,2,3,-5,-7,-9,-11,-10,"-11.0","-9.0","-5.0","4.0","9.0","13.0","8.0","6.0","1.0","-2.0","18.0","22.0","31.0","31.0","21.0","0.0","12.0","-22.0","-54.0","158.0","155.0","121.0","183.0","90.0","178.0","288.0","476.0"
"50","31","  Interest accrued on benefit entitlements","Y332RC1",101,113,120,127,129,129,122,131,150,158,170,184,198,214,"232.0","246.0","267.0","296.0","346.0","407.0","467.0","529.0","593.0","648.0","724.0","798.0","888.0","989.0","1,108.0","1,227.0","1,465.0","1,588.0","1,771.0","2,133.0","2,314.0","2,530.0","2,785.0","3,080.0","3,542.0","4,112.0","4,724.0"
"51","32","  Less: Interest and dividend income received by plans (10)","Y312RC1",93,105,112,118,121,117,119,129,147,163,177,193,209,224,"243.0","255.0","272.0","292.0","337.0","394.0","459.0","523.0","592.0","650.0","706.0","776.0","857.0","958.0","1,087.0","1,227.0","1,453.0","1,610.0","1,825.0","1,975.0","2,159.0","2,409.0","2,602.0","2,990.0","3,364.0","3,824.0","4,248.0"
"52","33","Equals: Change in personal wealth \5\","Y334RC1",290,317,331,325,304,306,345,391,443,504,521,552,587,628,"682.0","738.0","819.0","948.0","1,151.0","1,371.0","1,555.0","1,696.0","1,863.0","2,088.0","2,287.0","2,512.0","2,731.0","3,031.0","3,373.0","3,733.0","3,931.0","4,386.0","4,934.0","5,150.0","5,648.0","6,131.0","6,779.0","7,550.0","8,250.0","9,776.0","11,342.0"
"53","34","Less: Benefit payments and withdrawals (20)","S121001",72,78,86,95,110,119,127,137,144,151,157,163,175,194,"210.0","218.0","235.0","255.0","275.0","300.0","325.0","385.0","475.0","545.0","620.0","690.0","760.0","872.0","995.0","1,105.0","1,219.0","1,372.0","1,510.0","1,631.0","1,779.0","2,000.0","2,137.0","2,497.0","2,877.0","3,031.0","3,516.0"
"54","35","Plus: Household actual contributions (7)","S251201",47,51,55,57,63,65,70,76,86,96,105,112,115,120,"128.0","139.0","155.0","190.0","230.0","280.0","330.0","395.0","490.0","560.0","625.0","690.0","755.0","835.0","915.0","1,025.0","1,114.0","1,201.0","1,280.0","1,341.0","1,401.0","1,591.0","1,729.0","1,902.0","2,204.0","2,433.0","2,718.0"
"55","36","Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets \5\","Y337RC1",265,290,300,287,257,252,288,330,385,449,469,501,527,554,"600.0","659.0","739.0","883.0","1,106.0","1,351.0","1,560.0","1,706.0","1,878.0","2,103.0","2,292.0","2,512.0","2,726.0","2,994.0","3,293.0","3,653.0","3,826.0","4,215.0","4,704.0","4,860.0","5,270.0","5,722.0","6,371.0","6,955.0","7,577.0","9,178.0","10,544.0"
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Included in personal consumption expenditures as part of financial services furnished without",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","payment; the value is equal to administrative expenses (line 16).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Imputed income payments received by persons from the pension plans (line 17) are reinvested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","as household pension contribution supplements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","3. Plans' claims on employers is the difference between actuarial liabilities and financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","assets held by plans.  When actuarial liabilities exceed plan assets, imputed interest is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","positive; when plan assets exceed actuarial liabilities, imputed interest is negative.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Excludes implied funding of benefits from holding gains on assets and excludes effects on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","change in the estimated value of benefit entitlements that come from differences between actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","experience and previous actuarial assumptions, changes in actuarial assumptions, and changes in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","5. Excludes effects on change in the estimated value of benefit entitlements that come from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","differences between actual experience and previous actuarial assumptions, changes in actuarial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","assumptions, and changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Note. In the NIPAs, pension plans are treated as ""pass-through"" institutions that hold financial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","assets on behalf of households, which are the effective owners.  Pension plans are classified as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","financial corporations that receive contributions and property income on behalf of plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","participants but do not have saving or net worth of their own.  Tables 7.20, 7.21, 7.22, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","7.23 show the transactions of the private and government defined-benefit pension subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
