"","Table 7#15# Relation of Net Farm Income in the National Income a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","3","  Farm housing expenses excluding depreciation","B1007C1","1,095.0","1,178.0","1,245.0","1,227.0","1,286.0","1,355.0","1,438.0","1,546.0","1,689.0","1,761.0","1,837.0","1,933.0","2,033.0","1,997.0","2,185.0","2,344.0","2,468.0","2,524.0","2,439.0","2,580.0","2,674.0","2,749.0","2,807.0","2,883.0","3,176.0","3,659.0","3,930.0","4,123.0","4,161.0","4,408.0","4,806.0","5,720.0","6,086.0","6,395.0","6,813.0","7,306.0","7,724.0","7,970.0","9,715.0","9,864.0","10,071.0","10,295.0","10,810.0","12,070.0"
"23","4","  Monetary interest received by farm corporations","B1450C1","47.0","57.0","53.0","60.0","113.0","139.0","155.0","143.0","163.0","219.0","321.0","420.0","639.0","651.0","466.0","502.0","359.0","373.0","477.0","462.0","564.0","602.0","600.0","527.0","526.0","631.0","686.0","834.0","715.0","782.0","803.0","853.0","447.0","331.0","356.0","334.0","340.0","425.0","518.0","372.0","288.0","250.0","214.0","183.0"
"24","5","  Valuation adjustment, Commodity Credit Corporation loans","B2637C1","-61.0","-42.0","-43.0","-86.0","-854.0","-785.0","-43.0","50.0","-105.0","-337.0","-447.0","-259.0","-777.0","-1,229.0","-2,220.0","203.0","-1,149.0","-855.0","-37.0","-1,476.0","-188.0","-123.0","-89.0","-413.0","-69.0","-389.0","-865.0","-649.0","325.0","-15.0","-122.0","417.0","18.0","-12.0","1,651.0","-899.0","-98.0","3,694.0","-332.0","-2,889.0","-612.0","1,406.0","-1,315.0","-445.0"
"25","6","  Change in farm materials and supplies inventories","W250RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-168.0","1,285.0","-287.0","1,229.0","-1,869.0","897.0","427.0","459.0","-1,145.0","618.0","-574.0","1,232.0","-232.0","-213.0","329.0","-295.0","-249.0","-512.0","89.0","-527.0","-480.0","-480.0"
"26",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","7","  Consumption of fixed capital, NIPAs","B366RC1","4,766.0","5,060.0","5,439.0","5,848.0","6,353.0","7,487.0","8,948.0","9,989.0","11,195.0","12,519.0","14,278.0","16,363.0","18,015.0","19,085.0","18,944.0","18,632.0","18,157.0","17,851.0","17,435.0","17,291.0","17,588.0","17,949.0","18,256.0","18,255.0","18,288.0","18,770.0","19,572.0","20,288.0","21,107.0","22,050.0","22,629.0","22,823.0","23,165.0","23,559.0","24,339.0","25,805.0","27,843.0","29,541.0","30,968.0","32,859.0","34,178.0","35,030.0","37,131.0","38,923.0"
"28","8","  Gross rental value of farm housing, USDA","B2638C1","3,046.0","3,268.0","3,475.0","3,713.0","4,147.0","4,942.0","5,355.0","6,115.0","7,250.0","8,057.0","9,256.0","11,045.0","12,597.0","13,121.0","12,593.0","4,881.0","4,689.0","4,579.0","5,041.0","7,695.0","7,182.0","7,181.0","7,156.0","7,207.0","8,067.0","9,021.0","9,404.0","9,759.0","9,636.0","10,023.0","10,591.0","12,746.0","13,142.0","13,640.0","14,286.0","16,793.0","18,829.0","19,539.0","20,567.0","20,526.0","20,713.0","21,225.0","22,444.0","23,293.0"
"29","9","  Patronage dividends received from cooperatives","B2639C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","117.0","134.0","162.0","184.0","207.0","250.0","260.0","313.0","371.0","336.0","336.0","341.0","388.0","442.0","415.0","399.0","456.0","417.0","519.0","648.0","750.0","647.0","624.0","577.0","555.0","198.0","218.0","245.0","272.0","298.0","728.0","379.0","377.0","368.0","681.0","649.0"
"30","10","  Other \1\","B1451C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","740.0","818.0","804.0","1,020.0","1,701.0","1,803.0","1,671.0","1,938.0","2,555.0","2,036.0","1,347.0","1,847.0","2,030.0","1,033.0","1,766.0","1,832.0","1,779.0","1,976.0","1,553.0","696.0","801.0","444.0","593.0","717.0","2,078.0","2,078.0"
"31","11","  Statistical differences \2\","W713RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-1,493.0","1,119.0","403.0","-3,289.0","411.0","3,169.0","-1,188.0","-3,065.0","-5,029.0","-10,978.0"
"32","12","Equals: Farm proprietors' income and corporate profits with inventory valuation and capital consumption adjustments","A1024C1","13,567.0","13,559.0","14,166.0","18,371.0","32,461.0","25,143.0","24,157.0","18,568.0","17,429.0","22,529.0","25,534.0","11,896.0","21,526.0","14,046.0","3,672.0","23,322.0","23,716.0","25,873.0","33,118.0","30,896.0","39,818.0","39,112.0","32,105.0","43,117.0","37,815.0","43,981.0","26,449.0","48,392.0","41,227.0","35,542.0","33,820.0","38,962.0","40,367.0","26,493.0","49,617.0","68,489.0","60,381.0","45,896.0","50,360.0","59,647.0","42,392.0","62,506.0","98,421.0","101,470.0"
"33","13","  Proprietors' income","B042RC1","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,981.0","22,795.0","28,894.0","26,790.0","33,025.0","32,156.0","26,783.0","34,758.0","31,356.0","34,651.0","22,007.0","37,319.0","32,370.0","28,449.0","28,107.0","31,476.0","32,066.0","19,929.0","38,047.0","50,439.0","46,367.0","35,975.0","38,103.0","46,991.0","35,462.0","45,998.0","72,553.0","75,361.0"
"34","14","  Corporate profits","B1023C1","733.0","665.0","780.0","1,348.0","3,387.0","1,675.0","2,158.0","1,359.0","1,465.0","2,607.0","3,384.0","189.0","2,498.0","733.0","-2,502.0","2,383.0","2,735.0","3,078.0","4,224.0","4,107.0","6,793.0","6,956.0","5,323.0","8,359.0","6,459.0","9,330.0","4,442.0","11,072.0","8,857.0","7,093.0","5,713.0","7,486.0","8,300.0","6,564.0","11,571.0","18,050.0","14,015.0","9,921.0","12,257.0","12,656.0","6,930.0","16,508.0","25,868.0","26,109.0"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Consists largely of salaries paid to certain farm operators.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Statistical differences result from updates to the USDA farm income estimates that have not yet been incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","into the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","USDA U.S. Department of Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
