"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"29","10","    Other","B689RC1","8,780.0","10,868.0","10,764.0","11,072.0","11,336.0","11,872.0","12,044.0","12,324.0","12,220.0","12,152.0","12,752.0","11,644.0","13,500.0","13,484.0","13,860.0","14,748.0","16,084.0","17,364.0","18,312.0","20,108.0","22,056.0","24,232.0","26,420.0","28,432.0","29,940.0","31,476.0","30,844.0","32,628.0","32,696.0","33,124.0","33,032.0","34,392.0","33,636.0","33,592.0","34,440.0","33,340.0","32,535.0","35,592.0","36,046.0","39,598.0","40,988.0","43,082.0","43,599.0","47,892.0","50,254.0","54,928.0","54,972.0","57,263.0","60,440.0","62,159.0","60,845.0","62,017.0","59,581.0","59,606.0","57,338.0","51,787.0","48,252.0","47,984.0","50,029.0","51,568.0","51,646.0","52,082.0","52,827.0","53,933.0","51,908.0","52,000.0","49,894.0","50,561.0","50,945.0","52,753.0","50,626.0","52,545.0","51,397.0","55,897.0","58,380.0","64,338.0","69,834.0","71,016.0","75,191.0","79,675.0","82,097.0","86,769.0","85,916.0","88,729.0","93,503.0","94,563.0","94,645.0","96,915.0","98,272.0","103,682.0","103,771.0","105,074.0","106,837.0","108,458.0","110,740.0","113,512.0","116,580.0","118,851.0","121,076.0","125,922.0","131,284.0","138,645.0","145,691.0","148,034.0","158,602.0","164,728.0","172,246.0","178,964.0","178,806.0","177,457.0","176,437.0","185,084.0","191,982.0","203,121.0","212,471.0","212,877.0","208,009.0","199,978.0","196,147.0","199,973.0","200,634.0","204,876.0","215,411.0","225,493.0","234,643.0","249,375.0","266,594.0","262,858.0","252,584.0","228,030.0","206,503.0","199,085.0","197,111.0","203,707.0","205,623.0","199,390.0","198,372.0","201,715.0","206,951.0","221,061.0","231,987.0","239,410.0","240,461.0","242,787.0","246,009.0","251,930.0","257,708.0","272,354.0","281,522.0","291,099.0","294,338.0","300,813.0","303,946.0","310,857.0","318,184.0","324,827.0","334,397.0","346,390.0","348,375.0","329,874.0","278,507.0","266,402.0","275,453.0","295,737.0","310,878.0","329,076.0","338,736.0","349,727.0","352,615.0","364,060.0","368,012.0","373,988.0","379,914.0","388,756.0","386,300.0","381,112.0","379,609.0","384,121.0","376,166.0","386,774.0"
"30","11","  Automotive vehicles, engines, and parts","B641RC1","3,544.0","3,948.0","4,032.0","4,200.0","3,708.0","4,384.0","4,008.0","3,496.0","4,528.0","4,872.0","4,976.0","4,540.0","5,028.0","5,320.0","5,712.0","6,044.0","6,492.0","7,016.0","6,912.0","7,388.0","7,908.0","8,220.0","9,076.0","10,056.0","9,380.0","10,860.0","11,212.0","11,724.0","11,684.0","12,044.0","12,348.0","12,840.0","13,128.0","14,060.0","13,268.0","13,684.0","13,164.0","15,346.0","15,094.0","17,046.0","17,541.0","17,720.0","17,240.0","19,090.0","17,560.0","16,364.0","16,486.0","19,362.0","18,689.0","20,822.0","20,648.0","18,612.0","17,269.0","18,767.0","17,778.0","15,105.0","16,040.0","17,935.0","18,577.0","21,295.0","21,636.0","21,400.0","23,688.0","22,964.0","23,273.0","24,911.0","26,409.0","25,184.0","24,150.0","26,149.0","24,609.0","25,476.0","25,814.0","26,864.0","26,745.0","30,908.0","32,297.0","32,714.0","33,890.0","34,688.0","37,286.0","33,205.0","33,577.0","36,497.0","36,777.0","37,114.0","36,064.0","34,826.0","36,739.0","38,613.0","42,881.0","41,364.0","43,396.0","45,748.0","48,163.0","50,225.0","50,662.0","51,215.0","49,385.0","54,958.0","53,704.0","56,427.0","58,707.0","61,290.0","63,351.0","59,338.0","61,547.0","61,342.0","61,914.0","62,765.0","67,468.0","65,291.0","69,905.0","72,655.0","75,905.0","75,278.0","76,736.0","71,646.0","67,180.0","74,483.0","73,249.0","74,678.0","75,931.0","77,169.0","83,547.0","80,216.0","79,198.0","78,463.0","73,532.0","76,790.0","76,492.0","74,925.0","75,037.0","81,046.0","80,652.0","79,037.0","79,734.0","81,978.0","78,354.0","82,467.0","83,842.0","87,692.0","92,119.0","93,196.0","94,978.0","95,496.0","98,776.0","104,376.0","106,706.0","105,569.0","106,554.0","110,222.0","114,851.0","122,301.0","124,055.0","123,849.0","122,208.0","126,411.0","130,300.0","106,888.0","68,278.0","67,959.0","88,326.0","102,294.0","106,521.0","111,017.0","112,497.0","117,997.0","127,501.0","128,537.0","136,654.0","138,704.0","145,575.0","148,307.0","145,868.0","144,756.0","146,579.0","153,681.0","154,888.0","153,529.0"
"31","12","  Consumer goods, except automotive","A642RC1","2,332.0","2,692.0","2,704.0","2,688.0","2,808.0","2,744.0","2,760.0","2,880.0","2,808.0","2,796.0","3,304.0","2,744.0","3,488.0","3,324.0","3,620.0","3,900.0","4,256.0","4,676.0","4,952.0","5,316.0","6,084.0","6,608.0","6,528.0","6,376.0","6,248.0","6,204.0","6,632.0","7,156.0","7,660.0","7,980.0","8,008.0","8,440.0","8,584.0","8,792.0","9,520.0","8,828.0","10,037.0","11,551.0","11,426.0","12,506.0","12,893.0","13,554.0","13,812.0","15,659.0","19,845.0","16,774.0","16,717.0","17,668.0","17,960.0","18,191.0","17,555.0","17,079.0","16,136.0","16,686.0","16,538.0","15,154.0","14,807.0","14,790.0","14,797.0","15,305.0","14,924.0","15,096.0","15,009.0","15,309.0","14,761.0","14,595.0","14,146.0","14,875.0","15,330.0","16,388.0","16,896.0","18,305.0","18,118.0","20,179.0","20,745.0","22,186.0","23,889.0","26,625.0","27,473.0","29,940.0","33,070.0","36,607.0","35,886.0","37,927.0","40,764.0","44,259.0","44,487.0","44,501.0","46,935.0","45,941.0","46,146.0","47,284.0","49,360.0","50,605.0","52,196.0","52,777.0","53,012.0","53,860.0","55,448.0","55,519.0","55,796.0","58,583.0","61,490.0","62,975.0","62,510.0","63,576.0","65,214.0","65,309.0","67,356.0","68,508.0","69,342.0","72,087.0","74,592.0","77,459.0","77,638.0","78,435.0","77,983.0","79,741.0","80,292.0","79,458.0","78,755.0","79,405.0","81,014.0","84,419.0","87,612.0","88,733.0","91,503.0","89,515.0","92,651.0","91,469.0","85,097.0","83,955.0","82,600.0","84,299.0","85,499.0","84,949.0","86,816.0","87,789.0","91,049.0","93,891.0","97,655.0","102,628.0","104,226.0","108,356.0","111,566.0","114,133.0","115,992.0","119,357.0","123,910.0","127,029.0","129,553.0","135,778.0","141,276.0","144,067.0","147,930.0","150,577.0","157,638.0","164,675.0","167,765.0","155,046.0","145,234.0","144,426.0","149,821.0","158,337.0","162,470.0","160,457.0","163,958.0","174,028.0","169,535.0","175,215.0","176,737.0","178,331.0","177,689.0","182,955.0","182,240.0","184,097.0","182,696.0","196,189.0","185,238.0","194,227.0"
"32","13","    Durable goods","B690RC1","1,092.0","1,228.0","1,252.0","1,188.0","1,188.0","1,144.0","1,160.0","1,264.0","1,204.0","1,184.0","1,372.0","1,320.0","1,652.0","1,580.0","1,704.0","1,872.0","2,128.0","2,360.0","2,576.0","2,664.0","3,156.0","3,440.0","3,320.0","3,168.0","2,964.0","2,952.0","3,244.0","3,388.0","3,836.0","3,876.0","3,956.0","4,140.0","4,164.0","4,108.0","4,300.0","4,116.0","5,240.0","6,108.0","5,800.0","6,502.0","6,633.0","7,010.0","7,019.0","8,403.0","12,078.0","9,080.0","8,630.0","9,264.0","9,038.0","9,314.0","8,958.0","8,542.0","7,728.0","8,118.0","8,292.0","6,895.0","6,773.0","6,926.0","6,595.0","6,879.0","6,865.0","6,792.0","6,549.0","6,750.0","6,374.0","6,573.0","6,118.0","6,527.0","6,630.0","7,372.0","7,604.0","8,770.0","8,302.0","9,554.0","9,434.0","10,603.0","11,521.0","13,331.0","13,450.0","15,062.0","17,935.0","20,015.0","19,125.0","20,963.0","22,420.0","23,947.0","24,603.0","23,318.0","24,113.0","23,930.0","24,380.0","24,960.0","25,930.0","26,002.0","26,661.0","26,846.0","27,208.0","28,050.0","28,929.0","28,501.0","28,526.0","30,084.0","30,866.0","31,811.0","32,171.0","32,428.0","32,642.0","32,787.0","33,436.0","34,422.0","35,336.0","36,826.0","37,575.0","40,092.0","40,341.0","40,125.0","39,944.0","40,825.0","41,360.0","40,947.0","39,301.0","40,929.0","42,119.0","44,827.0","46,681.0","46,073.0","47,755.0","46,311.0","49,204.0","48,456.0","44,712.0","43,106.0","43,526.0","44,034.0","44,768.0","43,370.0","43,374.0","44,723.0","46,750.0","49,389.0","49,972.0","53,235.0","55,137.0","57,301.0","59,541.0","60,867.0","63,359.0","64,573.0","67,268.0","70,367.0","71,417.0","75,321.0","78,416.0","81,348.0","83,502.0","87,598.0","91,614.0","94,972.0","94,361.0","81,851.0","72,768.0","71,202.0","76,855.0","80,957.0","81,713.0","86,716.0","88,962.0","93,390.0","94,450.0","97,380.0","98,103.0","99,098.0","99,450.0","100,272.0","98,340.0","99,321.0","99,815.0","110,582.0","101,495.0","110,190.0"
"33","14","    Nondurable goods","B691RC1","1,240.0","1,464.0","1,452.0","1,500.0","1,620.0","1,600.0","1,600.0","1,616.0","1,604.0","1,612.0","1,932.0","1,424.0","1,836.0","1,744.0","1,916.0","2,028.0","2,128.0","2,316.0","2,376.0","2,652.0","2,928.0","3,168.0","3,208.0","3,208.0","3,284.0","3,252.0","3,388.0","3,768.0","3,824.0","4,104.0","4,052.0","4,300.0","4,420.0","4,684.0","5,220.0","4,712.0","4,797.0","5,443.0","5,626.0","6,004.0","6,260.0","6,544.0","6,793.0","7,256.0","7,767.0","7,694.0","8,087.0","8,404.0","8,922.0","8,877.0","8,597.0","8,537.0","8,408.0","8,568.0","8,246.0","8,259.0","8,034.0","7,864.0","8,202.0","8,426.0","8,059.0","8,304.0","8,460.0","8,559.0","8,387.0","8,022.0","8,028.0","8,348.0","8,700.0","9,016.0","9,292.0","9,535.0","9,816.0","10,625.0","11,311.0","11,583.0","12,368.0","13,294.0","14,023.0","14,878.0","15,135.0","16,592.0","16,761.0","16,964.0","18,344.0","20,312.0","19,884.0","21,183.0","22,822.0","22,011.0","21,766.0","22,324.0","23,430.0","24,603.0","25,535.0","25,931.0","25,804.0","25,810.0","26,519.0","27,018.0","27,270.0","28,499.0","30,624.0","31,164.0","30,339.0","31,148.0","32,572.0","32,522.0","33,920.0","34,086.0","34,006.0","35,261.0","37,017.0","37,367.0","37,297.0","38,310.0","38,039.0","38,916.0","38,932.0","38,511.0","39,454.0","38,476.0","38,895.0","39,592.0","40,931.0","42,660.0","43,748.0","43,204.0","43,447.0","43,013.0","40,385.0","40,849.0","39,074.0","40,265.0","40,731.0","41,579.0","43,442.0","43,066.0","44,299.0","44,502.0","47,683.0","49,393.0","49,089.0","51,055.0","52,025.0","53,266.0","52,633.0","54,784.0","56,642.0","56,662.0","58,136.0","60,457.0","62,860.0","62,719.0","64,428.0","62,979.0","66,024.0","69,703.0","73,404.0","73,195.0","72,466.0","73,224.0","72,966.0","77,380.0","80,757.0","73,741.0","74,996.0","80,638.0","75,085.0","77,835.0","78,634.0","79,233.0","78,239.0","82,683.0","83,900.0","84,776.0","82,881.0","85,607.0","83,743.0","84,037.0"
"34","15","  Other","A643RC1","2,876.0","2,828.0","2,752.0","3,244.0","3,600.0","3,384.0","3,720.0","3,508.0","3,804.0","3,884.0","3,776.0","3,680.0","4,152.0","4,236.0","4,456.0","4,632.0","4,904.0","5,196.0","5,148.0","5,688.0","6,048.0","6,464.0","6,008.0","7,072.0","7,584.0","6,764.0","6,416.0","7,524.0","7,072.0","6,184.0","7,432.0","7,064.0","7,848.0","8,084.0","9,396.0","8,580.0","6,988.0","7,652.0","6,312.0","8,104.0","8,794.0","7,748.0","7,570.0","8,660.0","11,236.0","9,118.0","9,798.0","10,142.0","11,854.0","13,622.0","12,934.0","13,476.0","10,778.0","10,294.0","11,688.0","11,832.0","12,300.0","12,146.0","12,770.0","14,892.0","16,034.0","16,966.0","17,316.0","17,640.0","19,748.0","20,020.0","18,804.0","19,132.0","17,908.0","18,790.0","18,528.0","20,004.0","23,608.0","23,402.0","23,866.0","26,302.0","26,744.0","28,338.0","28,502.0","29,714.0","28,668.0","29,935.0","27,944.0","32,347.0","26,026.0","25,817.0","26,370.0","29,376.0","29,591.0","28,750.0","27,331.0","28,481.0","27,852.0","28,139.0","27,709.0","28,404.0","25,219.0","28,569.0","28,032.0","29,187.0","27,217.0","29,645.0","29,395.0","31,176.0","31,830.0","30,932.0","31,127.0","32,158.0","31,562.0","33,097.0","33,324.0","35,674.0","35,042.0","36,183.0","37,186.0","37,331.0","36,976.0","37,625.0","40,025.0","41,663.0","52,677.0","54,396.0","50,012.0","52,292.0","50,249.0","49,868.0","51,942.0","53,759.0","49,520.0","52,128.0","48,859.0","46,984.0","49,653.0","51,206.0","54,782.0","52,221.0","48,588.0","47,864.0","49,173.0","47,607.0","49,003.0","52,174.0","49,348.0","49,441.0","54,326.0","55,598.0","60,100.0","59,672.0","62,718.0","58,838.0","64,001.0","65,098.0","65,237.0","62,878.0","62,596.0","67,413.0","64,951.0","67,243.0","57,254.0","58,453.0","55,444.0","52,886.0","50,129.0","59,829.0","53,665.0","58,698.0","59,284.0","56,665.0","63,005.0","60,421.0","62,453.0","60,667.0","63,738.0","61,170.0","63,980.0","72,448.0","66,787.0","60,916.0","67,206.0","75,354.0"
"35","16","Exports of services \1\","A646RC1","12,334.0","13,967.0","13,856.0","14,487.0","13,889.0","15,561.0","15,510.0","15,694.0","17,206.0","17,379.0","16,945.0","18,094.0","18,943.0","18,284.0","19,629.0","19,341.0","19,599.0","20,987.0","21,960.0","22,836.0","23,657.0","26,056.0","25,390.0","27,573.0","29,333.0","30,883.0","26,950.0","29,143.0","30,072.0","30,353.0","32,791.0","33,764.0","34,026.0","35,730.0","36,193.0","36,837.0","39,572.0","40,113.0","42,031.0","44,221.0","44,678.0","45,183.0","46,240.0","48,252.0","50,685.0","53,197.0","57,776.0","58,310.0","63,269.0","66,447.0","68,155.0","66,670.0","68,344.0","68,770.0","68,030.0","67,664.0","69,986.0","69,715.0","70,777.0","68,303.0","74,698.0","77,562.0","77,371.0","77,363.0","80,334.0","80,616.0","79,869.0","83,017.0","92,871.0","92,069.0","95,960.0","99,053.0","102,120.0","106,700.0","107,675.0","109,046.0","114,129.0","118,023.0","121,924.0","121,132.0","130,368.0","132,434.0","136,963.0","139,913.0","147,509.0","151,320.0","156,955.0","165,081.0","158,676.0","169,420.0","174,649.0","182,628.0","184,328.0","184,571.0","186,600.0","184,802.0","191,386.0","194,605.0","196,505.0","196,855.0","203,611.0","210,530.0","212,817.0","216,429.0","219,320.0","223,202.0","235,776.0","239,710.0","239,741.0","247,066.0","244,097.0","265,991.0","260,071.0","267,368.0","269,357.0","267,504.0","268,536.0","274,425.0","268,478.0","276,905.0","271,429.0","273,869.0","280,355.0","285,169.0","290,944.0","298,996.0","298,167.0","300,697.0","298,669.0","293,494.0","280,804.0","267,397.0","283,660.0","289,291.0","293,635.0","301,898.0","293,032.0","289,682.0","305,125.0","322,517.0","339,186.0","346,026.0","349,530.0","366,526.0","377,483.0","379,207.0","386,075.0","397,503.0","411,837.0","427,722.0","427,422.0","454,724.0","468,473.0","483,289.0","511,314.0","538,571.0","537,011.0","555,091.0","555,320.0","534,590.0","507,230.0","510,951.0","517,511.0","540,766.0","540,941.0","551,425.0","573,963.0","593,998.0","606,330.0","626,209.0","646,435.0","631,229.0","652,742.0","657,942.0","653,572.0","675,473.0","682,569.0","690,159.0","693,694.0","702,220.0"
"36","17","  Transfers under U.S. military agency sales contracts","B267RC1","3,620.0","4,264.0","4,080.0","4,588.0","3,360.0","4,696.0","4,368.0","4,432.0","5,560.0","5,524.0","4,908.0","5,900.0","6,372.0","5,396.0","6,296.0","5,348.0","4,416.0","5,700.0","5,360.0","5,964.0","4,408.0","6,052.0","4,636.0","5,664.0","6,972.0","8,472.0","4,144.0","5,420.0","5,144.0","4,956.0","6,304.0","6,888.0","7,312.0","7,572.0","7,480.0","7,844.0","8,672.0","7,928.0","7,824.0","8,392.0","7,720.0","6,968.0","6,672.0","6,552.0","7,380.0","8,288.0","10,776.0","9,656.0","9,068.0","11,444.0","12,684.0","9,672.0","12,100.0","13,124.0","12,372.0","12,700.0","14,816.0","12,644.0","12,444.0","10,200.0","10,656.0","9,984.0","10,256.0","8,976.0","10,444.0","9,076.0","7,820.0","7,544.0","7,632.0","7,820.0","8,480.0","10,264.0","12,452.0","12,940.0","10,336.0","8,696.0","9,768.0","10,148.0","10,124.0","7,056.0","8,600.0","8,524.0","9,608.0","7,336.0","8,540.0","9,260.0","11,772.0","9,932.0","10,584.0","10,128.0","9,860.0","12,188.0","13,428.0","11,828.0","12,312.0","9,892.0","13,000.0","12,888.0","14,204.0","10,584.0","10,980.0","12,484.0","13,936.0","11,432.0","12,904.0","13,412.0","15,272.0","14,084.0","13,836.0","14,936.0","16,380.0","17,800.0","15,008.0","18,200.0","16,740.0","14,580.0","17,644.0","17,476.0","15,372.0","16,548.0","4,116.0","4,454.0","5,183.0","4,361.0","4,085.0","5,611.0","5,969.0","5,331.0","4,182.0","4,442.0","5,332.0","3,837.0","3,977.0","3,650.0","4,826.0","3,715.0","3,735.0","3,936.0","6,074.0","6,774.0","8,256.0","7,563.0","8,166.0","6,943.0","10,509.0","11,065.0","11,464.0","9,510.0","12,202.0","16,079.0","14,167.0","15,232.0","16,644.0","11,043.0","12,777.0","22,066.0","13,032.0","15,542.0","11,960.0","11,842.0","11,562.0","14,664.0","19,576.0","12,286.0","12,545.0","13,215.0","13,985.0","12,287.0","16,181.0","18,586.0","17,861.0","16,452.0","16,874.0","16,288.0","16,529.0","18,559.0","18,098.0","18,794.0","19,322.0","19,632.0"
"37","18","  Travel","B493RC1","2,008.0","2,056.0","2,056.0","2,052.0","2,296.0","2,316.0","2,300.0","2,412.0","2,492.0","2,436.0","2,496.0","2,712.0","2,692.0","2,780.0","2,852.0","2,944.0","3,344.0","3,268.0","3,440.0","3,596.0","3,888.0","3,876.0","4,084.0","4,280.0","4,748.0","4,508.0","4,576.0","4,956.0","5,296.0","5,772.0","6,072.0","5,828.0","5,748.0","6,084.0","6,212.0","6,556.0","6,692.0","7,152.0","7,356.0","7,532.0","8,176.0","8,300.0","8,232.0","9,056.0","10,188.0","10,136.0","10,948.0","11,080.0","12,432.0","12,408.0","12,912.0","13,900.0","13,120.0","12,712.0","12,156.0","11,584.0","10,588.0","10,648.0","11,996.0","10,556.0","15,440.0","18,208.0","17,276.0","17,784.0","17,452.0","18,416.0","17,564.0","17,624.0","20,016.0","19,280.0","21,000.0","21,252.0","21,360.0","23,096.0","24,384.0","25,412.0","26,844.0","28,552.0","30,888.0","31,452.0","34,140.0","34,716.0","36,880.0","39,080.0","41,740.0","42,172.0","41,956.0","46,156.0","42,116.0","48,256.0","50,132.0","53,040.0","54,476.0","54,864.0","54,248.0","55,380.0","56,816.0","57,876.0","57,944.0","58,864.0","57,596.0","58,856.0","57,972.0","59,240.0","59,452.0","60,164.0","65,428.0","68,532.0","67,256.0","70,888.0","64,776.0","76,316.0","73,404.0","73,104.0","74,380.0","72,816.0","71,704.0","72,724.0","69,184.0","71,688.0","72,892.0","73,696.0","75,608.0","78,448.0","82,428.0","84,480.0","81,864.0","82,796.0","83,692.0","79,112.0","70,200.0","57,552.0","65,408.0","65,276.0","65,884.0","72,868.0","64,032.0","58,028.0","65,528.0","73,048.0","72,328.0","75,452.0","75,784.0","78,296.0","79,980.0","84,060.0","82,216.0","82,384.0","83,456.0","85,368.0","87,000.0","88,924.0","88,188.0","92,812.0","101,492.0","106,928.0","109,296.0","112,556.0","115,468.0","104,372.0","94,840.0","92,588.0","93,904.0","95,416.0","100,512.0","101,404.0","104,212.0","107,724.0","109,532.0","115,684.0","119,364.0","117,628.0","120,972.0","125,476.0","128,316.0","130,092.0","133,452.0","135,148.0","137,280.0","137,696.0"
"38","19","  Passenger fares","B533RC1","432.0","448.0","476.0","444.0","524.0","556.0","536.0","560.0","612.0","592.0","588.0","668.0","644.0","684.0","680.0","788.0","920.0","944.0","1,032.0","1,004.0","1,080.0","1,068.0","1,112.0","1,156.0","1,048.0","964.0","1,108.0","1,036.0","1,104.0","1,232.0","1,300.0","1,280.0","1,200.0","1,420.0","1,396.0","1,448.0","1,468.0","1,468.0","1,628.0","1,848.0","1,988.0","2,128.0","2,160.0","2,348.0","2,448.0","2,568.0","2,728.0","2,620.0","2,936.0","3,216.0","3,216.0","3,076.0","3,220.0","3,180.0","3,096.0","3,200.0","3,596.0","3,600.0","3,516.0","3,728.0","3,964.0","4,244.0","3,996.0","4,060.0","3,964.0","4,260.0","4,512.0","4,908.0","5,396.0","4,888.0","6,044.0","6,012.0","6,176.0","6,996.0","7,236.0","7,600.0","8,436.0","8,908.0","9,460.0","9,104.0","10,316.0","10,024.0","10,892.0","11,400.0","14,016.0","14,856.0","15,020.0","17,304.0","13,408.0","15,856.0","16,848.0","17,312.0","16,608.0","16,628.0","16,564.0","16,672.0","16,424.0","16,460.0","16,828.0","16,400.0","16,704.0","17,120.0","17,168.0","17,004.0","18,152.0","18,000.0","19,476.0","20,004.0","20,060.0","20,300.0","19,600.0","21,728.0","20,736.0","20,716.0","20,936.0","21,084.0","19,840.0","20,716.0","20,312.0","19,524.0","19,000.0","19,108.0","20,088.0","19,504.0","19,468.0","20,840.0","20,252.0","20,228.0","19,648.0","18,752.0","17,316.0","13,008.0","16,128.0","16,400.0","16,440.0","16,196.0","14,568.0","13,692.0","15,608.0","16,496.0","17,280.0","17,732.0","18,588.0","18,128.0","19,136.0","20,508.0","21,648.0","21,144.0","21,088.0","21,464.0","22,212.0","21,788.0","22,820.0","23,464.0","25,540.0","28,924.0","29,860.0","31,300.0","32,376.0","30,292.0","27,904.0","25,592.0","25,328.0","25,588.0","28,144.0","30,596.0","32,632.0","32,572.0","33,360.0","35,844.0","39,572.0","38,276.0","38,596.0","40,276.0","39,384.0","39,184.0","40,196.0","40,028.0","39,500.0","39,700.0"
"39","20","  Other transportation","B683RC1","2,112.0","2,840.0","2,820.0","2,836.0","2,960.0","3,110.0","3,246.0","3,182.0","3,292.0","3,424.0","3,477.0","3,006.0","3,386.0","3,436.0","3,616.0","3,880.0","4,225.0","4,317.0","4,589.0","4,730.0","5,256.0","5,701.0","5,687.0","6,144.0","5,813.0","5,695.0","5,768.0","6,085.0","6,710.0","6,388.0","6,724.0","7,165.0","6,788.0","7,388.0","7,332.0","6,850.0","7,512.0","7,948.0","8,352.0","8,732.0","9,192.0","9,456.0","10,356.0","10,880.0","11,084.0","11,372.0","11,740.0","12,276.0","12,720.0","12,432.0","12,548.0","12,540.0","12,516.0","12,460.0","12,236.0","12,072.0","12,136.0","12,452.0","12,748.0","13,036.0","13,332.0","13,744.0","14,004.0","14,168.0","14,384.0","14,288.0","14,572.0","15,464.0","15,180.0","15,216.0","15,632.0","15,716.0","15,876.0","16,588.0","17,492.0","18,152.0","18,832.0","19,472.0","19,348.0","19,588.0","20,356.0","20,816.0","20,000.0","20,936.0","21,648.0","21,428.0","22,372.0","22,716.0","21,924.0","22,316.0","22,944.0","23,348.0","21,504.0","21,464.0","21,412.0","21,740.0","21,976.0","22,064.0","21,564.0","22,224.0","21,980.0","23,496.0","24,184.0","25,356.0","25,180.0","26,244.0","26,116.0","26,788.0","25,052.0","25,960.0","25,752.0","27,528.0","26,800.0","27,040.0","26,760.0","27,416.0","25,540.0","25,172.0","25,312.0","26,396.0","23,166.0","23,446.0","23,475.0","25,081.0","25,206.0","25,580.0","25,478.0","25,984.0","25,962.0","25,003.0","23,696.0","23,475.0","24,609.0","25,081.0","25,649.0","27,141.0","25,941.0","26,134.0","25,888.0","27,454.0","29,637.0","29,922.0","29,850.0","29,757.0","31,482.0","31,531.0","31,285.0","33,754.0","34,720.0","35,231.0","35,831.0","37,514.0","39,587.0","39,926.0","41,394.0","41,644.0","44,676.0","44,622.0","45,610.0","41,155.0","35,235.0","34,850.0","35,966.0","38,295.0","39,488.0","41,244.0","40,208.0","41,732.0","42,088.0","43,052.0","43,708.0","43,419.0","44,124.0","44,432.0","43,424.0","43,440.0","45,476.0","45,240.0","43,920.0","44,796.0"
"40","21","  Royalties and license fees","B684RC1","1,940.0","2,056.0","1,996.0","2,084.0","2,204.0","2,324.0","2,388.0","2,408.0","2,448.0","2,496.0","2,508.0","2,724.0","2,652.0","2,712.0","2,812.0","2,904.0","3,120.0","3,000.0","3,432.0","3,348.0","3,676.0","3,808.0","4,024.0","4,216.0","4,324.0","4,408.0","4,412.0","4,500.0","4,440.0","4,440.0","4,496.0","4,476.0","4,672.0","4,896.0","5,248.0","5,308.0","5,792.0","5,748.0","6,008.0","6,472.0","6,000.0","6,188.0","6,396.0","6,668.0","6,824.0","7,252.0","7,252.0","7,524.0","7,400.0","7,392.0","7,436.0","7,524.0","5,912.0","5,708.0","5,844.0","4,944.0","5,684.0","5,876.0","5,820.0","5,736.0","6,000.0","6,120.0","6,188.0","6,404.0","6,200.0","6,368.0","6,356.0","7,788.0","7,496.0","8,020.0","8,244.0","8,696.0","9,532.0","9,760.0","10,504.0","10,884.0","11,452.0","11,896.0","12,060.0","13,152.0","13,532.0","13,528.0","13,852.0","14,364.0","15,228.0","16,280.0","17,268.0","17,768.0","17,392.0","17,464.0","17,744.0","18,672.0","20,612.0","20,812.0","21,180.0","20,768.0","21,028.0","22,016.0","21,504.0","22,228.0","26,164.0","26,620.0","26,672.0","27,396.0","28,876.0","29,716.0","31,288.0","31,276.0","31,644.0","31,592.0","32,792.0","33,852.0","32,944.0","33,432.0","33,540.0","33,000.0","34,296.0","35,220.0","34,888.0","38,096.0","46,848.0","46,892.0","48,540.0","48,648.0","51,220.0","52,068.0","52,316.0","51,628.0","49,216.0","49,708.0","48,448.0","50,572.0","50,728.0","54,388.0","56,116.0","54,196.0","54,908.0","55,920.0","57,796.0","58,632.0","64,172.0","64,672.0","67,000.0","72,524.0","74,524.0","73,472.0","74,428.0","75,372.0","78,204.0","83,756.0","81,460.0","90,776.0","88,968.0","95,224.0","100,764.0","106,256.0","100,896.0","102,204.0","104,344.0","101,060.0","89,756.0","95,852.0","95,772.0","112,244.0","106,296.0","105,468.0","107,460.0","110,856.0","116,760.0","120,836.0","124,888.0","120,384.0","125,172.0","122,904.0","123,308.0","125,344.0","126,400.0","127,940.0","129,580.0","131,441.0"
