"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"29","10","  Net government saving","A922RC1","5,915.0","2,407.0","-4,078.0","-8,253.0","-17,953.0","-28,904.0","-36,546.0","-43,798.0","-45,548.0","-51,884.0","-51,506.0","-52,023.0","-43,291.0","-40,187.0","-38,095.0","-40,297.0","-27,607.0","-31,004.0","-27,873.0","-25,704.0","-29,921.0","-34,031.0","-33,366.0","-55,998.0","-82,651.0","-138,352.0","-94,263.0","-94,902.0","-80,905.0","-74,358.0","-77,150.0","-75,809.0","-66,890.0","-59,119.0","-62,288.0","-65,564.0","-66,279.0","-40,797.0","-42,406.0","-36,042.0","-30,958.0","-31,454.0","-35,554.0","-47,311.0","-56,644.0","-85,439.0","-96,095.0","-85,313.0","-63,411.0","-70,984.0","-78,290.0","-114,031.0","-136,660.0","-143,475.0","-181,418.0","-217,359.0","-217,716.0","-201,606.0","-211,120.0","-184,486.0","-160,640.0","-165,339.0","-177,104.0","-182,570.0","-145,175.0","-195,332.0","-176,581.0","-184,325.0","-175,898.0","-204,742.0","-207,667.0","-180,612.0","-187,670.0","-122,035.0","-141,826.0","-152,843.0","-149,439.0","-142,410.0","-129,971.0","-139,601.0","-117,799.0","-144,594.0","-156,325.0","-178,151.0","-192,772.0","-205,102.0","-204,647.0","-226,967.0","-204,987.0","-269,100.0","-292,329.0","-318,798.0","-356,133.0","-367,408.0","-387,043.0","-370,081.0","-388,582.0","-346,451.0","-356,432.0","-304,643.0","-296,018.0","-266,426.0","-274,874.0","-285,284.0","-283,472.0","-286,076.0","-277,159.0","-242,836.0","-238,912.0","-196,766.0","-179,936.0","-148,225.0","-125,528.0","-105,060.0","-62,247.0","-65,111.0","-8,683.0","2,226.0","35,903.0","43,041.0","59,629.0","66,674.0","79,837.0","96,899.0","196,248.0","168,446.0","160,135.0","138,374.0","104,487.0","38,791.0","-206,833.0","-141,658.0","-345,568.0","-390,497.0","-393,628.0","-437,795.0","-488,838.0","-539,622.0","-580,074.0","-491,254.0","-556,645.0","-525,503.0","-483,244.0","-467,129.0","-380,343.0","-381,767.0","-378,534.0","-347,461.0","-270,055.0","-267,317.0","-285,070.0","-247,584.0","-280,968.0","-308,398.0","-363,465.0","-404,909.0","-526,769.0","-903,801.0","-847,984.0","-922,123.0","-1,307,818.0","-1,603,309.0","-1,627,284.0","-1,548,453.0","-1,612,644.0","-1,602,958.0","-1,541,662.0","-1,510,057.0","-1,455,287.0","-1,501,980.0","-1,454,813.0","-1,433,300.0","-1,335,140.0","-1,402,113.0","-1,379,374.0","-1,332,737.0","-1,082,876.0","-850,727.0","-1,075,671.0","....."
"30","11","    Federal","A923RC1","2,239.0","-1,493.0","-8,630.0","-12,548.0","-22,249.0","-32,608.0","-39,509.0","-44,680.0","-45,502.0","-52,407.0","-51,708.0","-53,677.0","-45,671.0","-51,389.0","-40,656.0","-57,828.0","-40,046.0","-40,751.0","-36,590.0","-33,369.0","-35,302.0","-37,860.0","-36,164.0","-53,258.0","-75,137.0","-132,418.0","-89,702.0","-90,651.0","-80,756.0","-76,173.0","-79,490.0","-82,997.0","-72,187.0","-66,335.0","-73,122.0","-75,984.0","-78,157.0","-58,895.0","-53,082.0","-49,165.0","-39,613.0","-39,238.0","-44,846.0","-54,379.0","-63,516.0","-87,403.0","-100,347.0","-93,740.0","-71,824.0","-75,568.0","-82,585.0","-113,286.0","-133,183.0","-139,326.0","-175,824.0","-210,174.0","-206,953.0","-200,837.0","-217,340.0","-194,904.0","-179,758.0","-189,014.0","-195,355.0","-205,224.0","-167,799.0","-217,125.0","-196,065.0","-201,468.0","-201,455.0","-224,161.0","-229,927.0","-195,100.0","-194,724.0","-141,553.0","-153,335.0","-163,058.0","-163,821.0","-155,754.0","-151,191.0","-158,605.0","-136,311.0","-158,223.0","-163,541.0","-168,497.0","-195,282.0","-201,709.0","-196,744.0","-209,943.0","-184,115.0","-244,056.0","-269,289.0","-287,371.0","-324,713.0","-331,407.0","-343,930.0","-330,572.0","-340,600.0","-305,993.0","-317,187.0","-283,457.0","-266,493.0","-236,810.0","-254,595.0","-256,835.0","-254,088.0","-241,755.0","-245,213.0","-222,303.0","-223,108.0","-179,858.0","-169,636.0","-141,420.0","-120,694.0","-102,495.0","-68,700.0","-72,770.0","-22,620.0","-8,755.0","21,696.0","20,551.0","47,466.0","62,757.0","71,105.0","84,788.0","174,213.0","146,239.0","153,592.0","149,524.0","129,160.0","92,323.0","-130,328.0","-35,208.0","-228,248.0","-267,179.0","-277,499.0","-310,854.0","-333,987.0","-402,877.0","-473,031.0","-404,261.0","-441,463.0","-402,922.0","-374,102.0","-380,576.0","-313,762.0","-311,088.0","-308,669.0","-288,181.0","-243,570.0","-245,974.0","-235,387.0","-187,465.0","-214,955.0","-253,001.0","-288,591.0","-310,272.0","-409,519.0","-782,925.0","-664,757.0","-683,253.0","-1,040,704.0","-1,336,621.0","-1,341,695.0","-1,280,188.0","-1,352,327.0","-1,340,019.0","-1,320,089.0","-1,305,687.0","-1,244,945.0","-1,313,358.0","-1,231,676.0","-1,203,033.0","-1,094,010.0","-1,146,870.0","-1,119,270.0","-1,078,528.0","-853,051.0","-653,113.0","-849,675.0","....."
"31","12","    State and local","A924RC1","3,676.0","3,900.0","4,552.0","4,295.0","4,296.0","3,704.0","2,963.0","882.0","-46.0","523.0","202.0","1,654.0","2,380.0","11,202.0","2,561.0","17,531.0","12,439.0","9,747.0","8,717.0","7,665.0","5,381.0","3,829.0","2,798.0","-2,740.0","-7,514.0","-5,934.0","-4,561.0","-4,251.0","-149.0","1,815.0","2,340.0","7,188.0","5,297.0","7,216.0","10,834.0","10,420.0","11,878.0","18,098.0","10,676.0","13,123.0","8,655.0","7,784.0","9,292.0","7,068.0","6,872.0","1,964.0","4,252.0","8,427.0","8,413.0","4,584.0","4,295.0","-745.0","-3,477.0","-4,149.0","-5,594.0","-7,185.0","-10,763.0","-769.0","6,220.0","10,418.0","19,118.0","23,675.0","18,251.0","22,654.0","22,624.0","21,793.0","19,484.0","17,143.0","25,557.0","19,419.0","22,260.0","14,488.0","7,054.0","19,518.0","11,509.0","10,215.0","14,382.0","13,344.0","21,220.0","19,004.0","18,512.0","13,629.0","7,216.0","-9,654.0","2,510.0","-3,393.0","-7,903.0","-17,024.0","-20,872.0","-25,044.0","-23,040.0","-31,427.0","-31,420.0","-36,001.0","-43,113.0","-39,509.0","-47,982.0","-40,458.0","-39,245.0","-21,186.0","-29,525.0","-29,616.0","-20,279.0","-28,449.0","-29,384.0","-44,321.0","-31,946.0","-20,533.0","-15,804.0","-16,908.0","-10,300.0","-6,805.0","-4,834.0","-2,565.0","6,453.0","7,659.0","13,937.0","10,981.0","14,207.0","22,490.0","12,163.0","3,917.0","8,732.0","12,111.0","22,035.0","22,207.0","6,543.0","-11,150.0","-24,673.0","-53,532.0","-76,505.0","-106,450.0","-117,320.0","-123,318.0","-116,129.0","-126,941.0","-154,851.0","-136,745.0","-107,043.0","-86,993.0","-115,182.0","-122,581.0","-109,142.0","-86,553.0","-66,581.0","-70,679.0","-69,865.0","-59,280.0","-26,485.0","-21,343.0","-49,683.0","-60,119.0","-66,013.0","-55,397.0","-74,874.0","-94,637.0","-117,250.0","-120,876.0","-183,227.0","-238,870.0","-267,114.0","-266,688.0","-285,589.0","-268,265.0","-260,317.0","-262,939.0","-221,573.0","-204,370.0","-210,342.0","-188,622.0","-223,137.0","-230,267.0","-241,130.0","-255,243.0","-260,104.0","-254,209.0","-229,825.0","-197,614.0","-225,996.0","....."
"32","13","Consumption of fixed capital","A262RC1","120,457.0","123,462.0","126,288.0","129,245.0","132,182.0","135,213.0","138,293.0","141,443.0","144,569.0","147,528.0","150,313.0","153,052.0","156,127.0","159,022.0","162,388.0","166,049.0","170,242.0","175,077.0","180,430.0","186,569.0","193,626.0","201,606.0","210,347.0","219,090.0","227,680.0","234,963.0","241,095.0","246,409.0","250,771.0","255,805.0","261,719.0","268,544.0","276,176.0","284,101.0","292,186.0","300,871.0","309,925.0","319,686.0","329,983.0","340,659.0","352,194.0","364,476.0","377,338.0","390,519.0","404,216.0","418,468.0","433,185.0","448,164.0","463,319.0","478,260.0","492,396.0","506,207.0","519,551.0","531,067.0","539,993.0","546,652.0","551,308.0","556,606.0","563,380.0","570,889.0","580,015.0","589,250.0","598,973.0","609,098.0","620,076.0","630,888.0","642,135.0","653,514.0","664,953.0","676,598.0","687,818.0","699,283.0","709,816.0","721,229.0","733,697.0","747,066.0","761,583.0","775,627.0","789,362.0","802,976.0","816,406.0","829,732.0","842,790.0","855,513.0","868,244.0","880,751.0","893,272.0","905,048.0","917,236.0","927,766.0","936,599.0","942,900.0","947,429.0","954,581.0","963,015.0","973,874.0","985,783.0","997,741.0","1,009,297.0","1,021,572.0","1,033,169.0","1,046,766.0","1,062,432.0","1,079,923.0","1,099,521.0","1,116,078.0","1,131,259.0","1,144,277.0","1,156,013.0","1,168,345.0","1,182,337.0","1,197,384.0","1,214,240.0","1,231,658.0","1,248,466.0","1,265,454.0","1,281,947.0","1,300,142.0","1,319,343.0","1,339,652.0","1,360,197.0","1,385,083.0","1,412,774.0","1,445,391.0","1,481,171.0","1,508,918.0","1,528,140.0","1,538,730.0","1,570,810.0","1,598,725.0","1,615,953.0","1,630,427.0","1,640,168.0","1,652,512.0","1,669,276.0","1,686,319.0","1,701,964.0","1,716,489.0","1,735,005.0","1,755,423.0","1,783,255.0","1,813,170.0","1,846,081.0","1,884,290.0","1,922,025.0","1,959,330.0","2,000,928.0","2,045,542.0","2,082,213.0","2,119,070.0","2,152,752.0","2,190,041.0","2,227,439.0","2,253,666.0","2,276,470.0","2,299,826.0","2,327,744.0","2,353,002.0","2,379,699.0","2,393,049.0","2,385,637.0","2,366,950.0","2,355,166.0","2,365,772.0","2,369,828.0","2,374,946.0","2,382,463.0","2,399,128.0","2,417,882.0","2,443,394.0","2,465,084.0","2,483,931.0","2,507,611.0","2,533,706.0","2,555,134.0","2,575,007.0","2,603,826.0","2,631,876.0","2,659,623.0","2,691,127.0"
"33","14","  Private","A024RC1","86,068.0","88,342.0","90,571.0","92,752.0","94,886.0","97,089.0","99,359.0","101,698.0","104,104.0","106,479.0","108,822.0","111,134.0","113,413.0","115,956.0","118,762.0","121,831.0","125,163.0","129,026.0","133,421.0","138,345.0","143,802.0","149,727.0","156,119.0","162,981.0","170,311.0","176,634.0","181,954.0","186,264.0","189,571.0","193,669.0","198,561.0","204,248.0","210,725.0","217,475.0","224,498.0","231,796.0","239,367.0","247,494.0","256,178.0","265,420.0","275,217.0","285,342.0","295,793.0","306,569.0","317,671.0","329,034.0","340,657.0","352,540.0","364,687.0","376,442.0","387,809.0","398,782.0","409,367.0","418,010.0","424,713.0","429,477.0","432,297.0","436,021.0","440,648.0","446,178.0","452,610.0","459,546.0","466,985.0","474,929.0","483,374.0","491,968.0","500,708.0","509,594.0","518,628.0","527,419.0","535,968.0","544,275.0","552,340.0","561,152.0","570,713.0","581,022.0","592,078.0","602,991.0","613,757.0","624,378.0","634,857.0","645,138.0","655,224.0","665,113.0","674,807.0","684,356.0","693,755.0","703,014.0","712,126.0","719,862.0","726,222.0","731,206.0","734,814.0","739,994.0","746,749.0","755,076.0","764,977.0","774,933.0","784,945.0","795,012.0","805,134.0","816,859.0","830,189.0","845,119.0","861,653.0","876,638.0","890,074.0","901,959.0","912,296.0","923,925.0","936,850.0","951,069.0","966,582.0","982,183.0","997,872.0","1,013,648.0","1,029,513.0","1,046,030.0","1,063,199.0","1,081,022.0","1,099,496.0","1,121,452.0","1,146,893.0","1,175,815.0","1,208,221.0","1,232,522.0","1,248,726.0","1,256,827.0","1,287,026.0","1,313,170.0","1,328,947.0","1,341,636.0","1,349,342.0","1,359,619.0","1,374,083.0","1,389,015.0","1,401,610.0","1,413,241.0","1,428,595.0","1,446,031.0","1,470,097.0","1,494,449.0","1,520,659.0","1,551,989.0","1,584,936.0","1,616,004.0","1,650,795.0","1,689,457.0","1,721,352.0","1,751,082.0","1,778,972.0","1,808,631.0","1,837,506.0","1,857,451.0","1,873,967.0","1,890,972.0","1,911,700.0","1,930,318.0","1,949,602.0","1,955,869.0","1,944,437.0","1,924,830.0","1,912,631.0","1,920,712.0","1,919,662.0","1,918,944.0","1,921,933.0","1,933,593.0","1,947,294.0","1,967,148.0","1,984,054.0","1,999,266.0","2,018,684.0","2,040,958.0","2,059,792.0","2,077,568.0","2,103,307.0","2,128,499.0","2,153,477.0","2,180,260.0"
"34","15","    Domestic business","W276RC1","71,384.0","73,254.0","75,133.0","77,022.0","78,920.0","80,828.0","82,744.0","84,668.0","86,601.0","88,498.0","90,360.0","92,185.0","93,975.0","95,961.0","98,144.0","100,523.0","103,099.0","106,156.0","109,697.0","113,720.0","118,226.0","123,183.0","128,592.0","134,452.0","140,763.0","146,146.0","150,600.0","154,126.0","156,723.0","159,950.0","163,808.0","168,295.0","173,412.0","178,698.0","184,151.0","189,771.0","195,560.0","201,861.0","208,676.0","216,004.0","223,845.0","231,989.0","240,437.0","249,189.0","258,244.0","267,681.0","277,501.0","287,702.0","298,285.0","308,590.0","318,616.0","328,364.0","337,833.0","345,495.0","351,351.0","355,400.0","357,643.0","360,592.0","364,248.0","368,610.0","373,678.0","379,295.0","385,459.0","392,172.0","399,433.0","406,667.0","413,873.0","421,052.0","428,203.0","435,037.0","441,554.0","447,754.0","453,637.0","460,330.0","467,832.0","476,145.0","485,268.0","494,177.0","502,871.0","511,351.0","519,617.0","527,814.0","535,945.0","544,008.0","552,004.0","559,943.0","567,827.0","575,655.0","583,426.0","589,869.0","594,981.0","598,764.0","601,217.0","604,868.0","609,716.0","615,763.0","623,006.0","630,397.0","637,934.0","645,618.0","653,449.0","662,818.0","673,726.0","686,171.0","700,155.0","712,790.0","724,077.0","734,015.0","742,605.0","752,342.0","763,224.0","775,253.0","788,428.0","801,501.0","814,474.0","827,345.0","840,115.0","853,341.0","867,022.0","881,159.0","895,751.0","913,278.0","933,741.0","957,138.0","983,470.0","1,003,219.0","1,016,386.0","1,022,969.0","1,045,827.0","1,065,066.0","1,074,878.0","1,084,293.0","1,089,762.0","1,095,737.0","1,105,837.0","1,114,249.0","1,119,279.0","1,126,208.0","1,135,656.0","1,145,197.0","1,160,612.0","1,176,048.0","1,192,526.0","1,214,509.0","1,238,733.0","1,260,674.0","1,282,706.0","1,310,739.0","1,334,139.0","1,357,125.0","1,379,645.0","1,404,319.0","1,427,684.0","1,444,877.0","1,458,552.0","1,473,819.0","1,494,389.0","1,513,610.0","1,535,597.0","1,545,632.0","1,537,769.0","1,521,810.0","1,512,168.0","1,517,793.0","1,517,386.0","1,519,431.0","1,522,673.0","1,532,702.0","1,545,810.0","1,564,676.0","1,580,858.0","1,594,904.0","1,613,906.0","1,633,724.0","1,648,415.0","1,661,415.0","1,680,591.0","1,698,913.0","1,715,774.0","1,734,315.0"
"35","16","    Households and institutions","W279RC1","14,683.0","15,089.0","15,438.0","15,730.0","15,966.0","16,261.0","16,616.0","17,030.0","17,503.0","17,981.0","18,463.0","18,949.0","19,439.0","19,995.0","20,618.0","21,308.0","22,065.0","22,870.0","23,724.0","24,626.0","25,577.0","26,544.0","27,529.0","28,530.0","29,549.0","30,489.0","31,353.0","32,138.0","32,847.0","33,720.0","34,754.0","35,951.0","37,312.0","38,778.0","40,349.0","42,025.0","43,807.0","45,632.0","47,502.0","49,415.0","51,374.0","53,354.0","55,356.0","57,380.0","59,426.0","61,352.0","63,156.0","64,839.0","66,402.0","67,852.0","69,192.0","70,419.0","71,534.0","72,516.0","73,362.0","74,076.0","74,654.0","75,429.0","76,401.0","77,567.0","78,932.0","80,251.0","81,526.0","82,755.0","83,942.0","85,301.0","86,835.0","88,543.0","90,424.0","92,382.0","94,413.0","96,521.0","98,703.0","100,823.0","102,881.0","104,877.0","106,810.0","108,813.0","110,886.0","113,028.0","115,240.0","117,324.0","119,279.0","121,105.0","122,803.0","124,412.0","125,930.0","127,360.0","128,699.0","129,994.0","131,241.0","132,442.0","133,597.0","135,127.0","137,033.0","139,315.0","141,971.0","144,537.0","147,010.0","149,394.0","151,685.0","154,041.0","156,462.0","158,948.0","161,499.0","163,848.0","165,997.0","167,944.0","169,690.0","171,584.0","173,626.0","175,816.0","178,154.0","180,682.0","183,397.0","186,303.0","189,398.0","192,689.0","196,178.0","199,863.0","203,744.0","208,174.0","213,152.0","218,676.0","224,749.0","229,304.0","232,340.0","233,858.0","241,199.0","248,105.0","254,069.0","257,343.0","259,580.0","263,883.0","268,246.0","274,767.0","282,332.0","287,032.0","292,938.0","300,835.0","309,485.0","318,402.0","328,133.0","337,479.0","346,202.0","355,331.0","368,090.0","378,717.0","387,213.0","393,957.0","399,326.0","404,311.0","409,821.0","412,575.0","415,415.0","417,152.0","417,311.0","416,707.0","414,004.0","410,237.0","406,669.0","403,022.0","400,463.0","402,919.0","402,277.0","399,512.0","399,260.0","400,891.0","401,483.0","402,473.0","403,196.0","404,365.0","404,778.0","407,234.0","411,376.0","416,152.0","422,715.0","429,587.0","437,701.0","445,945.0"
"36","17","  Government","A264RC1","34,389.0","35,120.0","35,717.0","36,493.0","37,296.0","38,124.0","38,934.0","39,745.0","40,465.0","41,049.0","41,491.0","41,918.0","42,714.0","43,066.0","43,626.0","44,218.0","45,079.0","46,051.0","47,009.0","48,224.0","49,824.0","51,879.0","54,228.0","56,109.0","57,369.0","58,329.0","59,141.0","60,145.0","61,200.0","62,136.0","63,158.0","64,296.0","65,451.0","66,626.0","67,688.0","69,075.0","70,558.0","72,192.0","73,805.0","75,239.0","76,977.0","79,134.0","81,545.0","83,950.0","86,545.0","89,434.0","92,528.0","95,624.0","98,632.0","101,818.0","104,587.0","107,425.0","110,184.0","113,057.0","115,280.0","117,175.0","119,011.0","120,585.0","122,732.0","124,711.0","127,405.0","129,704.0","131,988.0","134,169.0","136,702.0","138,920.0","141,427.0","143,920.0","146,325.0","149,179.0","151,850.0","155,008.0","157,476.0","160,077.0","162,984.0","166,044.0","169,505.0","172,636.0","175,605.0","178,598.0","181,549.0","184,594.0","187,566.0","190,400.0","193,437.0","196,395.0","199,517.0","202,034.0","205,110.0","207,904.0","210,377.0","211,694.0","212,615.0","214,587.0","216,266.0","218,798.0","220,806.0","222,808.0","224,352.0","226,560.0","228,035.0","229,907.0","232,243.0","234,804.0","237,868.0","239,440.0","241,185.0","242,318.0","243,717.0","244,420.0","245,487.0","246,315.0","247,658.0","249,475.0","250,594.0","251,806.0","252,434.0","254,112.0","256,144.0","258,630.0","260,701.0","263,631.0","265,881.0","269,576.0","272,950.0","276,396.0","279,414.0","281,903.0","283,784.0","285,555.0","287,006.0","288,791.0","290,826.0","292,893.0","295,193.0","297,304.0","300,354.0","303,248.0","306,410.0","309,392.0","313,158.0","318,721.0","325,422.0","332,301.0","337,089.0","343,326.0","350,133.0","356,085.0","360,861.0","367,988.0","373,780.0","381,410.0","389,933.0","396,215.0","402,503.0","408,854.0","416,044.0","422,684.0","430,097.0","437,180.0","441,200.0","442,120.0","442,535.0","445,060.0","450,166.0","456,002.0","460,530.0","465,535.0","470,588.0","476,246.0","481,030.0","484,665.0","488,927.0","492,748.0","495,342.0","497,439.0","500,519.0","503,377.0","506,146.0","510,867.0"
"37","18","    Federal","A918RC1","25,172.0","25,572.0","25,960.0","26,400.0","26,896.0","27,360.0","27,828.0","28,228.0","28,648.0","28,936.0","29,144.0","29,264.0","29,792.0","29,924.0","30,184.0","30,420.0","30,892.0","31,440.0","31,976.0","32,632.0","33,308.0","34,120.0","35,176.0","36,104.0","36,796.0","37,492.0","38,076.0","38,776.0","39,524.0","40,144.0","40,988.0","41,860.0","42,572.0","43,376.0","43,996.0","44,968.0","46,000.0","47,020.0","48,000.0","48,812.0","49,796.0","51,020.0","52,424.0","53,780.0","55,260.0","56,968.0","58,748.0","60,592.0","62,368.0","64,436.0","66,216.0","68,088.0","70,024.0","72,020.0","73,552.0","75,076.0","76,608.0","77,976.0","79,796.0","81,468.0","83,760.0","85,552.0","87,304.0","88,996.0","90,812.0","92,408.0","94,236.0","95,940.0","97,560.0","99,412.0","101,120.0","103,164.0","104,768.0","106,416.0","108,364.0","110,620.0","113,096.0","115,356.0","117,352.0","119,408.0","121,388.0","123,292.0","125,132.0","126,832.0","128,664.0","130,324.0","132,044.0","133,560.0","135,664.0","137,392.0","138,968.0","139,592.0","139,920.0","140,864.0","141,700.0","143,220.0","143,996.0","144,856.0","145,556.0","146,728.0","146,924.0","147,704.0","148,656.0","149,952.0","151,484.0","151,724.0","152,276.0","152,184.0","152,544.0","152,448.0","152,412.0","152,204.0","152,508.0","153,136.0","153,344.0","153,124.0","152,720.0","153,296.0","153,688.0","154,604.0","155,244.0","156,324.0","157,004.0","158,624.0","160,008.0","161,040.0","162,096.0","162,808.0","162,932.0","163,276.0","163,368.0","163,608.0","164,072.0","164,488.0","165,352.0","166,212.0","167,656.0","169,364.0","171,272.0","172,968.0","175,040.0","177,380.0","179,660.0","182,408.0","185,172.0","187,928.0","190,624.0","193,724.0","196,612.0","199,368.0","202,000.0","204,840.0","208,224.0","211,264.0","214,436.0","217,280.0","221,152.0","224,780.0","228,448.0","231,008.0","232,732.0","233,992.0","234,832.0","236,612.0","240,152.0","244,072.0","246,936.0","250,140.0","253,224.0","256,084.0","257,928.0","258,600.0","260,432.0","261,940.0","262,944.0","263,716.0","265,580.0","266,820.0","267,832.0","270,244.0"
"38","19","    State and local","A919RC1","9,217.0","9,548.0","9,757.0","10,093.0","10,400.0","10,764.0","11,106.0","11,517.0","11,817.0","12,113.0","12,347.0","12,654.0","12,922.0","13,142.0","13,442.0","13,798.0","14,187.0","14,611.0","15,033.0","15,592.0","16,516.0","17,759.0","19,052.0","20,005.0","20,573.0","20,837.0","21,065.0","21,369.0","21,676.0","21,992.0","22,170.0","22,436.0","22,879.0","23,250.0","23,692.0","24,107.0","24,558.0","25,172.0","25,805.0","26,427.0","27,181.0","28,114.0","29,121.0","30,170.0","31,285.0","32,466.0","33,780.0","35,032.0","36,264.0","37,382.0","38,371.0","39,337.0","40,160.0","41,037.0","41,728.0","42,099.0","42,403.0","42,609.0","42,936.0","43,243.0","43,645.0","44,152.0","44,684.0","45,173.0","45,890.0","46,512.0","47,191.0","47,980.0","48,765.0","49,767.0","50,730.0","51,844.0","52,708.0","53,661.0","54,620.0","55,424.0","56,409.0","57,280.0","58,253.0","59,190.0","60,161.0","61,302.0","62,434.0","63,568.0","64,773.0","66,071.0","67,473.0","68,474.0","69,446.0","70,512.0","71,409.0","72,102.0","72,695.0","73,723.0","74,566.0","75,578.0","76,810.0","77,952.0","78,796.0","79,832.0","81,111.0","82,203.0","83,587.0","84,852.0","86,384.0","87,716.0","88,909.0","90,134.0","91,173.0","91,972.0","93,075.0","94,111.0","95,150.0","96,339.0","97,250.0","98,682.0","99,714.0","100,816.0","102,456.0","104,026.0","105,457.0","107,307.0","108,877.0","110,952.0","112,942.0","115,356.0","117,318.0","119,095.0","120,852.0","122,279.0","123,638.0","125,183.0","126,754.0","128,405.0","129,841.0","131,092.0","132,698.0","133,884.0","135,138.0","136,424.0","138,118.0","141,341.0","145,762.0","149,893.0","151,917.0","155,398.0","159,509.0","162,361.0","164,249.0","168,620.0","171,780.0","176,570.0","181,709.0","184,951.0","188,067.0","191,574.0","194,892.0","197,904.0","201,649.0","206,172.0","208,468.0","208,128.0","207,703.0","208,448.0","210,014.0","211,930.0","213,594.0","215,395.0","217,364.0","220,162.0","223,102.0","226,065.0","228,495.0","230,808.0","232,398.0","233,723.0","234,939.0","236,557.0","238,314.0","240,623.0"
"39","20","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1","235,510.0","233,079.0","238,928.0","231,313.0","230,901.0","235,525.0","237,632.0","230,225.0","251,882.0","255,732.0","260,891.0","254,070.0","267,959.0","283,017.0","288,629.0","299,562.0","322,699.0","339,201.0","341,367.0","362,446.0","355,849.0","356,162.0","349,444.0","365,181.0","345,258.0","343,955.0","369,026.0","387,719.0","410,730.0","420,302.0","419,402.0","429,407.0","443,755.0","475,103.0","499,914.0","496,653.0","503,390.0","562,724.0","590,699.0","628,440.0","633,821.0","653,589.0","673,417.0","673,521.0","679,675.0","663,875.0","657,586.0","697,113.0","767,473.0","755,373.0","805,090.0","799,838.0","739,156.0","767,610.0","736,409.0","695,541.0","722,166.0","753,427.0","779,013.0","839,879.0","896,135.0","920,720.0","942,474.0","933,397.0","928,300.0","934,346.0","927,605.0","950,593.0","963,707.0","948,032.0","931,918.0","934,522.0","967,686.0","973,899.0","981,418.0","1,047,849.0","1,035,218.0","1,083,067.0","1,094,251.0","1,105,942.0","1,162,086.0","1,174,917.0","1,189,842.0","1,184,207.0","1,207,413.0","1,230,307.0","1,208,971.0","1,188,904.0","1,261,903.0","1,236,437.0","1,229,983.0","1,256,860.0","1,235,268.0","1,271,380.0","1,265,751.0","1,281,721.0","1,315,794.0","1,314,100.0","1,310,806.0","1,339,907.0","1,393,253.0","1,447,133.0","1,433,107.0","1,470,207.0","1,514,366.0","1,495,289.0","1,510,871.0","1,559,787.0","1,567,900.0","1,628,017.0","1,663,515.0","1,692,034.0","1,721,144.0","1,818,758.0","1,834,580.0","1,808,770.0","1,872,815.0","1,836,406.0","1,867,733.0","1,911,783.0","1,963,537.0","1,930,297.0","1,947,078.0","2,002,002.0","1,947,986.0","2,068,372.0","2,020,820.0","2,022,399.0","1,948,898.0","2,005,066.0","1,932,396.0","1,923,616.0","1,938,658.0","1,912,817.0","1,920,678.0","1,902,363.0","1,884,222.0","1,915,472.0","2,010,174.0","2,108,780.0","2,096,155.0","2,134,719.0","2,175,227.0","2,167,820.0","2,278,320.0","2,277,919.0","2,317,983.0","2,340,286.0","2,447,862.0","2,445,334.0","2,388,305.0","2,467,652.0","2,416,481.0","2,511,131.0","2,580,304.0","2,599,638.0","2,429,476.0","2,419,709.0","2,386,165.0","2,288,220.0","2,220,131.0","2,124,831.0","2,057,843.0","2,173,142.0","2,179,695.0","2,287,847.0","2,338,718.0","2,386,215.0","2,290,917.0","2,360,280.0","2,428,746.0","2,550,974.0","2,582,079.0","2,634,746.0","2,692,813.0","2,711,067.0","2,715,869.0","2,806,697.0","2,959,781.0","....."
