"","Table 3#7# Government Current Transfer Receipts                 ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","4","    Deposit insurance premiums \1\","B1041C1","0.0","0.0","0.0","0.0","0.0","0.0","12.0","37.0","40.0","40.0","43.0","49.0","54.0","61.0","74.0","86.0","99.0","113.0","122.0","130.0","134.0","64.0","66.0","71.0","77.0","82.0","91.0","97.0","103.0","115.0",126,132,"135.0","148.0","162.0","183.0","202.0","212.0","255.0","272.0","257.0"
"23","5","    Other \2\","B1042C1","56.0","56.0","49.0","43.0","36.0","37.0","39.0","39.0","42.0","45.0","44.0","46.0","55.0","67.0","112.0","219.0","217.0","95.0","140.0","128.0","111.0","91.0","99.0","102.0","91.0","94.0","106.0","135.0","132.0","127.0",103,129,"177.0","194.0","244.0","376.0","683.0","759.0","654.0","639.0","680.0"
"24","6","  State and local (net)","W076RC1","57.0","59.0","62.0","65.0","62.0","60.0","63.0","63.0","67.0","68.0","67.0","69.0","68.0","75.0","69.0","74.0","75.0","56.0","61.0","79.0","89.0","114.0","122.0","136.0","144.0","172.0","170.0","184.0","193.0","221.0",107,169,"228.0","226.0","255.0","258.0","335.0","308.0","457.0","484.0","530.0"
"25","7","    Fines","S230561",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",28,16,"48.0","71.0","49.0","63.0","55.0","92.0","128.0","160.0","184.0"
"26","8","    Net insurance settlements","W098RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",-8,17,"15.0","8.0","27.0","13.0","38.0","-16.0","8.0","9.0","9.0"
"27","9","    Other \3\","S230571",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",87,136,"165.0","147.0","179.0","182.0","242.0","232.0","321.0","315.0","337.0"
"28","10","From persons","W062RC1","335.0","301.0","228.0","198.0","164.0","160.0","158.0","159.0","162.0","164.0","151.0","150.0","156.0","180.0","216.0","248.0","269.0","247.0","219.0","276.0","318.0","314.0","349.0","369.0","410.0","437.0","430.0","488.0","567.0","574.0",320,342,"476.0","543.0","530.0","602.0","578.0","778.0","982.0","1,039.0","1,128.0"
"29","11","  Federal \4\","B233RC1","24.0","29.0","20.0","16.0","16.0","13.0","14.0","17.0","21.0","20.0","15.0","16.0","21.0","42.0","79.0","108.0","118.0","97.0","40.0","34.0","35.0","32.0","46.0","53.0","64.0","63.0","50.0","55.0","45.0","47.0",44,41,"45.0","52.0","57.0","58.0","52.0","48.0","59.0","42.0","61.0"
"30","12","  State and local","B246RC1","311.0","272.0","208.0","182.0","148.0","147.0","144.0","142.0","141.0","144.0","136.0","134.0","135.0","138.0","137.0","140.0","151.0","150.0","179.0","242.0","283.0","282.0","303.0","316.0","346.0","374.0","380.0","433.0","522.0","527.0",276,301,"431.0","491.0","473.0","544.0","526.0","730.0","923.0","997.0","1,067.0"
"31","13","    Fines","S210661",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",150,123,"217.0","289.0","226.0","272.0","257.0","363.0","484.0","513.0","559.0"
"32","14","    Other \5\","S210671",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",126,178,"214.0","202.0","247.0","272.0","269.0","367.0","439.0","484.0","508.0"
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Beginning in 2008, includes receipts for the U.S. Treasury's Temporary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Guarantee Program for Money Market Funds and the Federal Deposit Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Corporation's (FDIC) Temporary Liquidity Guarantee Program.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Consists largely of fines and fees, less net insurance settlements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Consists largely of donations.  Beginning with 1997, includes settlements",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","of lawsuits with tobacco companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4. Consists of fines, immigration fees, certain penalty taxes, and excise taxes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","paid by nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","5. Consists largely of donations and other miscellaneous transfers, including",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","unclaimed bank deposits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
