"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"24","16","      Owner-occupied housing","W498RC1",15.4,16.7,18.8,21.7,25.3,29,32.6,37.5,44.5,53.3,64.9,77.7,90.7,104.5,115.1,129.8,145.4,160.5,171.6,183.8,199.9,214.4,220.1,222.2,219.4,223.6,243.9,252.9,268.7,280.9,299.6,330.2,351.2,354.8,348.7,353.3,402.9,463.5,510.9,513.8,467.8,425,389.6,361.9
"25","17","      Persons \3\","W293RC1",15.7,16.8,17.8,19.6,22.4,24.2,24.5,26.6,30.7,37.5,44.5,53.3,60.8,67.2,72,83.2,95.3,102,101.8,106.5,119,124.5,126.2,122.3,120.5,127.4,148.9,166.7,180.7,192.5,199.9,228.3,233.9,223.3,220.2,233,260.8,289.1,321.8,304.4,287.3,269.8,265.9,269
"26","18","    Nonprofit institutions","W319RC1",0.6,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.7,2.1,2.7,3.4,4.4,5.2,6.1,8.2,7.8,9.1,9.5,10.7,11.7,11.9,12.3,12.8,14.8,13.9,14.7,15.7,16.4,16.9,17.3,17.6,17.6,17.2,16.6,16,15.5,15.3,15.2,14.9,14.2,13.4,12.6,12
"27","19","  Government","W500RC1",20.7,23.4,24.5,26.3,31.3,35.6,40,46.3,50.8,60.2,72.9,89.1,116.7,138.9,156.9,187.3,211.5,226.1,236.5,253.7,276.9,297.8,314.6,316.3,318.1,327.1,358.3,368.1,373.7,375.3,362,366.3,344.5,317.5,305.4,313.2,352.6,383.5,425.3,410.8,373,402.9,450.6,447.9
"28","20","    Federal","Y669RC1",15.8,17.7,17.9,18.8,22.8,26,28.9,33.8,37.1,45.3,55.7,69.7,93.9,111.8,124.6,150.3,169.4,178.2,184.6,199.3,219.3,237.5,250.9,251.3,253.4,261.3,290.4,297.3,300,298.8,282.7,283.3,258.6,229.1,213.5,220.9,257.5,280.7,314.6,294.2,253.8,281.3,324.9,317.8
"29","21","    State and local","W497RC1",4.8,5.6,6.5,7.5,8.5,9.6,11.1,12.5,13.7,14.9,17.2,19.4,22.8,27.1,32.3,37,42.1,48,51.9,54.4,57.6,60.4,63.7,65,64.7,65.7,67.9,70.9,73.7,76.4,79.3,83.1,85.9,88.4,91.9,92.3,95.1,102.8,110.8,116.7,119.2,121.7,125.7,130.1
"30","22","  Rest of the world","W290RC1",3.7,4.1,4.1,4.4,6,9.5,9.9,11.5,13.7,18,27.5,37.5,57.1,65.2,60.7,76,65.5,61.2,62.7,78.9,100.4,105.9,90.5,70.8,63.6,76.5,98.8,103.6,121.1,135.7,137.8,172.7,133.8,101.5,96.4,112.6,184,279.5,353.3,261,135.7,122.4,136.9,140.9
"31","23","    To business and persons","B1132C1",2.7,3.2,3.2,3.5,5,8.5,8.8,10.2,12.1,16.2,25.2,35,53.9,61.6,56.2,71,59.8,54.6,56.9,71.6,94.8,97.4,84.7,65.7,59.7,73.3,94.9,99.5,117.9,132.6,134.9,169.2,130.6,98.5,91.9,109.7,181.5,277.2,351.3,259.1,134.5,121.2,135.2,139.4
"32","24","    To federal government","B1133C1",0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.3,1.6,1.8,2.2,2.5,3.1,3.6,4.6,5,5.7,6.7,5.8,7.3,5.6,8.5,5.9,5.1,3.9,3.2,3.9,4.1,3.2,3.2,2.9,3.6,3.2,3,4.5,2.8,2.6,2.3,2,1.9,1.2,1.2,1.6,1.5
"33","25","Monetary interest received","A2068C1",123.4,141.8,151,168.6,213.5,267,276.1,298.2,338.1,412.8,537.9,687.8,915.4,1028.1,1015.3,1181.9,1263.8,1313.1,1374.8,1546.9,1824.8,1858.1,1755.5,1578.6,1514.6,1628.2,1891.6,1976.9,2147.5,2328.4,2430.6,2856.5,2732.1,2284.4,2142,2324.6,3002.9,3852.8,4493.4,3848.3,2860,2609.4,2601.8,2498.6
"34","26","  Domestic business \1\","A2069C1",76.2,87.8,93.5,105.6,136.7,172.8,177.2,191.7,214,263.1,343.2,436.4,582.4,645.1,638,711.3,779.3,810.7,868.6,987.9,1169.4,1183.2,1124.7,1010.7,981.6,1074,1269.9,1323.1,1451.7,1555.9,1661.9,1972.1,1873,1566,1468.9,1682.4,2133.3,2730.2,3151.5,2635.9,1924.3,1777.2,1777.7,1692.2
"35","27","    Corporate business","A2070C1",75.5,87.1,92.6,104.5,135.7,171.4,175.7,190.3,212.7,261.3,339.8,430.4,574.3,637.8,630.3,704.8,771.1,802.1,862.1,978.8,1160.1,1173,1114.2,1002.4,972.3,1062.3,1248.7,1300.1,1423.3,1520.6,1618.4,1912.6,1811,1514,1414.3,1612.9,2028.4,2576.6,2936.9,2430.6,1777,1623.9,1633.7,1556.8
"36","28","      Financial \4\","B1134C1",68.2,78.6,83.9,94.8,121.4,152.2,156.5,169,188,229.5,294.4,369.6,491.1,551.7,546.9,606.8,661.8,686.6,745.3,845,998.4,1006.7,949.4,853.2,834.1,911.8,1075.5,1104.7,1207.7,1314.7,1399,1651.3,1565.9,1295.1,1206.8,1391.8,1764.1,2251.4,2588,2157.9,1588.3,1470.4,1479.1,1403.6
"37","29","      Nonfinancial","B1135C1",7.3,8.5,8.7,9.6,14.3,19.2,19.2,21.3,24.7,31.8,45.5,60.8,83.2,86,83.4,97.9,109.4,115.5,116.8,133.8,161.7,166.3,164.8,149.2,138.2,150.5,173.2,195.4,215.6,205.8,219.4,261.4,245.1,218.9,207.5,221.1,264.3,325.3,349,272.6,188.7,153.5,154.6,153.2
"38","30","    Financial sole proprietorships and partnerships \5\","B1136C1",0.7,0.7,0.8,1.1,1.1,1.3,1.4,1.3,1.2,1.7,3.1,5.7,7.8,7,7.5,6.3,8,8.4,6.3,8.9,9.1,9.9,10.2,8.2,9.2,11.6,21.2,22.9,28.4,35.3,43.5,59.5,62,51.9,54.6,69.5,104.9,153.5,214.5,205.3,147.3,153.2,143.9,135.3
"39","31","    Other private business","B1137C1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","32","  Persons \5\","B1138C1",39,44.5,48.4,52.5,61.8,74.1,78.3,85.9,100.7,114.7,142.3,183.2,241,275.7,268.8,336,342.5,350.3,345.1,371.4,434.2,446.3,417.1,385.3,358.5,360.1,389.3,404.4,413.4,473.9,456.9,512.8,520.5,434.5,410.4,345.6,464.3,559.2,651,622.6,508.7,435.7,431.7,429.1
"41","33","  Government","A2071C1",4.6,5.3,5.4,5.8,7.7,10.1,10.8,11.1,12.9,18.1,25.4,33.1,42.4,49.1,54,62.6,70.2,75.5,73.6,79.7,84,87.2,84.3,77,74.8,73.9,79.8,85.5,87.8,87.3,89.9,99.7,94.6,80.7,75.6,77.6,88.5,107.5,120.3,105.1,92.6,93.6,90.1,81.3
"42","34","    Federal","B1139C1",1.9,2,2,2,2.1,2.4,2.9,3.5,4.1,6.2,8.4,10.8,14.4,17.4,19.6,22.3,24.5,27.1,24.2,26.6,25.1,26,24.6,21.1,22,19.4,20.2,21.9,20.3,16.8,16,18.3,17.8,14.8,16.1,16.5,17.2,18.6,21.9,19.4,22.6,29.3,28.3,22
"43","35","    State and local","B1140C1",2.8,3.3,3.4,3.8,5.5,7.7,7.9,7.6,8.7,11.9,17.1,22.2,28,31.6,34.4,40.3,45.7,48.4,49.4,53.1,58.9,61.2,59.7,55.9,52.8,54.5,59.6,63.5,67.5,70.5,73.9,81.5,76.8,65.9,59.4,61.1,71.3,88.9,98.4,85.7,70,64.3,61.8,59.3
"44","36","  Rest of the world","A2072C1",3.6,4.2,3.7,4.6,7.3,10.1,9.8,9.5,10.6,16.9,27,35.2,49.5,58.2,54.5,72,71.8,76.7,87.5,107.9,137.2,141.4,129.4,105.6,99.8,120.3,152.6,164,194.5,211.2,221.9,271.9,244,203.2,187.1,219,316.8,455.9,570.6,484.7,334.4,302.9,302.4,296.1
"45","37","    From business","B1141C1",2.8,3.2,2,2.1,3.6,6,5.4,5.2,5.3,8.6,16.4,23.3,33.3,40.2,36.4,51.9,49.7,53.3,63.4,79.2,102.7,105.3,93.3,71.3,65.6,83.9,105.5,107.2,124.8,139.1,155.1,207.5,186.9,153.9,139.7,164.2,248.8,370,471.6,387.7,245.6,210.3,204.9,203.1
"46","38","    From federal government","B093RC1",0.8,0.9,1.8,2.6,3.7,4,4.3,4.3,5.2,8.2,10.6,11.9,16.3,18,18.1,20.2,22.2,23.3,24.1,28.8,34.5,36.1,36.1,34.3,34.2,36.4,47.1,56.8,69.7,72.1,66.7,64.4,57.1,49.3,47.4,54.8,68,85.9,99,97.1,88.8,92.6,97.5,93
"47",NA,"          Imputed interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","39","Total imputed interest paid (41+76)","W294RC1",49.3,64.9,75.3,82.5,84.2,95.9,133.5,127.8,139.5,151.4,144.2,160.9,174.4,236.7,314.4,301.7,344.7,382,408.8,424.2,440.1,456.9,466.9,497,516.3,523,551.6,540.3,564.6,552,550.2,573.4,598.2,642.3,679.2,695.6,705,719.7,745.3,832.7,903.1,896.1,899.4,913.4
"49","40","Total imputed interest received (54+95)","W295RC1",49.3,64.9,75.3,82.5,84.3,95.9,133.5,127.8,139.5,151.4,144.2,160.9,174.4,236.7,314.4,301.7,344.7,382,408.8,424.2,440.1,456.9,466.9,497,516.3,523,551.6,540.3,564.6,552,550.2,573.4,598.2,642.3,679.2,695.6,705,719.7,745.3,832.7,903.1,896.1,899.4,913.4
"50",NA,"Depositor, insurance, and pension services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","41","  Imputed interest paid","A2073C1",57.1,72.1,80.9,88.9,95.4,109.5,137.2,139,154.1,173.8,178.9,204.5,228,274.1,330,333.3,366.3,400.4,428.2,447.7,468.9,488.3,497.3,526.8,547.3,558.3,590,584.8,617.1,613,620,655.2,682.2,724.4,763.7,784.8,807.1,842.4,888.8,971.8,1025.2,1019.2,1019.4,1049.6
"52","42","    Domestic corporate business","Y665RC1",43.3,54.1,60.7,66.4,71.2,82.9,108,108.9,120.5,133.9,136.9,160.4,182,226.1,280.4,283.6,316.7,349.7,377.9,397.5,412.7,434,438.6,461,480,490.8,517.2,518.6,552.8,558.3,568.7,611.6,624.7,648.9,654.9,674,698.6,725.4,775.3,856.5,844.6,839.8,845.2,856.3
"53","43","      Financial","W353RC1",42.6,53,59.6,65.2,69.5,80.7,104.3,105.1,116.2,130.9,135.4,156.5,176.6,220.7,274.5,275.4,316.7,346.8,369.6,385.4,405.1,421.2,431.4,453.1,475,486.7,519.4,523.2,562.7,568.9,582.6,618.3,616.2,628.6,650.5,669.1,697.7,730.9,777.5,820.3,819,818.6,823.8,836.6
"54","44","        Banks, credit agencies, and investment companies","B1310C1",13.8,17.6,20.1,21.6,21.5,26,40.6,35.7,37.7,41.2,38.8,37.9,36.3,57.1,90.2,80.8,107,110.6,110.6,112.4,109.6,105.4,105.6,120.2,132.4,142,145.2,150.4,161.2,170,178.3,190.4,184,190.5,196.8,211.8,226.3,227.7,240.2,242,221.9,231.3,232.2,229.1
"55","45","        Life insurance carriers","B1311C1",8.1,8.6,9.4,10,11.2,12.9,14.7,16.3,19.2,22.2,22.5,30.6,37,43,49.8,58.3,67.5,76.8,86.3,91.9,103.6,112.3,118.1,120.3,128.9,121.2,142.9,147.1,172.8,178.1,188.4,212,195.6,172.5,171.4,177.5,196.1,227.4,255.2,251,238.1,235.2,237.2,234.6
"56","46","        Property and casualty insurance companies","W354RC1",0.9,1.1,1.4,1.5,1.6,1.8,2.2,2.7,3.4,4,4.5,5.1,5.8,6.5,7.6,9.1,12.2,17.2,19.2,19.7,20.6,21.8,22.7,23.2,25.9,27.3,26.4,26.7,26.8,27.2,27.5,29.4,31.1,33.1,34.2,33.2,31.6,32,31.5,34.3,27.6,24.1,24.8,30.2
"57","47","        Employee pension plans \6\","Y698RC1",19.8,25.7,28.7,32.1,35.2,39.9,46.6,50.3,55.7,63.4,69.6,82.7,97.3,113.9,126.7,126.9,130,142.1,153.2,160.8,170.9,181.1,184.6,189,187.6,196,205.1,199.5,203,194.8,189.9,187.2,204.7,230.7,248,246.5,243.3,244,250.7,289.2,328.4,325.4,326.6,340.3
"58","48","        Other \7\","Y666RC1",0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0,0.1,0.4,0.6,0.4,0.6,0.3,0.4,0.2,0.2,-0.3,-0.6,-1.1,-1.2,-1.6,-0.8,0.8,1.8,0.2,0.1,0.3,-0.1,-0.1,3.8,2.9,2.6,3,2.4
"59","49","      Nonfinancial \8\","Y667RC1",0.7,1.1,1.1,1.2,1.7,2.3,3.7,3.8,4.3,3,1.4,3.9,5.4,5.4,5.9,8.2,0,2.9,8.3,12.1,7.6,12.8,7.2,7.9,5.1,4,-2.1,-4.6,-9.9,-10.6,-13.9,-6.7,8.5,20.3,4.3,5,0.8,-5.5,-2.2,36.2,25.6,21.2,21.4,19.7
"60","50","    Government \8\","Y668RC1",13.8,18,20.2,22.5,24.2,26.6,29.2,30.2,33.7,39.9,42,44.1,46,48,49.6,49.7,49.6,50,49.4,49.4,55.2,53.2,57.5,64.4,65.8,65.8,70.9,64.5,62.4,52,48.3,39.9,52.6,69.9,102.8,103.8,104.1,109.6,105.2,105,170.3,170.7,166,185.1
"61","51","      Federal","Y282RC1",11.6,15.6,17.3,18.9,20.5,22,23.5,25.1,28.1,33.8,35.8,37.8,39.5,40.9,42.4,43.5,44.3,46,47.7,48.6,50.3,51.6,53.4,55.6,58.1,59.5,61.9,62.7,65.6,66.7,69.5,70.5,72.6,73.6,79.1,85.2,86.9,91.6,93.7,93.8,99.8,99.3,97.7,102.8
"62","52","      State and local","Y315RC1",2.2,2.4,2.9,3.6,3.7,4.6,5.7,5,5.5,6.1,6.2,6.2,6.4,7.1,7.2,6.2,5.3,4,1.7,0.8,4.9,1.6,4.1,8.8,7.7,6.3,8.9,1.7,-3.2,-14.7,-21.2,-30.6,-20,-3.7,23.7,18.6,17.2,17.9,11.5,11.2,70.4,71.4,68.3,82.3
"63","53","    Rest of the world","W355RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7.4,8.3,10.4,10.3,8.7,8.1,8.2
"64","54","  Imputed interest received","A2074C1",57.1,72.1,80.9,88.9,95.4,109.5,137.2,139,154.1,173.8,178.9,204.5,228,274.1,330,333.3,366.3,400.4,428.2,447.7,468.9,488.3,497.3,526.8,547.3,558.3,590,584.8,617.1,613,620,655.2,682.2,724.4,763.7,784.8,807.1,842.4,888.8,971.8,1025.2,1019.2,1019.4,1049.6
"65","55","    Domestic business \1\","A2075C1",19.8,25.8,29.1,31.8,33.4,37.9,48.2,46.8,51.4,57.4,57.2,63.4,68.1,82,90.5,88.5,81.5,89.2,95.4,99.5,99.1,103.2,99.8,108.8,110.4,111,109.8,102.2,97.2,87.5,81.1,84.8,119.8,155.8,173.7,175.8,170.4,172.8,175.6,218.1,256.2,245.9,232.7,252.7
"66","56","      Corporate business","A2076C1",18.6,24.3,27.5,30,31.9,36.1,45.2,44.6,49.1,54.6,54.3,60.2,64.5,73.7,80.1,80,73.1,80.2,86.6,90.7,90.1,95,92.2,100.9,101.3,101.1,98.8,90.3,84.5,73.8,66.9,69.3,103.9,139.5,156,157.5,151.3,152.6,157,203.8,246.3,237.2,231.7,247.6
"67","57","        Financial","B1143C1",15.8,20.8,23.3,25.5,27.8,31.2,36.4,37.2,41.4,46.8,47.5,52.1,56.1,60.3,63.4,64.8,58.9,63.2,68.9,73.1,72.8,78.3,76.5,84.8,83.4,80.9,77.6,68.4,62.3,51.2,43.9,44.2,78.5,112.3,127.1,126.7,118.7,120.3,126.6,173.6,220.4,213.2,206.3,223
"68","58","        Nonfinancial","B1144C1",2.8,3.5,4.2,4.5,4.2,5,8.9,7.4,7.8,7.8,6.8,8,8.4,13.4,16.8,15.2,14.2,17,17.7,17.7,17.3,16.7,15.8,16.1,17.9,20.2,21.3,21.9,22.2,22.6,23,25.1,25.4,27.2,28.9,30.8,32.6,32.3,30.4,30.1,25.9,24,25.4,24.7
"69","59","      Sole proprietorships and partnerships","A2077C1",1.1,1.4,1.6,1.8,1.5,1.7,2.9,2.2,2.2,2.7,2.9,3.1,3.5,8.2,10.2,8.4,8.2,8.8,8.5,8.5,8.8,8,7.3,7.7,8.8,9.7,10.7,11.5,12.6,13.6,14,15.3,15.5,15.9,17.1,17.7,18.6,19.7,18.2,13.8,9.5,8.3,0.7,4.6
"70","60","        Farm","B1146C1",0.3,0.3,0.4,0.4,0.4,0.5,0.8,0.6,0.6,0.6,0.5,0.4,0.4,1,1,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,1,0.9,0.8,0.8,0.8,0.9,0.9,0.9,1,0.9,0.6,0.4,0.3,-0.3,0
"71","61","        Nonfarm","B1145C1",0.9,1.1,1.2,1.3,1.1,1.3,2.1,1.6,1.7,2.1,2.4,2.7,3,7.2,9.2,7.7,7.6,8.3,8.1,8.1,8.4,7.6,6.9,7.3,8.3,9.2,10.1,10.8,11.7,12.6,13.1,14.5,14.6,15,16.2,16.8,17.7,18.7,17.3,13.2,9.1,8,0.9,4.6
"72","62","      Other private business","B2078C1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4
"73","63","    Households and nonprofit institutions","W314RC1",35.5,43.9,49,54,59,68.2,84.1,87.9,98.2,112.7,118.8,139,158.5,188.3,232.6,238.8,273.4,299.5,323.2,338.9,360.6,376.8,388.9,408.6,426.3,435.1,467.7,470.9,508.2,514.2,527.5,558.5,552.9,558.5,579.1,597.4,625.1,656.9,700.5,740.4,756.5,760.5,773.6,783.8
"74","64","      Households","W315RC1",35.5,43.9,48.9,54,59,68.2,84.1,87.9,98.1,112.6,118.7,138.9,158.3,188,232.3,238.5,272.8,298.7,322.3,338,359.7,375.9,388,407.7,425.2,433.8,466.6,469.8,507,513.1,526.3,557.3,551.6,557.2,577.7,596.1,623.8,655.6,699.2,739.2,755.5,759.6,772.7,782.8
