"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"23","16","    Gross value added of financial corporate business \1\","A454RC1",36.2,39.4,43.1,47.2,51.7,59.9,67.6,73,85.5,103.4,114.6,128.5,146.8,164.5,187.4,209.7,236.3,247.1,260.4,276.8,308.2,316,332.3,373.4,391.6,402.8,442.5,484,545.2,612.1,645.6,714.3,754.8,779.9,819.8,859.8,951.9,1038.3,985.2,836,964.4,994.2,999.8,1058.8
"24","17","    Gross value added of nonfinancial corporate business \1\","A455RC1",554.6,572.8,618,685.9,768.8,830.1,898.3,1014.8,1147.5,1304.1,1450.4,1574.2,1788.4,1854.3,1985.5,2225.5,2369.5,2465.3,2642.5,2874.5,3020.8,3161.2,3231.8,3377.1,3535.3,3816.5,4041.4,4296.1,4608.4,4873.7,5169.9,5513,5471.2,5538.9,5724.4,6107.9,6532.1,6988,7203.9,7258.1,6861.4,7243.1,7636.4,8030.8
"25","18","Consumption of fixed capital","B456RC1",53.5,59.3,64.7,70.2,78.2,91.4,107.7,118.3,132.6,150.2,172.4,198.9,229.1,253.9,264.6,279,299,317.9,334.7,357.7,380.1,403,424.5,437.8,457.9,484.8,523.7,557.4,598.4,638.2,683.4,741.9,785.3,804.7,818,850.2,909.9,979.4,1040.3,1093.9,1092,1094.6,1135.8,1188.2
"26","19","Net value added","A457RC1",501.1,513.6,553.3,615.8,690.7,738.7,790.6,896.5,1015,1154,1278,1375.4,1559.3,1600.4,1720.9,1946.6,2070.6,2147.5,2307.8,2516.8,2640.7,2758.3,2807.3,2939.4,3077.3,3331.8,3517.7,3738.8,4010,4235.5,4486.5,4771.1,4685.9,4734.2,4906.5,5257.7,5622.2,6008.7,6163.6,6164.2,5769.4,6148.6,6500.6,6842.7
"27","20","  Compensation of employees","A460RC1",356.1,374.5,396.2,439.9,495.1,542.9,569,640,723.3,829.5,942.4,1030.7,1139.9,1183.3,1250.1,1388.2,1490.1,1578.2,1685.5,1825.3,1934.8,2037.5,2071.1,2188.7,2271,2398.7,2524.6,2667.7,2862.6,3093.8,3310,3597.3,3584.6,3542,3595.7,3762.8,3930.3,4129.3,4305.3,4358,4088.4,4168,4374.3,4600.8
"28","21","    Wages and salaries","B461RC1",318.8,334.9,353.5,389.9,437.3,478.5,495.1,554.6,621.6,709,802.5,874.7,964.3,995,1044.7,1160.1,1243,1307.3,1397,1514.9,1600.1,1682.9,1701.7,1783.9,1845.5,1952.8,2076.9,2206.9,2384.2,2582.6,2771.1,3008.4,2993.8,2939,2962.2,3099.9,3238,3420.9,3572.1,3619.5,3377.5,3446.1,3624.7,3824.8
"29","22","    Supplements to wages and salaries","B462RC1",37.2,39.5,42.7,50,57.8,64.4,74,85.4,101.8,120.5,139.9,156,175.6,188.3,205.4,228.1,247.1,270.9,288.4,310.4,334.7,354.6,369.4,404.8,425.6,445.9,447.7,460.8,478.3,511.2,538.9,588.9,590.8,603,633.4,662.9,692.3,708.5,733.3,738.5,710.9,721.9,749.6,776
"30","23","  Taxes on production and imports less subsidies","W325RC1",50.2,54.2,59.5,63.7,70.1,74.4,80.2,86.7,94.6,102.7,108.8,121.5,146.7,152.9,168,185,196.6,204.6,216.8,233.8,248.2,263.5,285.7,302.5,319.3,350.7,358.7,371.7,388.9,402.9,424.6,449.9,445,472.9,495.8,530.9,573.2,610.1,632.5,632.7,605.9,633,664.2,685.3
"31","24","  Net operating surplus","W326RC1",94.9,84.8,97.6,112.2,125.5,121.3,141.4,169.8,197,221.7,226.8,223.1,272.8,264.2,302.8,373.4,383.9,364.7,405.5,457.7,457.8,457.2,450.5,448.2,487,582.3,634.4,699.4,758.6,738.7,751.9,723.9,656.3,719.3,815,964.1,1118.7,1269.3,1225.8,1173.5,1075.1,1347.5,1462.1,1556.5
"32","25","    Net interest and miscellaneous payments","B471RC1",13.5,17.8,18.8,20,23.7,30.2,32.4,30.1,33.2,36.8,43.8,57.8,72.2,82.8,82.3,93.5,97.5,107.6,116.5,136.2,160.1,170.2,157.2,132,117.9,116.9,126.3,119.7,127,146.8,159.9,198.4,219.1,198.6,169.8,159.9,173.6,183.9,249,307.5,283.7,286.2,287.2,295.5
"33","26","    Business current transfer payments (net)","W327RC1",3,3.2,3.6,3.9,4.5,3.7,4.7,6.7,8.7,9.2,9,9.6,10.7,8.1,10,10.9,15.4,26.9,29.7,27,23.5,24.9,26.1,30.7,29.5,34.7,30.2,37.3,38.5,34.1,45.6,45.5,55.3,52.3,61.8,62,74.2,70.4,62.2,51.7,73.4,83.2,89.3,92.5
"34","27","    Corporate profits with IVA and CCAdj","A463RC1",78.3,63.9,75.2,88.3,97.2,87.4,104.3,133,155.1,175.8,174,155.7,189.9,173.3,210.5,268.9,271.1,230.2,259.4,294.5,274.1,262.1,267.2,285.6,339.6,430.8,477.9,542.3,593.1,557.8,546.4,480.1,382,468.4,583.4,742.2,870.9,1015,914.6,814.3,718.1,978.2,1085.6,1168.5
"35","28","      Taxes on corporate income","B465RC1",33.3,27.3,30,33.8,40.4,42.8,41.9,53.5,60.6,67.6,70.6,68.2,66,48.8,61.7,75.9,71.1,76.2,94.2,104,101.2,98.5,88.6,94.4,108,132.4,140.3,152.9,161.4,158.7,171.4,170.2,111.2,97.1,132.9,187,271.9,307.7,293.8,227.4,177.8,220.6,222.3,256.9
"36","29","      Profits after tax with IVA and CCAdj","W328RC1",45,36.6,45.2,54.5,56.8,44.6,62.4,79.6,94.6,108.2,103.4,87.5,123.9,124.5,148.8,193,200,154,165.1,190.5,172.9,163.7,178.6,191.1,231.6,298.4,337.6,389.4,431.7,399.2,375,309.9,270.7,371.3,450.5,555.2,599.1,707.3,620.8,586.9,540.2,757.6,863.3,911.6
"37","30","        Net dividends","B467RC1",19,18.3,18.1,19.7,20.8,21.5,24.6,27.8,30.9,35.9,37.6,44.7,52.5,54.1,63.2,67.2,72,72.9,76.3,82.2,105.4,118.3,125.5,134.3,149.2,158,178,197.6,215.9,241,224.7,251.3,245.4,254.8,293.4,364.5,170.8,471.1,484.6,474.2,351.7,375.5,440.3,478.8
"38","31","        Undistributed profits with IVA and CCAdj","W332RC1",25.9,18.3,27,34.8,36.1,23,37.8,51.8,63.6,72.3,65.8,42.8,71.4,70.5,85.6,125.8,128,81.1,88.9,108.4,67.6,45.4,53.1,56.9,82.4,140.4,159.6,191.8,215.8,158.1,150.4,58.6,25.3,116.5,157.2,190.7,428.3,236.2,136.2,112.7,188.5,382.1,423,432.8
"39",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","32","    Profits before tax (without IVA and CCAdj)","A446RC1",90.1,79.2,91.4,106.4,131.2,144.1,140.1,179.7,209.4,247.5,266.5,247.3,246.9,199.7,228.8,261.7,251.6,226.7,282.8,331.4,322.3,328,352.8,389.5,429,523.7,592.3,636.8,689.3,625.3,644.1,600.9,520.2,630.2,802.8,1049.6,1414.2,1595.3,1395,975.7,1115.4,1439.6,1410.8,1771.1
"42","33","    Profits after tax (without IVA and CCAdj)","A448RC1",50.1,44.4,53.3,64,81.3,91.3,88.5,114.4,134.9,162.7,176.5,160.1,162.6,133.2,148.2,164.1,152.1,117,152.3,189.7,176.2,182.5,214.3,240.8,258,330.6,374.5,405.3,443.9,377,385.4,335.8,316.9,437.8,559,743.5,1001.9,1121.9,949.5,666.6,845.9,1069.1,1036.6,1336.3
"43","34","    Undistributed profits after tax (without IVA and CCAdj)","A450RC1",29.7,24,32.9,42.1,58.2,67.8,62.1,84.3,101.2,123.1,135,112.8,104.3,71.9,76.9,85.6,66.4,28.7,56.7,91.7,49.8,38.5,58.1,79.3,73.2,132.8,148.3,142.2,151.7,62.1,79,-19.6,-13,85.6,157.2,241.7,682.2,473.8,271,38.5,389.1,626.5,491.4,722.7
"44","35","    Inventory valuation adjustment","B058RC1",-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,15.7,-4,-16.8,8,6.1,-9.6,-39.5,-32.1,-35.7,-39.5,-37,6.7,-41,-56,-10
"45","36","    Capital consumption adjustment","A059RC1",7.6,6.5,6,7.9,6.8,2.4,-5.4,-7.8,-7,-8.1,-12,-17.1,-4.5,5,23.3,43.6,64.8,51.1,51.4,48.7,41.2,26,17.1,15.5,20.1,32.6,36,44.2,54.8,60.3,68,50.9,55.4,112.1,96.5,68.2,-143.5,-169.2,-179.9,-60.4,-82.2,-53.3,86.4,-170.5
"46",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","37","    Profits before tax (without IVA and CCAdj)","A464RC1",76.4,63.7,73.5,86.9,110.1,123.3,119.7,154.1,176.8,206.8,224.8,212,216.6,172.5,192.6,227,205,170.4,222.5,264.5,244,238.3,232.4,257.1,309.1,397.9,452,488.9,527.1,486.4,489.6,451.2,325.3,359.5,496.3,700.2,1004.6,1180.1,1093.5,880.3,752.5,1034.3,1026.7,1293.7
"48","38","    Profits after tax (without IVA and CCAdj)","A466RC1",43.1,36.4,43.5,53.1,69.7,80.4,77.8,100.6,116.2,139.2,154.1,143.8,150.7,123.8,130.9,151,134,94.1,128.2,160.5,142.8,139.9,143.8,162.6,201.1,265.5,311.7,336,365.7,327.7,318.2,281,214,262.4,363.4,513.2,732.7,872.4,799.7,652.9,574.7,813.8,804.4,1036.8
"49","39","    Inventory valuation adjustment","B058RC1",-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,15.7,-4,-16.8,8,6.1,-9.6,-39.5,-32.1,-35.7,-39.5,-37,6.7,-41,-56,-10
"50","40","    Capital consumption adjustment","B470RC1",7.8,6.7,6.2,8,6.7,2.4,-4.9,-6.9,-5.9,-7.3,-10.6,-14.2,-2.1,8.2,25.4,45.9,66,52.8,53.1,52.2,46.5,36.7,29.8,31.3,34.5,45.3,44.2,50.3,51.9,55.7,60.8,45.7,48.7,102.8,96.7,81.5,-101.5,-129.4,-139.4,-29.1,-41.1,-15.2,114.9,-115.1
"51",NA,"  Value added, in billions of chained (2009) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Gross value added of nonfinancial corporate business \2\","B455RX1",2028.4,2010.8,2090,2248.4,2385,2348.8,2315.5,2505,2689.5,2864.2,2956,2927.1,3045.9,2979.4,3125.2,3403.6,3561.3,3654.2,3848,4084.4,4162,4222.2,4200.4,4328.5,4435.2,4708.1,4935.4,5224.7,5573.4,5889.8,6210.3,6550.6,6411.5,6466.3,6606.8,6904.1,7131.7,7406.3,7480.5,7385.3,6861.4,7244.4,7464.6,7743.2
"53","42","      Consumption of fixed capital \3\","N456RX1",187,197.7,206.5,216.7,231.9,244.7,253.9,262.1,274,288.5,305.3,321.3,336,351.7,364.2,380.1,402.3,421.3,438.7,454.3,470.6,488,503.5,518.5,538.3,563.4,596.2,634,679.6,730.1,783.9,841.5,888.6,912.8,927.7,948.3,977.5,1015.1,1053.6,1083.4,1092,1093.5,1110.1,1136
"54","43","      Net value added \4\","A457RX1",1841.3,1813.1,1883.5,2031.8,2153.2,2104,2061.6,2242.8,2415.5,2575.7,2650.7,2605.8,2709.9,2627.8,2761,3023.5,3159,3232.8,3409.3,3630.2,3691.5,3734.2,3696.9,3810,3896.9,4144.7,4339.3,4590.7,4893.8,5159.6,5426.4,5709.1,5522.9,5553.6,5679.1,5955.8,6154.2,6391.1,6426.9,6301.9,5769.4,6151,6354.5,6607.1
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Estimates for financial corporate business and nonfinancial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","corporate business for 2000 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1987 Standard Industrial Classification (SIC); later estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","3. Chained-dollar consumption of fixed capital of nonfinancial corporate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","business is calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","the 2009 current-dollar value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","4. Chained-dollar net value added of nonfinancial corporate business is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","difference between the gross product and the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
