"","Table 1#2#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"15","5","    Final sales","A325RY2",NA,1.1,0.93,-1.22,1.26,-2.64,-0.34,1.43,0.75,2.54,-1.88,-0.18,1.63,3.79,12.42,-7.28,5.42,-3.01,7.41,4.44,-1.41,1.39,-4.64,9.79,4.49,0.99,0.34,-2.44,-1.9,1.43,1.01,4.34,3.8,5.64,3.65,0.65,-0.98,1.61,0.91,3.14,2.62,-1.46,2.19,-3.51,-6.25,-0.41,2.44,3.15,3.95,2.37,3.09,-1.32,4.21,2.53,0.01,-0.99,-0.45,1.96,1.64,4.34,2.08,2.18,1.68,1.21,1.69,2.79,2.97,2.08,4.31,2.7,3.8,-0.08,4.21,2.17,3.88,6.68,4.55,-0.2,2.35,0.84,-0.19,2.37,-0.24,0.22,3.99,1.21,3.57,0.24,3.19,-0.54
"16","6","    Change in private inventories","A014RY2",NA,-3.25,-3.84,5.37,3.95,4.18,1.46,-2.3,-6.26,-5.98,5,-4.82,9.87,1.66,1.37,11.04,-6.32,4.56,-4.73,-5.03,0.66,-5.82,6.42,0.19,-1.05,-0.08,-1.36,-3.8,0.58,-0.98,0.61,1.42,3.87,1.41,-0.39,1.33,-0.9,-1.17,-0.57,-0.21,-0.9,0.49,0.75,-4.16,-0.71,0.23,3.5,1.84,0.36,3.46,-5.06,2.77,4.47,-5.52,1.11,-6.83,2.02,3.18,3.39,-0.67,2.42,-2.14,0.64,-1.71,2.48,-1.6,0.58,-0.99,0.43,-0.07,0.53,0.03,3.46,-1.66,0.72,-0.91,3.29,-0.38,-0.57,2.11,-0.58,-3.95,1.15,-0.43,0,2.77,-2.79,-0.74,2.2,-0.72
"17","7","  Durable goods","A354RY2",NA,-1.44,0.9,-0.86,4.76,-3.47,0.52,0.65,-2.41,-2.07,5.34,-6.61,4.66,7.75,10.86,2.16,-2.68,2.01,2.04,-2.3,0.41,-3.57,-3.24,11.42,4.11,0.35,0.8,-7.89,-3.2,1.3,0.78,3.98,6.06,5.51,1.36,0.64,-2.17,-0.6,-0.82,3.43,0.98,-0.32,1.05,-5.63,-7.9,-0.64,3.88,4.27,5.07,3.95,-3.23,0.38,8.18,-4.29,1.05,-5.87,-1.89,4.42,5.32,2.49,3.34,-0.48,2.68,-1.14,1.93,2.08,2.32,0.69,3.69,1.12,2.84,-0.84,7.26,-0.82,3.62,0.85,7.45,-1.05,2.38,1.29,-2.98,-0.53,0.66,1.05,0.9,1.78,1,1.54,2.62,-2.04
"18","8","    Final sales","A326RY2",NA,-0.59,-0.09,1.85,2.11,-2.63,0.33,0.42,-0.74,2.31,-0.16,-0.71,0.36,2.66,12.1,-5.61,2.88,-2.64,3.68,2.9,0.2,0.25,-5.6,8.68,4.01,0.92,0.9,-2.91,-2.76,1.54,-0.5,2.34,3.33,4.14,2.71,-0.73,-2.17,1.17,0.54,2.12,1.74,-1.45,0.95,-2.12,-5.24,-1.14,0.64,2.43,3.59,1.66,2.02,-2.02,3.06,1.96,0.2,-1.41,-1.16,1.37,1.59,3.01,1.61,1.53,1.16,1.22,0.84,1.8,2.17,1.9,2.2,1.27,2.07,-0.05,3.97,0.9,2.83,3.04,4.02,-0.94,1.93,0.89,-0.92,1.55,-0.27,0.23,2.26,0.48,2.29,0.16,2.69,-1.23
"19","9","    Change in private inventories \1\","A355RY2",NA,-0.85,0.99,-2.71,2.65,-0.85,0.19,0.23,-1.67,-4.38,5.5,-5.91,4.3,5.09,-1.25,7.77,-5.56,4.66,-1.63,-5.2,0.21,-3.81,2.36,2.74,0.1,-0.57,-0.1,-4.98,-0.45,-0.24,1.28,1.64,2.74,1.37,-1.36,1.38,0,-1.77,-1.37,1.31,-0.76,1.13,0.11,-3.51,-2.66,0.5,3.24,1.84,1.48,2.3,-5.25,2.4,5.12,-6.25,0.85,-4.46,-0.73,3.05,3.73,-0.52,1.72,-2.02,1.53,-2.36,1.08,0.27,0.15,-1.21,1.48,-0.15,0.77,-0.79,3.3,-1.72,0.78,-2.19,3.43,-0.12,0.45,0.4,-2.06,-2.08,0.93,0.82,-1.35,1.3,-1.29,1.38,-0.07,-0.81
"20","10","  Nondurable goods","A356RY2",NA,-0.71,-3.82,5,0.45,5.02,0.59,-1.51,-3.09,-1.37,-2.22,1.61,6.85,-2.3,2.94,1.6,1.78,-0.46,0.64,1.71,-1.16,-0.87,5.01,-1.43,-0.68,0.56,-1.82,1.64,1.89,-0.84,0.83,1.79,1.61,1.55,1.9,1.34,0.29,1.04,1.17,-0.5,0.74,-0.65,1.88,-2.04,0.93,0.46,2.06,0.72,-0.76,1.88,1.27,1.07,0.5,1.3,0.08,-1.95,3.45,0.71,-0.3,1.18,1.16,0.52,-0.37,0.64,2.24,-0.89,1.22,0.39,1.05,1.52,1.49,0.79,0.41,1.33,0.98,4.92,0.38,0.47,-0.6,1.66,2.22,-1.06,0.25,-1.26,3.09,2.2,-0.21,-2.03,2.77,0.78
"21","11","    Final sales","A334RY2",NA,1.68,1.01,-3.07,-0.85,-0.01,-0.68,1.01,1.49,0.23,-1.72,0.52,1.28,1.14,0.32,-1.68,2.54,-0.36,3.73,1.54,-1.61,1.14,0.96,1.11,0.48,0.06,-0.56,0.47,0.86,-0.1,1.51,2.01,0.48,1.5,0.94,1.39,1.19,0.43,0.37,1.02,0.88,-0.01,1.24,-1.39,-1.02,0.73,1.8,0.71,0.36,0.71,1.07,0.7,1.15,0.57,-0.19,0.42,0.71,0.58,0.04,1.33,0.47,0.65,0.52,-0.02,0.84,0.98,0.8,0.18,2.1,1.43,1.73,-0.03,0.25,1.28,1.04,3.64,0.52,0.73,0.43,-0.05,0.73,0.82,0.03,-0.01,1.73,0.73,1.28,0.08,0.5,0.69
"22","12","    Change in private inventories \1\","A357RY2",NA,-2.39,-4.83,8.08,1.3,5.03,1.27,-2.52,-4.58,-1.6,-0.5,1.09,5.57,-3.44,2.62,3.27,-0.76,-0.09,-3.1,0.17,0.45,-2.01,4.05,-2.55,-1.16,0.49,-1.26,1.17,1.03,-0.74,-0.67,-0.22,1.13,0.04,0.96,-0.05,-0.9,0.6,0.8,-1.52,-0.14,-0.64,0.64,-0.65,1.95,-0.27,0.26,0,-1.12,1.17,0.19,0.37,-0.66,0.73,0.27,-2.37,2.75,0.13,-0.34,-0.15,0.69,-0.13,-0.89,0.65,1.4,-1.87,0.42,0.22,-1.05,0.09,-0.24,0.82,0.16,0.05,-0.06,1.28,-0.15,-0.27,-1.02,1.71,1.48,-1.88,0.22,-1.25,1.35,1.47,-1.49,-2.12,2.27,0.09
"23","13","Services \2\","A341RY2",NA,2.2,-0.8,-2.24,0.5,2.51,0.88,2.6,1.38,1.72,-1.08,-1.11,1.92,3.39,0.08,5.15,7.4,7.27,6.89,1.52,3.77,4.7,1.09,1.84,3.13,2.14,-0.6,-0.38,-1.7,-1.1,1.46,1.08,1.73,-1.1,2.79,1.31,0.39,2.31,-0.42,4.11,0.82,0.7,1.15,3.42,-3,3.39,2.16,1.95,1.06,3.16,1.65,1.63,-0.9,2.59,-0.04,2.34,0.25,3.64,0.56,3.22,2.7,3.2,1.29,2.19,-0.07,2.05,3.22,1.44,2.3,2.45,1.05,1.74,1.85,3.4,2.9,3.49,1.41,4.13,1.36,2.32,4.42,1.06,1.86,2.29,3.93,2.3,1.87,1.85,0.4,2.73
"24","14","Structures","A755RY2",NA,-0.5,3.31,4.54,0.31,2.6,0.26,-1.31,-1.23,0.38,2.43,2.58,3.5,3.81,2.45,-0.95,-0.92,-1.71,-1.07,-0.03,1.28,0.58,0.06,1.96,1.09,0.12,-0.6,0.7,1.17,1.06,1.54,1.19,2.51,0.72,-0.57,-0.87,-0.05,0.59,-0.25,-0.34,0.06,-0.61,-0.13,0.21,-0.01,-0.55,1.47,2.75,2.28,1.09,-0.45,-1.5,1.44,-1.11,-0.08,0.72,0.93,-1.13,1.25,1.47,0.2,1.14,0.26,-0.12,0.43,2.07,1.27,0.36,1.9,-0.24,0.16,-0.26,0.72,1.67,0.89,0.51,1.01,-1.89,-0.26,-1.79,0.07,0.87,0.73,1.18,0.45,0.65,0.25,0.44,0.57,-0.18
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","15","  Motor vehicle output","A953RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,-0.32,0.19,2.65,0.98,-0.62,0.68,0.32,-1.55
"27","16","  Gross domestic product excluding motor vehicle output","A962RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.63,3.82,3.07,5.72,5.95,3.53,1.11,6.04,2.84
"28","17","  Final sales of computers \3\","BB01RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","18","  Gross domestic product excluding final sales of computers","BB00RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","19","  Research and development","Y694RY2",NA,0.03,0.07,0.09,0.09,0.08,0.05,-0.02,-0.1,-0.03,0.04,0.08,0.2,0.15,0.1,0.03,-0.05,0.04,0.09,0.18,0.29,0.22,0.25,0.27,0.2,0.19,0.16,0.15,0.15,0.11,0.07,0.09,0.02,0.21,0.31,0.46,0.57,0.49,0.37,0.29,0.13,0.14,0.16,0.13,0.12,0.09,0.19,0.18,0.15,0.17,0.11,0.16,0.31,0.29,0.19,0.15,0.21,0.29,0.25,0.22,0.19,0.27,0.29,0.35,0.43,0.39,0.33,0.24,0.2,0.21,0.19,0.19,0.24,0.25,0.28,0.33,0.33,0.29,0.26,0.2,0.16,0.13,0.14,0.13,0.15,0.12,0.1,0.09,0.07,0.03
"31","20","  Gross domestic product excluding research and development","Y695RY2",NA,-0.49,-0.47,6.35,5.92,6.58,2.21,0.44,-5.26,-1.31,4.44,-3.62,16.72,12.51,16.23,7.92,5.64,7.09,8.4,0.71,4.01,0.62,2.68,13.52,7.46,2.97,-2.39,-6.08,-1.99,0.31,4.54,7.94,11.9,6.46,5.17,1.97,-2.11,2.85,-0.69,6.42,2.47,-1.03,3.8,-4.16,-10.09,2.57,9.38,9.51,7.5,9.91,-0.88,1.42,8.9,-1.79,0.81,-4.91,2.54,7.36,6.59,8.14,7.21,4.11,3.57,1.21,4.09,4.93,7.71,2.65,8.74,4.63,5.35,1.23,10,5.33,8.1,9.44,9.92,1.36,2.63,3.27,3.57,0.22,3.36,3.13,8.22,6.81,2.81,1.69,6.3,1.25
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
