"","Table 1#17#1# Percent Change From Preceding Period in Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"11","2","    Gross domestic income","A261RL1",3.9,2.8,3,-0.7,-2.8,0,3.3,-3.7,8.2,2.7,3.5,5.2,5.8,5.2,6.7,10.7,7.3,2.2,1.3,4.3,-3.1,-1.6,-2.1,-4.7,-4.5,3.4,8.3,4.2,8.6,2.5,3,1.2,3.7,10.6,7.9,2.4,2.5,12.4,2.7,3.6,3.8,-2.1,0.4,1.7,0.3,-7.2,3,10.6,3.2,0,5.7,-4.4,-3.2,1.6,-1.5,-1.7,4.5,7,5.6,9.5,11.6,6.6,4.5,4.4,3.6,3,5,2.3,4.1,1.1,2.7,3.2,4.1,6.5,6.1,5.4,4.9,4.7,3.6,5.6,2.7,-0.8,1.5,0.3,4.2,2.3,-0.4,-1.9,-0.5,1.1,1.1,1.5,7.2,3.3,1.3,4,-1.6,5,0.7,8,2.2,6.5,3.8,4.7,1.9,2.3,5,2.6,4.4,6.2,3.8,5.1,4.7,4.8,6.9,5.3,4.3,5.9,5.8,3.7,5.5,2.5,3.7,6.7,8.5,2.2,3,-0.7,4.7,-0.7,-1.4,-2,5.3,2.4,0.5,2.3,0.6,3.8,3.9,3.9,3.1,4.4,4.5,2,4,3,3.5,5.5,7.9,0.6,1.6,1.5,-1,0.6,-2.2,-0.2,0.7,-0.3,-1.6,-7.5,-6.1,-0.1,2,5.9,0.5,2.8,5.2,1.6,2,2.3,2.2,2.6,5.4,-0.6,0.9,4.9,2.4,3.2,1.8
"12","3","    Net domestic product \1\","A362RL1",6.5,0.8,2.2,-2.6,-1.4,0.2,3.5,-5.1,12.4,2.2,3.1,0.9,7.9,10.4,3.6,7.1,10.9,4.5,-3.1,3.7,-4.4,0.6,-4.9,-2.4,-5.9,3.1,7.4,5.9,10.4,3,1.8,2.9,4.9,8.7,7.7,-0.6,0.9,18.5,3.8,5.5,0.1,-0.3,2.6,0.4,0.8,-9.8,-1.4,8.3,9.4,-4,4.8,-6.1,-8.4,1.9,-2.3,-0.2,5.8,10.6,8.9,9.3,8.9,7.7,3.8,2.8,3.7,3.4,6.5,2.7,3.6,1.3,3.9,1.6,2.5,4.5,3.5,7.2,1.9,5.6,2,5.6,4.1,3,2.8,0.3,4.5,1.2,-0.5,-4.5,-2.7,3.2,1.8,1.6,5.2,4.8,4.1,4.3,0.4,2.3,1.7,5.8,4.1,5.9,2.2,4.7,0.9,1,3.3,2.6,2.4,7.6,3.6,4.2,2.8,6.3,5.1,2.7,3.7,3.6,5.3,7,3.6,2.9,4.7,6.7,1.5,7.4,-0.7,1.5,-2.1,1.9,-2,0.6,3.8,2,1.7,-0.3,1.9,4,7.6,4.8,2.2,3.1,3.5,3.3,4.5,1.9,3.2,1.9,5.1,0.7,-0.3,3,-0.4,3,2.6,1.2,-3.6,1.9,-2.8,-10.2,-6.7,-0.6,1.5,4.7,1.8,4.5,3.1,3.1,-1.7,3.5,1.3,5.5,4.1,1.1,3,-0.2,1,2.6,4.5
"13","4","    Net domestic income \1\","W256RL1",3.6,2.5,2.7,-1.4,-3.8,-0.6,3.2,-4.7,9,2.6,3.5,5.5,6.2,5.4,7,11.5,7.6,1.8,0.8,4.2,-4.1,-2.4,-3,-5.9,-5.7,3.5,9.3,4.4,9.5,2.4,2.9,0.8,3.6,11.7,8.5,2,2.2,13.7,2.3,3.4,3.5,-3.3,-0.3,1.2,-0.4,-9.2,2.8,11.8,3.1,-0.6,6,-5.9,-4.5,1.2,-2.5,-2.6,4.8,7.7,6,10.5,12.9,7,4.4,4.2,3.2,2.5,4.9,1.8,4,0.4,2.3,2.9,3.9,6.8,6.4,5.5,5,4.8,3.5,5.9,2.4,-1.6,1.1,-0.3,4.3,2.1,-1,-2.8,-1.1,0.8,0.8,1.3,8,3.4,1,4.2,-2.4,5.4,0.3,8.9,2,7,3.8,4.8,1.5,2,5.1,2.3,4.5,6.5,3.7,5.1,4.6,4.7,7.1,5.2,4,5.8,5.8,3.5,5.5,1.8,3,6.2,10.1,1,2.2,-1.8,4.7,-1.4,-2.2,-2.9,5.6,2.3,0,2.2,0.2,4,4,4,3,4.6,4.7,1.6,4,2.9,3.4,5.8,8.6,0,1.2,1.1,-1.8,0.1,-3.1,-0.8,0.4,-0.8,-2.5,-9.3,-7.4,-0.2,2.4,7.1,0.4,3.1,6,1.7,2.2,2.5,2.3,2.8,6.1,-1.1,0.7,5.4,2.5,3.4,1.7
"14",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","5","    Gross national product","A001RL1",6.3,1.2,2.4,-1.7,-0.6,0.8,3.5,-4.2,11.6,2.4,2.8,1.3,7.4,9.5,3.9,6.7,10.6,4.8,-1.6,3.8,-2.6,0.8,-4.2,-2.1,-5.2,3.1,7,6.1,9.1,3.2,2.1,3.1,5.2,7.9,7.1,-0.4,2,15.5,4.2,6,0.9,1,3.8,1,1.4,-8.2,-0.9,6.6,8.7,-3.1,4.9,-4.1,-6.7,2.7,-2.2,0.2,5.2,9.6,8.1,8.6,7.8,7.2,3.9,2.8,3.2,3.8,5.8,3.3,3.4,1.2,4.3,1.5,3,4.9,3.6,6.9,2.7,5.2,2.1,5.6,4,3.1,3.2,1.3,4.3,1.7,-0.2,-1.9,-2.6,2.4,1.7,2.3,4.7,4.4,3.7,4.1,1.2,2,2.3,4.5,4.4,5.3,2.3,4.5,1.9,1.5,2.7,3.5,3,6.7,3.6,4.5,2.7,6.5,4.8,2.8,4.4,3.8,4.7,6.8,4.2,3.6,5,7.5,1,7.9,0.3,3.1,-1.7,2.5,-2.1,3.4,2.3,1.5,2.4,0.8,1.5,4.3,6.9,5.5,3,2.2,3.9,2.5,5.5,1.8,3.6,1.3,5,1.1,0,3.4,0.3,3.7,4.3,2.7,-3,2,-1.5,-10.2,-5.4,-0.5,2.6,4.2,1.7,3.9,2.6,3.2,-0.5,3.1,1.9,4.8,3,1.4,2.4,0.3,0.6,2.7,4.4
"16","6","    Gross national income","A023RL1",3.8,2.7,2.8,-0.7,-2.7,0.1,3.3,-3.9,8.6,2.8,3.2,5.3,5.9,5.1,6.9,10.6,7.7,2.4,1.9,4.3,-2.4,-1.8,-2.5,-5.2,-5,3.4,8.5,4.8,8.4,2.7,3,1.3,4.2,10.4,7.8,1.9,3,11.5,2.9,4.1,3.8,-1.6,1.3,1.6,0.4,-7.6,2.6,9.4,3.4,-0.2,5.9,-3.9,-3.4,2.1,-2.3,-1.8,4.4,7.2,5.6,9.5,11.1,6.6,4.4,3.9,2.8,3.1,4.5,2.5,3.8,0.4,2.9,2.6,4.2,6.8,6,5.5,5.3,4.5,3.4,5.8,2.6,-0.9,1.7,0.7,4.1,2.4,-0.7,-0.4,-1.3,0.3,0.8,2,7.1,3.2,1.1,4,-1.2,4.6,1,7,2.6,6.2,3.7,4.6,2.4,2.5,4.2,3.2,4.8,5.7,3.6,5.3,4.2,5.2,6.5,5,4.8,5.7,5.2,3.8,5.9,2.7,3.6,7.1,8.3,2.3,2.8,0.2,4.1,-0.3,-2.3,0.3,3.8,1.7,1,2.9,0.2,4.3,3.8,4.8,3.7,3.5,4.8,1.1,5.1,2.6,3.8,4.6,7.9,0.4,1.2,1.8,-1,1.2,-0.6,1.1,0.3,-0.2,-1.2,-9.4,-6,-0.2,3.3,6.2,0.6,2.8,5,2,2.8,2.3,2.7,2.5,4.7,-0.4,0.6,5,1.9,3.4,2.1
"17","7","    Net national product \1\","A027RL1",6.4,0.7,2.1,-2.6,-1.3,0.3,3.5,-5.3,12.8,2.3,2.8,1,8,10.3,3.8,7,11.3,4.7,-2.5,3.6,-3.5,0.3,-5.3,-3,-6.5,3.1,7.6,6.6,10.2,3.2,1.9,3,5.5,8.5,7.6,-1.2,1.6,17.4,4.1,6.1,0.2,0.3,3.6,0.4,0.9,-10.1,-1.7,7,9.6,-4.2,5,-5.4,-8.5,2.5,-3.2,-0.3,5.7,10.8,8.9,9.4,8.4,7.6,3.7,2.3,2.8,3.5,5.9,3,3.2,0.6,4.2,0.9,2.6,4.9,3.4,7.3,2.4,5.3,1.7,5.8,4,2.9,3,0.8,4.4,1.3,-0.9,-2.8,-3.5,2.3,1.5,2.2,5.1,4.7,3.9,4.3,0.9,1.8,2.1,4.7,4.5,5.6,2,4.6,1.5,1.1,2.5,3.3,2.8,7.1,3.4,4.5,2.3,6.7,4.7,2.3,4.1,3.4,4.6,7.1,4,3.1,4.5,7.1,1.3,7.5,-0.9,2.7,-2.7,2.3,-3,3.4,2,1.1,2.3,0.4,1.3,4.6,7.6,5.9,2.8,2,3.9,2.3,5.8,1.5,3.5,0.8,5.1,0.5,-0.7,3.4,-0.4,3.8,4.5,2.6,-4,1.9,-2.3,-12.4,-6.6,-0.7,3.1,5.1,1.9,4.5,2.8,3.5,-0.8,3.4,1.9,5.4,3.2,1.4,2.6,0.1,0.4,2.8,4.9
"18",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","8","    Gross domestic purchases","A712RL1",7,0.8,2.8,-2.7,-0.9,0.2,3.6,-3.9,10.8,3.9,2.7,1.5,8.2,9.4,2.9,6.9,9.6,2.6,-3,2.5,-4.7,1.1,-2.6,-2.7,-8.1,1.7,10,5.3,11.6,4.1,2.4,3.8,6.9,7.5,6.4,1.5,3,12.9,4,4.6,0.6,0.6,1.1,-0.3,0.3,-11.3,-3.4,10.1,9.5,-3,5,-3.7,-6,1.4,1.8,0.5,5.6,12.1,10.4,9.6,10.5,8,4.3,3.7,3,5.6,6.2,3.6,2.8,3.1,4.4,1.3,2.5,4.3,3.1,6.4,0.3,3.8,2.6,5.5,3.2,1.8,2.5,1,4.1,1,-0.3,-4.7,-2.5,2.5,2.1,1.8,4.4,5.1,3.7,4.8,1.5,2.8,2.6,5.9,4.6,5.8,2.1,4.9,1.6,1.3,1.8,2.8,3.6,7.5,4.9,2.5,4.3,6,5.9,4.2,5.6,5.5,6.1,6.7,5.2,4.5,5.9,7,2.6,7.9,1.4,2.5,-1.5,1.8,-0.5,1.4,4.4,2.8,2.4,1.5,1.6,4.5,6.3,4.8,2.9,4.5,3.9,3.8,4.3,1.9,3.3,2.9,4.5,1.1,0.9,1.2,0.7,2.5,1.1,-0.7,-2.5,-0.1,-2.7,-7.8,-7.3,-2.7,1.8,3.8,2.5,5.5,3.5,1.4,-1.3,2.6,1.2,5.3,3.1,1.1,2.7,-0.5,1.4,2.5,3.9
"20","9","    Final sales to domestic purchasers \2\","A713RL1",4.8,1.6,2.3,-0.8,0.7,-1.3,3.7,-0.6,4.6,4.5,3.1,5.2,6.6,6.5,2.7,9.7,8.1,0,-0.5,-0.8,-1.9,0.6,0,-6.7,-0.7,2.8,6.7,4.8,7.9,2.5,3,6.5,6,5.9,3.5,4.8,2.2,13,3.8,4.4,1.2,0.2,3.9,0.4,-0.2,-11,2.3,6.1,3.1,0.8,0.7,-1.2,-0.9,-0.9,0.7,6,4.9,8.6,9.9,6.6,5.4,8.4,4.1,6.2,5.9,5.2,6.5,2.3,3,4.5,6.1,1.6,-0.7,5.4,4.3,1.5,4,3.5,2.5,5.3,1.4,2.6,4.4,0.7,4.3,-0.3,0.4,-2.8,-2.2,2.6,1,-0.1,6.3,3.7,4,4.8,0.5,3.6,4.1,5.1,2.8,3.8,3.9,3.7,2.3,2.7,3.1,2.5,4.3,6.2,3.2,3.7,4,3.3,7.2,3.8,4.4,8.7,5.5,6.6,4.3,6.2,5.7,5,5.5,5,2.7,2.7,1.6,1.1,0.2,3.2,1.5,1.9,2.2,1.4,1.5,5.6,6,3.7,2.6,3.8,4.2,3.7,3.4,4,3.7,0.8,5,1,1,2.3,1.2,1.7,1.1,0.1,-1.5,0.1,-3,-6.5,-5.3,-1.7,2.1,-0.5,0.9,4.5,1.7,3,-0.3,1.8,2.8,2.6,2.9,2,2.2,1.4,0.5,2.1,2.3
