"","Table 7#8# Supplements to Wages and Salaries by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"24","16","  Publicly administered government employee insurance funds \2\","Y390RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,8.2,8.7,10.8,11.4,11.5,11.2,10.8,11.2,11.3,10.5
"25","17","  Private group health insurance \3\","B4923C1",9.9,12.1,13.7,16.2,18.3,21.1,25.5,32,38.8,46,52.6,61,71.7,82.7,91.5,100.4,110.1,117.5,126.1,142,158.6,176.9,192.8,215.7,234.3,246,242.8,245.4,248.7,268.8,294.8,329.2,359,385,421,453.2,487.8,497.3,517.6,539.5,552.7,561.2,584.3,602.5
"26","18","Life insurance","A2211C1",2.4,2.4,2.5,2.5,2.5,2.7,3.1,3.1,3.3,3.7,3.9,4.1,4.4,4.7,4.9,4.9,5.6,6.1,6.1,6.5,6.7,7.3,7,8,8.6,9.1,9.5,10,10.8,11.5,11.6,12.4,13.1,12.3,11.5,12.6,13.2,16,17.8,13,11.1,10.5,11.3,11.8
"27","19","  Veterans life insurance","CON2101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1
"28","20","  Private group life insurance \3\","B4924C1",2.4,2.4,2.5,2.5,2.5,2.7,3.1,3.1,3.3,3.7,3.9,4.1,4.4,4.7,4.9,4.9,5.6,6.1,6.1,6.4,6.7,7.2,7,7.9,8.6,9.1,9.5,10,10.8,11.4,11.6,12.4,13,12.3,11.4,12.6,13.2,16,17.7,12.9,11.1,10.5,11.2,11.7
"29","21","Workers' compensation","A2212C1",4.3,4.7,5,5.5,6.4,7.4,8.6,10.5,13.1,15.6,18.1,19.7,20.4,20,20.4,22.2,25.2,28.9,33.5,38.1,41.5,46.3,50.7,58.3,59.9,60.3,58.2,54.5,52.5,53.9,54.5,59.9,64.5,71.7,82.7,87.2,92.5,86.5,82.9,79.7,73.1,72.1,74.5,78.6
"30","22","  Federal","CON2201",0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.8,1.9,1.9,1.9,1.9,2,2,2.2,2.3,2.3,2.3,2.4,2.5,2.5,2.4,2.5,2.6,2.7,2.9,2.7
"31","23","  State and local","S253001",0.7,0.7,0.8,0.9,1,1.2,1.3,1.7,2.1,2.7,3,3,3.1,3.1,3,3.3,3.7,4.4,5.2,6.1,7.1,8,9.2,10.3,11.1,11.4,11,10.2,9.2,8.6,7.9,8.2,10,12.2,16,19.3,19.1,17,15.1,14,12.6,11.9,11.8,11.5
"32","24","  Private insurance \3\","B4925C1",3.5,3.8,4,4.4,5.2,6,6.8,8.4,10.4,12.3,14.4,15.8,16.5,16,16.5,17.9,20.4,23.4,27.2,30.7,33,36.8,39.8,46.3,47,47,45.3,42.3,41.4,43.3,44.5,49.6,52.2,57.2,64.4,65.5,70.9,67,65.3,63.2,57.9,57.5,59.9,64.3
"33","25","Unemployment insurance","A2213C1",3.5,3.8,4.2,6.1,7.3,7.4,7.7,11,13,15.8,16.9,17.2,17.8,18.7,22.7,27.3,27.6,26.7,26.7,27.8,25.3,24.5,24.7,28.8,31.3,31.9,31.8,31.2,30.3,29.4,28.7,29.3,28.6,29.8,34.4,41,44.3,43.3,41,39.1,39.9,49.7,58.6,59.7
"34","26","  State unemployment insurance","CON1201",2.5,2.4,2.6,4.1,5.1,5.4,5.2,8.1,9.4,11.5,12.2,11.6,12,12.8,15.5,19.4,19.5,18.2,17.8,18,16.7,15.5,15.5,18.3,21.4,22.9,22.7,22,21.3,20.4,19.8,20.5,20.1,21.4,26,32.5,35.8,34.8,32.5,30.4,30.9,40.2,47.4,49.5
"35","27","  Federal unemployment tax","CON1501",0.7,0.9,0.9,1.2,1.5,1.3,1.3,1.4,2,2.7,3,3.4,3.6,3.7,4.9,5.5,5.4,5.7,5.9,6.4,5.2,5.2,5.1,5.4,5.3,5.6,5.8,6,6.3,6.6,6.8,7.1,7,6.9,6.8,7,7.2,7.2,7.3,7.1,6.6,6.8,8.2,7.5
"36","28","  Railroad employees unemployment insurance","CON1601",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
"37","29","  Federal employees unemployment insurance","CONBFE1",0.1,0.3,0.5,0.5,0.3,0.4,0.8,0.9,0.7,0.5,0.4,0.5,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,1.2,1.3,0.8,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.6,0.7,0.7,0.7,0.7,0.6,0.7,1.3,1.7,1.9,1.6
"38","30","  Private supplemental unemployment","B4926C1",0.1,0.1,0.2,0.3,0.3,0.2,0.2,0.4,0.6,0.9,1.1,1.5,1.5,1.7,1.7,1.9,2.1,2.3,2.5,2.9,2.9,3.2,3.4,3.8,3.3,2.7,2.6,2.5,2.2,1.9,1.6,1.3,0.9,0.8,0.9,0.8,0.5,0.6,0.5,0.8,1,0.9,0.8,0.9
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Employer contributions to privately administered programs and government employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","pension plans are classified as employer contributions for employee pension and insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","funds.  Employer contributions to other publicly administered programs are classified as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","employer contributions for government social insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Includes the Medicare-eligible Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Government contributions to privately administered health, life, and workers' compensation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","insurance for government employees are classified as employer contributions for employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","pension and insurance funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
