"","Table 1#1#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","    Durable goods","DDURRL1",3.7,-2.7,10,12.4,10.5,-6.4,0.2,12.5,8.8,5.2,-0.5,-8,1,-0.2,14.3,14.3,10,9.6,2,5.7,2.2,-0.4,-5.4,5.7,7.5,8,3.9,7.5,8.2,12.1,12.8,8.6,5.2,7.3,7.1,8.2,5.4,4.3,4.6,-5.1,-5.5,6.1,6.6,7.7
"12","5","    Nondurable goods","DNDGRL1",2.8,2.2,1.9,4,2.9,-2.4,0.9,4.8,2.3,3.6,2.6,-0.2,1.3,1,3.3,4.1,3,3.6,1.7,2.6,2.7,1.2,-0.3,1.9,2.5,3.9,2.5,2.9,2.9,3.7,5,3.2,1.7,1.9,3.5,3.3,3.3,3.3,1.7,-1.1,-1.8,2.2,1.9,1.4
"13","6","  Services","DSERRL1",4.4,3.9,3.5,5.7,4.7,1.9,3.8,4.3,4.1,4.6,3.1,1.6,1.7,2,5.2,3.9,5.3,3.2,4.5,4.5,3.2,3,1.6,4,3.1,3.1,3,2.9,3.2,4.6,4.1,5,2.2,1.8,2.2,3.2,3.2,2.7,2,0.8,-0.8,1.2,2.1,1.6
"14","7","Gross private domestic investment","A006RL1",5.6,-6.1,10.3,11.3,10.9,-6.6,-16.2,19.1,14.3,11.6,3.5,-10.1,8.8,-13,9.3,27.3,-0.1,0.2,2.8,2.5,4,-2.6,-6.6,7.3,8,11.9,3.2,8.8,11.4,9.5,8.4,6.5,-6.1,-0.6,4.1,8.8,6.4,2.1,-3.1,-9.4,-21.6,12.9,4.9,9.5
"15","8","  Fixed investment","A007RL1",5.9,-2.1,6.9,11.4,8.6,-5.6,-9.8,9.8,13.6,11.6,5.8,-5.9,2.7,-6.7,7.5,16.2,5.5,1.8,0.6,3.3,3.2,-1.4,-5.1,5.5,7.7,8.2,6.1,8.9,8.6,10.2,8.8,6.9,-1.6,-3.5,4,6.7,6.8,2,-2,-6.8,-16.7,1.5,6.2,8.3
"16","9","    Nonresidential","A008RL1",7,-0.9,0,8.7,13.2,0.8,-9,5.7,10.8,13.8,10,0,6.1,-3.6,-0.4,16.7,6.6,-1.7,0.1,5,5.7,1.1,-3.9,2.9,7.5,7.9,9.7,9.1,10.8,10.8,9.7,9.1,-2.4,-6.9,1.9,5.2,7,7.1,5.9,-0.7,-15.6,2.5,7.6,7.3
"17","10","      Structures","A009RL1",5.4,0.3,-1.6,3.1,8.2,-2.2,-10.5,2.4,4.1,14.4,12.7,5.9,8,-1.6,-10.8,13.9,7.1,-11,-2.9,0.7,2,1.5,-11.1,-6,-0.3,1.8,6.4,5.7,7.3,5.1,0.1,7.8,-1.5,-17.7,-3.9,-0.4,1.7,7.2,12.7,6.1,-18.9,-16.4,2.1,12.7
"18","11","      Equipment","Y033RL1",8.3,-1.8,0.8,12.7,18.5,2.1,-10.5,6.1,15.5,15.1,8.2,-4.4,3.7,-7.6,4.6,19.4,5.5,1.1,0.4,6.6,5.3,-2.1,-4.6,5.9,12.7,12.3,12.1,9.5,11.1,13.1,12.5,9.7,-4.3,-5.4,3.2,7.7,9.6,8.6,3.2,-6.9,-22.9,15.9,12.7,7.6
"19","12","      Intellectual property products","Y001RL1",5.4,-0.1,0.4,7,5,2.9,0.9,10.9,6.6,7.1,11.7,5,10.9,6.2,7.9,13.7,9,7,3.9,7.1,11.7,8.4,6.4,6,4.2,4,7.3,11.3,13,10.8,12.4,8.9,0.5,-0.5,3.8,5.1,6.5,4.5,4.8,3,-1.4,1.9,4.4,3.4
"20","13","    Residential","A011RL1",3.1,-5.2,26.6,17.4,-0.6,-19.6,-12.1,22.1,20.5,6.7,-3.7,-20.9,-8.2,-18.1,42,14.8,2.3,12.4,2,-0.9,-3.2,-8.5,-8.9,13.8,8.2,9,-3.4,8.2,2.4,8.6,6.3,0.7,0.9,6.1,9.1,10,6.6,-7.6,-18.8,-24,-21.2,-2.5,0.5,12.9
"21","14","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","16","  Exports","A020RL1",4.8,10.8,1.7,7.5,18.9,7.9,-0.6,4.4,2.4,10.5,9.9,10.8,1.2,-7.6,-2.6,8.2,3.3,7.7,10.9,16.2,11.6,8.8,6.6,6.9,3.3,8.8,10.3,8.2,11.9,2.3,4.6,8.4,-5.7,-1.9,1.6,9.4,6,8.9,8.9,5.7,-9.1,11.5,7.1,3.5
"24","17","    Goods","A253RL1",5.2,11.4,-0.4,10.7,23,7.9,-2.3,4.7,1.3,11.2,11.8,11.9,-1.1,-9,-2.9,7.9,3.7,5.1,11.1,18.8,11.9,8.4,6.9,7.5,3.3,9.7,11.7,8.8,14.4,2.2,5.9,10.1,-6.2,-3.5,1.9,8.5,7.4,9.4,7.5,6.1,-12,14.3,7.1,3.8
"25","18","    Services","A646RL1",3.7,8.9,7.7,-0.6,7.1,7.8,6.1,3,6.4,8.4,3.1,6.2,10.6,-2.8,-1.7,8.9,2.4,14.5,10.4,9.7,10.6,9.9,5.9,5.6,3.3,6.7,6.8,6.6,5.9,2.6,1.4,3.9,-4.3,2.3,1,11.6,3,7.7,12.3,4.8,-2.1,5.6,7,3
"26","19","  Imports","A021RL1",5.7,4.3,5.3,11.2,4.6,-2.3,-11.1,19.6,10.9,8.7,1.7,-6.6,2.6,-1.3,12.6,24.3,6.5,8.5,5.9,3.9,4.4,3.6,-0.1,7,8.6,11.9,8,8.7,13.5,11.7,11.4,12.8,-2.9,3.4,4.3,11,6.1,6.1,2.3,-2.6,-13.7,12.8,4.9,2.2
"27","20","    Goods","A255RL1",5.5,3.9,8.4,13.6,7.1,-2.8,-12.6,22.6,12.2,9,1.7,-7.4,2.1,-2.5,13.6,24.2,6.3,10.3,4.6,4.1,4.3,2.9,0.5,9.4,10,13.4,9,9.4,14.4,11.8,12.7,13.1,-3.2,3.7,4.9,11.1,6.7,5.9,1.8,-3.7,-15.8,15.2,5.2,2.1
"28","21","    Services","A656RL1",6.3,5.2,-2.8,4.2,-3.4,-0.1,-4.3,6.9,5,7.1,1.4,-2.2,5.8,5.3,8.1,25.1,7.6,1.1,11.8,3.4,4.8,6.5,-2.6,-2.7,2.7,5.3,3,5.2,8.7,10.9,4.7,11,-0.9,1.8,1.3,10.5,3.1,7.4,4.7,3.1,-3.1,2.8,3.1,2.7
"29","22","Government consumption expenditures and gross investment","A822RL1",0.2,-2,-1.8,-0.5,-0.3,2.3,2.2,0.5,1.2,2.9,1.9,1.9,1,1.8,3.8,3.6,6.8,5.4,3,1.3,2.9,3.2,1.2,0.5,-0.8,0.1,0.5,1,1.9,2.1,3.4,1.9,3.8,4.4,2.2,1.6,0.6,1.5,1.6,2.8,3.2,0.1,-3.2,-1
"30","23","  Federal","A823RL1",-2.4,-6.1,-6.4,-3.1,-3.6,0.7,0.5,0.2,2.2,2.5,2.3,4.4,4.5,3.7,6.5,3.3,7.9,5.9,3.8,-1.3,1.7,2.1,0,-1.5,-3.5,-3.5,-2.6,-1.2,-0.8,-0.9,2,0.3,3.9,7.2,6.8,4.5,1.7,2.5,1.7,6.8,5.7,4.4,-2.6,-1.4
"31","24","    National defense","A824RL1",-4.1,-8.2,-10.2,-6.9,-5.1,-1,-1,-0.5,1,0.8,2.7,3.9,6.2,7.2,7.3,5.2,8.8,6.9,5.1,-0.2,-0.2,0.3,-1,-4.5,-5.1,-4.9,-4,-1.6,-2.7,-2.1,1.5,-0.9,3.5,7,8.5,6,2,2,2.5,7.5,5.4,3.2,-2.3,-3.2
"32","25","    Nondefense","A825RL1",3.9,1,5.6,7.2,0.2,4.6,3.9,1.6,4.7,6,1.7,5.4,1,-3.6,4.7,-1.4,5.7,3.1,0.2,-4.3,7.2,7.3,2.4,5.9,0,-0.8,0,-0.5,2.8,1.3,2.7,2.3,4.7,7.4,4.1,2,1.3,3.5,0.3,5.5,6.2,6.4,-3,1.8
"33","26","  State and local","A829RL1",3.5,2.9,3.1,2.2,2.8,3.7,3.6,0.8,0.4,3.3,1.5,-0.2,-2,0.1,1.3,3.8,5.7,5,2.2,3.9,4,4.1,2.2,2.1,1.2,2.8,2.7,2.4,3.6,3.8,4.2,2.8,3.7,2.9,-0.4,-0.1,0,0.9,1.5,0.3,1.6,-2.7,-3.6,-0.7
"34",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Gross domestic product, current dollars","A191RP1",8.2,5.5,8.5,9.8,11.4,8.4,9,11.2,11.1,13,11.7,8.8,12.2,4.2,8.8,11.1,7.6,5.6,6.1,7.9,7.7,5.7,3.3,5.9,5.2,6.3,4.9,5.7,6.3,5.6,6.3,6.5,3.3,3.3,4.8,6.6,6.7,5.8,4.5,1.7,-2.1,3.7,3.8,4.6
