"","Table 1#1#6D# Real Gross Domestic Product, Chained (1982) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"16","9","      Structures","B009DX1",121.4,131.3,128.5,115,117.8,122.7,140.4,158.1,167.3,180.6,177.6,158.4,180.5,193.4,172.2,167.3,168.4,171.7,174.3,154.9,145.6
"17","10","      Equipment and software","B010DX1",155.3,183.8,188.5,170.6,181.2,208.5,240.3,261.2,251.8,262.6,248.9,262.3,314.3,334.3,340.6,345.3,371.3,398.5,398.7,388.4,416.7
"18","11","    Residential","A011DX1",168.9,167.8,133.2,115.9,143.2,173.9,184.8,178.1,140.4,129.1,105.7,149.4,171.6,174.3,195.7,199.6,197.6,191.6,175.1,158.2,180.1
"19","12","  Change in private inventories","A014DX1",19.7,29.8,22.1,-9.7,26.2,32.8,35.1,21.4,-6.8,29.8,-14.9,-5.4,60.8,20.2,7,25.9,17.3,24.1,13.1,-0.4,14
"20","13","Net exports of goods and services","A019DX1",-75.4,-55.4,-34.2,-8.2,-41.7,-65,-66.4,-47,3.7,-0.4,-20,-65.5,-126.1,-144.6,-159.7,-152.9,-114.5,-89.3,-66.9,-29.3,-31.6
"21","14","  Exports","A020DX1",165.2,196.4,211.9,210.6,219.8,225.1,248.8,273.5,302.9,306.6,283.2,275.9,298.4,307.5,331.2,366.9,425.7,474.6,517.4,551.7,589.7
"22","15","    Goods","A253DX1",124.8,153.5,165.7,161.9,169.5,171.7,190.9,213.5,239,236.4,215,208.8,225.3,233.6,245.6,272.9,324.3,363,393.5,420.7,452.2
"23","16","    Services","A646DX1",39.8,42.6,45.9,48.7,50.2,53.4,57.9,59.7,63.4,70.1,68.2,67.1,73.1,73.9,84.7,93.3,101.7,112.2,124,131.4,138.6
"24","17","  Imports","A021DX1",240.6,251.8,246.1,218.7,261.5,290.1,315.2,320.5,299.2,307,303.2,341.4,424.5,452.1,490.8,519.8,540.2,563.9,584.3,580.9,621.3
"25","18","    Goods","A255DX1",196.1,210,204.1,178.4,218.8,245.4,267.4,272,251.8,257,250.5,284.6,353.4,375.5,414,433.2,450.8,470,483.9,483.6,528.7
"26","19","    Services","B656DX1",42.9,41.5,41.5,39.7,42.4,44.5,47.7,48.3,47.3,50,52.6,56.9,71.2,76.6,77.5,86.6,89.5,93.9,100,97.4,94.9
"27","20","Government consumption expenditures and gross investment","A822DX1",584.3,582.3,596.9,610.4,613.1,619.8,638.1,650,662.7,668.7,680.5,705.4,729,779.8,827.3,847.7,858.6,880.8,909,919.2,924.1
"28","21","  Federal","A823DX1",262.2,251.2,253.4,254.2,254.3,259.7,266.2,272.7,285.6,299.2,310.8,331.4,341.6,368.4,389.3,403.5,397.1,403.2,411.5,410.8,403.7
"29","22","    National defense","A824DX1",194.7,183.9,182.4,180.7,180.1,182.2,183.7,189.3,197.6,210.1,225.9,242.2,254,275.5,293.1,307,305.5,304,303.9,300.6,285.7
"30","23","    Nondefense","A825DX1",68.2,67.8,71.3,73.7,74.4,77.6,82.5,83.3,88,89.2,84.9,89.3,87.6,92.7,96,96.3,91.3,98.9,107.1,109.7,117.2
"31","24","  State and local","A829DX1",321.9,331.1,343.5,356.2,358.8,360.1,371.8,377.3,377.1,369.5,369.7,374,387.4,411.5,438,444.4,460.9,476.7,496.3,506.8,518
"32","25","Residual","A960DX1",-16,-9.3,-8.7,-13.4,-7.4,-4.8,-1.2,0.2,-0.3,0.5,-0.1,1.4,3,6.5,13.3,12.6,8.6,3.3,5.9,12.8,11.7
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Chained (1982) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","quantity index and the 1982 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","The residual line is the difference between the first line and the sum of the most",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
