"","Table 5#4#5B# Private Fixed Investment in Structures by Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"47","40","    Manufactured homes","A945RC1",13.9,15.3,14.9,11.5,9.3,8.5,7.1
"48","41","    Dormitories","C295RC1",0.8,1,1.3,1.4,1.6,1.5,1.8
"49","42","    Improvements","A946RC1",91,93.2,100,107.1,113,121.8,132
"50","43","    Brokers' commissions on sale of structures","A758RC1",41.5,48.9,53.8,56.1,60.4,68.8,80.4
"51","44","    Net purchases of used structures","A759RC1",-2.4,-3.1,-3.4,-1.5,-1.8,-2.9,-2.8
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RC1",552.1,607.7,648.8,697.1,721.9,701.8,748
"54","46","    Nonresidential structures","A771RC1",248.5,274.3,281.3,312.1,318.7,271.2,261.3
"55","47","    Residential structures","A756RC1",303.7,333.4,367.4,385,403.2,430.7,486.7
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA
