"","Table 5#7#5B# Private Inventories and Domestic Final Sales by In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37"
"11","3","Mining, utilities, and construction","N238RC1",NA,NA,NA,31.1,32,31.7,33,33.7,33.4,35.1,35.5,37.3,37.4,38.9,39.9,39.6,40.4,41.6,43.6,44.5,49.5,48.6,46.8,47.5,47.7,48.8,47.6,48.8,53.5,52.3,51.9,52.3,53.9,56.6
"12","4","Manufacturing","N376RC1",NA,NA,NA,421,421,424.1,427.1,431.7,433.8,435.8,434.6,431.5,431.5,435.4,444.6,457.7,463.9,470.1,473.8,477,475.2,465.6,452.8,437.9,435.9,436,440.1,443.5,448.5,441.2,437.6,442,452.1,462.8
"13","5","  Durable goods industries","N377RC1",NA,NA,NA,260.7,262,264,265.9,268.1,272.1,275.2,275.6,274.5,274.9,275.7,279.8,286.4,287.8,290.2,292.5,294.6,293.5,287.4,279.2,270.5,266,264.2,262.6,263.9,262.3,257.9,254.7,257.6,263.5,268.6
"14","6","  Nondurable goods industries","N378RC1",NA,NA,NA,160.3,159,160.2,161.2,163.6,161.6,160.6,159,157,156.6,159.8,164.8,171.3,176.1,179.9,181.3,182.4,181.7,178.2,173.6,167.3,169.9,171.8,177.5,179.6,186.3,183.3,182.9,184.4,188.6,194.2
"15","7","Wholesale trade","N379RC1",NA,NA,NA,285.1,289.6,294.9,297.6,303.1,306.9,306.3,309.4,313.3,317.2,320.3,328.4,337.4,346.1,352.1,354.8,359,357.1,356.2,349.6,338.6,336.4,338.3,346,346.9,351,347.2,350.2,357.7,366.6,376.2
"16","8","  Durable goods industries","N380RC1",NA,NA,NA,178.1,181,186.8,187.3,189.9,194,193,195.8,198.6,200.7,202.8,205.9,211.6,214.7,220.1,220.4,220.7,218.9,214.1,208,200.3,196.4,196.4,199.6,200,200.7,199.2,198.4,203,209.5,216.5
"17","9","  Nondurable goods industries","N381RC1",NA,NA,NA,107,108.5,108.1,110.3,113.2,112.9,113.3,113.6,114.7,116.5,117.5,122.5,125.8,131.3,132,134.4,138.2,138.2,142.1,141.6,138.3,139.9,141.9,146.4,146.8,150.3,148,151.7,154.7,157.1,159.7
"18","10","Retail trade","N382RC1",NA,NA,NA,328.7,327.4,330.4,333.9,337.5,346.6,349.1,351.3,353.6,360.4,364.9,371.3,383.8,386.4,396.8,403,409,404.9,406.5,407.5,395.6,400,407.9,412.8,420.9,430.7,429.8,432.8,435.2,443.8,455.2
"19","11","  Motor vehicle and parts dealers","N864RC1",NA,NA,NA,101.9,100.5,100.7,101.7,104.2,107.9,108.1,107.8,107.6,111.8,112.7,115.7,121.5,122.1,129.1,133.3,135.6,129.8,132,133.7,125,129,133.9,134.6,140.8,147,146,145.4,143.5,148.3,152.5
"20","12","  Food and beverage stores","N239RC1",NA,NA,NA,27.5,27.7,27.5,28.1,27.8,28.4,28.9,29.1,29.5,29.9,30.2,31.2,31.5,31.7,31.6,31.9,32.1,33,33.4,33.4,33.6,33.5,33.5,33.9,34.3,34.7,34.9,35.7,35.6,35.8,36.9
"21","13","  General merchandise stores","N240RC1",NA,NA,NA,58,57.3,58.1,57.8,58.3,59,59.2,60,59.6,60,60.3,61.1,62.5,62.7,63.3,63.1,63.8,65.7,65.9,65.4,64,63.1,63.3,64.3,65.7,65.6,65.8,66,67.1,68.1,69.3
"22","14","  Other retail stores","N865RC1",NA,NA,NA,141.4,142,144.2,146.3,147.2,151.3,152.9,154.5,156.8,158.7,161.7,163.4,168.3,169.8,172.8,174.7,177.5,176.4,175.3,174.9,173,174.4,177.3,180,180.1,183.4,183.1,185.7,189,191.6,196.3
"23","15","Other industries","N385RC1",NA,NA,NA,82.1,83.9,84.6,85.5,86.9,87.2,88.1,89.2,90.9,92.3,95.1,97.5,99.5,104,107.8,112.6,114.4,115.3,115.3,114.1,112.6,111,111.6,111.4,111.5,112.2,112.6,113,113.3,114.3,115.7
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Private inventories","A371RC1",NA,NA,NA,1284.4,1291.5,1303.4,1315.1,1329.5,1341.9,1342.4,1341.6,1346.8,1362.3,1377.6,1402.9,1442.2,1467.5,1494.1,1509.6,1535.9,1539,1528.1,1501.8,1458.3,1460.1,1469.6,1487.7,1508.2,1533,1520.2,1534.8,1552.5,1606,1644
"26","17","    Durable goods industries","N241RC1",NA,NA,NA,603.4,606.7,615.2,619.1,626.4,639.2,642,645.2,648,655.9,660.6,671.7,691.8,698.7,714.6,722.1,727.3,718.6,709.9,697.2,672.3,669.8,673.6,676.9,686.1,692.8,687.2,684.5,692.5,711.8,732.5
"27","18","    Nondurable goods industries","N242RC1",NA,NA,NA,681,684.8,688.2,696,703.1,702.7,700.4,696.4,698.9,706.5,717,731.2,750.4,768.8,779.4,787.5,808.6,820.4,818.2,804.6,786,790.3,796,810.7,822.1,840.2,833,850.3,859.9,894.2,911.5
"28","19","  Nonfarm industries","A373RC1",NA,NA,NA,1148.1,1153.8,1165.8,1177.1,1192.9,1207.9,1214.5,1220,1226.5,1238.8,1254.6,1281.6,1318,1340.7,1368.5,1387.7,1403.8,1402.1,1392.2,1370.7,1332.2,1330.9,1342.7,1358,1371.5,1396,1383.2,1385.4,1400.4,1430.6,1466.4
"29","20","  Wholesale trade","N379RC1",NA,NA,NA,285.1,289.6,294.9,297.6,303.1,306.9,306.3,309.4,313.3,317.2,320.3,328.4,337.4,346.1,352.1,354.8,359,357.1,356.2,349.6,338.6,336.4,338.3,346,346.9,351,347.2,350.2,357.7,366.6,376.2
"30","21","    Merchant wholesale trade","N802RC1",NA,NA,NA,242.4,246.6,251.7,254.5,259.6,263.7,263.7,266.9,270.3,273.6,275.2,281.9,289.9,297.2,302.4,304.1,307.4,306.2,305.8,301.3,292.5,290.1,291.7,297.8,297.7,301.1,299.1,302.1,308.6,316.2,323.8
"31","22","      Durable goods industries","N803RC1",NA,NA,NA,152.9,155.3,160.5,161.4,163.8,167.5,166.9,169.6,171.9,173.7,175.2,178,183.6,186.6,191.5,191.3,191.2,189.5,185,180.1,173.4,169.9,169.7,172.4,172.6,173.9,172.7,172.3,176.7,182.6,188.9
"32","23","      Nondurable goods industries","N804RC1",NA,NA,NA,89.5,91.3,91.2,93.1,95.8,96.2,96.7,97.3,98.4,99.9,100.1,103.9,106.3,110.6,110.9,112.8,116.2,116.7,120.8,121.2,119.1,120.2,122,125.4,125.1,127.1,126.4,129.8,131.9,133.6,134.9
"33","24","    Nonmerchant wholesale trade","N805RC1",NA,NA,NA,42.7,42.9,43.1,43.1,43.4,43.2,42.7,42.5,43,43.6,45.1,46.4,47.5,48.9,49.6,50.7,51.5,50.9,50.4,48.3,46.1,46.3,46.7,48.2,49.2,49.9,48.1,48,49.1,50.4,52.4
"34","25","    Final sales of domestic business \2\","A809RC1",NA,NA,NA,515,521.8,528.2,539.1,544.3,549.1,558.7,566.2,578,583.3,593.7,602.6,612.6,624,632.6,636.7,643.4,650.1,656,654.6,663.5,663,666.9,673.9,678.2,686.4,699.4,715.3,723.5,733.9,744.2
"35","26","    Final sales of goods and structures of domestic business \2\","A810RC1",NA,NA,NA,296.5,301.2,303.4,311,312.4,314.9,320.2,325.9,334.5,335.5,341.9,345.1,350.7,357.4,360.8,362.4,364.4,366.7,369.9,368.3,373.2,369.1,367.5,369,367.6,371.5,378.4,392.5,397.8,403,409.3
"36",NA,"  Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","27","  Private inventories to final sales","A811RC2",NA,NA,NA,2.49,2.48,2.47,2.44,2.44,2.44,2.4,2.37,2.33,2.34,2.32,2.33,2.35,2.35,2.36,2.37,2.39,2.37,2.33,2.29,2.2,2.2,2.2,2.21,2.22,2.23,2.17,2.15,2.15,2.19,2.21
"38","28","  Nonfarm inventories to final sales","A812RC2",NA,NA,NA,2.23,2.21,2.21,2.18,2.19,2.2,2.17,2.15,2.12,2.12,2.11,2.13,2.15,2.15,2.16,2.18,2.18,2.16,2.12,2.09,2.01,2.01,2.01,2.02,2.02,2.03,1.98,1.94,1.94,1.95,1.97
"39","29","  Nonfarm inventories to final sales of goods and structures","A813RC2",NA,NA,NA,3.87,3.83,3.84,3.78,3.82,3.84,3.79,3.74,3.67,3.69,3.67,3.71,3.76,3.75,3.79,3.83,3.85,3.82,3.76,3.72,3.57,3.61,3.65,3.68,3.73,3.76,3.66,3.53,3.52,3.55,3.58
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Inventories are as of the end of the quarter.  The quarter-to-quarter change in inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","calculated from current-dollar inventories in this table is not the current-dollar change in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","private inventories component of GDP.  The former is the difference between two inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","stocks, each valued at its respective end-of-quarter prices.  The latter is the change in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","physical volume of inventories valued at average prices of the quarter.  In addition, changes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","calculated from this table are at quarterly rates, whereas, the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","domestic product less gross value added of households and institutions and of general government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","and it includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
