"","Table 1#9#5# Net Value Added by Sector                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"11","4","  Farm","A365RC1",8.4,6.4,5.1,3.4,3.6,3.7,6,5.4,7.1,5.4,5.1,5.3,7.7,11.6,13.8,13.7,14.3,16.8,17.8,20.5,15.8,16.7,19.3,18.2,16,15.5,14.5,14.1,13.9,15.9,14.1,14.9,15,15,15,13.7,16.1,16.7,15.7,15.9,17.8,18.4,19.7,23.5,40.1,36.4,36.4,32.7,32,37.8,45.4,34.6,46.5,41.1,25.7,45.1,44.8,41.2,43.8,43.6,55.4,58,50.9,59.8,51.7,62.4,48.9,70.8,67.8,58,47.6,50.2,45.7,42.8,55.8
"12","5","Households and institutions","W503RC1",7.8,7.3,6.6,5.7,4.9,4.8,4.9,5,5.4,5.4,5.6,5.8,6.1,6.9,7.6,8.4,9.2,9.7,10.5,11.6,12.7,14.2,15.8,17.7,19.9,21.8,24.1,26.2,28.5,31.1,33.9,37.5,40,43.4,46.3,49.3,52.8,56.9,61.3,66.1,72.7,79,87.1,94.2,102.6,111.7,122.8,133.3,144.7,161.3,179.8,206.9,236.1,264.3,290.9,320.1,346.7,374.8,410.8,452.6,490.2,536,573.4,603.2,634.1,666.4,704.5,736.4,773,819.1,870.3,928.6,988.6,1055,1083.2
"13","6","  Households","W504RC1",6.5,6,5.3,4.5,3.8,3.7,3.7,3.9,4.1,4.1,4.3,4.4,4.6,5.3,5.8,6.5,7.1,7.1,7.6,8.2,9,10.1,11.4,12.9,14.6,16,17.8,19.3,20.9,22.7,24.7,27,28.8,31.1,33,34.7,36.7,38.8,41.2,43.3,46.4,49.6,54.3,57.9,62.3,66.9,72.8,78.9,85.3,94.8,105.1,121.3,138.9,155.2,169.4,185.7,202.6,217.2,233.7,255,273.8,297.7,315.4,323.3,338.1,358,376.9,394.2,413.7,436.6,466.2,498.2,534.6,570.9,573.1
"14","7","  Nonprofit institutions serving households \3\","W505RC1",1.3,1.3,1.3,1.2,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.6,1.8,2,2.1,2.5,3,3.4,3.8,4.1,4.5,4.9,5.4,5.8,6.3,6.9,7.6,8.4,9.2,10.5,11.2,12.3,13.4,14.6,16.1,18,20.2,22.8,26.3,29.4,32.8,36.3,40.3,44.8,49.9,54.4,59.4,66.5,74.7,85.6,97.2,109.1,121.5,134.4,144.2,157.6,177,197.6,216.4,238.3,258,279.9,296,308.4,327.6,342.1,359.3,382.6,404.1,430.3,454.1,484.1,510.1
"15","8","General government \4\","A194RC1",4.4,4.6,4.7,4.5,4.7,5.6,6,7.3,6.9,7.7,7.6,7.8,9.5,15.2,25.6,32.3,35.3,22.4,17.6,18.1,20.1,21.2,27.7,31.5,32.4,33,34.8,37.2,39.8,42.9,44.9,48.1,51.6,55.5,59.3,64.4,69.3,78.4,87.4,97.8,107.5,119.4,130.9,143.1,155.4,169.7,189.6,206.4,225,244.7,266.1,295.5,325.2,352.7,375.3,410.4,443.7,470.4,499.1,531.7,566.2,608.5,645.6,674.6,698.6,721.1,740.3,763.3,788.5,818.4,854.3,903.2,953.7,1016.8,1071.7
"16","9","  Federal","B568RC1",0.9,0.9,1,0.9,1.2,1.7,1.8,3.6,3.1,3.6,3.5,3.5,5.1,10.7,21,27.3,30,16.2,10.3,9.6,10.7,11.1,16.6,19.3,19.1,18.3,19,19.6,20.2,21.3,21.7,22.6,23.7,25.2,26.5,28.5,30,34.3,37.9,41.9,44.9,48.3,51.7,55.4,57.4,62,68.4,73.3,79.9,85.8,91.8,102.5,115.1,125.3,132.3,149.4,159,163.1,170.3,178,185.7,193.9,205.9,210.7,211.9,209.8,206.8,210.7,212.9,215.1,221.3,233.8,242.9,266.8,293.5
"17","10","  State and local","B251RC1",3.5,3.6,3.7,3.6,3.5,3.9,4.2,3.7,3.9,4.1,4.2,4.3,4.4,4.5,4.7,4.9,5.4,6.2,7.3,8.5,9.4,10.1,11.2,12.3,13.3,14.7,15.8,17.6,19.6,21.6,23.1,25.5,27.9,30.2,32.9,35.9,39.3,44.1,49.5,55.9,62.6,71.1,79.2,87.7,98,107.7,121.2,133,145.1,158.9,174.3,193,210.1,227.4,243,261.1,284.7,307.3,328.8,353.7,380.5,414.6,439.8,463.9,486.7,511.2,533.5,552.7,575.5,603.3,633.1,669.4,710.8,750,778.2
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1. Equals net domestic product excluding net value added of households",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","and institutions and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","3. Equals gross value added of nonprofit institutions excluding consumption of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","fixed capital on fixed assets owned and used by nonprofit instututions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","4. Equals compensation of general government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
