"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"59","41","    Used \1\","W245RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","137.0","65.0","222.0","-431.0","288.0","202.0","65.0","231.0","-134.0","214.0","692.0","979.0","157.0","1,689.0","-671.0","-361.0","832.0","1,930.0","1,693.0","-212.0","85.0","457.0","-1,463.0","-1,981.0","-266.0","-483.0","1,377.0","-1,462.0","-6,148.0"
"60",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","42","  Final sales of motor vehicles to domestic purchasers","AB75RC1","46,726.0","41,183.0","52,087.0","60,072.0","67,349.0","60,753.0","62,490.0","82,510.0","100,675.0","115,095.0","115,891.0","102,497.0","113,314.0","118,885.0","149,139.0","185,955.0","213,180.0","230,137.0","226,634.0","242,293.0","245,337.0","240,072.0","220,785.0","243,192.0","274,062.0","317,516.0","325,730.0","348,057.0","375,702.0","408,440.0","454,660.0","460,555.0","463,654.0","478,477.0","476,288.0","501,176.0","524,660.0","527,208.0","514,088.0","409,061.0","328,395.0","392,763.0","462,829.0"
"62","43","  Private fixed investment in new autos and new light trucks","AB76RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","57,869.0","65,194.0","61,522.0","65,167.0","70,478.0","75,389.0","86,452.0","108,710.0","112,669.0","131,269.0","144,010.0","151,941.0","171,316.0","171,892.0","160,779.0","155,884.0","148,451.0","161,388.0","176,549.0","189,298.0","188,493.0","148,986.0","100,077.0","140,004.0","158,839.0"
"63","44","  Domestic output of new autos \2\","B148RC1","30,181.0","24,042.0","33,172.0","35,329.0","40,008.0","33,289.0","34,029.0","46,616.0","54,817.0","59,012.0","59,173.0","50,869.0","57,670.0","51,488.0","71,787.0","86,785.0","94,990.0","97,032.0","93,717.0","97,390.0","97,470.0","91,504.0","87,652.0","93,287.0","99,165.0","115,630.0","110,183.0","112,030.0","110,437.0","109,396.0","113,529.0","115,757.0","107,158.0","110,588.0","96,408.0","96,296.0","107,790.0","109,218.0","105,526.0","101,149.0","60,526.0","77,503.0","86,652.0"
"64","45","  Sales of imported new autos \3\","B149RC1","5,063.0","5,797.0","7,041.0","7,967.0","9,049.0","8,913.0","10,364.0","11,424.0","14,907.0","16,362.0","19,285.0","21,800.0","24,732.0","28,419.0","33,136.0","38,379.0","44,761.0","54,130.0","53,188.0","57,650.0","53,646.0","54,443.0","48,321.0","51,280.0","54,536.0","56,921.0","56,002.0","55,327.0","60,214.0","67,179.0","77,394.0","82,516.0","80,425.0","85,730.0","82,346.0","84,400.0","86,357.0","96,180.0","99,589.0","88,989.0","74,937.0","84,792.0","95,228.0"
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
