"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"21","2","       Final sales of domestic product","A190RX1","4,218,203.0","4,238,958.0","4,260,927.0","4,261,746.0","4,273,297.0","4,265,082.0","4,303,301.0","4,295,325.0","4,348,476.0","4,378,549.0","4,417,071.0","4,470,327.0","4,532,426.0","4,607,671.0","4,649,201.0","4,757,353.0","4,861,650.0","4,885,487.0","4,891,550.0","4,897,226.0","4,891,187.0","4,896,599.0","4,881,516.0","4,810,586.0","4,848,199.0","4,897,889.0","4,941,931.0","5,000,323.0","5,069,440.0","5,086,526.0","5,117,992.0","5,189,506.0","5,238,196.0","5,322,418.0","5,378,401.0","5,422,289.0","5,429,163.0","5,644,603.0","5,696,364.0","5,769,532.0","5,787,761.0","5,787,485.0","5,871,406.0","5,898,191.0","5,909,644.0","5,793,828.0","5,869,344.0","5,921,759.0","5,950,873.0","5,962,742.0","5,969,643.0","5,934,428.0","5,917,745.0","5,915,192.0","5,876,452.0","5,963,536.0","6,026,528.0","6,111,842.0","6,225,205.0","6,306,988.0","6,349,172.0","6,465,551.0","6,525,175.0","6,620,288.0","6,732,499.0","6,783,792.0","6,893,951.0","6,922,146.0","6,993,383.0","7,046,144.0","7,145,306.0","7,185,826.0","7,166,621.0","7,262,188.0","7,348,946.0","7,381,950.0","7,491,095.0","7,581,393.0","7,617,431.0","7,715,318.0","7,752,521.0","7,827,826.0","7,926,418.0","7,936,314.0","8,022,439.0","8,025,883.0","8,041,704.0","8,013,159.0","7,981,131.0","8,038,540.0","8,049,649.0","8,042,264.0","8,166,550.0","8,225,008.0","8,315,360.0","8,401,873.0","8,396,421.0","8,466,805.0","8,533,214.0","8,635,427.0","8,681,611.0","8,754,748.0","8,849,593.0","8,920,713.0","8,958,733.0","9,011,681.0","9,119,030.0","9,172,237.0","9,251,437.0","9,384,038.0","9,424,960.0","9,557,246.0","9,624,394.0","9,701,004.0","9,854,092.0","9,917,456.0","9,979,774.0","10,148,443.0","10,265,536.0","10,439,563.0","10,508,321.0","10,639,112.0","10,770,503.0","10,908,125.0","11,018,150.0","11,148,418.0","11,196,773.0","11,268,500.0","11,325,596.0","11,375,673.0","11,364,078.0","11,462,633.0","11,485,652.0","11,518,214.0","11,569,870.0","11,560,837.0","11,609,564.0","11,742,622.0","11,928,615.0","12,001,067.0","12,066,521.0","12,118,355.0","12,224,193.0","12,316,107.0","12,424,110.0","12,555,185.0","12,658,545.0","12,654,175.0","12,831,879.0","12,877,322.0","12,882,847.0","13,005,303.0","13,038,204.0","13,126,152.0","13,231,800.0","13,314,035.0","13,277,785.0","13,325,894.0","13,225,601.0","12,972,897.0","12,836,021.0","12,830,000.0","12,875,093.0","12,869,517.0","12,895,944.0","12,992,183.0","13,046,008.0","13,181,645.0","13,182,820.0","13,236,235.0","13,340,941.0","13,378,262.0","13,433,594.0"
"22","3","       Change in private inventories","A014RX1","37,013.0","31,210.0","34,862.0","18,029.0","3,939.0","16,662.0","16,167.0","-14,348.0","38,479.0","32,965.0","31,473.0","-2,959.0","10,835.0","37,953.0","38,977.0","14,931.0","23,076.0","52,936.0","23,225.0","56,805.0","26,446.0","37,006.0","12,662.0","40,166.0","-15,390.0","-29,588.0","-5,783.0","-347.0","31,779.0","47,139.0","43,890.0","14,233.0","24,038.0","40,154.0","71,110.0","37,108.0","43,170.0","42,460.0","44,773.0","51,908.0","39,802.0","44,869.0","16,955.0","10,282.0","13,368.0","11,403.0","-48,822.0","-13,259.0","55,360.0","14,319.0","57,854.0","28,303.0","-27,215.0","-5,432.0","6,782.0","-52,846.0","-47,706.0","-6,693.0","-5,641.0","29,439.0","88,698.0","83,089.0","86,889.0","54,377.0","17,212.0","25,087.0","20,786.0","38,591.0","35,321.0","17,249.0","-9,450.0","-9,155.0","36,591.0","20,098.0","-657.0","76,752.0","17,900.0","22,874.0","20,709.0","26,188.0","54,384.0","41,038.0","10,769.0","16,291.0","15,113.0","37,019.0","24,927.0","-10,795.0","-17,231.0","-20,997.0","-507.0","33,021.0","2,727.0","23,904.0","21,119.0","23,843.0","40,276.0","26,832.0","6,292.0","15,598.0","50,523.0","90,485.0","56,041.0","80,091.0","65,862.0","37,721.0","8,211.0","16,493.0","3,163.0","26,774.0","62,015.0","32,778.0","43,189.0","103,888.0","75,428.0","86,976.0","117,202.0","43,242.0","60,576.0","65,481.0","89,433.0","41,067.0","44,552.0","99,080.0","18,741.0","101,007.0","63,074.0","58,110.0","-34,837.0","-10,665.0","-30,834.0","-90,747.0","-15,050.0","13,413.0","19,823.0","32,889.0","31,540.0","-3,491.0","2,961.0","38,347.0","52,379.0","78,658.0","62,691.0","71,577.0","91,430.0","15,543.0","11,807.0","81,030.0","65,813.0","72,544.0","67,510.0","31,825.0","17,324.0","44,868.0","36,093.0","12,617.0","-12,497.0","-14,172.0","-38,131.0","-80,265.0","-161,578.0","-182,985.0","-178,738.0","-56,451.0","39,931.0","64,623.0","92,256.0","38,316.0","49,144.0","39,122.0","-1,998.0","52,245.0","57,742.0"
"23","4","       Residual","A958RX1","-14,700.0","-17,400.0","-16,100.0","-20,100.0","-24,300.0","-21,100.0","-20,900.0","-28,000.0","-16,700.0","-16,400.0","-18,400.0","-24,800.0","-21,300.0","-16,600.0","-14,700.0","-21,800.0","-12,800.0","-10,000.0","-12,700.0","-5,200.0","-12,200.0","-15,600.0","-24,800.0","-600.0","-41,600.0","-40,500.0","-27,000.0","-26,700.0","-14,900.0","-9,000.0","-12,200.0","-16,600.0","-14,900.0","-11,000.0","-2,200.0","-13,300.0","-7,700.0","-7,400.0","-5,800.0","-10,100.0","-6,600.0","-6,000.0","-20,100.0","-24,000.0","-19,600.0","-22,800.0","-48,800.0","-30,100.0","-5,700.0","-24,300.0","-2,500.0","-12,700.0","-38,200.0","-25,800.0","-21,900.0","-44,700.0","-39,900.0","-32,700.0","-27,400.0","-16,200.0","4,900.0","5,300.0","5,600.0","-3,100.0","-15,200.0","-17,400.0","-17,200.0","-10,700.0","-11,900.0","-18,300.0","-22,900.0","-29,300.0","-16,300.0","-19,000.0","-21,900.0","-7,100.0","-18,800.0","-17,900.0","-12,500.0","-14,100.0","-7,000.0","-10,500.0","-16,600.0","-14,700.0","-16,700.0","-10,200.0","-14,000.0","-20,400.0","-20,500.0","-20,500.0","-18,400.0","-13,100.0","-18,600.0","-11,600.0","-14,200.0","-15,900.0","-11,400.0","-14,400.0","-15,700.0","-14,600.0","-11,600.0","-5,400.0","-8,900.0","-5,300.0","-7,000.0","-12,400.0","-14,300.0","-12,300.0","-15,300.0","-11,800.0","-6,200.0","-5,700.0","-9,600.0","-3,700.0","-5,300.0","-4,200.0","-2,200.0","-6,000.0","-6,100.0","-6,500.0","-5,600.0","-5,300.0","-4,400.0","-2,400.0","-3,300.0","-600.0","-1,600.0","-1,600.0","-3,000.0","-3,300.0","-2,900.0","-1,900.0","-3,500.0","-3,500.0","-3,100.0","-3,100.0","-2,200.0","-1,600.0","-900.0","-800.0","-1,000.0","-1,200.0","-200.0","-500.0","-500.0","0.0","200.0","400.0","-1,300.0","-1,100.0","100.0","1,300.0","600.0","2,500.0","1,900.0","-600.0","1,500.0","-1,200.0","-600.0","-9,100.0","-11,200.0","-5,700.0","-1,900.0","500.0","1,900.0","1,700.0","1,300.0","-3,800.0","-4,000.0","-3,500.0","-7,300.0","-1,500.0","-300.0"
"24","5","Goods","A353RX1","916,601.0","908,791.0","916,598.0","908,332.0","904,529.0","914,266.0","918,776.0","882,245.0","933,295.0","929,636.0","938,557.0","925,789.0","944,993.0","994,052.0","1,009,775.0","1,033,081.0","1,081,683.0","1,109,839.0","1,093,003.0","1,120,892.0","1,101,810.0","1,102,940.0","1,082,211.0","1,076,184.0","1,034,790.0","1,043,664.0","1,081,489.0","1,094,126.0","1,131,776.0","1,149,945.0","1,157,616.0","1,148,647.0","1,162,440.0","1,190,600.0","1,231,640.0","1,223,663.0","1,214,939.0","1,290,047.0","1,298,394.0","1,328,209.0","1,333,138.0","1,325,495.0","1,345,056.0","1,339,858.0","1,352,124.0","1,316,377.0","1,297,043.0","1,331,386.0","1,399,883.0","1,359,492.0","1,413,864.0","1,362,568.0","1,310,854.0","1,337,782.0","1,316,977.0","1,285,421.0","1,293,792.0","1,351,514.0","1,378,017.0","1,454,862.0","1,506,162.0","1,537,524.0","1,552,252.0","1,561,354.0","1,554,754.0","1,561,716.0","1,591,225.0","1,596,868.0","1,612,516.0","1,608,617.0","1,631,035.0","1,636,499.0","1,640,610.0","1,671,108.0","1,694,091.0","1,744,387.0","1,755,318.0","1,791,616.0","1,794,619.0","1,828,561.0","1,869,642.0","1,897,213.0","1,912,731.0","1,897,909.0","1,925,086.0","1,926,835.0","1,921,882.0","1,882,972.0","1,864,006.0","1,872,732.0","1,893,678.0","1,897,029.0","1,907,860.0","1,948,801.0","1,975,938.0","2,002,161.0","2,008,772.0","2,030,512.0","2,023,366.0","2,073,646.0","2,122,742.0","2,168,210.0","2,175,036.0","2,242,571.0","2,247,665.0","2,234,680.0","2,252,054.0","2,293,947.0","2,301,766.0","2,364,115.0","2,417,747.0","2,438,052.0","2,474,865.0","2,550,655.0","2,606,279.0","2,632,278.0","2,679,768.0","2,658,264.0","2,713,531.0","2,807,158.0","2,840,643.0","2,866,247.0","2,914,668.0","2,998,845.0","2,972,720.0","3,078,534.0","3,063,634.0","3,072,799.0","3,002,752.0","3,013,279.0","2,974,804.0","2,999,946.0","3,030,249.0","3,045,842.0","3,076,981.0","3,046,449.0","3,080,280.0","3,090,027.0","3,206,039.0","3,264,881.0","3,280,455.0","3,295,119.0","3,336,556.0","3,385,345.0","3,444,193.0","3,446,029.0","3,483,509.0","3,529,196.0","3,627,020.0","3,649,143.0","3,650,434.0","3,709,981.0","3,722,191.0","3,796,426.0","3,854,148.0","3,905,784.0","3,862,010.0","3,905,121.0","3,822,043.0","3,569,619.0","3,471,091.0","3,502,673.0","3,569,935.0","3,722,810.0","3,903,354.0","3,941,541.0","4,016,909.0","4,075,086.0","4,124,545.0","4,118,082.0","4,140,644.0","4,268,737.0","4,330,105.0"
"25","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,195,301.0","2,208,063.0","2,249,680.0","2,283,627.0","2,304,237.0","2,345,355.0","2,366,912.0","2,409,965.0","2,441,521.0","2,464,029.0","2,543,670.0","2,559,187.0","2,580,296.0","2,622,456.0","2,663,392.0","2,753,183.0","2,766,102.0","2,831,997.0","2,876,781.0","2,912,961.0","2,956,410.0","2,989,040.0","3,007,617.0","3,020,953.0","3,033,344.0","3,022,691.0","3,001,662.0","3,079,148.0","3,043,541.0","3,033,695.0","3,058,697.0","3,016,226.0","3,050,187.0","3,091,918.0","3,201,035.0","3,226,370.0","3,228,774.0","3,218,434.0","3,274,359.0","3,314,674.0","3,354,054.0","3,430,519.0","3,471,481.0","3,447,064.0","3,562,166.0","3,577,229.0","3,582,458.0","3,677,746.0","3,705,903.0","3,749,317.0","3,816,904.0","3,896,360.0","3,877,160.0","3,924,945.0","3,867,008.0","3,669,852.0","3,661,829.0","3,710,763.0","3,769,285.0","3,786,605.0","3,859,887.0","3,871,160.0","3,916,556.0","4,040,131.0","4,078,027.0","4,082,006.0","4,154,562.0","4,216,182.0","4,270,164.0"
"26","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","65,862.0","37,721.0","8,211.0","16,493.0","3,163.0","26,774.0","62,015.0","32,778.0","43,189.0","103,888.0","75,428.0","86,976.0","117,202.0","43,242.0","60,576.0","65,481.0","89,433.0","41,067.0","44,552.0","99,080.0","18,741.0","101,007.0","63,074.0","58,110.0","-34,837.0","-10,665.0","-30,834.0","-90,747.0","-15,050.0","13,413.0","19,823.0","32,889.0","31,540.0","-3,491.0","2,961.0","38,347.0","52,379.0","78,658.0","62,691.0","71,577.0","91,430.0","15,543.0","11,807.0","81,030.0","65,813.0","72,544.0","67,510.0","31,825.0","17,324.0","44,868.0","36,093.0","12,617.0","-12,497.0","-14,172.0","-38,131.0","-80,265.0","-161,578.0","-182,985.0","-178,738.0","-56,451.0","39,931.0","64,623.0","92,256.0","38,316.0","49,144.0","39,122.0","-1,998.0","52,245.0","57,742.0"
"27","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,029,339.0","1,023,661.0","1,045,845.0","1,076,752.0","1,074,181.0","1,111,158.0","1,144,753.0","1,148,421.0","1,189,355.0","1,235,072.0","1,279,421.0","1,300,194.0","1,340,789.0","1,330,473.0","1,373,287.0","1,437,533.0","1,458,384.0","1,469,824.0","1,525,705.0","1,564,231.0","1,585,414.0","1,635,096.0","1,621,319.0","1,626,900.0","1,582,552.0","1,579,927.0","1,543,941.0","1,562,545.0","1,591,388.0","1,602,419.0","1,629,669.0","1,603,091.0","1,604,158.0","1,633,041.0","1,697,710.0","1,754,129.0","1,757,320.0","1,771,451.0","1,803,243.0","1,821,625.0","1,874,181.0","1,881,705.0","1,929,188.0","1,951,010.0","1,984,547.0","2,011,186.0","2,033,527.0","2,028,939.0","2,071,714.0","2,117,271.0","2,155,163.0","2,226,952.0","2,158,479.0","2,153,416.0","2,143,284.0","1,965,283.0","1,822,682.0","1,824,662.0","1,893,374.0","1,951,961.0","2,096,024.0","2,167,531.0","2,213,644.0","2,229,962.0","2,283,907.0","2,301,097.0","2,368,876.0","2,387,694.0","2,449,625.0"
"28","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","991,431.0","998,523.0","1,028,372.0","1,053,300.0","1,067,574.0","1,097,455.0","1,114,130.0","1,142,306.0","1,167,256.0","1,190,004.0","1,250,333.0","1,259,210.0","1,278,235.0","1,309,706.0","1,344,579.0","1,406,875.0","1,409,814.0","1,458,692.0","1,500,884.0","1,507,221.0","1,568,428.0","1,579,201.0","1,589,614.0","1,593,476.0","1,622,134.0","1,599,978.0","1,572,842.0","1,631,755.0","1,585,883.0","1,584,789.0","1,615,709.0","1,568,791.0","1,576,052.0","1,630,025.0","1,706,442.0","1,719,559.0","1,721,869.0","1,723,892.0","1,766,075.0","1,789,660.0","1,812,926.0","1,873,118.0","1,916,985.0","1,892,174.0","1,964,123.0","1,978,118.0","1,990,592.0","2,025,269.0","2,061,998.0","2,113,135.0","2,149,387.0","2,207,749.0","2,176,005.0","2,189,407.0","2,150,172.0","2,004,040.0","1,974,048.0","1,979,336.0","2,020,068.0","2,004,619.0","2,061,374.0","2,100,869.0","2,140,218.0","2,211,156.0","2,240,157.0","2,266,595.0","2,334,160.0","2,373,933.0","2,390,175.0"
"29","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","45,212.0","30,886.0","21,575.0","27,971.0","9,422.0","17,989.0","36,243.0","8,079.0","27,579.0","53,268.0","33,295.0","46,806.0","72,264.0","22,970.0","32,494.0","34,753.0","55,689.0","11,323.0","26,991.0","63,938.0","17,910.0","62,074.0","34,405.0","36,214.0","-46,750.0","-24,557.0","-34,372.0","-80,026.0","4,445.0","17,992.0","13,738.0","36,327.0","29,341.0","1,567.0","-11,584.0","34,734.0","35,451.0","48,077.0","37,084.0","31,896.0","61,563.0","8,577.0","12,154.0","58,586.0","20,601.0","32,865.0","42,376.0","5,156.0","11,143.0","5,730.0","7,073.0","19,167.0","-14,841.0","-30,517.0","-5,797.0","-33,257.0","-132,586.0","-135,096.0","-110,250.0","-45,614.0","29,997.0","57,112.0","62,639.0","16,387.0","37,396.0","29,828.0","29,750.0","12,739.0","49,848.0"
"30","11","  Nondurable goods","A356RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,260,271.0","1,252,595.0","1,243,216.0","1,251,043.0","1,263,611.0","1,287,385.0","1,305,516.0","1,324,285.0","1,313,271.0","1,341,445.0","1,348,427.0","1,351,689.0","1,354,465.0","1,342,994.0","1,352,169.0","1,378,201.0","1,390,100.0","1,404,638.0","1,391,657.0","1,438,448.0","1,385,266.0","1,442,505.0","1,442,351.0","1,445,876.0","1,421,233.0","1,435,352.0","1,434,421.0","1,440,439.0","1,440,660.0","1,444,922.0","1,447,832.0","1,444,550.0","1,478,367.0","1,457,575.0","1,508,752.0","1,510,552.0","1,523,164.0","1,523,736.0","1,533,411.0","1,563,828.0","1,570,053.0","1,564,290.0","1,554,324.0","1,578,177.0","1,642,480.0","1,638,066.0","1,617,521.0","1,680,441.0","1,651,032.0","1,679,872.0","1,700,033.0","1,682,700.0","1,704,853.0","1,751,091.0","1,680,470.0","1,602,779.0","1,638,275.0","1,666,695.0","1,669,155.0","1,760,850.0","1,802,414.0","1,775,107.0","1,805,064.0","1,844,718.0","1,844,449.0","1,824,155.0","1,788,418.0","1,888,542.0","1,892,874.0"
"31","12","    Final sales","A334RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,249,314.0","1,254,720.0","1,263,444.0","1,269,858.0","1,274,917.0","1,283,312.0","1,286,425.0","1,299,399.0","1,303,291.0","1,299,728.0","1,313,679.0","1,320,036.0","1,319,932.0","1,328,183.0","1,331,021.0","1,355,126.0","1,365,904.0","1,380,150.0","1,379,320.0","1,411,511.0","1,387,171.0","1,410,157.0","1,418,334.0","1,428,424.0","1,409,057.0","1,422,668.0","1,430,456.0","1,447,236.0","1,460,136.0","1,450,926.0","1,443,411.0","1,449,693.0","1,477,025.0","1,462,603.0","1,494,441.0","1,506,734.0","1,506,950.0","1,494,609.0","1,508,369.0","1,525,102.0","1,541,168.0","1,557,324.0","1,554,503.0","1,554,920.0","1,598,192.0","1,599,365.0","1,592,354.0","1,652,308.0","1,644,345.0","1,637,978.0","1,669,218.0","1,691,310.0","1,702,758.0","1,736,330.0","1,717,014.0","1,663,081.0","1,682,570.0","1,723,859.0","1,742,637.0","1,772,617.0","1,790,948.0","1,766,574.0","1,774,429.0","1,827,481.0","1,837,626.0","1,819,006.0","1,828,647.0","1,851,513.0","1,886,968.0"
"32","13","    Change in private inventories \1\","A357RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","16,735.0","3,489.0","-17,446.0","-15,828.0","-7,858.0","7,674.0","24,264.0","25,889.0","14,093.0","49,371.0","42,163.0","38,820.0","41,624.0","19,648.0","27,120.0","29,748.0","31,049.0","30,874.0","16,449.0","32,298.0","-345.0","36,975.0","28,004.0","20,923.0","14,643.0","15,611.0","5,504.0","-6,563.0","-20,599.0","-5,710.0","5,708.0","-4,860.0","1,423.0","-5,209.0","14,965.0","3,315.0","16,759.0","30,414.0","25,398.0","39,636.0","29,467.0","6,957.0","-326.0","22,832.0","45,115.0","39,680.0","25,099.0","26,640.0","6,060.0","38,597.0","28,514.0","-5,765.0","1,634.0","13,774.0","-30,840.0","-46,430.0","-32,218.0","-50,648.0","-70,007.0","-12,037.0","11,101.0","9,641.0","31,450.0","22,262.0","13,861.0","11,132.0","-27,165.0","37,830.0","11,955.0"
"33","14","Services \2\","A341RX1","2,757,854.0","2,797,586.0","2,811,975.0","2,836,584.0","2,841,358.0","2,846,415.0","2,866,899.0","2,878,886.0","2,899,495.0","2,915,312.0","2,929,459.0","2,963,677.0","2,999,010.0","3,024,220.0","3,045,227.0","3,071,118.0","3,096,450.0","3,121,503.0","3,135,401.0","3,149,292.0","3,161,381.0","3,184,680.0","3,199,561.0","3,233,565.0","3,268,730.0","3,314,434.0","3,310,555.0","3,343,574.0","3,364,154.0","3,381,487.0","3,409,844.0","3,446,112.0","3,477,918.0","3,498,222.0","3,534,918.0","3,557,948.0","3,602,591.0","3,645,627.0","3,668,676.0","3,690,108.0","3,722,887.0","3,738,624.0","3,733,234.0","3,766,755.0","3,784,732.0","3,791,858.0","3,820,917.0","3,848,254.0","3,858,087.0","3,893,502.0","3,897,754.0","3,901,248.0","3,918,420.0","3,928,081.0","3,963,759.0","4,018,213.0","4,068,774.0","4,106,384.0","4,157,892.0","4,148,446.0","4,168,677.0","4,217,284.0","4,254,655.0","4,296,969.0","4,368,295.0","4,412,520.0","4,486,403.0","4,528,980.0","4,566,013.0","4,617,231.0","4,661,344.0","4,697,483.0","4,737,797.0","4,769,801.0","4,791,603.0","4,843,389.0","4,896,464.0","4,932,111.0","4,980,473.0","5,037,571.0","5,056,121.0","5,092,626.0","5,131,268.0","5,180,454.0","5,212,573.0","5,266,044.0","5,295,286.0","5,304,735.0","5,318,758.0","5,364,799.0","5,373,619.0","5,396,329.0","5,459,453.0","5,488,404.0","5,547,927.0","5,592,298.0","5,605,687.0","5,623,342.0","5,668,718.0","5,695,523.0","5,727,102.0","5,761,637.0","5,812,382.0","5,825,045.0","5,843,833.0","5,889,242.0","5,936,736.0","5,941,589.0","5,983,875.0","6,040,375.0","6,046,955.0","6,111,432.0","6,131,318.0","6,185,003.0","6,234,063.0","6,284,567.0","6,320,926.0","6,405,432.0","6,451,177.0","6,511,148.0","6,562,625.0","6,619,148.0","6,696,554.0","6,777,862.0","6,824,330.0","6,917,318.0","6,939,365.0","6,995,708.0","7,044,195.0","7,082,303.0","7,110,263.0","7,146,581.0","7,212,149.0","7,264,929.0","7,298,360.0","7,328,852.0","7,339,358.0","7,408,083.0","7,440,591.0","7,475,560.0","7,537,444.0","7,570,095.0","7,615,684.0","7,669,458.0","7,719,893.0","7,758,475.0","7,821,641.0","7,835,298.0","7,896,516.0","7,935,615.0","7,971,844.0","8,039,880.0","8,064,681.0","8,100,421.0","8,157,632.0","8,203,375.0","8,226,662.0","8,230,994.0","8,211,566.0","8,197,294.0","8,159,305.0","8,168,749.0","8,169,706.0","8,194,777.0","8,201,440.0","8,253,882.0","8,284,479.0","8,305,044.0","8,303,485.0","8,341,011.0","8,366,662.0","8,344,780.0","8,349,000.0"
