"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"48","30","      Trucks","B707RX1","31,514.0","37,707.0","40,832.0","44,579.0","56,570.0","61,886.0","60,857.0","63,350.0","65,681.0","72,430.0","76,504.0","82,236.0","79,268.0","61,883.0","36,597.0","54,118.0","56,864.0"
"49","31","Change in private inventories","AB65RX1","7,177.0","-2,419.0","4,576.0","453.0","12,009.0","10,775.0","-13,682.0","12,992.0","7,973.0","4,515.0","-3,631.0","-3,703.0","-7,912.0","-9,737.0","-26,227.0","9,696.0","-8,954.0"
"50","32","  Autos","A145RX1","3,368.0","-3,144.0","1,644.0","3,109.0","2,305.0","3,903.0","-3,848.0","7,188.0","-1,252.0","-882.0","-2,208.0","951.0","-4,808.0","4,036.0","-10,979.0","1,011.0","-5,777.0"
"51","33","    New","B146RX1","2,495.0","-5,332.0","487.0","2,456.0","1,142.0","1,180.0","-6,472.0","7,748.0","-1,332.0","-1,384.0","-1,167.0","2,562.0","-3,700.0","6,190.0","-12,320.0","2,745.0","-604.0"
"52","34","      Domestic","AB71RX1","3,060.0","-3,642.0","308.0","1,457.0","-79.0","659.0","-6,997.0","6,491.0","-1,096.0","-388.0","-713.0","1,369.0","-2,863.0","4,131.0","-9,091.0","1,886.0","668.0"
"53","35","      Foreign","AB72RX1","-736.0","-1,742.0","186.0","1,023.0","1,289.0","535.0","650.0","1,242.0","-235.0","-995.0","-454.0","1,195.0","-840.0","2,057.0","-3,222.0","859.0","-1,255.0"
"54","36","    Used","B147RX1","917.0","1,840.0","1,116.0","694.0","1,145.0","2,626.0","2,210.0","-241.0","71.0","526.0","-1,041.0","-1,635.0","-1,089.0","-2,447.0","1,830.0","-1,762.0","-5,093.0"
"55","37","  Trucks","B709RX1","3,860.0","1,295.0","3,069.0","-3,161.0","10,238.0","7,052.0","-10,105.0","5,779.0","9,215.0","5,360.0","-1,423.0","-4,681.0","-3,080.0","-13,900.0","-15,246.0","8,702.0","-3,152.0"
"56","38","    New","W244RX1","4,222.0","-821.0","4,198.0","-2,996.0","10,017.0","5,293.0","-12,641.0","6,194.0","9,029.0","4,843.0","39.0","-2,700.0","-2,804.0","-13,321.0","-16,321.0","10,125.0","2,728.0"
"57","39","      Domestic","AB73RX1","4,766.0","-1,033.0","3,543.0","-2,924.0","9,624.0","4,288.0","-12,177.0","4,651.0","8,983.0","4,901.0","-605.0","-3,487.0","-2,104.0","-14,423.0","-12,661.0","8,859.0","3,014.0"
"58","40","      Foreign","AB74RX1","-328.0","139.0","559.0","-102.0","458.0","920.0","-543.0","1,463.0","55.0","-61.0","644.0","772.0","-684.0","994.0","-3,586.0","1,250.0","-280.0"
"59","41","    Used \1\","W245RX1","128.0","1,471.0","-577.0","-311.0","738.0","1,747.0","1,479.0","-188.0","208.0","497.0","-1,463.0","-1,975.0","-276.0","-506.0","1,323.0","-1,410.0","-5,778.0"
"60","42","Residual","A974RX1","-4,000.0","-2,300.0","-3,500.0","-2,800.0","-4,100.0","-1,200.0","2,400.0","200.0","300.0","100.0","100.0","0.0","-400.0","500.0","-800.0","-1,000.0","500.0"
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","43","  Final sales of motor vehicles to domestic purchasers","AB75RX1","329,753.0","344,959.0","368,998.0","405,257.0","448,484.0","454,541.0","460,527.0","477,185.0","483,524.0","505,994.0","524,659.0","528,299.0","516,875.0","420,061.0","331,755.0","387,411.0","445,193.0"
"63","44","  Private fixed investment in new autos and new light trucks","AB76RX1","108,211.0","124,496.0","137,077.0","146,893.0","164,997.0","165,554.0","156,477.0","154,949.0","149,083.0","162,271.0","176,550.0","190,262.0","191,557.0","153,362.0","101,975.0","140,152.0","154,568.0"
"64","45","  Domestic output of new autos \2\","B148RX1","110,526.0","107,521.0","106,774.0","107,159.0","111,547.0","113,599.0","105,565.0","109,733.0","97,056.0","97,110.0","107,790.0","108,277.0","104,778.0","100,147.0","59,053.0","75,851.0","82,906.0"
"65","46","  Sales of imported new autos \3\","B149RX1","54,293.0","52,813.0","57,429.0","64,567.0","75,001.0","79,957.0","78,283.0","84,440.0","82,661.0","85,204.0","86,357.0","95,323.0","99,250.0","88,830.0","74,104.0","83,013.0","90,582.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Note. Chained (2005) dollar series are calculated as the product of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","series, divided by 100. Because the formula for the chain-type quantity indexes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","are usually not additive. The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","line and the sum of the most detailed lines, excluding the lines in the addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
