"","Table 7#7# Business Current Transfer Payments by Type           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","      Business current transfer payments (net)","B029RC1","4,941.0","4,519.0","4,324.0","4,930.0","5,970.0","7,133.0","9,408.0","9,520.0","8,465.0","10,815.0","13,328.0","14,732.0","17,912.0","20,612.0","22,601.0","30,290.0","35,205.0","36,850.0","34,061.0","33,621.0","39,179.0","40,112.0","39,936.0","40,673.0","40,492.0","41,926.0","45,838.0","53,759.0","51,286.0","65,199.0","68,951.0","86,963.0","101,258.0","82,366.0","76,145.0","81,686.0","95,876.0","82,959.0","103,326.0","122,993.0","132,031.0","136,736.0"
"20","2","Payments to persons (net)","B931RC1","3,331.0","2,926.0","2,696.0","3,112.0","3,940.0","4,738.0","6,844.0","6,694.0","5,090.0","6,463.0","8,225.0","8,630.0","11,175.0","12,386.0","13,796.0","19,727.0","22,260.0","22,948.0","20,228.0","20,596.0","23,171.0","22,193.0","17,636.0","16,287.0","14,054.0","13,255.0","18,728.0","22,878.0","19,446.0","25,995.0","33,972.0","42,434.0","46,768.0","34,194.0","25,701.0","16,942.0","25,836.0","21,373.0","30,538.0","36,801.0","38,194.0","38,289.0"
"21","3","  Insurance payments to persons by business","A1870C1","2,102.0","1,936.0","1,629.0","1,883.0","2,527.0","3,267.0","5,339.0","4,868.0","2,917.0","3,817.0","5,099.0","5,134.0","7,172.0","7,584.0","8,310.0","13,718.0","15,497.0","15,306.0","12,724.0","13,020.0","14,853.0","14,072.0","9,286.0","6,902.0","4,174.0","1,929.0","6,326.0","10,690.0","6,448.0","12,940.0","19,046.0","27,259.0","30,508.0","18,972.0","9,615.0","-621.0","2,617.0","-341.0","9,109.0","16,820.0","17,117.0","15,400.0"
"22","4","    Automobile insurance","B1871C1","1,504.0","1,695.0","1,805.0","1,944.0","2,058.0","2,110.0","2,483.0","2,797.0","3,119.0","3,508.0","3,989.0","4,403.0","5,098.0","5,624.0","5,861.0","7,211.0","8,291.0","9,903.0","10,217.0","10,345.0","11,011.0","11,104.0","10,392.0","10,125.0","9,737.0","10,119.0","11,146.0","11,585.0","12,247.0","12,752.0","12,825.0","13,778.0","15,281.0","14,609.0","14,030.0","14,075.0","14,180.0","13,968.0","13,511.0","13,430.0","12,317.0","12,239.0"
"23","5","    Medical malpractice insurance","B1872C1","50.0","100.0","150.0","200.0","300.0","400.0","508.0","845.0","564.0","671.0","740.0","923.0","1,141.0","1,398.0","1,486.0","1,914.0","2,779.0","3,116.0","3,094.0","2,881.0","1,807.0","2,081.0","2,106.0","3,017.0","2,524.0","2,302.0","2,266.0","2,609.0","2,618.0","2,972.0","3,569.0","4,084.0","5,608.0","5,889.0","6,641.0","5,169.0","4,844.0","4,105.0","3,398.0","2,881.0","2,716.0","2,659.0"
"24","6","    Net insurance settlements","W238RC1","548.0","141.0","-326.0","-261.0","169.0","757.0","2,348.0","1,226.0","-766.0","-362.0","370.0","-192.0","933.0","562.0","963.0","4,593.0","4,427.0","2,287.0","-587.0","-206.0","2,035.0","887.0","-3,212.0","-6,240.0","-8,087.0","-10,492.0","-7,086.0","-3,504.0","-8,417.0","-2,784.0","2,652.0","9,397.0","9,619.0","-1,526.0","-11,056.0","-19,865.0","-16,407.0","-18,414.0","-7,800.0","509.0","2,084.0","502.0"
"25","7","  Donations by corporate business to nonprofit institutions serving households","B1873C1","1,055.0","797.0","865.0","1,009.0","1,174.0","1,200.0","1,202.0","1,477.0","1,790.0","2,084.0","2,288.0","2,359.0","2,514.0","2,906.0","3,627.0","4,059.0","4,472.0","5,179.0","4,980.0","4,893.0","4,893.0","4,752.0","4,763.0","5,521.0","6,305.0","7,103.0","7,426.0","7,822.0","8,375.0","8,669.0","10,730.0","10,663.0","11,417.0","10,332.0","10,821.0","11,597.0","16,594.0","14,786.0","14,248.0","12,448.0","13,253.0","14,110.0"
"26","8","  Other \1\","B1874C1","174.0","193.0","202.0","220.0","239.0","271.0","303.0","349.0","383.0","562.0","838.0","1,137.0","1,489.0","1,896.0","1,859.0","1,950.0","2,291.0","2,463.0","2,524.0","2,683.0","3,425.0","3,369.0","3,587.0","3,864.0","3,575.0","4,223.0","4,976.0","4,366.0","4,623.0","4,386.0","4,196.0","4,512.0","4,843.0","4,890.0","5,265.0","5,967.0","6,625.0","6,928.0","7,181.0","7,533.0","7,824.0","8,778.0"
"27","9","Payments to government (net) \2\","W061RC1","1,610.0","1,593.0","1,628.0","1,818.0","2,030.0","2,395.0","2,564.0","2,826.0","3,375.0","4,352.0","5,103.0","6,102.0","6,737.0","8,226.0","8,805.0","10,563.0","12,945.0","13,902.0","13,833.0","13,025.0","16,008.0","17,919.0","22,300.0","24,507.0","26,742.0","29,115.0","25,730.0","31,836.0","31,056.0","35,420.0","37,589.0","43,567.0","45,995.0","47,932.0","48,751.0","52,534.0","55,241.0","59,592.0","66,816.0","79,014.0","96,098.0","99,004.0"
"28","10","Payments to the rest of the world (net) \3\","W237RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-121.0","-304.0","-444.0","1,380.0","-955.0","784.0","3,784.0","-2,610.0","962.0","8,495.0","240.0","1,693.0","12,210.0","14,799.0","1,994.0","5,972.0","7,178.0","-2,261.0","-557.0"
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Consists largely of losses by business due to fraud and unrecovered thefts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","corporate cash prizes, and payments from personal injury trust funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2. For detail, see table 3.7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. Consists of net insurance settlements paid to the rest of the world less net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","insurance settlements received from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
