"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"30","11","              Sales to other sectors","W109RX1","236,922.0","236,352.0","237,719.0","241,977.0","240,276.0","241,651.0","245,007.0","245,006.0","244,569.0","246,863.0","248,464.0","252,065.0","253,471.0","252,205.0","266,364.0","255,250.0","256,510.0","260,442.0","262,922.0","264,206.0","270,730.0","272,317.0","276,267.0","283,034.0","284,651.0","285,931.0","288,334.0","291,498.0","290,929.0","289,446.0","292,554.0","290,303.0","290,110.0","292,371.0","292,036.0","291,189.0","292,321.0","293,211.0","295,866.0","295,288.0","297,838.0","295,816.0","298,507.0","298,964.0","297,513.0","299,405.0","299,881.0","299,356.0","301,083.0","303,616.0","305,301.0","306,989.0","305,372.0","304,338.0","306,718.0","305,117.0","307,833.0","310,738.0","313,389.0","315,948.0","318,945.0","322,102.0","323,671.0","321,987.0","322,784.0","325,831.0","339,123.0","330,323.0","331,043.0"
"31","12","Federal consumption expenditures \1\","A957RX1","634,085.0","632,564.0","631,015.0","604,458.0","611,292.0","620,169.0","610,369.0","616,433.0","610,039.0","621,737.0","613,611.0","615,735.0","593,677.0","608,744.0","598,302.0","608,958.0","606,177.0","599,018.0","611,147.0","625,106.0","602,752.0","631,544.0","616,376.0","615,113.0","630,467.0","642,137.0","645,829.0","653,343.0","668,851.0","681,054.0","689,145.0","704,037.0","704,770.0","739,081.0","738,105.0","743,306.0","754,710.0","756,852.0","767,637.0","758,901.0","763,956.0","761,436.0","776,761.0","761,199.0","783,555.0","773,164.0","775,736.0","773,679.0","765,583.0","774,574.0","793,988.0","796,792.0","815,212.0","815,485.0","836,580.0","855,207.0","853,043.0","880,839.0","891,687.0","899,071.0","903,891.0","919,991.0","926,353.0","915,499.0","902,332.0","909,235.0","911,532.0","897,266.0","887,329.0"
"32","13","      Gross output of general government","W110RX1","650,532.0","646,574.0","645,245.0","620,897.0","625,243.0","635,046.0","627,879.0","631,621.0","622,955.0","634,749.0","624,883.0","627,009.0","605,922.0","618,981.0","621,040.0","617,803.0","614,128.0","611,420.0","623,814.0","635,601.0","614,995.0","642,001.0","627,567.0","629,060.0","642,075.0","652,178.0","655,952.0","664,983.0","679,993.0","690,304.0","701,483.0","713,922.0","714,593.0","751,160.0","749,390.0","753,576.0","764,435.0","767,124.0","780,358.0","770,573.0","777,901.0","773,442.0","791,326.0","775,615.0","795,962.0","786,539.0","788,595.0","784,513.0","776,325.0","785,950.0","805,250.0","808,067.0","826,991.0","827,464.0","851,018.0","867,533.0","865,964.0","894,100.0","905,265.0","912,622.0","917,666.0","935,114.0","942,225.0","928,946.0","914,719.0","922,779.0","936,760.0","911,744.0","900,905.0"
"33","14","        Value added","W111RX1","441,466.0","439,976.0","437,050.0","421,979.0","422,576.0","426,567.0","424,243.0","419,226.0","418,126.0","416,562.0","415,388.0","410,660.0","410,756.0","410,265.0","410,530.0","410,176.0","410,073.0","406,781.0","405,723.0","405,704.0","408,560.0","416,906.0","409,283.0","407,172.0","410,815.0","412,657.0","413,157.0","411,792.0","416,394.0","419,229.0","421,930.0","423,354.0","428,768.0","432,301.0","432,554.0","432,504.0","434,566.0","434,098.0","435,919.0","438,727.0","439,340.0","438,157.0","437,879.0","439,596.0","436,411.0","436,561.0","440,353.0","440,465.0","439,548.0","439,037.0","443,308.0","445,144.0","449,589.0","454,517.0","462,190.0","469,850.0","475,077.0","485,633.0","489,687.0","493,236.0","498,480.0","507,030.0","504,266.0","504,970.0","507,406.0","508,401.0","508,661.0","510,711.0","508,718.0"
"34","15","          Compensation of general government employees","B568RX1","357,084.0","355,632.0","352,524.0","335,985.0","336,699.0","341,211.0","338,692.0","333,289.0","332,102.0","330,443.0","329,240.0","324,227.0","324,476.0","323,917.0","324,114.0","323,536.0","323,119.0","319,297.0","317,912.0","317,627.0","320,402.0","329,062.0","320,751.0","318,391.0","322,260.0","324,072.0","324,483.0","322,901.0","327,475.0","330,177.0","332,730.0","333,930.0","339,179.0","342,405.0","342,329.0","341,843.0","343,521.0","342,582.0","343,852.0","346,087.0","346,071.0","344,239.0","343,252.0","344,230.0","340,279.0","339,652.0","342,643.0","342,017.0","340,293.0","338,948.0","342,286.0","343,094.0","346,495.0","350,307.0","356,776.0","363,160.0","367,071.0","376,278.0","379,163.0","381,604.0","385,782.0","393,168.0","389,476.0","389,177.0","390,529.0","390,377.0","389,340.0","389,938.0","386,437.0"
"35","16","          Consumption of general government fixed capital \2\","B995RX1","87,270.0","87,140.0","87,054.0","86,975.0","86,956.0","86,871.0","86,860.0","86,806.0","86,795.0","86,765.0","86,715.0","86,640.0","86,539.0","86,564.0","86,627.0","86,769.0","86,991.0","87,215.0","87,406.0","87,607.0","87,814.0","87,982.0","88,147.0","88,243.0","88,230.0","88,338.0","88,437.0","88,565.0","88,756.0","88,961.0","89,172.0","89,404.0","89,665.0","90,000.0","90,305.0","90,706.0","91,093.0","91,547.0","92,091.0","92,660.0","93,274.0","93,919.0","94,625.0","95,361.0","96,146.0","96,944.0","97,743.0","98,491.0","99,334.0","100,223.0","101,155.0","102,215.0","103,262.0","104,379.0","105,555.0","106,811.0","108,135.0","109,404.0","110,591.0","111,721.0","112,774.0","113,854.0","114,954.0","116,052.0","117,198.0","118,450.0","119,891.0","121,457.0","123,203.0"
"36","17","        Intermediate goods and services purchased \3\","W113RX1","215,399.0","213,109.0","214,321.0","205,043.0","208,453.0","213,945.0","209,417.0","217,038.0","210,102.0","222,214.0","214,217.0","220,207.0","200,798.0","213,241.0","214,891.0","212,200.0","208,857.0","209,238.0","221,743.0","232,755.0","210,944.0","228,791.0","222,100.0","225,394.0","234,327.0","242,142.0","245,229.0","254,972.0","265,073.0","272,354.0","280,553.0","291,143.0","286,634.0","319,002.0","317,024.0","321,170.0","329,885.0","333,036.0","344,396.0","331,913.0","338,575.0","335,267.0","353,411.0","336,058.0","359,705.0","350,027.0","348,244.0","343,991.0","336,551.0","346,889.0","362,124.0","363,091.0","377,710.0","373,160.0","389,078.0","397,959.0","390,967.0","408,780.0","415,972.0","419,795.0","419,494.0","428,429.0","438,574.0","424,272.0","407,290.0","414,429.0","428,303.0","400,854.0","391,906.0"
"37","18","          Durable goods","W114RX1","23,542.0","21,323.0","25,401.0","20,675.0","21,362.0","24,071.0","23,966.0","21,825.0","22,491.0","24,081.0","22,449.0","22,956.0","22,104.0","22,590.0","24,315.0","23,685.0","22,302.0","25,196.0","26,833.0","24,364.0","24,761.0","24,681.0","24,854.0","23,972.0","23,359.0","25,251.0","26,763.0","24,090.0","24,714.0","26,011.0","27,719.0","26,447.0","25,676.0","29,218.0","29,485.0","29,601.0","30,057.0","32,110.0","32,635.0","31,737.0","30,970.0","31,904.0","33,177.0","33,262.0","34,183.0","34,038.0","35,209.0","36,527.0","35,259.0","37,247.0","39,682.0","40,655.0","41,856.0","44,033.0","46,180.0","46,896.0","43,298.0","47,407.0","50,824.0","48,390.0","46,820.0","48,175.0","50,319.0","52,452.0","44,739.0","46,174.0","47,351.0","47,621.0","43,098.0"
"38","19","          Nondurable goods","W115RX1","23,800.0","21,898.0","22,996.0","21,636.0","22,089.0","22,385.0","22,562.0","21,632.0","24,655.0","24,012.0","24,892.0","24,811.0","26,267.0","26,094.0","27,361.0","26,548.0","21,853.0","23,138.0","25,235.0","22,399.0","26,213.0","25,628.0","24,902.0","25,655.0","27,337.0","31,736.0","28,728.0","31,262.0","30,389.0","33,076.0","31,483.0","32,907.0","33,549.0","35,888.0","33,109.0","35,954.0","39,203.0","38,648.0","39,324.0","36,957.0","41,680.0","38,599.0","41,357.0","40,824.0","40,653.0","38,375.0","40,309.0","36,482.0","38,125.0","38,615.0","40,446.0","37,840.0","41,644.0","41,040.0","40,138.0","43,026.0","44,433.0","47,659.0","45,580.0","46,733.0","45,882.0","47,391.0","47,290.0","47,330.0","46,745.0","47,130.0","48,568.0","47,381.0","46,019.0"
"39","20","          Services","W116RX1","167,775.0","169,891.0","165,034.0","162,771.0","164,957.0","166,853.0","162,259.0","173,475.0","162,926.0","173,804.0","166,984.0","172,464.0","152,764.0","164,771.0","163,348.0","162,082.0","164,143.0","160,112.0","168,955.0","185,297.0","159,587.0","178,131.0","171,888.0","175,499.0","183,591.0","185,358.0","189,436.0","199,874.0","209,905.0","213,463.0","221,112.0","231,738.0","227,515.0","253,814.0","253,962.0","255,456.0","260,740.0","262,205.0","272,305.0","263,053.0","265,977.0","264,744.0","278,874.0","261,945.0","284,924.0","277,722.0","272,721.0","271,102.0","263,215.0","271,101.0","282,112.0","285,016.0","294,295.0","288,352.0","303,644.0","308,582.0","303,466.0","314,043.0","319,992.0","324,875.0","326,945.0","333,051.0","341,291.0","325,107.0","315,724.0","321,168.0","332,404.0","306,014.0","302,602.0"
"40","21","      Less: Own-account investment \4\","W117RX1","6,481.0","6,132.0","6,468.0","5,598.0","5,608.0","5,783.0","6,139.0","5,685.0","6,299.0","5,880.0","5,284.0","4,699.0","5,653.0","6,282.0","5,798.0","4,432.0","3,332.0","5,875.0","5,665.0","4,976.0","3,867.0","4,009.0","4,149.0","4,150.0","4,973.0","5,119.0","4,872.0","4,874.0","5,046.0","5,093.0","5,283.0","5,130.0","4,832.0","4,906.0","4,688.0","5,008.0","4,521.0","4,670.0","4,793.0","4,677.0","4,562.0","4,636.0","4,712.0","4,662.0","4,495.0","4,523.0","4,611.0","4,613.0","4,419.0","4,368.0","4,414.0","4,283.0","4,557.0","4,620.0","4,771.0","4,862.0","4,883.0","4,851.0","4,926.0","4,873.0","4,834.0","5,052.0","5,345.0","5,236.0","5,242.0","5,241.0","5,224.0","5,212.0","5,212.0"
"41","22","            Sales to other sectors","W118RX1","9,770.0","7,743.0","7,650.0","10,621.0","8,187.0","8,925.0","11,110.0","9,302.0","6,601.0","7,055.0","5,939.0","6,477.0","6,514.0","3,986.0","16,551.0","4,361.0","4,546.0","6,450.0","6,916.0","5,492.0","8,230.0","6,397.0","6,957.0","9,574.0","6,561.0","4,925.0","5,239.0","6,705.0","6,064.0","4,180.0","7,000.0","4,767.0","4,994.0","7,151.0","6,576.0","5,251.0","5,190.0","5,585.0","7,918.0","6,992.0","9,382.0","7,368.0","9,856.0","9,754.0","7,902.0","8,856.0","8,246.0","6,205.0","6,301.0","6,993.0","6,827.0","6,976.0","7,207.0","7,350.0","9,705.0","7,428.0","8,025.0","8,403.0","8,649.0","8,677.0","8,942.0","10,089.0","10,549.0","8,187.0","7,096.0","8,290.0","20,411.0","9,018.0","8,067.0"
"42","23","    Defense consumption expenditures \1\","A997RX1","430,031.0","428,842.0","427,080.0","412,125.0","416,614.0","422,996.0","415,720.0","418,806.0","407,814.0","418,138.0","410,158.0","412,847.0","390,469.0","404,630.0","405,025.0","404,839.0","402,653.0","397,903.0","408,316.0","421,429.0","393,370.0","414,372.0","403,424.0","404,298.0","413,320.0","416,361.0","419,223.0","425,263.0","435,721.0","441,588.0","446,462.0","459,554.0","455,403.0","496,202.0","487,648.0","497,085.0","505,584.0","507,036.0","518,905.0","505,904.0","512,509.0","513,555.0","526,879.0","506,405.0","519,178.0","515,937.0","516,728.0","524,460.0","515,868.0","522,335.0","536,777.0","536,963.0","547,266.0","545,615.0","567,248.0","578,415.0","570,725.0","590,312.0","601,850.0","603,003.0","602,690.0","609,778.0","618,060.0","605,291.0","594,005.0","607,113.0","613,106.0","594,547.0","585,303.0"
"43","24","      Gross output of general government","W085RX1","436,245.0","433,681.0","431,730.0","417,671.0","421,567.0","428,520.0","422,152.0","424,559.0","412,526.0","423,452.0","414,731.0","417,128.0","395,499.0","407,616.0","410,694.0","407,696.0","404,772.0","401,940.0","413,766.0","425,310.0","398,782.0","417,428.0","407,534.0","407,001.0","418,848.0","419,692.0","422,933.0","429,516.0","439,931.0","445,433.0","453,380.0","464,124.0","460,032.0","501,675.0","493,112.0","501,407.0","509,858.0","511,764.0","524,787.0","510,252.0","518,009.0","519,025.0","532,734.0","511,016.0","524,578.0","522,344.0","522,516.0","529,001.0","520,772.0","527,086.0","541,522.0","541,999.0","552,561.0","550,986.0","572,620.0","583,732.0","576,027.0","595,549.0","607,194.0","608,275.0","607,968.0","615,076.0","623,476.0","610,748.0","599,323.0","612,378.0","618,389.0","599,878.0","590,650.0"
"44","25","        Value added","W086RX1","301,574.0","298,898.0","296,039.0","290,715.0","288,971.0","288,362.0","286,823.0","283,218.0","281,243.0","278,968.0","278,101.0","275,135.0","273,464.0","271,255.0","270,828.0","268,027.0","266,173.0","265,074.0","265,477.0","265,010.0","263,076.0","263,917.0","263,821.0","263,148.0","263,853.0","264,091.0","264,334.0","264,335.0","267,412.0","269,279.0","270,226.0","269,445.0","274,177.0","277,159.0","277,872.0","278,083.0","280,821.0","280,243.0","282,582.0","284,110.0","284,611.0","283,830.0","284,237.0","284,893.0","281,755.0","281,379.0","284,093.0","284,712.0","282,919.0","282,516.0","285,603.0","286,714.0","289,231.0","292,231.0","298,407.0","303,175.0","306,146.0","312,013.0","317,404.0","320,513.0","322,438.0","324,024.0","325,403.0","326,907.0","328,060.0","329,315.0","330,720.0","332,639.0","330,491.0"
"45","26","          Compensation of general government employees","B237RX1","232,402.0","229,784.0","226,928.0","221,320.0","219,739.0","219,486.0","218,120.0","214,491.0","212,654.0","210,519.0","209,951.0","207,122.0","205,733.0","203,690.0","203,562.0","200,779.0","199,002.0","198,031.0","198,690.0","198,391.0","196,485.0","197,586.0","197,629.0","197,106.0","198,092.0","198,477.0","198,860.0","198,937.0","202,197.0","204,115.0","205,037.0","204,103.0","208,803.0","211,606.0","212,104.0","212,006.0","214,455.0","213,523.0","215,469.0","216,586.0","216,633.0","215,407.0","215,312.0","215,471.0","211,889.0","211,026.0","213,232.0","213,373.0","211,054.0","210,078.0","212,494.0","212,857.0","214,568.0","216,734.0","222,006.0","225,842.0","227,852.0","232,741.0","237,197.0","239,442.0","240,567.0","241,355.0","241,953.0","242,684.0","243,058.0","243,478.0","243,898.0","244,773.0","241,582.0"
"46","27","          Consumption of general government fixed capital \2\","B432RX1","70,584.0","70,321.0","70,077.0","69,818.0","69,577.0","69,291.0","69,058.0","68,802.0","68,559.0","68,296.0","68,022.0","67,714.0","67,397.0","67,128.0","66,885.0","66,683.0","66,506.0","66,343.0","66,180.0","66,029.0","65,888.0","65,743.0","65,631.0","65,477.0","65,299.0","65,197.0","65,102.0","65,042.0","65,022.0","65,049.0","65,107.0","65,218.0","65,372.0","65,598.0","65,811.0","66,099.0","66,407.0","66,740.0","67,137.0","67,541.0","67,982.0","68,424.0","68,924.0","69,418.0","69,880.0","70,386.0","70,889.0","71,372.0","71,934.0","72,550.0","73,214.0","73,989.0","74,806.0","75,646.0","76,510.0","77,430.0","78,405.0","79,342.0","80,244.0","81,111.0","81,935.0","82,772.0","83,596.0","84,411.0","85,242.0","86,133.0","87,185.0","88,288.0","89,513.0"
"47","28","        Intermediate goods and services purchased \3\","W087RX1","140,786.0","140,696.0","141,287.0","133,121.0","138,051.0","144,843.0","140,360.0","145,577.0","136,323.0","148,238.0","141,018.0","145,705.0","127,353.0","140,374.0","143,558.0","143,220.0","142,139.0","140,474.0","151,109.0","162,192.0","139,246.0","155,884.0","146,766.0","146,874.0","157,269.0","157,854.0","160,665.0","166,843.0","173,934.0","177,466.0","184,176.0","195,184.0","186,712.0","224,507.0","215,473.0","223,371.0","229,051.0","231,521.0","242,118.0","226,246.0","233,427.0","235,193.0","248,449.0","226,143.0","242,911.0","241,011.0","238,415.0","244,293.0","237,747.0","244,641.0","256,190.0","255,527.0","263,658.0","258,985.0","274,524.0","280,908.0","269,937.0","283,878.0","290,178.0","288,042.0","285,697.0","291,307.0","298,467.0","283,847.0","271,003.0","282,948.0","287,598.0","266,833.0","259,668.0"
"48","29","          Durable goods","A998RX1","22,503.0","20,299.0","24,399.0","19,509.0","20,126.0","22,847.0","22,645.0","20,424.0","21,105.0","22,716.0","21,005.0","21,556.0","20,666.0","21,143.0","22,963.0","22,326.0","20,799.0","23,642.0","25,284.0","22,810.0","23,194.0","23,062.0","23,172.0","22,191.0","21,653.0","23,480.0","24,942.0","22,188.0","22,555.0","23,832.0","25,485.0","24,188.0","23,501.0","27,108.0","27,313.0","27,456.0","27,830.0","29,695.0","30,188.0","29,191.0","28,384.0","29,197.0","30,326.0","30,285.0","31,019.0","31,098.0","32,244.0","33,712.0","32,426.0","34,308.0","36,604.0","37,490.0","38,461.0","40,611.0","42,773.0","43,380.0","39,746.0","43,744.0","46,970.0","44,483.0","42,811.0","44,029.0","46,105.0","48,203.0","40,621.0","42,166.0","43,077.0","43,570.0","39,170.0"
"49","30","          Nondurable goods","A725RX1","11,035.0","11,237.0","11,057.0","9,820.0","11,582.0","12,469.0","12,465.0","11,127.0","12,334.0","11,445.0","12,223.0","11,981.0","11,983.0","11,750.0","13,325.0","12,514.0","12,175.0","13,452.0","16,230.0","13,543.0","16,114.0","15,424.0","13,400.0","13,185.0","13,800.0","15,315.0","14,514.0","16,153.0","16,119.0","17,414.0","16,480.0","18,277.0","19,302.0","19,202.0","15,466.0","18,113.0","21,618.0","20,803.0","22,966.0","17,640.0","19,770.0","21,601.0","22,233.0","19,952.0","20,071.0","19,433.0","21,811.0","19,201.0","21,114.0","20,917.0","22,272.0","19,189.0","21,439.0","21,220.0","20,494.0","22,425.0","21,334.0","22,634.0","23,290.0","22,709.0","21,673.0","22,168.0","21,209.0","20,943.0","21,467.0","22,604.0","22,447.0","22,798.0","21,855.0"
"50","31","          Services","A489RX1","106,263.0","108,773.0","104,412.0","103,149.0","106,006.0","108,823.0","104,534.0","113,658.0","102,424.0","113,257.0","107,445.0","111,692.0","94,334.0","106,940.0","106,884.0","107,822.0","108,729.0","102,909.0","109,626.0","125,538.0","100,072.0","117,459.0","109,856.0","111,241.0","121,715.0","119,036.0","120,855.0","128,747.0","135,373.0","136,544.0","142,099.0","152,972.0","144,470.0","178,177.0","171,926.0","177,436.0","179,839.0","180,972.0","189,070.0","179,161.0","185,176.0","184,401.0","195,916.0","175,971.0","191,942.0","190,623.0","184,249.0","191,418.0","184,138.0","189,368.0","197,279.0","199,353.0","203,871.0","197,377.0","212,261.0","215,710.0","209,304.0","218,048.0","220,577.0","221,363.0","221,700.0","225,612.0","231,842.0","215,630.0","209,028.0","218,217.0","222,289.0","200,511.0","198,463.0"
"51","32","      Less: Own-account investment \4\","W088RX1","2,459.0","2,287.0","2,322.0","2,106.0","2,100.0","2,112.0","2,205.0","2,090.0","2,319.0","2,167.0","1,895.0","1,731.0","1,988.0","2,217.0","1,977.0","1,535.0","1,147.0","2,074.0","1,939.0","1,761.0","1,387.0","1,422.0","1,437.0","1,482.0","1,825.0","1,678.0","1,731.0","2,072.0","2,358.0","2,434.0","2,460.0","2,528.0","2,385.0","2,391.0","2,276.0","2,376.0","2,095.0","2,179.0","2,194.0","2,219.0","2,030.0","2,048.0","2,060.0","2,082.0","1,983.0","1,997.0","2,013.0","2,052.0","1,964.0","1,924.0","1,901.0","1,874.0","1,990.0","2,006.0","2,019.0","2,004.0","2,032.0","2,090.0","2,109.0","2,128.0","2,128.0","2,178.0","2,294.0","2,321.0","2,266.0","2,248.0","2,251.0","2,280.0","2,293.0"
"52","33","            Sales to other sectors","W089RX1","3,742.0","2,546.0","2,326.0","3,427.0","2,842.0","3,394.0","4,203.0","3,643.0","2,396.0","3,134.0","2,667.0","2,538.0","3,018.0","815.0","3,646.0","1,351.0","1,007.0","1,972.0","3,472.0","2,125.0","3,969.0","1,647.0","2,656.0","1,251.0","3,634.0","1,686.0","1,996.0","2,190.0","1,879.0","1,460.0","4,368.0","2,055.0","2,251.0","3,073.0","3,174.0","1,968.0","2,193.0","2,555.0","3,678.0","2,137.0","3,470.0","3,423.0","3,797.0","2,526.0","3,416.0","4,422.0","3,779.0","2,480.0","2,933.0","2,820.0","2,836.0","3,158.0","3,303.0","3,365.0","3,348.0","3,306.0","3,263.0","3,141.0","3,229.0","3,138.0","3,144.0","3,113.0","3,114.0","3,126.0","3,043.0","3,009.0","3,025.0","3,042.0","3,045.0"
"53","34","    Nondefense consumption expenditures \1\","A542RX1","204,239.0","203,894.0","204,095.0","192,549.0","194,887.0","197,383.0","194,843.0","197,807.0","202,331.0","203,734.0","203,536.0","203,006.0","203,147.0","204,156.0","193,486.0","204,160.0","203,545.0","201,131.0","202,916.0","203,896.0","209,197.0","217,042.0","212,807.0","210,723.0","217,012.0","225,517.0","226,355.0","227,860.0","232,922.0","239,192.0","242,403.0","244,259.0","249,097.0","242,882.0","250,358.0","246,185.0","249,099.0","249,788.0","248,785.0","252,962.0","251,430.0","247,872.0","249,883.0","254,819.0","264,429.0","257,254.0","259,047.0","249,157.0","249,674.0","252,191.0","257,145.0","259,802.0","267,974.0","269,958.0","269,187.0","276,686.0","282,329.0","290,538.0","289,824.0","296,081.0","301,238.0","310,275.0","308,328.0","310,285.0","308,436.0","302,090.0","298,322.0","302,736.0","302,089.0"
"54","35","      Gross output of general government","W128RX1","214,428.0","213,025.0","213,630.0","203,376.0","203,844.0","206,691.0","205,873.0","207,197.0","210,490.0","211,401.0","210,212.0","209,972.0","210,338.0","211,366.0","210,387.0","210,123.0","209,350.0","209,446.0","210,118.0","210,494.0","216,022.0","224,414.0","219,872.0","221,845.0","223,101.0","232,209.0","232,758.0","235,223.0","239,839.0","244,610.0","247,860.0","249,598.0","254,314.0","249,496.0","256,195.0","252,143.0","254,565.0","255,348.0","255,630.0","260,285.0","259,873.0","254,408.0","258,593.0","264,626.0","271,430.0","264,214.0","266,113.0","255,446.0","255,505.0","258,814.0","263,655.0","266,027.0","274,443.0","276,550.0","278,287.0","283,688.0","289,952.0","298,566.0","298,061.0","304,366.0","309,744.0","320,118.0","318,801.0","318,282.0","315,506.0","310,379.0","318,402.0","311,929.0","310,357.0"
"55","36","        Value added","W129RX1","140,449.0","141,596.0","141,513.0","131,933.0","134,169.0","138,694.0","137,907.0","136,485.0","137,332.0","138,008.0","137,700.0","135,944.0","137,653.0","139,307.0","139,975.0","142,327.0","144,007.0","141,843.0","140,428.0","140,854.0","145,456.0","152,790.0","145,468.0","144,069.0","146,926.0","148,491.0","148,741.0","147,408.0","148,932.0","149,900.0","151,626.0","153,798.0","154,507.0","155,078.0","154,633.0","154,377.0","153,732.0","153,832.0","153,344.0","154,617.0","154,729.0","154,327.0","153,642.0","154,702.0","154,664.0","155,196.0","156,270.0","155,756.0","156,652.0","156,547.0","157,723.0","158,452.0","160,393.0","162,329.0","163,777.0","166,672.0","168,937.0","173,651.0","172,253.0","172,680.0","176,026.0","183,060.0","178,866.0","178,048.0","179,341.0","179,066.0","177,894.0","178,012.0","178,189.0"
"56","37","          Compensation of general government employees","W130RX1","125,435.0","126,483.0","126,172.0","115,639.0","117,734.0","122,297.0","121,150.0","119,357.0","119,941.0","120,349.0","119,728.0","117,568.0","119,099.0","120,466.0","120,773.0","122,800.0","124,046.0","121,285.0","119,362.0","119,371.0","123,744.0","131,009.0","123,038.0","121,285.0","124,054.0","125,427.0","125,459.0","123,861.0","125,193.0","125,988.0","127,583.0","129,666.0","130,263.0","130,720.0","130,167.0","129,785.0","129,053.0","129,032.0","128,394.0","129,502.0","129,438.0","128,832.0","127,940.0","128,758.0","128,400.0","128,644.0","129,423.0","128,648.0","129,268.0","128,903.0","129,816.0","130,268.0","131,975.0","133,631.0","134,770.0","137,321.0","139,232.0","143,577.0","141,937.0","142,121.0","145,207.0","151,887.0","147,539.0","146,490.0","147,479.0","146,895.0","145,412.0","145,124.0","144,843.0"
"57","38","          Consumption of general government fixed capital \2\","B546RX1","16,976.0","17,099.0","17,245.0","17,413.0","17,623.0","17,812.0","18,026.0","18,220.0","18,444.0","18,665.0","18,877.0","19,096.0","19,300.0","19,580.0","19,874.0","20,207.0","20,593.0","20,967.0","21,310.0","21,652.0","21,989.0","22,294.0","22,562.0","22,804.0","22,963.0","23,167.0","23,355.0","23,538.0","23,744.0","23,918.0","24,067.0","24,188.0","24,293.0","24,402.0","24,494.0","24,607.0","24,686.0","24,807.0","24,954.0","25,119.0","25,292.0","25,495.0","25,701.0","25,943.0","26,266.0","26,559.0","26,856.0","27,122.0","27,404.0","27,677.0","27,946.0","28,230.0","28,459.0","28,736.0","29,047.0","29,382.0","29,730.0","30,062.0","30,346.0","30,607.0","30,833.0","31,075.0","31,348.0","31,631.0","31,946.0","32,308.0","32,696.0","33,162.0","33,685.0"
"58","39","        Intermediate goods and services purchased \3\","W131RX1","74,507.0","72,327.0","72,945.0","71,817.0","70,327.0","69,055.0","68,997.0","71,397.0","73,660.0","73,912.0","73,100.0","74,413.0","73,272.0","72,772.0","71,273.0","68,947.0","66,710.0","68,721.0","70,621.0","70,586.0","71,622.0","72,883.0","75,263.0","78,435.0","77,013.0","84,180.0","84,468.0","88,024.0","91,038.0","94,757.0","96,269.0","95,913.0","99,819.0","94,534.0","101,544.0","97,810.0","100,839.0","101,516.0","102,285.0","105,660.0","105,135.0","100,071.0","104,954.0","109,940.0","116,822.0","109,020.0","109,844.0","99,658.0","98,768.0","102,214.0","105,899.0","107,545.0","114,060.0","114,216.0","114,504.0","117,001.0","121,003.0","124,907.0","125,821.0","131,761.0","133,791.0","137,104.0","140,081.0","140,396.0","136,267.0","131,376.0","140,655.0","133,999.0","132,232.0"
"59","40","          Durable goods","A543RX1","1,177.0","1,127.0","1,182.0","1,224.0","1,289.0","1,322.0","1,396.0","1,428.0","1,425.0","1,430.0","1,473.0","1,445.0","1,466.0","1,479.0","1,419.0","1,418.0","1,526.0","1,600.0","1,611.0","1,591.0","1,606.0","1,651.0","1,708.0","1,789.0","1,717.0","1,791.0","1,848.0","1,904.0","2,145.0","2,172.0","2,232.0","2,250.0","2,169.0","2,117.0","2,178.0","2,152.0","2,232.0","2,419.0","2,451.0","2,546.0","2,585.0","2,705.0","2,850.0","2,980.0","3,170.0","2,943.0","2,966.0","2,801.0","2,825.0","2,927.0","3,061.0","3,148.0","3,391.0","3,404.0","3,370.0","3,484.0","3,561.0","3,640.0","3,819.0","3,905.0","4,038.0","4,178.0","4,233.0","4,249.0","4,185.0","4,043.0","4,333.0","4,074.0","3,990.0"
"60","41","          Nondurable goods","A729RX1","12,148.0","11,016.0","11,622.0","11,414.0","10,339.0","10,111.0","10,258.0","10,456.0","12,041.0","12,247.0","12,406.0","12,443.0","13,682.0","13,660.0","13,581.0","13,543.0","9,827.0","9,925.0","9,712.0","9,315.0","10,453.0","10,456.0","11,412.0","12,329.0","13,388.0","16,096.0","14,060.0","14,799.0","14,226.0","15,572.0","14,915.0","14,717.0","14,504.0","16,693.0","17,255.0","17,554.0","17,848.0","17,887.0","16,703.0","19,123.0","21,673.0","17,081.0","19,174.0","20,975.0","20,681.0","18,972.0","18,420.0","17,205.0","16,905.0","17,604.0","18,042.0","18,734.0","20,176.0","20,075.0","19,748.0","20,606.0","23,229.0","25,226.0","22,625.0","24,322.0","24,577.0","25,564.0","26,447.0","26,753.0","25,602.0","24,426.0","26,325.0","24,530.0","24,164.0"
