"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"29","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRX0",96357,106000,110498,117940,126420,140007,152404,162363,167353,158929,144649,155913,165016,173022,182677,194346,207057
"30","23","        Furniture","DFNRRX0",63050,69721,72779,77783,81161,88410,95216,98457,99906,92906,83239,89500,93717,96592,99594,106020,112186
"31","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRX0",11901,13326,13970,15074,17337,19699,22194,26618,30208,31359,30866,34257,37892,41544,45485,49863,54477
"32","25","        Carpets and other floor coverings","DFLRRX0",16564,17772,17890,18550,20214,22873,24355,25162,24552,22263,18850,19202,19692,20832,23040,23235,23631
"33","26","        Window coverings","DWCTRX0",6765,7118,7700,8335,9144,10468,11901,12745,12954,12466,11695,12976,13827,14346,15147,16098,18029
"34","27","      Household appliances (part of 33)","DAPPRX0",31895,34730,36679,39007,41675,46655,48631,49420,47626,45534,41111,43642,45579,45112,47576,50671,54087
"35","28","        Major household appliances","DMHARX0",28713,31382,33156,35251,37541,42094,43744,44336,42447,40226,36135,38163,39733,38894,41048,43762,46795
"36","29","        Small electric household appliances","DSEARX0",3184,3377,3557,3790,4151,4590,4902,5090,5176,5306,4976,5480,5848,6235,6544,6924,7306
"37","30","      Glassware, tableware, and household utensils (34)","DUTERX0",27167,30394,32882,36748,39562,41369,43005,45491,45470,43793,41071,43856,47234,51457,54207,58012,61542
"38","31","        Dishes and flatware","DCHNRX0",11503,13306,14875,17113,18087,18664,19231,20510,20753,20276,19153,20926,23399,26649,28309,30278,31683
"39","32","        Nonelectric cookware and tableware","DNECRX0",15930,17235,18021,19517,21436,22729,23842,25022,24731,23518,21918,22941,23913,25060,26207,28061,30123
"40","33","      Tools and equipment for house and garden (35)","DTOORX0",16481,17190,17817,18522,19661,20902,21186,21211,19974,19414,17480,18099,18779,19260,19944,21082,21870
"41","34","        Tools, hardware, and supplies","DHDWRX0",13938,14537,15149,15871,16762,17677,17747,17662,16532,15963,14302,14758,15236,15558,16057,16986,17635
"42","35","        Outdoor equipment and supplies","DLWNRX0",2549,2660,2681,2674,2916,3233,3440,3549,3441,3450,3177,3342,3543,3705,3893,4101,4240
"43","36","    Recreational goods and vehicles","DREQRX0",113096,132046,144203,160652,181585,209327,237637,268788,298972,308742,303775,336804,370162,413259,449760,481629,526542
"44","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX0",38950,47361,54200,63562,75053,91538,110648,133075,157594,173287,184935,217102,244315,280435,309418,334577,366183
"45","38","        Video and audio equipment","DVAARX0",29124,33971,37398,41505,45211,52486,61371,71430,81839,91949,99519,115178,131282,149618,164633,178714,195940
"46","39","          Televisions","DTVSRX0",2709,3323,3923,4691,6249,8562,11444,16292,23015,28594,36562,47386,58254,71325,84291,98370,114157
"47","40","          Other video equipment","DOVARX0",3116,4198,5288,6314,7693,9365,10911,12638,14437,17641,18297,21150,24597,28322,31304,32250,34240
"48","41","          Audio equipment","DAUDRX0",9757,10839,11376,12392,12819,14495,17804,19130,19079,19373,18179,19218,20675,22402,23364,24135,25960
"49","42","          Recording media","DRECRX0",23488,25680,26306,27405,25796,26385,26829,27103,26850,26947,26481,27971,29557,31482,32619,34548,36479
"50","43","            Prerecorded and blank audio discs / tapes / digital files / downloads","DRTDRX0",18068,18500,17882,17795,15763,15218,14438,13771,13067,13254,13362,14577,15820,17214,17698,18348,19731
"51","44","            Video cassettes and discs, blank and prerecorded","DOVERX0",6844,8332,9304,10320,10484,11453,12515,13363,13773,13688,13120,13392,13727,14247,14909,16252,16722
"52","45","        Photographic equipment","DCAMRX0",1303,1405,1454,1557,1791,2188,2600,3134,4087,4466,4232,4686,5088,5524,5922,6443,6958
"53","46","        Information processing equipment","DIPERX0",9259,12258,15217,20015,27457,36334,46288,58408,71876,76934,81184,97172,108002,125248,138758,149406,163316
"54","47","          Personal computers and peripheral equipment","DCPPRX0",4127,5687,7514,10384,13674,17084,21683,27122,32004,36940,41605,48519,57894,67664,76247,82404,94945
"55","48","          Computer software and accessories","DCPSRX0",5462,6434,6796,7948,12271,18165,23477,30177,39128,38757,38209,47203,48582,55932,60874,65254,67132
"56","49","          Calculators, typewriters, and other information processing equipment","DOIPRX0",511,666,742,861,940,1079,1185,1294,1382,1402,1369,1455,1585,1755,1873,2038,2407
"57","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX0",31929,36707,39591,42447,44786,48322,51742,55944,57743,56334,50894,52853,58499,63847,69042,72866,80100
"58","51","      Sports and recreational vehicles (79)","DWHLRX0",34398,37048,37009,38417,43502,48492,51021,52020,53448,47548,36950,35465,36046,38592,42071,45288,50193
"59","52","        Motorcycles","DMCYRX0",6701,8061,9365,9697,11231,12559,12666,12748,13068,12495,9269,8530,9000,9506,10428,10962,12668
"60","53","        Bicycles and accessories","DBCYRX0",3329,3280,3196,3143,3348,3545,3730,3900,4101,4205,4153,4239,4286,4502,4629,4608,4817
"61","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRX0",24417,25733,24429,25557,28887,32345,34611,35363,36270,30852,23528,22693,22772,24588,27023,29705,32745
"62","55","          Pleasure boats","DBOARX0",10632,11581,11268,11593,12775,14200,15346,16347,16499,15008,11767,10774,10837,11719,12513,14052,15122
"63","56","          Pleasure aircraft","DAIRRX0",1116,1183,1064,1018,1176,1402,1626,1787,2060,1843,1430,1441,1446,1442,1554,1430,1155
"64","57","          Other recreational vehicles","DREVRX0",12670,12970,12097,12947,14937,16744,17640,17230,17711,14001,10331,10478,10489,11428,12956,14223,16468
"65","58","      Recreational books (part of 90)","DRBKRX0",24034,25901,25946,26379,27218,27526,27746,28120,27796,27424,26424,27400,28042,28655,28915,29632,31069
"66","59","      Musical instruments (part of 80)","DMSCRX0",3847,4660,4795,5039,4970,5295,5294,5503,5514,5188,4572,4571,4771,4988,4933,5119,5492
"67","60","    Other durable goods","DODGRX0",105980,115397,112918,119881,131131,142773,153326,164427,172196,166497,158174,164876,173942,180457,186576,192934,201972
"68","61","      Jewelry and watches (part of 119)","DJRYRX0",49385,53599,51908,55065,60298,65339,70039,73484,73189,66517,60257,61215,62525,64419,65748,68858,71345
"69","62","        Jewelry","DJLYRX0",44500,48335,46670,49198,53900,58484,62866,65821,65162,58766,53210,53867,54468,56122,57454,60504,63004
"70","63","        Watches","DWTCRX0",4970,5360,5312,5910,6447,6918,7267,7740,8057,7751,7047,7351,8106,8347,8326,8366,8345
"71","64","      Therapeutic appliances and equipment (42)","DTAERX0",33992,36053,34994,37338,39893,42766,45739,48566,52654,53036,52671,55966,58878,60217,61613,63192,64859
"72","65","        Therapeutic medical equipment","DTMERX0",11514,12950,13758,14606,16248,18365,20230,22576,24937,25325,24609,26464,27804,29153,29756,31158,32279
"73","66","        Corrective eyeglasses and contact lenses","DEYERX0",22785,23339,21356,22864,23744,24453,25539,25995,27719,27713,28062,29506,31077,31091,31882,32086,32651
"74","67","      Educational books (96)","DEBKRX0",15772,15571,15031,14729,14159,13562,12886,11986,10804,10124,9192,8988,8573,8075,7682,7533,7538
"75","68","      Luggage and similar personal items (part of 119)","DLUGRX0",11156,13091,12648,13456,15269,17492,19654,22021,23885,24061,23343,25516,29607,31928,34350,33801,37185
"76","69","      Telephone and facsimile equipment (67)","DTCERX0",2018,2564,3025,3548,4817,6139,7098,9540,12010,12803,12712,13234,14692,16480,18351,21113,23357
"77","70","  Nondurable goods","DNDGRX0",1805974,1863598,1896024,1931107,1998542,2063650,2132331,2202167,2239326,2214659,2175126,2223535,2263186,2277548,2319834,2367796,2430038
"78","71","    Food and beverages purchased for off-premises consumption","DFXARX0",668124,684549,693975,697031,713257,729766,757613,780821,791281,781866,769958,786471,795145,795662,803439,807533,808272
"79","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX0",580868,591339,597417,598825,615173,629887,655296,673595,682409,673718,663426,673999,679049,675830,683737,686121,684204
"80","73","        Food purchased for off-premises consumption","DFOFRX0",511405,521796,526654,527679,540511,551653,573760,589054,597449,589646,582988,591883,596083,592758,601245,602714,600421
"81","74","          Cereals and bakery products","DCBPRX0",103244,108168,111970,114027,115574,116999,121239,124594,125184,121377,117932,120408,122089,121284,122478,123417,122602
"82","75","            Cereals","DGRARX0",33620,33948,33925,33023,34461,36206,38602,41198,42300,40889,39874,40634,40450,40318,41425,41538,41702
"83","76","            Bakery products","DBAKRX0",69462,74189,78120,81192,81239,80851,82659,83397,82884,80487,78058,79773,81629,80957,81062,81881,80919
"84","77","          Meats and poultry","DMAPRX0",121506,120048,117971,117202,118960,120131,124835,127528,128979,130244,130411,131351,129766,127060,127416,126527,125103
"85","78","            Beef and veal","DBEERX0",38356,37264,35535,35821,34275,32948,33724,33758,33513,33660,34172,34008,32509,31058,31217,29461,27647
"86","79","            Pork","DPORRX0",22636,21378,20857,20687,21428,22135,23134,23759,24519,25163,25799,25214,24486,24887,25275,24458,25710
"87","80","            Other meats","DMEARX0",21202,21401,21555,21065,22165,23673,25185,25873,27177,27668,27177,27826,27543,27502,28215,28662,27765
"88","81","            Poultry","DPOURX0",39751,40416,40327,39984,41253,41451,42865,44215,43805,43773,43263,44326,45355,43742,42837,44333,44595
"89","82","          Fish and seafood","DFISRX0",10671,10816,11221,11593,11809,12277,12381,11792,11548,11441,11088,11222,11039,10963,10970,10946,11142
"90","83","          Milk, dairy products, and eggs","DMDERX0",53151,54717,54780,55376,58245,59710,63421,66987,67040,65613,68197,68575,69288,68568,69041,68310,68463
"91","84","            Fresh milk","DMILRX0",15904,16451,16320,16853,17916,17809,18433,19767,19701,19929,21701,21326,21136,21077,21095,20779,22265
"92","85","            Processed dairy products","DDAIRX0",29722,30752,31017,31150,32991,33869,35139,36895,38172,37027,36798,37527,38511,38052,38721,38776,38905
"93","86","            Eggs","DGGSRX0",7602,7551,7473,7368,7291,8027,10028,10472,9304,8746,9698,9731,9677,9469,9281,8854,7648
"94","87","          Fats and oils","DFATRX0",13077,13250,12637,12436,13285,13402,14596,15890,16781,15716,15487,15534,14747,14181,14765,14793,15079
"95","88","          Fresh fruits and vegetables","DFAVRX0",54347,57720,59793,60123,60143,60328,62178,61042,61542,61794,65136,66880,68369,72028,73340,74833,75744
"96","89","            Fruit (fresh)","DFRURX0",19463,21384,22194,22627,23008,23816,25192,25113,25728,25945,27792,28983,29931,30602,31632,31181,32254
"97","90","            Vegetables (fresh)","DVEGRX0",35039,36408,37671,37556,37187,36547,37015,35951,35823,35854,37344,37903,38455,41427,41711,43668,43489
"98","91","          Processed fruits and vegetables","DPFVRX0",23439,23254,22561,21233,22358,23447,24526,25529,26433,25667,24253,24805,25233,24896,25674,25957,26006
"99","92","          Sugar and sweets","DSWERX0",38651,39168,39671,38892,38991,39621,40151,39922,39693,38236,35329,35723,36159,36328,38145,38893,38116
"100","93","          Food products, not elsewhere classified","DOFDRX0",93904,95294,96702,97367,101654,106267,110888,116375,120969,120026,115154,117401,119515,117738,119800,119621,118786
"101","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRX0",69513,69681,70867,71240,74701,78251,81554,84556,84980,84094,80438,82119,82976,83106,82426,83398,83836
"102","95","          Coffee, tea, and other beverage materials","DCTMRX0",8289,8292,8476,8432,8737,9067,9085,9412,9491,9687,9740,9680,9355,9457,10021,10134,10089
"103","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRX0",61229,61394,62396,62812,65969,69190,72481,75157,75501,74412,70698,72442,73645,73666,72383,73243,73729
"104","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX0",87062,92879,96181,97737,97780,99563,102005,106768,108520,107773,106138,112123,115864,119772,119268,121071,123872
"105","98","        Spirits","DLIQRX0",16562,17484,17948,18158,18861,20042,21121,22849,24200,24337,24078,25399,26269,27648,27864,28330,29120
"106","99","        Wine","DWINRX0",18839,21234,23796,25855,26226,27534,28634,30096,30846,30806,30637,32817,34565,36125,36406,37372,38437
"107","100","        Beer","DMLTRX0",52255,54672,54808,53989,52884,52111,52342,53879,53487,52634,51423,53914,55065,56082,55133,55544,56524
"108","101","      Food produced and consumed on farms (6)","DFFDRX0",433,372,314,346,296,327,367,450,356,378,394,350,288,286,515,496,523
"109","102","    Clothing and footwear","DCLORX0",243190,254958,257369,265228,278318,291162,306770,317445,323901,322312,306499,322664,335293,338867,343461,348411,359685
"110","103","      Garments","DGARRX0",193812,203219,205428,212383,222747,232830,245574,252655,256617,256081,244349,258093,267232,269047,272516,276400,286993
"111","104","        Women's and girls' clothing (10)","DWGCRX0",110947,118048,119770,124422,130769,137524,146003,150041,152667,152958,145820,154196,159630,162131,164142,166139,173912
"112","105","        Men's and boys' clothing (11)","DMBCRX0",73354,75212,75199,76931,79765,81740,84453,86262,86245,85150,81471,86141,89019,88890,89851,91757,94782
"113","106","        Children's and infants' clothing (12)","DCICRX0",9553,10025,10528,11095,12262,13599,15147,16378,17715,17974,17058,17757,18585,18025,18528,18492,18295
"114","107","      Other clothing materials and footwear (13 and 17)","DOCCRX0",49416,51775,51935,52756,55489,58267,61106,64768,67313,66237,62149,64580,68058,69816,70941,72006,72709
"115","108","        Clothing materials","DCSMRX0",3517,3815,3989,4366,4356,4325,4208,4055,3881,3770,3625,3653,3636,3640,3668,3667,3999
"116","109","        Standard clothing issued to military personnel","DMICRX0",296,327,349,391,485,343,362,404,436,429,451,402,354,333,354,309,381
"117","110","        Shoes and other footwear","DSHURX0",45572,47591,47540,47911,50577,53553,56513,60303,62996,62038,58074,60526,64077,65856,66933,68046,68343
"118","111","    Gasoline and other energy goods","DGOERX0",302321,294435,294152,296443,296758,299290,297997,297429,296838,283403,284500,282220,274345,270012,274727,276766,285942
"119","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX0",270280,265791,265666,267088,267168,270871,273001,273979,273161,262410,260229,259852,254727,252456,256274,257653,266016
"120","113","        Gasoline and other motor fuel","DGASRX0",263278,258492,258817,260381,259851,263275,264444,265365,264590,254740,254244,252815,245901,242914,247259,248561,256630
"121","114","        Lubricants and fluids","DLUBRX0",7109,7497,6916,6745,7465,7805,9202,9276,9220,8006,5984,7108,9329,10277,9592,9677,10018
"122","115","      Fuel oil and other fuels (29)","DFULRX0",33472,29394,29213,30207,30482,29068,25214,23553,23803,21107,24271,22359,19594,17507,18413,19068,19839
"123","116","        Fuel oil","DOILRX0",29711,25766,26013,26989,27081,25657,21952,20564,20932,18031,21635,19706,17009,14970,15785,16662,16950
"124","117","        Other fuels","DLPFRX0",3805,3641,3225,3253,3422,3419,3282,3000,2864,3173,2636,2661,2640,2666,2746,2429,2932
"125","118","    Other nondurable goods","DONGRX0",605825,636117,656047,675748,709548,740594,765910,803343,825151,828317,814169,832974,863208,880669,906253,944987,986311
"126","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRX0",192569,210711,229041,242646,259517,270842,276699,295762,309714,315001,320866,322427,329398,333766,349732,373741,390842
"127","120","        Pharmaceutical products","DPNPRX0",190762,208686,226920,240408,257031,268004,273577,292291,305883,311106,317090,318364,325137,329285,345136,368913,385839
"128","121","          Prescription drugs","DRXDRX0",165701,183241,201308,212859,227523,236175,238689,255188,266582,270533,277308,276615,280641,283483,297822,319279,334369
"129","122","          Nonprescription drugs","DNRDRX0",24577,25347,25889,27781,29750,31979,34893,37114,39303,40564,39782,41790,44677,46076,47503,49677,51412
"130","123","        Other medical products","DOMPRX0",1848,2060,2173,2295,2536,2867,3135,3477,3829,3893,3777,4071,4278,4514,4621,4843,5008
"131","124","      Recreational items (parts of 80, 92, and 93)","DREIRX0",78047,84277,87654,93126,98421,103828,113618,120665,127022,127747,123833,131994,140346,148253,156465,168602,178415
"132","125","        Games, toys, and hobbies","DDOLRX0",21089,23724,25508,28333,30945,33467,37491,40580,44137,48109,50247,56111,62910,69215,75064,82720,91294
"133","126","        Pets and related products","DPRPRX0",32789,34859,36286,37987,40249,42357,45410,47587,50412,49280,46317,48210,50190,51669,53363,55584,58109
"134","127","        Flowers, seeds, and potted plants","DFLORX0",25378,26107,25903,26128,26148,26645,29274,31070,31226,28697,25669,26129,25999,26679,27877,31034,31056
"135","128","        Film and photographic supplies","DFLMRX0",2665,2791,2684,2694,2701,2705,2493,2265,1907,1814,1600,1617,1610,1499,1443,1229,1208
"136","129","      Household supplies (parts of 32 and 36)","DHOURX0",87800,88591,89128,91210,97589,102187,106075,109234,110985,110150,105169,109494,114360,116799,121293,125210,129917
"137","130","        Household cleaning products","DCLERX0",34481,34364,34245,34469,35482,36311,36823,36446,35713,35294,33269,34147,35057,34954,36097,37362,37951
"138","131","        Household paper products","DPAPRX0",34543,33968,34656,35905,37103,36822,37129,36654,36164,34946,32788,33001,33596,32842,32718,33198,33777
"139","132","        Household linens","DLINRX0",14671,15493,15684,16380,19077,21499,23504,26368,28833,29677,29225,31940,34787,38137,41573,43691,46978
"140","133","        Sewing items","DSEWRX0",1129,1193,1216,1297,1340,1364,1377,1368,1363,1335,1279,1287,1286,1289,1303,1314,1430
"141","134","        Miscellaneous household products","DMHPRX0",7688,7578,7360,7132,7731,8423,8897,9184,9147,8948,8608,9159,9784,10083,10539,10813,11383
"142","135","      Personal care products (part of 118)","DOPCRX0",68657,72030,73976,76309,81642,87090,92379,97640,101432,103198,100088,105751,112025,115108,118986,122264,125165
"143","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRX0",36964,38817,40444,41750,44763,47802,50583,53276,55506,56736,55547,58486,62328,64116,65762,68053,69147
"144","137","        Cosmetic / perfumes / bath / nail preparations and implements","DCOSRX0",29070,30262,30229,30890,32834,34882,37023,39332,40724,41263,39587,42022,44058,45117,47118,47943,49539
"145","138","        Electric appliances for personal care","DEAPRX0",2738,3056,3348,3692,4055,4409,4777,5042,5209,5204,4954,5243,5647,5888,6101,6284,6476
"146","139","      Tobacco (127)","DTOBRX0",121383,118491,116334,110693,109366,112189,111021,113426,110689,106849,99520,95836,94429,92746,87963,83785,86021
"147","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRX0",62752,65066,62541,61518,61603,63123,63368,63602,61326,60724,58174,62283,67071,69522,69809,71010,75835
"148","141","        Newspapers and periodicals","DMAGRX0",42115,43111,42126,41590,40880,40928,40464,39962,37574,37342,35429,38664,42259,44081,43712,44242,47137
"149","142","        Stationery and miscellaneous printed materials","DSTYRX0",20974,22184,20769,20304,20979,22348,23011,23707,23754,23392,22745,23616,24800,25416,26132,26843,28806
"150","143","      Net expenditures abroad by U/S/ residents (131)","DNFRRX0",6252,7233,7726,8330,7519,6653,5964,5631,5247,5124,6519,5743,7084,7027,5808,5600,5773
"151","144","        Expenditures abroad by U/S/ residents","DABDRX0",7803,8786,9440,10049,9480,8745,8256,8251,8163,8382,9495,10334,9894,9575,8559,8114,8523
"152","145","          Government employees' expenditures abroad","DARTRX0",7494,8439,9067,9653,9067,8325,7819,7774,7648,7852,8895,9681,9269,8876,7877,7417,7759
"153","146","          Private employees' expenditures abroad","DARSRX0",308,347,373,396,413,421,437,477,515,529,600,653,625,699,681,697,764
"154","147","        Less: Personal remittances in kind to nonresidents","DREMRX0",1550,1553,1714,1719,1962,2093,2292,2620,2916,3257,2976,4591,2810,2548,2751,2514,2750
"155","148","Services","DSERRX0",5331616,5599291,5730960,5838171,5966894,6156565,6353416,6526598,6656427,6708594,6648525,6727642,6851401,6908120,6977030,7144607,7345279
"156","149","  Household consumption expenditures (for services)","DHCERX0",5192523,5446959,5562791,5648037,5762973,5949126,6147337,6291789,6415226,6435098,6372509,6449344,6575943,6614321,6677914,6839494,7037642
"157","150","    Housing and utilities","DHUTRX0",1550457,1600525,1643038,1653822,1675982,1717906,1788366,1823187,1840778,1860103,1880993,1904255,1927997,1929149,1938832,1961175,1977760
"158","151","      Housing","DHSGRX0",1278014,1320482,1364684,1369915,1387685,1428441,1493593,1533637,1547242,1571134,1591571,1608746,1637251,1646563,1651646,1674080,1690969
"159","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRX0",303605,306394,312150,309860,300298,301553,306832,316593,334643,343922,359679,372122,395065,399645,395159,405742,411212
"160","153","          Tenant-occupied mobile homes","DTMHRX0",8149,8620,9688,10178,10281,10250,10021,9025,8071,7053,6658,7661,7601,8228,8242,8054,7906
"161","154","          Tenant-occupied stationary homes","DTSPRX0",289963,291897,296237,293245,283249,284144,289325,299753,318698,328941,345186,356706,379606,383674,379113,389567,395033
"162","155","          Tenant landlord durables","DTLDRX0",5752,6058,6359,6527,6788,7153,7471,7794,7867,7924,7834,7747,7826,7696,7769,8103,8266
"163","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX0",956125,993032,1031359,1038855,1065493,1104749,1164320,1194594,1190394,1205093,1209860,1214643,1220087,1226259,1235963,1247779,1259170
"164","157","          Owner-occupied mobile homes","DOMHRX0",34769,36302,41674,41256,40014,39015,37620,33480,29631,27328,26645,25506,25670,25653,23869,23456,23177
"165","158","          Owner-occupied stationary homes","DOSTRX0",921361,956734,989689,997604,1025483,1065738,1126704,1161116,1160763,1177765,1183214,1189138,1194417,1200606,1212094,1224322,1235993
"166","159","        Rental value of farm dwellings (22)","DFARRX0",17936,20962,20821,20809,20963,20861,20877,20869,20845,20792,20713,20638,20623,19048,18974,18893,18881
"167","160","        Group housing (23)","DGRHRX0",1265,1256,1204,1094,1138,1141,1143,1191,1280,1296,1319,1341,1430,1609,1646,1706,1739
"168","161","      Household utilities","DUTLRX0",274311,281783,279025,285101,289597,290059,294878,289380,293372,288923,289422,295494,290850,282728,287339,287275,286838
"169","162","        Water supply and sanitation (25)","DWRSRX0",75937,76702,77418,78187,78179,76563,75882,77307,76407,76260,74289,73361,72386,70454,68928,67734,66963
"170","163","          Water supply and sewage maintenance","DWSMRX0",61015,61500,62428,63663,63022,60789,59893,60249,59554,59178,58276,57017,55844,54113,52772,52302,52321
"171","164","          Garbage and trash collection","DREFRX0",15015,15283,15107,14699,15277,15823,16019,17056,16851,17071,16014,16358,16584,16406,16243,15448,14537
"172","165","        Electricity and gas","DELGRX0",198479,205185,201789,207059,211532,213550,218958,212281,216994,212784,215133,222216,218530,212324,219044,220437,220902
"173","166","          Electricity (27)","DELCRX0",142644,147544,144794,151501,154041,157036,164161,160257,162590,160175,157008,166504,163705,160368,162678,162879,163765
"174","167","          Natural gas (28)","DGHERX0",55171,56952,56291,55024,56888,56184,55258,52760,54899,53255,58125,55666,54781,51746,56629,57939,57572
"175","168","    Health care","DHLCRX0",1178313,1218812,1279578,1355577,1392522,1442266,1490444,1525245,1563233,1598825,1627380,1649189,1690339,1726972,1743871,1791602,1875384
"176","169","      Outpatient services","DOUTRX0",516506,540882,571505,609847,638902,668251,691311,708073,721317,742214,744742,751418,770049,788171,798379,819308,865733
"177","170","        Physician services (44)","DPHYRX0",254139,269993,285491,308785,329038,347750,363008,375442,378474,392989,392838,393180,402223,410599,414374,425340,451271
"178","171","        Dental services (45)","DDENRX0",91796,95422,1e+05,104353,103233,105288,105256,104181,105020,105006,102080,101693,101542,100868,99063,100375,102216
"179","172","        Paramedical services (46)","DPMSRX0",173145,177824,188352,198687,207725,215972,223435,228581,237921,244243,249824,256565,266363,276905,285336,294090,313109
