"","Table 1#6#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","    Durable goods","DDURRV1",2.8,2.2,3.5,1.1,1.5,6.6,8.9,5.5,4.5,5.6,6.6,8.7,6.7,3.9,2,1.5,1.1,1.1,2.9,1.6,1.8,1,1.5,0.7,1,2,0.7,-1,-2.2,-2.8,-2.7,-1.8,-2,-2.6,-3.6,-1.9,-1.1,-1.6,-2,-1.9,-1.9,-1.3,-0.9,-1.3
"12","5","      Motor vehicles and parts","DMOTRV1",2,3,4.8,0.3,0.5,6.2,9.9,7.6,5.8,6.9,7.5,7.4,7.7,4.7,3.1,2.9,2.3,2.8,4.6,1.6,3,0.3,2.8,1.9,3.9,4.6,4,2,0.4,-1.1,0.3,0.4,0.4,-0.5,-2.7,-0.7,1.6,0.1,-0.5,-1.8,0.1,6.2,3.4,1.4
"13","6","      Furnishings and durable household equipment","DFDHRV1",3.6,2.2,1.8,1.4,2.4,8.1,9.9,4.3,3.7,5.1,6.2,8.1,7.4,5.2,2.3,1.2,1.1,1.1,1.6,1.4,0.3,1,0.6,1.2,0.5,1.5,-0.2,0.3,-0.1,-0.1,-1.3,-0.7,-1.7,-2.1,-2.8,-1.2,0.1,-0.4,-0.7,-0.8,-0.3,-4.2,-1.5,-0.2
"14","7","      Recreational goods and vehicles","DREQRV1",2.3,0.1,3.6,1.4,1.5,4.4,6.6,3.4,2.9,3.6,4.5,5.6,4.5,2.3,-1.2,-1.4,-1.8,-3.2,-1.3,-0.6,-0.3,-0.8,-1.3,-3.1,-3.6,-2.1,-4.2,-7.1,-8.4,-8.4,-8.7,-6.3,-6.8,-6.5,-6.3,-5,-5.4,-6.2,-7.1,-5.2,-6.4,-7.3,-6.8,-6.1
"15","8","      Other durable goods","DODGRV1",5,2.6,2.7,3.2,3.3,7.7,7.6,4.9,4.4,5.6,8.2,20.5,5.5,1,3.2,2.1,1.1,2.4,6.8,6.5,4.6,6.3,3.7,2.6,0.8,1.6,1.7,-0.6,-1.4,-1.8,-2.5,-1.3,0.3,-1.9,-1.6,-0.4,-1.5,1.8,3.7,3.4,1.2,0.5,3,0.6
"16","9","    Nondurable goods","DNDGRV1",4.3,4.5,2.8,3.2,8.1,15.1,7.7,3.3,5.7,6.4,10.8,12.3,7.7,2.3,1.7,2.1,1.9,-1.3,3.4,3.2,5,5.7,2.9,1.5,0.8,0.5,1,2.3,1,-0.7,2.5,4.3,1,-0.1,2.1,3.6,4,3.2,3.2,5.7,-3,3.2,6,2.5
"17","10","      Food and beverages purchased for off-premises consumption","DFXARV1",4.5,5.6,2.3,4.8,12.7,15.2,7.5,1.9,5.9,9.6,9.8,8.4,7.1,2.6,1.1,3,1.1,2.4,3.2,3,5.3,4.9,3.1,0.8,1.4,1.7,2.2,3.1,1.9,1.3,1.6,2.3,2.9,1.5,1.9,3.1,1.8,1.7,3.9,6.1,1.2,0.3,4,2.2
"18","11","      Clothing and footwear","DCLORV1",5.4,3.7,3.6,1.8,3.3,7.4,4.5,3.2,4.3,1.9,2,3.7,3.3,1.5,1.4,0.5,2.1,-0.4,2.9,3.2,1.5,3.3,1.9,0.7,-0.5,-1.7,-2.3,-1.2,0,-1.8,-1.3,-1.2,-2,-2.6,-2.5,-0.3,-0.9,-0.4,-1,-0.8,0.9,-0.7,1.7,3.6
"19","12","      Gasoline and other energy goods","DGOERV1",3.1,1.4,1.6,1.2,10.4,39.1,7,4.8,7.1,4.6,34.7,39.1,12.8,-4.6,-3.9,-1,0.2,-21.5,3.7,0.7,8.9,14.5,-1.7,-0.8,-1,0.2,1.3,6.8,0,-12.8,8.3,29.3,-3.5,-6.5,16.8,17.5,22.6,12.9,9.7,18.1,-27.5,18.2,25.9,3.9
"20","13","      Other nondurable goods","DONGRV1",3.7,4.7,3.8,2.5,2.7,9.8,11.5,5.2,5.8,5.4,6.5,9.1,8.5,7.7,6.9,3.7,3.9,4,4,4.5,5.5,5.1,5.3,3.8,1.7,0.7,1.8,1.9,1,1.9,3.9,2.2,2.3,1.7,0.2,1.2,1.5,2.2,1.4,2.4,4.4,1.8,1.6,1.7
"21","14","  Services","DSERRV1",5.2,5.5,5.5,4.2,4.9,8.5,8.6,6.9,7.5,7.8,8.4,10.4,10.2,7.8,6.2,5.2,4.5,4.6,3.8,4.9,4.7,4.9,4.3,4,3,2.7,3,2.8,3,2.4,2.2,2.8,3,2.7,3.2,3.2,3.4,3.4,3.4,3.4,1.4,2,1.8,2
"22","15","    Household consumption expenditures","DHCERV1",5.2,5.6,5.5,4.2,4.8,8.3,8.6,7,7.6,7.8,8.3,10.4,10.4,8.2,6.7,5.5,4.7,4.8,4,5.1,5.1,5.3,4.8,4.5,3.3,2.8,3.1,2.8,3,2.2,2.2,2.7,3,2.8,3.4,3.4,3.4,3.5,3.5,3.5,1.6,2.2,1.8,2.1
"23","16","      Housing and utilities","DHUTRV1",3.2,4.4,5.1,3.8,4.5,5.5,7.9,7.2,8.9,7.1,8.1,10.5,11,9.2,6.5,5.1,5.3,4.8,3.6,4,4,4.3,3.3,2.8,2.9,2.6,2.7,3,2.7,2.4,2.4,3.4,4.6,2.9,3.1,2.6,3.4,4.3,3.5,3.5,1.1,0.3,1.5,1.9
"24","17","      Health care","DHLCRV1",7.1,7.6,5.2,4.2,4.7,9.5,11.3,9.6,8.3,8.4,9.7,12.1,12.2,11.3,9.1,7.5,6.1,5.9,6.4,7.8,8.8,8.5,7.7,7,5.3,4.1,3.6,2.4,2,1.9,2.2,2.8,3.4,2.6,3.8,3.7,3.2,3.1,3.7,2.7,2.7,2.5,1.8,1.9
"25","18","      Transportation services","DTRSRV1",6.2,7.7,7,3.8,4.4,8.6,11.1,7.5,6.9,6.6,8.9,16.1,12.2,5.5,3.8,3.9,2,1,4.2,4.7,4.4,3.8,2.7,2.8,3.5,1.2,2.2,1.3,2.2,1.8,1.5,3,1.1,0.5,2.1,1.5,3.7,4.2,2.3,5.5,2.8,2.1,2.7,2
"26","19","      Recreation services","DRCARV1",4.2,4.6,4.4,2.6,3.6,6.9,7.4,4.9,4.8,6,6.6,7.6,6.4,5.5,4.3,4.3,4.3,3.9,3.9,3.8,5,5.5,5.2,3.1,3.2,2.1,2.2,3.3,3.2,2.5,3.2,3.9,3.3,2.9,3.1,2.7,2.8,3.4,2.8,3.1,1.3,1.1,1.7,2.8
"27","20","      Food services and accommodations","DFSARV1",6,7.4,5.3,3.7,6.8,11.6,9,6.6,7.2,8.7,10.8,9.7,8.9,5.7,4.3,4.5,4.3,4.1,4.1,4.3,4.5,4.6,4,2.1,2,1.8,2.4,2.7,3,2.7,2.6,2.8,2.9,2.4,2.1,3.3,3.2,3.4,3.9,3.9,2.3,1.4,2.5,2.9
"28","21","      Financial services and insurance","DIFSRV1",8.9,5.1,6,6.1,2.4,8,7.4,4,7.7,13.2,5.4,7.7,7.6,5.8,9.6,6.3,4.3,5.6,2.7,6.1,3.5,5,4.4,7.5,1.1,1.6,4,4,5.9,2.4,1,0.9,-0.6,2.7,4.5,5.6,3.7,2.3,4.5,3.2,-1.1,6.9,1.6,2.2
"29","22","      Other services","DOTSRV1",4.8,4.8,5.9,5.1,5.9,10.8,7.2,6.2,5.1,5.2,7.3,9.1,10.2,7.8,5.6,5.1,3.6,5.2,2.4,4.2,3.8,4.1,4.8,4.2,3.5,3.7,3.3,2.9,2.8,2,2.4,1.9,3.1,3.9,3.7,3.4,3.8,3.4,2.9,4.2,2.4,2.5,1.9,2.3
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRV1",6.2,4.3,5.5,4.1,6.4,14.4,9.3,5.3,6.9,6.6,9.8,9.5,5.3,-4.6,-6.9,-4,-2,-3,-1.6,-0.8,-6,-7.8,-7,-8.6,-5,-0.1,0.1,1.8,4.2,6.6,3.6,5.5,4.6,0.8,-1.5,-0.4,3.9,2.1,1.5,0.7,-3,-1.1,0.6,-0.4
"31","24","Gross private domestic investment","A006RV1",4.7,4.2,5,4.2,5.4,9.9,12.3,5.5,7.5,8.2,9,9.4,9.5,5.1,-0.3,0.7,1,2.2,1.9,2.3,2.4,1.9,1.4,-0.3,1.1,1.3,1.1,-0.4,-0.4,-1.1,-0.1,1.1,0.9,0.4,1.1,3.4,4.6,4.3,1.9,1.1,-1.1,-1.3,1.5,1.2
"32","25","  Fixed investment","A007RV1",4.9,4.3,5,4.3,5.5,9.9,12.5,5.8,7.8,8.4,9.1,9.4,9.3,5.5,-0.2,0.6,1.3,2.4,1.9,2.6,2.4,2,1.5,-0.3,1.2,1.3,1.2,-0.3,-0.3,-0.9,-0.1,1.2,0.9,0.4,1.2,3.4,4.7,4.3,1.9,1.2,-1.2,-1.2,1.6,1.4
"33","26","    Nonresidential","A008RV1",4.1,4.7,4.7,3.4,3.9,9.7,13.8,5.5,6.8,6.7,8.1,8.8,9.7,5.5,-0.9,-0.2,0.8,1.7,0.9,2.2,2.1,1.9,1.5,-0.8,0.1,0.5,0.2,-1.2,-1.3,-2.2,-1.4,0,-0.4,-0.4,-0.4,1.4,3.3,3.4,2.1,2,-0.6,-1.5,1.7,1.5
"34","27","      Structures","A009RV1",6.6,6.6,7.7,7.2,7.7,13.8,12,4.9,8.7,9.7,11.6,9.3,13.8,7.9,-2.5,0.9,2.4,1.9,1.6,4.2,3.9,3.2,1.8,0,2.9,3.5,4.3,2.5,3.8,4.6,3.1,3.9,5.2,4.2,3.6,7.6,13.1,12.9,6.1,4.9,-2.5,-1.1,4.7,3.4
"35","28","      Equipment and software","A010RV1",2.8,3.7,3,1.2,1.7,7.4,14.8,5.9,5.9,5.3,6.3,8.5,7.1,3.9,0.2,-0.9,-0.1,1.6,0.5,1.2,1.3,1.3,1.4,-1.2,-1,-0.6,-1.2,-2.4,-3,-4.4,-2.9,-1.2,-2.4,-2,-1.8,-0.5,0.1,0,0.5,0.5,0.5,-1.6,0.6,0.8
"36","29","        Information processing equipment and software","A679RV1",0.8,0.9,-2.3,-2.2,0.7,1.9,6.1,0.9,-1.3,-3.7,-0.7,0.7,2.4,1,-2.6,-4.3,-3.7,-3,-2.8,-1.3,-2.2,-2.5,-1.8,-5.3,-3.8,-4,-4.7,-7.9,-7.7,-9.7,-7,-2.8,-5,-4.6,-4.9,-3.7,-2.7,-2.2,-1.8,-2.1,-2.4,-1.5,-0.7,-0.9
"37","30","          Computers and peripheral equipment","B935RV1",-9.5,-10.2,-23.9,-19.3,-5.2,-18.4,-7.5,-16.5,-13,-32.4,-17.1,-22,-12.1,-10.5,-16.6,-19.1,-15,-13.9,-14.8,-7.1,-6.6,-9.3,-10.2,-14.7,-15,-12.1,-16.3,-23.7,-22.9,-25.7,-22.1,-12.5,-17.2,-13.1,-10.6,-7.3,-12,-12.6,-10.1,-9.6,-8.1,-3.9,-4.2,-2.4
"38","31","          Software \1\","B985RV1",0.9,1.7,-2.4,-1.8,1.9,3.9,4.2,0.2,1,-2.2,3,2.5,3.6,2.7,-1,-1.7,-1.8,-3.6,-0.7,-1.1,-4.9,-3.5,-0.4,-8.3,-0.6,-3.3,-0.6,-2.4,-2.9,-3,1.2,3,0.4,-1.8,-2.3,-2.5,-0.5,1.2,0.5,0.8,-1,-1,-0.1,-0.4
"39","32","          Other","A937RV1",3.3,3.6,3.6,2.5,2,6.4,9.4,4.6,0.8,4.1,2.9,7.4,7,4.7,2.8,2.2,1.5,2.5,2.4,1.4,1.3,1.2,1.3,1,-0.2,-0.5,-0.9,-1.5,-1.3,-4.4,-4.2,-2.5,-3.5,-3.2,-5,-3.5,-0.8,-1.2,-0.7,-2.3,-1.9,-1.2,-0.2,-0.9
"40","33","        Industrial equipment","A680RV1",3.4,5,4.5,2,2.8,9.4,20.5,8.4,9.1,8.8,9.8,13,9.6,4.8,2.1,1.1,1.7,4.6,4.3,4.5,3.6,4.8,3.6,2.2,1.4,2,3.4,2.1,0.7,0.6,0.6,0.6,0.7,0,0.8,2.5,3.8,3.2,4,4.8,1.3,1.2,3,1.8
"41","34","        Transportation equipment","A681RV1",3,4.8,5,2.1,1.1,9.3,11.2,7.2,7.8,9,8.6,10.5,7.5,4.5,1.5,1,3,6.3,1.6,1.5,3.5,3.6,5.1,2.6,1,2.8,-0.4,2,1.6,-0.7,0.9,0.1,-0.8,0.9,3.1,4.9,0.8,0.9,1.5,0.6,6.8,-6.3,2,2.1
"42","35","        Other equipment","A862RV1",3.6,3.6,4.8,2.8,2.1,8.9,21.6,7.4,8.8,8.3,8.7,12.2,11.2,7.1,2.2,1.9,2,3.2,2.5,3,4.1,4,3.3,2.2,1.8,1.7,2.1,2.7,1.3,1.5,1.3,0.6,1.4,0.8,0.9,1,4.1,2.3,2.3,3.3,4.9,-2.4,1.4,3.2
"43","36","    Residential","A011RV1",6.9,3.2,5.8,6.1,8.9,10.3,9.3,6.4,10.1,12.2,11.2,10.8,8.2,5.4,2.3,2.9,2.6,4.2,4.1,3.5,3.2,2.3,1.3,1.2,4,3.5,3.6,2.1,2.5,2.7,3.8,4.4,4.6,2.5,4.8,7.3,7.2,6.1,1.4,-1.2,-3.4,-0.2,0.9,0.9
"44","37","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","38","    Farm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","39","    Nonfarm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","Government consumption expenditures and gross investment","A822RV1",6,8.2,7.8,7.7,7.3,10.1,10,6.6,6.9,6.4,8.4,10.9,9.8,6.6,4,5.1,3.1,1.8,2.8,2.7,3.1,4.1,3.5,2.5,2.5,2.7,2.7,2.4,1.8,1.4,3.2,4,2.7,2.6,4.2,4.3,5.8,4.8,4.8,4.9,-0.6,2.4,3.3,1.8
"48","41","  Federal","A823RV1",5.4,8.1,8.5,9.8,6.9,8.9,10.4,7.1,7.6,6.2,7.7,10.5,9.7,6.8,3.5,5.9,2.3,0.5,1.2,2.1,2.7,3.3,4,3.1,2.5,2.7,2.8,2.8,1.7,1.1,2.5,3.3,2,3.7,4.2,4.7,4.9,4.1,3.5,3.2,-0.2,2.4,2.8,1.6
"49","42","    National defense","A824RV1",5.5,7.7,8.9,11.5,7.3,9.3,9.8,7.3,7.6,7,8,10.9,9.9,7,3.5,7.1,1.9,-0.1,1,1.8,2.6,3.3,3.6,3.5,1.7,2.5,2.4,3.1,1.4,1.1,2.5,3.3,2,3.8,4.7,4.7,5.4,4.4,3.7,3.6,-0.7,2.3,3,1.8
"50","43","      Consumption expenditures","A997RV1",5.5,7.7,9.2,9.8,7.7,10,10.3,7.3,7.6,7,8.5,11.7,10.2,7.1,3.7,8.3,2.8,1,2.1,2.3,2.8,3.6,3.9,4,1.6,2.4,2.4,3.5,2,1.3,2.6,3.8,2.5,4.5,5.3,5.1,5.8,4.8,4,3.8,-0.8,2.6,3.2,2
"51","44","      Gross investment","A788RV1",5.4,7.2,6.4,33.2,3.7,3.8,6.1,7.6,7.2,7,5.1,6.1,8.1,6.8,2.7,1.8,-1.9,-4.5,-3.3,-0.3,1.7,2,2.1,0.9,2.7,3,2.5,0.6,-1.9,-0.7,1.6,0.1,-1.3,-1,0.5,1.8,2.2,2,1.4,2.4,-0.3,0.7,1.7,0.5
"52","45","    Nondefense","A825RV1",5.2,9.6,7.6,5,5.6,8,12,6.7,7.5,4.3,7.1,9.7,9.3,6.2,3.4,2.5,3.4,2.5,1.9,3,3.1,3.4,5,2.1,4.4,3.2,3.5,2.1,2.2,1.3,2.6,3.3,2,3.6,3.5,4.9,3.9,3.5,3.2,2.3,0.9,2.4,2.2,1.2
"53","46","      Consumption expenditures","A542RV1",5.4,9.7,7.8,5.2,5.7,7.6,11.9,7.1,8,4.5,7.1,9.9,9.5,6.3,3.9,2.9,3.9,2.7,2,3.2,3.3,3.7,5.7,2.7,5.2,3.7,3.9,2.7,2.9,1.8,3.1,3.7,2.4,4.3,4,5.4,4.2,3.7,3.5,2.6,1,2.8,2.3,1.2
"54","47","      Gross investment","A798RV1",4.5,9.5,6.5,4.3,5.1,10.2,12.4,4.4,4.6,3.6,7.2,8.6,8.7,5.5,0.4,0.5,1,1,1.1,2.2,2.3,2.1,1.6,-0.7,1,1,1.7,-0.8,-1.2,-1.1,0.3,1.4,0.1,-0.8,-0.1,1.1,2.2,1.6,0.8,0.8,-0.4,-0.2,1.3,1
"55","48","  State and local","A829RV1",6.7,8.2,7.1,6,7.7,11,9.8,6.2,6.5,6.6,8.9,11.2,9.9,6.4,4.4,4.5,3.9,3,4.2,3.1,3.5,4.6,3.1,2.2,2.5,2.7,2.7,2.2,1.9,1.5,3.6,4.4,3.1,2.1,4.2,4,6.3,5.3,5.5,5.9,-0.8,2.4,3.7,2
"56","49","      Consumption expenditures","A991RV1",6.7,8.2,7,6.1,7.6,9.1,9.4,7.2,7.1,6.7,8.7,11,9.7,6.4,5.1,5.3,4.4,3,4.3,3.2,3.7,5.1,3.5,2.6,2.5,2.8,2.6,2.2,2,1.5,3.9,4.6,3.3,2.2,4.8,3.9,6,5,5.1,6.1,-1.4,2.9,3.9,1.7
"57","50","      Gross investment","A799RV1",6.7,8.4,7.6,5.4,7.8,18.3,11,2.4,3.9,6.1,9.4,12,11,6.3,1.2,0.5,1.5,2.9,3.4,2.7,2.3,2.8,1.4,0.4,2,2.5,3.1,1.7,1.6,1.3,2.1,3.3,2.2,1.8,1.5,4.6,7.7,6.3,7.4,5,2.1,0.2,2.8,3.3
"58",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","51","  Final sales of computers to domestic purchasers \2\","W489RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.8,-21.9,-12,-10.7,-17.6,-18.5,-14.5,-14.8,-14.1,-7.3,-6.7,-10.2,-11.4,-16.3,-16.2,-12.2,-17.2,-25.3,-25,-27.8,-24.5,-15,-20.1,-16.3,-13.6,-9,-13.3,-13.7,-10.7,-10.7,-10.1,-5.2,-6.7,-5.2
"60","52","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,10.7,9.3,5.8,3.7,3.7,3,2.4,3.3,3.5,3.9,4.2,3.4,2.6,2.3,2.2,2.4,2.2,1.9,1.2,2,2.8,2.2,1.7,2.5,3.2,3.9,3.5,3.1,3.4,-0.1,1.7,2.6,1.8
"61","53","  Food \3\","B981RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,3,0.5,2.1,3.2,2.1,5.2,4.7,3.1,0.7,1.4,1.6,2.1,2.9,1.7,1.1,1.6,2.3,2.9,1.5,1.8,3.1,1.6,1.7,3.9,6.1,1.1,0.3,3.6,2
"62","54","  Energy goods and services","B982RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1,1,-12.7,1.2,0.7,5.9,8.5,0.4,0.4,0.9,0.4,0.8,4.6,1,-8.5,4.1,18.3,2.3,-5.8,12.7,11.6,17.7,11.3,7.1,14.4,-19.6,10.5,16.1,1.7
"63","55","  Gross domestic purchases excluding food and energy","B983RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,3.7,3.1,3.1,3.2,3.7,3.6,3.8,3.4,2.6,2.2,2.2,2.2,1.6,1.5,1,1.5,2,1.8,1.7,2,2.7,3.3,3.1,2.7,2.6,0.6,1.4,1.9,1.7
"64","56","  Gross domestic product","A191RV1",4.9,5.3,5,4.3,5.5,9,9.5,5.7,6.4,7,8.3,9.1,9.4,6.1,3.9,3.8,3,2.2,2.8,3.4,3.8,3.9,3.5,2.4,2.2,2.1,2.1,1.9,1.8,1.1,1.5,2.2,2.3,1.6,2.1,2.8,3.3,3.2,2.9,2.2,0.9,1.3,2.1,1.8
"65","57","      Gross domestic product excluding final sales of computers","BB00RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,9.4,9.6,6.2,4.2,4,3.3,2.4,3,3.6,3.9,4,3.7,2.6,2.4,2.2,2.3,2.3,2.2,1.5,1.8,2.4,2.5,1.8,2.2,2.9,3.5,3.4,3,2.3,1,1.4,2.2,1.8
"66","58","      Food \3\","BB10RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,3.3,3.5,5.6,3.9,2.7,0.6,1.5,1.3,2.6,4.2,0.6,0.4,1.4,2.3,3.2,1.6,2.2,3.5,1,1.6,4.9,7.4,0.1,-0.2,4.2,3.2
"67","59","      Energy goods and services","BB11RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4,-2.4,5.8,2.9,4.8,5.8,1.3,3.6,2.4,-1,0.3,2.9,0,-2.6,0.4,12.6,-8.2,6,3.3,1.5,4.9,3.1,-22.9,17.5,-3.9,4.4,0
"68","60","      Gross domestic product excluding food and energy","BB03RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.9,3.4,3.7,3.8,3.5,2.5,2.2,2.1,2.1,1.8,1.8,1.2,1.6,2.2,2,1.8,2,2.8,3.5,3.3,2.8,2.4,0.7,1.6,2,1.7
"69","61","  Final sales of domestic product","A190RV1",5,5.3,5,4.3,5.6,9,9.5,5.8,6.4,7.1,8.3,9.1,9.4,6.2,4,3.8,3.1,2.3,2.8,3.5,3.8,3.9,3.5,2.4,2.2,2.1,2.1,1.9,1.8,1.2,1.5,2.2,2.3,1.6,2.1,2.8,3.3,3.2,2.9,2.2,0.9,1.3,2.1,1.8
"70","62","  Final sales to domestic purchasers","A713RV1",4.9,5.4,5.1,4.5,5.8,10.3,9.3,5.8,6.8,7.1,8.8,10.5,9.2,5.7,3.5,3.5,2.9,2.3,3.1,3.5,3.8,4.1,3.3,2.4,2.1,2.1,2.2,1.8,1.5,0.7,1.6,2.5,1.9,1.4,2.3,3,3.7,3.4,3,3.3,-0.2,1.6,2.5,1.7
"71","63","  Implicit price deflator for gross domestic purchases \4\","A712RI1",4.9,5.4,5.1,4.5,5.8,10.3,9.3,5.7,6.8,7.1,8.8,10.5,9.1,5.7,3.5,3.5,2.8,2.3,3.2,3.4,3.8,4.1,3.3,2.4,2.1,2.1,2.1,1.8,1.5,0.7,1.6,2.5,1.9,1.5,2.3,3,3.7,3.3,3,3.3,-0.2,1.6,2.5,1.7
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
