"","Table 6#17B# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"13","6","  Mining","A3006C0",757,1068,969,788,1702,4185,4198,4076,3395,2447,3970,6409,2483,-2412,-3792,-2460,-5713,-5267,-1584
"14","7","    Metal mining","B3007C0",98,194,-10,-20,307,394,35,174,-28,-83,304,246,16,-604,-361,-384,-892,-687,-521
"15","8","    Coal mining","J3008C0",122,437,271,182,316,1919,1763,1229,759,352,405,512,675,472,225,289,-88,304,455
"16","9","    Oil and gas extraction","B3009C0",260,237,447,367,630,1323,1928,2192,2129,1378,2325,4662,1089,-2618,-3974,-3046,-5247,-5527,-2542
"17","10","    Nonmetallic minerals, except fuels","B3010C0",277,200,261,259,449,549,472,481,535,800,936,989,703,338,318,681,514,643,1024
"18","11","  Construction","B3011C0",2108,2058,2423,2316,2421,2457,2804,3356,4694,5853,6237,5987,4302,2853,2384,3193,5114,7811,11458
"19","12","  Manufacturing","E563RC0",41016,31217,37391,45400,57039,61776,60007,77991,87421,100531,108551,96294,102144,70623,78463,93512,84464,54075,95072
"20","13","    Durable goods","E565RC0",21893,13206,18237,24633,29683,27068,25211,35785,43790,51670,47771,28485,28207,9438,21410,39962,31762,27495,44533
"21","14","      Lumber and wood products","J3014C0",1243,646,1012,1544,2538,1679,1141,2353,3110,4091,3907,1593,-29,-108,2038,2353,1603,2545,5053
"22","15","      Furniture and fixtures","J3015C0",498,348,382,537,505,417,429,610,764,934,945,883,922,895,1284,1344,1681,1841,1783
"23","16","      Stone, clay, and glass products","B3016C0",1140,827,1146,1414,1548,1261,1250,1927,2405,2938,2990,1850,1007,-1048,1322,2345,2792,3716,2808
"24","17","      Primary metal industries","J3017C0",1855,1090,994,1819,3000,6800,3115,2819,1853,4364,5575,3726,3495,-4654,-4693,-257,-889,780,3678
"25","18","      Fabricated metal products","J3018C0",2365,1586,1723,2379,3171,3915,3619,4540,5317,5803,6521,5299,5814,2874,3268,4997,4882,4950,6097
"26","19","      Machinery, except electrical","B3019C0",4318,3541,3552,4729,5860,6090,6631,7843,10016,12050,11770,10050,10840,4848,4191,6345,5285,42,5321
"27","20","      Electric and electronic equipment","B3020C0",2591,1478,2026,3088,3532,2251,2940,4098,6298,7438,6916,6749,6377,1950,3973,5727,3046,2962,6295
"28","21","      Motor vehicles and equipment","B3021C0",4994,1756,5256,6202,6165,1475,2467,7559,9731,9364,5344,-3570,987,117,5304,9350,7582,4579,4014
"29","22","      Other transportation equipment","J3022C0",621,292,453,792,919,1005,999,847,762,653,-266,-1998,-5636,1976,2901,3990,3422,4403,6477
"30","23","      Instruments and related products","B3023C0",1710,1249,1202,1418,1563,1435,1615,2039,2279,2720,2619,2776,2965,1539,1492,2221,1059,679,1423
"31","24","      Miscellaneous manufacturing industries","J3024C0",558,393,491,711,882,740,1005,1150,1255,1315,1450,1127,1465,1049,330,1547,1299,998,1583
"32","25","    Nondurable goods","E564RC0",19123,18011,19154,20767,27356,34708,34796,42206,43631,48861,60780,67809,73937,61185,57053,53550,52702,26580,50539
"33","26","      Food and kindred products","B3026C0",3457,3623,3796,3592,4676,5437,7353,7341,7481,7712,7338,8404,8160,7362,7579,7128,8215,7453,11661
"34","27","      Tobacco manufactures","B3027C0",809,918,1004,954,846,918,1185,1391,1548,1934,2065,2122,2007,2205,2775,3633,2753,2588,1459
"35","28","      Textile mill products","B3028C0",1038,903,947,1072,1318,937,736,1255,1451,1887,1703,1446,1335,926,1735,1246,1240,2150,2229
"36","29","      Apparel and other textile products","B3029C0",801,747,847,1089,1170,927,1271,1440,1755,1678,1575,1868,1942,2013,2660,1732,1587,1948,1913
"37","30","      Paper and allied products","B3030C0",1570,1232,1135,1685,2550,3286,2385,3086,3057,3446,4570,3403,3241,2839,3016,4181,3523,4164,6452
"38","31","      Printing and publishing","B3031C0",2034,1805,2016,2283,2598,2706,3102,3694,4578,5257,5295,5099,5221,5192,6307,7303,7995,8399,8525
"39","32","      Chemicals and allied products","B3032C0",4772,4263,4538,5426,6780,7741,7123,8726,8425,8712,9143,7562,9161,5436,7151,8265,6428,6859,15347
"40","33","      Petroleum and coal products","B3033C0",3502,3831,3802,3417,5995,11544,10344,13597,13303,16020,26953,36128,40510,33135,23148,17288,18121,-9167,-10
"41","34","      Rubber and miscellaneous plastics products","B3034C0",902,493,830,1017,1203,1000,965,1156,1614,1651,1542,1004,1595,1356,2056,2285,2470,1945,2396
"42","35","      Leather and leather products","B3035C0",238,196,239,232,220,212,332,520,419,564,596,773,765,721,626,489,370,241,568
"43","36","  Transportation and public utilities","E567RC0",10930,8897,9070,9722,10052,10575,11329,16667,19970,22887,20924,22532,24173,23334,29628,40537,34053,33816,43851
"44","37","    Transportation","C512RC0",711,-54,809,1601,1595,2840,1293,3224,3871,4375,4395,3662,2307,-195,3130,6155,1858,1398,4795
"45","38","      Railroad transportation","B3038C0",56,-363,-184,11,36,726,-96,347,478,281,1104,1689,269,-311,430,2051,847,342,1273
"46","39","      Local and interurban passenger transit","B3039C0",83,26,-3,63,28,51,54,89,93,114,180,214,168,149,227,260,150,77,59
"47","40","      Trucking and warehousing","B3040C0",575,509,864,1090,996,982,910,1361,1506,1738,1442,1207,1655,1028,2238,2127,2069,2841,1923
"48","41","      Water transportation","B3041C0",74,28,-8,23,59,408,238,250,254,189,314,285,77,-447,-424,-532,-807,-617,21
"49","42","      Transportation by air","B3042C0",-269,-492,-125,118,202,250,-308,533,885,1198,-13,-950,-1264,-2053,-788,997,-1458,-1924,389
"50","43","      Pipelines, except natural gas","B3043C0",132,168,178,203,198,298,363,416,416,590,977,914,1089,1253,1205,896,994,700,895
"51","44","      Transportation services","B3044C0",60,70,87,93,76,125,132,228,239,265,391,303,313,186,242,356,63,-21,234
"52","45","    Communication","C513RC0",5441,4798,4118,3905,4390,4289,4183,5785,6690,8686,7827,8018,8745,8667,10159,13116,14467,17906,19897
"53","46","      Telephone and telegraph","B3046C0",5105,4515,3829,3415,3891,3741,3600,4715,5324,7114,6331,6735,7615,7726,9272,11601,13726,18438,19845
"54","47","      Radio and television","B3047C0",336,283,289,490,499,548,583,1070,1366,1572,1496,1283,1130,941,887,1515,741,-532,53
"55","48","    Electric, gas, and sanitary services","C514RC0",4778,4153,4143,4216,4067,3446,5853,7658,9409,9826,8702,10852,13121,14862,16339,21266,17728,14512,19159
"56","49","  Wholesale trade","C510RC0",5566,5478,5942,8634,13439,18159,15569,15601,17780,21202,26671,26211,26035,20744,23946,29254,22190,22288,22789
"57","50","  Retail trade","C511RC0",7240,6881,8076,8378,9549,8858,11242,13018,15508,17875,17178,14693,14113,15409,21074,22910,23581,24752,26466
"58","51","  Finance, insurance, and real estate","A3051C0",14781,16222,18711,20037,21210,20290,20476,25950,34060,41972,42651,34762,28449,24185,35341,33114,43695,54598,60547
"59","52","    Banking","J3052C0",9629,10531,9955,10096,11710,13583,13974,14830,15147,17975,21055,20974,22856,25231,30363,32415,41366,45473,48237
"60","53","      Federal Reserve banks","B3053C0",3075,3526,3312,3344,4476,5681,5610,5872,6109,7645,9433,11798,14393,15245,14586,16433,16346,15516,16247
"61","54","      Commercial and mutual banks","J3054C0",6554,7005,6643,6752,7234,7902,8364,8958,9038,10330,11622,9176,8463,9986,15777,15982,25020,29957,31990
"62","55","    Credit agencies other than banks","J3055C0",1853,1786,2662,3243,3741,3254,3219,4576,6130,7472,5882,-332,-7376,-8960,-685,-65,1997,3519,8253
"63","56","    Security and commodity brokers","B3056C0",94,-164,297,218,177,92,480,17,-83,392,152,867,-45,-391,542,-1012,198,402,1254
"64","57","    Insurance carriers","B3057C0",1989,3015,4564,5495,4791,2940,2400,5393,9939,12079,11822,10673,9956,7263,2671,-409,-3929,-1130,427
"65","58","    Insurance agents, brokers, and service","B3058C0",289,419,477,447,491,472,560,660,1226,1282,1285,1213,1123,965,740,847,1380,2037,3106
"66","59","    Real estate","B3059C0",1191,845,1086,884,680,134,273,993,2136,2424,2295,776,-655,-1863,-198,-1289,-2199,-2161,-1012
"67","60","    Holding and other investment offices","B3060C0",-264,-210,-330,-346,-380,-185,-430,-519,-435,348,160,591,2590,1940,1908,2627,4882,6458,281
"68","61","  Services","A3061C0",2146,1994,2229,2917,3747,3538,4458,5799,7935,9248,10094,10547,12035,11253,12025,11790,12086,12861,14590
"69","62","    Hotels and other lodging places","B3062C0",246,125,57,182,119,-47,57,231,417,812,999,849,690,411,445,38,-194,-550,-588
"70","63","    Personal services","B3063C0",285,248,250,293,321,411,410,461,498,575,626,643,710,753,692,792,628,611,889
"71","64","    Business services","B3064C0",648,543,683,909,1292,885,1332,1633,2619,2715,2786,2523,2988,3104,2591,3791,3359,4036,4306
"72","65","    Auto repair, services, and parking","B3065C0",180,118,140,173,232,210,236,385,477,419,341,302,359,262,326,137,-172,147,-26
"73","66","    Miscellaneous repair services","J3066C0",74,65,57,80,84,153,153,170,214,265,226,284,354,224,237,388,307,423,509
"74","67","    Motion pictures","B3067C0",77,175,102,137,178,258,322,448,538,837,846,683,630,705,430,-36,107,99,-690
"75","68","    Amusement and recreation services","B3068C0",184,198,250,172,267,331,375,478,588,669,708,708,717,418,122,-583,-180,-202,-471
"76","69","    Other services","A3069C0",452,522,690,971,1254,1337,1573,1993,2584,2956,3562,4555,5587,5376,7182,7263,8231,8297,10662
"77","70","      Health services","B3070C0",213,341,439,583,743,896,1126,1262,1571,1840,2197,2875,3532,3620,4836,4904,5425,5355,6523
"78","71","      Legal services","B3071C0",8,35,51,49,74,78,107,125,166,209,316,331,450,682,917,931,1034,1403,1695
"79","72","      Educational services","B3072C0",5,-38,-14,-5,45,23,89,82,117,184,137,255,162,167,186,242,228,118,380
"80","73","      Other \1\","B3073C0",226,184,214,344,392,340,251,524,730,723,912,1094,1443,907,1243,1186,1544,1421,2063
"81","74","Rest of the world \2\","B394RC0",6595,7100,7855,9534,14898,17469,14631,16548,19113,22869,34611,35471,29679,32583,35059,36566,38105,39474,48012
"82","75","  Receipts from the rest of the world","B3075C0",8047,8656,9781,11751,17575,20398,17906,20938,23790,29001,42560,43845,38078,36669,41103,46103,46805,48718,58923
"83","76","  Less: Payments to the rest of the world","B3076C0",1452,1556,1926,2217,2677,2929,3275,4390,4677,6132,7949,8374,8399,4086,6044,9537,8700,9244,10911
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","their incorporated foreign affiliates, and earnings of unincorporated foreign affiliates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","(line 75), net of corresponding payments (line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
