"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Domestic business","A127RC1",3.5,1,-1.7,-3.2,-2.8,-0.9,0.1,0.1,0.7,0.6,1.2,2.8,3.2,4.8,6.2,7.2,4.9,3.3,5.9,11.4,11.3,8.9,9.7,10.9,9.9,11.4,16.5,14.7,14.5,11.9,17.5,16.9,17.4,23.2,25.7,29.2,35.3,38,35.8,34.1,30.3
"12","5","      Undistributed corporate profits","B057RC1",3.4,-2,-4.2,-4.4,-0.8,-0.2,0.4,1,1.3,0.2,2.4,3.6,6.3,6.4,7,6.9,4.7,10.3,14.4,16.4,12.2,16.5,13.7,12.3,12.5,12.4,17.4,17.2,15.9,12.4,17.5,15.5,14.8,17.9,19.5,22.7,28.9,32.1,29.1,29.3,27.2
"13","6","      Inventory valuation adjustment, corporate","B058RC1",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9
"14","7","      Capital consumption adjustment, corporate","A059RC1",-0.4,-0.2,0.1,0.2,0.1,-0.1,-0.1,-0.1,-0.6,-0.6,-0.5,-0.6,-0.6,-0.4,0,0.6,0.7,-1.7,-2.6,-2.8,-2.8,-2.6,-2.8,-2.4,-1.6,-0.7,0.9,0.2,0.1,-0.3,0.3,1.6,2.3,5.3,6.2,6.9,7.6,8,8.2,8.5,9
"15","8","    Households and institutions","W986RC1",3.6,2.9,2.4,-0.5,-0.8,0.5,2.5,4.2,4.3,1.3,3.2,4.3,11.4,28.6,34.8,38.4,31.1,15.5,7.3,13.3,9.3,14.9,19.4,20.3,21.3,19.8,19.5,25.6,26.9,28.2,26.1,26.3,31.9,33.5,33.1,40.5,42.7,44.3,54.2,52.5,52.5
"16","9","      Personal saving","A071RC1",3.6,2.9,2.4,-0.5,-0.8,0.5,2.5,4.2,4.3,1.3,3.2,4.3,11.4,28.6,34.6,38.6,31,15.5,7.3,13.2,9.4,14.9,19.3,20.3,21.3,19.8,19.5,25.6,26.9,28.2,26.1,26.3,31.9,33.5,33.1,40.5,42.7,44.3,54.2,52.5,52.5
"17","10","      Wage accruals less disbursements","B185RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","11","  Net government saving","A922RC1",2.6,1.6,-1.1,-0.7,-0.5,-1,-0.8,-0.9,2.2,0.6,-0.1,1.6,4.1,-7.2,-12.6,-25.3,-27.3,-3.5,6.7,4.9,-4.1,6.9,12.2,6.7,5.3,1.5,9.2,11.9,7.4,-2.6,7,11.4,6.8,7.7,11,7.3,9.8,10,-2.3,5.1,16.5
"19","12","    Federal","A923RC1",1,0.2,-2.1,-1.3,-0.9,-2.2,-1.9,-3.2,0.2,-1.3,-2.1,-0.3,2.2,-8.7,-14.1,-26.9,-28.9,-5,5.3,3.7,-5.6,5.6,9.7,3.7,1.8,-1.7,5.7,7.5,3.3,-5.4,3.3,7.1,2.6,2.4,5.3,0.9,3.2,2.3,-9.3,-2.4,8.6
"20","13","    State and local","A924RC1",1.5,1.3,1,0.7,0.4,1.2,1.1,2.3,2,2,2,2,1.9,1.5,1.5,1.6,1.6,1.5,1.4,1.2,1.5,1.3,2.6,3,3.5,3.2,3.5,4.4,4.2,2.9,3.8,4.3,4.3,5.2,5.7,6.4,6.5,7.8,7,7.5,8
"21","14","Consumption of fixed capital","A262RC1",9.7,9.5,8.8,7.7,7.4,7.8,7.8,8.1,9,9.2,9.3,9.7,11.1,13.7,16.5,19.5,21.1,23.1,26.6,28.5,29.2,29.9,33.8,36.3,38.6,40.6,42.8,47.1,50.8,53.3,55.4,56.6,58.2,60.6,63.3,66.4,70.7,76.5,82.9,90.4,99.2
"22","15","  Private","A024RC1",8.7,8.5,7.9,6.9,6.5,6.7,6.7,6.9,7.7,7.8,7.8,8.1,9,10.1,10.3,10.7,11,12.3,16.1,18.9,20.5,22,25.2,26.7,28.2,29.5,31.1,34.3,37.2,39.4,41,41.6,42.6,44.1,45.9,48.3,51.9,56.5,61.6,67.4,74.5
"23","16","    Domestic business","W276RC1",7.6,7.4,6.9,6,5.7,5.8,5.8,5.9,6.6,6.7,6.7,7,7.7,8.7,8.7,9,9.3,10.3,13.5,15.9,17.3,18.6,21.2,22.4,23.6,24.6,25.8,28.6,31.2,33.1,34.3,34.6,35.4,36.6,38.1,40,42.9,46.9,51.2,56.1,61.9
"24","17","    Households and institutions","W279RC1",1.1,1.1,1,0.8,0.8,0.9,0.9,0.9,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.6,3,3.2,3.5,4,4.3,4.6,4.8,5.2,5.7,6.1,6.3,6.7,7,7.2,7.5,7.8,8.3,8.9,9.6,10.4,11.3,12.6
"25","18","  Government","A264RC1",1,1,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.2,8.9,10.1,10.8,10.6,9.6,8.7,7.9,8.6,9.5,10.4,11.1,11.7,12.8,13.6,13.9,14.5,15,15.6,16.5,17.5,18.1,18.9,20,21.4,23,24.7
"26","19","    Federal","A918RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.8,2.1,4.8,7.5,8.7,9.3,8.8,7.5,6.6,5.8,6.1,6.8,7.6,8.2,8.6,9.2,9.7,9.9,10.2,10.6,10.9,11.5,12.1,12.3,12.6,13.1,13.9,14.7,15.4
"27","20","    State and local","A919RC1",0.7,0.7,0.7,0.6,0.7,0.9,0.8,0.9,1,1,1,1.1,1.2,1.4,1.5,1.4,1.4,1.5,1.8,2.1,2.1,2.1,2.6,2.7,2.8,2.9,3.1,3.5,3.9,4,4.2,4.4,4.7,5,5.4,5.7,6.2,6.9,7.5,8.3,9.3
"28","21","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1",20.1,14.6,9.1,3.6,3.8,6.8,9.4,12.7,16.2,12.4,14.9,19.6,30.2,38.9,43.1,42.5,33.6,39.6,48.8,57.5,47.4,62,78.7,76.9,79.1,76.5,90.4,97.6,99.5,91.8,106.6,110.3,113.7,125.2,132.3,144.2,160,174.9,175.1,186.4,201.3
"29","22","Gross domestic investment","W170RC1",19.3,13.9,8.9,3.4,3.7,6.4,9.5,12.8,15.9,11.3,13.8,18,28.9,39,45.2,44.4,35,34.6,39.6,55.1,46.6,63.9,77.8,76.3,80.4,76.3,90,94.9,94.8,91,107.8,107.2,109.5,121.4,127.4,136.7,153.8,171.1,171.6,184.8,199.7
"30","23","  Gross private domestic investment","A006RC1",16.5,10.8,5.9,1.3,1.7,3.7,6.7,8.6,12.2,7.1,9.3,13.6,18.1,10.4,6.1,7.8,10.8,31.1,35,48.1,36.9,54.1,60.2,54,56.4,53.8,69,72,70.5,64.5,78.5,78.9,78.2,88.1,93.8,102.1,118.2,131.3,128.6,141.2,156.4
"31","24","    Domestic business","W987RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8,53.7,62,65.6,72.1,87.1,101.3,98.2,106.8,119.5
"32","25","    Households and institutions","W988RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1,24.5,26.1,28.1,29.9,31.2,30,30.4,34.4,36.9
"33","26","  Gross government investment","A782RC1",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3
"34","27","    Federal","A787RC1",0.2,0.3,0.3,0.4,0.6,0.9,1.2,1.2,1.2,1.2,1.1,1.6,8.6,27,38.2,35.9,23.3,1.9,1.8,3,4.4,3.9,10.7,15,16.1,13.3,10.9,11.6,11.9,12.9,15.4,14.3,16.3,17.4,16.1,15.6,14.7,16.7,17.7,16,15
"35","28","    State and local","A799RC1",2.6,2.9,2.6,1.8,1.3,1.8,1.6,2.9,2.6,3,3.4,2.8,2.2,1.5,0.9,0.7,0.8,1.6,2.8,4,5.3,5.9,7,7.3,7.9,9.2,10,11.3,12.5,13.5,13.9,13.9,15,15.9,17.5,19,20.8,23.1,25.3,27.7,28.3
"36","29","Capital account transactions (net) \1\","W167RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"37","30","  Private","W999RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.9,0.9,1.1,1.3,1.8,1.8,2.7,3.5,3.5
"38","31","    Domestic business","W989RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.9,-1,-0.9,-1,-0.9,-1,-0.2,0.5,-0.4
"39","32","    Households and institutions","W990RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.7,1.8,2,2.3,2.6,2.8,2.9,3,3.9
"40","33","  Government","W991RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.9,-0.9,-1.1,-1.3,-1.8,-1.8,-2.7,-3.5,-3.5
"41","34","    Federal","W992RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.4,1.6,1.9,2.1,1.7,2,1,2,2.4
"42","35","    State and local","W993RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1,-2.3,-2.5,-3,-3.5,-3.5,-3.8,-3.7,-5.4,-5.9
"43","36","Net lending or net borrowing (-), NIPAs","W162RC1",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1,1.5,1.3,-0.1,-2.1,-2,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.7,4.7,0.8,-1.3,3.2,4.2,3.8,4.9,7.5,6.2,3.8,3.5,1.5,1.6
"44","37","  Private","W994RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,12.3,12.1,9,15.4,11.3,11.8,24.7,13.7,0.2
"45","38","    Domestic business","W995RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.4,-0.6,-0.9,-1.8,-1.2,-6.5,-9.2,-6.6,-12.7,-24.1
"46","39","    Households and institutions","W996RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,12.9,13,10.8,16.6,17.8,21,31.3,26.4,24.2
"47","40","  Government","AD01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-8,-8.3,-4.1,-7.9,-5.2,-8,-21.2,-12.1,1.4
"48","41","    Federal","AD02RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-4.3,-5.1,-0.6,-4.5,-0.5,-3.3,-14.1,-5.7,6.6
"49","42","    State and local","AD03RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.1,-3.8,-3.2,-3.5,-3.4,-4.6,-4.7,-7.1,-6.4,-5.1
"50","43","    Statistical discrepancy","A030RC1",0.8,-0.4,0.8,0.3,0.5,0.4,-0.2,1.2,0,0.7,1.3,1.1,0.3,-0.9,-1.8,2.6,3.9,1.2,2.3,-0.5,1.8,1.4,3.6,2.7,4,3.1,2.4,-1.8,-0.1,1,0.5,-1,-0.6,0.3,-0.8,0.8,1.5,6.2,4.5,4.3,2.9
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","  Gross private saving","A126RC1",15.8,12.5,8.5,3.1,2.9,6.3,9.3,11.2,12.6,9.7,12.2,15.3,23.7,43.5,51.3,56.3,47,31.1,29.2,43.5,41.1,45.8,54.2,57.9,59.4,60.7,67.1,74.7,78.6,79.5,84.6,84.9,91.9,100.8,104.7,118,129.8,138.7,151.5,154,157.2
"53","45","    Domestic business","W997RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.6,52.8,59.8,63.8,69.2,78.2,84.9,87,90.2,92.2
"54","46","    Households and institutions","W998RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,39.1,40.9,40.9,48.8,51.6,53.9,64.5,63.8,65
"55","47","  Gross government saving","A927RC1",3.5,2.5,-0.2,0.1,0.4,0.1,0.3,0.3,3.6,2,1.4,3.2,6.2,-3.7,-6.4,-16.4,-17.2,7.3,17.3,14.5,4.5,14.8,20.9,16.3,15.7,12.7,20.9,24.7,21,11.3,21.5,26.4,22.4,24.1,28.4,25.4,28.6,30,19.1,28,41.2
"56","48","    Federal","A926RC1",1.3,0.4,-1.9,-1.2,-0.7,-1.9,-1.6,-2.9,0.6,-0.9,-1.7,0.1,3,-6.6,-9.3,-19.4,-20.2,4.3,14.1,11.2,1,11.4,15.7,10.5,9.4,6.6,14.3,16.7,13,4.4,13.5,17.7,13.4,13.9,17.4,13.2,15.9,15.3,4.5,12.2,23.9
"57","49","    State and local","A925RC1",2.3,2.1,1.7,1.3,1.1,2.1,2,3.2,3,3,3.1,3,3.1,2.9,3,3,3,3,3.3,3.3,3.6,3.4,5.1,5.7,6.3,6.1,6.6,7.9,8,6.9,8,8.7,9,10.3,11.1,12.1,12.8,14.6,14.5,15.8,17.3
"58","50","  Net domestic investment","W171RC1",9.6,4.5,0.1,-4.3,-3.7,-1.4,1.7,4.7,7,2,4.6,8.3,17.9,25.3,28.7,24.9,13.8,11.5,12.9,26.7,17.4,33.9,44,40,41.8,35.7,47.2,47.8,44,37.7,52.4,50.6,51.3,60.9,64.1,70.3,83.1,94.6,88.6,94.4,100.5
"59","51","    Private","A557RC1",7.8,2.3,-2,-5.6,-4.8,-3,0,1.8,4.5,-0.8,1.5,5.5,9.1,0.3,-4.1,-2.9,-0.2,18.8,18.9,29.2,16.4,32,35,27.3,28.2,24.3,38,37.7,33.2,25.1,37.6,37.3,35.5,44.1,47.9,53.8,66.4,74.8,67,73.8,82
"60","52","      Domestic business","W790RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,18.3,25.4,27.5,32.1,44.1,54.4,47,50.7,57.6
"61","53","      Households and institutions","W791RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,17.3,18.6,20.3,21.6,22.2,20.4,20,23.1,24.3
"62","54","    Government","A889RC1",1.9,2.2,2.1,1.3,1,1.6,1.7,2.9,2.5,2.8,3.1,2.8,8.8,25,32.8,27.8,14,-7.3,-6,-2.6,1,1.9,9,12.8,13.6,11.4,9.2,10.1,10.8,12.6,14.8,13.3,15.8,16.8,16.2,16.6,16.7,19.8,21.6,20.6,18.6
"63","55","      Federal","A890RC1",0,0.1,0.1,0.2,0.4,0.7,0.9,0.9,0.9,0.8,0.7,1.2,7.7,24.9,33.5,28.5,14.6,-7.3,-7,-4.5,-2.2,-1.8,4.6,8.2,8.5,5.1,2.3,2.4,2.1,3.1,5.2,3.8,5.4,6,4,3.3,2.1,3.6,3.8,1.3,-0.4
"64","56","      State and local","A893RC1",1.9,2.2,1.9,1.1,0.6,0.9,0.8,2,1.6,2,2.3,1.7,1,0.1,-0.6,-0.7,-0.6,0.1,1,1.9,3.2,3.7,4.4,4.6,5.1,6.3,7,7.7,8.7,9.5,9.7,9.5,10.4,10.9,12.2,13.2,14.6,16.2,17.8,19.3,19
"65","57","  Gross saving as a percentage of gross national income","W206RC1",18.6,16.3,10.9,5.6,5.8,9.7,13,13.9,17.5,13.7,14.9,18.4,23.5,24.4,22.4,18.3,13.6,17.3,19.2,21.4,17.1,20.6,22.2,20.7,19.9,19.3,21.2,22.5,21.5,19.4,20.8,21,20.8,21.2,21.4,21.5,21.9,21.5,20.5,20,20.1
"66","58","  Net saving as a percentage of gross national income","W207RC1",9.3,6,-0.6,-7.5,-7.4,-2.1,2.5,4.1,7.8,2.9,4.7,8.7,14.8,16,14.1,9.4,3.9,6.9,8.2,10.9,6.2,10.4,12.2,10.6,9.7,8.6,10.9,11.8,10.5,8,10,10.3,10.2,10.9,11.2,11.5,12.1,11.7,10.5,10.1,10
"67","59","  Disaster losses \2\","W771RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","60","    Private","W772RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","61","      Domestic business","W773RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","62","      Households and institutions","W774RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","63","    Government","W775RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","64","      Federal","W776RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","65","      State and local","W777RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","1. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","nonfinancial assets.  Prior to 1982, reflects only capital grants paid to the U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2. Consists of damages to fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
