"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"13","5","    Furnishings and durable household equipment","DFDHRX1",130.8,132,133.9,135.5,134.4,139.2,139.3,142.4,142.8,143.4,146.6,148.5,152.4,154.8,158.4,163.6,168.3,172.3,178,183.6,188.2,191.8,194.4,195.5,198.4,200.2,202.1,208.3,214.9,216.7,216.4,220.1,218.7,226.1,234,237.6,241.7,244.6,249.7,252.9,255,258.3,263.2,268.6,274.9,271.3,272.1,271.9,275,272.8,274.4,275.2,268.9,271.4,261.9,248.9,241.1,237.3,240.2,244.2,250.3,257,258.6,264.1,266.6,269.6,273.7,280.2,286,285.5,289.5,292.5
"14","6","    Recreational goods and vehicles","DREQRX1",70.9,73,77.4,79.5,81.4,85.9,88.4,91.6,94.5,98.4,102.5,106,111.2,116.7,124.3,130,136,142.6,149.7,156.8,166.8,169.2,173.6,177.4,180.4,185.5,189.8,199.5,206.7,210.1,212.9,217.3,221.4,231.5,246.4,255.7,264,269.6,278.6,286.5,299.3,309.1,316.1,326.8,344.2,348.4,358,374.3,382.7,392.5,408.8,419.4,415.8,428.4,421.8,398.8,403,397.8,412.8,427.3,438.2,449.4,460,474.3,490.5,501.3,514,528.5,545,554.6,569.9,585.8
"15","7","    Other durable goods","DODGRX1",69.2,69.8,70.1,70.9,72.3,74.6,75.1,76.6,76.9,76.9,78.8,80.9,82.6,85.5,87.1,89,92.7,94,96.8,101.8,102.3,105.6,106.2,105.5,104.1,101.6,100.9,104,106.9,108.9,109.7,112.2,111.7,116.5,122.1,126.3,128,127.7,129.1,133.1,136.8,140.7,141,145.8,151.1,151.5,151.5,153.3,154.9,158.9,161.4,160.9,157.9,157.2,154.7,145.1,144,145.5,146.8,146.7,150.5,150.1,152.3,155.6,156.5,159.1,159.8,158.3,162.1,165.5,168,173
"16","8","  Nondurable goods","DNDGRX1",1428,1435,1440.1,1447.5,1456.9,1475.6,1486.1,1498.2,1507.3,1508.1,1532.4,1543.1,1554.6,1573.8,1585.4,1607,1636.7,1652.1,1660,1694,1679.3,1712.9,1724.5,1741.4,1731.2,1739.5,1747.9,1763,1770.2,1772.5,1777.5,1800,1816,1825.2,1856.9,1864.8,1880.4,1880.3,1895.1,1915.4,1937,1946.7,1954.4,1975.4,1986.1,1996.1,2005.9,2031.9,2038.2,2037.5,2046.9,2049,2032.1,2043.5,2015.4,1985.3,1983.7,1973.3,1981.4,1992.9,2017.7,2018.3,2029.4,2052,2075.3,2073.5,2071.4,2080.5,2088.9,2092,2098.2,2098.8
"17","9","    Food and beverages purchased for off-premises consumption","DFXARX1",549.8,547.1,547.2,549.6,552.1,554.7,553.6,555.4,559.3,556.4,559.7,559.7,559.2,563.7,567.5,571.5,578.2,584,589,598.1,592.1,600.8,601.6,607.5,605.3,609.3,607.2,608.2,605.7,606.7,609.1,614.3,618.5,612.7,619.5,615.5,621.9,619.1,623.5,630.8,639.2,639.1,646.5,653.2,654.8,662.1,663,672.1,673.2,669.5,672.4,677.6,672.9,674.5,666.5,650.2,646.4,652.3,657,663.5,669.4,663.2,666.1,676.7,682.8,686,685.9,686.4,686.4,685.4,685.9,685.7
"18","10","    Clothing and footwear","DCLORX1",197.7,199.8,203.4,203.6,205,210,213.5,214.9,215,213.1,220.1,222.9,227.7,231.5,229.8,235.2,243.7,245.8,247.4,248.1,252.1,257.6,260.4,262.6,258.4,260,259.7,264.2,267.2,267.3,265.7,274,274.2,281.2,287.5,287.7,295.8,291.5,294.9,301.9,306.1,313,313.6,323.3,326.1,325.3,329.2,334,338.2,338.8,341.8,341.7,338.7,347.7,339,327,323.2,316.9,320.1,323.6,331.3,335.8,337.5,348,350,352.4,347.3,350.2,355.3,350.8,355.4,354
"19","11","    Gasoline and other energy goods","DGOERX1",264,266.2,263.2,263.8,267.3,269.1,269.1,268.4,270.1,273.9,275.1,276.4,278.8,283.2,285.9,287.1,289,295.5,291.9,293.4,282.8,288.3,289.5,287.8,289,285.4,290.7,291.6,290.6,294,295.7,295.5,295.9,299.1,304.7,308,306.5,306.9,304.9,305.2,308.9,305.6,301.6,299.1,295.1,295.7,298.6,298.1,296.5,294.9,294.9,291.3,286.3,282.7,273.4,280,289,282.9,280,277.6,285.9,282.2,281.5,275.6,280.2,269.9,267.9,268.2,266.5,272,270,265.9
"20","12","    Other nondurable goods","DONGRX1",436.9,442.1,444,448.3,451,458.9,465.5,474.3,478.2,482.1,492.5,498.7,502.7,509.4,517.5,527,537,540,542.6,564.6,558.2,572,578.3,587.5,583.8,588.5,595.3,603.1,609.5,608.6,611.7,619.1,629.7,634.4,647.5,656.4,657.7,664.5,672.6,677.8,683.2,688.7,692.3,700.1,710.8,713.8,715.9,729,732,736.3,740.2,741.4,737.5,744.5,744.5,732.2,729.4,723.7,726.7,731.1,734.3,741.2,748.7,758.2,768.4,775,780.3,786.2,792.9,793.5,798.2,806.2
"21","13","Services","DSERRX1",4159.4,4197,4226.9,4250.8,4292.4,4320.9,4344,4369.6,4405.1,4435,4487.8,4533.4,4583.9,4639.8,4696.1,4728.8,4768.8,4822.7,4880.6,4940.4,5015.2,5073.5,5120.5,5165.4,5189.7,5211.7,5225.8,5249,5283,5310.9,5329.6,5350.4,5372.4,5401.1,5435.9,5463.3,5507.1,5538.2,5576.3,5629,5664.8,5709,5752,5781.5,5819.1,5862.1,5889.5,5931.9,5962,5982,5998.8,6017.8,6039.7,6032.9,6006.5,5988.8,5951.5,5926.9,5920.7,5923.2,5940.4,5973.6,6001.4,6034.9,6064.8,6094,6121.1,6126,6145.9,6178.2,6186.7,6195.6
"22","14","  Household consumption expenditures (for services)","DHCERX1",4021.7,4058.1,4087.4,4108.4,4145.2,4172,4193.9,4223.3,4267,4297.9,4350.9,4394.6,4440.4,4491.6,4542.4,4569.6,4608.4,4661.1,4717.9,4775.7,4845,4902.6,4942.9,4982.4,5005.7,5023.7,5034.3,5053.3,5083.6,5106.5,5116.8,5132.1,5155.2,5181.2,5216.6,5244.7,5287.3,5320.3,5360,5412.7,5460.7,5500.7,5539.8,5559.1,5593.9,5630.7,5648.3,5689.7,5721.6,5744.6,5752.5,5762.2,5775.9,5765.1,5734.4,5707.1,5676.1,5655.8,5647.9,5645.2,5664.3,5694.5,5724.2,5757.8,5786.1,5810.1,5826.6,5834.5,5855.1,5877.6,5888.8,5898.2
"23","15","    Housing and utilities","DHUTRX1",1217.3,1232,1244.2,1245.6,1258.2,1260.7,1258.1,1269.3,1273.6,1284.8,1292.7,1310.1,1312.2,1328.5,1339.2,1338.8,1354.1,1368.1,1382.5,1382,1388,1406.2,1418.5,1441.6,1449.4,1448.2,1454.4,1453.5,1453.6,1459.9,1462.5,1471.5,1474.5,1478.7,1479.4,1488,1495.1,1505,1514.5,1536.6,1556.1,1577.9,1596.3,1600,1596.4,1617.6,1629.5,1624,1624.3,1625.5,1629.7,1626.7,1637.3,1637,1630.9,1646.1,1652.3,1653.6,1655.7,1659.3,1662.7,1665.2,1672.8,1673.9,1672.4,1679.6,1686.7,1672,1662.7,1685.2,1690.6,1672.3
"24","16","    Health care","DHLCRX1",940.4,944.7,950.4,954.9,955.3,964.7,968.3,980.4,985.7,991,1001.3,1010.8,1023.4,1028.3,1033,1033.7,1035.9,1040,1048.5,1058.4,1064.6,1078.6,1086,1097.4,1113.2,1125.9,1142.5,1160.7,1183.6,1200.4,1209.7,1216,1220.9,1223.6,1230.9,1237.9,1246.9,1260.3,1276.4,1286.2,1302.5,1306.3,1312.8,1314,1328,1332.3,1329.8,1341.7,1356.3,1360.9,1364.9,1374,1385.7,1395.7,1401.9,1402.5,1410.4,1421,1427.2,1424.6,1418.3,1429.1,1445.1,1463.7,1478.8,1489.3,1486.2,1499.7,1513.3,1508.4,1518.4,1527
"25","17","    Transportation services","DTRSRX1",208.7,211,215.5,220.2,225.6,229.2,233,237.7,244.5,247.4,251.2,252.3,254.5,257.7,260.6,264,267.6,270.9,276.2,279.3,282.9,285.9,287.7,288.5,288.6,287.1,281.8,277,277.8,275.4,275.1,275.3,276.2,274.9,277.5,278.9,281.7,284.1,283.9,285.3,285.6,286.4,286.9,285,283.7,285.2,284.9,288,289.2,289,287.8,285.6,281.6,276.6,270.1,259.7,251.5,247.1,243.7,241.6,241,242.5,244.5,245.9,246.9,248.6,250.4,249.7,250.6,252.4,253.4,253.8
"26","18","    Recreation services","DRCARX1",237.8,244,247.7,251.6,252.3,255,258.9,259.4,261.9,263.8,264.8,267.6,270.9,271.1,274.5,276.9,279.4,283.9,290,293.4,293.2,295.8,296.3,295.7,298.1,295,293.4,293.2,295.2,295.7,296.5,299.8,299.3,303.6,308.5,313.2,318.4,321.9,323.9,324.2,326.8,327.9,327.8,330.4,334.8,337.3,339.7,347.9,349.8,352.7,355.4,354.8,354.7,352.9,346.4,340.5,337.4,334.2,331.4,332.9,335.9,334,337.9,341.9,341,346.2,347.9,348.5,347.9,350.4,351,350.2
"27","19","    Food services and accommodations","DFSARX1",415.4,416.1,416.7,415.9,416,418,418.6,422.4,426.6,426.5,431,428,432.8,438.1,439.8,446,444.5,447.2,449,459.5,467,471.1,472.8,471.3,474.8,470.2,467.6,467,473.8,477.5,478.4,479.2,482.6,491.8,500.2,505.2,510.7,511.6,516.4,521.6,525.3,532.6,536.2,541.6,550.7,547.1,550.3,558.4,556.9,557.5,558.4,563.5,556.7,559.2,553.6,546.1,536.4,531.2,529.8,529.4,537.3,543.5,547.3,552.2,559,563,566.2,572.8,579.5,581,582.9,594.2
"28","20","    Financial services and insurance","DIFSRX1",482.5,488.1,492.8,496.1,504.3,509.1,507,512.4,517.6,518.7,531.8,534.6,540.8,553.5,565.1,577.2,583.4,598.5,611,631.8,663,664.8,667.1,669,659.7,659.5,657.2,669,662.9,658.5,660,654.3,650.9,656.1,662.9,666.8,671,671.5,673.8,685.6,687.1,695.3,704,707.3,712.7,714.3,714.5,724.2,730.2,739.1,743.6,746.4,746.3,738.3,732.2,712.5,693.3,683.1,675,670.9,682.2,690,682.2,680.3,680.8,678.3,685.8,682.2,688.6,688.4,680,684.4
"29","21","    Other services","DOTSRX1",522.5,525.1,522.8,526.6,535.7,537.3,551.8,543,558.2,566.8,578.8,592.5,607,615.3,631.1,633.3,643.6,652.5,660.4,670.5,685,699.3,713.9,718.5,721.3,737.7,737.6,733.8,737.3,739.6,735.1,736.2,750.8,752.5,757.6,754.6,763.5,765.9,771.2,773.1,777.3,774.4,775.8,780.8,787.8,796.9,799.3,805.7,815.1,820.2,813,811.5,813.9,805.9,799.9,800.2,795.2,785.9,785,786.5,787,790.2,794.5,800.1,807,805,803.2,809.2,811.5,811.3,812.1,815.1
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1",140.2,141.5,142.2,145,149.9,151.7,152.9,149,140.8,139.8,139.7,141.7,146.3,151,156.4,161.8,162.9,164.1,165.4,167.4,172.7,173.5,179.9,185,186,189.7,192.8,196.8,200.3,204.9,212.7,218,217.1,219.8,219.3,218.7,219.9,217.9,216.4,216.4,204,208.2,212.2,222.4,225.2,231.5,241.4,242.4,240.5,237.5,246.7,256.2,264.8,269,273.6,284,277.4,272.9,274.8,280.7,278.4,281.6,279.3,278.9,280.6,286.3,298.6,294.8,293.9,305.3,302.1,301.4
"31","23","    Gross output of nonprofit institutions \2\","DNPERX1",632.6,634.8,636.9,641.4,644.2,651.5,655.5,662.4,657.8,659.6,665.5,672.2,684.9,691.9,701.4,708.6,713.3,717.2,722.8,730.5,736.9,744.1,752.6,762.3,770.9,779.1,789.8,801.3,815.3,828,838.4,842.8,842,843.5,844.6,846.4,851.3,856.1,864,870.4,866.8,871.5,875.8,883.2,893.2,899.6,904.7,912.4,922.2,922.6,925.3,934.2,944.2,951.4,958.6,965.6,966.9,969.5,973.9,974.8,970.3,980.4,989.3,998.3,1002.7,1009.3,1011.6,1019.5,1029.7,1031.3,1043.1,1042.5
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1",495.4,496.2,497.7,499.3,497.1,502.6,505.4,516.4,520.4,523.3,529.4,534.1,542.2,544.3,548,549.5,553.1,555.7,560,565.8,566.3,572.9,574.4,578.5,586.4,590.6,598.1,605.6,616,623.8,625.8,624.5,624.7,623.5,625.1,627.7,631.4,638.2,647.6,654,662.8,663.2,663.6,660.8,668,668.2,663.6,670.2,681.8,685.1,678.9,678.7,680.4,683.6,686.3,683.5,691,697.6,700.2,696,693.6,700.5,711.1,720,722.7,724.2,716.2,726.7,737.2,729.5,743.2,743.2
"33","25","Residual","D236RX1",-131,-130.1,-121.2,-118.3,-118.6,-109.9,-106.6,-101.4,-97.5,-99,-90.7,-87.5,-84.6,-77.5,-73.7,-62.3,-58.1,-53.3,-46.8,-43.9,-31.9,-36,-34.3,-32.8,-31.3,-29.6,-28.9,-18.3,-17.6,-17.8,-15.7,-14.6,-13.4,-9.5,-6.7,-5.5,-3.7,-3.5,-2.2,-1.1,-0.7,0.2,0.3,0.1,-1.5,-1.5,-1.7,-3.8,-4.9,-6.7,-9.7,-12.2,-10.8,-14.7,-13.9,0.3,-1.8,1.2,-6.6,-8.9,-12.6,-18.1,-22.2,-30.6,-35,-41.8,-46.9,-55.7,-65.2,-65.5,-75.6,-85.3
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  PCE excluding food and energy \4\","DPCCRX1",5056.6,5099.4,5148.4,5191.4,5234.9,5302.6,5347.7,5392.4,5454,5478.1,5582.7,5647.9,5717.4,5816.6,5898.9,6007.6,6063.7,6160.3,6237.5,6336.6,6461.2,6509.9,6579.5,6631.3,6667.5,6706.2,6737.7,6858.6,6887.3,6917.5,6966.2,6983.6,7021.2,7104,7206.4,7249,7315.2,7354.5,7429.1,7508.4,7565.9,7650.8,7709.7,7734.8,7843,7877,7920.8,8005.4,8055.3,8094.1,8129.3,8162.7,8143.9,8148.9,8090.4,7965.7,7922.2,7882.8,7927.9,7920.7,7958.7,8027.3,8077.2,8168.7,8235.6,8265.4,8302.8,8366,8437.3,8444.6,8480.4,8550.8
"36","27","  Energy goods and services \5\","DNRGRX1",418,429.3,434.8,430.2,443.3,441.4,431.3,436.9,433.6,439.6,439.3,451.4,445.2,459.3,462.9,448.4,456.1,466.7,470.6,460.3,448.6,464.8,468.4,479.8,474.9,457.6,462.8,460.4,461.3,473.3,476.2,483.5,481.5,484.3,484,491.5,492.2,492.9,486.6,492.3,495.2,496.1,496.4,487.2,470,481.8,490.4,482.2,482.5,483,485.5,475.9,475.3,467.3,449,464.8,475.1,467.5,464.7,464.3,475.3,472.3,476.3,468.1,468.1,459.6,461.2,449.2,439.1,463.1,464.7,444.4
"37","28","  Market-based PCE \6\","DPCMRX1",5245.7,5290.9,5347.3,5384.8,5427.4,5492.8,5517.2,5581.8,5636.1,5658.8,5758.7,5825.3,5875.5,5979.1,6050.6,6141.8,6210.3,6305.5,6380,6469.9,6552.8,6617.9,6676.1,6740.4,6772.4,6783,6814.6,6926.8,6950.9,6994.2,7048.2,7071.8,7102,7181.6,7279.6,7323.5,7387.7,7415.8,7485,7571.4,7643.7,7726.9,7785.6,7787.8,7864.4,7910.9,7952.7,8026.8,8079.5,8109.6,8147.2,8168.3,8138.5,8145.4,8064.8,7945.4,7930.2,7909,7961.1,7957,8005.2,8055.4,8109.9,8206,8276.3,8300.2,8328.4,8374.6,8423,8453.6,8496.6,8541
"38","29","  Market-based PCE excluding food and energy \6\","DPCXRX1",4304,4342.7,4393.7,4431.1,4461.3,4523.8,4555.7,4613.1,4664.9,4685.5,4780,4836.6,4890.3,4977.7,5041.2,5135,5190.3,5270.6,5335.8,5421.9,5517.4,5560.8,5614.5,5663,5700.2,5720.4,5749.2,5860,5885.4,5918.4,5966.8,5979.4,6006.3,6088,6178,6219.3,6275.7,6305.6,6375.4,6448.9,6509.9,6591.8,6642.8,6648.1,6741.9,6768.5,6799.9,6874.3,6926,6959.5,6991.6,7018.7,6993.5,7008.9,6959.6,6835.3,6813.4,6793.1,6843.4,6833.1,6863.6,6924,6971.7,7067,7131.9,7163.5,7190.3,7252.4,7314.8,7316.7,7358.2,7429.5
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
