"","Table 7#7# Business Current Transfer Payments by Type           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","    Automobile insurance","B1871C1",1.5,1.7,1.8,1.9,2.1,2.1,2.5,2.8,3.1,3.5,4,4.4,5.1,5.6,5.9,7.2,8.3,9.9,10.2,10.3,11,11.1,10.4,10.1,9.7,10.1,11.1,11.6,12.2,12.8,12.8,13.8,15.3,14.6,14,14.1,14.2,14,13.5,13.4,13.4,12.6,13.2
"12","5","    Medical malpractice insurance","B1872C1",0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.8,0.6,0.7,0.7,0.9,1.1,1.4,1.5,1.9,2.8,3.1,3.1,2.9,1.8,2.1,2.1,3,2.5,2.3,2.3,2.6,2.6,3,3.6,4.1,5.6,5.9,6.6,5.2,4.8,4.1,3.4,2.9,3.2,2.6,2.9
"13","6","    Net insurance settlements","W238RC1",0.5,0.1,-0.3,-0.3,0.2,0.8,2.3,1.2,-0.8,-0.4,0.4,-0.2,0.9,0.6,1,4.6,4.4,2.3,-0.6,-0.2,2,0.9,-3.2,-6.2,-8.1,-10.5,-7.1,-3.5,-8.4,-2.8,2.7,9.4,9.6,-1.5,-11.1,-19.9,-16.4,-18.4,-7.8,0.5,2,7.8,3.4
"14","7","  Donations by corporate business to nonprofit institutions serving households","B1873C1",1.1,0.8,0.9,1,1.2,1.2,1.2,1.5,1.8,2.1,2.3,2.4,2.5,2.9,3.6,4.1,4.5,5.2,5,4.9,4.9,4.8,4.8,5.5,6.3,7.1,7.4,7.8,8.4,8.7,10.7,10.7,11.4,10.3,10.8,11.6,16.6,14.8,14.2,12.4,13.1,15.8,16.4
"15","8","  Other \1\","B1874C1",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.8,1.1,1.5,1.9,1.9,2,2.3,2.5,2.5,2.7,3.4,3.4,3.6,3.9,3.6,4.2,5,4.4,4.6,4.4,4.2,4.5,4.8,4.9,5.3,6,6.6,6.9,7.2,7.5,7.8,8.7,9.1
"16","9","Payments to government (net) \2\","W061RC1",1.6,1.6,1.6,1.8,2,2.4,2.6,2.8,3.4,4.4,5.1,6.1,6.7,8.2,8.8,10.6,12.9,13.9,13.8,13,16,17.9,22.3,24.5,26.7,29.1,25.7,31.8,31.1,35.4,37.6,43.6,46,47.9,48.8,52.5,55.2,59.6,66.8,79,96,94.5,94.8
"17","10","Payments to the rest of the world (net) \3\","W237RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.3,-0.4,1.4,-1,0.8,3.8,-2.6,1,8.5,0.2,1.7,12.2,14.8,2,6,7.2,-2.3,-1.9,-7.1
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1. Consists largely of losses by business due to fraud and unrecovered thefts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","corporate cash prizes, and payments from personal injury trust funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2. For detail, see table 3.7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","3. Consists of net insurance settlements paid to the rest of the world less net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","insurance settlements received from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
