"","Table 1#7#1# Percent Change from Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","Equals: Gross national product","A001RL1",3.1,0.2,3.4,5.3,6,-0.4,-0.5,5.5,4.7,5.5,3.4,-0.3,2.4,-1.9,4.4,7.1,3.8,3.2,3.2,4.2,3.6,2,-0.3,3.4,2.8,3.9,2.6,3.7,4.3,4.3,4.9,4.2,1.2,1.8,2.7,3.6,3.1,2.4,2.3,0,-3.2,2.8,2,2.1
"12","5","Less: Consumption of fixed capital","A262RL1",4.9,4.1,3.3,3.7,5.3,4.6,3.5,3.2,3.9,4.6,5.1,4.6,4,4.1,3.3,4.2,5.5,4.8,4.7,4.2,4.2,4,3.1,2.8,3.4,3.9,4.5,5,5.7,6.6,7,6.9,5.3,3.6,3,3.3,3.6,3.7,3.9,3,1.6,0.7,1.5,2.1
"13","6","        Private","A024RL1",5.7,5,4.5,5.2,7,5.7,4,3.6,4.5,5.2,5.8,5,4.3,4.3,3.2,4,5.4,4.5,4.4,4,4.1,3.8,2.9,2.7,3.6,4.5,5.2,5.8,6.6,7.5,7.9,7.7,5.9,3.9,3,3.3,3.7,3.9,4.1,3,1.2,0.3,1.4,2.2
"14","7","        Government","A264RL1",2.2,1.3,-0.3,-0.9,-0.3,0.7,1.5,1.8,1.8,1.8,2.3,2.8,2.9,3.1,3.7,4.8,5.8,6.1,5.7,4.9,4.6,4.6,4,3.2,2.5,1.7,1.5,1.7,1.9,2.3,3,2.9,2.5,2.4,2.5,3,2.7,2.7,3.1,2.9,3.1,2.8,2.3,1.8
"15","8","          General government","A265RL1",1.9,0.9,-0.8,-1.5,-1,0.1,1,1.5,1.5,1.6,2,2.6,2.7,2.9,3.7,4.9,6.1,6.4,6,5.1,4.8,4.8,4,3.1,2.2,1.5,1.3,1.5,1.8,2.2,2.8,2.8,2.4,2.3,2.3,2.8,2.7,3,3.2,3,3.2,2.8,2.2,1.7
"16","9","          Government enterprises","A266RL1",5.7,5.1,4.6,5,5.4,5.2,4.6,4,3.3,3.3,3.9,4.3,4.2,4.1,3.8,4,4.4,4.3,3.9,3.8,3.8,3.9,4,4.1,4,3.2,2.8,2.8,2.3,3.1,4,3.7,3,3,3.8,4,3,1.7,2.5,2.2,2.7,2.9,2.4,2.1
"17","10","Equals: Net national product","A027RL1",2.9,-0.3,3.4,5.5,6.1,-1,-0.9,5.8,4.8,5.6,3.2,-0.9,2.1,-2.7,4.6,7.5,3.6,3,3,4.2,3.5,1.7,-0.8,3.4,2.8,3.9,2.3,3.6,4.2,4,4.7,3.9,0.7,1.5,2.7,3.7,3,2.2,2,-0.5,-3.9,3.1,2.1,2.1
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross domestic income \1\","A261RL1",3.3,-0.2,3,5.6,5.9,-0.6,-0.6,5.1,4.9,5.5,2.4,-0.1,3,-0.9,3.2,7.8,3.9,2.9,4.1,5,2.3,1.4,-0.1,3,2.5,4.6,3.4,4.1,5,5.2,4.6,4.7,0.7,1,2.2,3.8,3.7,3.7,0.2,-0.4,-3.9,3.1,1.8,2
"20","12","  Gross national income \2\","A023RL1",3.3,-0.2,3.1,5.6,6.2,-0.5,-0.8,5.2,4.9,5.4,2.7,-0.1,2.8,-0.9,3.1,7.7,3.6,2.7,4,5.1,2.3,1.6,-0.2,2.9,2.5,4.5,3.4,4.1,4.9,5.1,4.7,4.8,0.9,1,2.3,4,3.6,3.5,0.5,-0.1,-4,3.5,2,1.9
"21","13","  Net domestic product","A362RL1",2.9,-0.2,3.4,5.5,5.9,-1.1,-0.7,5.6,4.7,5.7,2.9,-0.9,2.3,-2.8,4.7,7.6,3.9,3.3,3,4.1,3.5,1.6,-0.7,3.5,2.8,4.1,2.3,3.6,4.3,4.1,4.5,3.8,0.5,1.6,2.5,3.5,3,2.5,1.6,-0.8,-3.8,2.6,1.8,2.2
"22","14","  Net domestic income \3\","W256RL1",3.1,-0.7,3,5.8,6,-1.2,-1.1,5.3,5,5.6,2,-0.7,2.9,-1.7,3.2,8.4,3.7,2.7,4,5.1,2.1,1.1,-0.5,3,2.4,4.7,3.2,4,4.9,5,4.3,4.5,0.1,0.7,2.1,3.9,3.7,3.7,-0.3,-0.9,-4.7,3.5,1.8,2
"23","15","  Net domestic purchases","W367RL1",3,-0.6,3.6,5.7,4.9,-2,-1.7,7,5.5,5.6,2.1,-2.8,2.5,-2.1,6.2,9.3,4.3,3.5,2.7,3.1,2.8,1.1,-1.4,3.5,3.4,4.5,2.1,3.7,4.6,5.3,5.5,4.6,0.7,2.2,2.9,4,3.1,2.4,0.9,-2.1,-4.8,3.1,1.7,2.1
"24","16","  Gross national product, current dollars","A001RP1",8.1,5.5,8.6,9.9,11.9,8.6,9,11.6,11.3,12.9,12,8.8,12,4.1,8.6,11.1,7,5.5,6.2,7.8,7.5,5.9,3.2,5.8,5.1,6.1,4.7,5.7,6.2,5.4,6.5,6.5,3.5,3.4,4.9,6.5,6.5,5.7,5.2,2.2,-2.4,4.2,4.2,3.9
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
