"","Table 5#7#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"11","3","Mining, utilities, and construction","N238RX1",NA,NA,NA,47.6,47.7,49.1,50.3,50.1,52.5,54.7,56.4,59.1,59.1,59.2,58.3,57.1,57.9,57,56.7,54.3,57.2,60.8,62.6,65.1,65,63.9,62.1,61,63.1,63.9,65.7,68.2,67.5,67.7,69,69.6,70.5,72.9,72.5,73.4,75.8,81,85.9,90.3,91.7,93.5,91.7,90.3,88.5,87.2,86.6,81.8,82.1,81.6,80.1,75.5,74.4,75.9,75.9,76.9,75.8,76.1,76.2,78.1,82,82.8,81.6,81.6
"12","4","Manufacturing","N376RX1",NA,NA,NA,465.7,470,476.6,482.6,490,499.1,503.5,505.4,507.6,511.3,512.8,517.1,523.8,522.9,527,528.7,531.9,526.4,521.2,514.5,505.7,498.3,497.2,499,500.5,500.7,498,492.8,492,491.5,493.3,494.1,498,508.5,509,512,519,523.7,529.5,534.3,536,537.9,543.3,546.4,551.4,558,552.9,544.5,537.3,530.2,520.6,511.9,511.7,514.5,513.4,520.1,528.8,534.1,538.2,538.8,547.7,550.7,550.2,559.3,559.3
"13","5","  Durable goods industries","N377RX1",NA,NA,NA,268.7,271.1,275.4,279.4,284.1,292,296.5,299.1,301.5,303.2,302.2,305.1,308.6,308.2,311,312.2,315.7,312,308.6,302.6,294.9,290.6,288.8,288,289.1,289.7,287,282.7,283.8,283,284.6,285.4,287.8,294.8,296.2,299.5,304.4,306.4,309.4,313.5,316,318.7,320.5,322.1,327.2,327.1,322.2,320.6,323.5,318.5,310.1,302.6,300.6,302.8,306.6,311.4,316,322.7,327.7,331.7,337.3,340.4,344,351.2,352.8
"14","6","  Nondurable goods industries","N378RX1",NA,NA,NA,197.4,199.4,201.6,203.4,206.2,206.8,206.3,205.5,205.2,207.1,209.9,211.2,214.5,214,215.3,215.8,215.2,213.6,211.7,211.3,210.5,207.4,208.3,211,211.3,211,211.1,210.2,208.3,208.6,208.7,208.7,210.2,213.7,212.8,212.4,214.6,217.3,220.1,220.8,220,219.2,222.8,224.3,224.4,230.5,230.1,223.7,214.3,212.2,210.8,209.5,211.1,211.8,207.3,209.3,213.3,212.5,212,209.2,212.5,212.6,209.2,211.4,210
"15","7","Wholesale trade","N379RX1",NA,NA,NA,298,303.4,312.3,316.8,324.9,333.3,336.9,344.5,348.6,354.7,356.9,362.8,369.7,374.2,380.8,384.6,390.4,388.8,387.1,380.8,376.8,374.7,375.9,377.1,376.7,375.1,373.3,372.7,376.3,379.9,384,391.2,396.8,405.7,408.8,409.4,415,419.5,424.5,428.7,428.3,428.7,430.2,434.5,432.8,434,440.5,442.5,441.7,425.3,404.9,386.8,386.1,389.6,393.2,406.3,411.8,415.5,421.6,422.3,429.8,434.6,438,446,449.2
"16","8","  Durable goods industries","N380RX1",NA,NA,NA,170.1,173.8,180.2,182.3,186.9,193.2,195.4,201,204.1,208.1,211,213.7,218.7,221.7,227.3,229.6,232.8,231.1,225.6,219.9,215.1,213.3,214.2,216.7,215.5,216.4,215.6,213.6,216.3,220.1,224.4,231.2,234.4,240.1,243,243.3,247.8,249.3,253.3,257.5,256.9,259.8,258.2,257.3,257.7,260.5,262.9,268.5,265.9,250.3,234.9,223.1,219.3,222.5,224.2,229.7,234,237.9,244.6,249.4,253.3,258.6,264.7,270.3,274.6
"17","9","  Nondurable goods industries","N381RX1",NA,NA,NA,129,130.4,132.7,135.2,138.8,140.4,141.9,143.6,144.4,146.4,145.3,148.6,150.4,151.9,152.6,154.2,156.8,157,161.2,160.8,162,161.8,162,160.5,161.4,158.8,157.8,159.3,160.2,160,159.7,159.9,162.4,165.6,165.8,166,167.1,170.2,171.2,171.2,171.4,169.1,172,176.8,174.9,173.7,177.4,174.5,176,174.7,169.4,163,165.7,166.1,167.9,175.3,176.6,176.7,176.8,173.7,177.2,177.2,175.5,178.1,177.6
"18","10","Retail trade","N382RX1",NA,NA,NA,335.3,336.6,342.4,346.5,349.5,357,357.4,359.5,364.7,374.7,378.2,380.2,390.5,392.5,401.8,407.2,411.1,405.3,407.3,410.3,400.5,405.4,411.8,416,424.2,430.5,432.6,436.9,441.5,449.5,456.8,459.9,465.2,468.9,466.1,464.7,469.8,472.7,474.8,478.3,480.6,478.5,480.9,484.2,484.8,476.5,471.8,467.8,458.3,444.5,430.5,415.4,411.5,414.5,420.8,427.7,426.6,426.8,424.4,423.2,422.3,427.6,434.9,439.7,445.3
"19","11","  Motor vehicle and parts dealers","N864RX1",NA,NA,NA,98.8,98.9,100.6,102,103.9,106.6,104.9,103.8,105.9,112.2,112.2,112.6,118.2,118.6,124.6,128.5,129.9,123.4,126,128.3,121,125.9,130.5,131.1,138.2,142.5,145.4,147.3,151.1,154.8,158.3,158.8,158.8,159.6,154.8,152.9,156,156.3,156.3,156.6,155.6,153.4,154.1,158.7,158.4,155.2,152.9,149.1,146.3,135.8,126.3,115.5,113.7,116.2,120.6,125.9,123.5,122,119.4,118.2,117,122,127.5,132.6,135.7
"20","12","  Food and beverage stores","N239RX1",NA,NA,NA,32.3,32.4,32.5,32.9,32.7,33,33.5,33.4,33.8,34.3,34.7,35.3,35.5,35.5,35,35.1,34.9,35.1,35.3,35.3,35.4,35.3,35.3,35.8,35.5,35.3,34.5,34.9,34.2,34.3,34.6,34.7,34.7,34.7,34.8,34.3,34.5,35,35.3,35.4,35.5,35.3,35.7,36.2,36.5,36.3,36.5,36.3,36.1,36.6,36.4,36.3,35.8,36.2,36,36.1,36.2,36,36.5,36.9,37.1,37.7,37.7,37.7,37.5
"21","13","  General merchandise stores","N240RX1",NA,NA,NA,61.6,61.5,62.3,62,61.7,61.7,61.7,62.3,62.1,62.9,63.5,64,64.9,65,65.7,65.5,66,67.3,67.5,67.5,66.2,65.7,65.6,66.6,67.6,67.8,68,68.5,68.7,70.2,71,71.3,73.2,74.6,74.6,75.2,75.4,74.8,74.5,76.1,77,77.3,77.4,76.6,76.8,75.3,74.9,75.1,73.7,73,72.2,71,70.7,70.6,71.2,71.7,71.8,72.9,72.5,72.3,72.9,72.7,73.1,72.7,74.3
"22","14","  Other retail stores","N865RX1",NA,NA,NA,143.9,145.1,148.1,150.7,152.2,156.8,158.5,161.3,164.1,166.3,168.9,169.4,172.8,174.3,177.2,178.6,180.7,180.2,179.1,179.7,178.9,179.1,180.8,183.1,183.1,185.1,184.6,186.2,187.5,190.1,193,195.2,198.6,200,201.9,202.3,203.9,206.6,208.7,210.1,212.4,212.4,213.5,212.8,213,209.6,207.4,206.9,201.9,198.2,194.3,190.8,189.5,189.8,191.6,192.7,193.7,194.4,194.3,193.9,193.4,193.6,195.3,195.8,197.1
"23","15","Other industries","N385RX1",NA,NA,NA,87.6,89.8,91,91.9,93.2,94,95.4,96.7,99,100.9,103.3,105.2,106.6,109.3,112.8,117.7,119.3,119.8,119.6,119.5,119.1,118.3,118.7,118.4,118,117.9,118.9,119.2,119.6,121.2,122.7,124.4,126,126.6,127.2,127.3,128.3,129,130.7,131.9,132.9,134.3,135.7,136.4,137.2,137.4,137.2,137.4,138.8,137.9,136.4,135.7,135,134.7,134,133.6,133.2,134,134.1,133.7,134.2,132.7,135.3,136.3,136.4
"24","16","Residual","N968RX1",NA,NA,NA,-8.9,-8.5,-8,-8.3,-8,-7.5,-7.7,-7.6,-7.4,-5.9,-5.6,-5,-3.3,-2.7,-1.3,-0.5,0.3,-0.9,-1.4,-1.9,-4.1,-3.3,-2.3,-1.8,-0.8,-0.8,-0.5,-0.7,-0.8,-0.4,-0.1,0,-0.2,0,0,0.1,0,0.2,0.6,0.5,0.5,0.3,0.6,0.8,0.6,1.6,2.5,1.7,1.4,3,3.7,4.3,5.2,5,4.1,4.1,4,3.2,2.4,0.9,1.1,-0.5,-3.7,-6.6,-9.4
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Private inventories","A371RX1",NA,NA,NA,1383.4,1394.2,1420.2,1439,1460.8,1490.1,1500.9,1516,1532.4,1554.7,1565,1576.1,1600.9,1605.6,1630.9,1646.6,1661.1,1652.4,1649.8,1642.1,1619.4,1615.6,1619,1623.9,1632.1,1640,1639.2,1639.9,1649.5,1662.6,1682.2,1697.9,1715.8,1738.7,1742.6,1745.5,1765.8,1782.2,1800.4,1817.2,1825.2,1829.5,1840.7,1849.8,1852.9,1849.8,1846.2,1836.7,1816.6,1779.1,1732.7,1687.3,1677.6,1685.3,1693.6,1717.3,1728.5,1736.1,1743,1741.9,1759.6,1773.8,1784.2,1799.2,1802.5
"27","18","    Durable goods industries","N241RX1",NA,NA,NA,593.6,600.5,613.8,622.1,633.9,651.9,657.7,665.8,674.5,688.4,691.2,698,714,718.4,734,742.6,751.6,739.9,733.8,725.2,705.2,706.3,710.8,714.2,723.3,730.6,731,728.1,736.8,745.7,757.7,767,774.9,790.3,792.5,795.5,810.2,815.3,823.5,834.1,835.4,838.2,839.6,841.4,846.2,842.5,834.9,833.4,825.1,791.8,756.5,724.8,714.4,720.9,730.9,745.9,753.2,762.7,772.1,779.2,786.4,799.4,816.4,834.9,844.3
"28","19","    Nondurable goods industries","N242RX1",NA,NA,NA,793.5,797.1,809.4,820,829.7,840.1,845,851.8,859.2,867,874.7,878.8,886.9,886.8,896,903,908.3,911.9,915.8,917.2,915.6,910.4,909,910.4,909.2,909.5,908.2,912,912.8,917,924.6,931,940.9,948.2,950,949.9,955.6,966.9,976.8,983.1,989.7,991.2,1000.9,1008,1006.6,1007,1010.4,1002.7,991.1,986,974.1,959.9,960.2,961.6,960.4,969.5,973.8,972.7,971.1,964.1,974.4,976.8,972.1,970.7,966.1
"29","20","  Nonfarm industries","A373RX1",NA,NA,NA,1230.9,1244.2,1268.1,1284.5,1304.4,1332.1,1343.5,1357.9,1373.9,1396.4,1406.2,1419.6,1444.7,1453.8,1477.3,1493.3,1505.9,1495.9,1494.1,1485.8,1464.4,1459.5,1465.9,1471.6,1480,1486.9,1486.3,1486.9,1497.2,1509.6,1524.6,1538.6,1555.6,1580.2,1584,1585.8,1605.4,1621,1641.1,1659.5,1668.6,1671.6,1684.2,1693.9,1697.3,1696.1,1691.6,1680.5,1659.7,1622,1575.7,1531.5,1521.8,1529.7,1539.1,1565.7,1579.8,1589,1597.9,1597.7,1616.3,1631.8,1645.1,1667.2,1675.8
"30","21","  Wholesale trade","N379RX1",NA,NA,NA,298,303.4,312.3,316.8,324.9,333.3,336.9,344.5,348.6,354.7,356.9,362.8,369.7,374.2,380.8,384.6,390.4,388.8,387.1,380.8,376.8,374.7,375.9,377.1,376.7,375.1,373.3,372.7,376.3,379.9,384,391.2,396.8,405.7,408.8,409.4,415,419.5,424.5,428.7,428.3,428.7,430.2,434.5,432.8,434,440.5,442.5,441.7,425.3,404.9,386.8,386.1,389.6,393.2,406.3,411.8,415.5,421.6,422.3,429.8,434.6,438,446,449.2
"31","22","    Merchant wholesale trade","N802RX1",NA,NA,NA,252.1,257.1,265.2,269.3,276,283.3,286.8,293.9,297.3,302.8,304,308.9,315.3,318.8,324,326.5,331.4,330.6,329.9,325.8,322.6,321.7,322.2,323.2,323.2,322.3,320.7,320.2,323.3,326.6,329.9,336,341.7,348.3,351.4,352.1,356,360.1,366,369.7,370.8,371.5,372.9,376.8,376.6,373.6,377.4,380.5,379.3,367.6,351.1,336.7,337.9,339.1,341.2,351.4,355.1,356.6,362.1,361.8,368.9,373.9,378.1,383.6,386
"32","23","      Durable goods industries","N803RX1",NA,NA,NA,147.6,151.1,157.1,159,162.5,168.1,170.3,175.3,177.9,181.6,183.8,186.3,190.9,193.1,198,199.3,201.7,200.8,195.8,191.6,187.6,186.2,186.7,188.6,187.4,188.6,188,186.4,188.3,191.9,196.1,201.9,205.4,209.6,212.7,212.9,216.4,218.5,223.2,226.2,226.6,228.5,227.5,227.1,227.6,229.2,231.4,236.5,234,220.6,207.3,196.7,192.5,194.6,195.4,199.9,204,206.8,212.7,216.1,219.4,224.6,229.3,233.8,237.7
"33","24","      Nondurable goods industries","N804RX1",NA,NA,NA,105.1,106.4,108.3,110.6,113.8,115.3,116.6,118.5,119.2,120.9,119.7,122.3,123.9,125.2,125.3,126.4,129,129.2,133.8,134,135.2,135.7,135.7,134.7,136,133.7,132.7,133.9,135.1,134.8,133.9,134.1,136.3,138.7,138.7,139.2,139.7,141.6,142.8,143.5,144.2,143.1,145.4,149.5,148.7,144.7,146.2,144.6,145.6,146.7,143.3,139.3,144.1,143.3,144.6,150.1,150,149.1,149.2,146.3,149.9,150.3,150.2,151.5,150.7
"34","25","    Nonmerchant wholesale trade","N805RX1",NA,NA,NA,46.2,46.5,47.4,47.7,49.2,50.3,50.3,50.8,51.5,52.1,53.1,54.1,54.6,55.6,57.1,58.4,59.3,58.5,57.4,55.1,54.2,53.1,53.7,53.9,53.5,52.8,52.6,52.5,53.1,53.3,54.1,55.3,55.1,57.4,57.4,57.3,58.9,59.4,58.6,59,57.6,57.2,57.3,57.7,56.3,60.4,63.1,62,62.5,57.8,53.8,50.1,48.2,50.5,52,54.9,56.7,58.9,59.5,60.5,60.9,60.7,60,62.5,63.2
"35","26","    Final sales of domestic business \2\","A809RX1",NA,NA,NA,528.6,533.1,536.8,547.8,550.7,555,565.5,572.9,585.4,589.8,599,607.2,615.6,624.5,631.4,634.5,638,639.7,640.9,638.1,644.2,643.7,644.5,647,644.8,648.4,656.2,671.3,676.3,680.2,683.2,689.8,696.6,703.2,712.8,718.4,718.7,731.1,735,734.6,744.4,746.5,752.9,760.1,766.1,760.7,764.3,753.1,730.4,723.6,717.4,716.5,713.3,715.5,721.6,723.9,736.6,739.9,745.9,751.9,758.2,765.2,770.5,775,784.3
"36","27","    Final sales of goods and structures of domestic business \2\","A810RX1",NA,NA,NA,287.3,290.8,292.8,300.9,302.2,304.2,310.9,316.5,325.5,327.1,332.8,337.3,341.9,347.1,350.3,352.4,353.8,354.5,355.4,352.4,357.4,354.2,352.8,354.3,351.1,354.2,359.5,372,375.1,375.5,377.1,382.1,385.3,390.1,397.7,401.1,399.6,409.3,409.8,407.2,411.7,412.4,416.8,420.8,423.9,418.8,422.6,415.6,394.8,387.4,385.8,387.8,383.8,384.2,386.6,386.1,395.1,395.8,400.1,406,412.4,418.3,421.2,425,433.3
"37",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","28","  Private inventories to final sales","A811RX2",NA,NA,NA,2.62,2.62,2.65,2.63,2.65,2.68,2.65,2.65,2.62,2.64,2.61,2.6,2.6,2.57,2.58,2.6,2.6,2.58,2.57,2.57,2.51,2.51,2.51,2.51,2.53,2.53,2.5,2.44,2.44,2.44,2.46,2.46,2.46,2.47,2.44,2.43,2.46,2.44,2.45,2.47,2.45,2.45,2.44,2.43,2.42,2.43,2.42,2.44,2.49,2.46,2.42,2.35,2.35,2.36,2.35,2.37,2.35,2.35,2.34,2.32,2.32,2.32,2.32,2.32,2.3
"39","29","  Nonfarm inventories to final sales","A812RX2",NA,NA,NA,2.33,2.33,2.36,2.34,2.37,2.4,2.38,2.37,2.35,2.37,2.35,2.34,2.35,2.33,2.34,2.35,2.36,2.34,2.33,2.33,2.27,2.27,2.27,2.27,2.3,2.29,2.27,2.21,2.21,2.22,2.23,2.23,2.23,2.25,2.22,2.21,2.23,2.22,2.23,2.26,2.24,2.24,2.24,2.23,2.22,2.23,2.21,2.23,2.27,2.24,2.2,2.14,2.13,2.14,2.13,2.16,2.14,2.15,2.14,2.12,2.13,2.13,2.14,2.15,2.14
"40","30","  Nonfarm inventories to final sales of goods and structures","A813RX2",NA,NA,NA,4.28,4.28,4.33,4.27,4.32,4.38,4.32,4.29,4.22,4.27,4.22,4.21,4.22,4.19,4.22,4.24,4.26,4.22,4.2,4.22,4.1,4.12,4.16,4.15,4.21,4.2,4.13,4,3.99,4.02,4.04,4.03,4.04,4.05,3.98,3.95,4.02,3.96,4,4.08,4.05,4.05,4.04,4.02,4,4.05,4,4.04,4.2,4.19,4.08,3.95,3.96,3.98,3.98,4.06,4,4.01,3.99,3.94,3.92,3.9,3.91,3.92,3.87
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Inventories are as of the end of the quarter.  The quarter-to-quarter changes calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","from this table are at quarterly rates, whereas the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","component of GDP is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","domestic product less gross output of general government, gross value added of nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","institutions, compensation paid to domestic workers, and imputed rental of owner-occupied nonfarm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","housing. It includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Chained (2005) dollar inventory series are calculated to ensure that the chained (2005) dollar change in inventories for 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","equals the current-dollar change in inventories for 2005 and that the average of the 2004 and 2005 end-of-year chain-weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
