"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","  Farm","B359RA3",26.996,27.746,29.208,29.212,28.89,28.24,33.638,32.081,33.813,32.644,35.606,34.517,45.601,47.852,31.256,42.425,51.864,49.746,50.24,44.708,51.252,54.911,55.812,64.931,56.693,69.131,55.277,63.99,71.077,68.014,71.32,81.884,76.193,79.566,89.74,95.978,100,97.17,88.561,99.734,115.219,109.474,90.114,86.154
"12","5","Households and institutions","B193RA3",33.269,33.872,35.293,36.826,38.146,39.679,41.021,41.702,42.318,44.236,46.157,48.522,50.062,51.703,53.172,54.885,55.842,57.313,59.465,62.216,64.71,67.021,68.941,71.123,73.476,75.675,78.035,79.649,82.346,84.985,87.99,91.358,93.398,94.087,94.119,96.748,100,102.217,104.348,108.112,107.641,108.525,109.38,109.368
"13","6","  Households","B701RA3",33.078,33.855,35.386,36.911,38.244,39.912,40.975,41.753,42.221,44.812,46.852,49.818,51.372,52.298,53.279,55.109,56.39,57.111,58.627,60.818,62.705,64.286,66.179,68.142,69.821,73.103,75.353,76.976,79.545,81.416,85.647,89.553,91.747,91.379,91.057,95.056,100,103.885,105.763,110.456,109.089,109.675,109.699,108.152
"14","7","  Nonprofit institutions serving households \3\","B702RA3",33.473,33.747,34.965,36.507,37.796,39.1,40.882,41.406,42.254,43.104,44.832,46.274,47.782,50.507,52.723,54.25,54.708,57.318,60.436,64.024,67.432,70.849,72.802,75.3,78.641,79.228,81.742,83.335,86.213,90.001,91.164,93.736,95.545,97.765,98.303,99.038,100,100.002,102.464,105.015,105.699,106.957,108.849,110.773
"15","8","General government \4\","B765RA3",65.936,66.189,66.298,66.179,66.476,67.83,68.926,69.526,70.253,71.601,72.363,73.403,73.808,74.561,75.037,75.969,78.143,80.066,81.819,83.945,85.948,88.147,89.064,89.363,89.561,89.582,89.645,89.79,90.472,91.498,92.33,93.936,95.63,97.56,98.731,99.328,100,100.592,101.811,103.884,105.979,106.7,106.141,105.797
"16","9","  Federal","B766RA3",106.463,101.902,97.209,92.502,89.044,88.763,88.268,88.417,88.659,89.775,89.678,91.099,92.503,94.009,96.195,98.37,101.171,102.966,105.666,106.975,108.296,110.273,110.938,108.614,106.534,103.066,99.174,96.447,94.63,93.547,92.781,93.558,93.929,95.78,98.356,99.335,100,99.933,100.688,104.625,110.775,114.835,115.73,115.217
"17","10","  State and local","B767RA3",49.108,51.285,53.374,55.218,57.153,59.228,61.031,61.834,62.782,64.246,65.393,66.275,66.243,66.668,66.4,66.796,68.713,70.704,72.064,74.53,76.817,79.103,80.121,81.482,82.604,84.037,85.707,87.035,88.759,90.665,92.162,94.111,96.351,98.313,98.892,99.324,100,100.882,102.307,103.563,103.908,103.188,101.999,101.73
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009A3",34.593,35.729,37.346,39.138,40.59,42.55,43.852,44.529,45.651,47.739,49.62,52.656,54.716,56.193,57.434,59.256,61.579,62.724,64.212,66.072,67.569,69.278,71.589,73.686,74.864,77.963,80.35,81.634,84.019,85.477,89.403,92.771,94.672,93.786,91.965,95.669,100,104.227,107.438,112.323,112.125,113.502,114.182,113.243
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
