"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"23","16","Q1REV1 D       Recreational vehicles","Q1REV10",6654,6595,6911,7772,8859,8811,9025,9673,10877,11779,11986,11101,12225,13546,14729,15941
"24","17","Q1TBA1 C     Tires, tubes, accessories, and other parts (73)","Q1TBA10",29258,28587,29414,32146,35501,37158,39676,41483,43791,47183,49037,47911,48244,49467,51419,54276
"25","18","Q1TAT1 D       Tires and tubes","Q1TAT10",14034,13606,13587,14490,15654,15929,16784,17333,18431,19989,20862,20270,20501,21545,22876,24728
"26","19","Q1PAA1 D       Accessories and parts","Q1PAA10",15185,14941,15790,17620,19818,21217,22889,24155,25362,27194,28176,27641,27743,27925,28556,29573
"27","20","Q1FUR1 B   Furniture and household equipment","Q1FUR10",119862,121089,127760,141087,156766,173316,193370,216272,244662,280731,312907,331800,364305,397780,446021,490607
"28","21","Q1FNR1 C     Furniture, including mattresses and bedsprings (29)","Q1FNR10",41790,40999,41350,43804,46387,48737,51757,56010,59238,63224,67596,68347,71551,73858,79664,84357
"29","22","Q1APP1 C     Kitchen and other household appliances (30)","Q1APP10",22176,22029,23146,23931,24217,25103,25347,25195,26570,28916,30410,31045,32651,34558,38099,39636
"30","23","Q1MHA1 D       Major household appliances","Q1MHA10",19599,19080,19757,20414,20570,21316,21515,21509,22677,24593,25769,26075,27253,28747,31729,32804
"31","24","Q1SEA1 D       Small electric appliances","Q1SEA10",2684,3001,3401,3528,3649,3788,3833,3689,3897,4324,4642,4974,5412,5834,6392,6885
"32","25","Q1CHN1 C     China, glassware, tableware, and utensils (31)","Q1CHN10",17805,17579,18652,19798,21105,22539,23902,25009,26251,28935,30993,31887,34467,36799,38884,40841
"33","26","Q1RAD1 C     Video and audio goods, including musical instruments, and computer goods (91)","Q1RAD10",18622,20328,22480,27071,32806,39573,48898,60462,76878,96978,116598,132347,155594,179216,212128,248463
"34","27","Q1VAM1 C       Video and audio goods, including musical instruments (92)","Q1VAM10",32165,32130,33729,37046,41942,45900,48787,50837,56538,64374,72764,77522,84507,91452,104631,117913
"35","28","Q1TVV1 D         Television receivers, video cassette recorders, and videotapes","Q1TVV10",10748,10380,10416,11355,12694,13724,14534,14945,17008,20595,25148,29588,34315,40972,50994,61072
"36","29","Q1TVS1 D           Television receivers","Q1TVS10",7599,7179,7196,7758,8444,8975,9335,9388,10405,12198,14422,16395,18983,22655,28536,34339
"37","30","Q1OVE1 D           Video equipment and media","Q1OVE10",3445,3435,3452,3824,4444,4921,5343,5658,6662,8415,10726,13220,15366,18360,22468,26727
"38","31","Q1AMI1 D         Audio equipment, media, and instruments","Q1AMI10",21017,21557,23362,25788,29429,32445,34559,36278,39846,43894,47616,48130,50768,52107,56918,62001
"39","32","Q1AUD1 D           Audio equipment","Q1AUD10",10830,10418,11285,12414,14315,15617,16267,16640,18624,21454,24037,25404,28037,30396,34421,39765
"40","33","Q1RTD1 D           Records, tapes, and disks","Q1RTD10",8055,8977,9917,11040,12472,13941,15322,16573,17917,18741,19236,18378,18456,17654,18310,18359
"41","34","Q1MSC1 D           Musical instruments","Q1MSC10",2040,2162,2146,2321,2607,2869,2999,3150,3364,3711,4344,4393,4436,4459,4878,5219
"42","35","Q1CPT1 C       Computers, peripherals, and software (93)","Q1CPT10",590,936,1253,2064,3052,4705,8060,13738,21971,32897,43834,55402,74143,94751,118475,147419
"43","36","Q1CPP1 D         Computers and peripherals","Q1CPP10",386,604,797,1324,1976,3068,5266,8982,15085,24070,33514,45055,63282,83490,106067,135736
"44","37","Q1CPS1 D         Software","Q1CPS10",234,390,547,876,1257,1892,3220,5475,7405,8950,10320,10690,12250,14139,16804,19113
"45","38","Q1ODH1 C     Other durable house furnishings (32)","Q1ODH10",39215,37293,38394,41192,45156,47931,50969,54288,57646,63114,67309,68601,72091,77745,85409,91581
"46","39","Q1FLR1 D       Floor coverings","Q1FLR10",13931,12722,12759,13140,13705,13747,13800,14054,14649,15935,16483,15948,15946,16882,18662,19936
"47","40","Q1DHF1 D       Durable house furnishings n.e.c.","Q1DHF10",17608,16889,17418,19125,21668,23870,26352,28809,30682,33771,36934,38641,41774,45766,50507,54762
"48","41","Q1CLF1 D         Clocks, lamps, and furnishings","Q1CLF10",13801,13392,14074,15581,17868,19844,22039,24224,25729,28462,31493,32776,35546,39191,43413,47111
"49","42","Q1TEX1 D         Blinds, rods, and other","Q1TEX10",3846,3531,3370,3568,3822,4046,4331,4598,4972,5319,5441,5868,6228,6576,7102,7663
"50","43","Q1WTR1 D       Writing equipment","Q1WTR10",3191,3245,3324,3342,3337,3223,2994,2838,2930,3058,3062,2792,2653,2551,2577,2626
"51","44","Q1TOO1 D       Hand tools","Q1TOO10",5432,5332,5767,6345,7044,7498,8030,8663,9432,10378,10830,11264,11893,12878,14108,14890
"52","45","Q1HDW1 D         Tools, hardware, and supplies","Q1HDW10",4602,4421,4676,5194,5792,6176,6597,7115,7791,8655,9008,9417,10009,10866,11924,12536
"53","46","Q1LWN1 D         Outdoor equipment and supplies","Q1LWN10",828,909,1089,1150,1250,1320,1431,1546,1639,1723,1822,1847,1884,2013,2185,2356
"54","47","Q1TOD1 B   Other","Q1TOD10",92730,88751,90226,96977,104244,111187,119628,127282,137557,151699,163901,163167,172373,183248,195649,212573
"55","48","Q1OPT1 C     Ophthalmic products and orthopedic appliances (46)","Q1OPT10",17341,15334,15267,15325,16347,16350,17930,19705,20764,21438,22116,20114,21083,21474,21957,22906
"56","49","Q1WHG1 C     Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (90)","Q1WHG10",30419,29372,29533,32460,34970,37896,40362,43070,46915,52018,57562,59713,63109,68274,75083,86093
"57","50","Q1WHE1 D       Sports and photo equipment, bicycles and motorcycles","Q1WHE10",21472,21372,22441,24635,26620,27920,29555,30902,33913,37899,42155,44835,47503,51617,56988,66025
"58","51","Q1GUN1 D         Guns","Q1GUN10",1430,1341,1343,1415,1465,1476,1489,1473,1606,1818,2023,2126,2260,2388,2599,2888
"59","52","Q1SPT1 D         Sporting equipment","Q1SPT10",11600,11895,13047,14370,15598,16526,17605,18462,20122,22781,25352,26643,28314,29919,32565,36182
"60","53","Q1CAM1 D         Photographic equipment","Q1CAM10",2659,2395,2179,2300,2494,2631,2783,2938,3196,3530,3808,4015,4458,4966,5815,6867
"61","54","Q1BCY1 D         Bicycles","Q1BCY10",2948,2759,2661,2831,3021,3042,3132,3216,3431,3592,3789,3840,4005,4248,4548,4906
"62","55","Q1MCY1 D         Motorcycles","Q1MCY10",2809,2987,3172,3740,4066,4247,4544,4811,5580,6176,7182,8204,8483,10079,11485,15089
"63","56","Q1BTA1 D       Pleasure boats and aircraft","Q1BTA10",9033,8004,6974,7699,8204,9932,10781,12214,13024,14122,15407,14895,15628,16692,18146,20179
"64","57","Q1BOA1 D         Pleasure boats","Q1BOA10",8102,7120,6151,6855,7370,8999,9849,11246,11993,13004,14187,13716,14390,15370,16709,18582
"65","58","Q1AIR1 D         Pleasure aircraft","Q1AIR10",931,884,823,844,834,933,932,967,1032,1119,1220,1180,1238,1322,1437,1598
"66","59","Q1JRY1 C     Jewelry and watches (18)","Q1JRY10",26465,25590,26504,28705,30497,32575,35802,37462,41727,46818,50568,49177,52675,56255,59759,63260
"67","60","Q1BKS1 C     Books and maps (87)","Q1BKS10",19236,18945,19282,20664,22711,24547,25626,27248,28248,31444,33654,34198,35575,37421,39193,40943
"68","61","Q1TND1 A Nondurable goods","Q1TND10",1483954,1480527,1510124,1550354,1603902,1638621,1680447,1725331,1794437,1876610,1947216,1986686,2037061,2103032,2179188,2276763
"69","62","Q1TFD1 B   Food","Q1TFD10",784373,783327,787925,802154,821842,827097,834711,845248,865556,893579,925164,940244,954640,977676,1010954,1065706
"70","63","Q1OPF1 C     Food and alcoholic beverages purchased for off-premise consumption (3)","Q1OPF10",485675,484904,483935,488905,503395,507141,513239,518328,528443,548793,566695,578647,586575,598725,619041,659231
"71","64","Q1FOP1 G       Food purchased for off-premise consumption","Q1FOP10",423831,427750,430213,433815,445123,447145,450732,453666,461975,480701,495517,506517,514307,524634,539757,571500
"72","65","Q1GRA1 D         Cereals","Q1GRA10",23641,24175,24278,24299,24519,25050,25948,26692,25788,27749,27448,27847,27605,26995,27279,29310
"73","66","Q1BAK1 D         Bakery products","Q1BAK10",42252,42037,41029,41345,42293,42782,42885,43443,43711,44494,45467,44976,45057,44165,45146,47698
"74","67","Q1BEE1 D         Beef and veal","Q1BEE10",30267,28942,27862,26205,26283,25800,25308,23865,25189,24925,25770,25514,24337,24294,23278,24444
"75","68","Q1POR1 D         Pork","Q1POR10",19305,19005,19949,19723,20218,20579,19324,18660,19732,21723,21923,23116,22431,22938,22853,24138
"76","69","Q1MEA1 D         Other meats","Q1MEA10",12951,13541,14361,14594,14998,15288,15409,15468,16103,16861,17297,17585,17238,17338,17421,18339
"77","70","Q1POU1 D         Poultry","Q1POU10",21471,23947,26060,26425,27639,28813,28905,29624,30091,29896,32013,33449,32091,32512,32289,34113
"78","71","Q1FIS1 D         Fish and seafood","Q1FIS10",9763,9493,8903,8664,8525,8189,8278,8097,9449,10137,10401,11017,12203,12700,12642,13228
"79","72","Q1GGS1 D         Eggs","Q1GGS10",2978,3150,3560,3677,4255,4458,4172,4625,5125,5446,5704,5774,5623,5612,5932,7306
"80","73","Q1MIL1 D         Fresh milk and cream","Q1MIL10",18145,18480,17125,16496,15962,15546,14195,13484,13297,12773,13915,14190,13863,13984,14150,14963
"81","74","Q1DAI1 D         Processed dairy products","Q1DAI10",26457,27734,28298,28736,29527,29705,28900,28650,29029,30567,29712,29908,30843,31771,33793,36067
"82","75","Q1FRU1 D         Fresh fruits","Q1FRU10",14435,13535,14721,15244,15429,14807,14530,14892,15578,14975,16789,16577,18502,17558,18520,19239
"83","76","Q1VEG1 D         Fresh vegetables","Q1VEG10",20349,20085,19377,19634,21106,20325,22346,23137,22955,24271,25146,25102,26179,25752,26112,26986
"84","77","Q1PFV1 D         Processed fruits and vegetables","Q1PFV10",18393,18322,17454,17719,17742,17791,17508,17351,17519,19270,19179,19135,18829,18920,18143,18925
"85","78","Q1JNB1 D         Juices and nonalcoholic drinks","Q1JNB10",45193,46659,46782,46244,47006,45383,45547,45874,46608,48115,48932,50846,51488,55526,59102,62490
"86","79","Q1CTM1 D         Coffee, tea and beverage materials","Q1CTM10",9269,8930,8554,9792,9144,8532,10472,10340,10461,11246,11646,12434,12715,13591,14510,14885
"87","80","Q1FAT1 D         Fats and oils","Q1FAT10",9247,9364,9811,9706,9520,9155,8933,8721,8659,9365,9519,9694,9767,9922,9572,10317
"88","81","Q1SWE1 D         Sugar and sweets","Q1SWE10",28059,28279,28100,28681,29582,29922,29761,29682,30085,30447,32154,32414,32935,33500,35500,37779
"89","82","Q1OFD1 D         Other foods","Q1OFD10",59406,60000,60692,62691,66024,68453,70962,72698,73437,78236,81186,85123,89955,94518,100433,106550
"90","83","Q1PEF1 D         Pet food","Q1PEF10",12550,12238,13052,14164,15559,16832,17536,18457,19217,20250,21315,21870,22841,23600,24244,26004
"91","84","Q1AOP1 C       Alcoholic beverages purchased for off-premise consumption (9)","Q1AOP10",61824,57111,53845,55168,58295,60001,62503,64662,66475,68087,71179,72128,72264,74087,79296,87784
"92","85","Q1MLT1 D         Beer and ale, at home","Q1MLT10",37044,33370,30542,31882,34038,35504,37252,39192,40190,41193,43052,43449,43440,44708,48419,54877
"93","86","Q1WIN1 D         Wine and brandy, at home","Q1WIN10",11352,10689,10400,10799,11713,12324,12887,13185,13476,13913,14763,15245,15484,15866,16697,17724
"94","87","Q1LIQ1 D         Distilled spirits, at home","Q1LIQ10",13437,13085,12971,12527,12574,12194,12376,12285,12814,12982,13364,13438,13351,13525,14165,15083
"95","88","Q1PMB1 C     Purchased meals and beverages (4)","Q1PMB10",289550,289372,295040,304332,309352,310778,312257,317716,327811,335289,348809,351812,358161,368743,381618,395804
"96","89","Q1FPM1 C       Food in purchased meals","Q1FPM10",248714,248845,253045,264093,270855,273644,276474,282641,291987,298867,311313,314582,320260,330001,342373,355467
"97","90","Q1ESL1 D         Elementary and secondary school lunch","Q1ESL10",4414,4457,4458,4554,4635,4720,4823,4958,5156,5400,5657,5844,5845,5816,5884,5980
"98","91","Q1HSL1 D         Higher education school lunch","Q1HSL10",5365,5279,5452,5591,5761,5828,5930,6033,6182,6458,6769,7020,7040,7324,7609,7879
"99","92","Q1OPM1 D         Other purchased meals","Q1OPM10",238936,239113,243136,253952,260465,263101,265725,271655,280652,287009,298887,301720,307372,316859,328874,341604
"100","93","Q1MLS1 D           Meals at limited service eating places","Q1MLS10",124593,124292,128216,135668,137971,140687,140867,140232,146899,149731,156106,158514,161132,167444,174654,179527
"101","94","Q1MOE1 D           Meals at other eating places","Q1MOE10",112474,112961,113021,116507,120873,120801,123297,129947,132235,135735,141176,141629,144625,147724,152521,160382
"102","95","Q1MDP1 D           Meals at drinking places","Q1MDP10",1869,1861,1890,1760,1608,1593,1548,1483,1519,1544,1605,1578,1616,1690,1694,1705
"103","96","Q1APM1 C       Alcohol in purchased meals","Q1APM10",41157,40823,42340,40444,38615,37201,35812,35080,35825,36422,37497,37235,37906,38751,39278,40378
"104","97","Q1PIF1 C     Food furnished to employees (including military) and food produced and consumed on farms (5+6)","Q1PIF10",8944,8853,8888,8973,9086,9149,9151,9185,9320,9493,9659,9787,9893,10167,10257,10791
"105","98","Q1FOO1 C       Food furnished to employees (including military)","Q1FOO10",8318,8248,8282,8403,8513,8622,8649,8658,8767,8927,9106,9266,9389,9725,9855,10410
"106","99","Q1CFD1 D         Food supplied civilians","Q1CFD10",7671,7619,7682,7780,7881,8003,8066,8106,8233,8390,8533,8673,8737,8882,9072,9266
"107","100","Q1MFD1 D         Food supplied military","Q1MFD10",646,628,600,623,632,619,583,552,534,537,573,593,652,843,782,1143
"108","101","Q1FFD1 C       Food produced and consumed on farms","Q1FFD10",616,598,600,569,572,529,504,528,555,567,554,521,503,438,400,383
"109","102","Q1TCS1 B   Clothing and shoes","Q1TCS10",188154,188752,199226,207383,218500,227383,238694,245967,263097,282678,297712,303747,318251,334247,350910,372721
"110","103","Q1SHU1 C     Shoes (12)","Q1SHU10",30382,29548,30331,31470,33745,35373,37457,38688,41281,44690,47026,48114,50526,52122,53933,54771
"111","104","Q1WCL1 C     Women's and children's clothing and accessories except shoes (14)","Q1WCL10",98953,99824,106176,110057,114233,118688,124384,127032,136613,147980,156692,159292,166615,175019,184566,198461
"112","105","Q1WCO1 D       Clothing and sewing for females","Q1WCO10",96889,97805,104176,107968,112187,116724,122272,124782,134138,144937,153259,156136,163210,171472,180695,194090
"113","106","Q1WGC1 D         Clothing for females","Q1WGC10",85354,85916,91643,95054,99060,103901,109369,111522,119682,129522,137203,139575,145780,153167,161169,173293
"114","107","Q1WIC1 D         Clothing for infants","Q1WIC10",7899,7804,7908,8255,8594,8776,8740,9059,9843,10281,10617,11003,11464,12037,12894,13770
"115","108","Q1WSG1 D         Sewing goods for females","Q1WSG10",3699,4149,4658,4694,4560,4067,4163,4211,4630,5137,5439,5556,5961,6263,6626,7024
"116","109","Q1WUG1 D       Luggage for females","Q1WUG10",2086,2040,2028,2121,2086,2029,2169,2290,2511,3048,3434,3158,3408,3549,3879,4402
"117","110","Q1MMC1 C     Men's and boys' clothing and accessories except shoes (15+16)","Q1MMC10",58740,59254,62519,65698,70506,73311,76842,80278,85217,90007,93993,96343,101112,107159,112494,119741
"118","111","Q1MCL1 C       Men's and boys' clothing, sewing goods, and luggage, except military issue","Q1MCL10",58571,59064,62243,65406,70214,73019,76550,79961,84911,89722,93682,96015,100747,106593,112153,119394
"119","112","Q1MCO1 D         Clothing and sewing for males","Q1MCO10",57686,58117,61219,64387,69277,72179,75719,79154,84020,88621,92439,94872,99514,105310,110751,117811
"120","113","Q1MBC1 D           Clothing for males","Q1MBC10",57214,57676,60807,63969,68871,71820,75348,78776,83604,88160,91951,94373,98979,104747,110155,117179
"121","114","Q1MSG1 D           Sewing goods for males","Q1MSG10",457,429,402,408,399,359,370,378,416,461,488,499,535,562,595,631
"122","115","Q1MUG1 D         Luggage for males","Q1MUG10",842,896,969,969,907,836,840,829,909,1104,1243,1144,1234,1285,1405,1594
"123","116","Q1MIC1 C       Standard clothing issued to military personnel","Q1MIC10",164,186,278,295,295,294,292,319,306,285,311,329,364,553,348,355
"124","117","Q1GFO1 B   Gasoline, fuel oil, and other energy goods","Q1GFO10",158448,156726,162798,166882,169668,172973,176179,179660,186299,192667,191482,193391,197441,198542,200533,199532
"125","118","Q1GAO1 B     Gasoline and oil (75)","Q1GAO10",141842,140282,145958,149666,151658,154463,157894,162773,170283,176273,175656,178257,181930,183153,185951,185886
"126","119","Q1GAS1 D       Gasoline and other motor fuel","Q1GAS10",138743,137165,142268,145744,147624,150668,154192,159299,166366,173076,172321,175251,179075,180386,183329,183497
"127","120","Q1LUB1 D       Lubricants","Q1LUB10",2979,2994,3511,3722,3824,3629,3557,3370,3754,3212,3335,3027,2907,2834,2694,2440
"128","121","Q1FUL1 B     Fuel oil and coal (40)","Q1FUL10",16746,16584,16974,17351,18186,18702,18432,16940,16035,16408,15826,15157,15533,15417,14636,13731
"129","122","Q1OIL1 D       Fuel oil","Q1OIL10",10629,10171,10635,10569,10935,10995,10571,10257,10056,10131,8964,8729,9027,8978,7967,7000
"130","123","Q1LPF1 D       Liquified petroleum gas and other fuel, and farm fuel","Q1LPF10",6238,6503,6456,6864,7318,7741,7863,6743,6091,6361,6862,6436,6525,6460,6642,6706
"131","124","Q1LPG1 D         Liquified petroleum gas and other fuel","Q1LPG10",6200,6467,6420,6836,7298,7728,7856,6741,6089,6360,6861,6435,6524,6459,6641,6706
"132","125","Q1FFW1 D         Farm fuel","Q1FFW10",37,36,36,28,20,13,6,1,1,1,1,1,1,1,1,1
"133","126","Q1TON1 B   Other","Q1TON10",360985,359274,366047,379027,397709,414132,432947,456638,481144,508597,532858,549243,567078,593204,618499,643895
"134","127","Q1TOB1 C     Tobacco products (7)","Q1TOB10",87704,81372,84939,83183,84224,85453,86661,86719,84309,79543,78543,78060,76307,74126,72314,70727
"135","128","Q1TLG1 C     Toilet articles and preparations (21)","Q1TLG10",41125,40815,40964,42977,45437,47934,50911,53750,54035,54622,55016,53851,53962,56087,58293,61621
"136","129","Q1SOA1 D       Soap","Q1SOA10",4531,4579,4814,4717,4656,4640,4536,4395,4424,4516,4630,4792,4903,5069,5267,5530
"137","130","Q1CSM1 D       Cosmetics and perfumes","Q1CSM10",17017,15375,14543,14505,14756,15046,15359,15361,15295,15286,15573,15043,15285,15460,15649,16093
"138","131","Q1OPH1 D       Other personal hygiene goods","Q1OPH10",20107,21252,21936,23995,26206,28378,31080,33999,34317,34822,34814,34017,33777,35561,37390,40028
"139","132","Q1SDH1 C     Semidurable house furnishings (33)","Q1SDH10",20065,20796,22664,23785,25247,26487,28092,29547,31608,34152,36465,37378,39878,44458,49084,53218
"140","133","Q1CLP1 C     Cleaning and polishing preparations, and miscellaneous household supplies and paper products (34)","Q1CLP10",46191,45860,47328,50123,53431,54504,56013,58146,59426,61780,61587,62206,63451,67096,70646,73814
"141","134","Q1CLE1 D       Cleaning preparations","Q1CLE10",23537,22654,22841,24415,26203,27341,28541,29558,30299,31283,31526,31714,31995,33775,35824,37691
"142","135","Q1LIG1 D       Lighting supplies","Q1LIG10",5004,4890,5299,5574,5998,6014,6259,6492,6762,7297,7537,7718,7988,8570,9629,10368
"143","136","Q1PAP1 D       Paper products","Q1PAP10",17670,18443,19368,20295,21366,21225,21246,22136,22390,23217,22525,22776,23472,24757,25222,25820
"144","137","Q1DRG1 C     Drug preparations and sundries (45)","Q1DRG10",90080,91665,92272,95150,99196,105608,112734,122800,138108,154275,169412,184227,195468,208585,218272,224239
"145","138","Q1RXD1 D       Prescription drugs","Q1RXD10",59503,61568,63539,66693,70514,76388,83032,92826,107510,122432,136223,150469,160080,172385,181064,184595
"146","139","Q1NRX1 D       Nonprescription drugs","Q1NRX10",20913,20783,19923,19721,19899,20481,20919,21213,22017,23276,24614,25278,26910,27213,27733,29820
"147","140","Q1MDS1 D       Medical supplies","Q1MDS10",4858,4557,4247,4278,4385,4441,4552,4668,4685,4731,4769,4708,4696,4834,5019,5329
"148","141","Q1GYN1 D       Gynecological goods","Q1GYN10",3459,3546,3556,3576,3603,3607,3660,3718,3752,3808,3807,3719,3693,3888,4088,4377
"149","142","Q1TOY1 C     Nondurable toys and sport supplies (89)","Q1TOY10",28282,29574,30839,32631,35008,37446,39067,41033,45551,51632,56611,60047,65344,70650,77023,85976
"150","143","Q1DOL1 D       Toys, dolls, and games","Q1DOL10",18148,19965,21312,22649,24546,26733,28070,29864,33397,37938,41510,44355,48688,53078,57993,65165
"151","144","Q1AMM1 D       Sport supplies, including ammo","Q1AMM10",6755,6323,6316,6904,7436,7816,8258,8588,9360,10597,11793,12393,13171,13917,15148,16831
"152","145","Q1FLM1 D       Film and photo supplies","Q1FLM10",3673,3503,3394,3246,3170,2992,2807,2602,2799,3097,3308,3305,3514,3728,3979,4161
"153","146","Q1STY1 C     Stationery and writing supplies (35)","Q1STY10",17165,17504,17813,18052,18362,17839,17298,16903,17259,18188,18982,18303,18275,18754,19822,20583
"154","147","Q1STS1 D       Stationery and school supplies","Q1STS10",7285,7062,6831,6987,7115,6837,6468,6197,6527,7137,7772,7482,7614,7897,8641,9133
"155","148","Q1GRE1 D       Greeting cards","Q1GRE10",9875,10440,10982,11065,11246,11001,10830,10706,10731,11051,11210,10820,10661,10857,11180,11449
"156","149","Q1NFR1 C     Net foreign remittances (111 less 113)","Q1NFR10",2374,2032,490,744,940,908,1139,2577,2865,2727,3220,3425,3733,3525,3193,2889
"157","150","Q1ABD1 C       Expenditures abroad by U S  residents","Q1ABD10",3569,3288,2267,2463,2498,2321,2363,3749,4055,4091,4585,4932,5245,5273,5083,4986
"158","151","Q1ART1 D         Government expenditures abroad","Q1ART10",3444,3148,2154,2346,2386,2221,2265,3601,3895,3929,4404,4737,5038,5064,4882,4789
"159","152","Q1ARS1 D         Other private services","Q1ARS10",125,140,114,117,113,100,97,148,160,162,181,195,207,208,201,197
"160","153","Q1REM1 C       Less: Personal remittances in kind to nonresidents","Q1REM10",1195,1255,1777,1719,1558,1412,1224,1172,1191,1363,1365,1506,1512,1748,1889,2097
"161","154","Q1MAG1 C     Magazines, newspapers, and sheet music (88)","Q1MAG10",29256,28223,27049,27985,29692,30792,31680,33152,33385,34067,35048,34285,33821,34282,36323,39138
"162","155","Q1MGZ1 D       Magazines and sheet music","Q1MGZ10",14147,14067,13783,14257,15196,15974,16412,17051,17141,17491,17995,17603,17365,17601,18650,20095
"163","156","Q1NWP1 D       Newspapers","Q1NWP10",15206,14193,13273,13736,14501,14818,15269,16101,16244,16576,17053,16682,16456,16680,17674,19043
"164","157","Q1FLO1 C     Flowers, seeds, and potted plants (95)","Q1FLO10",11490,11125,11687,12601,13327,13541,14987,16247,16719,17900,17974,17456,17381,17388,17263,18632
"165","158","Q1TSS1 A Services","Q1TSS10",2851667,2899952,3000806,3085708,3176621,3259873,3356012,3467984,3614961,3758010,3928836,4023246,4100369,4178828,4323880,4436638
"166","159","Q1HOS1 B   Housing","Q1HOS10",802176,820060,832742,841770,869326,887543,901110,922477,948846,978557,1006456,1033731,1042085,1051897,1091592,1122601
"167","160","Q1OWN1 C     Owner-occupied nonfarm dwellings--space rent (24)","Q1OWN10",551605,567367,575458,583905,604767,615870,626725,642408,663676,688227,712236,740156,748938,764870,804200,831934
"168","161","Q1OMH1 D       Owner occupied mobile homes","Q1OMH10",23511,25115,25718,25309,25497,25572,26174,26831,27195,27253,28317,32386,31176,29566,30001,29816
"169","162","Q1OST1 D       Owner occupied stationary homes","Q1OST10",528094,542251,549738,558596,579269,590295,600547,615576,636479,660973,683919,707772,717758,735306,774197,802119
"170","163","Q1TEN1 C     Tenant-occupied nonfarm dwellings--rent (25)","Q1TEN10",199890,201713,203761,204883,209923,216456,217059,218772,222839,226652,227549,230726,228791,220352,218069,218618
