"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"11","2","Q1TDG1 A Durable goods","Q1TDG10",470901,455292,450466,437413,424644,426863,433614,426466,443145,446642,456363,465790,470366,486191,492079,505123,517279,523322,529055,547944,537274,543516,559694,570020,576149,595160,600081,612262,629926,627906,656689,673222,676217,707470,727162,770311,767419,803627,820729,826419,872797,851317,863809,865381,879531,878883,885565,958732,948441,956911,983389,970413,971423,1009841,1049623,1051384,1066993,1071439,1093938,1110263,1116781,1150805,1175910,1137855,1190466,1191804
"12","3","Q1TAP1 B   Motor vehicles and parts","Q1TAP10",271772,258267,254603,239660,224227,222565,231980,227586,240178,242494,245787,251287,248002,259906,259535,269546,278042,274068,272113,280747,267679,268247,274702,278421,281428,285842,285915,288254,300765,290777,309396,317675,310289,333905,339974,371683,355094,380245,382475,371931,403270,376117,383167,383515,392648,388582,392725,449389,422051,422503,445590,425850,424834,442296,454781,446359,448960,444724,451287,456485,447700,462956,474652,426275,445106,444171
"13","4","Q1FUR1 B   Furniture and household equipment","Q1FUR10",122168,120213,118983,118079,118770,121874,122609,121101,124606,125557,128858,132022,136196,139794,142773,145586,148712,154229,158813,165312,166166,169474,176076,181546,183201,192663,195636,201978,206387,212683,220171,225847,233460,238554,249033,257604,266140,275073,285650,296066,306671,311280,315898,317779,323796,328146,332238,343018,356889,363454,365231,371649,373270,388727,410021,419098,430291,440054,452974,460768,471216,481989,497707,511515,538504,543498
"14","5","Q1TOD1 B   Other","Q1TOD10",94617,92237,91991,92075,90623,89969,88046,86366,88300,88687,91534,92380,94391,95789,98316,99411,100448,103095,104888,108548,108266,110148,112884,113452,114972,119210,120693,123637,124816,125084,128298,130927,132676,136187,138870,142497,146562,148950,152910,158371,162942,163858,164702,164101,163250,162601,161170,165645,170323,172062,172689,174419,174945,180581,187534,189932,192649,192928,196712,200302,206723,214184,213106,216280,224608,222986
"15","6","Q1TND1 A Nondurable goods","Q1TND10",1483214,1486388,1491003,1475250,1474043,1485648,1486524,1475912,1500622,1498733,1508606,1532576,1530492,1544434,1559623,1566827,1582016,1596990,1610581,1626023,1627989,1636187,1642243,1648046,1657509,1677040,1686542,1700679,1710843,1711408,1736157,1742953,1765424,1787155,1799734,1825457,1849213,1867867,1873670,1915730,1917190,1944003,1954966,1972705,1975217,1974652,1986511,2010345,2026760,2033400,2034977,2053125,2072519,2084164,2122991,2132455,2155276,2164292,2183997,2213147,2241518,2268429,2287609,2309554,2342754,2352412
"16","7","Q1TFD1 B   Food","Q1TFD10",777563,787444,789877,782605,779691,786528,786426,780653,789489,780635,783096,798472,795225,799647,806169,807594,810814,821869,825237,829456,826634,826468,827291,827976,830714,835312,834156,838652,844684,841881,848755,845665,852872,862697,869571,877065,878425,889018,894476,912387,916134,925580,927754,931178,937136,938255,940577,945000,950153,954501,954390,959506,969350,970303,985281,985762,999584,1003692,1010954,1029597,1043742,1058471,1074939,1085671,1103397,1109521
"17","8","Q1TCS1 B   Clothing and shoes","Q1TCS10",191033,188053,187749,185781,187847,190807,190021,186335,194186,197332,201420,203965,203066,206883,208619,210962,215454,215011,218628,224904,224070,225669,229771,230021,232132,237833,241641,243171,242918,240831,248467,251653,258262,263204,262132,268786,278903,282261,284672,284872,291272,296384,301103,302091,300531,301755,302874,309832,315878,316998,315709,324426,323887,332151,340845,340112,349841,345522,351068,357213,362792,371107,373870,383114,391095,387639
"18","9","Q1GFO1 B   Gasoline, fuel oil, and other energy goods","Q1GFO10",159566,158737,160483,155001,154382,156701,158616,157203,159476,163212,163832,164676,164115,166084,169082,168249,170496,169496,170182,168504,172740,174206,172311,172634,175273,176665,176590,176186,177163,179758,180478,181238,184908,185533,185194,189558,193179,193540,188891,195059,191551,190163,189062,195151,196428,188372,191072,197690,195932,197617,198674,197544,197165,196750,199289,200966,200989,200874,199991,200279,203003,200738,197778,196612,195978,196765
"19","10","Q1GAO1 B     Gasoline and oil","Q1GAO10",144010,141238,142014,140108,138636,140553,141155,140788,143428,144958,147539,147909,147272,149459,151419,150513,151266,152376,151958,151031,155171,155343,153831,153511,155812,158573,158377,158812,161010,162686,163251,164145,169310,168899,169125,173796,177049,176525,172297,179218,176719,174423,172975,178505,180413,173515,176051,183051,181330,182002,183162,181230,181591,181904,183878,185240,186032,186108,185277,186390,188681,186740,184240,183882,183905,183965
"20","11","Q1FUL1 B     Fuel oil and coal","Q1FUL10",15758,17644,18632,14951,15844,16266,17657,16569,16158,18482,16376,16881,16976,16731,17807,17890,19465,17246,18430,17604,17655,19094,18683,19377,19713,18219,18341,17456,16193,17127,17288,17150,15599,16651,16098,15792,16135,17062,16648,15788,14803,15744,16105,16651,16038,14875,15021,14693,14651,15638,15526,16317,15585,14895,15438,15750,15004,14810,14759,13969,14387,14071,13620,12845,12240,12946
"21","12","Q1TON1 B   Other","Q1TON10",362125,360185,361320,360303,359674,358672,358917,359828,364198,363654,365493,370837,373533,376800,381047,384723,389439,395072,400496,405825,407929,413253,415363,419983,422045,429377,435931,444436,448075,451602,460491,466379,471350,477222,484261,491753,500391,504270,505746,523991,518364,531894,537052,544123,540787,546041,551748,558398,564984,564648,566497,572172,582089,585670,598602,606462,606499,615249,623849,628394,634293,642184,646719,652389,662641,667985
"22","13","Q1TSS1 A Services","Q1TSS10",2813518,2849506,2872372,2871272,2868325,2896809,2908832,2925804,2960574,2987880,3016089,3038680,3053884,3065435,3099930,3123464,3151948,3167860,3185815,3200901,3221331,3251190,3273624,3293425,3326231,3345365,3366541,3385871,3417773,3446886,3485545,3521612,3562001,3601957,3642070,3653739,3696367,3738484,3782251,3815018,3871082,3908170,3949305,3986786,3997905,4015978,4027843,4051180,4069449,4095694,4108973,4127439,4143272,4161305,4190654,4220120,4268170,4308440,4341482,4377430,4395346,4419980,4454475,4476712,4494510,4532895
"23","14","Q1HOS1 B   Housing","Q1HOS10",796036,800062,804370,808224,811576,817876,823663,827116,829702,831393,833658,836194,836979,837925,843108,849046,859825,865462,873171,878858,882783,885862,888972,892545,895162,898574,902791,907894,913902,919337,925426,931223,939366,945767,952419,957814,969368,975165,981788,987887,995747,1003306,1009898,1016883,1024441,1031235,1036479,1042789,1044399,1043695,1040977,1039287,1042034,1046322,1054655,1064599,1076827,1087365,1096906,1105280,1112748,1120035,1126405,1131196,1137648,1144502
"24","15","Q1HOP1 B   Household operation","Q1HOP10",258725,267670,271029,268048,263593,273389,272562,269866,269941,276686,279104,283895,285416,286169,295590,297100,300541,305499,303818,303408,302628,310945,319348,318607,326971,328051,323616,330447,331160,336372,341120,352792,350229,358538,363489,356089,362787,371092,379932,373702,376339,388561,392540,402995,397596,389462,390250,386564,387968,395123,392408,397315,397471,397444,397963,402285,405043,407544,409046,415611,415904,416891,419392,419751,404263,410099
"25","16","Q1GEL1 B     Electricity and gas","Q1GEL10",111294,118519,120481,119310,117267,125481,122610,118981,116742,120554,120285,124112,125052,123171,129512,129398,129880,132591,127745,124870,123602,129801,135201,132009,138593,136480,129820,134057,130912,132808,132014,139184,133822,140242,141100,131549,135476,138515,143167,135416,133910,141959,143767,153563,148508,138841,138937,137287,139759,145825,144059,149809,148596,146670,145902,148824,150360,148814,147001,153213,153291,153172,153966,154711,141688,146739
"26","17","Q1HLU1 B     Other household operation","Q1HLU10",147910,149574,150966,149152,146750,148300,150361,151306,153629,156578,159273,160233,160811,163474,166537,168181,171167,173433,176555,178971,179420,181612,184670,187039,188910,192045,194167,196788,200614,203931,209435,213986,216683,218722,222770,224512,227343,232622,236929,238232,242440,246750,248855,249191,248793,251002,251558,249435,248297,249233,248255,247288,248663,250694,252061,253332,254512,258826,262422,262286,262506,263693,265426,264875,264799,264678
"27","18","Q1TOT1 B   Transportation","Q1TOT10",196294,196690,195874,193902,187946,186510,185095,185820,189228,192065,197496,198009,198286,200677,203560,207315,211931,216326,220514,224740,226928,229223,233411,237538,242268,245629,249008,253097,259429,261875,265143,266337,268431,271781,273263,274536,279251,281870,285458,287042,289897,291854,291560,291705,292917,291484,285892,281584,281919,280961,279106,278954,280670,279881,280687,281182,282551,284147,284072,285234,285758,284811,283611,283478,286297,287325
"28","19","Q1TMD1 B   Medical care","Q1TMD10",780778,793942,805165,810576,813061,818586,827426,838999,851505,861743,868910,872360,875717,875450,878089,879506,882556,885513,888296,892044,900094,904191,908524,912775,913576,920897,923546,931956,932644,939062,947276,952236,966436,968274,972423,975513,977957,983677,992456,1001800,1010733,1021977,1032091,1042451,1053541,1065657,1082692,1099080,1113527,1129864,1144352,1158810,1170454,1177375,1184203,1191041,1199112,1210767,1224197,1235092,1243378,1253800,1267467,1279029,1292624,1303436
"29","20","Q1REC1 B   Recreation","Q1REC10",167483,170445,171585,172875,170343,170512,171539,174056,180228,182474,184784,188378,191437,193765,197977,198369,200434,203377,206779,208592,212989,218110,221007,224645,225302,227564,230713,230957,234329,235966,235370,236942,241546,242718,246396,249140,251812,255960,260636,262868,264233,267640,270105,271082,274733,274127,274534,276187,278459,280133,281147,285056,285603,289208,292234,296237,300803,304143,306455,307783,311072,312515,313894,315064,317454,315866
"30","21","Q1OSR1 B   Other","Q1OSR10",616952,622930,626789,620839,625815,632853,632058,634366,644847,647941,656426,663624,669716,674985,684227,694689,699144,693790,695777,696032,698936,705321,704252,709389,724429,726198,738826,733179,747974,755702,772313,782623,796822,815334,834385,841168,855508,870936,882174,901859,934050,934873,953167,961671,954633,964206,957812,964622,962702,965511,970468,967564,966543,970440,980221,984061,1003075,1013641,1019771,1027395,1025380,1030630,1042199,1046531,1054922,1070218
"31",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","22","Q1NRG1 B   Energy goods and services","Q1NRG10",270531,277759,281549,274930,272225,283230,281897,276624,276306,283980,284271,289253,289755,289487,299360,298466,301010,303186,298339,293608,296132,304355,308606,305299,315021,313986,306628,310853,308338,312818,312590,321251,318566,326561,327274,319932,327692,331579,332510,330119,325262,332038,332885,348948,345114,327260,329962,334200,335309,343531,342563,347548,345928,343511,345118,349798,351412,349785,347143,353407,356340,353876,351398,350806,338020,343404
"33","23","Q1XEF1 B   Personal consumption expenditures excluding food and energy","Q1XEF10",3714507,3713356,3726781,3706507,3691822,3715384,3737521,3744205,3814671,3844150,3890068,3927492,3947986,3988259,4027656,4072533,4123985,4148588,4187272,4240149,4248971,4285628,4327710,4366943,4403436,4459819,4503326,4541627,4599216,4624421,4712038,4767544,4827982,4905845,4971379,5052310,5106337,5190008,5250447,5314501,5419761,5445898,5507541,5544582,5570391,5605185,5630171,5738500,5756801,5785897,5826390,5841348,5869622,5935650,6022663,6058937,6129183,6181731,6250717,6305128,6340086,6409401,6472579,6477565,6572743,6611044
"34",NA,"Real PCE by Major Type of Expenditure (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","24","Q1PCE1 A     Personal consumption expenditures","Q1PCE10",4757125,4772962,4792574,4758270,4738052,4779432,4800122,4795944,4874996,4903032,4951825,5009380,5027306,5071854,5127251,5172944,5230296,5267970,5305710,5358749,5367241,5411653,5458829,5496098,5544554,5604939,5640657,5687631,5749094,5775849,5870672,5931394,5996833,6092061,6165655,6248819,6311293,6409688,6476744,6556808,6661269,6703322,6767953,6824968,6853071,6870257,6900517,7017580,7042178,7083491,7123186,7148256,7184986,7249279,7352864,7394311,7479833,7534355,7607073,7687069,7739367,7819768,7895316,7910210,8003753,8054837
"36","25","Q1FTB1 C Food and tobacco","Q1FTB10",860970,870766,872412,864322,858521,865095,864985,859846,870927,862234,864392,879318,875835,880050,886594,888110,891904,903537,907251,911828,909057,909108,910172,911105,914156,919094,918041,922778,929061,926100,932996,929523,936619,946104,952377,959082,958932,968637,973415,990960,994975,1004249,1006216,1009378,1015531,1016484,1018522,1022537,1027123,1030887,1030165,1034591,1043735,1044086,1058379,1058329,1071558,1075171,1081936,1100003,1113663,1127805,1143614,1153701,1170834,1176525
"37","26","Q1FXA1 C   Food excluding alcoholic beverages","Q1FXA10",677652,685327,686095,677661,680437,688495,689034,684805,693402,686185,688095,701714,700432,704564,710483,712525,715064,725156,728144,732382,730218,729679,729801,730455,732627,737068,735803,740310,745486,742955,748393,745233,751414,760771,767050,773810,775655,784563,790222,805817,808258,816872,818660,822163,827715,828441,831397,835978,839807,843612,844665,849760,857835,858749,871217,871536,883015,885971,892430,908351,920892,932119,944432,953462,969220,973090
"38","27","Q1ALC1 C   Alcoholic beverages","Q1ALC10",99904,102179,103924,105224,99239,97967,97302,95767,96032,94407,94963,96719,94784,95071,95678,95075,95754,96721,97092,97076,96420,96796,97490,97519,98091,98253,98362,98345,99204,98932,100370,100448,101476,101935,102525,103262,102768,104455,104251,106562,107883,108709,109098,109015,109423,109812,109178,109019,110346,110881,109726,109746,111518,111559,114067,114220,116565,117717,118521,121240,122835,126341,130492,132193,134174,136421
"39","28","Q1TOB1 C   Tobacco products","Q1TOB10",89270,88446,86995,86106,81644,80860,80869,82113,85070,85706,85134,83845,83621,83172,82947,82990,83700,84049,84404,84743,84952,85281,85619,85958,86304,86586,86807,86947,87040,86934,86669,86235,85768,84928,83877,82662,80853,79780,79002,78539,78821,78661,78469,78219,78405,78241,77980,77616,77108,76600,76050,75472,74911,74369,73853,73369,72934,72508,72102,71711,71376,70966,70522,70042,69672,69346
"40","29","Q1CAJ1 C Clothing, accessories, and jewelry","Q1CAJ10",250981,247877,247818,244229,244297,247599,244765,239851,250811,255431,260774,264037,263374,268543,272421,274517,279844,279888,284734,293126,292249,295567,300513,302145,305821,312779,317320,319400,319460,317943,327069,332035,340740,347675,348044,356845,369682,374168,378534,381587,388859,395504,401816,401629,398704,398696,399343,407202,415610,418174,417126,427383,427360,436871,447680,449764,461557,457322,464514,472128,478424,488427,490098,500911,511331,506707
"41","30","Q1PCR1 C Personal care","Q1PCR10",68879,68190,68656,68357,68218,68181,68146,68480,70016,70463,71076,71727,71793,71995,72310,73107,73530,74433,75741,76685,78102,79046,79810,80104,80609,82333,83040,85220,86766,87285,89086,88843,88982,89433,90499,91180,91300,91196,91056,92782,92860,93337,93509,93781,92488,92824,92234,93091,94118,94343,93854,93786,95140,95822,98130,99192,100130,101346,102870,103644,104908,105392,105605,106890,108010,108473
"42","31","Q1HOS1 B Housing","Q1HOS10",796036,800062,804370,808224,811576,817876,823663,827116,829702,831393,833658,836194,836979,837925,843108,849046,859825,865462,873171,878858,882783,885862,888972,892545,895162,898574,902791,907894,913902,919337,925426,931223,939366,945767,952419,957814,969368,975165,981788,987887,995747,1003306,1009898,1016883,1024441,1031235,1036479,1042789,1044399,1043695,1040977,1039287,1042034,1046322,1054655,1064599,1076827,1087365,1096906,1105280,1112748,1120035,1126405,1131196,1137648,1144502
"43","32","Q1HHO1 C Household operation","Q1HHO10",481197,487167,489778,481700,478701,490440,489188,484542,489800,499143,503638,512694,516701,520239,533654,536517,543530,552262,556023,560648,558153,569690,580278,582939,589743,597849,595490,606848,607783,614184,624038,639071,638812,649084,657830,656305,669209,682156,696160,697865,703353,717214,722745,733800,729672,721278,722062,722249,732052,742158,738778,748970,751020,758831,771584,782157,790422,797622,805857,813892,818560,825177,835262,840347,836118,843166
"44","33","Q1MED1 C Medical care","Q1MED10",888926,901426,913841,919372,921724,926475,934236,945810,959054,969105,976890,980850,985431,985394,988903,992375,996274,1000794,1005046,1010382,1019959,1026075,1031521,1037844,1040329,1050856,1055985,1067449,1070203,1079158,1092194,1101392,1119180,1125089,1133471,1141232,1148335,1156888,1165757,1187870,1190441,1214138,1226321,1242464,1251309,1266088,1289809,1311276,1328576,1344427,1361167,1378772,1395195,1403760,1416772,1428286,1433001,1450618,1467138,1480236,1489154,1501289,1515092,1527605,1543175,1557954
"45","34","Q1PBU1 C Personal business","Q1PBU10",327168,329141,330774,332942,340613,350268,351163,353993,357988,355934,358543,363142,373201,378387,382894,389514,390388,382269,379352,378501,379924,385870,389466,392582,399466,401256,401860,406739,416081,420674,432238,436394,439796,451527,459484,464870,478924,490466,497900,513960,536537,531761,541966,546128,539357,534688,526618,530839,524354,524769,529971,527448,518769,524391,531146,539448,551562,557729,562376,570754,571983,575972,583175,587584,594949,603827
"46","35","Q1TRN1 C Transportation","Q1TRN10",609407,592800,588789,569603,546578,545204,554225,549906,568929,575543,586672,593269,589531,606326,610542,624129,638407,639508,641206,653760,645499,648511,658283,666118,675949,686387,689604,696508,718015,711281,734870,745597,744095,772532,780733,819794,809272,838467,840917,837571,870053,842333,847599,853727,865939,853479,854555,914175,884937,885082,907569,885918,887079,903482,918391,912315,917077,914875,919791,926951,922189,932455,937969,896466,915284,915583
"47","36","Q1USE1 C   User-operated transportation","Q1USE10",565502,549761,545467,525591,504095,501992,511327,506897,526504,533521,542213,551142,547293,563510,567137,579742,593213,593149,593911,605143,597269,600499,610176,616605,624956,634783,637434,643895,664414,657842,681171,692149,688982,716470,724463,763001,751611,780758,782496,778909,810644,782052,787854,794554,807032,794792,799491,861453,828837,828504,850856,828623,828591,844689,858421,852047,855770,852492,857492,863970,858747,869637,875583,835433,853436,853539
"48","37","Q1PLT1 C   Purchased local transportation","Q1PLT10",10738,10643,10835,11421,10862,10844,10833,10700,10752,10760,10576,10572,10497,10648,10859,11098,11033,11308,11238,11336,11371,11322,11170,11078,11004,10994,11005,10834,10841,10885,11024,11065,11616,11612,11928,12120,12039,12108,12053,12173,12186,12254,12226,12243,12163,12194,12100,11973,11847,11713,11620,11688,11654,11633,11529,11348,11404,11475,11657,11721,11635,11707,11935,11812,11989,12173
"49","38","Q1PIT1 C   Purchased intercity transportation","Q1PIT10",33082,32302,32362,32410,31424,32107,31839,32043,31510,31150,33706,31495,31669,32151,32516,33251,34105,34938,35912,37139,36726,36553,36819,38292,39889,40526,41094,41739,42711,42498,42609,42331,43378,44384,44279,44686,45583,45617,46376,46483,47199,48020,47516,46965,46827,46613,42826,40180,44109,44766,44852,45599,47014,47275,48678,49291,50416,51638,51246,51946,52710,51680,50743,49746,50286,50283
"50","39","Q1RCR1 C Recreation","Q1RCR10",274652,275987,276743,278775,277499,279162,283332,283572,290138,291866,298461,305964,313467,319758,326716,331759,337540,347058,354848,364190,369731,378470,388936,397148,400838,411510,419645,428196,435781,444263,451549,459643,471123,481010,495676,506869,520323,533976,548601,560849,574730,581922,590527,595669,603471,608789,612204,624410,637184,644465,649730,660015,663834,679496,700740,711886,726154,736966,751638,762732,782265,798583,809032,820893,844034,847871
"51","40","Q1TED1 C Education and research","Q1TED10",125034,125344,126118,125883,125976,126864,127514,128210,129644,130134,131248,131012,131482,131911,133259,133559,133863,134214,135093,135964,137166,138026,138712,139923,141266,142410,143712,143532,143568,144882,146400,147861,150088,151369,152158,153984,155334,156744,157939,159125,161586,163011,164573,165911,167819,169845,170430,172019,172369,172882,174618,174164,175939,176072,176763,175400,175186,174739,174365,174740,175448,175553,176457,176883,177757,178243
"52","41","Q1RAW1 C Religious and welfare activities","Q1RAW10",117069,120664,123822,123364,122091,122142,122999,123822,126801,130309,133792,134454,132047,132921,134133,134600,136716,139193,142472,144433,141809,141979,142362,143559,146760,149162,151339,152380,148714,148766,149625,150559,152999,156341,160062,161685,160501,160925,162404,164529,168175,171116,173430,176415,176908,179563,182895,185543,185927,188134,190596,191190,189474,189549,189249,189538,191998,193994,195208,196499,192770,192825,193596,193764,194777,197620
"53","42","Q1FTO1 C Foreign travel and other, net","Q1FTO10",-9981,-10801,-12833,-18916,-17031,-20329,-23183,-25264,-27314,-28206,-28579,-26981,-28344,-29614,-27603,-25292,-23874,-24588,-24723,-27626,-25815,-27307,-33875,-34930,-31236,-35062,-26700,-39528,-31296,-29899,-28003,-25272,-20447,-19771,-13768,-16978,-18399,-17511,-16865,-17845,-16055,-14483,-10598,-10956,-13081,-3404,-5865,-7347,-4207,-5101,-10333,-12242,-4139,-6106,-5196,-10591,-7396,-5916,-6280,-9251,-9821,-8657,-5409,-6060,-6946,-4141
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","  the Survey of Current Business monthly (NIPA table 2.8.5 and table B.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
