"","Table 3#15#6# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"46","28","General public service","W646RX1","179,491.0","182,539.0","189,007.0","199,528.0","195,332.0","192,477.0","193,598.0","193,210.0","191,964.0","191,182.0","199,598.0","193,373.0","184,194.0","183,104.0"
"47","29","Public order and safety","W650RX1","254,140.0","258,532.0","268,015.0","274,696.0","270,775.0","270,932.0","272,969.0","277,365.0","285,611.0","289,501.0","293,306.0","286,650.0","281,961.0","282,504.0"
"48","30","Economic affairs","W655RX1","290,820.0","301,025.0","315,849.0","321,588.0","321,771.0","315,152.0","304,526.0","302,263.0","300,487.0","296,512.0","304,055.0","296,586.0","284,370.0","284,114.0"
"49","31","  Transportation","W660RX1","237,498.0","245,528.0","257,481.0","260,980.0","260,966.0","256,046.0","245,515.0","241,569.0","235,477.0","232,450.0","238,661.0","235,964.0","226,375.0","224,933.0"
"50","32","  Other economic affairs","W665RX1","54,130.0","56,291.0","59,181.0","61,266.0","61,440.0","59,796.0","59,431.0","60,920.0","65,009.0","64,062.0","65,394.0","60,629.0","58,001.0","59,213.0"
"51","33","Housing and community services","W666RX1","50,051.0","48,115.0","51,965.0","56,047.0","56,767.0","55,947.0","54,486.0","59,943.0","58,749.0","57,935.0","58,761.0","59,781.0","52,005.0","47,925.0"
"52","34","Health (net)","W671RX1","56,009.0","53,804.0","51,479.0","59,872.0","63,928.0","66,332.0","72,068.0","70,675.0","77,866.0","79,392.0","80,912.0","77,584.0","73,015.0","75,121.0"
"53","35","  Gross expenditures","Y650RX1","193,093.0","197,413.0","206,758.0","216,226.0","217,569.0","220,546.0","222,637.0","225,358.0","236,657.0","241,741.0","248,080.0","248,372.0","249,265.0","254,447.0"
"54","36","  Less: Sales to other sectors","Y651RX1","136,860.0","143,526.0","155,588.0","156,314.0","153,594.0","154,203.0","150,590.0","154,725.0","158,763.0","162,329.0","167,168.0","170,773.0","176,270.0","179,339.0"
"55","37","Recreation and culture","W672RX1","32,829.0","34,891.0","36,943.0","38,435.0","36,809.0","36,236.0","36,268.0","35,795.0","37,146.0","37,008.0","38,056.0","36,350.0","34,295.0","33,711.0"
"56","38","Education","W673RX1","709,448.0","736,869.0","760,303.0","768,569.0","768,224.0","776,787.0","780,110.0","792,883.0","808,134.0","815,050.0","820,042.0","796,362.0","772,209.0","765,025.0"
"57","39","  Elementary and secondary","W674RX1","567,882.0","587,617.0","601,468.0","613,694.0","616,769.0","618,782.0","620,180.0","630,430.0","635,847.0","636,029.0","635,685.0","613,828.0","584,742.0","559,621.0"
"58","40","  Higher","W675RX1","115,135.0","121,056.0","128,788.0","124,964.0","121,820.0","128,087.0","129,830.0","132,978.0","142,733.0","149,413.0","153,593.0","152,393.0","158,472.0","177,187.0"
"59","41","  Libraries and other","W677RX1","27,026.0","28,574.0","29,886.0","30,372.0","30,398.0","30,339.0","30,459.0","29,823.0","29,687.0","29,633.0","30,764.0","30,163.0","29,266.0","29,372.0"
"60","42","Income security","W678RX1","72,728.0","75,658.0","81,079.0","86,047.0","84,270.0","80,764.0","78,977.0","77,053.0","76,289.0","75,955.0","76,675.0","74,051.0","72,488.0","71,405.0"
"61","43","Residual","W687RX1","-9,900.0","-11,600.0","-12,400.0","-10,600.0","-7,900.0","-4,600.0","-2,500.0","-1,500.0","-600.0","-300.0","0.0","0.0","-600.0","-1,200.0"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Note. Government consumption expenditures and gross investment is net of sales to other sectors.  Thus, growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","in the prices or quantities of sales to other sectors may partially, exactly, or more than offset the growth in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","the prices or quantities of gross consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","    The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
