"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","4","  Tax collection and financial management","G160041","4,423.0","5,081.0","5,459.0","5,956.0","6,306.0","7,180.0","8,276.0","8,287.0","9,464.0","10,238.0","10,473.0","11,061.0","11,580.0","13,415.0","16,292.0","16,432.0","20,606.0","21,582.0","22,026.0","24,350.0","25,830.0","26,914.0","28,627.0","31,204.0","29,899.0","31,169.0","32,066.0","31,480.0","33,818.0","34,440.0","37,841.0","36,696.0","40,835.0","40,879.0","41,128.0","42,480.0","43,301.0","44,013.0","45,434.0","52,315.0","51,833.0","53,559.0","48,859.0","52,782.0"
"23","5","  Interest payments \2\","G160051","34,026.0","41,023.0","44,644.0","48,721.0","55,456.0","62,196.0","69,194.0","76,448.0","84,476.0","100,119.0","114,937.0","133,135.0","162,719.0","186,861.0","206,469.0","237,010.0","261,000.0","276,026.0","285,842.0","302,990.0","331,969.0","350,867.0","371,908.0","380,527.0","383,674.0","392,604.0","428,946.0","432,339.0","435,822.0","427,002.0","409,967.0","405,829.0","396,672.0","387,040.0","407,826.0","416,561.0","456,221.0","492,445.0","529,756.0","514,996.0","542,374.0","572,705.0","615,507.0","631,556.0"
"24","6","  Other \3\","G160061","3,863.0","4,546.0","5,390.0","6,070.0","7,768.0","9,865.0","11,101.0","12,324.0","14,056.0","15,284.0","16,813.0","19,034.0","20,297.0","21,161.0","23,657.0","25,132.0","27,519.0","29,462.0","32,701.0","33,468.0","36,507.0","38,929.0","40,527.0","44,689.0","45,868.0","47,545.0","48,406.0","49,857.0","53,008.0","57,909.0","62,260.0","66,410.0","72,306.0","76,545.0","78,104.0","80,409.0","89,705.0","98,996.0","100,789.0","102,515.0","106,209.0","107,354.0","108,558.0","111,187.0"
"25","7","National defense","G160071","85,226.0","84,500.0","85,883.0","88,851.0","87,078.0","91,492.0","96,537.0","98,543.0","105,123.0","113,219.0","123,405.0","141,545.0","163,621.0","185,183.0","199,757.0","213,749.0","230,590.0","245,878.0","259,232.0","274,240.0","283,517.0","295,490.0","311,065.0","308,524.0","301,919.0","295,012.0","291,349.0","292,042.0","292,772.0","288,719.0","301,525.0","308,454.0","325,211.0","358,535.0","409,365.0","446,943.0","476,268.0","500,827.0","526,474.0","583,259.0","613,815.0","653,642.0","663,235.0","652,605.0"
"26","8","Public order and safety","G160081","10,323.0","11,823.0","13,651.0","15,369.0","17,079.0","19,397.0","22,106.0","23,877.0","26,130.0","28,920.0","32,068.0","35,616.0","39,938.0","44,422.0","48,494.0","52,642.0","58,319.0","63,366.0","68,747.0","75,764.0","84,908.0","94,298.0","103,175.0","113,314.0","122,119.0","130,965.0","140,089.0","149,175.0","157,182.0","167,390.0","182,272.0","197,545.0","214,369.0","229,223.0","237,802.0","253,044.0","266,517.0","282,130.0","301,128.0","322,035.0","329,270.0","332,227.0","335,312.0","340,766.0"
"27","9","  Police","G160091","5,119.0","5,807.0","6,756.0","7,699.0","8,485.0","9,494.0","10,724.0","11,452.0","12,511.0","13,698.0","14,945.0","16,331.0","18,171.0","19,974.0","21,636.0","23,200.0","25,486.0","27,239.0","29,015.0","31,618.0","34,740.0","37,991.0","41,620.0","45,803.0","49,954.0","52,602.0","55,543.0","59,765.0","64,067.0","67,998.0","73,409.0","79,195.0","85,524.0","92,762.0","98,363.0","106,572.0","112,116.0","118,378.0","127,287.0","138,075.0","141,964.0","145,627.0","147,743.0","149,585.0"
"28","10","  Fire","G160101","2,152.0","2,462.0","2,787.0","3,028.0","3,265.0","3,622.0","4,162.0","4,445.0","4,752.0","5,209.0","5,710.0","6,252.0","7,044.0","7,764.0","8,414.0","9,001.0","9,809.0","10,757.0","11,582.0","12,108.0","13,418.0","14,587.0","15,597.0","17,366.0","17,948.0","18,912.0","19,667.0","20,602.0","21,508.0","22,872.0","24,528.0","26,651.0","28,427.0","30,744.0","32,380.0","34,616.0","36,945.0","39,926.0","42,723.0","45,920.0","47,788.0","48,463.0","48,377.0","48,580.0"
"29","11","  Law courts","G160111","1,602.0","1,833.0","2,110.0","2,391.0","2,740.0","3,107.0","3,565.0","3,918.0","4,297.0","4,864.0","5,608.0","6,458.0","7,179.0","7,888.0","8,466.0","9,101.0","9,993.0","10,648.0","11,530.0","13,252.0","15,040.0","16,888.0","18,725.0","20,312.0","22,634.0","23,575.0","25,817.0","26,917.0","28,557.0","31,097.0","34,167.0","36,638.0","40,126.0","43,117.0","42,832.0","44,665.0","46,941.0","48,991.0","51,453.0","54,073.0","55,279.0","55,711.0","56,814.0","58,833.0"
"30","12","  Prisons","G160121","1,450.0","1,721.0","1,998.0","2,252.0","2,590.0","3,174.0","3,655.0","4,062.0","4,569.0","5,148.0","5,806.0","6,574.0","7,545.0","8,796.0","9,978.0","11,339.0","13,030.0","14,722.0","16,620.0","18,787.0","21,709.0","24,832.0","27,232.0","29,833.0","31,583.0","35,876.0","39,062.0","41,890.0","43,050.0","45,423.0","50,167.0","55,061.0","60,293.0","62,599.0","64,227.0","67,191.0","70,515.0","74,836.0","79,664.0","83,967.0","84,240.0","82,426.0","82,378.0","83,769.0"
"31","13","Economic affairs","G160131","26,186.0","28,047.0","30,872.0","34,631.0","35,049.0","37,421.0","44,078.0","46,378.0","51,372.0","59,061.0","62,288.0","71,792.0","81,486.0","86,739.0","98,410.0","96,576.0","103,771.0","113,840.0","117,853.0","112,772.0","119,091.0","125,740.0","129,585.0","139,143.0","147,132.0","147,825.0","151,632.0","154,928.0","162,729.0","170,638.0","189,800.0","203,816.0","226,053.0","215,651.0","228,937.0","232,543.0","254,143.0","259,229.0","271,315.0","289,856.0","304,121.0","315,993.0","315,295.0","319,553.0"
"32","14","  Transportation","G160181","11,340.0","12,703.0","14,018.0","15,130.0","16,685.0","19,818.0","22,702.0","23,655.0","25,371.0","27,570.0","30,352.0","34,339.0","37,583.0","40,594.0","42,561.0","44,292.0","46,683.0","48,273.0","49,844.0","52,362.0","54,394.0","57,641.0","61,252.0","64,446.0","66,728.0","70,454.0","72,330.0","75,024.0","79,410.0","82,582.0","87,333.0","92,749.0","103,909.0","106,624.0","114,665.0","117,099.0","125,707.0","134,304.0","143,770.0","154,760.0","157,785.0","161,287.0","167,258.0","173,841.0"
"33","15","    Highways","G160191","9,109.0","10,104.0","10,993.0","11,761.0","12,984.0","15,668.0","17,552.0","18,053.0","18,857.0","20,526.0","22,429.0","25,378.0","28,520.0","31,167.0","32,241.0","33,453.0","35,664.0","37,962.0","39,479.0","40,948.0","42,689.0","45,486.0","48,044.0","50,161.0","52,310.0","55,445.0","58,012.0","60,475.0","62,981.0","66,036.0","70,916.0","75,362.0","79,718.0","83,348.0","86,001.0","90,344.0","98,081.0","105,385.0","115,063.0","122,904.0","124,288.0","125,272.0","130,554.0","136,333.0"
"34","16","    Air","G160201","1,027.0","1,297.0","1,492.0","1,522.0","1,626.0","1,808.0","1,910.0","2,047.0","2,198.0","2,317.0","2,393.0","2,558.0","2,691.0","2,650.0","3,430.0","3,644.0","4,076.0","4,113.0","3,986.0","4,484.0","4,834.0","5,094.0","5,422.0","6,118.0","6,060.0","5,966.0","5,749.0","6,147.0","8,099.0","8,335.0","8,379.0","8,566.0","14,746.0","14,062.0","18,009.0","15,173.0","15,545.0","16,586.0","16,816.0","18,304.0","18,934.0","19,679.0","20,210.0","21,382.0"
"35","17","    Water","G160211","1,146.0","1,227.0","1,383.0","1,531.0","1,687.0","1,881.0","2,011.0","2,087.0","2,329.0","2,594.0","2,980.0","3,301.0","3,605.0","3,892.0","4,404.0","4,701.0","4,737.0","4,417.0","4,552.0","4,897.0","4,979.0","5,346.0","5,973.0","5,954.0","6,101.0","6,233.0","6,038.0","6,104.0","6,021.0","6,448.0","6,567.0","7,180.0","7,619.0","7,108.0","8,686.0","9,395.0","9,775.0","10,213.0","9,919.0","11,358.0","11,893.0","12,985.0","13,469.0","13,442.0"
"36","18","    Transit and railroad","G160221","58.0","75.0","150.0","316.0","388.0","461.0","1,229.0","1,468.0","1,987.0","2,133.0","2,550.0","3,102.0","2,767.0","2,885.0","2,486.0","2,494.0","2,206.0","1,781.0","1,827.0","2,033.0","1,892.0","1,715.0","1,813.0","2,213.0","2,257.0","2,810.0","2,531.0","2,298.0","2,309.0","1,763.0","1,471.0","1,641.0","1,826.0","2,106.0","1,969.0","2,188.0","2,307.0","2,120.0","1,972.0","2,194.0","2,670.0","3,351.0","3,025.0","2,684.0"
"37","19","  Space","G160241","1,758.0","2,181.0","2,556.0","2,631.0","2,552.0","3,223.0","3,589.0","3,387.0","3,383.0","3,455.0","3,805.0","4,713.0","5,412.0","6,070.0","7,048.0","7,335.0","7,607.0","7,252.0","7,806.0","8,909.0","10,409.0","11,599.0","12,015.0","12,109.0","12,814.0","12,460.0","12,701.0","13,467.0","14,303.0","13,864.0","13,568.0","13,791.0","14,441.0","13,836.0","14,296.0","15,622.0","15,700.0","15,714.0","17,916.0","19,918.0","21,167.0","20,583.0","19,623.0","17,172.0"
"38","20","  Other economic affairs","W690RC1","13,089.0","13,163.0","14,298.0","16,869.0","15,812.0","14,380.0","17,787.0","19,336.0","22,618.0","28,036.0","28,131.0","32,741.0","38,491.0","40,075.0","48,801.0","44,949.0","49,481.0","58,315.0","60,203.0","51,501.0","54,288.0","56,500.0","56,318.0","62,588.0","67,591.0","64,911.0","66,600.0","66,438.0","69,016.0","74,192.0","88,899.0","97,276.0","107,703.0","95,190.0","99,976.0","99,821.0","112,735.0","109,211.0","109,629.0","115,178.0","125,168.0","134,123.0","128,414.0","128,540.0"
"39","21","    General economic and labor affairs","G160141","4,448.0","4,763.0","5,898.0","6,659.0","7,178.0","6,985.0","7,644.0","8,868.0","9,595.0","11,426.0","12,429.0","14,541.0","14,009.0","13,728.0","13,164.0","13,492.0","15,011.0","15,730.0","17,184.0","17,869.0","20,212.0","23,730.0","21,598.0","24,138.0","21,525.0","21,777.0","23,473.0","24,499.0","25,395.0","26,015.0","27,579.0","32,111.0","33,104.0","26,458.0","26,756.0","26,687.0","29,274.0","29,866.0","31,454.0","34,603.0","43,591.0","42,041.0","45,885.0","43,274.0"
"40","22","    Agriculture","G160151","6,823.0","6,066.0","5,709.0","7,044.0","5,522.0","3,182.0","4,376.0","4,328.0","5,587.0","7,377.0","6,065.0","8,044.0","8,806.0","12,706.0","20,343.0","15,931.0","19,292.0","28,140.0","27,556.0","18,144.0","18,963.0","16,884.0","17,719.0","19,716.0","23,730.0","17,431.0","16,379.0","16,570.0","18,342.0","22,375.0","33,450.0","35,938.0","36,689.0","27,920.0","31,085.0","27,379.0","38,573.0","32,171.0","26,475.0","27,742.0","27,134.0","30,714.0","26,485.0","27,091.0"
"41","23","    Energy","G160161","453.0","461.0","590.0","743.0","699.0","1,439.0","2,309.0","2,734.0","3,744.0","5,227.0","4,491.0","4,454.0","8,652.0","6,101.0","6,802.0","6,815.0","6,244.0","5,205.0","5,507.0","5,479.0","4,827.0","4,963.0","4,661.0","5,657.0","9,910.0","9,905.0","11,184.0","9,068.0","8,743.0","8,085.0","9,681.0","8,594.0","15,804.0","12,758.0","14,745.0","16,334.0","14,083.0","14,744.0","14,774.0","16,345.0","17,125.0","22,527.0","17,342.0","18,354.0"
"42","24","    Natural resources","G160171","1,358.0","1,884.0","2,133.0","2,439.0","2,410.0","2,771.0","3,467.0","3,436.0","3,704.0","4,004.0","5,164.0","5,731.0","7,054.0","7,551.0","8,587.0","8,725.0","9,459.0","9,474.0","9,817.0","10,551.0","10,825.0","11,600.0","12,871.0","13,380.0","12,488.0","15,865.0","15,561.0","16,285.0","16,518.0","17,683.0","18,136.0","20,593.0","22,075.0","28,020.0","27,220.0","29,103.0","30,513.0","32,339.0","36,986.0","36,541.0","37,396.0","38,909.0","38,750.0","39,853.0"
"43","25","    Postal service","G160231","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-72.0","-11.0","-550.0","-271.0","133.0","-527.0","-542.0","-671.0","-523.0","-304.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-4.0","0.0","-11.0","-3.0","2.0","2.0","-6.0","-9.0","-14.0","-3.0","4.0","8.0"
"44","26","    Other \4\","G160251","8.0","-11.0","-33.0","-15.0","3.0","3.0","-9.0","-30.0","-12.0","3.0","-18.0","-29.0","-30.0","-12.0","-24.0","-3.0","25.0","37.0","6.0","-15.0","4.0","-7.0","-8.0","1.0","-62.0","-67.0","3.0","16.0","19.0","35.0","54.0","40.0","34.0","34.0","180.0","321.0","290.0","88.0","-54.0","-44.0","-64.0","-66.0","-52.0","-40.0"
"45","27","Housing and community services","G160261","1,600.0","2,078.0","2,765.0","3,290.0","3,672.0","4,289.0","4,792.0","5,146.0","5,695.0","6,533.0","7,549.0","8,770.0","10,289.0","12,149.0","13,021.0","13,730.0","15,156.0","15,592.0","16,010.0","17,724.0","19,585.0","21,454.0","23,454.0","25,131.0","27,820.0","28,575.0","31,003.0","32,085.0","31,054.0","29,659.0","29,780.0","28,097.0","30,171.0","34,530.0","36,911.0","38,820.0","43,145.0","41,605.0","48,937.0","44,988.0","46,054.0","46,093.0","46,927.0","45,351.0"
"46","28","Health","G160271","21,127.0","24,222.0","27,631.0","31,479.0","36,058.0","42,280.0","50,222.0","55,614.0","62,468.0","70,300.0","78,697.0","91,964.0","105,707.0","117,245.0","129,642.0","142,422.0","153,784.0","165,137.0","178,498.0","193,281.0","217,427.0","245,155.0","282,117.0","319,275.0","347,553.0","374,203.0","403,449.0","428,717.0","447,241.0","456,162.0","475,803.0","505,891.0","569,218.0","622,037.0","660,902.0","718,858.0","774,577.0","842,741.0","910,300.0","975,193.0","1,049,625.0","1,101,504.0","1,138,351.0","1,186,097.0"
"47","29","Recreation and culture","G160281","1,723.0","1,915.0","2,177.0","2,417.0","2,675.0","3,172.0","3,547.0","3,839.0","4,102.0","4,635.0","5,012.0","5,489.0","6,020.0","6,322.0","6,674.0","7,715.0","8,064.0","8,723.0","8,931.0","9,596.0","10,619.0","11,673.0","12,627.0","13,519.0","13,911.0","14,847.0","15,506.0","15,961.0","16,644.0","17,678.0","18,780.0","20,520.0","22,349.0","24,552.0","25,215.0","26,636.0","28,244.0","30,281.0","31,960.0","33,632.0","33,845.0","33,964.0","33,467.0","33,763.0"
"48","30","Education","G160291","42,395.0","49,472.0","56,565.0","63,098.0","68,637.0","76,763.0","89,870.0","96,494.0","103,109.0","110,327.0","120,932.0","131,832.0","143,177.0","151,870.0","161,172.0","173,475.0","187,684.0","202,022.0","216,390.0","232,028.0","254,518.0","275,993.0","291,948.0","309,894.0","327,573.0","344,124.0","364,560.0","380,942.0","401,049.0","426,685.0","455,260.0","491,130.0","528,378.0","547,426.0","570,693.0","606,403.0","637,272.0","671,536.0","714,336.0","755,445.0","780,577.0","813,021.0","812,030.0","811,610.0"
"49","31","  Elementary and secondary","G160301","32,827.0","37,499.0","42,417.0","46,949.0","50,788.0","56,082.0","63,743.0","69,100.0","74,573.0","80,110.0","88,349.0","95,794.0","102,925.0","109,935.0","117,326.0","127,806.0","138,167.0","150,541.0","162,975.0","174,780.0","190,009.0","206,740.0","219,590.0","233,681.0","244,130.0","255,481.0","271,127.0","285,135.0","300,903.0","319,554.0","341,994.0","368,457.0","392,622.0","409,691.0","433,790.0","458,826.0","481,492.0","509,165.0","537,656.0","563,662.0","573,895.0","583,853.0","571,467.0","553,116.0"
"50","32","  Higher","G160311","6,048.0","7,423.0","8,589.0","9,541.0","10,462.0","12,254.0","15,280.0","16,920.0","18,769.0","20,240.0","22,554.0","25,768.0","29,247.0","30,737.0","32,424.0","33,660.0","36,639.0","37,953.0","39,256.0","42,418.0","48,062.0","51,426.0","53,009.0","55,352.0","60,779.0","63,854.0","66,338.0","67,565.0","71,116.0","76,540.0","80,618.0","86,550.0","96,311.0","93,448.0","90,222.0","97,500.0","102,184.0","107,335.0","119,475.0","131,194.0","141,998.0","154,593.0","160,713.0","175,922.0"
"51","33","  Libraries and other","W691RC1","3,519.0","4,550.0","5,559.0","6,608.0","7,387.0","8,427.0","10,847.0","10,474.0","9,768.0","9,977.0","10,029.0","10,271.0","11,004.0","11,198.0","11,422.0","12,009.0","12,878.0","13,528.0","14,159.0","14,829.0","16,447.0","17,827.0","19,350.0","20,861.0","22,664.0","24,789.0","27,095.0","28,241.0","29,024.0","30,567.0","32,649.0","36,123.0","39,446.0","44,286.0","46,681.0","50,077.0","53,596.0","55,036.0","57,206.0","60,589.0","64,685.0","74,574.0","79,850.0","82,572.0"
"52","34","    Libraries","G160321","593.0","665.0","738.0","820.0","893.0","998.0","1,121.0","1,183.0","1,266.0","1,376.0","1,507.0","1,651.0","1,819.0","2,013.0","2,150.0","2,357.0","2,623.0","2,852.0","3,059.0","3,303.0","3,619.0","3,927.0","4,233.0","4,529.0","4,628.0","4,906.0","5,176.0","5,528.0","5,919.0","6,238.0","6,691.0","7,209.0","7,731.0","8,091.0","8,457.0","9,136.0","9,594.0","10,036.0","10,699.0","11,466.0","11,713.0","11,561.0","11,410.0","11,499.0"
"53","35","    Other","G160331","2,926.0","3,885.0","4,821.0","5,788.0","6,494.0","7,429.0","9,726.0","9,290.0","8,502.0","8,601.0","8,522.0","8,620.0","9,185.0","9,185.0","9,271.0","9,652.0","10,255.0","10,677.0","11,100.0","11,526.0","12,828.0","13,900.0","15,117.0","16,332.0","18,035.0","19,883.0","21,920.0","22,713.0","23,105.0","24,329.0","25,957.0","28,913.0","31,715.0","36,195.0","38,224.0","40,941.0","44,001.0","45,000.0","46,507.0","49,124.0","52,972.0","63,013.0","68,440.0","71,072.0"
"54","36","Income security","G160341","47,524.0","58,665.0","69,885.0","77,369.0","88,575.0","104,652.0","132,083.0","142,487.0","151,563.0","160,080.0","178,348.0","212,671.0","238,171.0","265,103.0","282,627.0","284,408.0","299,095.0","314,651.0","324,034.0","342,862.0","367,166.0","401,069.0","444,130.0","491,756.0","511,451.0","527,932.0","546,830.0","564,569.0","577,581.0","595,083.0","620,127.0","653,016.0","696,501.0","762,874.0","802,022.0","830,656.0","874,048.0","915,988.0","959,591.0","1,060,098.0","1,233,993.0","1,301,540.0","1,290,138.0","1,313,210.0"
"55","37","  Disability","G160351","8,975.0","10,090.0","11,631.0","13,195.0","15,256.0","17,265.0","19,584.0","22,134.0","24,716.0","26,594.0","29,913.0","32,827.0","36,223.0","37,866.0","38,985.0","39,888.0","41,665.0","43,204.0","45,018.0","47,388.0","49,926.0","53,996.0","58,765.0","63,671.0","69,503.0","71,439.0","74,711.0","79,988.0","82,743.0","85,245.0","87,475.0","93,175.0","103,662.0","115,354.0","123,346.0","134,658.0","145,615.0","153,555.0","161,838.0","169,849.0","186,407.0","199,111.0","208,620.0","223,244.0"
"56","38","  Retirement \5\","G160361","25,814.0","30,737.0","35,626.0","39,560.0","48,524.0","54,560.0","61,924.0","69,300.0","76,864.0","84,407.0","94,935.0","109,788.0","129,046.0","144,624.0","155,525.0","163,937.0","173,501.0","183,245.0","190,173.0","202,272.0","214,956.0","230,182.0","247,891.0","262,448.0","273,528.0","286,365.0","299,568.0","309,562.0","322,668.0","334,120.0","343,051.0","361,527.0","378,412.0","394,691.0","408,415.0","422,544.0","441,465.0","467,808.0","495,421.0","521,090.0","581,365.0","600,339.0","619,520.0","646,912.0"
"57","39","  Welfare and social services","G160371","10,171.0","13,382.0","16,321.0","18,342.0","19,666.0","25,137.0","30,318.0","32,900.0","34,885.0","36,929.0","41,216.0","48,595.0","52,857.0","54,101.0","58,536.0","61,422.0","64,673.0","67,921.0","70,400.0","74,786.0","80,806.0","90,716.0","102,118.0","113,881.0","120,620.0","127,040.0","129,755.0","129,275.0","127,415.0","130,564.0","136,220.0","142,008.0","151,107.0","162,590.0","175,532.0","178,410.0","190,550.0","192,929.0","201,307.0","231,684.0","248,128.0","264,048.0","267,838.0","272,939.0"
