"","Table 2#5#5# Personal Consumption Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"21","3","  Food and beverages purchased for off-premises consumption","DFXARC1","95,371.0","103,506.0","107,125.0","114,472.0","126,715.0","143,038.0","156,566.0","167,297.0","179,770.0","196,112.0","218,370.0","239,167.0","255,339.0","267,141.0","277,036.0","291,102.0","302,953.0","316,415.0","324,312.0","342,807.0","365,388.0","391,176.0","402,953.0","404,465.0","413,472.0","432,109.0","443,747.0","461,879.0","474,776.0","487,437.0","515,530.0","540,579.0","564,003.0","575,052.0","599,581.0","632,604.0","668,217.0","700,260.0","737,331.0","772,884.0","769,958.0","788,899.0","832,986.0","863,264.0"
"22","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRC1","83,626.0","90,403.0","92,596.0","98,682.0","109,591.0","124,183.0","136,203.0","145,643.0","156,544.0","171,120.0","190,251.0","207,982.0","221,683.0","231,345.0","239,182.0","252,733.0","262,331.0","273,849.0","281,807.0","298,998.0","319,460.0","341,238.0","351,488.0","354,596.0","362,392.0","378,285.0","388,268.0","402,756.0","412,764.0","422,087.0","444,945.0","463,125.0","482,228.0","490,397.0","513,578.0","542,995.0","575,282.0","601,564.0","634,713.0","667,741.0","663,426.0","675,912.0","715,442.0","740,913.0"
"23","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRC1","11,014.0","12,327.0","13,785.0","14,901.0","16,009.0","17,665.0","19,234.0","20,469.0","22,065.0","23,777.0","26,773.0","29,952.0","32,442.0","34,667.0","36,805.0","37,352.0","39,696.0","41,670.0","41,762.0","43,077.0","45,256.0","49,298.0","50,858.0","49,294.0","50,537.0","53,313.0","55,000.0","58,676.0","61,598.0","64,968.0","70,235.0","77,136.0","81,489.0","84,374.0","85,728.0","89,269.0","92,551.0","98,231.0","102,215.0","104,723.0","106,138.0","112,592.0","117,171.0","121,800.0"
"24","6","    Food produced and consumed on farms","DFFDRC1","731.0","776.0","744.0","889.0","1,115.0","1,190.0","1,129.0","1,185.0","1,161.0","1,215.0","1,346.0","1,233.0","1,214.0","1,129.0","1,049.0","1,017.0","926.0","896.0","743.0","732.0","672.0","640.0","607.0","575.0","543.0","511.0","479.0","447.0","414.0","382.0","350.0","318.0","286.0","281.0","275.0","340.0","384.0","465.0","403.0","420.0","394.0","395.0","373.0","551.0"
"25","7","  Clothing, footwear, and related services","DCAFRC1","48,810.0","49,944.0","53,385.0","57,972.0","63,667.0","66,877.0","71,433.0","76,914.0","84,296.0","94,638.0","101,939.0","108,834.0","119,142.0","122,670.0","132,909.0","144,695.0","154,309.0","165,110.0","176,369.0","188,078.0","201,188.0","206,534.0","210,118.0","223,025.0","231,122.0","240,072.0","244,705.0","253,502.0","262,011.0","273,082.0","287,191.0","297,541.0","294,642.0","295,169.0","301,463.0","313,500.0","326,573.0","336,346.0","339,726.0","335,351.0","321,608.0","335,798.0","353,958.0","370,814.0"
"26","8","    Clothing","DCLTRC1","40,729.0","41,873.0","44,937.0","48,737.0","53,475.0","56,646.0","60,709.0","65,466.0","71,701.0","80,152.0","85,543.0","91,053.0","99,368.0","103,073.0","112,112.0","122,678.0","130,953.0","140,197.0","149,864.0","159,923.0","170,248.0","174,397.0","178,168.0","189,484.0","196,280.0","203,177.0","206,611.0","213,524.0","220,822.0","229,633.0","241,535.0","250,621.0","248,089.0","248,851.0","253,348.0","262,709.0","271,488.0","277,178.0","278,494.0","274,174.0","263,090.0","274,284.0","288,700.0","302,242.0"
"27","9","      Garments","DGARRC1","35,477.0","36,617.0","39,637.0","43,168.0","47,808.0","50,826.0","54,905.0","59,203.0","65,063.0","73,082.0","78,224.0","83,275.0","91,390.0","94,941.0","103,338.0","113,149.0","120,984.0","129,527.0","138,166.0","146,880.0","156,207.0","159,977.0","163,962.0","174,421.0","180,888.0","187,271.0","190,094.0","196,380.0","203,240.0","211,129.0","221,908.0","230,024.0","227,216.0","228,008.0","232,717.0","242,320.0","251,385.0","257,008.0","258,720.0","254,689.0","244,349.0","255,328.0","269,314.0","282,156.0"
"28","10","        Women's and girls' clothing","DWGCRC1","21,299.0","21,939.0","24,019.0","25,761.0","28,305.0","29,859.0","32,158.0","34,493.0","37,532.0","42,476.0","45,544.0","48,470.0","53,260.0","55,319.0","60,745.0","66,992.0","72,201.0","77,933.0","83,096.0","87,550.0","92,654.0","94,545.0","96,473.0","103,175.0","106,397.0","108,421.0","108,922.0","111,410.0","113,922.0","118,968.0","126,520.0","132,721.0","132,134.0","133,306.0","136,799.0","143,726.0","149,644.0","153,674.0","155,776.0","152,093.0","145,820.0","152,766.0","161,074.0","169,501.0"
"29","11","        Men's and boys' clothing","DMBCRC1","13,390.0","13,724.0","14,747.0","16,331.0","18,175.0","19,303.0","20,874.0","22,549.0","25,065.0","27,601.0","29,236.0","30,894.0","33,548.0","34,524.0","37,092.0","40,190.0","42,459.0","44,884.0","48,049.0","51,723.0","55,584.0","57,381.0","59,392.0","63,009.0","66,065.0","70,095.0","72,209.0","75,838.0","79,957.0","82,193.0","84,621.0","85,874.0","83,203.0","82,445.0","82,837.0","84,508.0","86,299.0","86,668.0","85,315.0","84,736.0","81,471.0","84,850.0","89,734.0","93,479.0"
"30","12","        Children's and infants' clothing","DCICRC1","788.0","954.0","871.0","1,076.0","1,328.0","1,664.0","1,873.0","2,161.0","2,466.0","3,005.0","3,444.0","3,911.0","4,582.0","5,098.0","5,501.0","5,967.0","6,324.0","6,710.0","7,021.0","7,607.0","7,969.0","8,051.0","8,097.0","8,237.0","8,426.0","8,755.0","8,963.0","9,132.0","9,361.0","9,968.0","10,767.0","11,429.0","11,879.0","12,257.0","13,081.0","14,086.0","15,442.0","16,666.0","17,629.0","17,860.0","17,058.0","17,712.0","18,506.0","19,176.0"
"31","13","      Other clothing materials","DOCMRC1","1,053.0","1,055.0","1,263.0","1,458.0","1,613.0","1,738.0","1,619.0","1,933.0","2,031.0","2,132.0","2,147.0","2,360.0","2,441.0","2,615.0","2,742.0","2,898.0","2,950.0","3,210.0","3,533.0","3,705.0","3,820.0","3,752.0","3,809.0","3,910.0","3,934.0","3,806.0","3,570.0","3,666.0","3,524.0","3,693.0","4,017.0","4,358.0","4,560.0","4,975.0","4,958.0","4,812.0","4,631.0","4,481.0","4,193.0","4,092.0","4,075.0","4,161.0","4,195.0","4,402.0"
"32","14","      Cleaning, repair, and rental of clothing","DCRCRC1","4,199.0","4,201.0","4,037.0","4,111.0","4,054.0","4,082.0","4,185.0","4,330.0","4,607.0","4,938.0","5,172.0","5,418.0","5,537.0","5,517.0","6,032.0","6,631.0","7,019.0","7,460.0","8,165.0","9,338.0","10,221.0","10,668.0","10,397.0","11,153.0","11,458.0","12,100.0","12,947.0","13,478.0","14,058.0","14,811.0","15,610.0","16,239.0","16,313.0","15,868.0","15,673.0","15,577.0","15,472.0","15,689.0","15,581.0","15,393.0","14,666.0","14,795.0","15,191.0","15,684.0"
"33","15","        Laundry and dry cleaning services","DDRYRC1","2,555.0","2,526.0","2,396.0","2,421.0","2,123.0","2,099.0","2,112.0","2,142.0","2,277.0","2,538.0","2,686.0","2,850.0","2,845.0","2,653.0","2,987.0","3,271.0","3,373.0","3,569.0","4,052.0","4,585.0","4,960.0","4,858.0","5,270.0","6,683.0","7,004.0","7,593.0","8,191.0","8,701.0","9,157.0","9,713.0","10,414.0","11,045.0","11,228.0","11,299.0","11,226.0","11,203.0","11,190.0","11,488.0","11,482.0","11,318.0","10,892.0","11,006.0","11,224.0","11,639.0"
"34","16","        Clothing repair, rental, and alterations","DLGRRC1","1,644.0","1,675.0","1,641.0","1,690.0","1,931.0","1,983.0","2,073.0","2,188.0","2,330.0","2,400.0","2,486.0","2,568.0","2,692.0","2,864.0","3,045.0","3,360.0","3,646.0","3,891.0","4,113.0","4,753.0","5,261.0","5,810.0","5,127.0","4,470.0","4,454.0","4,507.0","4,756.0","4,777.0","4,901.0","5,098.0","5,196.0","5,194.0","5,085.0","4,569.0","4,447.0","4,374.0","4,282.0","4,201.0","4,099.0","4,075.0","3,774.0","3,789.0","3,967.0","4,045.0"
"35","17","    Footwear \2\","DFTWRC1","8,081.0","8,071.0","8,448.0","9,235.0","10,192.0","10,231.0","10,724.0","11,448.0","12,595.0","14,486.0","16,396.0","17,781.0","19,774.0","19,597.0","20,797.0","22,017.0","23,356.0","24,913.0","26,505.0","28,155.0","30,940.0","32,137.0","31,950.0","33,541.0","34,842.0","36,895.0","38,094.0","39,978.0","41,189.0","43,449.0","45,656.0","46,920.0","46,553.0","46,318.0","48,115.0","50,791.0","55,085.0","59,168.0","61,232.0","61,177.0","58,518.0","61,514.0","65,258.0","68,572.0"
"36","18","  Housing, utilities, and fuels","DHUFRC1","105,490.0","113,786.0","124,478.0","136,172.0","149,680.0","166,298.0","184,844.0","204,630.0","228,689.0","255,630.0","287,548.0","327,662.0","367,595.0","401,724.0","434,602.0","471,142.0","513,936.0","548,115.0","582,573.0","625,892.0","666,891.0","709,298.0","747,524.0","783,255.0","827,304.0","876,082.0","926,674.0","976,690.0","1,023,056.0","1,077,040.0","1,135,488.0","1,214,463.0","1,302,992.0","1,347,873.0","1,411,556.0","1,488,440.0","1,605,961.0","1,706,098.0","1,783,811.0","1,869,894.0","1,905,264.0","1,935,142.0","1,990,286.0","2,040,554.0"
"37","19","    Housing","DHSGRC1","84,207.0","91,040.0","99,725.0","108,730.0","118,990.0","130,045.0","142,420.0","156,034.0","173,353.0","194,495.0","218,026.0","246,551.0","277,949.0","303,011.0","327,228.0","357,682.0","394,623.0","430,519.0","461,501.0","497,330.0","531,037.0","570,621.0","601,495.0","634,457.0","666,385.0","709,460.0","756,072.0","795,427.0","839,196.0","894,167.0","948,579.0","1,010,487.0","1,085,509.0","1,133,336.0","1,177,145.0","1,242,248.0","1,332,487.0","1,416,172.0","1,480,001.0","1,543,692.0","1,591,571.0","1,609,675.0","1,659,983.0","1,719,881.0"
"38","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRC1","24,042.0","25,962.0","28,395.0","30,791.0","33,696.0","35,817.0","38,983.0","42,569.0","47,016.0","51,117.0","55,676.0","62,468.0","71,097.0","78,908.0","85,696.0","94,548.0","108,430.0","119,848.0","126,866.0","133,874.0","140,120.0","150,832.0","157,682.0","164,023.0","169,140.0","176,092.0","186,587.0","192,003.0","199,248.0","208,954.0","218,167.0","227,926.0","242,254.0","249,635.0","248,669.0","256,024.0","268,346.0","286,759.0","315,958.0","336,427.0","359,679.0","372,623.0","402,256.0","430,413.0"
"39","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRC1","56,627.0","61,300.0","67,344.0","73,716.0","80,980.0","89,677.0","98,778.0","108,670.0","121,336.0","138,123.0","156,871.0","178,387.0","200,995.0","218,426.0","235,901.0","257,440.0","280,603.0","305,241.0","329,147.0","357,477.0","384,442.0","412,808.0","436,345.0","462,602.0","488,510.0","523,673.0","559,360.0","592,870.0","629,509.0","674,320.0","718,919.0","768,887.0","829,184.0","869,184.0","913,250.0","968,464.0","1,044,314.0","1,108,796.0","1,142,269.0","1,185,472.0","1,209,860.0","1,214,483.0","1,233,825.0","1,263,690.0"
"40","22","      Rental value of farm dwellings","DFARRC1","3,046.0","3,268.0","3,475.0","3,713.0","3,784.0","3,961.0","3,998.0","4,115.0","4,369.0","4,684.0","4,924.0","5,170.0","5,345.0","5,148.0","5,171.0","5,201.0","5,114.0","4,983.0","5,041.0","5,474.0","5,907.0","6,341.0","6,774.0","7,207.0","8,067.0","9,021.0","9,404.0","9,759.0","9,636.0","10,023.0","10,591.0","12,746.0","13,142.0","13,640.0","14,286.0","16,793.0","18,829.0","19,539.0","20,567.0","20,526.0","20,713.0","21,225.0","22,444.0","24,090.0"
"41","23","      Group housing","DGRHRC1","492.0","510.0","511.0","510.0","530.0","590.0","661.0","680.0","632.0","571.0","555.0","526.0","512.0","529.0","460.0","493.0","476.0","447.0","447.0","505.0","568.0","640.0","694.0","625.0","668.0","674.0","721.0","795.0","803.0","870.0","902.0","928.0","929.0","877.0","940.0","967.0","998.0","1,078.0","1,207.0","1,267.0","1,319.0","1,344.0","1,458.0","1,688.0"
"42","24","    Household utilities and fuels","DUTFRC1","21,283.0","22,746.0","24,753.0","27,442.0","30,690.0","36,253.0","42,424.0","48,596.0","55,336.0","61,135.0","69,522.0","81,111.0","89,646.0","98,713.0","107,374.0","113,460.0","119,313.0","117,596.0","121,072.0","128,562.0","135,854.0","138,677.0","146,029.0","148,798.0","160,919.0","166,622.0","170,602.0","181,263.0","183,860.0","182,873.0","186,909.0","203,976.0","217,483.0","214,537.0","234,411.0","246,192.0","273,474.0","289,926.0","303,810.0","326,202.0","313,693.0","325,467.0","330,303.0","320,673.0"
"43","25","      Water supply and sanitation","DWRSRC1","2,758.0","3,162.0","3,559.0","4,011.0","4,438.0","4,920.0","5,460.0","6,005.0","6,669.0","7,531.0","8,409.0","9,398.0","10,476.0","11,657.0","13,107.0","14,938.0","16,978.0","19,078.0","21,074.0","22,881.0","25,260.0","27,149.0","28,819.0","30,294.0","33,498.0","36,733.0","39,337.0","42,069.0","44,058.0","46,214.0","48,740.0","50,440.0","52,379.0","54,609.0","56,608.0","58,735.0","61,266.0","65,491.0","68,003.0","71,866.0","74,289.0","77,961.0","82,082.0","85,927.0"
"44","26","      Electricity, gas, and other fuels","DEGFRC1","18,525.0","19,584.0","21,194.0","23,431.0","26,252.0","31,333.0","36,964.0","42,591.0","48,667.0","53,604.0","61,113.0","71,713.0","79,170.0","87,056.0","94,267.0","98,522.0","102,335.0","98,518.0","99,998.0","105,681.0","110,594.0","111,528.0","117,210.0","118,504.0","127,421.0","129,889.0","131,265.0","139,194.0","139,802.0","136,659.0","138,169.0","153,536.0","165,104.0","159,928.0","177,803.0","187,457.0","212,208.0","224,435.0","235,807.0","254,336.0","239,404.0","247,506.0","248,221.0","234,746.0"
"45","27","        Electricity","DELCRC1","8,772.0","9,604.0","10,622.0","11,803.0","13,303.0","16,101.0","19,388.0","21,633.0","25,174.0","28,042.0","30,741.0","37,187.0","42,472.0","47,018.0","51,576.0","55,321.0","59,254.0","60,621.0","63,253.0","66,834.0","69,681.0","71,809.0","76,636.0","76,774.0","82,749.0","84,505.0","87,581.0","90,491.0","90,704.0","93,408.0","93,578.0","98,359.0","103,368.0","107,106.0","111,476.0","115,754.0","128,524.0","140,654.0","148,295.0","155,433.0","157,008.0","166,782.0","166,714.0","163,352.0"
"46","28","        Natural gas","DGHERC1","5,245.0","5,615.0","6,075.0","6,641.0","6,755.0","7,513.0","9,259.0","10,991.0","12,610.0","14,211.0","16,227.0","19,317.0","21,174.0","25,813.0","29,316.0","29,569.0","29,754.0","26,758.0","25,731.0","27,392.0","29,190.0","26,960.0","28,297.0","29,587.0","32,308.0","32,645.0","30,689.0","34,452.0","35,864.0","31,683.0","32,236.0","39,270.0","46,236.0","38,533.0","48,892.0","52,346.0","61,344.0","60,057.0","61,885.0","68,082.0","58,125.0","54,574.0","52,090.0","44,724.0"
"47","29","        Fuel oil and other fuels","DFULRC1","4,508.0","4,365.0","4,497.0","4,987.0","6,194.0","7,719.0","8,317.0","9,967.0","10,883.0","11,351.0","14,145.0","15,209.0","15,524.0","14,225.0","13,375.0","13,632.0","13,327.0","11,139.0","11,014.0","11,455.0","11,723.0","12,759.0","12,277.0","12,143.0","12,364.0","12,739.0","12,995.0","14,251.0","13,234.0","11,568.0","12,355.0","15,907.0","15,500.0","14,289.0","17,435.0","19,357.0","22,340.0","23,724.0","25,627.0","30,821.0","24,271.0","26,150.0","29,417.0","26,670.0"
"48","30","  Furnishings, household equipment, and routine household maintenance","DFHHRC1","45,381.0","46,617.0","48,764.0","53,519.0","59,945.0","64,605.0","67,804.0","75,042.0","84,020.0","93,595.0","104,324.0","110,736.0","118,283.0","121,040.0","132,337.0","147,102.0","155,992.0","168,658.0","176,892.0","186,561.0","197,475.0","200,559.0","199,110.0","209,399.0","221,891.0","238,615.0","251,693.0","263,722.0","277,270.0","297,117.0","320,243.0","343,425.0","352,401.0","365,296.0","380,369.0","407,131.0","431,154.0","449,922.0","453,747.0","442,035.0","409,813.0","417,317.0","434,506.0","458,340.0"
"49","31","    Furniture, furnishings, and floor coverings \5\","DFURRC1","15,000.0","15,073.0","15,919.0","18,054.0","20,497.0","22,083.0","22,574.0","24,830.0","28,265.0","31,111.0","34,462.0","35,252.0","36,625.0","35,943.0","40,598.0","45,971.0","49,164.0","54,432.0","58,991.0","62,096.0","66,067.0","65,269.0","63,768.0","66,016.0","69,818.0","75,148.0","78,797.0","83,291.0","88,426.0","95,438.0","104,708.0","114,450.0","117,060.0","122,179.0","127,434.0","139,023.0","149,435.0","157,814.0","159,619.0","148,777.0","134,066.0","137,492.0","142,332.0","152,107.0"
"50","32","    Household textiles","DTEXRC1","4,739.0","4,669.0","4,669.0","4,915.0","5,445.0","5,766.0","6,035.0","6,549.0","7,152.0","7,863.0","8,696.0","9,433.0","10,357.0","10,842.0","12,396.0","14,252.0","15,577.0","17,747.0","19,166.0","20,089.0","20,376.0","20,436.0","20,545.0","21,986.0","23,435.0","25,571.0","27,109.0","28,854.0","30,130.0","31,039.0","32,955.0","34,243.0","34,036.0","34,955.0","37,528.0","40,762.0","43,866.0","46,112.0","46,761.0","45,367.0","42,199.0","43,769.0","45,908.0","48,131.0"
"51","33","    Household appliances \6\","DHAPRC1","7,252.0","7,656.0","8,283.0","9,277.0","10,220.0","10,711.0","10,998.0","11,992.0","13,290.0","14,265.0","15,700.0","16,105.0","16,640.0","16,142.0","17,809.0","19,439.0","20,938.0","22,285.0","22,801.0","23,793.0","24,961.0","24,758.0","24,446.0","25,533.0","26,659.0","27,711.0","29,025.0","29,626.0","29,783.0","32,041.0","35,145.0","37,639.0","39,295.0","41,158.0","42,834.0","46,381.0","49,461.0","51,596.0","51,527.0","49,927.0","45,593.0","46,274.0","47,720.0","48,759.0"
"52","34","    Glassware, tableware, and household utensils \7\","DUTERC1","3,505.0","3,561.0","3,735.0","4,083.0","4,715.0","5,213.0","5,732.0","6,511.0","7,321.0","8,558.0","9,537.0","10,550.0","11,815.0","12,809.0","13,351.0","14,084.0","14,397.0","15,142.0","15,123.0","16,271.0","17,502.0","18,360.0","18,537.0","20,050.0","21,145.0","22,766.0","23,743.0","24,772.0","25,682.0","28,326.0","31,909.0","35,274.0","37,115.0","39,973.0","41,322.0","43,147.0","44,597.0","45,523.0","44,806.0","43,726.0","41,071.0","42,713.0","44,986.0","47,522.0"
"53","35","    Tools and equipment for house and garden","DTOORC1","1,530.0","1,569.0","1,674.0","1,845.0","2,168.0","2,461.0","2,772.0","3,188.0","3,692.0","4,209.0","4,856.0","5,255.0","5,706.0","5,998.0","6,466.0","7,039.0","7,270.0","7,678.0","8,123.0","8,714.0","9,238.0","9,693.0","9,867.0","10,677.0","11,492.0","12,541.0","13,046.0","13,643.0","14,486.0","15,422.0","16,378.0","17,077.0","17,604.0","18,077.0","18,760.0","20,159.0","21,020.0","21,273.0","20,076.0","19,338.0","17,480.0","17,604.0","18,443.0","19,574.0"
"54","36","    Other household goods and services \8\","DOGSRC1","13,355.0","14,089.0","14,484.0","15,345.0","16,900.0","18,371.0","19,693.0","21,972.0","24,300.0","27,589.0","31,073.0","34,141.0","37,140.0","39,306.0","41,717.0","46,317.0","48,646.0","51,374.0","52,688.0","55,598.0","59,331.0","62,043.0","61,947.0","65,137.0","69,342.0","74,878.0","79,973.0","83,536.0","88,763.0","94,851.0","99,148.0","104,742.0","107,291.0","108,954.0","112,491.0","117,659.0","122,775.0","127,604.0","130,958.0","134,900.0","129,404.0","129,465.0","135,117.0","142,247.0"
