"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"44","25","  Nondefense","A825RX1","297,585.0","296,407.0","297,012.0","302,993.0","303,475.0","309,969.0","306,212.0","301,881.0","312,552.0","320,116.0","321,547.0","324,539.0","333,880.0","341,682.0","346,441.0","351,388.0","352,105.0","357,484.0","359,802.0","360,554.0","362,115.0","365,014.0","362,444.0","368,493.0","368,561.0","365,266.0","369,621.0","373,970.0","386,400.0","379,804.0","383,835.0","378,530.0","377,967.0","380,222.0","384,705.0","389,572.0","395,517.0","402,114.0","404,453.0","414,813.0","422,641.0","430,420.0","430,668.0","433,908.0","449,159.0","462,357.0","459,131.0","457,723.0","453,704.0","446,154.0","430,797.0","442,457.0","448,341.0","449,650.0","452,768.0","453,921.0","449,764.0","446,200.0","442,714.0","431,208.0"
"45","26","    Consumption expenditures","A542RX1","216,645.0","212,416.0","212,842.0","214,490.0","220,207.0","227,706.0","223,397.0","219,492.0","229,440.0","236,097.0","237,081.0","239,103.0","245,097.0","252,270.0","255,713.0","259,978.0","260,256.0","263,105.0","265,552.0","267,401.0","269,000.0","270,410.0","268,205.0","273,970.0","274,386.0","271,254.0","273,285.0","277,208.0","286,081.0","281,097.0","284,315.0","278,675.0","278,488.0","279,800.0","283,195.0","287,698.0","293,447.0","298,277.0","299,173.0","308,138.0","315,704.0","323,068.0","320,827.0","322,057.0","334,188.0","344,050.0","340,113.0","338,402.0","333,773.0","327,703.0","313,597.0","327,316.0","333,998.0","335,161.0","338,284.0","340,165.0","338,077.0","335,133.0","331,527.0","321,377.0"
"46","27","    Gross investment","A798RX1","80,432.0","82,852.0","83,029.0","86,881.0","82,578.0","82,050.0","82,346.0","81,804.0","82,855.0","83,930.0","84,367.0","85,313.0","88,547.0","89,345.0","90,652.0","91,403.0","91,810.0","94,233.0","94,165.0","93,184.0","93,176.0","94,611.0","94,220.0","94,586.0","94,256.0","94,056.0","96,320.0","96,777.0","100,322.0","98,708.0","99,531.0","99,813.0","99,446.0","100,387.0","101,477.0","101,856.0","102,069.0","103,832.0","105,266.0","106,666.0","106,936.0","107,353.0","109,839.0","111,852.0","114,968.0","118,305.0","119,040.0","119,356.0","119,991.0","118,524.0","117,342.0","115,158.0","114,306.0","114,450.0","114,427.0","113,673.0","111,578.0","110,966.0","111,115.0","109,825.0"
"47","28","      Structures","A830RX1","17,417.0","16,645.0","16,397.0","16,801.0","14,687.0","12,830.0","11,890.0","11,043.0","11,334.0","11,548.0","12,218.0","12,221.0","14,073.0","14,015.0","14,108.0","14,517.0","14,102.0","15,253.0","14,777.0","13,169.0","13,189.0","13,519.0","12,727.0","11,212.0","10,527.0","9,590.0","10,108.0","8,593.0","9,672.0","10,224.0","10,198.0","11,852.0","11,227.0","11,670.0","12,486.0","12,190.0","10,733.0","11,122.0","11,702.0","12,060.0","11,513.0","10,950.0","12,130.0","13,480.0","14,545.0","17,172.0","16,518.0","16,092.0","17,847.0","17,088.0","16,004.0","14,370.0","14,176.0","13,708.0","12,969.0","13,126.0","11,084.0","10,719.0","11,014.0","10,761.0"
"48","29","      Equipment","Y066RX1","8,617.0","9,050.0","8,861.0","11,245.0","8,727.0","8,731.0","9,123.0","8,688.0","8,157.0","8,358.0","8,168.0","8,974.0","9,991.0","10,334.0","10,866.0","10,844.0","10,660.0","11,322.0","11,402.0","11,161.0","11,366.0","12,289.0","11,863.0","13,052.0","12,922.0","12,923.0","14,095.0","15,630.0","17,814.0","15,700.0","16,217.0","14,720.0","14,958.0","15,334.0","15,404.0","15,774.0","16,524.0","17,383.0","17,550.0","17,859.0","17,743.0","17,620.0","17,793.0","17,599.0","18,790.0","19,199.0","19,304.0","19,219.0","18,723.0","18,252.0","18,163.0","18,520.0","19,065.0","19,202.0","19,452.0","19,579.0","19,296.0","19,087.0","18,876.0","18,665.0"
"49","30","      Intellectual property products","Y067RX1","57,166.0","59,571.0","60,208.0","60,407.0","61,202.0","62,064.0","62,535.0","63,228.0","64,803.0","65,467.0","65,649.0","65,545.0","66,061.0","66,472.0","67,047.0","67,515.0","68,488.0","69,202.0","69,415.0","70,000.0","69,728.0","69,792.0","70,555.0","70,777.0","71,177.0","71,795.0","72,269.0","72,347.0","72,475.0","72,759.0","73,035.0","73,411.0","73,357.0","73,445.0","73,658.0","73,938.0","74,820.0","75,321.0","76,010.0","76,736.0","77,674.0","78,782.0","79,913.0","80,784.0","81,661.0","82,028.0","83,280.0","84,081.0","83,494.0","83,223.0","83,193.0","82,293.0","81,121.0","81,603.0","82,085.0","81,054.0","81,317.0","81,281.0","81,327.0","80,505.0"
"50","31","        Software","Y068RX1","10,019.0","11,863.0","11,880.0","11,731.0","11,948.0","12,242.0","12,206.0","12,356.0","13,242.0","13,222.0","12,745.0","12,020.0","11,903.0","11,598.0","11,480.0","11,107.0","11,266.0","11,523.0","11,513.0","11,985.0","11,718.0","11,671.0","12,194.0","12,306.0","12,382.0","12,835.0","13,106.0","13,128.0","13,182.0","13,295.0","13,481.0","13,944.0","14,162.0","14,351.0","14,527.0","14,535.0","15,176.0","15,239.0","15,314.0","15,076.0","14,807.0","14,851.0","15,016.0","15,310.0","15,842.0","15,707.0","16,211.0","16,401.0","16,515.0","16,600.0","16,746.0","17,097.0","16,946.0","17,177.0","17,158.0","17,479.0","17,567.0","17,299.0","17,530.0","17,430.0"
"51","32","        Research and development","Y069RX1","47,159.0","47,595.0","48,225.0","48,589.0","49,159.0","49,713.0","50,232.0","50,772.0","51,402.0","52,100.0","52,809.0","53,498.0","54,151.0","54,901.0","55,612.0","56,489.0","57,302.0","57,747.0","57,973.0","58,066.0","58,072.0","58,185.0","58,410.0","58,517.0","58,841.0","58,995.0","59,193.0","59,248.0","59,322.0","59,492.0","59,577.0","59,479.0","59,200.0","59,097.0","59,131.0","59,405.0","59,641.0","60,079.0","60,693.0","61,658.0","62,866.0","63,931.0","64,896.0","65,475.0","65,825.0","66,322.0","67,080.0","67,691.0","67,001.0","66,651.0","66,483.0","65,258.0","64,241.0","64,500.0","64,997.0","63,671.0","63,847.0","64,067.0","63,892.0","63,174.0"
"52","33","State and local","A829RX1","1,624,453.0","1,634,005.0","1,648,024.0","1,668,053.0","1,680,793.0","1,681,195.0","1,690,962.0","1,703,638.0","1,722,884.0","1,756,793.0","1,747,263.0","1,778,901.0","1,795,902.0","1,799,810.0","1,805,929.0","1,807,931.0","1,798,526.0","1,791,697.0","1,797,960.0","1,792,980.0","1,793,342.0","1,798,968.0","1,791,020.0","1,787,726.0","1,787,606.0","1,790,226.0","1,792,850.0","1,798,625.0","1,794,852.0","1,806,934.0","1,813,027.0","1,820,562.0","1,828,973.0","1,836,373.0","1,836,704.0","1,842,501.0","1,836,850.0","1,839,258.0","1,847,072.0","1,846,564.0","1,860,440.0","1,877,112.0","1,877,438.0","1,870,634.0","1,836,504.0","1,832,792.0","1,818,509.0","1,795,193.0","1,770,492.0","1,755,474.0","1,746,912.0","1,745,005.0","1,742,201.0","1,744,962.0","1,744,280.0","1,739,778.0","1,734,268.0","1,736,004.0","1,743,164.0","1,743,277.0"
"53","34","  Consumption expenditures","A991RX1","1,313,367.0","1,322,628.0","1,332,740.0","1,341,768.0","1,344,916.0","1,351,517.0","1,358,458.0","1,367,080.0","1,380,639.0","1,394,488.0","1,409,245.0","1,420,930.0","1,431,943.0","1,439,832.0","1,443,761.0","1,442,566.0","1,435,824.0","1,431,657.0","1,427,697.0","1,426,138.0","1,428,276.0","1,431,525.0","1,432,020.0","1,435,066.0","1,436,525.0","1,437,505.0","1,442,487.0","1,443,344.0","1,441,546.0","1,445,080.0","1,452,392.0","1,463,879.0","1,470,052.0","1,474,277.0","1,474,415.0","1,477,687.0","1,473,747.0","1,471,736.0","1,478,572.0","1,485,396.0","1,499,310.0","1,509,550.0","1,510,954.0","1,513,625.0","1,489,579.0","1,477,182.0","1,462,442.0","1,449,638.0","1,437,494.0","1,427,955.0","1,421,623.0","1,420,128.0","1,423,959.0","1,425,226.0","1,429,911.0","1,429,499.0","1,429,930.0","1,431,337.0","1,432,782.0","1,434,304.0"
"54","35","  Gross investment","A799RX1","311,224.0","311,539.0","315,468.0","326,572.0","336,294.0","329,958.0","332,803.0","336,903.0","342,661.0","363,277.0","338,007.0","358,553.0","364,661.0","360,492.0","362,723.0","366,056.0","363,325.0","360,566.0","371,417.0","367,815.0","365,894.0","368,403.0","359,416.0","352,688.0","351,022.0","352,742.0","350,224.0","355,328.0","353,265.0","362,117.0","360,792.0","356,673.0","358,944.0","362,159.0","362,354.0","364,896.0","363,153.0","367,690.0","368,648.0","361,189.0","361,194.0","367,591.0","366,502.0","356,899.0","346,707.0","355,631.0","356,190.0","345,501.0","332,699.0","327,144.0","324,904.0","324,483.0","317,703.0","319,194.0","313,765.0","309,640.0","303,665.0","303,994.0","309,701.0","308,295.0"
"55","36","    Structures","A842RX1","267,209.0","264,950.0","267,757.0","279,591.0","289,351.0","280,373.0","282,853.0","286,189.0","291,573.0","314,844.0","287,008.0","309,679.0","314,828.0","310,012.0","311,832.0","316,089.0","312,531.0","309,140.0","319,450.0","314,373.0","312,574.0","315,537.0","305,968.0","298,002.0","295,911.0","296,826.0","293,656.0","298,420.0","294,948.0","302,193.0","298,088.0","290,617.0","292,911.0","293,357.0","291,863.0","292,051.0","290,066.0","293,954.0","294,248.0","289,155.0","288,717.0","294,656.0","293,345.0","282,383.0","273,590.0","284,210.0","285,582.0","274,461.0","261,671.0","255,519.0","252,974.0","253,531.0","246,852.0","247,579.0","242,591.0","237,747.0","232,733.0","232,662.0","237,813.0","235,356.0"
"56","37","    Equipment","Y070RX1","29,850.0","30,795.0","31,338.0","31,560.0","31,911.0","32,561.0","32,881.0","33,128.0","33,424.0","33,318.0","33,112.0","33,376.0","34,144.0","33,955.0","34,017.0","33,852.0","33,936.0","34,031.0","34,409.0","34,761.0","34,515.0","34,304.0","33,939.0","34,218.0","34,422.0","34,751.0","34,878.0","35,028.0","35,570.0","36,648.0","38,376.0","40,628.0","40,254.0","42,731.0","44,126.0","46,091.0","45,659.0","45,977.0","46,369.0","43,963.0","44,200.0","44,330.0","44,278.0","45,374.0","43,938.0","42,256.0","41,155.0","41,446.0","41,283.0","41,812.0","41,979.0","40,734.0","40,840.0","41,600.0","41,160.0","41,750.0","40,337.0","40,843.0","40,918.0","41,870.0"
"57","38","    Intellectual property products","Y071RX1","17,401.0","17,794.0","18,141.0","18,360.0","18,728.0","19,085.0","19,167.0","19,711.0","20,074.0","20,058.0","20,081.0","19,874.0","20,053.0","20,415.0","20,781.0","20,560.0","20,858.0","21,008.0","21,666.0","22,066.0","22,125.0","22,187.0","22,515.0","22,796.0","22,832.0","23,195.0","23,458.0","23,755.0","24,227.0","24,717.0","25,246.0","25,750.0","26,183.0","26,256.0","26,434.0","26,724.0","27,408.0","27,767.0","28,034.0","28,090.0","28,285.0","28,606.0","28,878.0","29,133.0","29,174.0","29,154.0","29,429.0","29,600.0","29,792.0","29,911.0","30,074.0","30,270.0","30,145.0","30,185.0","30,225.0","30,478.0","30,922.0","30,857.0","31,261.0","31,511.0"
"58","39","      Software","Y072RX1","8,309.0","8,543.0","8,721.0","8,793.0","8,989.0","9,182.0","9,129.0","9,503.0","9,712.0","9,558.0","9,423.0","9,064.0","9,047.0","9,223.0","9,433.0","9,120.0","9,321.0","9,397.0","9,957.0","10,274.0","10,262.0","10,251.0","10,493.0","10,703.0","10,667.0","10,882.0","10,924.0","10,935.0","11,040.0","11,179.0","11,393.0","11,625.0","11,836.0","11,690.0","11,642.0","11,688.0","12,155.0","12,279.0","12,310.0","12,099.0","12,005.0","12,117.0","12,260.0","12,513.0","12,329.0","12,145.0","12,243.0","12,364.0","12,528.0","12,683.0","12,885.0","13,139.0","13,173.0","13,364.0","13,486.0","13,776.0","14,097.0","13,872.0","14,176.0","14,340.0"
"59","40","      Research and development","Y073RX1","9,018.0","9,167.0","9,332.0","9,483.0","9,650.0","9,808.0","9,961.0","10,107.0","10,254.0","10,420.0","10,602.0","10,800.0","11,012.0","11,196.0","11,343.0","11,466.0","11,550.0","11,622.0","11,690.0","11,760.0","11,836.0","11,914.0","11,993.0","12,059.0","12,134.0","12,279.0","12,504.0","12,796.0","13,168.0","13,523.0","13,840.0","14,111.0","14,333.0","14,559.0","14,790.0","15,037.0","15,249.0","15,485.0","15,721.0","15,990.0","16,280.0","16,489.0","16,618.0","16,620.0","16,845.0","17,006.0","17,183.0","17,234.0","17,263.0","17,229.0","17,195.0","17,144.0","16,989.0","16,847.0","16,771.0","16,747.0","16,879.0","17,025.0","17,134.0","17,224.0"
"60","41","Residual","A979RX1","-17,600.0","-14,100.0","-13,200.0","-14,000.0","-16,800.0","-14,600.0","-14,600.0","-15,000.0","-15,500.0","-18,500.0","-13,900.0","-17,000.0","-16,900.0","-14,600.0","-13,600.0","-14,400.0","-13,300.0","-10,500.0","-11,900.0","-9,700.0","-8,900.0","-8,400.0","-6,100.0","-4,600.0","-4,100.0","-3,900.0","-2,700.0","-2,800.0","-1,500.0","-2,200.0","-1,800.0","-900.0","-1,400.0","-1,100.0","-400.0","-400.0","-100.0","-300.0","100.0","-200.0","-100.0","-200.0","0.0","0.0","500.0","-100.0","-100.0","-100.0","300.0","0.0","300.0","600.0","700.0","500.0","100.0","300.0","800.0","500.0","600.0","300.0"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and the 2009 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
