"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"28","9","    Nonresidential","A008RC1","115,993.0","118,368.0","122,410.0","123,287.0","123,797.0","125,007.0","126,253.0","123,518.0","126,282.0","129,481.0","131,187.0","134,714.0","140,584.0","143,977.0","147,015.0","154,966.0","162,839.0","171,284.0","176,645.0","180,142.0","183,406.0","188,820.0","194,486.0","197,567.0","193,138.0","193,276.0","197,807.0","202,882.0","209,506.0","215,010.0","222,628.0","230,243.0","243,276.0","253,749.0","263,267.0","275,944.0","282,420.0","309,349.0","325,098.0","341,431.0","356,698.0","364,269.0","383,006.0","391,335.0","404,492.0","394,676.0","405,718.0","422,757.0","443,027.0","462,861.0","482,108.0","503,754.0","500,082.0","490,070.0","478,728.0","471,526.0","462,105.0","466,449.0","485,370.0","514,688.0","531,465.0","558,277.0","576,640.0","590,903.0","599,419.0","609,088.0","604,428.0","618,071.0","613,523.0","605,013.0","601,962.0","610,554.0","596,554.0","608,370.0","625,481.0","630,547.0","641,500.0","659,367.0","666,326.0","681,926.0","696,343.0","708,941.0","731,180.0","727,512.0","740,882.0","734,157.0","744,285.0","737,616.0","729,839.0","726,797.0","720,146.0","717,569.0","714,166.0","736,695.0","748,579.0","768,333.0","776,560.0","792,357.0","798,404.0","829,495.0","841,100.0","855,749.0","871,944.0","906,611.0","944,300.0","956,615.0","965,501.0","982,542.0","1,003,624.0","1,026,640.0","1,059,061.0","1,083,463.0","1,106,833.0","1,129,187.0","1,178,438.0","1,181,879.0","1,212,368.0","1,246,118.0","1,259,816.0","1,292,898.0","1,319,877.0","1,351,390.0","1,383,775.0","1,391,397.0","1,445,517.0","1,494,704.0","1,515,456.0","1,519,438.0","1,501,459.0","1,467,559.0","1,445,023.0","1,401,460.0","1,371,907.0","1,351,630.0","1,343,682.0","1,328,379.0","1,327,812.0","1,359,064.0","1,388,532.0","1,411,470.0","1,400,250.0","1,440,225.0","1,485,569.0","1,526,546.0","1,560,532.0","1,595,213.0","1,633,757.0","1,656,371.0","1,729,374.0","1,760,965.0","1,793,572.0","1,821,237.0","1,864,717.0","1,907,538.0","1,937,870.0","1,972,326.0","1,981,616.0","1,978,748.0","1,947,287.0","1,856,181.0","1,712,304.0","1,637,505.0","1,600,316.0","1,583,648.0","1,594,389.0","1,641,797.0","1,677,404.0","1,719,318.0","1,721,806.0","1,773,139.0","1,848,936.0","1,895,675.0","1,932,310.0","1,961,387.0","1,967,976.0","2,018,171.0","2,001,449.0","2,030,604.0","2,060,548.0","2,095,734.0"
"29","10","      Structures","B009RC1","35,794.0","36,671.0","38,931.0","39,399.0","39,490.0","40,313.0","40,578.0","40,767.0","41,504.0","42,335.0","43,118.0","43,758.0","45,781.0","46,607.0","47,314.0","48,990.0","51,327.0","54,060.0","56,831.0","57,714.0","58,984.0","61,333.0","61,417.0","63,214.0","61,682.0","60,409.0","61,275.0","62,034.0","64,099.0","65,057.0","66,683.0","67,821.0","69,732.0","73,631.0","76,409.0","78,540.0","80,018.0","90,259.0","98,559.0","105,498.0","107,879.0","112,844.0","121,814.0","128,268.0","132,557.0","132,299.0","135,769.0","144,056.0","150,017.0","161,010.0","169,743.0","188,485.0","186,622.0","182,450.0","172,926.0","168,257.0","158,581.0","149,502.0","152,648.0","156,644.0","165,735.0","175,807.0","182,528.0","185,519.0","194,875.0","195,236.0","192,210.0","195,751.0","191,672.0","174,504.0","169,021.0","170,911.0","166,921.0","169,576.0","177,585.0","182,728.0","178,614.0","184,151.0","183,452.0","184,943.0","189,505.0","189,565.0","197,739.0","198,056.0","204,137.0","204,572.0","205,516.0","197,443.0","194,901.0","189,888.0","177,485.0","172,151.0","169,931.0","170,640.0","173,047.0","176,671.0","175,587.0","174,132.0","175,971.0","182,914.0","178,514.0","187,092.0","188,085.0","193,380.0","201,169.0","207,376.0","210,305.0","210,232.0","214,308.0","219,793.0","225,302.0","238,928.0","242,659.0","242,624.0","255,655.0","260,124.0","261,352.0","278,171.0","279,757.0","281,236.0","282,509.0","281,410.0","283,230.0","288,629.0","298,182.0","313,473.0","327,900.0","333,004.0","328,287.0","335,115.0","343,228.0","312,360.0","298,574.0","285,287.0","274,216.0","273,537.0","274,815.0","282,217.0","283,059.0","287,228.0","286,993.0","295,164.0","307,920.0","317,144.0","330,764.0","337,887.0","348,319.0","365,609.0","388,992.0","410,820.0","425,856.0","436,675.0","458,076.0","485,284.0","512,612.0","531,744.0","540,221.0","553,827.0","559,336.0","556,167.0","508,028.0","455,158.0","412,726.0","376,934.0","352,420.0","364,495.0","361,101.0","370,149.0","340,817.0","370,129.0","397,548.0","413,880.0","422,012.0","431,307.0","438,280.0","457,794.0","429,147.0","452,564.0","470,657.0","473,425.0"
"30","11","      Equipment","Y033RC1","63,690.0","64,691.0","66,123.0","66,150.0","66,401.0","66,748.0","67,661.0","64,834.0","66,643.0","68,689.0","69,259.0","71,641.0","74,881.0","76,945.0","78,938.0","84,780.0","89,808.0","94,897.0","96,850.0","98,693.0","100,033.0","102,376.0","107,086.0","107,770.0","104,513.0","105,582.0","108,526.0","111,839.0","115,026.0","118,315.0","123,099.0","128,525.0","139,000.0","144,640.0","150,611.0","160,407.0","164,610.0","179,682.0","185,477.0","192,767.0","203,431.0","204,186.0","212,115.0","212,492.0","219,621.0","209,102.0","215,242.0","221,582.0","231,960.0","238,318.0","246,606.0","246,525.0","242,825.0","235,435.0","232,297.0","228,891.0","227,091.0","237,585.0","249,810.0","271,388.0","275,598.0","288,951.0","297,338.0","305,614.0","302,612.0","309,543.0","306,093.0","313,379.0","310,777.0","317,524.0","318,616.0","323,862.0","312,608.0","320,184.0","327,084.0","323,803.0","335,612.0","344,833.0","349,142.0","357,678.0","363,359.0","371,633.0","381,049.0","372,601.0","376,407.0","365,729.0","373,622.0","371,807.0","361,307.0","358,160.0","362,570.0","361,361.0","360,058.0","379,543.0","387,626.0","399,564.0","406,612.0","421,532.0","424,980.0","447,438.0","461,783.0","465,422.0","476,463.0","501,851.0","525,294.0","525,398.0","524,840.0","536,979.0","546,017.0","556,858.0","577,000.0","581,359.0","587,506.0","602,318.0","630,464.0","623,149.0","645,754.0","655,875.0","658,429.0","680,000.0","695,097.0","712,119.0","728,141.0","719,148.0","749,400.0","773,952.0","774,005.0","766,993.0","751,676.0","716,017.0","692,401.0","685,974.0","671,438.0","660,715.0","658,879.0","647,528.0","642,158.0","660,727.0","679,616.0","693,383.0","680,629.0","709,615.0","731,974.0","754,555.0","764,954.0","782,637.0","805,182.0","810,005.0","851,318.0","852,398.0","857,259.0","863,558.0","876,895.0","888,174.0","887,615.0","890,408.0","878,902.0","856,874.0","822,430.0","742,390.0","658,978.0","634,376.0","639,105.0","644,775.0","682,731.0","719,042.0","751,185.0","774,370.0","798,046.0","809,916.0","849,819.0","873,011.0","895,396.0","907,893.0","902,157.0","925,023.0","928,030.0","934,557.0","935,770.0","960,351.0"
"31","12","      Intellectual property products","Y001RC1","16,509.0","17,006.0","17,356.0","17,738.0","17,906.0","17,946.0","18,014.0","17,917.0","18,135.0","18,457.0","18,810.0","19,315.0","19,922.0","20,425.0","20,763.0","21,196.0","21,704.0","22,327.0","22,964.0","23,735.0","24,389.0","25,111.0","25,983.0","26,583.0","26,943.0","27,285.0","28,006.0","29,009.0","30,381.0","31,638.0","32,846.0","33,897.0","34,544.0","35,478.0","36,247.0","36,997.0","37,792.0","39,408.0","41,062.0","43,166.0","45,388.0","47,239.0","49,077.0","50,575.0","52,314.0","53,275.0","54,707.0","57,119.0","61,050.0","63,533.0","65,759.0","68,744.0","70,635.0","72,185.0","73,505.0","74,378.0","76,433.0","79,362.0","82,912.0","86,656.0","90,132.0","93,519.0","96,774.0","99,770.0","101,932.0","104,309.0","106,125.0","108,941.0","111,074.0","112,985.0","114,325.0","115,781.0","117,025.0","118,610.0","120,812.0","124,016.0","127,274.0","130,383.0","133,732.0","139,305.0","143,479.0","147,743.0","152,392.0","156,855.0","160,338.0","163,856.0","165,147.0","168,366.0","173,631.0","178,749.0","180,091.0","184,057.0","184,177.0","186,512.0","187,906.0","192,098.0","194,361.0","196,693.0","197,453.0","199,143.0","200,803.0","203,235.0","207,396.0","211,380.0","217,837.0","223,841.0","230,356.0","235,331.0","243,299.0","249,989.0","256,759.0","263,176.0","276,668.0","284,245.0","292,319.0","298,606.0","305,262.0","312,072.0","321,630.0","331,662.0","342,271.0","357,861.0","372,404.0","383,620.0","397,935.0","407,279.0","413,551.0","419,441.0","421,496.0","416,427.0","409,394.0","403,126.0","401,895.0","405,628.0","410,587.0","407,314.0","410,839.0","416,120.0","425,857.0","430,859.0","432,628.0","435,446.0","445,675.0","454,847.0","464,814.0","474,689.0","480,256.0","480,757.0","489,064.0","497,747.0","510,457.0","521,004.0","529,746.0","534,080.0","537,643.0","550,174.0","562,493.0","568,047.0","565,521.0","557,624.0","545,298.0","547,971.0","548,485.0","561,939.0","559,238.0","558,260.0","565,118.0","574,799.0","582,943.0","593,094.0","601,569.0","608,784.0","614,902.0","622,187.0","627,539.0","635,354.0","644,272.0","643,483.0","654,121.0","661,958.0"
"32","13","    Residential","A011RC1","44,906.0","45,130.0","44,962.0","42,503.0","42,493.0","41,365.0","42,566.0","47,218.0","50,960.0","56,974.0","60,680.0","63,995.0","69,155.0","70,824.0","72,360.0","77,256.0","80,925.0","78,708.0","77,931.0","75,722.0","72,438.0","71,157.0","70,948.0","63,324.0","61,197.0","63,959.0","68,772.0","73,005.0","80,441.0","84,846.0","84,874.0","96,888.0","102,214.0","116,485.0","119,983.0","122,236.0","126,921.0","136,977.0","142,301.0","145,840.0","145,261.0","147,624.0","150,488.0","147,991.0","140,171.0","116,864.0","123,210.0","137,835.0","137,601.0","135,265.0","126,228.0","114,834.0","109,701.0","107,718.0","108,433.0","117,540.0","138,474.0","155,000.0","171,101.0","179,877.0","186,425.0","191,299.0","190,872.0","192,860.0","194,219.0","196,306.0","201,422.0","208,359.0","219,534.0","234,558.0","240,887.0","244,268.0","246,671.0","249,693.0","249,970.0","252,825.0","250,115.0","255,511.0","257,496.0","261,681.0","260,884.0","255,792.0","255,498.0","251,883.0","256,004.0","246,895.0","234,507.0","221,269.0","210,289.0","217,788.0","226,483.0","230,055.0","242,362.0","253,158.0","255,114.0","268,331.0","271,401.0","278,005.0","290,939.0","306,888.0","315,597.0","327,929.0","326,427.0","325,435.0","321,786.0","313,451.0","326,393.0","334,646.0","344,725.0","361,399.0","364,315.0","361,807.0","365,360.0","372,277.0","378,952.0","385,753.0","394,846.0","411,331.0","427,551.0","441,502.0","447,363.0","459,271.0","466,625.0","473,805.0","484,243.0","486,613.0","483,080.0","487,792.0","496,707.0","510,994.0","522,430.0","522,050.0","538,333.0","554,846.0","558,883.0","578,317.0","601,373.0","611,873.0","651,610.0","682,921.0","706,034.0","743,065.0","763,428.0","786,155.0","815,133.0","843,708.0","875,541.0","889,858.0","895,856.0","858,701.0","813,742.0","781,256.0","749,332.0","717,309.0","671,721.0","616,353.0","565,534.0","538,432.0","507,364.0","452,078.0","405,463.0","376,306.0","392,014.0","395,188.0","383,090.0","400,804.0","365,618.0","374,741.0","377,143.0","380,992.0","386,764.0","398,147.0","418,413.0","425,736.0","443,688.0","468,761.0","490,256.0","513,184.0","532,644.0","531,450.0"
"33","14","  Change in private inventories","A014RC1","11,489.0","9,222.0","10,194.0","5,787.0","1,823.0","5,081.0","5,083.0","-3,984.0","12,254.0","10,875.0","10,188.0","-295.0","3,227.0","11,998.0","13,715.0","7,491.0","10,550.0","18,206.0","9,761.0","24,993.0","12,519.0","17,416.0","5,578.0","20,446.0","-10,028.0","-13,954.0","-1,388.0","348.0","14,693.0","22,448.0","20,807.0","10,518.0","14,822.0","19,469.0","30,884.0","24,121.0","25,453.0","24,257.0","24,966.0","28,487.0","23,852.0","27,401.0","12,131.0","8,553.0","9,899.0","7,750.0","-33,855.0","-9,118.0","38,755.0","11,713.0","43,960.0","24,807.0","-21,466.0","-4,166.0","5,798.0","-39,820.0","-35,060.0","-7,672.0","-4,204.0","23,932.0","72,982.0","69,321.0","71,338.0","47,979.0","16,230.0","21,646.0","16,303.0","33,119.0","30,397.0","15,663.0","-7,019.0","-12,759.0","27,973.0","16,524.0","1,017.0","63,082.0","16,956.0","19,648.0","18,181.0","19,144.0","48,137.0","36,257.0","9,826.0","16,553.0","13,954.0","33,700.0","21,866.0","-11,335.0","-15,520.0","-18,033.0","843.0","31,133.0","246.0","23,209.0","20,512.0","21,344.0","35,940.0","24,104.0","6,598.0","16,612.0","45,362.0","81,411.0","53,223.0","75,142.0","61,179.0","33,759.0","11,326.0","18,431.0","6,881.0","30,521.0","51,070.0","34,725.0","49,758.0","88,388.0","67,948.0","77,664.0","105,100.0","37,340.0","52,419.0","60,017.0","83,394.0","35,112.0","40,517.0","84,241.0","16,157.0","90,443.0","57,233.0","54,343.0","-30,631.0","-11,560.0","-30,115.0","-80,829.0","-214.0","19,120.0","25,293.0","29,803.0","31,004.0","-388.0","8,127.0","38,401.0","48,870.0","76,235.0","62,284.0","68,049.0","99,504.0","30,626.0","17,940.0","90,249.0","74,424.0","77,285.0","77,091.0","39,089.0","20,161.0","47,064.0","48,646.0","21,935.0","-20,136.0","-23,919.0","-18,779.0","-65,148.0","-145,621.0","-187,921.0","-205,932.0","-50,805.0","12,060.0","50,115.0","121,544.0","62,398.0","21,479.0","45,769.0","-13,460.0","91,923.0","102,912.0","66,848.0","81,616.0","12,995.0","63,418.0","77,227.0","144,790.0","138,804.0"
"34","15","Net exports of goods and services","A019RC1","171.0","1,244.0","976.0","3,333.0","3,396.0","5,385.0","3,843.0","3,169.0","4,422.0","-192.0","-89.0","-1,657.0","-3,534.0","-4,257.0","-2,638.0","-3,061.0","-1,401.0","2,454.0","6,438.0","8,951.0","6,395.0","-2,714.0","-6,972.0","33.0","16,481.0","21,582.0","12,043.0","13,801.0","4,650.0","-495.0","-4,073.0","-6,603.0","-21,079.0","-21,135.0","-20,578.0","-29,584.0","-38,683.0","-22,624.0","-23,760.0","-16,401.0","-18,157.0","-22,190.0","-23,028.0","-26,800.0","-35,804.0","-15,209.0","5,471.0","-6,683.0","-14,263.0","-13,515.0","-7,566.0","-14,760.0","-16,282.0","-4,393.0","-29,654.0","-29,592.0","-24,555.0","-45,441.0","-65,207.0","-71,388.0","-95,013.0","-104,307.0","-103,854.0","-107,763.0","-91,309.0","-114,454.0","-116,903.0","-133,443.0","-126,023.0","-128,881.0","-138,971.0","-133,636.0","-141,246.0","-146,988.0","-145,475.0","-145,418.0","-123,999.0","-106,640.0","-99,278.0","-107,710.0","-100,982.0","-88,177.0","-75,093.0","-82,784.0","-88,554.0","-68,854.0","-74,974.0","-79,119.0","-47,161.0","-23,212.0","-21,098.0","-23,080.0","-20,565.0","-32,815.0","-38,515.0","-47,167.0","-55,734.0","-63,216.0","-68,383.0","-73,478.0","-80,624.0","-90,601.0","-96,897.0","-101,941.0","-105,357.0","-109,522.0","-74,476.0","-69,813.0","-88,828.0","-93,742.0","-114,216.0","-88,860.0","-108,875.0","-85,237.0","-96,868.0","-117,048.0","-135,250.0","-162,363.0","-174,672.0","-178,697.0","-210,938.0","-251,070.0","-283,819.0","-299,900.0","-357,702.0","-362,214.0","-391,642.0","-408,685.0","-392,196.0","-362,070.0","-365,817.0","-355,974.0","-374,271.0","-416,143.0","-433,241.0","-476,478.0","-500,500.0","-501,301.0","-495,739.0","-506,121.0","-543,602.0","-603,175.0","-633,000.0","-679,414.0","-674,712.0","-684,148.0","-724,279.0","-779,728.0","-770,127.0","-771,924.0","-798,941.0","-708,634.0","-723,361.0","-726,548.0","-700,887.0","-688,419.0","-745,048.0","-749,920.0","-760,609.0","-597,407.0","-389,559.0","-335,207.0","-401,951.0","-442,090.0","-495,053.0","-529,706.0","-543,754.0","-505,318.0","-554,674.0","-572,197.0","-553,656.0","-594,429.0","-590,792.0","-557,853.0","-524,366.0","-515,795.0","-523,065.0","-508,996.0","-500,226.0","-456,944.0"
"35","16","  Exports","B020RC1","43,974.0","53,915.0","53,340.0","56,459.0","56,913.0","60,589.0","60,274.0","61,058.0","63,074.0","63,103.0","65,393.0","60,282.0","68,639.0","67,152.0","71,453.0","76,129.0","83,959.0","91,923.0","97,576.0","107,620.0","116,709.0","126,668.0","126,638.0","136,585.0","141,369.0","136,827.0","134,098.0","142,531.0","143,588.0","146,621.0","151,775.0","156,076.0","155,354.0","161,906.0","162,325.0","157,809.0","164,599.0","186,216.0","191,302.0","205,415.0","211,670.0","220,907.0","234,279.0","253,666.0","268,508.0","277,389.0","284,672.0","292,517.0","305,461.0","308,448.0","302,331.0","304,687.0","293,195.0","294,722.0","279,628.0","265,268.0","270,695.0","272,509.0","278,174.0","286,583.0","292,965.0","302,192.0","305,736.0","308,598.0","305,999.0","304,117.0","297,264.0","305,425.0","313,395.0","315,109.0","320,463.0","334,990.0","336,440.0","355,350.0","371,843.0","392,095.0","418,714.0","439,458.0","453,571.0","466,604.0","485,172.0","507,212.0","509,334.0","515,368.0","538,213.0","545,905.0","555,128.0","568,163.0","573,156.0","590,709.0","600,571.0","615,190.0","625,258.0","626,136.0","639,338.0","641,369.0","643,576.0","653,065.0","650,868.0","671,571.0","681,203.0","706,959.0","736,854.0","758,618.0","781,542.0","798,821.0","831,367.0","839,388.0","847,907.0","859,009.0","859,541.0","903,760.0","918,338.0","954,414.0","974,020.0","968,296.0","962,986.0","947,259.0","935,229.0","966,303.0","959,216.0","970,868.0","997,194.0","1,029,330.0","1,052,971.0","1,090,187.0","1,120,849.0","1,113,317.0","1,097,923.0","1,057,380.0","998,503.0","961,360.0","973,697.0","1,006,995.0","1,022,819.0","1,015,283.0","1,015,362.0","1,013,800.0","1,044,139.0","1,100,249.0","1,141,097.0","1,173,585.0","1,188,410.0","1,229,403.0","1,266,361.0","1,302,915.0","1,313,886.0","1,358,246.0","1,420,437.0","1,466,857.0","1,482,904.0","1,543,922.0","1,578,843.0","1,624,417.0","1,693,083.0","1,766,601.0","1,816,112.0","1,918,876.0","1,930,057.0","1,707,492.0","1,519,309.0","1,521,511.0","1,591,142.0","1,703,243.0","1,746,380.0","1,807,013.0","1,860,275.0","1,960,393.0","2,029,475.0","2,095,473.0","2,143,419.0","2,136,230.0","2,173,412.0","2,197,399.0","2,199,172.0","2,213,728.0","2,214,202.0","2,238,936.0","2,265,796.0","2,320,582.0"
"36","17","    Goods","A253RC1","31,640.0","39,948.0","39,484.0","41,972.0","43,024.0","45,028.0","44,764.0","45,364.0","45,868.0","45,724.0","48,448.0","42,188.0","49,696.0","48,868.0","51,824.0","56,788.0","64,360.0","70,936.0","75,616.0","84,784.0","93,052.0","100,612.0","101,248.0","109,012.0","112,036.0","105,944.0","107,148.0","113,388.0","113,516.0","116,268.0","118,984.0","122,312.0","121,328.0","126,176.0","126,132.0","120,972.0","125,027.0","146,103.0","149,271.0","161,194.0","166,992.0","175,724.0","188,039.0","205,414.0","217,823.0","224,192.0","226,896.0","234,207.0","242,192.0","242,001.0","234,176.0","238,017.0","224,851.0","225,952.0","211,598.0","197,604.0","200,709.0","202,794.0","207,397.0","218,280.0","218,267.0","224,630.0","228,365.0","231,235.0","225,665.0","223,501.0","217,395.0","222,408.0","220,524.0","223,040.0","224,503.0","235,937.0","234,320.0","248,650.0","264,168.0","283,049.0","304,585.0","321,435.0","331,647.0","345,472.0","354,804.0","374,778.0","372,371.0","375,455.0","390,704.0","394,585.0","398,173.0","403,082.0","414,480.0","421,289.0","425,922.0","432,562.0","440,930.0","441,565.0","452,738.0","456,567.0","452,190.0","458,460.0","454,363.0","474,716.0","477,592.0","496,429.0","524,037.0","542,189.0","562,222.0","575,619.0","595,591.0","599,678.0","608,166.0","611,943.0","615,444.0","637,769.0","658,267.0","687,046.0","704,663.0","700,792.0","694,450.0","672,834.0","666,751.0","689,398.0","687,787.0","696,999.0","716,839.0","744,161.0","762,027.0","791,191.0","822,682.0","812,620.0","799,254.0","763,886.0","717,699.0","693,963.0","690,037.0","717,704.0","729,184.0","713,385.0","722,330.0","724,118.0","739,014.0","777,732.0","801,911.0","827,559.0","838,880.0","862,877.0","888,878.0","923,708.0","927,811.0","960,743.0","1,008,600.0","1,039,135.0","1,055,482.0","1,089,198.0","1,110,370.0","1,141,128.0","1,181,769.0","1,228,030.0","1,279,101.0","1,363,785.0","1,374,737.0","1,172,902.0","1,012,079.0","1,010,560.0","1,073,631.0","1,162,477.0","1,205,439.0","1,255,588.0","1,286,312.0","1,366,395.0","1,423,145.0","1,469,264.0","1,496,984.0","1,505,001.0","1,520,670.0","1,539,457.0","1,545,600.0","1,538,255.0","1,531,633.0","1,548,777.0","1,572,102.0","1,615,560.0"
"37","18","    Services","A646RC1","12,334.0","13,967.0","13,856.0","14,487.0","13,889.0","15,561.0","15,510.0","15,694.0","17,206.0","17,379.0","16,945.0","18,094.0","18,943.0","18,284.0","19,629.0","19,341.0","19,599.0","20,987.0","21,960.0","22,836.0","23,657.0","26,056.0","25,390.0","27,573.0","29,333.0","30,883.0","26,950.0","29,143.0","30,072.0","30,353.0","32,791.0","33,764.0","34,026.0","35,730.0","36,193.0","36,837.0","39,572.0","40,113.0","42,031.0","44,221.0","44,678.0","45,183.0","46,240.0","48,252.0","50,685.0","53,197.0","57,776.0","58,310.0","63,269.0","66,447.0","68,155.0","66,670.0","68,344.0","68,770.0","68,030.0","67,664.0","69,986.0","69,715.0","70,777.0","68,303.0","74,698.0","77,562.0","77,371.0","77,363.0","80,334.0","80,616.0","79,869.0","83,017.0","92,871.0","92,069.0","95,960.0","99,053.0","102,120.0","106,700.0","107,675.0","109,046.0","114,129.0","118,023.0","121,924.0","121,132.0","130,368.0","132,434.0","136,963.0","139,913.0","147,509.0","151,320.0","156,955.0","165,081.0","158,676.0","169,420.0","174,649.0","182,628.0","184,328.0","184,571.0","186,600.0","184,802.0","191,386.0","194,605.0","196,505.0","196,855.0","203,611.0","210,530.0","212,817.0","216,429.0","219,320.0","223,202.0","235,776.0","239,710.0","239,741.0","247,066.0","244,097.0","265,991.0","260,071.0","267,368.0","269,357.0","267,504.0","268,536.0","274,425.0","268,478.0","276,905.0","271,429.0","273,869.0","280,355.0","285,169.0","290,944.0","298,996.0","298,167.0","300,697.0","298,669.0","293,494.0","280,804.0","267,397.0","283,660.0","289,291.0","293,635.0","301,898.0","293,032.0","289,682.0","305,125.0","322,517.0","339,186.0","346,026.0","349,530.0","366,526.0","377,483.0","379,207.0","386,075.0","397,503.0","411,837.0","427,722.0","427,422.0","454,724.0","468,473.0","483,289.0","511,314.0","538,571.0","537,011.0","555,091.0","555,320.0","534,590.0","507,230.0","510,951.0","517,511.0","540,766.0","540,941.0","551,425.0","573,963.0","593,998.0","606,330.0","626,209.0","646,435.0","631,229.0","652,742.0","657,942.0","653,572.0","675,473.0","682,569.0","690,159.0","693,694.0","705,022.0"
"38","19","  Imports","B021RC1","43,803.0","52,671.0","52,364.0","53,126.0","53,517.0","55,204.0","56,431.0","57,889.0","58,652.0","63,295.0","65,482.0","61,939.0","72,173.0","71,409.0","74,091.0","79,190.0","85,360.0","89,469.0","91,138.0","98,669.0","110,314.0","129,382.0","133,610.0","136,552.0","124,888.0","115,245.0","122,055.0","128,730.0","138,938.0","147,116.0","155,848.0","162,679.0","176,433.0","183,041.0","182,903.0","187,393.0","203,282.0","208,840.0","215,062.0","221,816.0","229,827.0","243,097.0","257,307.0","280,466.0","304,312.0","292,598.0","279,201.0","299,200.0","319,724.0","321,963.0","309,897.0","319,447.0","309,477.0","299,115.0","309,282.0","294,860.0","295,250.0","317,950.0","343,381.0","357,971.0","387,978.0","406,499.0","409,590.0","416,361.0","397,308.0","418,571.0","414,167.0","438,868.0","439,418.0","443,990.0","459,434.0","468,626.0","477,686.0","502,338.0","517,318.0","537,513.0","542,713.0","546,098.0","552,849.0","574,314.0","586,154.0","595,389.0","584,427.0","598,152.0","626,767.0","614,759.0","630,102.0","647,282.0","620,317.0","613,921.0","621,669.0","638,270.0","645,823.0","658,951.0","677,853.0","688,536.0","699,310.0","716,281.0","719,251.0","745,049.0","761,827.0","797,560.0","833,751.0","860,559.0","886,899.0","908,343.0","905,843.0","909,201.0","936,735.0","952,751.0","973,757.0","992,620.0","1,027,213.0","1,039,651.0","1,070,888.0","1,085,344.0","1,098,236.0","1,109,622.0","1,109,901.0","1,145,000.0","1,170,154.0","1,221,938.0","1,281,013.0","1,329,230.0","1,410,673.0","1,452,401.0","1,512,491.0","1,522,002.0","1,490,119.0","1,419,450.0","1,364,320.0","1,317,334.0","1,347,968.0","1,423,138.0","1,456,060.0","1,491,761.0","1,515,862.0","1,515,101.0","1,539,878.0","1,606,370.0","1,684,699.0","1,776,760.0","1,821,410.0","1,908,817.0","1,941,073.0","1,987,063.0","2,038,165.0","2,137,974.0","2,190,564.0","2,238,781.0","2,281,845.0","2,252,556.0","2,302,204.0","2,350,965.0","2,393,970.0","2,455,020.0","2,561,160.0","2,668,796.0","2,690,666.0","2,304,899.0","1,908,868.0","1,856,718.0","1,993,093.0","2,145,333.0","2,241,433.0","2,336,719.0","2,404,029.0","2,465,711.0","2,584,149.0","2,667,670.0","2,697,075.0","2,730,659.0","2,764,204.0","2,755,252.0","2,723,538.0","2,729,523.0","2,737,267.0","2,747,932.0","2,766,022.0","2,777,526.0"
