"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"16","8","          New foreign autos","DNFCRX0",29225,32519,32877,36450,34383,33923,33466,33767,31447,32932,31461,34051,32390,31232,32009,31079,32870,30431,31411,30497,32724,33533,31935,35259,33152,34400,36001,34982,34678,37322,37724,39150,36665,36481,35108,36023,35150,38940,33065,25086,23953,24184,29589,25258,22955,24095,25806,25717,26709,26143,25249,26055,30892,29879,29477,31113,28188,28588,29710,30678,28737,30377,28882
"17","9","        New light trucks","DNWTRX0",93375,96444,97543,97523,105047,98732,104197,99640,110408,112553,113676,150372,138334,130507,148177,140482,137046,156614,161859,156891,156586,152958,156727,151962,142385,158285,160338,120951,127539,128583,131848,132194,137849,137628,136857,132160,118768,98905,101326,85605,91061,91200,100444,95079,99454,108787,110670,120126,119696,113454,120433,131968,128922,131415,132647,137036,139597,142361,142428,141557,148051,155409,159247
"18","10","      Net purchases of used motor vehicles (56)","DNPVRX0",90289,101965,100580,87621,101627,87798,90268,99772,96383,91929,98186,91699,90474,101629,101896,94341,95161,92455,96245,97420,95554,100526,102123,104070,105237,97179,94875,93630,94881,95424,96345,98267,94952,100554,103885,100844,99681,98845,96106,93019,102464,102823,99953,93399,90371,89871,90785,93112,89430,80035,78155,76754,77984,78029,83351,87108,89592,88428,87812,90457,95263,101977,107601
"19","11","        Used autos","DNPURX0",52356,58708,57948,48814,58183,48378,49285,58142,53407,51943,53600,48021,48881,53929,53313,49052,50038,48650,51012,52103,50623,53982,54289,55036,55439,51229,49420,48783,48889,48775,48387,47706,44940,46763,48037,47431,48218,48021,45372,41149,44169,43530,42633,40307,38516,37892,39383,41774,40758,36700,35215,34789,35653,35455,37497,39517,40573,40235,40239,41517,43479,46914,49507
"20","12","          Net transactions in used autos","DNETRX0",30755,35013,34365,27628,34249,26925,26961,34084,29492,27237,29742,25284,26116,32344,33467,29122,28747,28611,29535,30858,31510,32143,32446,33201,31571,29333,29207,28241,27733,27625,26585,25759,24880,25813,26136,25643,25880,26550,25313,23624,26007,26130,25970,23887,22207,21706,22488,24285,22500,18812,16785,16046,16332,16042,17122,18764,19699,19634,20027,20651,21470,22715,23804
"21","13","          Used auto margin","DMARRX0",23790,25779,25723,23534,26113,23934,24953,26135,26593,27869,26572,25651,25438,23726,21788,22077,23622,22240,23793,23509,21386,24128,24161,24183,26154,24120,22424,22676,23273,23273,23927,23962,22072,23002,23881,23774,24336,23374,22014,19461,19943,19124,18366,18152,18064,17960,18642,19240,20006,19550,20070,20379,21007,21069,22045,22433,22489,22249,21864,22520,23583,25836,27426
"22","14","          Employee reimbursement","DREERX0",-2170,-2117,-2122,-2048,-2074,-2047,-2042,-2051,-2067,-2130,-2193,-2159,-2051,-1992,-1988,-2070,-2087,-2050,-2036,-2017,-2079,-2085,-2113,-2145,-2100,-2101,-2082,-2016,-2015,-2020,-2042,-1941,-1946,-1991,-1921,-1931,-1898,-1827,-1885,-1913,-1782,-1727,-1694,-1737,-1783,-1820,-1783,-1761,-1805,-1784,-1786,-1773,-1818,-1774,-1781,-1796,-1717,-1762,-1781,-1780,-1677,-1710,-1783
"23","15","        Used light trucks","DUTRRX0",38239,43571,42942,38954,43721,39517,41043,42016,43103,40197,44650,43569,41608,47642,48473,45169,45042,43730,45177,45286,44872,46506,47780,48974,49734,45890,45388,44778,45922,46579,47886,50503,49988,53802,55870,53411,51451,50811,50725,51882,58302,59292,57317,53088,51857,51990,51396,51320,48652,43317,42925,41951,42317,42558,45833,47572,48999,48175,47557,48925,51764,55049,58079
"24","16","          Net transactions in used trucks","DUTNRX0",27440,31560,30960,27613,31305,28067,29050,30023,30902,27454,32243,30826,28921,35438,37153,33131,32106,31056,31388,31676,32482,32434,33434,34937,34685,32209,32687,31767,32577,33380,34104,36225,36633,39663,41086,39561,37969,38295,38372,39870,45808,46719,45565,41133,39396,39264,38631,38822,36552,32222,31356,30360,30440,30246,32438,33986,35095,34278,33928,34732,36638,38576,40549
"25","17","          Used truck margin","DUTMRX0",10823,12054,12026,11382,12457,11486,12035,12034,12248,12823,12447,12753,12627,12378,11622,12114,12925,12662,13751,13587,12524,13987,14275,14065,14978,13645,12762,13024,13354,13231,13799,14307,13439,14251,14899,13991,13630,12613,12454,12045,12470,12574,11779,11951,12452,12707,12733,12472,12073,11060,11515,11533,11812,12243,13320,13510,13828,13819,13552,14115,15046,16405,17468
"26","18","      Motor vehicle parts and accessories (58)","DMVPRX0",51332,52249,53076,53669,53992,53294,53605,52364,50859,51742,51019,51891,50667,50937,51325,51018,51210,52829,54647,55104,55772,56125,56979,58343,58978,59911,59745,59800,61239,59709,60312,60659,61245,61626,61952,61349,59204,58734,56523,53417,52266,51505,51802,51528,52458,54268,54856,56074,56010,55994,56693,57135,57310,56672,56649,56488,57175,57201,57560,58972,58918,59088,58810
"27","19","        Tires","DTATRX0",19372,19401,19586,19706,19946,19573,19526,18873,18963,19517,19403,19025,18848,19166,19391,19602,19619,20025,20664,20968,21260,21585,21723,22282,22835,23058,22967,23429,23664,23152,23277,23359,23753,23998,24128,23915,23540,23425,22715,22046,21537,21164,21252,21116,21578,22460,22582,22836,22680,22496,22739,22769,22596,22630,22628,22472,22881,22983,23447,24063,24172,24177,24106
"28","20","        Accessories and parts","DPAARX0",31987,32895,33544,34022,34100,33778,34145,33566,31936,32253,31634,32927,31860,31799,31958,31428,31607,32828,34010,34159,34533,34558,35278,36082,36156,36871,36797,36377,37591,36570,37050,37317,37507,37640,37836,37443,35669,35313,33809,31368,30727,30341,30551,30413,30880,31808,32273,33240,33335,33509,33966,34386,34750,34060,34038,34035,34308,34229,34125,34921,34762,34925,34720
"29","21","    Furnishings and durable household equipment","DFDHRX0",164177,168065,173615,179079,183579,187110,189592,190707,193558,195296,197175,203146,209596,211393,211098,214708,213971,223393,232557,237253,241873,245802,251341,254290,257752,261922,266764,272910,280314,276953,278274,277654,281323,279621,280672,280157,273271,276586,267208,253613,245184,240874,243576,247609,253974,261398,262690,267944,270744,274637,277582,283437,288727,285795,287623,291545,297654,301811,308847,312108,312711,322294,327051
"30","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRX0",92262,94358,97684,101125,103651,106319,107452,106579,108672,109204,110426,113690,117576,118042,117223,118918,118527,124475,129387,133292,135562,137965,142367,144133,146663,150408,154827,157719,161888,161143,163008,163415,166118,167080,168077,168138,163221,164715,158030,149749,145324,142421,144131,146721,151062,155013,157587,159992,161928,163584,165701,168849,173942,171630,172034,174313,178246,181234,185140,188070,188343,192373,195641
"31","23","        Furniture","DFNRRX0",60589,61524,63902,66186,67987,70418,70885,69596,71102,71595,72906,75512,77885,77988,77021,78240,77112,80224,82438,84871,85707,86859,89589,91486,92187,93868,97088,97720,98499,97257,98975,99098,100017,99660,99838,100109,96571,96669,91724,86660,84324,81463,82690,84481,86911,89032,90488,91568,93189,92974,93817,94887,97955,96048,96027,95777,97048,98001,100098,102186,101655,103816,106287
"32","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRX0",11434,11699,12014,12458,12796,13053,13609,13846,13998,13916,13884,14082,14794,15025,15035,15441,15700,16818,18243,18586,19044,19649,20412,19692,20570,21687,22834,23686,25415,25865,27084,28109,29046,29756,30756,31275,31448,31599,31404,30985,30363,30525,30859,31716,32524,33678,34889,35939,36264,37390,38159,39755,40897,40923,41202,43044,44869,46176,47946,48657,49930,50805,52094
"33","25","        Carpets and other floor coverings","DFLRRX0",15700,16314,16880,17364,17995,17855,17769,17471,17609,17859,17916,18174,18560,18647,18473,18520,18898,19916,20582,21462,22024,22513,23257,23700,23865,24350,24333,24872,25912,25749,24771,24216,24859,24866,24436,24046,22958,23648,22180,20267,19253,18801,18739,18606,19157,19454,19226,18972,19005,19604,19915,20242,20976,20588,20547,21396,22140,22747,22902,22943,22598,22930,22242
"34","26","        Window coverings","DWCTRX0",6345,6690,6883,7140,7006,7111,7068,7288,7633,7622,7613,7932,8259,8232,8450,8397,8396,9025,9385,9771,10172,10283,10463,10953,11535,11826,11749,12496,12897,12985,12708,12391,12557,13093,13265,12900,12364,12907,12751,11843,11396,11629,11840,11914,12468,12852,13006,13579,13527,13707,13920,14155,14281,14322,14544,14578,14819,15053,15058,15130,15236,15887,16177
"35","27","      Household appliances (part of 33)","DAPPRX0",30504,31657,32633,32788,33781,34373,34836,35928,35989,36212,36674,37843,38549,39256,38968,39257,39108,40795,42967,43828,45236,46268,46944,48172,48159,48552,48245,49569,50564,49476,49419,48220,48469,47439,47452,47146,46910,47145,45303,42778,41513,40119,40924,41887,42428,44989,43035,44117,44856,45525,45734,46201,44861,44353,44834,45161,46305,47141,47934,48246,48040,50258,51196
"36","28","        Major household appliances","DMHARX0",27405,28492,29422,29535,30539,31059,31450,32480,32511,32695,33170,34248,34860,35495,35212,35439,35205,36705,38734,39520,40827,41779,42304,43467,43375,43681,43332,44589,45478,44427,44346,43093,43254,42317,42307,41909,41643,41691,39940,37631,36473,35213,36114,36741,37112,39530,37554,38455,39154,39719,39888,40169,38790,38224,38590,38792,39821,40571,41312,41567,41298,43300,44157
"37","29","        Small electric household appliances","DSEARX0",3087,3166,3223,3260,3274,3343,3409,3482,3507,3542,3541,3637,3727,3798,3789,3847,3916,4100,4256,4332,4439,4522,4662,4735,4805,4887,4923,4995,5100,5057,5078,5126,5212,5120,5142,5232,5262,5451,5362,5147,5040,4906,4812,5145,5316,5458,5483,5663,5704,5807,5845,6034,6081,6145,6263,6395,6507,6592,6640,6698,6766,6980,7060
"38","30","      Glassware, tableware, and household utensils (34)","DUTERX0",25722,26434,27601,28909,29488,29874,30661,31552,31910,32504,32919,34197,35670,36164,36951,38207,37910,39335,40639,40363,41255,41154,41426,41640,42396,42290,42887,44447,45765,45258,45320,45620,46242,45064,45290,45284,43739,44817,44108,42506,40482,40993,41199,41610,42780,43233,44095,45316,45873,46817,47080,49167,50548,50767,51823,52809,53827,54339,56523,56563,56639,59718,59802
"39","31","        Dishes and flatware","DCHNRX0",10797,11039,11653,12524,12808,13014,13482,13922,14218,14702,14957,15624,16491,16831,17358,17770,17542,18070,18523,18213,18622,18549,18694,18791,18971,18619,19248,20085,20661,20309,20355,20713,21022,20533,20640,20816,20093,20732,20448,19833,18557,19099,19329,19626,20099,20473,21115,22016,22489,22925,23226,24956,25660,26232,27020,27687,27735,28077,30004,29864,29378,31543,30778
"40","32","        Nonelectric cookware and tableware","DNECRX0",15212,15710,16229,16568,16856,17026,17310,17748,17768,17816,17957,18544,19095,19219,19436,20320,20275,21203,22091,22175,22657,22635,22755,22870,23483,23807,23688,24388,25136,25002,25016,24931,25240,24546,24665,24475,23654,24087,23661,22671,21929,21892,21868,21983,22679,22762,22991,23331,23432,23938,23916,24364,25047,24770,25088,25441,26328,26513,26937,27083,27543,28583,29279
"41","33","      Tools and equipment for house and garden (35)","DTOORX0",16406,16346,16363,16809,17251,17070,17150,17291,17573,17983,17732,17981,18291,18475,18483,18836,18952,19268,20131,20291,20405,21065,21165,20973,21050,21116,21086,21492,22399,21289,20678,20478,20546,19997,19807,19544,19389,19902,19774,18589,17865,17342,17320,17391,17702,18177,17993,18524,18114,18713,19067,19221,19476,19153,19052,19397,19433,19283,19491,19505,19934,20213,20647
"42","34","        Tools, hardware, and supplies","DHDWRX0",13810,13849,13876,14217,14589,14479,14494,14586,14863,15243,15119,15372,15637,15829,15841,16177,16229,16428,17146,17247,17226,17858,17921,17704,17709,17673,17641,17964,18709,17730,17193,17018,17058,16565,16362,16144,15969,16379,16252,15253,14644,14148,14181,14236,14473,14814,14655,15088,14717,15196,15468,15565,15747,15506,15357,15638,15616,15441,15623,15642,16027,16179,16561
"43","35","        Outdoor equipment and supplies","DLWNRX0",2596,2506,2497,2599,2669,2601,2661,2709,2717,2750,2629,2628,2674,2669,2666,2686,2746,2858,3001,3058,3185,3218,3254,3276,3345,3444,3445,3528,3690,3559,3485,3460,3487,3432,3445,3399,3420,3523,3522,3337,3220,3195,3139,3155,3230,3362,3338,3436,3398,3518,3600,3658,3731,3648,3700,3763,3823,3852,3876,3872,3913,4045,4095
"44","36","    Recreational goods and vehicles","DREQRX0",105317,110333,115722,121013,128519,130169,133360,136137,138161,141899,144888,151863,157112,159357,161397,164740,167480,175943,187619,195297,200794,206231,212565,217717,227723,236189,240097,246538,261175,263603,269375,281000,286066,293508,304723,311590,308154,318108,312767,295939,298585,294740,305759,316017,324073,333828,340970,348343,357850,364947,373747,384102,397775,404897,415205,425459,437951,448453,457713,464073,468271,483078,500983
"45","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX0",35594,37698,40190,42319,45048,46547,48148,49701,51045,52660,54871,58223,60954,62881,64137,66276,67929,72212,78051,82019,85679,89319,93469,97686,103606,107948,112801,118237,125637,129843,134503,142319,148114,153469,161367,167426,167040,175949,176578,173581,179560,178009,185767,196404,206562,214578,221415,225853,233669,239753,246522,257314,263591,271794,282300,291319,300142,309016,315943,322728,328345,337702,351189
"46","38","        Video and audio equipment","DVAARX0",26990,28300,29946,31261,33014,33604,34250,35017,35846,36485,37664,39598,40561,41475,41727,42258,42568,44056,46265,47954,49709,51479,53459,55296,58257,59870,62143,65214,68537,69999,71989,75195,77579,79717,83391,86668,87501,93713,94075,92506,97165,95721,99347,105845,111120,113122,115998,120472,125102,128903,133092,138030,142955,147721,153137,157116,162374,167441,170638,174974,177275,182283,191866
"47","39","          Televisions","DTVSRX0",2506,2656,2780,2894,3112,3246,3405,3531,3631,3777,3987,4297,4422,4586,4739,5015,5321,5906,6609,7159,7693,8347,8841,9367,10160,10805,11787,13022,14188,15270,16743,18968,20678,22283,23983,25115,26194,28475,29374,30334,33234,34332,37193,41489,45018,46315,47798,50415,53405,56765,59921,62923,66106,69863,73572,76786,80445,84979,87627,89961,93209,99805,106178
"48","40","          Other video equipment","DOVARX0",2788,2986,3228,3463,3815,4060,4322,4597,4779,5103,5456,5813,6031,6200,6357,6670,6970,7482,7982,8340,8676,9189,9606,9990,10474,10703,11035,11433,11887,12432,12881,13353,13507,13858,14711,15673,16228,17743,18369,18225,18265,17643,17995,19286,19977,20666,21521,22435,23315,24147,24908,26017,26983,27957,28697,29862,30783,30463,31841,32993,33140,32116,32560
"49","41","          Audio equipment","DAUDRX0",8997,9493,10054,10486,10992,10710,10704,10948,11012,11249,11474,11767,12009,12363,12584,12610,12374,12537,13098,13267,13674,14077,14798,15430,16684,17478,18396,18656,19562,19006,18882,19070,18999,18918,18986,19414,19299,20220,19647,18328,18597,17891,17891,18336,18898,19126,19265,19583,20105,20413,20736,21447,21949,22511,22831,23194,23327,23919,24103,24291,24427,25086,26721
"50","42","          Recording media","DRECRX0",22201,22857,24056,24839,25592,25829,25704,25594,26211,25755,26033,27227,27712,27954,27289,26666,25977,25582,25621,26003,26327,26129,26444,26640,27033,26726,26365,27191,27779,27450,26865,26316,26423,26231,27033,27713,26677,28057,27217,25836,27111,25788,26205,26822,27556,27486,28005,28839,29353,29187,29596,30093,30813,31012,32196,32211,33376,34432,34254,35231,35073,35664,37668
"51","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRX0",17574,17837,18396,18465,18561,18735,18519,18185,18236,17823,17665,17804,18137,18242,17641,17160,16477,15786,15381,15410,15547,15120,15132,15075,14841,14530,14142,14237,14251,13969,13628,13234,13062,12932,12952,13322,12969,13784,13406,12857,13255,13077,13354,13759,14322,14328,14614,15042,15415,15539,15861,16467,16560,16932,17480,17482,18152,18378,18193,18316,18091,18523,19310
"52","44","            Video cassettes and discs, blank and prerecorded","DOVERX0",6138,6489,7078,7669,8223,8293,8336,8477,8959,8873,9227,10156,10328,10458,10335,10158,10081,10274,10632,10952,11134,11301,11577,11801,12356,12337,12337,13028,13574,13515,13265,13099,13360,13296,14062,14374,13697,14268,13808,12980,13855,12712,12851,13061,13231,13155,13386,13794,13933,13639,13725,13612,14243,14060,14698,14708,15197,16051,16066,16975,17069,17204,18479
"53","45","        Photographic equipment","DCAMRX0",1261,1274,1302,1374,1326,1361,1418,1516,1468,1436,1447,1466,1536,1532,1571,1588,1648,1753,1842,1922,2012,2155,2244,2341,2467,2546,2644,2744,2877,2976,3203,3480,3779,4034,4178,4358,4367,4583,4529,4384,4260,4205,4193,4271,4422,4564,4745,5012,5038,4959,5176,5181,5370,5454,5597,5616,5752,5926,6034,6186,6315,6419,6629
"54","46","        Information processing equipment","DIPERX0",8208,8886,9637,10305,11219,11915,12651,13249,13763,14637,15575,16893,18458,19419,20323,21860,23118,25784,29349,31576,33407,35139,37234,39554,42406,45150,47677,49917,53958,56733,59240,63702,66888,69919,74050,76647,75318,77687,78007,76726,78112,78078,82230,86314,91044,96776,100503,100366,103553,105955,108362,114137,115473,118876,123798,128708,132208,135883,139433,141828,144911,149156,153208
"55","47","          Personal computers and peripheral equipment","DCPPRX0",3572,3904,4335,4696,5131,5511,5911,6194,6563,7133,7767,8594,9474,10024,10519,11520,11997,13001,14498,15202,15838,16470,17385,18641,19951,21038,22291,23453,25485,26713,27431,28861,29925,30790,32493,34808,34834,37087,37983,37858,39339,39832,42679,44571,46462,48131,49143,50339,53802,56315,58995,62465,63603,64964,67203,71358,74492,76982,79275,80677,82712,85768,89814
"56","48","          Computer software and accessories","DCPSRX0",5192,5460,5522,5676,6130,6302,6504,6800,6709,6757,6745,6973,7498,7787,8124,8385,9324,11210,13402,15148,16448,17626,18811,19775,21306,23025,24279,25299,27246,28802,30715,33945,36177,38476,40933,40924,39445,39351,38689,37541,37391,36882,38168,40396,43152,47188,49916,48557,48240,48117,47854,50117,50336,52311,54912,55726,56193,57384,58626,59601,60692,61887,62059
"57","49","          Calculators, typewriters, and other information processing equipment","DOIPRX0",454,493,528,567,612,650,688,715,710,717,759,783,810,847,874,913,899,917,955,989,1033,1070,1106,1106,1140,1191,1193,1217,1251,1281,1312,1332,1345,1361,1395,1428,1409,1427,1411,1360,1376,1355,1388,1357,1435,1448,1462,1476,1520,1556,1595,1670,1686,1724,1786,1838,1857,1903,1956,1987,1988,2065,2135
"58","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX0",30013,31146,32448,34107,35677,36150,37288,37715,38342,39429,39512,41081,41886,42159,42428,43314,42671,44083,45669,46721,47583,48386,48744,48576,50513,52708,51519,52229,55611,54078,56496,57590,56449,56885,58393,59244,58014,59195,56459,51667,50377,50203,51159,51836,51441,52275,52978,54720,56669,57843,59181,60304,63381,63217,64293,65469,68190,68570,69623,69975,68712,71833,74932
"59","51","      Sports and recreational vehicles (79)","DWHLRX0",33060,34389,34672,35470,39400,36281,36175,36333,35967,37146,36688,38236,39357,38120,38315,37877,39200,41459,45197,48152,47692,48055,48830,49390,50642,52764,50924,49753,52782,51681,50733,52884,52419,53669,54280,53425,51903,51006,47531,39753,37769,35526,37497,37008,34666,35729,35375,36089,35865,35900,36145,36274,39499,38779,38678,38851,39779,41489,42879,42513,43522,44945,46239
"60","52","        Motorcycles","DMCYRX0",6276,6513,6485,7531,8186,7811,7968,8281,8805,9830,9281,9545,10305,9372,9507,9606,10386,10259,11430,12851,12086,13065,12774,12312,12787,13418,12032,12427,12524,13174,12595,12699,12611,13028,12985,13647,13366,13840,12577,10199,9626,8884,9445,9122,8579,8570,8441,8531,8939,9030,9180,8850,9751,9472,9264,9632,9685,9641,9858,10299,10188,10236,10181
"61","53","        Bicycles and accessories","DBCYRX0",3315,3342,3328,3333,3303,3292,3304,3220,3208,3205,3171,3198,3170,3121,3112,3169,3200,3247,3418,3527,3507,3418,3608,3648,3709,3745,3678,3788,3950,3883,3850,3916,3977,4122,4160,4145,4159,4331,4271,4060,4183,4116,4155,4158,4194,4218,4235,4309,4269,4282,4292,4300,4447,4564,4545,4494,4677,4442,4429,4507,4199,4329,4466
"62","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRX0",23522,24590,24917,24638,27954,25208,24927,24845,23945,24077,24216,25477,25846,25618,25684,25081,25572,27947,30328,31701,32071,31495,32397,33417,34120,35566,35233,33526,36313,34609,34275,36256,35818,36507,37121,35634,34379,32847,30689,25496,23961,22526,23897,23729,21894,22940,22696,23240,22670,22605,22694,23118,25303,24739,24856,24735,25415,27367,28543,27700,29099,30318,31499
