"","Table 3#7U# Government Current Transfer Receipts                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226"
"11","3","  Federal","W012RC0",228,236,224,228,236,252,268,288,300,300,320,328,328,336,348,356,388,428,396,412,392,356,708,780,832,864,908,936,948,964,976,996,860,896,932,948,924,924,900,896,924,940,940,944,928,932,816,808,844,848,864,896,944,980,1004,1012,1092,1156,696,736,896,972,1000,996,976,980,976,992,1124,1044,1036,1104,1108,1236,1588,1704,1848,1996,2116,2220,2272,2340,2388,2432,2524,2604,2540,3972,3220,2724,2752,2780,3376,3608,3784,3956,3892,4152,4280,4636,5072,5244,5304,5364,5932,11636,6028,6008,6152,6336,5460,7224,7928,8944,7848,7988,6444,6324,6932,7412,7904,8220,9416,9264,8856,9144,9968,11616,12836,13088,13560,13732,13488,13168,13500,17108,15032,14788,14760,15868,17316,15916,16300,14260,12980,11824,10876,9768,10184,10848,11464,29736,11532,11904,12760,12380,12572,12868,12716,12616,12368,12460,11936,13000,12868,13332,13268,13960,13444,13704,14312,14704,15020,13556,12944,13176,14436,14280,14516,14636,15588,15900,16180,15820,15876,16924,16912,17688,18908,19068,19560,20340,20928,20740,21004,23212,24084,23560,22180,38196,41660,56332,38948,40796,42988,40888,45336,45848,47586,45155,45593,41654,38848,32252,24592,18756,37344,42324,36008,40600,34712,33596,82944
"12","4","    Deposit insurance premiums \1\","B1041C0",124,124,128,128,128,132,132,136,136,132,136,136,144,144,152,152,156,160,164,168,176,184,184,188,192,200,204,212,208,216,208,216,224,248,268,280,284,284,264,256,252,256,260,260,268,276,172,180,196,200,200,204,204,212,220,232,312,332,384,428,460,460,440,416,396,384,388,396,412,428,436,448,456,468,488,508,532,556,564,560,552,560,568,588,624,656,676,680,1132,1160,1184,1204,1488,1536,1580,1644,1732,1752,1772,1988,1896,1916,1936,2084,3084,3104,3148,3340,3388,3428,3464,3424,3440,3428,3420,3772,3300,3344,3416,3864,3892,3952,4032,4264,3468,3992,4656,6240,7028,7572,7864,7664,7864,7588,7608,8712,8908,8584,8548,8772,8724,8152,7676,6620,6112,5020,4252,2648,2880,2652,2708,20632,2224,1888,1924,1936,2112,1924,1984,1776,1844,1804,1816,3128,3196,3144,3136,3716,3716,3716,3716,3600,3596,3596,3596,3168,3172,3168,3168,2664,2864,2664,2660,2236,2124,2804,2236,2268,2740,2272,2276,2692,3100,2696,2692,4588,5240,4636,4576,24012,28308,37780,18368,20800,20636,17728,18824,18544,18462,17891,17265,16298,16764,16124,14692,14340,14224,13260,12696,12120,12748,12212,12200
"13","5","    Other \2\","B1042C0",104,112,96,100,108,120,136,152,164,168,184,192,184,192,196,204,232,268,232,244,216,172,524,592,640,664,704,724,740,748,768,780,636,648,664,668,640,640,636,640,672,684,680,684,660,656,644,628,648,648,664,692,740,768,784,780,780,824,312,308,436,512,560,580,580,596,588,596,712,616,600,656,652,768,1100,1196,1316,1440,1552,1660,1720,1780,1820,1844,1900,1948,1864,3292,2088,1564,1568,1576,1888,2072,2204,2312,2160,2400,2508,2648,3176,3328,3368,3280,2848,8532,2880,2668,2764,2908,1996,3800,4488,5516,4428,4216,3144,2980,3516,3548,4012,4268,5384,5000,5388,5152,5312,5376,5808,5516,5696,6068,5624,5580,5892,8396,6124,6204,6212,7096,8592,7764,8624,7640,6868,6804,6624,7120,7304,8196,8756,9104,9308,10016,10836,10444,10460,10944,10732,10840,10524,10656,10120,9872,9672,10188,10132,10244,9728,9988,10596,11104,11424,9960,9348,10008,11264,11112,11348,11972,12724,13236,13520,13584,13752,14120,14676,15420,16168,16796,17284,17648,17828,18044,18312,18624,18844,18924,17604,14184,13352,18552,20580,19996,22352,23160,26512,27304,29124,27264,28328,25356,22084,16128,9900,4416,23120,29064,23312,28480,21964,21384,70744
"14","6","  State and local (net)","W076RC0",104,105,108,111,163,168,171,174,231,230,227,224,226,223,226,229,254,256,257,253,256,256,258,262,339,341,335,325,320,308,302,302,452,455,460,461,485,484,484,483,532,531,529,528,565,563,561,551,611,600,593,588,680,679,682,687,856,869,887,908,1070,1086,1092,1088,1232,1217,1204,1191,1377,1370,1358,1355,1584,1583,1581,1580,1860,1862,1867,1875,2158,2167,2174,2177,2459,2460,2457,2452,2865,2863,2869,2879,3232,3247,3256,3261,3628,3581,3623,3748,4004,4155,4268,4313,4323,4362,4427,4484,12559,4724,4781,4816,4811,4848,4905,4992,5072,5240,5471,5741,6057,6313,6520,6686,7238,6882,7032,7208,7762,7634,7896,8504,8883,8862,9172,10031,10117,10358,10646,10987,11381,11765,12147,12527,12895,13286,13690,14109,14534,14957,15381,15800,16261,16621,20625,17241,18572,17536,19084,31236,23280,23740,24240,24780,28088,28512,28776,28872,29384,29540,29920,30520,31588,32300,32912,33416,32788,33364,34128,35076,35895,36564,36831,36698,36283,36175,36493,37238,37761,38653,39266,39600,39933,40182,40635,41291,43059,43605,43837,43754,44114,43918,43924,44130,42393,43584,43870,43862,44213,44448,44391,43881,43057,42748,43090,44085,47395,48646,49499,54188,50535,50732,56006
"15","7","    Fines","S230560",24,29,30,29,18,16,15,15,48,48,48,48,72,71,71,70,50,49,49,48,64,64,63,61,56,55,54,55,93,93,92,90,131,128,127,126,161,160,160,159,186,185,183,182,207,208,208,209,243,244,246,247,269,270,272,273,213,213,212,210,244,243,242,243,298,300,302,304,372,374,376,378,436,436,435,433,507,503,499,495,600,596,592,588,696,694,692,690,870,868,864,858,998,992,987,983,1101,1125,1158,1196,1249,1280,1314,1349,1382,1410,1453,1487,9504,1637,1676,1695,1686,1694,1700,1716,1711,1747,1806,1872,1884,1941,1995,2040,2574,2117,2144,2169,2531,2206,2257,2642,2760,2527,2646,3331,3355,3429,3549,3715,3913,4108,4294,4469,4626,4795,4970,5153,5344,5510,5668,5814,6012,6136,6188,6164,6154,6103,6140,6263,6478,6674,6856,7020,7168,7318,7471,7627,7784,7941,8098,8253,8410,8596,8813,9061,9337,9638,9965,10316,10675,10938,11104,11175,11150,11203,11336,11547,11837,12067,12237,12347,12398,12450,12505,12562,12622,12682,12742,12803,12865,12924,12983,13039,12938,12923,12930,12958,13096,13234,13372,13510,13649,13765,13858,13929,13978,14041,14119,14212,14320,14434,14553
"16","8","    Net insurance settlements","W098RC0",-7,-11,-9,-5,9,16,20,23,18,17,14,11,7,5,8,12,25,28,29,26,10,10,13,19,41,44,39,28,-5,-17,-22,-20,0,6,12,14,9,9,9,9,9,9,9,9,11,8,6,-5,-18,-30,-39,-45,-49,-51,-50,-46,-45,-32,-13,10,51,68,75,70,45,28,13,-2,-10,-19,-33,-38,-46,-47,-48,-47,-46,-39,-30,-17,-1,13,24,32,40,43,42,39,25,25,35,51,88,110,124,134,119,133,154,182,232,253,260,251,235,183,109,17,-124,-216,-290,-342,-352,-363,-360,-341,-321,-273,-208,-134,-14,46,72,76,29,4,-20,-37,-82,-56,0,82,278,327,319,256,39,-50,-108,-129,-60,-42,-24,-10,-9,-4,-2,-5,-2,-19,-45,-74,-140,-145,-119,-56,84,163,193,171,101,75,95,161,273,229,31,-325,-834,-1112,-1161,-977,-563,-308,-212,-275,-497,-579,-523,-329,9,47,-212,-769,-1623,-2091,-2171,-1863,-1168,-692,-435,-397,-587,-604,-446,-115,391,655,679,461,2,-328,-531,-604,-550,-396,-153,178,695,716,240,-731,-2199,-2958,-3009,-2352,-986,-44,475,571,244,17,-109
"17","9","    Other \3\","S230570",87,87,87,87,136,136,136,136,165,165,165,165,147,147,147,147,179,179,179,179,182,182,182,182,242,242,242,242,232,232,232,232,321,321,321,321,315,315,315,315,337,337,337,337,347,347,347,347,386,386,386,386,460,460,460,460,688,688,688,688,775,775,775,775,889,889,889,889,1015,1015,1015,1015,1194,1194,1194,1194,1399,1398,1398,1397,1559,1558,1558,1557,1723,1723,1723,1723,1970,1970,1970,1970,2146,2145,2145,2144,2408,2323,2311,2370,2523,2622,2694,2713,2706,2769,2865,2980,3179,3303,3395,3463,3477,3517,3565,3617,3682,3766,3873,4003,4187,4326,4453,4570,4635,4761,4908,5076,5313,5484,5639,5780,5845,6008,6207,6444,6723,6979,7205,7401,7528,7699,7877,8068,8278,8495,8722,8961,9192,9466,9758,10060,10389,10630,14556,11133,12334,11270,12751,24802,16701,16991,17289,17599,20647,20965,21274,21570,22434,22711,22983,23244,23741,24012,24311,24630,23948,24305,24686,25089,25212,25579,25939,26291,26756,27062,27328,27554,27092,27278,27464,27650,28123,28336,28576,28844,30047,30268,30416,30490,31248,31322,31471,31695,30004,31057,31093,30726,30423,30499,30778,31102,31607,31941,32241,32507,34404,34648,34905,39405,35971,36282,41562
"18","10","From persons","W062RC0",335,320,313,312,312,327,352,377,430,464,492,518,537,546,547,542,519,522,532,547,599,606,605,598,555,558,580,619,691,749,809,863,921,967,1004,1036,1032,1038,1040,1046,1075,1106,1144,1187,1222,1259,1299,1344,1371,1422,1479,1548,1673,1765,1831,1875,1831,1820,1828,1861,1940,2015,2108,2209,2304,2424,2556,2688,2828,2959,3082,3203,3307,3421,3516,3620,3705,3802,3908,4009,4139,4259,4386,4528,4642,4830,5047,5289,5612,5856,6075,6261,6691,6924,7187,7462,7720,7988,8277,8535,8779,9055,9306,9532,9863,10220,10607,11010,11344,11720,12055,12717,12662,12911,13507,13696,14153,14759,15071,15401,15921,16293,16677,17081,17275,17876,18658,19599,20927,22068,23111,24178,24987,25777,26383,26833,28042,28331,28682,29221,30114,30696,31182,31576,31883,32343,32886,33480,34027,34633,35235,35829,37240,38019,38583,38954,39052,39340,39996,41064,42288,43516,44672,45772,46936,48128,49340,50596,51536,52456,53388,54304,55172,55996,56788,57564,58508,59692,61092,62744,64848,66358,67653,68738,70264,71154,72067,73015,75099,76137,77153,78149,79822,80635,81366,81997,82206,82668,82978,83158,83302,83513,83645,83702,84013,83883,83797,83740,84163,84826,85791,87064,88642,89794,90542,90872,90783,90971,91452,92210,93253,94261,95263
"19","11","  Federal \4\","B233RC0",44,44,44,44,44,40,40,40,44,44,44,48,52,52,52,52,52,56,60,60,64,60,56,52,52,52,52,52,48,48,48,48,52,56,60,68,56,48,36,28,40,52,68,84,88,88,88,88,72,68,60,60,88,124,152,176,156,132,116,108,108,112,120,120,120,120,128,132,136,144,148,156,156,168,168,180,180,184,188,180,180,180,184,196,212,228,240,248,252,256,264,264,576,648,740,836,896,956,1024,1044,1024,1044,1040,1004,1116,1168,1224,1272,1156,1200,1248,1668,1692,1828,2288,2308,2540,2904,2932,2940,2956,3032,3128,3228,3264,3360,3468,3560,3712,3848,3916,4056,3992,4096,4144,4180,5032,5008,5000,5128,5404,5608,5744,5816,5888,6036,6252,6520,6796,7060,7304,7516,7700,7864,7996,8120,8332,8588,8896,9276,9516,9744,9948,10108,10364,10616,10848,11076,10964,10868,10840,10852,10876,10808,10724,10608,10656,10820,11120,11564,12488,12972,13396,13764,14728,15004,15252,15484,16800,17140,17528,17964,19148,19456,19668,19764,19424,19476,19516,19564,19272,19388,19580,19852,20768,20844,20664,20212,19908,19804,19960,20384,21072,21440,21512,21272,20720,20388,20292,20416,20768,21024,21212
"20","12","  State and local","B246RC0",291,276,269,268,268,287,312,337,386,420,448,470,485,494,495,490,467,466,472,487,535,546,549,546,503,506,528,567,643,701,761,815,869,911,944,968,976,990,1004,1018,1035,1054,1076,1103,1134,1171,1211,1256,1299,1354,1419,1488,1585,1641,1679,1699,1675,1688,1712,1753,1832,1903,1988,2089,2184,2304,2428,2556,2692,2815,2934,3047,3151,3253,3348,3440,3525,3618,3720,3829,3959,4079,4202,4332,4430,4602,4807,5041,5360,5600,5811,5997,6115,6276,6447,6626,6824,7032,7253,7491,7755,8011,8266,8528,8747,9052,9383,9738,10188,10520,10807,11049,10970,11083,11219,11388,11613,11855,12139,12461,12965,13261,13549,13853,14011,14516,15190,16039,17215,18220,19195,20122,20995,21681,22239,22653,23010,23323,23682,24093,24710,25088,25438,25760,25995,26307,26634,26960,27231,27573,27931,28313,29540,30155,30587,30834,30720,30752,31100,31788,32772,33772,34724,35664,36572,37512,38492,39520,40572,41588,42548,43452,44296,45188,46064,46956,47852,48872,49972,51180,52360,53386,54257,54974,55536,56150,56815,57531,58299,58997,59625,60185,60674,61179,61698,62233,62782,63192,63462,63594,64030,64125,64065,63850,63245,63039,63133,63528,64255,65022,65831,66680,67570,68354,69030,69600,70063,70583,71160,71794,72485,73237,74051
"21","13","    Fines","S210660",169,155,143,133,113,115,124,140,175,205,232,256,286,296,294,280,236,224,219,225,264,273,276,275,248,247,257,276,314,345,380,413,453,478,497,508,505,509,515,523,536,549,566,585,606,635,668,707,745,788,834,877,947,958,941,898,783,736,709,708,778,811,851,896,919,971,1024,1078,1138,1187,1235,1280,1316,1361,1407,1456,1507,1566,1632,1703,1793,1869,1944,2018,2069,2161,2270,2396,2565,2697,2816,2926,3001,3104,3214,3329,3458,3585,3713,3844,3984,4110,4225,4337,4404,4537,4686,4853,5098,5243,5349,5414,5392,5414,5442,5480,5525,5601,5706,5832,6072,6176,6273,6371,6501,6610,6721,6840,6926,7089,7286,7511,7854,8041,8168,8233,8146,8160,8198,8264,8426,8499,8562,8613,8652,8684,8712,8736,8681,8705,8757,8841,9064,9204,9256,9216,9214,9153,9218,9407,9721,10013,10282,10528,10751,10977,11206,11438,11674,11910,12145,12379,12615,12896,13220,13589,14003,14456,14945,15472,16011,16405,16655,16761,16722,16802,17001,17318,17754,18100,18356,18521,18596,18675,18757,18843,18932,19022,19113,19205,19297,19387,19474,19559,19407,19385,19395,19437,19644,19851,20058,20265,20473,20647,20787,20894,20967,21062,21179,21318,21480,21650,21830
"22","14","    Other \5\","S210670",122,121,126,135,155,172,188,197,211,215,216,214,199,198,201,210,231,242,253,262,271,273,273,271,255,259,271,291,329,356,381,402,416,433,447,460,471,481,489,495,499,505,510,518,528,536,543,549,554,566,585,611,638,683,738,801,892,952,1003,1045,1054,1092,1137,1193,1265,1333,1404,1478,1554,1628,1699,1767,1835,1892,1941,1984,2018,2052,2088,2126,2166,2210,2258,2314,2361,2441,2537,2645,2795,2903,2995,3071,3114,3172,3233,3297,3366,3447,3540,3647,3771,3901,4041,4191,4343,4515,4697,4885,5090,5277,5458,5635,5578,5669,5777,5908,6088,6254,6433,6629,6893,7085,7276,7482,7510,7906,8469,9199,10289,11131,11909,12611,13141,13640,14071,14420,14864,15163,15484,15829,16284,16589,16876,17147,17343,17623,17922,18224,18550,18868,19174,19472,20476,20951,21331,21618,21506,21599,21882,22381,23051,23759,24442,25136,25821,26535,27286,28082,28898,29678,30403,31073,31681,32292,32844,33367,33849,34416,35027,35708,36349,36980,37602,38213,38814,39348,39814,40213,40544,40897,41270,41663,42078,42504,42941,43390,43849,44169,44349,44389,44733,44738,44591,44291,43838,43654,43738,44091,44611,45171,45772,46414,47097,47707,48243,48706,49096,49521,49981,50475,51005,51587,52221
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1. Beginning in 2008, includes receipts for the U.S. Treasury's Temporary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Guarantee Program for Money Market Funds and the Federal Deposit Insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Corporation's (FDIC) Temporary Liquidity Guarantee Program.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. Consists largely of fines and fees, less net insurance settlements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","3. Consists largely of donations.  Beginning with 1997, includes settlements",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of lawsuits with tobacco companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","paid by nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
