"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"35","28","S1 EN447ZZZMA     Gasoline stations","T050280",160716,167392,176503,186812,199856,206080,197745,218994,257303,259186,257570,282775,331004,387820,431264,462296,510591,399356,459496,541218,564049,562221
"36","29","S1 EN451ZZZMA     Sporting goods, hobby, book, and music stores","T050290",51827,55091,60626,64420,67416,69297,73056,76894,80638,81730,81678,81822,83862,85507,88583,89759,89218,86126,86510,87532,90267,93467
"37","30","S4 EN4511ZZMA       Sporting goods, hobby, and musical instrument stores","T050300",35487,37460,41107,43157,45072,46370,48689,51490,54474,55450,55798,56436,58270,60261,64159,66296,66770,65424,66592,69379,73771,76860
"38","31","S4 EN4512ZZMA       Book, periodical, and music Stores","T050310",16340,17631,19520,21262,22344,22927,24368,25404,26164,26279,25880,25385,25592,25246,24424,23463,22448,20702,19918,18154,16496,16606
"39","32","S1 EN453ZZZMA     Miscellaneous store retailers","T050320",56820,64217,72235,79094,85702,94012,102510,108193,111256,107444,106966,107121,109395,113336,119811,122433,117322,108643,111722,116436,118138,123286
"40","33","S3 EN4531ZZMA       Florists","T050330",6680,6803,6928,6992,7475,7692,8002,8237,8600,8293,7891,7315,7126,7520,7733,7677,7064,6113,6052,5696,5662,4910
"41","34","S3 EN4532ZZMA       Office supplies, stationery, and gift stores","T050340",22594,25459,28912,31078,32670,35925,39657,42413,44401,42037,41579,40850,41827,42513,44052,44174,41373,38027,38073,38030,37748,39510
"42","35","S4 EN4533ZZMA       Used merchandise stores","T050350",5797,6387,6396,6930,7592,8426,9448,9799,10278,10012,9996,9690,9708,9746,10879,11387,11456,10823,11564,12602,13836,15103
"43","36","S4 EN4539ZZMA       Other miscellaneous store retailers","T050360",21750,25568,29999,34093,37964,41970,45403,47744,47977,47101,47498,49267,50733,53557,57147,59194,57430,53680,56032,60108,60892,63763
"44","37","S1 EN454ZZZMA     Nonstore retailers","T050370",80339,87413,98514,105949,119671,129259,137073,155184,184572,184561,193322,210292,232196,261284,291313,315088,325977,316647,346832,384868,415093,455236
"45","38","S2 EN4541ZZMA       Electronic shopping and mail-order houses","T050380",35674,40908,47814,53425,61795,71359,81698,95668,115792,117036,124229,136832,156137,179459,206177,227915,231796,236949,264505,295811,327210,364980
"46","39","S4 EN4542ZZMA       Vending machine operators","T050390",7193,7025,7162,6944,7634,7998,8067,8443,8811,8062,8165,7955,8353,8268,8366,8119,7960,6970,6673,6526,7006,6818
"47","40","S4 EN4543ZZMA       Direct selling establishments","T050400",37472,39480,43537,45581,50242,49902,47309,51072,59970,59462,60929,65505,67705,73557,76770,79054,86222,72727,75654,82531,80877,83437
"48","41","S1 EN722ZZZMA Food services and drinking places","T050410",214493,227986,238011,246793,255945,272696,287266,300500,321269,335443,349849,370033,394185,419847,448456,472267,484015,479542,494743,521040,551381,568127
"49","42","S4 EN7221ZZMA   Full-service restaurants","T050420",91313,96545,102420,105029,110145,121142,126730,132621,141272,148581,156450,164745,174614,184843,197754,208216,209235,205340,209835,224041,237867,243346
"50","43","S4 EN7222ZZMA   Limited-service eating places","T050430",92100,100012,103926,109032,111935,115484,122188,126535,134511,140275,145778,155050,167062,178835,188917,197376,205884,207456,216343,226251,238666,254322
"51","44","S4 EN7223ZZMA   Special food Services","T050440",18110,18607,19239,19561,20204,21906,23584,25992,29333,30003,30371,31993,34044,37202,41445,45710,47578,45716,47434,49310,52519,48093
"52","45","S4 EN7224ZZMA   Drinking places (alcoholic beverages)","T050450",12969,12821,12426,13170,13662,14163,14764,15351,16154,16583,17250,18244,18466,18967,20339,20964,21318,21029,21130,21437,22329,22366
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 EN04472BMA   Retail and food services except motor vehicle and parts dealers","T050460",1661554,1753330,1865012,1953426,2056145,2162762,2258167,2420538,2594362,2673140,2752474,2888505,3098868,3337731,3550565,3690248,3767097,3553786,3711513,3959081,4123716,4250747
"55","47","S1 EN44GZZZMA   Retail trade except motor vehicle and parts dealers","T050470",1447061,1525344,1627001,1706633,1800199,1890066,1970901,2120038,2273093,2337697,2402625,2518473,2704683,2917884,3102109,3217981,3283081,3074244,3216771,3438042,3572335,3682620
"56","48","S2 EN44BZZZMA   GAFO-Department store merchandise stores \1\","T050480",562912,603982,650651,687276,720285,754793,801403,860605,909991,933696,965393,999803,1058069,1122398,1180731,1217713,1214296,1162228,1190668,1234700,1275076,1300046
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries EN442ZZZMA, EN443ZZZMA, EN448ZZZMA, EN451ZZZMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","EN452ZZZMA, and EN4532ZZMA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
