"","Table 5#7#6BU# Change in Real Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"46","37","      Nondurable goods industries","KC30NF0",4036,910,5030,3446,-2390,1723,-1220,1503,2507,3123,1751,-5888,-1858,5549,1260,-571,-1441
"47","38","Wholesale trade industries","KCWT0",29990,26502,23586,23129,-15242,364,1891,24238,30897,23829,15873,18256,-61892,24789,16627,21407,21443
"48",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","39","    Durable goods industries","KCWTD0",18111,18647,15816,15215,-19162,-1739,2877,21303,22329,18830,3278,8543,-49577,10367,22850,19865,15415
"50","40","    Nondurable goods industries","KCWTN0",11502,6622,7051,7431,6114,2477,-1230,2083,8187,4751,12526,9691,-12315,14183,-4388,2868,6615
"51",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Merchant wholesale industries","KC42W0",26885,23969,20254,18122,-9866,1118,2349,22017,21819,17874,9943,5882,-46099,20646,12494,16691,22184
"53","42","      Durable goods industries","KC42WD0",16301,16745,14100,11836,-15404,-2449,2993,20315,17317,15041,2679,6507,-44499,12875,17165,16684,15077
"54","43","        Motor vehicles, parts, and supplies wholesalers","KC42110",1450,803,2863,1324,-1196,2178,1517,1890,3859,1738,1302,3945,-9361,2489,5977,534,1584
"55","44","        Furniture and home furnishings wholesalers","KC42120",158,379,427,673,-513,435,429,325,483,417,-53,-766,-1900,607,-265,107,423
"56","45","        Lumber and other construction materials wholesalers","KC42130",766,-172,466,541,-68,313,1336,2019,677,262,-809,-1142,-2190,331,105,628,596
"57","46","        Professional and commercial equipment wholesalers","KC42140",2463,1378,2065,559,-937,-449,613,1918,1747,3242,1807,1021,-1859,3053,1996,3089,2744
"58","47","          Computers and software wholesalers","K421430",844,701,801,-17,-187,88,726,822,867,1260,716,829,686,2429,1256,1806,2165
"59","48","          Other professional and commercial equipment wholesalers","K4214X0",824,-536,780,1067,-985,-890,-694,979,729,1956,1081,140,-2545,690,778,1342,756
"60","49","        Metal and mineral (except petroleum) wholesalers","KC42150",1199,1996,86,270,-1695,-31,-537,3913,643,2425,-1432,1429,-6977,986,1287,2206,-33
"61","50","        Electrical goods wholesalers","KC42160",475,1971,3087,3643,-4334,-982,213,3087,2362,3048,2587,1173,-5266,2831,1785,1778,1110
"62","51","        Hardware and plumbing and heating equipment wholesalers","KC42170",207,1043,195,1126,-971,357,637,1626,1401,1374,446,-1813,-2298,461,823,261,17
"63","52","        Machinery, equipment, and supplies wholesalers","KC42180",5835,7188,2384,1325,-2998,-3382,-2852,4334,4670,3382,1272,890,-10326,2981,5555,7431,7399
"64","53","        Miscellaneous durable goods wholesalers","KC42190",1636,2475,31,1883,-2520,-1109,931,1131,1207,-1259,-2209,1599,-4322,-478,309,733,1524
"65","54","      Nondurable goods industries","KC42WN0",10360,6399,5544,6008,7295,4062,-830,926,4099,2563,7265,-565,-1600,7845,-3491,1075,7473
"66","55","        Paper and paper products wholesalers","KC42210",883,31,-232,303,-776,107,67,715,444,-299,102,-226,-600,26,-43,210,38
"67","56","        Drugs and druggists' sundries wholesalers","KC42220",2263,1472,4465,5984,9149,1099,-300,-844,-2394,505,844,-593,-424,1285,1266,-1163,4434
"68","57","        Apparel, piece goods, and notions wholesalers","KC42230",1450,289,-675,119,-30,1138,-268,815,1443,86,349,553,-3074,2697,430,-352,1226
"69","58","        Grocery and related products wholesalers","KC42240",1201,-253,1529,-114,-2021,1823,-1586,-372,1760,1244,1124,1037,-1173,1185,1281,611,984
"70","59","        Farm product raw material wholesalers","KC42250",1820,2001,1736,645,245,-1362,2077,-3620,2326,288,1804,-1830,3491,3295,-5583,10,2014
"71","60","        Chemical and allied products wholesalers","KC42260",467,805,415,-455,516,242,-238,-268,122,-125,438,222,-1417,678,493,597,525
"72","61","        Petroleum and petroleum products wholesalers","KC42270",130,1988,-2984,-739,3443,-1731,-417,1490,186,488,481,-550,3962,-1470,-969,173,-1030
"73","62","        Beer, wine, and distilled alcoholic beverages wholesalers","KC42280",445,217,350,150,-299,532,241,413,564,744,1112,991,-967,314,630,835,437
"74","63","        Miscellaneous nondurable goods wholesalers","KC42290",1227,1092,-429,-450,-1557,665,-262,2164,-157,-504,947,118,-1398,414,1011,132,-437
"75","64","    Nonmerchant wholesale industries","KC42N0",3127,2519,3364,5060,-5500,-789,-480,2234,8993,5893,5802,12219,-15793,4138,4041,4634,-460
"76","65","      Durable goods industries","KC42ND0",1861,1946,1740,3277,-3684,667,-97,1046,4958,3770,597,2030,-5078,-2520,5686,3179,340
"77","66","      Nondurable goods industries","KC42NN0",1064,49,1607,1483,-1457,-1890,-429,1215,4023,2124,5097,10114,-10715,6075,-893,1687,-682
"78","67","Retail trade industries","KC440",15761,16222,27461,21776,-11294,27714,19142,25172,5160,9766,6561,-30148,-49714,18422,-1101,25607,28372
"79","68","  Motor vehicle and parts dealers","KC4410",5077,1826,12348,11699,-9170,17180,12916,7551,-2910,-684,2911,-12243,-32931,11689,1172,21153,17569
"80","69","  Furniture, furnishings, electronics, and appliance stores","KC44230",731,1158,1427,1535,-146,1760,1823,3264,1258,1086,1248,-3639,-1737,2340,-733,1426,342
"81","70","  Building material and garden equipment and supplies dealers","KC4440",1683,2463,2467,1457,33,2199,1010,2440,2080,-83,751,-5190,-2540,171,-405,1087,1388
"82","71","  Food and beverage stores","KC4450",462,1261,2016,-730,519,1074,-1451,357,-253,994,1208,-445,-332,333,-143,145,1123
"83","72","  Clothing and clothing accessories stores","KC4480",1096,1458,1566,3313,-1280,2263,698,2793,1395,3480,-1187,-2255,-4916,355,-1372,189,1039
"84","73","  General merchandise stores","KC4520",164,415,3071,1177,176,2308,1431,4924,3088,1081,-247,-4071,-2870,2188,930,-50,2854
"85","74","    Department stores","KC45210",264,-1056,693,-687,-2052,-1475,-1521,740,646,-1109,-934,-3461,-2176,1768,-1505,-8238,290
"86","75","    Other general merchandise stores","KC45290",-118,1606,2464,1972,2390,3978,3094,4264,2477,2257,710,-599,-694,429,2410,8024,2537
"87","76","  Other retail stores","KC44X0",6510,8236,3720,1846,-356,-780,1382,3366,778,4067,1813,-2289,-4388,1395,-545,1958,4148
"88","77","Other industries","KCOTH0",6217,6598,8367,14299,-419,-760,1668,4607,2511,4283,-168,1756,-5515,-1094,3316,3099,-122
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
