"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"37","29","    Nondurable goods","B696RG3",20.035,20.035,20.034,20.035,20.335,20.334,20.335,20.335,20.636,20.636,20.637
"38","30","  Petroleum and products","B648RG3",4.911,4.985,5.133,5.059,4.911,4.985,4.911,5.059,4.985,4.985,4.911
"39","31","  Capital goods, except automotive","B650RG3",100.829,100.935,101.117,101.112,101.952,102.116,102.067,102.225,105.492,105.272,105.038
"40","32","    Civilian aircraft, engines, and parts","B932RG3",16.118,16.221,16.323,16.438,16.598,16.757,16.871,17.01,17.163,17.341,17.551
"41","33","    Computers, peripherals, and parts","B852RG3",9100.169,8623.961,9108.719,9117.27,8007.649,8407.789,8224.864,8544.422,9530.624,8980.482,8639.237
"42","34","    Other","B853RG3",63.023,63.186,63.177,63.149,63.969,63.931,63.914,63.889,65.84,65.785,65.68
"43","35","  Automotive vehicles, engines, and parts","B651RG3",14.357,14.51,14.128,14.357,15.122,14.894,14.514,15.204,15.207,15.285,15.21
"44","36","  Consumer goods, except automotive","B652RG3",25.764,25.209,25.274,25.189,24.805,25.775,26.07,25.874,25.357,25.695,26.807
"45","37","    Durable goods","B697RG3",32.571,31.463,31.187,32.121,30.46,32.327,32.336,32.531,31.331,33.009,33.934
"46","38","    Nondurable goods","B698RG3",18.246,18.251,18.657,17.63,18.441,18.527,19.087,18.519,18.665,17.779,18.974
"47","39","  Other","B653RG3",23.187,23.015,22.778,22.781,22.89,22.911,22.841,22.787,22.827,22.924,22.963
"48","40","Imports of services \1\","B656RG3",19.011,19.025,19.045,19.071,19.186,19.33,19.522,19.599,19.588,19.697,19.925
"49","41","  Direct defense expenditures","B752RG3",9.963,9.963,9.963,9.963,9.963,10.005,10.005,10.047,10.048,10.048,10.211
"50","42","  Travel","B768RG3",23.17,23.17,23.17,23.17,23.604,23.923,24.561,24.561,24.771,24.771,24.835
"51","43","  Passenger fares","B769RG3",23.495,23.686,23.871,24.043,24.338,24.406,24.469,24.53,24.658,24.669,24.679
"52","44","  Other transportation","B770RG3",14.849,14.829,14.809,14.788,14.64,14.706,14.782,14.867,14.486,14.859,15.167
"53","45","  Royalties and license fees","B908RG3",18.225,18.353,18.518,18.727,19.01,19.196,19.444,19.692,19.897,20.135,20.411
"54","46","  Other private services","B909RG3",33.528,33.602,33.888,34.271,34.884,35.253,35.656,36.175,36.535,37.047,37.588
"55","47","  Other","B910RG3",19.968,20.03,20.115,20.223,20.582,20.832,21.254,21.363,21.553,21.667,21.834
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Exports of durable goods","B332RG3",42.321,42.076,42.047,42.652,42.828,44.745,43.797,44.548,45.295,45.109,45.769
"58","49","  Exports of nondurable goods","B339RG3",25.899,25.818,25.584,25.325,25.467,25.414,25.053,24.8,25.248,25.222,25.547
"59","50","  Exports of agricultural goods \2\","B181RG3",32.621,32.62,32.184,31.455,31.898,32.044,31.16,31.077,32.015,31.937,32.016
"60","51","  Exports of nonagricultural goods","B182RG3",27.948,27.759,27.695,27.997,27.953,28.656,27.993,28.407,29.315,28.909,29.51
"61","52","  Imports of durable goods","B333RG3",35.238,34.984,34.711,34.984,35.289,35.626,35.429,35.846,35.998,36.393,36.509
"62","53","  Imports of nondurable goods","B340RG3",11.759,11.757,11.86,11.763,11.818,11.879,11.937,11.984,12.082,12.02,12.129
"63","54","  Imports of nonpetroleum goods","B187RG3",30.542,30.376,30.304,30.348,30.642,30.858,30.863,31.065,31.304,31.435,31.663
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
