"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"32","25","  Nondurable goods","DNDGRA3",14.212,13.47,13.322,12.144,12.098,13.086,13.846,15.428,15.807,16.032,16.762,17.479,18.536,18.588,18.706,19.099,20.284,22.113,21.982,22.145,22.469,23.216,23.571,24.456,25.215,25.613,26.942,27.888,28.447,28.825,30.122,30.622,31.24,32.203,32.896,34.44,36.176,38.186,39.006,40.657,41.781
"33","26","    Food and beverages purchased for off-premises consumption","DFXARA3",21.975,21.428,21.308,19.758,20.639,22.651,23.843,27.11,27.859,28.448,28.813,30.024,31.033,30.891,30.093,31.396,33.094,37.079,37.083,36.781,36.959,37.736,37.943,38.978,40.461,41.544,43.548,44.993,46.065,46.258,48.17,48.515,49.191,49.517,49.923,51.623,54.207,56.323,57.611,60.165,61.824
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRA3",25.895,25.188,24.863,22.875,23.308,22.532,22.995,25.837,26.6,27.851,28.169,29.619,30.494,29.946,28.727,30.284,31.952,36.481,36.691,37.195,37.689,38.408,38.932,40.287,42.045,43.593,45.948,47.641,49.186,49.476,51.527,52.029,52.828,52.976,53.313,55.168,58.155,60.396,61.801,64.278,65.59
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRA3",NA,NA,NA,NA,1.255,10.822,14.791,18.953,19.633,17.862,18.107,18.579,20.265,21.588,21.592,22.575,23.957,25.654,26.136,23.111,22.697,23.873,23.041,22.886,23.695,23.009,23.657,24.2,23.831,23.9,25.268,25.411,25.622,27.183,28.01,29.134,30.197,31.882,32.789,35.731,39.039
"36","29","      Food produced and consumed on farms (6)","DFFDRA3",2494.487,2488.001,2649.447,2636.834,2849.453,2721.161,2518.632,2570.526,2559.354,2591.067,2658.096,2602.599,2483.316,2442.594,2597.914,2460.252,2531.606,2600.797,2335.564,2242.588,2095.917,2049.429,1978.076,1928.705,1803.656,1747.799,1686.536,1627.075,1474.277,1399.681,1354.908,1224.904,1196.23,1052.645,1005.499,942.504,829.93,764.906,710.984,657.331,609.16
"37","30","    Clothing and footwear","DCLORA3",10.451,9.402,9.286,8.258,7.433,7.851,8.485,9.225,9.128,9.254,9.993,10.317,11.093,11.565,12.59,12.185,12.591,12.84,12.251,12.371,12.446,12.759,12.694,13.356,13.475,13.488,14.145,14.516,14.414,14.56,15.31,15.449,15.734,16.447,16.748,18.022,18.772,20.03,20.169,20.978,21.383
"38","31","      Garments","DGARRA3",9.528,8.631,8.464,7.295,6.568,6.86,7.569,8.212,7.991,8.137,8.961,9.255,9.688,9.598,10.393,10.029,10.274,10.957,10.663,10.885,10.894,11.066,11.19,11.986,12.142,12.254,12.804,13.213,13.144,13.16,13.944,14.114,14.425,15.12,15.474,16.731,17.49,18.699,18.865,19.573,19.921
"39","32","        Women's and girls' clothing (10)","DWGCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.362,12.575,12.91,13.651,14.042,15.204,15.804,16.837,16.698,17.315,17.572
"40","33","        Men's and boys' clothing (11)","DMBCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.349,17.384,17.588,18.149,18.331,19.838,20.816,22.377,23.139,23.981,24.256
"41","34","        Children's and infants' clothing (12)","DCICRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.626,7.021,7.615,8.159,9.212,9.228,11.023,11.898,12.91,13.978,17.41
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRA3",16.315,14.309,14.515,14.382,12.932,14.192,14.23,15.592,16.385,16.361,16.459,16.963,20.096,24.596,27.198,26.559,28.189,24.657,21.814,21.124,21.68,22.987,21.562,21.174,21.011,20.314,21.631,21.697,21.382,22.371,22.841,22.77,22.88,23.659,23.624,24.928,25.573,27.069,27.044,28.414,29.135
"43","36","    Gasoline and other energy goods","DGOERA3",16.546,16.451,16.075,15.065,15.416,16.211,17.032,18.41,19.151,18.933,20.304,21.655,23.416,20.14,16.44,16.548,19.343,27.259,28.881,29.996,30.067,31.593,33.273,34.688,35.575,36.569,39.478,41.166,42.186,44.076,45.149,45.869,45.566,47.045,48.673,51.268,53.71,56.642,58.094,60.548,63.178
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRA3",7.694,7.768,8.089,7.454,7.467,7.958,8.44,9.119,9.814,10.097,10.76,11.405,12.723,9.59,6.084,6.276,8.268,15.006,15.967,16.983,18.467,19.15,20.817,22.533,23.778,24.533,26.669,28.282,29.371,30.766,32.346,33.454,33.799,35.232,36.314,38.302,40.111,42.614,43.999,47.063,50.227
"45","38","      Fuel oil and other fuels (29)","DFULRA3",227.243,222.03,201.496,192.848,202.855,209.635,217.486,235.228,232.871,216.085,234.105,252.03,259.781,266.998,271.997,269.252,287.567,309.297,325.769,327.35,288.777,310.315,309.625,300.904,290.81,296.479,315.082,315.717,313.045,324.956,310.42,299.039,281.453,281.506,294.938,309.264,324.403,333.587,334.221,315.811,299.422
"46","39","    Other nondurable goods","DONGRA3",6.716,6.155,6.054,5.368,5.297,5.797,6.078,6.71,7.067,7.147,7.738,8.069,8.93,9.517,10.319,10.81,11.789,11.723,11.751,12.173,12.954,13.838,14.481,15.139,15.767,15.716,16.479,17.228,17.866,18.229,19.328,20.243,21.294,22.794,23.833,24.889,26.394,28.493,29.332,30.517,31.357
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRA3",1.407,1.331,1.233,1.113,1.118,1.275,1.326,1.423,1.548,1.592,1.694,1.759,1.985,2.266,2.695,2.827,2.98,3.262,3.117,3.285,3.43,3.745,4.161,4.299,4.435,4.453,4.819,5.309,5.771,5.986,6.472,7.112,8.019,8.926,9.643,9.943,10.384,10.81,11.626,12.833,13.905
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRA3",2.321,2.055,1.965,1.791,1.665,1.641,1.669,1.981,1.934,2.136,2.462,2.493,2.87,2.595,2.453,2.5,2.778,3.522,3.52,3.525,3.791,4.271,4.644,4.699,4.86,4.913,5.149,5.483,5.668,5.675,6.285,6.736,7.05,7.613,8.268,9.044,9.955,11.118,11.495,12.237,12.627
"49","42","      Household supplies (parts of 32 and 36)","DHOURA3",6.257,5.755,5.872,5.25,5.294,5.795,6.124,7.225,7.66,7.58,8.755,9.387,10.084,10.03,10.366,10.191,9.64,11.774,11.746,12.269,13.737,15.357,15.195,15.412,16.101,16.121,17.386,18.146,18.731,18.846,20.421,21.484,23.519,25.777,27.137,29.637,31.882,34.684,35.563,36.968,37.458
"50","43","      Personal care products (part of 118)","DOPCRA3",4.131,3.684,3.714,3.176,2.466,3.155,3.182,3.362,3.586,3.693,4.075,4.293,4.96,5.466,6.447,6.975,7.5,7.207,6.752,6.811,7.074,7.841,7.815,8.585,9.136,9.439,10.362,11.307,12.068,12.629,12.889,14.237,15.674,17.069,18.191,19.559,21.283,23.806,25.344,26.784,27.426
"51","44","      Tobacco (127)","DTOBRA3",59.225,53.733,54.189,48.111,50.596,54.278,57.496,61.954,65.783,66.298,67.951,69.934,75.931,82.84,87.138,85.054,88.66,100.255,104.059,107.277,107.598,109.209,113.001,117.142,115.953,111.592,113.013,116.375,120.913,124.785,131.342,133.257,137.388,137.831,138.936,136.886,140.479,140.479,141.742,140.734,138.868
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRA3",17.442,16.633,15.352,13.264,13.426,14.439,15.349,16.503,17.365,16.686,18.045,19.087,21.356,22.122,24.593,25.596,28.46,31.564,32.276,31.99,32.023,32.487,33.367,34.317,35.45,36.276,36.856,36.994,36.944,36.942,38.596,39.216,37.14,40.807,42.006,41.596,43.165,49.333,48.674,49.421,52.21
"53","46","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","47","Services","DSERRA3",7.544,7.387,7.199,6.764,6.513,6.832,7.07,7.505,7.857,7.794,8.097,8.41,8.909,9.4,10.151,10.718,11.293,11.807,11.856,12.17,12.464,13.011,13.78,14.399,15.006,15.53,16.311,17.094,17.685,18.26,19.164,19.915,20.648,21.624,22.543,23.885,25.204,26.453,27.541,29.009,30.303
"55","48","  Household consumption expenditures (for services)","DHCERA3",7.809,7.625,7.415,6.973,6.729,7.091,7.353,7.818,8.207,8.125,8.449,8.767,9.304,9.82,10.6,11.184,11.804,12.346,12.434,12.77,13.085,13.675,14.517,15.138,15.782,16.33,17.166,17.976,18.605,19.197,20.11,20.846,21.622,22.658,23.626,24.992,26.381,27.698,28.826,30.347,31.732
"56","49","    Housing and utilities","DHUTRA3",6.222,6.205,6.169,6.064,5.947,6.265,6.343,6.48,6.618,6.735,6.924,7.17,7.561,7.96,8.251,8.583,8.808,9.604,10.427,11.122,11.891,12.816,13.824,14.765,15.616,16.48,17.388,18.355,19.31,20.288,21.452,22.598,23.708,25.081,26.252,27.525,28.983,30.307,31.672,33.26,35.088
"57","50","      Housing","DHSGRA3",6.548,6.47,6.407,6.295,6.178,6.511,6.564,6.666,6.774,6.881,7.042,7.253,7.666,8.057,8.36,8.68,8.865,9.627,10.401,11.023,11.745,12.57,13.497,14.378,15.154,15.894,16.696,17.524,18.416,19.309,20.351,21.41,22.457,23.708,24.774,25.955,27.361,28.599,29.869,31.365,33.069
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRA3",12.635,12.729,12.919,12.969,12.294,13.686,13.878,14.24,14.678,15.116,15.603,16.162,16.936,17.485,17.485,17.374,16.778,17.562,18.302,19.127,20.219,21.196,22.35,23.31,24.211,24.808,25.305,25.883,26.964,28.052,29.334,30.628,32.221,33.998,35.691,37.561,39.627,41.401,43.135,45.769,48.106
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRA3",4.101,3.987,3.869,3.73,3.768,3.814,3.826,3.853,3.871,3.894,3.965,4.072,4.373,4.715,5.075,5.493,5.865,6.601,7.351,7.934,8.567,9.35,10.217,11.081,11.826,12.602,13.484,14.371,15.212,16.07,17.086,18.117,19.046,20.202,21.14,22.158,23.417,24.537,25.683,26.914,28.475
"60","53","        Rental value of farm dwellings (22)","DFARRA3",47.979,47.791,47.581,47.256,46.961,46.646,46.622,46.652,46.813,46.779,46.946,47.373,47.924,48.169,48.229,48.192,48.045,49.178,50.032,51.173,52.179,52.986,53.692,54.181,54.63,54.968,55.068,55.315,55.5,55.621,55.911,56.048,56.427,56.693,56.976,57.342,57.565,57.929,58.358,58.727,59.023
"61","54","        Group housing (23)","DGRHRA3",101.816,98.197,93.066,84.026,82.438,94.406,101.816,110.652,115.902,115.125,118.505,125.958,134.341,131.455,150.543,163.126,178.962,193.414,241.048,217.556,206.074,207.175,214.952,221.909,228.918,235.875,244.343,256.594,272.309,266.897,240.385,224.531,217.689,198.921,184.438,195.878,209.527,215.567,252.853,265.595,294.158
"62","55","      Household utilities","DUTLRA3",4.438,4.744,4.849,4.781,4.668,4.908,5.078,5.351,5.598,5.755,6.06,6.458,6.727,7.143,7.363,7.742,8.152,9.081,10.116,11.172,12.171,13.625,15.059,16.309,17.578,19.18,20.705,22.511,23.812,25.281,27.16,28.8,30.245,32.315,34.101,35.886,37.574,39.376,41.265,43.352,45.875
"63","56","        Water supply and sanitation (25)","DWRSRA3",11.019,11.713,11.713,11.35,12.033,13.274,13.068,13.691,13.896,13.73,14.562,14.882,15.426,15.903,16.191,16.465,16.611,17.707,18.297,18.922,19.651,20.146,20.861,21.252,21.757,22.078,22.134,23.003,22.796,21.914,23.847,26.181,27.421,29.212,31.962,33.363,34.807,35.176,35.399,36.687,39.228
"64","57","        Electricity and gas","DELGRA3",3.726,3.989,4.099,4.058,3.886,4.037,4.231,4.466,4.709,4.889,5.14,5.534,5.771,6.171,6.379,6.759,7.187,8.083,9.152,10.244,11.264,12.817,14.33,15.685,17.057,18.84,20.59,22.552,24.106,25.994,27.871,29.388,30.875,33.006,34.607,36.474,38.215,40.321,42.573,44.838,47.354
"65","58","          Electricity (27)","DELCRA3",1.922,2.127,2.258,2.287,2.254,2.412,2.583,2.78,2.996,3.217,3.427,3.714,3.963,4.202,4.324,4.666,4.977,5.763,6.47,7.259,8.103,9.207,10.219,11.214,12.243,13.347,14.343,15.559,16.683,17.618,18.709,19.793,20.756,22.123,23.27,24.697,26.023,27.74,29.437,31.415,33.321
"66","59","          Natural gas (28)","DGHERA3",11.778,12.145,12.016,11.578,10.693,10.694,10.888,11.189,11.444,11.317,11.651,12.421,12.488,13.538,14.096,14.507,15.339,16.434,18.873,21.044,22.551,25.722,29.129,31.74,34.273,38.749,43.599,48.53,51.608,57.587,62.701,65.775,69.3,74.41,77.652,80.978,84.12,87.361,91.512,94.341,98.926
"67","60","    Health care","DHLCRA3",5.848,5.719,5.611,5.303,4.915,5.05,5.076,5.407,5.539,5.425,5.709,5.863,6.052,6.328,6.317,6.738,6.88,8.067,8.436,9.194,9.398,9.844,10.129,10.68,11.206,12.033,12.397,13.152,13.887,14.975,16.108,16.314,17.038,18.573,19.801,22.044,23.049,24.305,25.439,27.413,29.446
"68","61","      Outpatient services","DOUTRA3",6.21,5.811,5.536,5.104,4.668,4.908,4.885,5.322,5.438,5.158,5.47,5.597,5.826,6.04,5.855,6.374,6.534,8.042,8.579,9.483,9.466,9.809,10.143,10.548,11.021,11.888,11.974,12.577,13.225,14.182,15.091,15.599,16.073,17.394,18.249,20.902,21.621,21.799,21.659,22.449,23.45
"69","62","        Physician services (44)","DPHYRA3",7.065,6.656,6.369,5.973,5.55,5.909,5.995,6.587,6.748,6.352,6.655,6.776,6.971,7.229,6.921,7.861,7.958,10.017,11.145,12.339,12.392,12.855,13.397,13.845,14.403,15.507,15.396,16.185,16.985,18.396,19.201,19.542,19.679,21.005,21.877,25.079,25.384,25.376,26.3,27.099,28.66
"70","63","        Dental services (45)","DDENRA3",13.977,13.059,12.442,11.295,10.08,10.495,10.015,10.801,11.039,10.778,11.811,12.327,13.359,13.78,13.758,13.547,14.058,16.521,15.663,17.253,16.939,17.523,17.806,19.085,20.277,22.216,23.352,24.455,25.692,26.584,26.652,27.179,28.189,29.435,29.101,32.971,33.878,34.579,37.148,38.688,42.015
"71","64","        Paramedical services (46)","DPMSRA3",2.302,2.099,1.964,1.734,1.555,1.568,1.551,1.652,1.662,1.539,1.613,1.614,1.615,1.693,1.625,1.809,1.929,2.346,2.574,2.839,2.835,2.932,3.005,3.036,3.135,3.297,3.271,3.444,3.674,4.028,5.331,6.036,6.756,8.043,9.226,10.657,11.829,12.076,9.692,10.199,9.689
"72","65","      Hospital and nursing home services","DHPNRA3",4.501,4.981,5.264,5.254,5.002,4.9,5.027,5.097,5.252,5.514,5.708,5.91,5.987,6.378,6.749,6.914,7.007,7.46,7.5,7.958,8.498,9.066,9.254,9.972,10.53,11.227,11.979,12.898,13.703,14.896,16.269,16.024,17.036,18.742,20.385,21.905,23.217,25.837,28.633,32.072,35.351
"73","66","        Hospitals (51)","DHSPRA3",5.5,6.085,6.431,6.419,6.111,5.986,6.142,6.227,6.417,6.736,6.974,7.221,7.315,7.793,8.246,8.448,8.561,9.114,9.163,9.723,10.383,11.077,11.306,12.183,12.865,13.717,14.635,15.758,16.742,18.2,19.861,18.796,19.664,21.47,22.982,23.962,25.623,28.205,30.99,34.447,37.439
