"","Table 2#5#4 Price Indexes for Personal Consumption Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"26","19","    Housing","DHSGRG3",19.162,19.981,20.909,21.663,22.584,23.43,24.947,26.579,28.819,30.796,33.173,36.22,39.909,43.193,45.79,48.175,51.051,54.074,56.532,59.069,61.522,64.414,66.449,68.268,70.129,72.101,74.328,76.58,78.728,81.221,83.472,86.06,89.456,93.043,95.383,97.607,100,103.599,107.267,110.237,112.197,112.269
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRG3",18.882,19.675,20.571,21.29,22.225,23.047,24.589,26.232,28.46,30.408,32.773,35.816,39.53,42.815,45.475,48.052,51.218,54.415,56.863,59.18,61.539,64.216,66.589,68.388,70.065,71.745,73.453,75.352,77.479,79.835,82.171,85.065,88.746,92.125,94.689,97.085,100,103.562,107.955,111.85,114.34,114.489
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRG3",19.039,19.832,20.746,21.474,22.401,23.246,24.792,26.442,28.697,30.671,33.058,36.129,39.855,43.243,45.862,48.216,51.051,54.085,56.586,59.175,61.638,64.595,66.474,68.264,70.09,72.063,74.448,76.811,79.049,81.61,83.834,86.328,89.639,93.285,95.563,97.74,100,103.473,106.976,109.678,111.494,111.48
"29","22","      Rental value of farm dwellings","DFARRG3",27.409,29.339,31.124,33.116,33.728,34.885,35.018,35.871,37.681,40.083,42.187,44.134,45.743,44.312,44.723,45.157,44.586,43.549,43.964,47.95,51.618,55.163,58.912,62.766,70.504,78.489,81.732,84.399,80.904,81.601,83.846,86.338,89.621,93.281,95.572,97.756,100,111.192,113.34,117.24,118.85,123.141
"30","23","      Group housing","DGRHRG3",18.924,19.655,20.509,21.194,22.061,23.179,24.722,26.288,28.408,30.466,32.828,35.87,39.166,42.324,44.959,47.514,50.615,53.795,56.25,58.542,60.898,63.51,65.865,67.631,69.304,70.954,72.714,74.634,76.807,79.244,81.659,84.625,88.365,91.86,94.563,97.083,100,103.584,107.999,111.944,114.49,114.753
"31","24","    Household utilities and fuels","DUTFRG3",12.878,13.467,14.448,15.018,16.116,19.737,22.296,24.428,27.139,29.158,33.398,40.096,46.385,51.227,54.209,56.573,57.673,56.422,56.44,57.341,59.471,62,64.002,65.554,67.712,68.582,69.109,71.466,73.016,71.313,71.598,76.936,82.82,79.889,85.96,90.436,100,108.413,112.513,123.308,117.698,120.551
"32","25","      Water supply and sanitation","DWRSRG3",11.033,11.907,13.174,13.662,14.397,15.272,16.754,18.63,20.647,23.045,24.129,25.79,28.907,32.382,35.116,37.482,39.79,42.099,44.592,47.235,50.27,53.818,57.966,62.1,65.528,68.753,70.97,73.508,75.323,77.761,79.483,81.434,83.784,86.485,89.667,95.008,100,104.931,110.285,116.713,123.927,131.82
"33","26","      Electricity, gas, and other fuels","DEGFRG3",13.546,14.096,15.047,15.647,16.842,21.113,23.956,26.191,29.109,31.108,36.08,43.995,51.107,56.336,59.416,61.805,62.604,60.391,59.716,60.131,62.007,64.24,65.629,66.468,68.278,68.492,68.537,70.839,72.31,69.357,69.204,75.58,82.556,77.877,84.836,89.049,100,109.508,113.2,125.421,115.627,116.89
"34","27","        Electricity","DELCRG3",20.452,21.114,22.511,23.611,25.075,29.624,33.436,35.636,38.001,40.378,43.456,50.338,57.873,63.61,65.692,69.889,72.394,73.338,73.12,74.12,76.198,77.97,80.877,82.448,84.064,84.096,85.993,87.419,87.886,84.487,83.826,85.182,91.221,90.335,92.47,94.187,100,112.079,116.7,124.17,128.025,128.221
"35","28","        Natural gas","DGHERG3",8.658,9.145,9.81,10.297,10.789,12.118,14.515,17.002,20.186,22.014,25.536,30.531,34.797,41.549,48.673,48.993,48.678,46.323,44.225,43.95,45.154,45.195,45.762,46.605,49.461,50.387,47.732,49.673,53.126,52.133,52.508,61.966,73.815,62.933,77.237,83.73,100,102.549,102.574,115.785,90.438,88.739
"36","29","        Fuel oil and other fuels","DFULRG3",7.532,7.823,8.32,8.372,9.596,15.249,16.546,17.748,20.082,21.234,29.274,41.107,50.292,49.32,45.47,46.482,44.67,34.976,35.885,35.869,38.004,45.768,43.574,41.8,41.512,40.757,40.377,45.763,45.838,40.62,41.316,60.575,59.392,52.949,64.078,74.588,100,114.203,123.49,168.372,114.129,133.927
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRG3",38.524,39.832,40.97,41.767,42.97,47.43,53.168,56.228,59.092,62.357,66.623,72.271,77.883,82.298,84.613,86.093,87.738,88.988,90.704,92.431,93.801,95.318,96.826,98.013,98.665,99.84,100.686,101.562,101.831,102.312,102.204,102.99,103.015,102.071,99.824,99.204,100,100.565,100.374,101.088,101.778,99.08
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRG3",47.377,48.468,49.371,50.039,51.587,55.66,60.023,62.086,64.173,67.372,71.553,77.99,83.67,87.513,89.59,91.362,93.64,95.305,96.963,99.013,99.677,101.142,101.865,103.887,105.138,107.03,107.822,108.814,108.871,109.204,108.502,107.735,106.302,104.31,101.835,100.742,100,99.374,97.551,95.939,95.381,91.11
"39","32","    Household textiles","DTEXRG3",53.144,54.144,55.173,56.313,57.486,65.767,70.725,73.631,78.32,82.216,87.983,95.428,102.161,110.576,116.068,120.291,122.61,124.254,127.764,131.495,132.071,133.122,133.185,134.176,134.115,134.108,132.249,129.446,126.506,123.24,122.072,120.223,116,112.857,106.247,102.369,100,95.638,91.106,87.802,84.159,79.593
"40","33","    Household appliances \6\","DHAPRG3",58.046,59.652,61.072,61.47,61.643,64.935,72.144,76.198,79.003,83.028,87.601,92.103,97.575,103.654,106.801,107.311,105.318,104.988,105.885,106.248,106.289,105.802,104.888,104.486,105.022,106.364,105.753,105.973,105.788,104.856,103.308,102.772,102.758,102.197,99.704,97.071,100,102.654,106.056,106.817,107.946,103.937
"41","34","    Glassware, tableware, and household utensils \7\","DUTERG3",39.366,40.605,41.804,43.656,46.143,52.125,61.007,64.881,67.604,72.485,78.456,86.616,95.286,99.275,101.138,101.345,101.766,104.513,107.072,107.884,109.512,111.668,114.248,116.523,115.888,117.427,115.117,113.772,113.038,115.522,113.115,111.767,108.7,104.758,100.59,100.449,100,96.742,95.579,97.032,97.281,94.936
"42","35","    Tools and equipment for house and garden","DTOORG3",60.866,60.518,59.969,59.897,60.028,63.773,69.69,72.166,73.682,75.278,79.422,84.869,90.77,97.525,99.847,99.932,103.157,101.393,101.65,101.731,98.146,98.994,100.082,99.956,99.969,101.742,101.768,103.464,104.948,102.352,100.22,100.187,99.639,98.469,96.269,97.27,100,101.048,101.201,100.286,100.696,97.941
"43","36","    Other household goods and services \8\","DOGSRG3",20.89,22.147,23.244,23.93,24.902,28.675,33.944,37.067,40.129,42.757,46.166,50.439,54.842,58.112,59.795,61.135,63.104,64.334,65.874,67.587,70.43,72.498,75.302,76.238,76.926,77.555,80.092,82.169,83.48,85.259,87.127,91.018,94.522,96.109,96.089,97.248,100,103.967,106.094,110.811,114.417,114.55
"44","37","  Health","DHLTRG3",11.779,12.571,13.153,13.637,14.196,15.421,17.083,18.645,20.151,21.812,23.852,26.641,29.834,33.138,36.124,38.791,41.161,43.598,46.358,49.831,54.038,58.532,62.988,67.28,70.671,73.381,75.825,77.593,79.102,80.646,82.606,85.024,88.013,90.493,93.711,96.999,100,103.179,106.553,109.296,112.298,115.226
"45","38","    Medical products, appliances, and equipment","DMPARG3",19.17,19.648,20.018,20.127,20.244,20.979,22.622,23.962,25.459,27.208,28.992,31.541,34.792,38.173,41.22,43.967,46.787,49.484,52.263,55.121,58.492,62.521,66.812,70.385,72.454,74.092,74.981,76.624,77.83,79.651,82.597,85.469,89.13,92.48,94.776,97.317,100,103.73,105.234,107.384,110.496,113.817
"46","39","      Pharmaceutical and other medical products \9\","DPHMRG3",17.769,18.132,18.364,18.377,18.398,18.969,20.436,21.636,23,24.648,26.327,28.653,31.798,35.143,38.242,41.09,44.009,46.784,49.516,52.411,55.953,60.232,64.868,68.572,70.607,72.264,72.803,74.509,75.71,77.605,80.955,84,87.974,91.831,94.446,97.142,100,103.963,105.442,107.79,111.241,115.239
"47","40","        Pharmaceutical products","DPNPRG3",17.626,17.985,18.213,18.226,18.245,18.809,20.26,21.449,22.8,24.44,26.11,28.424,31.556,34.883,37.979,40.832,43.758,46.531,49.27,52.18,55.721,60.017,64.679,68.399,70.424,72.083,72.59,74.3,75.502,77.403,80.779,83.848,87.862,91.763,94.401,97.116,100,103.992,105.477,107.85,111.325,115.399
"48","41","        Other medical products","DOMPRG3",28.523,29.189,29.669,29.738,29.837,30.899,33.465,35.487,37.796,40.166,42.578,45.971,50.2,54.946,58.37,61.07,63.733,66.836,69.342,71.602,75.464,79.112,82.61,85.695,88.565,90.235,93.169,94.629,95.726,96.968,97.85,98.624,98.665,98.291,98.644,99.526,100,101.454,102.419,102.723,104.115,101.927
"49","42","      Therapeutic appliances and equipment","DTAERG3",26.129,27.231,28.396,29.085,29.785,31.452,34.028,36.104,38.29,40.518,42.803,46.501,50.149,53.533,56.154,58.296,60.627,63.015,66.084,68.904,71.729,74.929,77.952,81.062,83.357,84.96,87.527,88.907,90.166,91.666,92.544,94.495,96.336,96.546,96.84,98.411,100,102.307,103.959,104.939,106.03,105.451
"50","43","    Outpatient services","DOUTRG3",13.589,14.538,15.503,16.024,16.545,18.01,20.144,22.218,24.185,26.082,28.329,31.437,34.695,37.657,40.393,43.07,45.721,48.71,51.757,55.248,58.923,62.797,66.471,70.211,73.531,76.926,79.561,80.814,82.956,85.01,86.964,89.06,91.85,93.174,95.128,97.554,100,101.86,105.641,108.015,110.476,112.888
"51","44","      Physician services \10\","DPHYRG3",13.122,14.08,15.027,15.507,15.995,17.483,19.61,21.839,23.855,25.81,28.206,31.189,34.599,37.849,40.813,43.649,46.185,49.541,53.19,56.998,61.178,65.579,69.442,73.805,77.914,81.818,85.036,85.632,86.783,88.642,90.61,92.182,94.805,94.798,96.274,98.239,100,100.955,105.091,106.204,108.773,111.436
"52","45","      Dental services","DDENRG3",11.551,12.196,12.983,13.508,13.95,14.987,16.552,17.637,18.94,20.255,21.956,24.571,26.915,28.999,30.942,33.453,35.568,37.542,40.089,42.779,45.399,48.362,51.928,55.369,58.223,60.954,63.891,66.839,69.936,72.911,76.32,79.799,83.033,86.738,90.29,94.739,100,105.208,110.664,116.348,119.824,123.098
"53","46","      Paramedical services","DPMSRG3",15.957,17.183,18.304,18.871,19.563,21.337,24.007,26.705,29.188,31.437,33.58,37.366,40.875,43.6,46.254,48.328,51.696,54.489,56.186,59.404,62.578,65.868,69.196,71.936,74.158,77.079,78.676,80.044,83.135,85.021,86.246,88.445,91.261,93.491,95.446,97.694,100,101.889,104.418,107.427,109.332,111.054
"54","47","        Home health care","DHHCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.136,60.42,63.709,67.105,70.351,73.19,75.498,78.525,79.92,81.353,85.44,87.753,88.497,91.803,94.21,96.341,96.689,98.969,100,100.65,102.468,104.16,105.766,106.956
"55","48","        Medical laboratories","DMLBRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.416,62.84,66.214,69.699,73.141,76.067,78.456,81.618,86.15,87.275,87.947,88.2,87.748,89.598,92.886,94.433,95.824,96.433,100,100.302,103.103,103.466,104.439,104.373
"56","49","        Other professional medical services \11\","DOMDRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.305,58.465,61.561,64.777,68.128,70.794,72.95,75.783,77.099,78.461,81.281,83.179,84.958,86.669,89.587,92,94.79,97.38,100,102.859,105.682,109.998,112.291,114.753
"57","50","    Hospital and nursing home services","DHPNRG3",9.159,9.897,10.285,10.795,11.432,12.576,13.933,15.207,16.416,17.873,19.761,22.312,25.331,28.668,31.663,34.226,36.279,38.273,40.79,44.326,49.026,54.029,59.072,63.937,67.692,70.125,72.817,75.033,76.113,77.155,78.777,81.284,84.176,87.289,91.974,96.353,100,104.152,107.995,111.35,114.801,118.02
"58","51","      Hospitals \12\","DHSPRG3",8.608,9.298,9.653,10.139,10.746,11.797,13.096,14.349,15.536,16.911,18.729,21.253,24.278,27.719,30.842,33.513,35.653,37.777,40.413,44.177,49.248,54.616,60.152,65.63,69.78,72.312,74.871,76.679,77.315,77.883,79.231,81.331,83.742,86.811,91.859,96.345,100,104.386,108.026,111.215,114.6,117.991
"59","52","      Nursing homes","DNRSRG3",13.081,14.16,14.783,15.467,16.313,18.119,19.885,21.298,22.66,24.701,27.074,29.795,32.741,35.237,37.283,39.146,40.677,41.924,43.769,46.049,48.822,52.077,54.841,56.914,58.922,60.931,64.21,68.128,71.053,74.073,76.87,81.174,86.278,89.6,92.525,96.397,100,102.994,107.852,112.042,115.829,118.146
"60","53","  Transportation","DTRNRG3",23.649,24.493,25.533,25.89,26.841,30.719,33.531,35.727,37.905,40.231,46.312,55.47,61.103,61.772,62.396,63.489,64.632,61.894,64.569,66.029,69.161,72.232,73.476,74.638,76.561,78.578,80.846,82.983,83.725,81.547,83.373,88.608,88.397,87.2,89.439,93.11,100,105.02,108.74,115.928,105.152,113.797
"61","54","    Motor vehicles","DMTRRG3",31.871,32.728,34.389,34.447,34.812,36.91,40.632,43.789,46.271,49.684,53.206,56.672,61.468,64.756,67.718,70.603,72.528,74.871,78.713,79.952,82.414,82.676,85.27,87.058,91.292,96.302,100.68,103.052,103.589,102.424,102.842,103.224,103.366,102.549,99.308,98.487,100,99.591,98.573,95.758,95.52,100.782
"62","55","      New motor vehicles","DNMVRG3",37.371,38.436,40.036,39.744,39.756,41.974,45.749,48.596,51.158,55.019,59.269,63.909,67.702,70.349,72.153,74.253,76.742,80.066,82.432,83.751,85.644,87.484,90.896,93.243,95.952,99.462,101.936,103.924,104.61,104.08,104.012,103.888,103.323,101.639,100.176,99.509,100,99.356,98.256,96.832,97.825,99.854
"63","56","      Net purchases of used motor vehicles","DNPVRG3",17.406,17.736,19.476,20.516,21.979,23.818,27.418,31.535,33.929,36.136,37.547,37.763,45.315,50.555,57.565,63.485,63.629,62.766,71.792,72.851,77.224,73.018,73.765,74.41,81.864,90.099,98.35,101.446,101.722,99.476,100.733,102.036,103.562,104.564,97.368,96.195,100,100.096,99.244,93.849,91.656,101.927
"64","57","    Motor vehicle operation","DMVORG3",18.875,19.486,20.073,20.487,21.739,26.599,28.881,30.458,32.396,34.159,41.861,53.007,58.274,57.642,56.942,56.721,57.493,51.59,53.415,54.571,57.931,62.604,63.182,63.866,64.208,65.102,66.308,68.575,68.972,65.884,68.709,76.948,77.129,76.271,82.18,89.255,100,108.442,115.609,128.932,110.794,121.811
"65","58","      Motor vehicle parts and accessories","DMVPRG3",49.53,51.896,53.805,54.164,52.76,56.324,61.427,65.785,70.22,73.488,80.654,89.644,94.189,96.489,93.754,90.142,90.095,89.826,90.551,91.96,93.913,94.241,95.089,95.711,94.15,93.617,93.942,93.786,93.284,92.501,92.053,92.378,94.648,96.294,97.232,97.72,100,104.052,107.595,113.209,117.632,119.92
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRG3",14.354,14.482,14.588,14.777,16.19,21.871,23.339,24.331,25.74,26.858,35.994,49.955,55.584,52.772,51.047,50.283,50.689,39.81,41.34,41.691,45.539,51.843,51.162,50.963,50.446,50.685,51.491,54.645,54.634,47.555,51.788,66.17,63.776,59.915,69.782,82.086,100,112.842,123.921,144.927,106.069,125.441
"67","60","      Motor vehicle maintenance and repair","DVMRRG3",17.447,18.741,20.092,20.974,22.144,24.378,27.493,29.488,31.706,34.28,37.595,41.442,45.217,48.526,50.564,52.168,53.535,55.155,57.191,59.482,61.86,64.262,66.968,69.417,71.442,73.334,75.013,76.938,78.919,80.844,83.066,85.705,88.685,91.933,94.53,96.733,100,104.211,107.752,112.971,117.592,119.836
"68","61","      Other motor vehicle services","DOVSRG3",27.09,27.49,27.914,28.207,29.2,30.833,32.994,34.567,36.246,37.961,41.789,46.305,50.722,54.962,57.984,61.114,63.861,69.156,73.827,76.258,79.652,82.601,84.431,85.088,88.088,91.58,94.544,94.928,93.852,94.595,95.186,97.105,99.929,100.289,99.442,98.349,100,101.64,102.558,106.508,114.936,112.078
"69","62","    Public transportation","DPUBRG3",24.022,26.333,28.425,29.412,30.235,32.327,35.318,38.256,40.713,42.568,45.702,58.194,68.477,69.978,71.921,75.455,75.547,71.873,75.1,79.954,84.082,87.233,87.502,89.506,93.518,90.791,92.022,91.52,95.623,96.931,96.911,100.341,95.713,90.293,93.121,94.592,100,106.157,107.554,116.048,112.622,119.22
"70","63","      Ground transportation \13\","DGRDRG3",15.636,17.382,18.834,19.661,19.965,21.071,23.1,24.988,26.73,28.162,30.26,35.029,41.045,45.149,47.352,50.23,52.128,55.792,57.365,59.603,61.411,64.379,67.482,70.223,71.106,71.758,72.562,77.958,79.208,79.86,79.859,81.859,84.413,86.593,91.567,95.994,100,104.687,106.302,111.349,116.095,121.045
"71","64","      Air transportation","DAITRG3",30.05,32.353,34.76,35.596,37.066,40.128,43.7,47.392,50.226,52.208,56.023,75.79,89.427,87.374,88.707,92.504,90.816,81.028,85.377,92.055,97.787,100.926,98.871,100.149,106.529,101.141,102.594,97.81,103.731,105.243,105.375,110.363,101.647,91.423,93.586,93.617,100,107.347,108.712,119.895,111.71,119.686
"72","65","      Water transportation","DWATRG3",38.275,41.374,43.575,45.52,47.519,51.445,56.241,60.58,65.03,69.95,73.497,78.645,82.809,86.255,89.253,91.991,95.345,100.208,102.75,104.247,108.253,113.111,117.721,121.446,124.833,127.594,131.497,134.911,138.516,145.455,140.87,125.982,114.003,109.479,100.429,98.806,100,99.63,99.379,97.016,88.04,89.062
"73","66","  Communication","DCMCRG3",50.871,51.437,54.732,57.853,59.249,62.524,64.533,68.327,69.144,70.469,70.721,71.879,79.381,87.677,92.68,98.709,102.353,105.575,103.571,103.733,104.125,104.093,106.354,106.694,107.245,109.242,109.801,110.253,111.013,110.081,107.594,104.288,102.981,103.484,103.051,101.12,100,99.525,96.872,98.158,99.621,99.351
