"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"29","22","  Federal","A823CX1",145.9,135.1,124.7,119.6,114.6,115.6,116,116,118.5,121.5,124.4,130.3,136.5,141.8
"30","23","    National defense","A824CX1",117,106.4,94.3,86.9,82.1,81.5,80.7,80.4,81.4,82.1,84.5,88.2,93.8,100.9
"31","24","    Nondefense","A825CX1",29.5,29.2,30.5,32.7,32.5,34.2,35.3,35.7,37.2,39.5,39.9,42.2,42.7,40.7
"32","25","  State and local","A829CX1",132.8,136.5,140.7,143.8,147.9,153.5,159.1,160.3,160.8,166.1,168.5,168.4,165,165.1
"33","26","Residual","A960CX1",-3.5,-1.9,-1.2,0,1.5,2.4,3.8,0.4,-2.7,-2.4,-0.2,6.3,5.5,4
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Note. Chained (1972) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","index rebased with the reference year 1972 equal to 100 and of the 1972 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
