"","Table 5#8#4B# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"31","24","        Power","W189RG3",76.633,78.221,79.011,82.179,84.673,87.48,89.17,94.305,100,106.989,113.897,125.687,124.516,128.462
"32","25","        Highways and streets","W190RG3",69.371,70.808,73.391,77.043,79.821,81.983,83.401,86.826,100,109.064,126.151,136.712,139.372,141.438
"33","26","        Conservation and development","W191RG3",77.341,78.72,79.85,82.516,84.216,85.478,88.2,92.419,100,106.022,110.604,116.992,119.941,120.456
"34","27","        Other \4\","W192RG3",74.816,75.325,77.095,81.08,84.261,86.782,87.845,94.088,100,104.087,109.986,117.046,120.623,120.987
"35","28","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","29","  State and local","B842RG3",70.923,73.066,75.724,79.198,81.922,84.286,86.24,91.264,100,107.984,117.906,125.043,128.051,128.562
"37","30","    New","B843RG3",70.982,73.126,75.777,79.258,81.967,84.334,86.245,91.231,100,108,118.109,125.445,128.622,129.195
"38","31","      Residential","W147RG3",66.938,68.787,71.87,75.195,79.035,81.137,85.691,92.986,100,106.554,107.455,104.129,99.805,98.249
"39","32","      Office","W193RG3",69.598,71.806,75.44,78.511,80.904,82.851,85.241,90.544,100,109.299,116.159,120.881,124.105,121.099
"40","33","      Commercial","W194RG3",70.235,73.374,75.894,79.459,82.767,84.454,87.058,92.344,100,108.705,113.683,116.037,111.06,106.322
"41","34","      Health care","W195RG3",70.248,72.94,75.987,79.388,82.871,84.492,87.039,92.397,100,108.658,113.698,116.057,111.287,106.334
"42","35","      Educational","W148RG3",71.332,74.294,77.318,80.488,83.502,85.951,87.928,92.68,100,106.598,117.034,122.393,130.841,130.386
"43","36","      Public safety","W196RG3",70.102,73.01,75.974,79.381,82.801,84.446,87.059,92.303,100,108.695,113.666,116.044,111.315,106.348
"44","37","      Amusement and recreation","W197RG3",70.182,72.989,76.027,79.424,82.801,84.467,87.022,92.261,100,108.689,113.679,116.051,111.246,106.327
"45","38","      Transportation","W198RG3",69.687,72.933,75.339,78.789,79.22,83.175,85.316,91.299,100,109.152,122.048,130.925,132.308,133.532
"46","39","      Power","W199RG3",76.533,78.197,78.918,82.211,84.663,87.239,88.816,94.105,100,106.816,115.055,124.292,124.314,128.366
"47","40","      Highways and streets","W149RG3",69.973,71.395,73.888,77.641,80.442,82.594,84.016,88.111,100,110.719,125.6,136.754,139.365,141.392
"48","41","      Sewer systems","W150RG3",74.03,75.437,77.152,81.153,84.365,86.86,88.145,94.132,100,104.192,109.957,118.801,119.397,122.964
"49","42","      Water systems","W168RG3",74.09,75.443,77.142,81.163,84.378,86.886,88.112,94.066,100,104.225,109.842,118.862,119.399,123.06
"50","43","      Conservation and development","W169RG3",77.205,78.607,79.779,82.432,84.063,85.308,88.165,92.617,100,106.07,110.826,116.559,120.115,120.373
"51","44","      Other \5\","W200RG3",68.764,70.453,73.271,76.604,80.127,82.416,86.348,92.582,100,108.494,109.419,107.79,104.769,105.294
"52","45","    Net purchases of used structures","B870RG3",68.11,70.231,73.162,76.322,80.417,82.696,86.233,92.625,100,107.26,109.746,109.878,107.218,105.783
"53","46","Equipment and software \2\","A871RG3",109.431,106.153,105.002,104.429,102.375,100.368,99.382,99.539,100,100.149,100.316,101.474,101.479,101.738
"54","47","  Federal","B872RG3",103.521,101.573,101.961,101.758,100.074,98.533,98.258,99.009,100,100.915,101.34,102.77,102.317,103.026
"55","48","    National defense","B873RG3",100.821,99.604,100.856,100.392,98.486,97.136,97.289,98.592,100,101.358,102.296,104.501,104.189,105.114
"56","49","      Aircraft","B874RG3",108.441,107.209,124.633,118.735,111.252,106.249,105.588,102.602,100,98.969,99.033,102.938,104.009,104.836
"57","50","      Missiles","B875RG3",97.344,98.927,95.193,94.45,93.359,92.366,95.347,97.775,100,100.873,101.661,104.463,105.289,107.21
"58","51","      Ships","B876RG3",83.559,83.168,82.428,84.447,84.362,84.868,85.902,94.117,100,108.854,114.227,123.038,116.333,122.008
"59","52","      Vehicles","B877RG3",103.382,101.936,102.841,100.92,99.231,98.812,99.483,99.834,100,98.629,103.099,104.756,107.256,106.166
"60","53","      Electronics and software","B878RG3",120.698,114.959,111.676,111.479,108.704,105.96,103.166,101.49,100,99.105,97.622,96.242,94.411,93.7
"61","54","      Other equipment","B879RG3",94.225,94.423,94.398,94.904,94.909,94.864,95.778,96.927,100,101.534,102.051,103.778,104.836,105.861
"62","55","    Nondefense","B880RG3",109.823,106.242,104.873,105.198,103.975,101.997,100.699,100.054,100,99.861,99.024,98.455,97.627,97.766
"63","56","  State and local","B881RG3",119.031,113.606,110.07,108.934,106.321,103.57,101.395,100.511,100,98.725,98.435,99.112,99.979,99.364
"64",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","57","  Government enterprise gross fixed investment","A882RG3",77.961,79.238,80.79,83.723,85.409,87.57,89.06,93.889,100,105.255,111.392,117.844,118.407,120.127
"66","58","    Federal","A883RG3",100.323,98.462,98.291,98.637,98.173,97.437,96.916,97.604,100,102.203,103.774,105.942,106.441,106.623
"67","59","      Structures","B884RG3",74.2,76.523,79.008,80.961,83.397,85.003,87.131,92.128,100,106.963,112.961,118.42,118.914,118.839
"68","60","      Equipment and software","B885RG3",118.584,112.51,109.689,108.636,106.366,103.858,101.505,99.917,100,100.015,99.648,100.01,100.537,100.912
"69","61","    State and local","A886RG3",75.734,77.419,79.232,82.475,84.353,86.746,88.4,93.56,100,105.558,112.117,118.963,119.534,121.408
"70","62","      Structures","B887RG3",71.773,73.818,75.939,79.602,81.865,84.768,86.779,92.697,100,106.417,113.965,121.769,122.034,124.316
"71","63","      Equipment and software","A888RG3",103.881,102.263,101.676,101.577,100.275,98.811,98.111,98.662,100,100.466,101.155,102.726,104.781,104.701
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
