"","Table 2#2B# Wage and Salary Disbursements by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","3","  Goods-producing industries","N231RC1",1072.5,1053.9,1031.6,1017.2,1016.2,1017.8,1008.5,1003.7,1002.8,1003.5,1005,1033,1021,1047.3,1074.5,1074.8,1081.9,1094,1118.6,1119.1,1171.5,1170.1,1169.8,1192.5,1206.7,1211,1210.2,1225.8,1232.6,1218.5,1201.9,1177.9,1104.3,1063.9,1044.3,1041,1036.9,1058.6,1070.5,1070.8,1092.3,1096.9,1116.6,1118.4,1130.6
"12","4","    Manufacturing","N552RC1",737.8,722.5,702,688.9,682.2,687.1,677.2,672.1,670.5,669,667.7,687.7,673.5,688.2,705.7,704.9,703.3,707.4,716.6,714.3,738.8,735.4,734.1,746.5,753.2,751.6,748.3,755.8,755.7,747.6,738.4,721.8,679.1,660,648.5,656.1,655.3,673.6,682.2,685.5,700.4,700.4,709,705.7,714.3
"13","5","  Services-producing industries","N233RC1",3111.3,3092.1,3072.4,3070.3,3085.7,3114.9,3120,3130,3143.4,3192.6,3239,3285.9,3318,3385.6,3463.6,3506.8,3519.8,3570.1,3645.3,3689.2,3788.3,3820.2,3864.7,3957.9,4070.1,4089.2,4124.7,4193.1,4240.4,4198.6,4197.7,4159.5,4007.2,4038.3,4029.8,4051.2,4076,4144.9,4194.2,4217.6,4294.7,4328.3,4418.4,4445.8,4483.6
"14","6","    Trade, transportation, and utilities","N234RC1",853.2,848.9,842.9,839.4,842.5,847.9,848.5,847.3,853.9,857.2,864,878.1,879.9,898.6,917.9,925,928.7,938.9,953.1,957.7,982.5,989.4,997.8,1014.3,1032.7,1046.6,1043.7,1057.6,1063.7,1053.3,1047.6,1034.2,1002,989.5,983.1,983.8,987.4,1004.5,1015.9,1016.1,1034.4,1043.1,1062.1,1068.5,1073.9
"15","7","    Other services-producing industries \1\","N235RC1",2258.1,2243.1,2229.4,2230.9,2243.3,2267,2271.5,2282.8,2289.5,2335.4,2375,2407.9,2438,2487,2545.7,2581.9,2591.1,2631.1,2692.2,2731.5,2805.8,2830.8,2866.9,2943.6,3037.3,3042.5,3081,3135.5,3176.6,3145.3,3150.1,3125.3,3005.2,3048.9,3046.7,3067.4,3088.7,3140.4,3178.3,3201.5,3260.3,3285.1,3356.3,3377.3,3409.7
"16","8","Government","B202RC1",804.4,815.4,828.4,839.3,861.6,870.4,877.8,882.7,903.4,913.8,915.6,920.4,940.4,952.2,955.8,962.7,982.4,987.6,994.5,1001.4,1019,1028.3,1041,1052.3,1076.4,1082.7,1092.6,1104.5,1127.6,1137.9,1151,1160,1168.9,1175.9,1177.1,1179.2,1188.6,1196.3,1189.9,1188.6,1191.1,1191.9,1189.3,1189,1192.7
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
