"","Table 5#5#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"18","11","    Office and accounting equipment","B936RL1",16.9,-13.1,-9.9,18.5,41.5,29.4,-16,18.5,0.3,52.5,26.3,8.7,5.7,-24.5,58.3,13.3,-1.7,9.4,-38.3,-12.5,7.5,-18,-6.7,9.4,7.9,-0.7,0.9,2.4,-0.8,-10.6,-27.5,4.1,25.8,8.4,57.3,2.4,2.6,4.9,-50.5,7.8,-5,5
"19","12","  Industrial equipment","A680RL1",6.6,1.4,-8.2,7.8,18.2,7.7,-15.2,0.5,6,11.3,7.1,-4.3,-1.6,-8.6,-7.9,14.4,4.6,-0.5,-2.5,5,7,-5.8,-6.4,1.8,8.5,8.9,9.8,3.7,2.2,4.4,0.6,8.6,-7.4,-6.7,-0.2,-2.8,8.3,8.3,4,-3.9,-20.7,6.9
"20","13","    Fabricated metal products","C263RL1",20.9,16.3,1.9,3.4,20.1,9.3,-2.4,8.4,-6.6,1.7,11.5,-7.8,-0.7,-10,-6.2,-4.7,-1.6,-6.7,-10.1,4.5,7.2,-0.3,0.3,1.1,-1.8,7.1,3.3,8.2,-13.3,3.9,6.4,4.2,-1.6,-11.3,6.1,-1.4,5.3,10.5,3.7,2.5,-10.3,-4.2
"21","14","    Engines and turbines","A668RL1",12,5.7,6.3,12.2,-2.9,2,-19.3,-12.8,-11,-4,-3.4,-15.8,10.9,-16,-12.4,9,12.4,-15.8,31.1,5.4,10.8,-13.6,18,-5.9,-4,7.2,-17.7,18.8,-7.3,17.8,22,28.9,51.8,6.4,-13.8,-53.1,15.1,22.4,44.6,4.4,-25.4,2
"22","15","    Metalworking machinery","C271RL1",-1.9,-4.8,-22.7,15.7,28.2,11.6,-16.7,-0.9,2,17.1,10.1,0.1,-2.8,-18.5,-24.3,19.6,7.8,-1,-9.2,6.8,17,-8.3,-5.8,5,8.5,16,14.4,1.8,7.5,0.1,-3.4,1.9,-15.2,-9.5,-0.9,0.8,8.5,4.6,2.2,-0.6,-29.7,6.9
"23","16","    Special industry machinery, n.e.c.","C272RL1",3.5,-0.2,-7.7,8.3,10.6,-2.8,-19.9,-1.6,0.6,22.8,2.7,-0.2,-2.4,0.2,1,13.5,7.4,1.5,3.2,5.9,10.1,-9.4,-9.7,-0.6,9.7,6.1,13.9,2.8,-0.8,3.5,0.7,13.6,-11.3,-12.3,-4.6,-3.5,5.7,8.5,4.4,-10.2,-24.9,9.3
"24","17","    General industrial, including materials handling, equipment","C273RL1",11.2,-1.2,-5.9,3.2,22.2,12.8,-15.3,1.5,18.2,14.6,6.8,-6.8,-3.7,-7.4,-8.3,19.7,6.1,4.7,-7.3,4.9,0.7,-3.3,-8.8,3.5,15.3,7.4,9.5,3.3,4.6,6.6,-3.5,6,-8.8,-0.9,6.4,2.7,11.5,7.1,-0.3,-4.5,-18.6,6.1
"25","18","    Electrical transmission, distribution, and industrial apparatus","C276RL1",4.9,3.9,-8.4,8.8,19.3,7.8,-18.6,-1.1,16,0.5,7.4,-3.3,2.3,-3.3,2.1,20.6,-1.3,-5.2,6.8,2.3,2.7,-2.9,-7,1.5,3.4,9.4,7.7,3.6,6.1,4.7,8.3,12.4,-8.6,-10.4,-3,4.9,4.2,10.7,6,-4.5,-17,16.7
"26","19","  Transportation equipment","A681RL1",4,-18,8,16.2,20.3,-9.5,-13.9,11.2,21.5,10.5,4.4,-18.4,-2.8,-11.4,12.6,19.1,3.9,-3.8,-4.9,5.4,-10,-0.5,-2.7,1.8,18.6,17.1,8.2,4,8.3,9.3,17.5,-2.2,-8.9,-9.1,-8.9,15.6,11.9,8.1,-5.5,-23.2,-50.5,68.9
"27","20","    Trucks, buses, and truck trailers","C279RL1",17.6,-17.1,9.2,25.9,17.4,-5.8,-29.8,21.4,21.3,12.9,0.9,-28.9,-6.4,-7.6,14,30.7,11.6,-15,1.6,-0.9,-6.2,-18.5,-11.2,14.3,36.8,32.2,14.1,9.1,12.7,10.5,10.7,-7.7,-17.8,-6,1.1,27,19.3,11.3,-15.6,-33.7,-67,150.2
"28","21","      Light trucks (including utility vehicles) \3\","W178RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,-13.9,-11.7,-5.4,-2,45.4,62.9,17.7,29.5,25.3,3.6,10.1,-3.6,-11.5,-9,3,22.4,19.1,13,-8.7,-37.6,-90.1,887.4
"29","22","      Other trucks, buses, and truck trailers \3\","W179RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.6,-0.8,-22.6,-15.4,27.7,31.4,10.8,10.5,-11.9,-6.6,24.5,11.6,-14.3,-28.9,0.3,-2.7,36.6,19.7,8.3,-27.8,-25.5,-27.8,20.6
"30","23","    Autos \3\","C280RL1",3.2,-19.8,35.6,7,14.5,-12.3,-1.2,21.7,25.3,6.1,-11.2,-18.4,18.5,0.6,33.1,19,-1.4,2.6,-14.6,11.1,-13.1,7.1,1.7,-3.3,11.3,21.6,-5.9,-0.7,-3,-3.9,18.7,4.6,0.2,0,-11.8,0.5,11,8.9,-2.2,-26.1,-55.3,121.7
"31","24","    Aircraft","C281RL1",-27.5,-17.2,-47.5,41.4,50.6,-26.3,-12,-9.1,34.5,17,46.4,2.1,-12,-16.8,-0.5,-10.6,5.4,21.4,6.1,5.3,-22.3,34.6,4.7,-2,-4.7,-34,39.7,-5.9,18.4,35.2,45.1,3.7,3.8,-26.8,-28.6,11,-12.5,-6.4,30.5,-3.2,-25.1,-1.2
"32","25","    Ships and boats","C282RL1",7.9,-1.9,-7.5,22.3,43,-18.1,29.9,-5.5,2.6,-4.5,13.6,-1.7,17.4,-37.2,-40,-15.1,-26.6,10.1,21.2,-14.3,-11.1,0.8,0.2,-27.8,77.3,-16.8,-3.9,25.5,14.7,5,1.6,14.5,-9.9,15.3,6.3,10.5,-4.4,-12.1,24.4,24.4,-15.6,-0.6
"33","26","    Railroad equipment","C283RL1",32.4,-23.5,5.2,-10,12,16.7,-9.2,-23.1,11.2,24.5,35.3,-12.9,-42,-40.3,-33.3,48.3,-12.1,-11.6,-21.8,56,41,0.5,-8.8,-5.9,13.4,30.7,7.4,-1,10.5,14.5,12.1,-5,-23.5,-12.6,-12.7,7.2,26.6,16.6,4,8.3,-25.5,-5.9
"34","27","  Other equipment","A682RL1",7.2,4.1,-0.8,12.9,18,0,-7.9,1.6,11.8,11.5,4.7,-10.4,2.4,-15.9,-4.4,13.2,0.8,-1.7,3.2,3.9,11,-3.6,-14.6,-0.6,11.7,7.2,5.4,3.8,9.1,9.8,2.3,5.3,-1.2,-0.6,4.3,6.2,8.5,3.8,-0.5,-3.1,-17.4,11.3
"35","28","    Furniture and fixtures","A667RL1",10.2,-3,-6.7,25.4,7,-10.5,-15.4,8.7,22.8,11.8,7.9,5.7,3.1,5.6,7,15.9,4.4,2.9,6.8,-3.4,11.1,-6.4,-12,9.7,0.7,2.2,5.3,2.2,14.8,12.3,8.4,7.3,-6.6,-4.5,0.6,2.9,4.9,1.6,-5.5,-5.5,-26.8,10.3
"36","29","    Agricultural machinery","C268RL1",0.5,12.5,-6.5,17,29.3,-6.1,7,-4.4,-0.9,4.9,7.9,-20.5,-3.2,-31,-14.8,5.2,-20.2,-10,3.2,32,17.9,9.5,-19.3,-14.3,13.8,10.3,1.6,-1.2,14.2,3.7,-27,10.1,6,14.5,7.6,9.6,5.1,-7,0.1,12.8,-6.3,13.3
"37","30","    Construction machinery","C269RL1",8.8,-4.1,-1.3,20.1,19.2,6.5,-20.1,-5.2,28.5,20.5,-7.6,-23,-6.7,-36.7,10.3,36.6,7.9,-4.2,-8.7,-4.3,24,-1,-34.8,-2.4,26.6,11.8,10,11.7,6.3,12.4,0.5,0.9,-11.5,-7.6,4.8,15.1,24.4,12.8,-4,-8.2,-28.6,37.4
"38","31","    Mining and oilfield machinery","C270RL1",5.3,33.2,12.2,-19.1,21.8,33,22,0.9,5.4,-6.5,-3.4,-2,45.4,-32.5,-40.5,-11.5,-13.3,-46.7,-6.1,18.9,16.7,-9.4,-20.7,-11.7,90.6,-3.5,-0.8,3.6,28.5,-0.5,45.6,-1.2,13.3,-35.1,20.6,14.4,34.5,47.7,31.9,-9,-13.7,-4.3
"39","32","    Service industry machinery","C570RL1",11.3,-0.1,2,1,7.4,-4.1,-16.9,10.1,7.4,13,10.3,-1.6,-0.8,0.1,1.2,16.4,6,0.2,8,1.3,5.3,-12.3,-6.6,-3.7,5.5,8.5,4.8,2.5,-1.8,12.6,8,3.3,3.4,-3.2,-0.7,2.2,4.5,-1.2,-4.6,-1.6,-9,-0.9
"40","33","    Electrical equipment, n.e.c.","A670RL1",11.7,10.4,0.2,18.2,18.5,1,-11.1,15.6,-3.7,43.8,18.1,10.8,5.5,-19.3,3.8,8.2,4.6,3.4,0.1,8.2,-2.3,-10.2,-16.9,1.9,-0.4,5.3,7.4,-3.6,12.9,18.5,-3.9,4.5,7.7,7.3,6,20.7,-3.9,-0.9,-17.5,-1.9,-19.3,10.7
"41","34","    Other","C286RL1",7.9,5.7,8,10.4,20.1,6.6,-13.7,8,16.4,13.2,12.8,-8.7,-2,5.3,-2.9,7,4.8,5.6,6.3,5,5,-2.6,-2.2,1,15.4,8.8,5.6,5.1,6.4,7.8,5.7,6.7,2.9,7.1,6.6,2.5,4.4,-0.1,1.4,-3.1,-12.8,7.3
"42","35","  Less: Sale of equipment scrap, excluding autos","C287RL1",21.9,0,-13.2,-4,59.2,21.4,-15,18.4,-1.6,42.3,54.3,-13.4,-0.9,-49.8,-22.5,12.6,-4.6,2.8,14.7,-16,-2.8,3.5,-15.9,-1.4,87.6,-8.4,5.6,4.6,-3.4,-0.3,-9.6,-5.7,-18.8,5.7,-9.8,13.1,-2.4,9.2,3.9,5.2,-2.6,5.3
"43","36","Residential equipment","B013RL1",14.1,8.9,12.2,19.8,12.5,1.9,-6.9,5.2,9.4,8.8,9.6,0.1,-0.1,-3.9,11.6,10.8,7.9,8.2,4.1,3.4,0.5,-3,-3.9,3.1,2,0.7,1.3,-0.5,-0.8,7.4,11,7,2.6,4,6.3,11.5,5,2.8,-0.7,-3.7,-8.7,8.1
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. For 1929-45, includes electrical transmission, distribution, and industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","apparatus (line 18) and electrical equipment, n.e.c. (line 33).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3. Includes net purchases of used vehicles; additional detail is available in table 7.2.1B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
