"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","  Taxes on production and imports \2\","W007RC1",17.8,18.1,19,18.5,19.8,20.1,22.1,21.4,22.7,25.3,25.7,33.7,49.9,41,44.4,47.3,46.1,43.7,45.9,49.8,49.7,50.9,61.8,63.3,66.4,79,75.6,72.9,77.8,80.7,83.4,87.3,85.3,86.8,89.3,94.3,98.8,99.4,94.5,94,97.3,101.5,110.8
"12","5","    Excise taxes","B234RC1",15.4,15.6,15.9,15.5,16.5,16.4,16.2,16.8,17.3,18.2,18.2,26.5,41.3,32.3,35.3,35.4,33.9,30,30.4,33.4,32.3,33.4,44.9,45,46.5,57.5,55.7,53.6,58.2,61.1,64.3,66.1,64.6,66.9,67.9,71,73.5,72.7,65.7,64.8,74.2,72.9,79.1
"13","6","    Customs duties","B235RC1",2.4,2.5,3.1,3,3.3,3.7,5.9,4.6,5.4,7.1,7.5,7.2,8.6,8.6,9.1,11.9,12.2,13.7,15.5,16.4,17.5,17.5,16.8,18.3,19.8,21.4,19.8,19.2,19.6,19.6,19.2,21.1,20.6,19.9,21.4,23.3,25.3,26.7,28.8,29.2,23.1,28.6,31.7
"14","7","  Taxes on corporate income","B075RC1",36.1,30.6,33.5,36.6,43.3,45.1,43.6,54.6,61.6,71.4,74.4,70.3,65.7,49,61.3,75.2,76.3,83.8,103.2,111.1,117.2,118.1,109.9,118.8,138.5,156.7,179.3,190.6,203,204.2,213,219.4,164.7,150.5,197.8,250.3,341,395,362.8,233.7,201.7,329.6,338.2
"15","8","    Federal Reserve banks","B677RC1",3,3.5,3.4,3.2,4.3,5.6,5.4,5.9,5.9,7,9.3,11.7,14,15.2,14.2,16.1,17.8,17.8,17.7,17.4,21.6,23.6,20.8,16.8,16,20.5,23.4,20.1,20.7,26.6,25.4,25.3,27.1,24.5,22,18.1,21.5,29.1,34.6,31.7,47.4,79.3,77.2
"16","9","    Other","A678RC1",33,27.1,30.1,33.4,38.9,39.6,38.2,48.7,55.7,64.4,65.1,58.6,51.7,33.8,47.1,59.2,58.5,66,85.4,93.8,95.6,94.5,89.2,102,122.5,136.3,155.9,170.5,182.3,177.7,187.6,194.1,137.6,126,175.8,232.2,319.5,366,328.2,202,154.3,250.3,261
"17","10","  Taxes from the rest of the world","W008RC1",0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.7,1,1.1,1.6,1.5,1.4,1.2,1.3,1.9,1.7,2,2.4,2.7,3,2.6,2.6,2.7,3.1,3.9,5.2,5.1,5.7,5.9,7.3,7.7,7.6,9,10,12.1,14,14.7,18.8,14.7,13.3,15.7
"18","11","Contributions for government social insurance","W780RC1",43.3,45.5,50.3,58.3,74.5,84.1,88.1,99.8,111.1,128.7,149.8,163.6,193,206,223.1,254.1,277.9,298.9,317.4,354.8,378,402,420.6,444,465.5,496.2,521.9,545.4,579.4,617.4,654.8,698.6,723.3,739.3,762.8,807.6,852.6,904.6,945.3,973.1,948.9,970.9,907.3
"19","12","Income receipts on assets","W009RC1",2.7,3.1,3.5,3.6,3.8,4.2,4.9,5.9,6.7,8.5,10.7,13.7,18.3,22.2,23.8,26.6,29.1,31.3,27.5,29.4,28,29.6,29.1,24.8,25.5,22.7,23.3,26.5,25.4,21.2,20.6,24.5,24.5,20.3,22.8,23.2,23.7,26.1,29.8,30.7,48.1,53.1,55.3
"20","13","  Interest receipts \3\","B094RC1",2.5,2.8,3.1,3.3,3.4,3.6,4.3,5.2,5.8,7.4,9.2,11.3,14.8,18.3,20.4,22.8,25.7,28.8,25.1,27.4,25.9,27,26.3,22.2,22.8,20,20.8,22.5,21,17.3,17.1,19.3,18.1,15.4,16.4,16.3,16.4,18.2,22.2,20.1,24.5,29.9,30.3
"21","14","  Dividends","W053RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.3,0.2,0.6,18.7,17,18.5
"22","15","  Rents and royalties \4\","B1040C1",0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.9,1.1,1.5,2.3,3.5,3.8,3.5,3.9,3.5,2.4,2.3,2,2.1,2.6,2.8,2.6,2.7,2.7,2.5,4,4.5,3.9,3.5,5.2,6.5,4.8,6.4,6.8,7,7.7,7.3,10,4.8,6.2,6.5
"23","16","Current transfer receipts","W011RC1",1.1,1.1,1.1,1.3,1.3,1.4,1.5,1.6,2,2.7,3.1,3.9,4.1,5.7,6.1,7.4,9.7,8.5,11,10.5,12.7,14.2,18.2,19.4,21.3,22.8,18.4,23.8,21.3,22.6,23.4,25.7,27,26.1,25.6,29,33.6,38.3,44.8,54.4,69.8,69.7,67.4
"24","17","  From business","W012RC1",1.1,1,1,1.1,1.2,1.3,1.4,1.5,1.8,2.5,2.9,3.6,3.9,5,5.2,6.4,8.5,7.2,8.9,7.6,9.6,10.8,14.4,15.3,16.2,17.2,12.2,16.7,13.4,13.8,13.6,15,16.2,15.4,14.9,16,18.7,21.2,25.6,34.7,50,48.7,47.5
"25","18","  From persons","B233RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.7,1,1,1.2,1.3,2,2.8,3.1,3.4,3.9,4.1,5,5.6,6.2,7.2,7.9,8.8,9.8,10.7,10.9,10.8,10.7,13,14.9,17.1,19.2,19.7,19.7,21,19.9
"26","19","Current surplus of government enterprises \5\","B097RC1",-0.4,-1.5,-1.6,-1.1,-1.8,-1.8,-3.6,-2.2,-3,-2.5,-2.6,-3.9,-3.2,-2.9,-3,-3.4,-2.6,-1.9,-3,-2.3,-1.7,-5.3,-1.6,0,-1.3,-0.9,-0.3,-1.2,-0.1,0.8,0.8,-1.2,-4,0.2,3.7,0.3,-3.5,-2.9,-2.7,-3.7,-4.4,-4.8,-1.8
"27","20","    Current expenditures","W013RC1",184.1,201.6,220.6,245.2,262.6,294.5,348.3,376.7,410.1,452.9,500.9,589.5,676.7,752.6,819.5,881.5,953,1010.7,1045.9,1096.9,1172,1259.2,1320.3,1450.5,1504.3,1542.5,1614,1674.7,1716.3,1744.3,1796.2,1871.9,1979.8,2112.1,2261.5,2393.4,2573.1,2728.3,2900,3115.7,3450.4,3703.3,3752.6
"28","21","Consumption expenditures","A957RC1",98.3,98.6,101.9,107.6,108.8,117.9,129.5,137.1,150.7,163.3,178.9,207.4,238.3,263.3,286.4,309.9,338.3,358,373.7,381.7,398.5,419,438.3,444.1,441.2,440.7,440.1,446.5,457.5,454.6,473.3,496,530.2,590.5,660.3,721.4,765.8,811,848.9,931.7,986.6,1054,1072.1
"29","22","Current transfer payments","W014RC1",65.5,80.5,96.1,112.7,125.9,146.9,185.6,200.9,215.5,235.7,258,302.9,333.5,363,387.2,400.8,424,449.9,457.6,486.8,527.1,576.2,604,725.4,773.4,808.3,849,896,925.4,954.9,995.4,1047.4,1140,1252.1,1339.4,1405,1491.3,1587.1,1690.4,1841.9,2153.6,2313.7,2305.8
"30","23","  Government social benefits","W015RC1",46.3,56.4,66.9,73.8,85.7,104.6,134.3,145.6,154.7,165.2,185.8,223.2,254.4,285.4,306.7,312.9,329.4,348.1,360.9,381.9,415.2,451.2,498,555.7,587.7,613.3,649.4,684.5,710,724.4,743.8,777.8,845.7,924.6,972.7,1024.9,1089.2,1193.1,1267.5,1401.2,1617.9,1724.9,1755.5
"31","24","    To persons","B087RC1",45.8,55.6,66.1,72.9,84.5,103.3,132.3,143.1,152.1,162.4,182.8,219.6,250.1,281.2,303,309.2,325.4,343.7,356.7,377.4,410.1,445.1,491.7,549.5,581.5,606.4,642.6,676.9,702.2,716.1,735.3,769.1,836.3,914.9,962.6,1014.3,1078,1180.7,1254.2,1385.7,1601.8,1708.3,1738.8
"32","25","    To the rest of the world \6\","W016RC1",0.6,0.7,0.8,1,1.2,1.3,2,2.5,2.6,2.7,3,3.5,4.3,4.1,3.6,3.7,4,4.4,4.3,4.6,5.1,6.2,6.3,6.2,6.2,6.8,6.8,7.6,7.9,8.2,8.5,8.7,9.4,9.7,10.1,10.6,11.2,12.4,13.3,15.5,16.1,16.6,16.8
"33","26","  Other current transfer payments","W010RC1",19.1,24.1,29.2,38.9,40.2,42.3,51.3,55.3,60.8,70.5,72.2,79.7,79.1,77.6,80.5,87.9,94.6,101.8,96.6,104.8,111.9,125,106,169.7,185.7,195,199.6,211.5,215.4,230.6,251.6,269.6,294.3,327.5,366.6,380.1,402.1,394,423,440.7,535.7,588.8,550.3
"34","27","    Grants-in-aid to state and local governments","B089RC1",14.6,19.3,23.2,31.7,34.8,36.3,45.1,50.7,56.6,65.5,66.3,72.3,72.5,69.5,71.6,76.7,80.9,87.6,83.9,91.6,98.3,111.4,131.6,149.1,164,175.1,184.2,191.1,198.4,212.6,232.9,247.3,276.1,304.2,338,349.2,361.2,359,380.8,395.5,482.4,531.5,492.5
"35","28","    To the rest of the world (net) \6\","W017RC1",4.5,4.8,6,7.2,5.4,6,6.1,4.5,4.2,5,5.8,7.3,6.7,8.1,8.9,11.2,13.8,14.2,12.7,13.2,13.5,13.5,-25.6,20.6,21.7,19.9,15.4,20.4,17,18,18.7,22.3,18.2,23.3,28.6,30.9,40.9,34.9,42.2,45.3,53.3,57.3,57.8
"36","29","Interest payments \3\","A091RC1",15.8,17.7,17.9,18.8,22.8,26,28.9,33.8,37.1,45.3,55.7,69.7,93.9,111.8,124.6,150.3,169.4,178.2,184.6,199.3,219.3,237.5,250.9,251.3,253.4,261.3,290.4,297.3,300,298.8,282.7,283.3,258.6,229.1,212.9,221,255.4,279.2,313.2,292.1,251.9,279.9,312.4
"37","30","  To persons and business \3\","B092RC1",15,16.7,16.1,16.1,19,21.7,24.4,29.3,31.6,36.7,44.6,57,76.6,92.5,105.6,129.1,146.3,153.5,158.4,167.6,181,196.7,210.1,212.2,214,217.1,234.8,230.6,218.3,214.7,202.1,198.7,180.2,154.2,139,138.4,151.5,144.2,148.8,125.3,107.6,143.7,176.4
"38","31","  To the rest of the world","B093RC1",0.8,1,1.8,2.7,3.8,4.3,4.5,4.5,5.5,8.7,11.1,12.7,17.3,19.3,19,21.2,23.1,24.6,26.2,31.7,38.4,40.8,40.9,39.1,39.4,44.2,55.6,66.6,81.7,84.2,80.5,84.5,78.4,74.9,73.8,82.5,103.9,135,164.4,166.8,144.4,136.1,136.1
"39","32","Subsidies \5\","B096RC1",4.5,4.8,4.6,6.6,5.1,3.2,4.3,4.9,6.9,8.7,8.2,9.4,11.1,14.6,20.9,20.7,21,24.6,30,29.2,27.1,26.6,27.1,29.7,36.3,32.2,34.5,34.9,33.4,35.9,44.8,45.3,51.1,40.5,49,46,60.5,51,47.4,49.9,58.3,55.8,62.3
"40","33","Less: Wage accruals less disbursements","B098RC1",0,0,0,0.5,0,-0.5,0.1,0.1,0.1,0.1,0,0,0.1,0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","34","    Net federal government saving","A923RC1",8.6,-15.5,-28.7,-24.9,-11.8,-14.5,-70.6,-53.7,-46.1,-28.9,-14,-56.6,-56.8,-135.3,-176.2,-171.5,-178.6,-194.6,-149.3,-138.4,-133.9,-176.4,-218.4,-302.5,-280.2,-220.4,-206.2,-148.2,-60.1,33.6,98.8,185.2,40.5,-252.8,-376.4,-379.5,-283,-203.8,-245.2,-613.5,-1217.9,-1273.7,-1187.8
"42","35","Social insurance funds","B243RC1",5.7,1,-3,-0.6,5.9,3.2,-16.3,-16,-14.1,-4.7,0,-15.8,-14.3,-34.4,-37.9,-9.4,0.9,5.7,14.5,39.1,42.6,42.4,24.7,5.4,2.8,15.4,15.6,12.9,28.9,58.3,92.5,114.3,88.1,49.7,37.6,50.3,49,12.4,-3,-53,-251.7,-294.1,-283.1
"43","36","Other","B244RC1",2.9,-16.4,-25.7,-24.3,-17.7,-17.7,-54.4,-37.6,-32.1,-24.2,-13.9,-40.8,-42.5,-100.9,-138.4,-162.1,-179.5,-200.3,-163.8,-177.5,-176.6,-218.8,-243.1,-307.8,-283.1,-235.7,-221.8,-161.2,-89.1,-24.7,6.3,70.9,-47.6,-302.5,-413.9,-429.7,-332,-216.1,-242.3,-560.5,-966.2,-979.5,-904.7
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","  Total receipts","W018RC1",196.2,189.8,196.5,225.7,255.9,284.8,282.5,328.6,371.1,429.2,492.4,539.3,626.8,624.9,649,716,780.8,823,903.7,966.2,1046.9,1094.4,1112.9,1159.3,1237,1337.2,1422.8,1543.9,1676.7,1803,1923.7,2085.2,2048.2,1884.6,1907.1,2038.5,2315.1,2552.4,2681.2,2530.5,2253.1,2444.6,2569.9
"46","38","    Current receipts","W005RC1",192.7,186.1,191.9,220.3,250.8,280,277.6,323,364,424,486.9,532.8,619.9,617.4,643.3,710,774.4,816,896.5,958.5,1038,1082.8,1101.9,1148,1224.1,1322.1,1407.8,1526.4,1656.2,1777.9,1895,2057.1,2020.3,1859.3,1885.1,2013.9,2290.1,2524.5,2654.7,2502.2,2232.5,2429.6,2564.8
"47","39","    Capital transfer receipts","B232RC1",3.6,3.7,4.6,5.4,5.1,4.8,4.9,5.6,7.2,5.2,5.5,6.5,6.9,7.5,5.8,6,6.4,7,7.2,7.6,8.9,11.6,11,11.3,12.9,15.1,14.9,17.5,20.6,25.2,28.8,28.1,28,25.3,22,24.6,25,27.8,26.5,28.3,20.6,15,5.1
"48","40","  Total expenditures","W019RC1",189.7,205.3,221.3,245.9,262,295.2,357.4,386.1,421.5,466.9,517.3,608.4,695.1,773.6,845.9,915.2,997.8,1056.6,1095.2,1137.3,1211.1,1307.4,1363.2,1487.5,1534.8,1566.5,1631.4,1697.8,1728.8,1761,1828.7,1900.6,2014.1,2162.6,2329.3,2465.4,2667.4,2799.6,2996.2,3286.7,3699.4,3906.9,3926.8
"49","41","    Current expenditures","W013RC1",184.1,201.6,220.6,245.2,262.6,294.5,348.3,376.7,410.1,452.9,500.9,589.5,676.7,752.6,819.5,881.5,953,1010.7,1045.9,1096.9,1172,1259.2,1320.3,1450.5,1504.3,1542.5,1614,1674.7,1716.3,1744.3,1796.2,1871.9,1979.8,2112.1,2261.5,2393.4,2573.1,2728.3,2900,3115.7,3450.4,3703.3,3752.6
"50","42","    Gross government investment","A787RC1",15,14.8,11.7,12,13.6,16.6,19.5,22.6,24.7,27.6,31.6,36.3,41.9,47.5,56.4,64.4,74.4,80.4,85.8,79.8,83,88.5,88.2,88.8,83.8,77.9,78.6,80.4,73.4,76.4,81.6,80.1,81.5,90.1,96.2,103.3,110.5,120.7,127.4,148.4,156.1,168.8,160.8
"51","43","    Capital transfer payments","W020RC1",5.9,5.3,5.9,6.1,6,7.9,9.7,10.6,11.2,12,14.5,16.7,15.7,14.7,15.6,17.8,19.6,20.1,19.1,19.8,20.2,28.2,26.5,22.6,24.3,26,27.9,28.4,29.2,28.9,36.3,36.6,42,49.2,62.6,63.5,84.8,70.5,82.8,161.8,224.7,164.6,151.4
"52","44","    Net purchases of nonproduced assets","AD08RC1",0.1,-0.3,-0.4,-0.7,-3.2,-5.7,-0.4,-2.4,-1.4,-0.6,-2.8,-4,-5.5,-3.6,-4.9,-3.9,-1.1,-3,-0.4,-0.1,-0.7,-0.7,0.2,0.2,0.2,0.2,-7.4,-3.8,-7.6,-5.8,-0.4,-0.2,-0.7,0.3,-0.2,0,-0.5,-13.3,-1.3,-19.2,-7.1,0.2,-0.1
"53","45","    Less: Consumption of fixed capital","A918RC1",15.4,16.1,16.5,16.6,17,18.2,19.7,21.4,23,25,27,30,33.8,37.6,40.7,44.5,48,51.6,55.2,59.1,63.3,67.7,72,74.6,77.8,80.1,81.7,81.9,82.5,82.8,85,87.8,88.6,89.2,90.8,94.8,100.4,106.6,112.6,120,124.7,130,137.9
"54","46","  Net lending or net borrowing (-)","AD02RC1",6.6,-15.6,-24.9,-20.3,-6.1,-10.4,-74.9,-57.5,-50.4,-37.7,-24.9,-69.1,-68.2,-148.7,-196.9,-199.2,-217,-233.6,-191.5,-171.2,-164.2,-213.1,-250.3,-328.2,-297.8,-229.3,-208.7,-153.9,-52.1,42,95,184.7,34.2,-278,-422.2,-426.8,-352.4,-247.2,-315,-756.2,-1446.3,-1462.3,-1356.9
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Includes dividends tax for 1933-34 and automobile use tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","for 1942-46 as shown in table 3.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2. Includes the capital stock tax for 1933-45 as shown in table 3.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","3. Prior to 1960, interest payments to persons and business (line 29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","and interest receipts (line 13) are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","included in interest payments (line 28), which is shown net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","interest receipts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","4. Beginning with 1959, includes royalties paid from petroleum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","production on the Outer Continental Shelf.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Prior to 1959, subsidies (line 31) and the current surplus of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","government enterprises (line 18) are not shown separately; subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","6. Prior to 1960, government social benefits to the rest of the world",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","(line 24) are included in line 27, ""other current transfer payments to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
