"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRC1",83.6,90.4,92.6,98.7,109.6,124.2,136.2,145.6,156.5,171.1,190.3,208,221.7,231.3,239.2,252.7,262.3,273.8,281.8,299,319.5,341.2,351.5,354.6,362.4,378.3,388.3,402.8,412.8,422.1,444.9,463.1,482.2,490.4,507.3,529.8,558.2,582.2,614.9,647.4,642.4,654.5,698.2
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRC1",11,12.3,13.8,14.9,16,17.7,19.2,20.5,22.1,23.8,26.8,30,32.4,34.7,36.8,37.4,39.7,41.7,41.8,43.1,45.3,49.3,50.9,49.3,50.5,53.3,55,58.7,61.6,64,68.3,74,77.2,78.9,79.9,82.8,86,91.6,96,98.7,99.5,105.8,111.6
"13","6","    Food produced and consumed on farms","DFFDRC1",0.7,0.8,0.7,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1,1,0.9,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.3
"14","7","  Clothing, footwear, and related services","DCAFRC1",48.8,49.9,53.4,58,63.7,66.9,71.4,76.9,84.3,94.6,101.9,108.8,119.1,122.7,132.9,144.7,154.3,165.1,176.4,188.2,201.4,207,210.4,223,231,239.7,244.1,252.7,262,273,287.1,297.3,294.3,295.2,301.7,314.6,330.2,344.2,352.7,348,333.2,347.9,366.1
"15","8","    Clothing","DCLTRC1",40.7,41.9,44.9,48.7,53.5,56.6,60.7,65.5,71.7,80.2,85.5,91.1,99.4,103.1,112.1,122.7,130.9,140.2,149.9,160,170.4,174.8,178.5,189.5,196.1,202.8,206.1,212.7,220.8,229.6,241.4,250.4,247.8,248.9,254.2,265,276.9,287.1,293.7,289.1,277,288.8,304
"16","9","      Garments","DGARRC1",35.5,36.6,39.6,43.2,47.8,50.8,54.9,59.2,65.1,73.1,78.2,83.3,91.4,94.9,103.3,113.1,121,129.5,138.2,146.9,156.2,160,164,174.4,180.9,187.3,190.1,196.4,203.2,211.1,221.9,230,227.2,228,234,244.7,256.3,266,272.5,268.1,256.8,268.5,283.1
"17","10","        Women's and girls' clothing","DWGCRC1",21.3,21.9,24,25.8,28.3,29.9,32.2,34.5,37.5,42.5,45.5,48.5,53.3,55.3,60.7,67,72.2,77.9,83.1,87.6,92.7,94.5,96.5,103.2,106.4,108.4,108.9,111.4,113.9,119,126.5,132.7,132.1,133.3,137.5,145,152.5,158.9,164,160.1,153.2,160.6,169.5
"18","11","        Men's and boys' clothing","DMBCRC1",13.4,13.7,14.7,16.3,18.2,19.3,20.9,22.5,25.1,27.6,29.2,30.9,33.5,34.5,37.1,40.2,42.5,44.9,48,51.7,55.6,57.4,59.4,63,66.1,70.1,72.2,75.8,80,82.2,84.6,85.9,83.2,82.4,84.2,87.3,91,93.9,95.2,94.5,90.7,94.5,99.6
"19","12","        Children's and infants' clothing","DCICRC1",0.8,1,0.9,1.1,1.3,1.7,1.9,2.2,2.5,3,3.4,3.9,4.6,5.1,5.5,6,6.3,6.7,7,7.6,8,8.1,8.1,8.2,8.4,8.8,9,9.1,9.4,10,10.8,11.4,11.9,12.3,12.2,12.4,12.9,13.2,13.3,13.5,12.9,13.4,14
"20","13","      Other clothing materials","DOCMRC1",1.1,1.1,1.3,1.5,1.6,1.7,1.6,1.9,2,2.1,2.1,2.4,2.4,2.6,2.7,2.9,3,3.2,3.5,3.7,3.8,3.8,3.8,3.9,3.9,3.8,3.6,3.7,3.5,3.7,4,4.4,4.6,5,5.1,4.9,4.8,4.7,4.5,4.3,4.3,4.4,4.5
"21","14","      Cleaning, repair, and rental of clothing","DCRCRC1",4.2,4.2,4,4.1,4.1,4.1,4.2,4.3,4.6,4.9,5.2,5.4,5.5,5.5,6,6.6,7,7.5,8.2,9.4,10.4,11.1,10.7,11.2,11.3,11.7,12.4,12.7,14.1,14.7,15.5,16,16,15.9,15.1,15.4,15.7,16.4,16.8,16.6,15.8,15.9,16.4
"22","15","        Laundry and dry cleaning services","DDRYRC1",2.6,2.5,2.4,2.4,2.1,2.1,2.1,2.1,2.3,2.5,2.7,2.9,2.8,2.7,2.9,3.1,3.1,3.2,3.6,4,4.2,4.1,4.4,5.5,5.6,5.9,6.3,6.5,7.2,7.6,8.1,8.3,8.3,8.2,7.7,7.8,8,8.5,8.6,8.5,8.1,8.1,8.3
"23","16","        Clothing repair, rental, and alterations","DLGRRC1",1.6,1.7,1.6,1.7,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.9,3.1,3.5,3.9,4.3,4.6,5.5,6.2,7,6.3,5.7,5.7,5.8,6.1,6.2,6.8,7.1,7.4,7.7,7.7,7.6,7.4,7.6,7.7,7.9,8.2,8.1,7.7,7.8,8.1
"24","17","    Footwear \2\","DFTWRC1",8.1,8.1,8.4,9.2,10.2,10.2,10.7,11.4,12.6,14.5,16.4,17.8,19.8,19.6,20.8,22,23.4,24.9,26.5,28.2,30.9,32.1,32,33.5,34.8,36.9,38.1,40,41.2,43.4,45.7,46.9,46.6,46.3,47.6,49.5,53.3,57,59,58.9,56.3,59.2,62.1
"25","18","  Housing, utilities, and fuels","DHUFRC1",105.5,113.8,124.5,136.2,149.7,166.3,184.8,204.6,228.7,255.6,287.5,327,367.5,401.2,434.5,471.9,514,546.8,582.8,625.9,667.3,709.1,747.8,783.3,826.9,879.2,926.8,975.5,1023.1,1076.8,1137.4,1214.5,1303.2,1349.1,1410.6,1480.2,1602.6,1706.8,1777.9,1857,1892.2,1914.2,1954.5
"26","19","    Housing","DHSGRC1",84.2,91,99.7,108.7,119,130,142.4,156,173.4,194.5,218,245.9,277.8,302.5,327.2,358.4,394.7,429.2,461.8,497.3,531.5,570.4,601.8,634.5,665.9,712.6,756.2,794.2,839.3,893.9,950.5,1010.5,1085.8,1134.5,1176.1,1233.9,1328.9,1416.3,1472.9,1529.9,1576.2,1586.6,1623.3
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRC1",24,26,28.4,30.8,33.7,35.8,39,42.6,47,51.1,55.7,61.8,71,78.6,85.5,94.6,108.3,119.3,126.8,133.8,140.1,150.7,157.6,163.9,168.8,176.7,186.2,191.2,199.4,209,218.7,227.9,241.9,249.2,247.1,253.7,264.7,283.4,311.1,330.3,353.1,360.2,377.6
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRC1",56.6,61.3,67.3,73.7,81,89.7,98.8,108.7,121.3,138.1,156.9,178.4,201,218.2,236,258.1,280.8,304.5,329.4,357.6,384.9,412.8,436.7,462.8,488.5,526.2,559.8,592.5,629.5,674.1,720.3,768.9,829.8,870.9,913.8,962.5,1044.5,1111,1141.3,1179.1,1202.3,1205.1,1222.8
"29","22","      Rental value of farm dwellings","DFARRC1",3,3.3,3.5,3.7,3.8,4,4,4.1,4.4,4.7,4.9,5.2,5.3,5.1,5.2,5.2,5.1,5,5,5.5,5.9,6.3,6.8,7.2,8.1,9,9.4,9.8,9.6,10,10.6,12.7,13.1,13.6,14.3,16.8,18.8,20.9,19.5,19.5,19.6,20.2,21.7
"30","23","      Group housing","DGRHRC1",0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.1,1.2
"31","24","    Household utilities and fuels","DUTFRC1",21.3,22.7,24.8,27.4,30.7,36.3,42.4,48.6,55.3,61.1,69.5,81.1,89.6,98.7,107.4,113.5,119.3,117.6,121.1,128.6,135.9,138.7,146,148.8,160.9,166.6,170.6,181.3,183.9,182.9,186.9,204,217.5,214.5,234.5,246.4,273.7,290.5,305.1,327.1,316,327.6,331.2
"32","25","      Water supply and sanitation","DWRSRC1",2.8,3.2,3.6,4,4.4,4.9,5.5,6,6.7,7.5,8.4,9.4,10.5,11.7,13.1,14.9,17,19.1,21.1,22.9,25.3,27.1,28.8,30.3,33.5,36.7,39.3,42.1,44.1,46.2,48.7,50.4,52.4,54.6,57.4,60.3,63.7,69,72.9,77.4,80,83.7,87.2
"33","26","      Electricity, gas, and other fuels","DEGFRC1",18.5,19.6,21.2,23.4,26.3,31.3,37,42.6,48.7,53.6,61.1,71.7,79.2,87.1,94.3,98.5,102.3,98.5,100,105.7,110.6,111.5,117.2,118.5,127.4,129.9,131.3,139.2,139.8,136.7,138.2,153.5,165.1,159.9,177.1,186,209.9,221.4,232.2,249.7,236,243.9,244
"34","27","        Electricity","DELCRC1",8.8,9.6,10.6,11.8,13.3,16.1,19.4,21.6,25.2,28,30.7,37.2,42.5,47,51.6,55.3,59.3,60.6,63.3,66.8,69.7,71.8,76.6,76.8,82.7,84.5,87.6,90.5,90.7,93.4,93.6,98.4,103.4,107.1,111.5,115.9,128.7,140.9,148.7,155.8,157.4,167.2,168.4
"35","28","        Natural gas","DGHERC1",5.2,5.6,6.1,6.6,6.8,7.5,9.3,11,12.6,14.2,16.2,19.3,21.2,25.8,29.3,29.6,29.8,26.8,25.7,27.4,29.2,27,28.3,29.6,32.3,32.6,30.7,34.5,35.9,31.7,32.2,39.3,46.2,38.5,48.9,52.3,61.2,59.9,61.7,67.9,58,54.5,51.1
"36","29","        Fuel oil and other fuels","DFULRC1",4.5,4.4,4.5,5,6.2,7.7,8.3,10,10.9,11.4,14.1,15.2,15.5,14.2,13.4,13.6,13.3,11.1,11,11.5,11.7,12.8,12.3,12.1,12.4,12.7,13,14.3,13.2,11.6,12.4,15.9,15.5,14.3,16.7,17.9,20,20.6,21.8,25.9,20.6,22.3,24.5
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRC1",45.4,46.6,48.8,53.5,59.9,64.6,67.8,75,84,93.6,104.3,110.7,118.3,121,132.3,147.1,156,168.7,176.9,186.6,197.5,200.6,199.1,209.4,221.9,238.6,251.7,263.7,277.3,296.8,319.7,342.5,351.1,363.5,374.7,397,418.7,436.5,442.5,432.9,402.7,410.2,429.6
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRC1",15,15.1,15.9,18.1,20.5,22.1,22.6,24.8,28.3,31.1,34.5,35.3,36.6,35.9,40.6,46,49.2,54.4,59,62.1,66.1,65.3,63.8,66,69.8,75.1,78.8,83.3,88.4,95.4,104.7,114.4,117.1,122.2,125,133.7,141.9,148.1,148.7,138.9,124.7,128,132.8
"39","32","    Household textiles","DTEXRC1",4.7,4.7,4.7,4.9,5.4,5.8,6,6.5,7.2,7.9,8.7,9.4,10.4,10.8,12.4,14.3,15.6,17.7,19.2,20.1,20.4,20.4,20.5,22,23.4,25.6,27.1,28.9,30.1,31,33,34.2,34,35,36,37.6,39.2,40.2,39.9,38.7,36,37.3,39.6
"40","33","    Household appliances \6\","DHAPRC1",7.3,7.7,8.3,9.3,10.2,10.7,11,12,13.3,14.3,15.7,16.1,16.6,16.1,17.8,19.4,20.9,22.3,22.8,23.8,25,24.8,24.4,25.5,26.7,27.7,29,29.6,29.8,32,35.1,37.6,39.3,41.2,42.1,44.8,47.2,48.6,48.6,47.2,43.6,44.3,45.6
"41","34","    Glassware, tableware, and household utensils \7\","DUTERC1",3.5,3.6,3.7,4.1,4.7,5.2,5.7,6.5,7.3,8.6,9.5,10.6,11.8,12.8,13.4,14.1,14.4,15.1,15.1,16.3,17.5,18.4,18.5,20.1,21.1,22.8,23.7,24.8,25.7,28.3,31.9,35.3,37.1,40,40.6,41.7,42.7,43.3,42.6,41.6,39.4,41,43.7
"42","35","    Tools and equipment for house and garden","DTOORC1",1.5,1.6,1.7,1.8,2.2,2.5,2.8,3.2,3.7,4.2,4.9,5.3,5.7,6,6.5,7,7.3,7.7,8.1,8.7,9.2,9.7,9.9,10.7,11.5,12.5,13,13.6,14.5,15.4,16.4,17.1,17.6,18.1,19.1,20.9,22.3,23.3,23,22.2,20.6,20.8,21.6
"43","36","    Other household goods and services \8\","DOGSRC1",13.4,14.1,14.5,15.3,16.9,18.4,19.7,22,24.3,27.6,31.1,34.1,37.1,39.3,41.7,46.3,48.6,51.4,52.7,55.6,59.3,62,61.9,65.1,69.3,74.9,80,83.5,88.8,94.6,98.6,103.8,106,107.2,111.8,118.3,125.4,132.9,139.7,144.3,138.3,138.9,146.3
"44","37","  Health","DHLTRC1",50,56.8,63.4,70.4,78.7,88.7,102.7,116.8,131.6,149.4,169.9,195.5,228.9,254.9,287.1,315.2,345.3,378.4,419.9,470.7,519,583.7,638.4,700.4,741.7,779.9,826,868.3,919.9,979.7,1033.3,1109.6,1209.4,1317.1,1405.7,1507.5,1605.1,1694.5,1798.4,1884.9,1966.7,2044.1,2155
"45","38","    Medical products, appliances, and equipment","DMPARC1",8,9.2,9.7,10.6,11.5,12.6,13.7,14.9,15.9,18.2,21,23.8,26.9,29.7,34,38.7,43.1,48.2,53.9,60.7,67.8,77.5,82.6,87.7,92.9,99.4,106.1,116.2,128.9,147.6,169.7,191.2,212.8,234.2,257.6,279,296.3,320.9,340.7,352.3,365.2,381.1,403.4
"46","39","      Pharmaceutical and other medical products \9\","DPHMRC1",6.3,7.3,7.7,8.4,9.1,9.9,10.7,11.7,12.4,14.2,16.5,18.7,21.3,23.5,26.9,30.3,33.5,37.2,41.3,45.9,51.9,59.1,65.1,69.6,74,79.1,85.1,93.2,103.7,119.8,140,159,181,200.2,221.6,240.4,254.7,276.2,291.7,302.5,315.4,328.5,348.1
"47","40","        Pharmaceutical products","DPNPRC1",6.1,7.1,7.5,8.2,8.9,9.6,10.3,11.3,12,13.8,16.1,18.3,20.8,23,26.3,29.7,32.8,36.4,40.4,44.9,50.8,57.9,63.8,68.2,72.6,77.7,83.8,91.9,102.3,118.3,138.3,157.1,178.9,198,219.3,237.8,251.9,273.1,288.3,299,312,324.9,344.2
"48","41","        Other medical products","DOMPRC1",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.3,1.5,1.7,2,2.1,2.2,2.3,2.6,2.8,3.1,3.4,3.5,3.4,3.6,3.9
"49","42","      Therapeutic appliances and equipment","DTAERC1",1.7,1.9,1.9,2.2,2.4,2.7,3,3.3,3.5,3.9,4.5,5.1,5.7,6.2,7.1,8.4,9.6,11,12.6,14.8,15.9,18.4,17.5,18.1,18.9,20.4,21,23,25.3,27.8,29.7,32.2,31.8,34,36,38.6,41.5,44.7,49,49.8,49.8,52.6,55.2
"50","43","    Outpatient services","DOUTRC1",19.9,22.3,24.1,26.3,29.9,33.2,38.5,43.4,49.5,54.7,61.5,70.6,83.6,90.7,103.3,115.8,129.4,143.4,164.4,186.2,204.6,232.1,253.8,282.6,297.5,314.6,336.6,351.3,369.1,390.4,407.1,436.6,475.8,514.7,549.6,590.1,625.9,652.9,690.3,728.5,747.4,770.8,806.4
"51","44","      Physician services \10\","DPHYRC1",12.4,14,15.3,16.7,18.5,20.4,23.6,25.9,29.7,32.7,37.2,43.3,51,55.8,62.9,69.9,77.5,85.4,99.1,112.5,121.9,134.8,144.9,158.7,162.1,168.3,177.8,183.4,190.9,202,212.1,229.2,249.3,269.3,290.4,312.1,330.5,343.7,360.2,377.9,386.9,396.9,412.6
"52","45","      Dental services","DDENRC1",4.3,4.9,5.1,5.6,6.6,7.3,8.2,9.3,10.3,11.3,12.3,13.7,16.1,17.4,18.9,20.6,22.6,24.2,26.8,28.4,30.3,32.4,34.1,37.6,39.6,42.2,45.4,47.8,50.9,54.6,58.5,63.6,69.3,75.6,78.2,84.1,89.1,93.3,99.3,104.4,104.6,107,113.9
"53","46","      Paramedical services","DPMSRC1",3.2,3.4,3.6,4,4.8,5.5,6.7,8.2,9.5,10.7,12.1,13.6,16.5,17.5,21.6,25.2,29.4,33.8,38.5,45.3,52.4,64.9,74.8,86.3,95.8,104.1,113.4,120.1,127.3,133.8,136.5,143.8,157.2,169.8,181,193.9,206.3,215.9,230.8,246.2,255.9,267,279.9
"54","47","        Home health care","DHHCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,14.3,18.4,22.1,27,31.9,36.7,41.6,44.5,45.7,45.3,43.2,42.8,45.4,47,49.7,54.1,57.4,61.1,66.4,70.7,75.5,79.1,82.9
"55","48","        Medical laboratories","DMLBRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,4.6,5.4,6.4,7.3,8.3,8.6,9.1,9.5,10.1,11.4,13.2,14.5,16.9,19.7,21,23.3,25.3,27.5,29.2,30.5,32.6,33.9,34.3,35
"56","49","        Other professional medical services \11\","DOMDRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9,28.7,32.6,40.1,45.4,51.1,55.4,58.3,62.3,65.5,70.2,75.2,78.8,84.1,92,101.8,108,114.5,121.3,125.7,133.9,142.8,146.5,153.6,161.9
"57","50","    Hospital and nursing home services","DHPNRC1",22.1,25.4,29.6,33.5,37.3,42.9,50.5,58.5,66.2,76.5,87.3,101,118.3,134.5,149.8,160.7,172.8,186.8,201.6,223.9,246.6,274.1,302,330.1,351.4,365.9,383.3,400.8,421.8,441.6,456.5,481.8,520.8,568.2,598.5,638.4,683,720.7,767.4,804.1,854.2,892.2,945.2
"58","51","      Hospitals \12\","DHSPRC1",18.3,20.9,24.3,27.6,30.6,35.3,41.7,48.6,55.1,63.6,72.9,84.7,100,115.2,127.4,135.8,145.8,157.4,170.9,188.8,207.7,228.8,253.3,277.6,295.5,307.2,318.4,330.1,345.5,360.1,373.2,393.9,427.1,469.5,494.1,529.3,567.9,601.9,640.2,670.2,715.3,747.3,793.5
"59","52","      Nursing homes","DNRSRC1",3.8,4.5,5.3,6,6.7,7.7,8.8,9.9,11.1,12.8,14.4,16.4,18.3,19.3,22.4,24.9,27,29.4,30.7,35.1,38.9,45.3,48.7,52.5,55.9,58.7,64.8,70.7,76.3,81.5,83.2,87.9,93.7,98.6,104.4,109.2,115,118.8,127.1,133.9,139,144.9,151.7
"60","53","  Transportation","DTRNRC1",75.9,76.5,88.7,98.3,108.6,112.8,124.4,147.4,168.1,184.5,207.1,226.5,250.7,255.9,284.9,321.8,357.4,362.6,376.6,404.8,428.3,442.9,418.3,451.3,485.3,528.2,554.1,598.9,641.8,669.2,730.5,798.4,814.1,818.4,857,909.1,978,1007,1049.9,1029.7,879.2,960.5,1079.4
"61","54","    Motor vehicles","DMTRRC1",32,28.5,36.1,41.4,45.5,38.7,42.4,56.8,66.9,74.8,73.8,66.5,73.4,79.6,100.8,124.4,146.6,164,164.2,175.9,180.8,176.9,157.9,176.1,193.9,216.1,220.3,235.8,254,280.7,309.7,321.4,342,359.7,358.2,359.5,361.6,346.6,349.9,290.4,269.8,293.2,320.3
"62","55","      New motor vehicles","DNMVRC1",26.8,23.4,30.5,35.2,38.7,31.7,34.6,46.6,55.9,62.7,61.4,54.3,59.1,64.3,82.9,99.7,117.8,134,128.8,138.2,139.3,134.7,112.9,126.7,138.9,151.2,147.5,153,162.2,179.4,200.1,210.7,230,243.6,251.6,252.4,248.9,233,233.2,185.2,165.6,177.8,203
"63","56","      Net purchases of used motor vehicles","DNPVRC1",5.2,5,5.6,6.2,6.8,7,7.8,10.2,11.1,12,12.4,12.2,14.3,15.3,18,24.7,28.8,29.9,35.5,37.7,41.5,42.2,45,49.4,55,64.9,72.9,82.9,91.7,101.4,109.6,110.7,112,116.1,106.6,107.1,112.7,113.5,116.7,105.1,104.2,115.4,117.3
"64","57","    Motor vehicle operation","DMVORC1",37.4,41,44.9,48.2,53.7,63.4,70.6,77.4,86.4,94,115.8,139.7,155.9,154.4,160.2,170.3,182.7,169.4,181.1,194.2,210.5,226.9,221,234.7,247.9,266.1,284.9,310.9,330.8,326.5,355.2,404,404.1,393.7,429.8,475.8,540,580.2,617.4,655.3,531.4,587.2,674.3
"65","58","      Motor vehicle parts and accessories","DMVPRC1",5.4,6.1,7.1,8,8.9,9.5,10.3,11.4,12.9,14.4,16.3,17.9,19.6,20.4,22.1,22.8,23.5,23.5,23.9,26.3,27,28.3,27.8,28.7,30.8,33.7,35.4,37.6,39.1,39.5,41.1,41.8,41.3,41.7,42.8,44.3,46.6,48.2,50.1,48.9,46.2,49.6,53.3
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRC1",20.5,21.9,23.2,24.4,28.1,36.1,39.7,43,46.9,50.1,66.2,86.7,97.9,94.1,93.1,94.6,97.2,80.1,85.4,88.4,98.7,111.4,108.9,112.9,114.5,116.5,120.4,130.5,134.4,121.8,136.5,172.9,168.1,160.3,192.8,231.6,283.8,314.7,343,384.5,278.7,330.1,403.8
"67","60","      Motor vehicle maintenance and repair","DVMRRC1",10.1,11.4,12.9,14,14.7,15.7,18.3,20.5,23.8,26.4,29.8,31.2,33.9,35.1,39.9,45.9,53.4,56.2,61.5,68.3,72.5,73.9,69.4,73.7,78.9,86.5,93.5,100.1,106.3,112.8,119.9,127.4,133.8,136.8,143.5,148.4,155.1,157.1,162.6,159.2,150,152.4,160.8
"68","61","      Other motor vehicle services","DOVSRC1",1.4,1.5,1.7,1.9,2,2,2.3,2.5,2.9,3,3.4,3.9,4.5,4.7,5.2,7.1,8.7,9.6,10.3,11.3,12.3,13.3,15,19.4,23.8,29.4,35.7,42.6,50.9,52.5,57.8,61.9,60.9,54.9,50.8,51.5,54.5,60.1,61.7,62.7,56.5,55.1,56.5
"69","62","    Public transportation","DPUBRC1",6.5,7.1,7.8,8.7,9.4,10.7,11.4,13.2,14.8,15.7,17.5,20.2,21.4,21.9,23.9,27,28.1,29.2,31.3,34.6,37.1,39.2,39.3,40.5,43.5,46,48.8,52.2,57.1,61.9,65.6,73,67.9,64.9,69,73.8,76.3,80.2,82.7,84,78,80.1,84.8
"70","63","      Ground transportation \13\","DGRDRC1",3.6,4,4.3,4.6,4.7,5.2,5.5,6,6.5,6.6,7.1,7.4,8,8.4,8.7,9.3,9.8,9.9,10,11.2,11.8,12.9,14,14.8,15.4,16.1,16.7,17.4,18.1,19.7,20.5,21.6,22.8,23.1,23.3,25.1,26.2,28.3,28.4,29.7,29.7,30.5,32.1
"71","64","      Air transportation","DAITRC1",2.8,3.1,3.5,4.1,4.7,5.5,5.9,7.1,8.3,9.1,10.4,12.8,13.4,13.5,15.1,17.6,18.1,19,20.9,23,24.8,25.9,25.1,25.6,27.7,29.2,31.1,33.3,37.2,40.3,43,49.2,42.9,39.5,43.3,46.2,47.7,49.4,51.6,51.6,45.8,47,49.8
"72","65","      Water transportation","DWATRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.5,0.4,0.3,0.2,0.1,0.3,0.6,1.1,1.5,1.8,2,2.1,2.2,2.3,2.3,2.4,2.5,2.5,2.6,2.7,2.7,2.5,2.7,2.8
"73","66","  Communication","DCMCRC1",10.7,11.6,12.8,14.4,16.1,17.7,20,22.4,24.3,27,29.4,31.8,36,41.1,44.8,48.4,53.1,56.9,60,63.1,67.3,70.1,73.9,81.1,85.8,93.3,98.9,108.3,120.1,130.6,144.7,162.1,171.3,177.5,182.9,189.1,193.8,206.8,220.9,230.7,229,237,246.7
