"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Goods","DGDSRD3",23.533,23.76,24.124,24.759,25.116,25.386,25.78,25.591,25.278,24.994,24.704,24.554,24.416,24.549,25.152,25.685,26.736,26.968,26.933,27.255,27.32,27.161,27.261,27.189,27.165,27.087,27.084,27.092,27.217,27.114,26.921,26.784,26.82,26.795,26.883,26.891,26.966,27.167,27.463,27.618,27.864,28.077,28.296,28.395,28.861,28.875,28.801,28.665,28.856,28.89,28.981,29.057,29.016,29.161,29.203,29.313,29.35,29.229,29.303,29.253,29.339,29.406,29.453,29.534,29.567,29.571,29.751,29.821,29.963,29.953,30.009,30.08,30.146,30.321,30.396,30.397,30.674,30.897,31.092,31.272,31.247,31.321,31.654,31.896,32.189,32.461,32.76,33.091,33.323,33.725
"12","4","    Durable goods","DDURRD3",41.363,41.747,41.979,42.526,42.854,43.418,44.935,45.023,44.883,44.604,44.064,43.997,43.836,44.157,44.746,45.506,47.224,47.55,47.573,48.036,48.371,47.8,48.292,47.145,47.588,47.636,47.332,47.435,47.836,46.643,45.878,45.599,45.865,46.076,46.509,46.633,46.815,46.921,47.603,48.227,48.617,49.288,49.283,49.38,50.257,50.052,50.001,49.821,50.69,50.881,50.873,50.851,50.779,50.718,50.564,50.472,50.479,50.716,50.949,50.885,50.895,50.963,51.131,50.929,50.943,51.099,51.241,51.403,51.478,51.451,51.396,51.298,51.308,51.149,50.895,50.614,50.541,50.755,50.979,51.211,51.106,51.327,51.892,52.413,52.75,53.071,53.513,54.004,54.323,54.735
"13","5","    Nondurable goods","DNDGRD3",17.643,17.816,18.137,18.686,18.993,19.183,19.371,19.172,18.882,18.639,18.428,18.29,18.174,18.258,18.781,19.212,20.022,20.203,20.16,20.415,20.436,20.359,20.396,20.48,20.391,20.306,20.349,20.343,20.412,20.48,20.399,20.304,20.303,20.245,20.264,20.252,20.301,20.49,20.686,20.749,20.939,21.053,21.277,21.363,21.704,21.746,21.68,21.569,21.635,21.641,21.734,21.815,21.784,21.941,22.006,22.13,22.164,22.009,22.05,22.008,22.094,22.152,22.173,22.288,22.321,22.299,22.463,22.508,22.644,22.638,22.706,22.798,22.866,23.081,23.208,23.261,23.574,23.774,23.942,24.092,24.086,24.123,24.376,24.539,24.792,25.027,25.266,25.53,25.721,26.08
"14","6","  Services","DSERRD3",9.016,9.065,9.282,9.492,9.546,9.64,9.786,9.822,9.816,9.837,9.868,9.939,9.98,10.016,10.169,10.301,10.49,10.567,10.623,10.785,10.859,10.945,11.061,11.146,11.264,11.351,11.5,11.613,11.68,11.702,11.722,11.774,11.842,11.885,11.943,12.015,12.085,12.155,12.257,12.332,12.445,12.503,12.61,12.701,12.794,12.837,12.898,12.962,13.056,13.151,13.275,13.392,13.453,13.527,13.617,13.688,13.723,13.783,13.849,13.909,13.991,14.059,14.111,14.156,14.222,14.263,14.31,14.384,14.454,14.527,14.6,14.665,14.727,14.789,14.864,14.958,15.052,15.191,15.331,15.483,15.59,15.703,15.824,15.974,16.164,16.357,16.545,16.747,16.961,17.193
"15","7","Gross private domestic investment","A006RD3",17.87,18.66,19.484,20.239,20.016,20.084,20.759,21.343,21.076,20.379,20.547,20.465,20.651,20.866,21.554,22.337,23.512,23.979,23.797,23.811,23.626,23.281,23.881,23.632,23.467,23.496,23.746,23.512,23.351,23.29,23.655,23.894,23.998,23.923,24.239,25.043,25.607,25.35,26.033,25.876,26.512,26.598,26.457,25.584,25.769,25.608,26.378,27.068,26.652,26.548,26.527,26.58,26.952,26.824,26.649,26.316,26.483,26.562,26.642,26.801,26.835,26.651,26.595,26.493,26.419,26.526,26.474,26.816,26.618,26.718,26.587,26.917,27.056,27.095,27.02,27.375,27.303,27.589,27.753,28.15,28.214,28.187,28.468,28.818,29.119,29.257,29.457,30.12,30.484,30.717
"16","8","  Fixed investment","A007RD3",16.841,17.503,17.949,18.318,18.516,18.933,19.527,19.754,19.714,19.681,19.45,19.366,19.352,19.663,20.218,20.608,21.325,21.658,21.832,22.059,22.163,22.265,22.295,22.245,22.259,22.376,22.558,22.514,22.521,22.615,22.612,22.631,22.623,22.779,23.063,23.372,23.865,24.124,24.547,24.731,24.967,25.079,25.251,25.353,25.121,25.224,25.252,25.307,25.352,25.449,25.518,25.556,25.588,25.638,25.624,25.574,25.52,25.538,25.521,25.52,25.537,25.557,25.55,25.52,25.534,25.489,25.396,25.455,25.368,25.592,25.621,25.902,25.915,25.969,26.011,26.324,26.188,26.646,26.641,26.972,27.084,27.209,27.379,27.714,27.997,28.267,28.437,29.081,29.391,29.711
"17","9","    Nonresidential","A008RD3",21.506,22.193,22.791,23.19,23.322,23.995,24.856,25.226,25.04,24.994,24.879,24.713,24.731,24.962,25.486,26.363,27.295,27.772,28.029,28.343,28.483,28.557,28.461,28.464,28.476,28.692,28.918,28.898,29.007,29.156,28.946,28.99,28.875,29.042,29.516,30.148,31.013,31.279,32.097,32.535,33.044,33.224,33.452,33.712,33.336,33.523,33.58,33.676,33.737,33.929,34.08,34.145,34.154,34.185,34.154,34.031,33.978,33.945,33.904,33.919,33.922,33.966,33.957,33.92,33.942,33.921,33.946,33.938,33.936,34.094,34.102,34.287,34.337,34.424,34.519,34.69,34.637,34.978,35.05,35.373,35.558,35.743,35.979,36.326,36.591,36.949,37.258,37.839,38.106,38.46
"18","10","      Structures","A009RD3",7.5,7.596,7.861,8.122,8.335,8.563,8.784,8.867,8.72,8.6,8.555,8.568,8.547,8.519,8.703,9.075,9.445,9.679,9.842,9.934,10.014,9.981,9.959,9.98,10.01,10.151,10.281,10.266,10.126,10.025,10.029,10.042,10.066,10.146,10.282,10.511,10.979,10.946,11.245,11.358,11.48,11.624,11.685,11.657,11.341,11.413,11.457,11.493,11.413,11.478,11.521,11.531,11.572,11.502,11.45,11.372,11.372,11.393,11.404,11.445,11.462,11.5,11.489,11.523,11.558,11.581,11.61,11.62,11.602,11.733,11.748,11.931,11.952,12.039,12.069,12.309,12.282,12.554,12.571,12.732,12.784,12.853,12.941,13.121,13.306,13.473,13.58,13.921,14.116,14.348
"19","11","      Equipment and software","A010RD3",33.691,35.111,35.904,36.23,36.048,37.112,38.655,39.348,39.264,39.464,39.298,38.844,38.944,39.589,40.403,41.616,42.962,43.522,43.727,44.266,44.4,44.672,44.496,44.447,44.398,44.554,44.757,44.737,45.424,46.125,45.559,45.637,45.266,45.465,46.288,47.256,48.128,48.918,50.151,50.955,51.925,51.964,52.379,53.142,53.143,53.417,53.43,53.573,53.986,54.297,54.563,54.704,54.601,54.898,54.981,54.906,54.765,54.604,54.46,54.37,54.321,54.319,54.329,54.128,54.086,53.97,53.951,53.906,53.949,53.984,53.961,53.922,53.988,53.971,54.131,53.917,53.863,54.011,54.15,54.535,54.854,55.13,55.488,55.888,56.085,56.544,57.029,57.616,57.797,58.104
"20","12","    Residential","A011RD3",9.19,9.703,9.923,10.18,10.376,10.5,10.749,10.811,10.896,10.882,10.623,10.621,10.595,10.862,11.275,11.262,11.644,11.786,11.852,11.958,12.012,12.112,12.225,12.151,12.162,12.177,12.283,12.232,12.161,12.194,12.336,12.333,12.393,12.499,12.585,12.592,12.694,12.888,12.909,12.852,12.814,12.846,12.933,12.884,12.823,12.837,12.837,12.847,12.867,12.877,12.873,12.883,12.922,12.971,12.973,12.988,12.946,12.996,13,12.988,13.011,13.009,13.005,12.987,12.991,12.941,12.797,12.883,12.765,12.972,13.008,13.29,13.272,13.288,13.278,13.655,13.473,13.968,13.883,14.183,14.194,14.233,14.309,14.58,14.836,14.978,14.986,15.581,15.882,16.118
"21","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Exports","A020RD3",21.577,23.163,24.322,24.893,25.019,24.865,24.555,24.164,23.731,23.289,22.924,22.684,22.326,22.376,22.585,22.995,24.348,25.228,25.962,26.394,25.749,25.679,25.636,25.6,25.699,25.655,25.573,25.466,25.348,25.258,25.207,25.201,25.275,25.383,25.512,25.683,25.877,26.142,26.439,26.749,27.126,27.338,27.422,27.391,27.123,27.011,26.989,27.032,26.882,26.917,27.141,27.426,27.464,27.421,27.551,27.462,27.591,27.956,27.907,28.115,28.162,27.896,27.878,27.916,27.956,27.915,27.85,27.877,27.944,27.935,28.159,28.465,29.111,29.016,29.045,28.938,29.414,29.656,30.001,30.516,31.046,31.007,30.976,31.149,31.377,32.023,31.631,31.851,32.326,32.375
"24","16","    Goods","A253RD3",24.739,27.075,28.76,29.582,29.717,29.475,29.007,28.428,27.809,27.17,26.646,26.295,25.81,25.856,26.123,26.669,28.479,29.627,30.541,31.028,30.081,29.867,29.708,29.585,29.687,29.592,29.476,29.345,29.202,29.11,29.058,29.053,29.134,29.269,29.435,29.658,29.957,30.293,30.648,30.989,31.351,31.53,31.568,31.498,31.186,31.069,31.093,31.215,31.468,31.297,31.337,31.669,31.638,31.594,31.752,31.629,31.904,32.394,32.24,32.496,32.365,31.91,31.865,31.893,32.031,31.96,31.826,31.807,31.974,31.852,32.114,32.509,33.392,33.261,33.264,33.057,33.752,34.035,34.491,35.192,35.974,35.809,35.658,35.798,35.971,36.88,36.198,36.416,37.034,36.921
"25","17","    Services","A646RD3",16.218,15.509,15.145,15.021,15.142,15.235,15.359,15.471,15.536,15.623,15.675,15.731,15.684,15.752,15.819,15.904,16.153,16.414,16.753,17.094,17.188,17.493,17.749,17.941,18.046,18.13,18.129,18.071,18.001,17.909,17.855,17.846,17.913,17.958,18.001,18.052,17.986,18.09,18.257,18.513,18.98,19.31,19.534,19.599,19.42,19.306,19.172,19.028,18.203,18.582,19.104,19.301,19.442,19.394,19.467,19.451,19.297,19.437,19.584,19.699,20.086,20.161,20.196,20.256,20.122,20.133,20.195,20.324,20.182,20.395,20.544,20.673,20.868,20.841,20.921,21.013,21.053,21.221,21.365,21.529,21.604,21.787,21.97,22.197,22.512,22.678,22.804,23.022,23.239,23.569
"26","18","  Imports","A021RD3",14.747,15.785,16.627,17.184,17.57,17.624,17.451,17.175,16.797,16.619,16.533,16.573,16.848,17.19,17.748,18.601,20.206,21.337,21.977,22.062,21.137,20.781,20.413,20.075,19.893,19.693,19.6,19.603,19.829,19.92,20.047,20.061,19.81,19.823,19.865,19.927,19.986,20.141,20.262,20.452,20.538,20.551,20.43,20.228,19.75,19.544,19.513,19.561,19.594,19.693,19.79,19.983,19.924,19.917,20.017,19.964,19.984,19.963,19.943,19.934,19.705,19.736,19.667,19.769,19.949,20.035,20.154,20.265,20.446,20.551,20.521,20.582,20.747,20.659,20.802,21.021,21.122,21.346,21.29,21.417,21.412,21.36,21.366,21.379,21.52,21.682,21.725,21.878,21.966,22.061
"27","19","    Goods","A255RD3",14.448,15.836,16.947,17.676,18.026,18.065,17.831,17.489,17.084,16.882,16.78,16.834,17.248,17.675,18.369,19.426,21.432,22.926,23.828,24.001,22.467,22.043,21.604,21.223,21.04,20.844,20.789,20.85,21.111,21.259,21.461,21.49,21.198,21.231,21.288,21.358,21.427,21.613,21.738,21.986,22.019,22.035,21.873,21.609,20.98,20.693,20.639,20.665,20.59,20.784,20.947,21.228,21.162,21.121,21.153,21.004,20.972,20.9,20.895,20.883,20.535,20.492,20.326,20.299,20.428,20.516,20.658,20.783,21.095,21.212,21.13,21.179,21.252,21.073,21.232,21.467,21.489,21.81,21.729,21.911,21.831,21.747,21.748,21.754,21.902,22.066,22.045,22.224,22.355,22.44
"28","20","    Services","A656RD3",15.826,15.725,15.716,15.793,16.269,16.367,16.375,16.279,15.991,15.874,15.815,15.8,15.653,15.767,15.951,16.192,16.654,16.841,16.933,16.913,17.208,17.018,16.808,16.564,16.395,16.204,16.06,15.974,16.118,16.11,16.106,16.093,15.931,15.915,15.925,15.967,16.009,16.103,16.205,16.287,16.45,16.459,16.411,16.329,16.128,16.051,16.034,16.092,16.303,16.26,16.257,16.285,16.236,16.28,16.483,16.584,16.688,16.746,16.707,16.7,16.68,16.83,16.934,17.254,17.511,17.592,17.657,17.736,17.663,17.735,17.805,17.888,18.221,18.321,18.422,18.593,18.853,18.855,18.855,18.857,19.011,19.026,19.045,19.07,19.185,19.327,19.52,19.596,19.583,19.693
"29","21","Government consumption expenditures and gross investment","A822RD3",8.905,8.923,8.783,8.883,9.031,9.11,9.317,9.389,9.569,9.501,9.384,9.474,9.416,9.367,9.511,9.645,10.103,10.022,10.097,10.225,10.116,10.264,10.386,10.5,10.425,10.444,10.396,10.445,10.512,10.61,10.697,10.783,10.849,11.038,11.176,11.309,11.503,11.684,11.803,11.862,12.089,12.2,12.282,12.355,12.44,12.565,12.666,12.722,12.705,12.668,12.604,12.628,12.677,12.723,12.858,12.965,12.974,13.044,13.071,13.159,13.298,13.347,13.406,13.527,13.608,13.651,13.636,13.854,13.944,14.005,14.146,14.174,14.267,14.33,14.473,14.68,14.784,14.909,15.175,15.279,15.383,15.556,15.74,15.99,16.185,16.384,16.614,16.884,17.024,17.32
"30","22","  Federal","A823RD3",10.406,10.339,9.956,9.941,9.982,9.993,10.133,10.155,10.554,10.542,10.336,10.56,10.523,10.372,10.415,10.436,11.031,10.789,10.815,10.953,10.778,10.946,11.037,11.213,11.055,11.099,11.028,11.113,11.231,11.263,11.371,11.475,11.631,11.922,12.04,12.182,12.352,12.562,12.639,12.662,12.973,13.049,13.154,13.291,13.462,13.61,13.738,13.802,13.67,13.588,13.472,13.499,13.495,13.532,13.739,13.9,13.865,13.899,13.877,13.955,14.075,14.119,14.209,14.367,14.429,14.449,14.397,14.717,14.835,14.894,15.11,15.111,15.164,15.214,15.385,15.693,15.714,15.732,16.063,16.092,16.07,16.261,16.427,16.749,16.902,17.112,17.429,17.674,17.704,17.966
"31","23","    National defense","A824RD3",10.47,10.467,9.608,9.621,9.8,9.897,10.09,10.154,10.394,10.336,10.224,10.338,10.295,10.156,10.307,10.464,10.848,10.633,10.663,10.816,10.564,10.73,10.814,10.989,10.808,10.851,10.781,10.86,11.019,11.029,11.161,11.268,11.387,11.688,11.857,12.015,12.202,12.408,12.463,12.507,12.837,12.886,12.994,13.11,13.27,13.386,13.539,13.602,13.433,13.362,13.266,13.301,13.284,13.325,13.489,13.66,13.589,13.642,13.607,13.692,13.779,13.833,13.934,14.041,14.154,14.161,14.083,14.441,14.511,14.518,14.727,14.729,14.784,14.86,15.051,15.373,15.34,15.343,15.716,15.709,15.668,15.865,16.042,16.394,16.478,16.677,16.984,17.21,17.238,17.524
"32","24","    Nondefense","A825RD3",9.724,9.375,10.665,10.564,10.041,9.782,9.775,9.684,10.482,10.583,10.142,10.623,10.592,10.427,10.141,9.662,11.145,10.723,10.668,10.646,11.115,11.287,11.432,11.589,11.625,11.663,11.601,11.711,11.545,11.72,11.65,11.732,12.097,12.3,12.103,12.135,12.167,12.384,12.597,12.472,12.637,12.887,12.956,13.207,13.433,13.784,13.749,13.839,13.959,13.832,13.632,13.617,13.671,13.682,14.094,14.196,14.347,14.288,14.329,14.374,14.65,14.639,14.67,15.039,14.884,14.955,15.014,15.176,15.475,15.715,15.948,15.944,15.989,15.949,16.052,16.304,16.509,16.576,16.741,16.91,16.968,17.128,17.244,17.416,17.856,18.102,18.451,18.764,18.799,18.952
"33","25","  State and local","A829RD3",7.23,7.354,7.512,7.754,8.032,8.2,8.497,8.633,8.543,8.408,8.395,8.34,8.263,8.323,8.569,8.821,9.129,9.288,9.46,9.582,9.589,9.704,9.899,9.885,9.989,9.957,9.955,9.936,9.908,10.136,10.193,10.25,10.173,10.212,10.385,10.511,10.75,10.897,11.082,11.194,11.309,11.475,11.525,11.514,11.486,11.587,11.655,11.702,11.833,11.852,11.853,11.873,11.985,12.042,12.096,12.142,12.202,12.317,12.403,12.504,12.67,12.727,12.75,12.828,12.934,13.006,13.034,13.139,13.199,13.263,13.325,13.383,13.517,13.595,13.71,13.819,14.007,14.244,14.444,14.632,14.873,15.029,15.235,15.411,15.655,15.845,15.985,16.285,16.538,16.87
"34",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Gross national product","A001RD3",13.375,13.582,13.825,14.167,14.273,14.39,14.661,14.708,14.634,14.485,14.401,14.404,14.369,14.417,14.722,15.013,15.563,15.666,15.675,15.85,15.84,15.864,16.043,16.087,16.09,16.121,16.183,16.219,16.269,16.28,16.305,16.348,16.428,16.494,16.617,16.782,16.949,17.048,17.267,17.333,17.576,17.695,17.803,17.804,17.999,18.051,18.165,18.25,18.277,18.295,18.347,18.423,18.502,18.56,18.628,18.68,18.723,18.765,18.824,18.89,19.002,19.029,19.074,19.135,19.179,19.216,19.255,19.401,19.459,19.512,19.59,19.686,19.785,19.871,19.944,20.073,20.203,20.375,20.585,20.775,20.87,20.981,21.187,21.421,21.656,21.883,22.099,22.409,22.642,22.934
